Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplicer,Account Description
FCO,FCO,30/09/2013,4452054,"32,002.28",UG ZASTO NE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/09/2013,4438969,"32,095.37",INTERSERVE FM LTD,"Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Rematching / Reinstatement, Waste Disposal"
FCO,FCO,19/09/2013,4440827,"32,104",INTERNATIONAL ALERT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/09/2013,4440626,"32,577.01",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Property Maintenance Overseas Residential, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Water Residential"
FCO,FCO,16/09/2013,4435518,"32,947.94",INTERNATIONAL ALERT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,16/09/2013,4435836,"32,990.97",CAPGEMINI UK PLC,IT/IS Consultancy
FCO,FCO,26/09/2013,4443467,"33,212.12",TRESOR PUBLIC,Rates Taxes Residential
FCO,FCO,26/09/2013,4448236,"33,368.19",THE GORDON TRUST,Programme Spend (Oracle Projects Control Account)
FCO,FCO,25/09/2013,4443544,"33,623.49",SECURITY SERVICES GROUP,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,24/09/2013,4445045,"33,936.03",GILBERT ASH FITOUT LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/09/2013,4426677,"34,350.71",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,18/09/2013,4439457,"34,380",NORTHERN IRELAND CO-OPERATION OVERSEAS (NI-CO) LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/09/2013,4426013,"34,503.33",FCO SERVICES,"Assets Under Construction (Oracle PA Control Account), Residential Property Services"
FCO,FCO,20/09/2013,4440612,"34,517.26",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Non-Residential, Gas Residential, Rates Taxes Residential, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Waste Disposal, Water Residential"
FCO,FCO,11/09/2013,4426670,"35,124.50",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,16/09/2013,4435371,"35,157.10",ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,26/09/2013,4446885,"35,536.86",CAPITA GROUP PLC,Training Courses
FCO,FCO,18/09/2013,4437319,"35,640.45",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/09/2013,4422309,"35,668.28",FIELD FISHER WATERHOUSE,Specialist Contractors
FCO,FCO,16/09/2013,4434020,"36,283.24",BAGHDAD TOWERS,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/09/2013,4422529,"36,422",ICLEI SOUTH ASIA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/09/2013,4422939,"37,200",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,25/09/2013,4443374,"37,315",FCO SERVICES,IT/IS Consultancy
FCO,FCO,29/09/2013,4447806,"37,515.98",BARI HEWAD CONSTRUCTION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/09/2013,4440616,"38,075.73",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Rental Payments - non residential, Telephone Call Charges"
FCO,FCO,19/09/2013,4440601,"38,192.37",INTERSERVE FM LTD,"Construction Project more than £10k, FM Interserve Pest Control"
FCO,FCO,04/09/2013,4422479,"38,237.58",CONTROL RISKS SERVICES WEST AFRICA LIMITED,Local Guards
FCO,FCO,16/09/2013,4435503,"38,400",I TO I RESEARCH LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06/09/2013,4426937,"38,850",GFK NOP LTD,General Information Services
FCO,FCO,26/09/2013,4449514,"38,863.72",ALLIANCE FOR CONFLICT TRANSFORMATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/09/2013,4424622,"39,216.39",CARBON TRUST ADVISORY SERVICES LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/09/2013,4426068,"39,292.86",GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/09/2013,4439169,"39,350.48",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,26/09/2013,4438821,"39,385.13",NATO OFFICE OF FINANCIAL CONTROL,Rental Payments - non residential
FCO,FCO,03/09/2013,4422555,"39,504.26",ZIMBABWE LAWYERS FOR HUMAN RIGHTS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,16/09/2013,4435369,"39,820.48",ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Unscheduled repairs to building infrastructure"
FCO,FCO,25/09/2013,4446492,"40,500",CROWN ESTATE COMMIS CASH A C,Rental Payments - residential
FCO,FCO,25/09/2013,4442190,"40,740.87",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,20/09/2013,4442286,"40,980",ENGLANDS SPECIALIST SAFETY EQUIP,Misc Security Payments
FCO,FCO,20/09/2013,4442043,"41,203",WORLDREACH SOFTWARE CORPORATION,Information Systems Maintenance
FCO,FCO,20/09/2013,4440622,"41,595.69",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Rental Payments - non residential, Waste Disposal, Water Residential"
FCO,FCO,27/09/2013,4450383,"41,696.54",NICOLAS GRAF HENCKEL V DONNERSMARCK,Rental Payments - non residential
FCO,FCO,13/09/2013,4432470,"41,757.23",CONTROL RISKS SERVICES WEST AFRICA LIMITED,Local Guards
FCO,FCO,04/09/2013,4425777,"41,785.74",LTG,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,13/09/2013,4434730,"41,997.58",BRIGHT HORIZONS FAMILY SOLUTION LTD,Nursery Childcare Subsidy
FCO,FCO,04/09/2013,4424942,"42,392.94",HAYAT HELMANDWAL CONSTRUCTION COMPANY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/09/2013,4426235,"42,470.34",HEALIX INTERNATIONAL LTD,Hospital/Specialist Treatment
FCO,FCO,03/09/2013,4422502,"42,555.45",WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/09/2013,4425984,"43,243.50",FCO SERVICES,Freight & Customs Clearance Charges
FCO,FCO,22/09/2013,4442088,"43,846.58",MASOOD AKBAR CONSTRUCTION COMPANY (MACC),Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/09/2013,4434022,"44,000",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,16/09/2013,4426952,"44,014",AEGIS DEFENCE SERVICES LTD,Local Guards
FCO,FCO,10/09/2013,4427325,"44,185.26",G4S SECURITY SERVICES,Local Guards
FCO,FCO,16/09/2013,4435380,"44,511.25",ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,25/09/2013,4422655,"44,523.16",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,30/09/2013,4451540,"44,644.25",M INTEGRATED SOLUTIONS,Inward visits to the UK and UK Conferences
FCO,FCO,04/09/2013,4422179,"44,760",AEGIS DEFENCE SERVICES LTD,Local Guards
FCO,FCO,11/09/2013,4432409,"44,819.93",CONTROL RISKS SERVICES WEST AFRICA LIMITED,Local Guards
FCO,FCO,11/09/2013,4432411,"44,819.96",CONTROL RISKS SERVICES WEST AFRICA LIMITED,Local Guards
FCO,FCO,04/09/2013,4424937,"45,577.54",HAYAT HELMANDWAL CONSTRUCTION COMPANY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,23/09/2013,4439720,"46,088.30",IRATEC ENGINEERING LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,18/09/2013,4438864,"46,666.59",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,04/09/2013,4422650,"46,721",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,25/09/2013,4443276,"48,457.68",FCO SERVICES,Construction Project more than £10k
FCO,FCO,29/09/2013,4449901,"48,522.82",Elixir Solutions,Programme Spend (Oracle Projects Control Account)
FCO,FCO,29/09/2013,4449888,"48,522.82",Elixir Solutions,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/09/2013,4424565,"48,826.58",COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/09/2013,4438959,"48,828.82",INTERSERVE FM LTD,"Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Estates Management Services, Grounds Maintenance, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Residential Property Services, Waste Disposal"
FCO,FCO,17/09/2013,4449474,"49,047.25",INDIAN OCEAN PROPERTIES LLC,Accommodation
FCO,FCO,11/09/2013,4426669,"49,131.84",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,11/09/2013,4433147,"49,234.70",LOUGH ERNE,Inward visits to the UK and UK Conferences
FCO,FCO,16/09/2013,4436173,"49,247.54",DOMASCO,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,27/09/2013,4450201,"50,118.11",BELFAST INTERNATIONAL AIRPORT LTD,Accommodation
FCO,FCO,25/09/2013,4434055,"51,057.21",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/09/2013,4429192,"51,445.85",BEIJING ZHONGQIAO INTERNATIONAL TRAVEL LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,26/09/2013,4425722,"51,532",POWER ELECTRICS BRISTOL LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,16/09/2013,4435399,"52,768.31",ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
FCO,FCO,04/09/2013,4425243,"52,986.87",CROWNE PLAZA HOTEL,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,19/09/2013,4440217,"53,068.27",MR ADNAN AL KOTOB,Rental Payments - non residential
FCO,FCO,26/09/2013,4444632,"54,060.16",TEAM LEYLAND INTERNATIONAL LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,20/09/2013,4440615,"54,509.34",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Rates Taxes Non-Residential, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Waste Disposal, Water Residential"
FCO,FCO,23/09/2013,4443810,"55,502.79",STAR CITY AUTO SDN BHD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,25/09/2013,4440521,"55,819.66",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,20/09/2013,4433016,"56,032.48",BK SHRESTHA AND BUILDERS PVT LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,27/09/2013,4450494,"56,662.04",VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,18/09/2013,4434159,"57,425.69",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,19/09/2013,4438970,"58,659.46",INTERSERVE FM LTD,"Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Rematching / Reinstatement, Residential Property Services, Waste Disposal"
FCO,FCO,16/09/2013,4435357,"59,205.51",ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,18/09/2013,4435197,"59,238.09",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,24/09/2013,4445014,"59,700",CROWN AGENTS BANK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,16/09/2013,4435348,"60,097.01",ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,09/09/2013,4428552,"60,579.25",GA 9. OBJEKT 1013 DUSSELDORF,"Electricity Non-Residential, Gas Non-Residential, Rates Taxes Non-Residential, Rental Payments - non residential, Water Non-Residential"
FCO,FCO,16/09/2013,4432696,"61,687.50",3M UNITED KINGDOM PLC,Information Systems Maintenance
FCO,FCO,19/09/2013,4440777,"63,501.62",INTERSERVE FM LTD,"Assets Under Construction (Oracle PA Control Account), Construction Project more than £10k, FM Interserve Building Fabric Maintenance, GH/VIP Grant in Aid, Selling into Wider Markets"
FCO,FCO,18/09/2013,4434167,"64,666.75",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,18/09/2013,4434064,"64,719.76",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,18/09/2013,4438936,"66,057.82",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,27/09/2013,4450489,"66,316.41",VODAFONE LTD CABLE AND WIRELESS UK,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,04/09/2013,4422955,"68,064.32",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,13/09/2013,4432063,"69,414",KOIZA INTERNATIONAL LTD,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,17/09/2013,4434259,"69,713.40",INTERGOVERNMENTAL AUTHORITY ON DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/09/2013,4438898,"70,461.27",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,25/09/2013,4446891,"70,754.06",CAPITA GROUP PLC,Training Courses
FCO,FCO,16/09/2013,4435848,"71,302.38",CAPGEMINI UK PLC,IT/IS Consultancy
FCO,FCO,18/09/2013,4434164,"72,100.56",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,18/09/2013,4437001,"72,200",GREENSHIELDS COWIE + CO LTD,Property Maintenance Overseas Non Residential
FCO,FCO,11/09/2013,4428026,"73,219.36",FCO SERVICES,Protection Measures
FCO,FCO,20/09/2013,4440631,"73,779.44",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Residential, Property Maintenance Overseas Residential, Rent Deposits, Rental Payments - non residential, Rental Payments - residential, Waste Disposal, Water Residential"
FCO,FCO,25/09/2013,4447352,"74,442.29",NEW ERA OIL AND GAS,Fuel Oil Non-Residential
FCO,FCO,25/09/2013,4443382,"74,738.69",FCO SERVICES,Residential Property Services
FCO,FCO,06/09/2013,4426976,"75,309.22",COGENT ELECTRICAL SERVICES LTD (FORM WES),Assets Under Construction (Oracle PA Control Account)
FCO,FCO,18/09/2013,4434061,"75,312.79",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,24/09/2013,4427640,"76,943.47",ISG ASIA M SDN BHDBM,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/09/2013,4426685,"80,014.30",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,30/09/2013,4451378,"80,080",HEWLETT PACKARD LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10/09/2013,4428837,"80,227.21",NEW ERA OIL AND GAS,Fuel Oil Non-Residential
FCO,FCO,04/09/2013,4422952,"80,343.14",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,25/09/2013,4447521,"82,683.02",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,25/09/2013,4443541,"84,732.14",DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,23/09/2013,4437407,"85,757.35",FELDMAN MICHAEL,Construction Project more than £10k
FCO,FCO,11/09/2013,4426679,"89,119.73",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
