Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,DARLINGTON PCT,HAFS-11271,"16,616,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BATH & NORTH EAST SOMERSET PCT,HAFS-11243,"18,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,TELFORD & WREKIN PCT,HAFS-11385,"18,055,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,ISLE OF WIGHT NHS PCT,HAFS-11306,"19,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH LINCOLNSHIRE PCT,HAFS-11339,"19,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,TORBAY CARE TRUST,HAFS-11386,"19,750,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HASTINGS & ROTHER PCT,HAFS-11296,"20,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BLACKPOOL PCT,HAFS-11250,"20,868,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HEREFORDSHIRE PCT,HAFS-11300,"21,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,KINGSTON PCT,HAFS-11309,"21,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,PETERBOROUGH PCT,HAFS-11351,"21,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,HAFS-11249,"21,133,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,REDCAR AND CLEVELAND PCT,HAFS-11355,"21,300,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH TYNESIDE PCT,HAFS-11371,"21,600,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HAMMERSMITH AND FULHAM PCT,HAFS-11291,"22,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH EAST SHA,HAFS-11337,"22,400,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BURY PCT,HAFS-11259,"22,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH EAST COAST SHA,HAFS-11367,"22,700,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,PORTSMOUTH CITY TEACHING PCT,HAFS-11353,"23,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HARROW PCT,HAFS-11294,"24,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,MILTON KEYNES PCT,HAFS-11325,"24,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH STAFFORDSHIRE PCT,HAFS-11341,"24,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTHAMPTON CITY PCT,HAFS-11374,"24,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,MIDDLESBOROUGH PCT,HAFS-11324,"24,200,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BARKING AND DAGENHAM PCT,HAFS-11239,"25,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BARNSLEY PCT,HAFS-11241,"25,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,KENSINGTON AND CHELSEA PCT,HAFS-11308,"25,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,RICHMOND AND TWICKENHAM PCT,HAFS-11356,"25,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH CENTRAL SHA,HAFS-11366,"25,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,STOCKTON-ON-TEES TEACHING PCT,HAFS-11377,"25,400,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,CALDERDALE PCT,HAFS-11260,"25,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOLIHULL PCT,HAFS-11363,"25,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BEXLEY CARE TRUST,HAFS-11247,"26,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WARRINGTON PCT,HAFS-11393,"26,100,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,LUTON TEACHING PCT,HAFS-11320,"26,200,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HEYWOOD MIDDLETON & ROCHDALE PCT,HAFS-11302,"26,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH TYNESIDE PCT,HAFS-11342,"26,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH SOMERSET PCT,HAFS-11340,"27,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SWINDON PCT,HAFS-11383,"27,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-11331,"27,360,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH GLOUCESTERSHIRE PCT,HAFS-11369,"27,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WESTERN CHESHIRE PCT,HAFS-11399,"27,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,MEDWAY TEACHING PCT,HAFS-11322,"28,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,TAMESIDE AND GLOSSOP PCT,HAFS-11384,"28,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,OLDHAM PCT,HAFS-11349,"29,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,REDBRIDGE PCT,HAFS-11354,"29,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,GREAT YARMOUTH AND WAVENY PCT,HAFS-11288,"29,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HAVERING PCT COMMISSIONING,HAFS-11297,"30,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,TRAFFORD PCT,HAFS-11388,"30,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,GATESHEAD PCT,HAFS-11286,"30,300,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,KNOWSLEY PCT,HAFS-11311,"30,824,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,CAMDEN PCT,HAFS-11262,"32,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HILLINGDON PCT,HAFS-11303,"32,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,ROTHERHAM PCT,HAFS-11357,"32,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WALTHAM FOREST PCT,HAFS-11391,"32,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BRIGHTON & HOVE CITY TEACHING PCT,HAFS-11255,"32,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,COVENTRY TEACHING PCT,HAFS-11268,"33,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,DERBY CITY PCT,HAFS-11272,"33,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HOUNSLOW PCT,HAFS-11304,"33,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,STOCKPORT PCT,HAFS-11376,"33,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WEST ESSEX PCT,HAFS-11395,"33,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WOLVERHAMPTON CITY PCT,HAFS-11403,"33,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WANDSWORTH TEACHING PCT,HAFS-11392,"33,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SHROPSHIRE COUNTY PCT,HAFS-11362,"33,569,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,PLYMOUTH TEACHING PCT,HAFS-11352,"34,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SALFORD PCT,HAFS-11358,"34,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WALSALL TEACHING PCT,HAFS-11390,"34,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SUNDERLAND TEACHING PCT,HAFS-11380,"34,600,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BROMLEY PCT,HAFS-11257,"34,750,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,DONCASTER PCT,HAFS-11275,"35,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,EAST MIDLANDS SHA,HAFS-11280,"35,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,GREENWICH TEACHING PCT,HAFS-11289,"35,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HARINGEY TEACHING PCT,HAFS-11293,"35,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,ISLINGTON PCT,HAFS-11307,"35,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,TOWER HAMLETS PCT,HAFS-11387,"35,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WESTMINSTER PCT,HAFS-11400,"35,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,EAST RIDING OF YORKSHIRE PCT,HAFS-11282,"36,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HALTON & ST HELENS PCT,HAFS-11290,"36,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,DUDLEY PCT,HAFS-11277,"36,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HULL PCT,HAFS-11305,"36,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BRENT TEACHING PCT,HAFS-11254,"37,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,LEWISHAM PCT,HAFS-11316,"37,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH WEST SHA,HAFS-11373,"37,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BOLTON PCT,HAFS-11251,"38,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,ENFIELD PCT,HAFS-11285,"38,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SANDWELL PCT,HAFS-11359,"38,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NEWCASTLE PCT,HAFS-11329,"38,600,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH LANCASHIRE PCT,HAFS-11338,"38,723,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,"ASHTON, LEIGH & WIGAN PCT",HAFS-11238,"39,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SEFTON PCT,HAFS-11360,"39,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH EAST ESSEX PCT,HAFS-11335,"39,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NOTTINGHAM CITY PCT,HAFS-11347,"40,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,EAST SUSSEX DOWNS & WEALD PCT,HAFS-11283,"40,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BOURNEMOUTH & POOLE PCT,HAFS-11252,"41,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTHUMBERLAND CARE TRUST,HAFS-11346,"41,200,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,CITY AND HACKNEY TEACHING PCT,HAFS-11265,"41,250,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,STOKE ON TRENT PCT,HAFS-11378,"41,267,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HEART OF BIRMINGHAM TEACHING PCT,HAFS-11299,"42,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WEST MIDLANDS SHA,HAFS-11397,"42,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,CROYDON PCT,HAFS-11269,"43,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,LEICESTER CITY PCT,HAFS-11314,"43,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,MID ESSEX PCT,HAFS-11323,"43,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BERKSHIRE EAST PCT,HAFS-11245,"43,057,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WIRRAL PCT,HAFS-11402,"43,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BARNET PCT,HAFS-11240,"44,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NEWHAM PCT,HAFS-11330,"44,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SUTTON AND MERTON PCT,HAFS-11382,"44,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,EAST LANCASHIRE PCT,HAFS-11279,"44,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTHWARK PCT,HAFS-11375,"44,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,EALING PCT,HAFS-11278,"45,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,YORKSHIRE & THE HUMBER SHA,HAFS-11405,"45,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WAKEFIELD DISTRICT PCT,HAFS-11389,"46,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH BIRMINGHAM PCT,HAFS-11365,"47,750,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,KIRKLEES PCT,HAFS-11310,"48,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH WEST ESSEX PCT,HAFS-11372,"48,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BERKSHIRE WEST PCT,HAFS-11246,"49,100,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,EAST OF ENGLAND SHA,HAFS-11281,"50,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WORCESTERSHIRE PCT,HAFS-11404,"50,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WILTSHIRE PCT,HAFS-11401,"51,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH EAST ESSEX PCT,HAFS-11368,"51,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,LAMBETH PCT,HAFS-11312,"52,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,CENTRAL LANCASHIRE PCT,HAFS-11264,"52,600,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,CENTRAL & EASTERN CHESHIRE PCT,HAFS-11263,"53,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BIRMINGHAM EAST AND NORTH PCT,HAFS-11248,"54,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,OXFORDSHIRE PCT,HAFS-11350,"56,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BEDFORDSHIRE PCT,HAFS-11244,"58,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,DORSET PCT,HAFS-11276,"58,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BRISTOL PCT,HAFS-11256,"60,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BUCKINGHAMSHIRE PCT,HAFS-11258,"60,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BRADFORD AND AIREDALE PCT,HAFS-11253,"61,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH WEST SHA,HAFS-11343,"61,700,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WARWICKSHIRE PCT,HAFS-11394,"63,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOMERSET PCT,HAFS-11364,"65,750,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SUFFOLK PCT,HAFS-11379,"66,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,CAMBRIDGESHIRE PCT,HAFS-11261,"67,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,LEICESTERSHIRE COUNTY & RUTLAND PCT,HAFS-11315,"67,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,CUMBRIA PCT,HAFS-11270,"68,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SHEFFIELD PCT,HAFS-11361,"69,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,LIVERPOOL PCT,HAFS-11318,"70,575,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,CORNWALL & ISLES OF SCILLY PCT,HAFS-11266,"71,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,GLOUCESTERSHIRE PCT,HAFS-11287,"72,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NOTTINGHAMSHIRE COUNTY TEACHING PCT,HAFS-11348,"72,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH STAFFORDSHIRE PCT,HAFS-11370,"77,300,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,COUNTY DURHAM PCT,HAFS-11267,"77,711,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WEST KENT PCT,HAFS-11396,"78,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,MANCHESTER PCT,HAFS-11321,"80,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTHAMPTONSHIRE PCT,HAFS-11345,"80,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,WEST SUSSEX PCT,HAFS-11398,"85,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,LINCOLNSHIRE PCT,HAFS-11317,"86,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH YORKSHIRE & YORK PCT,HAFS-11344,"86,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,LEEDS PCT,HAFS-11313,"92,490,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,EASTERN & COASTAL KENT PCT,HAFS-11284,"93,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,DEVON PCT,HAFS-11274,"94,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,DERBYSHIRE COUNTY PCT,HAFS-11273,"96,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORFOLK PCT,HAFS-11334,"98,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HERTFORDSHIRE PCT,HAFS-11301,"116,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,SURREY PCT,HAFS-11381,"122,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HAMPSHIRE PCT,HAFS-11292,"132,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,LONDON SHA,HAFS-11319,"167,400,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev ND In RAB,NHS FC,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-11332,"1,722,000,000",
Department of Health,Department of Health,02/09/2011,Electricity,Informatics,BRITISH MEDICAL ASSOCIATION,13555934,752.36,
Department of Health,Department of Health,02/09/2011,Expense clearing GPC (ST),More than one Directorate,BARCLAYCARD BUSINESS,2224001-19-SEP-11,2534.19,
Department of Health,Department of Health,02/09/2011,Outsourcing Contract,HPIH & SD,ARISTA LABORATORIES EUROPE,2631,22089.6,
Department of Health,Department of Health,02/09/2011,Rent,Informatics,BRITISH MEDICAL ASSOCIATION,13555934,27681.23,
Department of Health,Department of Health,02/09/2011,Outsourcing Contract,WORKFORCE,MOUCHEL MANAGEMENT CONSULTING LTD,90079669,29287.2,
Department of Health,Department of Health,02/09/2011,Outsourcing Contract,WORKFORCE,MOUCHEL MANAGEMENT CONSULTING LTD,90079705,32780.4,
Department of Health,Department of Health,02/09/2011,Outsourcing Contract,WORKFORCE,MOUCHEL MANAGEMENT CONSULTING LTD,90079686,55916.4,
Department of Health,Department of Health,02/09/2011,Outsourcing Contract,WORKFORCE,MOUCHEL MANAGEMENT CONSULTING LTD,90079660,122214,
Department of Health,Department of Health,02/09/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),736205,605333.2,
Department of Health,Department of Health,02/09/2011,Admin Capital Grant-in-Aid to ENDPBs,"PSF POLICY, STRATEGY & FINANCE",CARE QUALITY COMMISSION (CQC),Sep-11,2000000,
Department of Health,Department of Health,02/09/2011,Admin Revenue Grant-in-Aid ENDPBs,"PSF POLICY, STRATEGY & FINANCE",CARE QUALITY COMMISSION (CQC),Sep-11,4100000,
Department of Health,Department of Health,03/09/2011,Expense clearing GPC (ST),More than one Directorate,BARCLAYCARD BUSINESS,2224001-19-SEP-11,273.25,
Department of Health,Department of Health,05/09/2011,Expense clearing GPC (ST),More than one Directorate,BARCLAYCARD BUSINESS,2224001-19-SEP-11,5347.63,
Department of Health,Department of Health,05/09/2011,Rent of Land & Buildings (non-PFI operating lease),NHS FINANCE PERFORMANCE & OPERATIONS,PERDISWELL MILLENIUM PARK LTD,199,26750.4,
