Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,
Cabinet Office,CABINET OFFICE,15/03/2011,Supplies and Services,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015340,"50,000.00",Payment for carbon reduction projects,,
Cabinet Office,CABINET OFFICE,15/03/2011,Consultancy,OFFICE OF GOVERNMENT COMMERCE,PINSENT MASONS LLP,3000015350,"86,000.00",Legal Support Contract Renegotiation Stream,,
Cabinet Office,CABINET OFFICE,16/03/2011,Accommodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000015375,"37,808.14",Facilities Management Services,,
Cabinet Office,CABINET OFFICE,16/03/2011,IT Hardware,PRIME MINISTERS OFFICE,PCS BUSINESS SYSTEMS LTD,3000015388,"47,033.74",IT Hardware,,
Cabinet Office,Buying Solutions,16/03/2011,Data Services,Network Services,GLOBAL CROSSING,PCROHD 887,"-63,216.67",Government Managed Telecoms Contract,,
Cabinet Office,Buying Solutions,16/03/2011,SAP Rental,Network Services,GLOBAL CROSSING,PCROHD 888,"-70,446.23",Government Managed Telecoms Contract,,
Cabinet Office,Buying Solutions,16/03/2011,Data Services,Network Services,GLOBAL CROSSING,PINMTS 19626,"27,012.77",Government Managed Telecoms Contract,,
Cabinet Office,CABINET OFFICE,17/03/2011,Land and Buildings,ESTATE MANAGEMENT,NB REAL ESTATE,3000015426,"238,424.15",Operating Leases Rent,,
Cabinet Office,CABINET OFFICE,17/03/2011,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000015416,"769,066.74",Flex Service Charges,,
Cabinet Office,Capacity Builders,17/03/2011,Overheads,Programmes,Brian Wilson Associates,210/05,"30,940.66",Evaluation of the Rural Community Action Network Investment Programme,,
Cabinet Office,CABINET OFFICE,18/03/2011,Agency and Temporary Staff,DIRECTGOV,CADENCE PARTNERSHIP LLP,3000015460,"27,960.00",Interim IT Specialist,,
Cabinet Office,CABINET OFFICE,18/03/2011,Consultancy,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,3000015459,"84,805.00",Payment for the delivery of the Community Assets Fund,,
Cabinet Office,CABINET OFFICE,18/03/2011,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,DEVELOPMENT TRUSTS ASSOCIATION,3000015468,"104,478.00",Payment for the delivery of the Community Organisers programme,,
Cabinet Office,CABINET OFFICE,18/03/2011,Resource Grants to Central Government Bodies,OFFICE FOR CIVIL SOCIETY,ECONOMIC & SOCIAL RESEARCH COUNCIL,3000015470,"500,000.00",Grants for the Third Sector Research Centre ,,
Cabinet Office,CABINET OFFICE,18/03/2011,"Travel, Subsistence and Hospitality",OFFICE OF GOVERNMENT COMMERCE,CARLSON WAGONLIT TRAVEL,3000015461,"25,544.51",Travel booked via the travel corporate contract,,
Cabinet Office,CABINET OFFICE,18/03/2011,Other Staff Related Costs,OFFICE OF GOVERNMENT COMMERCE,LONDONMET ENTERPRISES LTD,3000015479,"30,985.85",In-house training programme and examinations costs,,
Cabinet Office,CABINET OFFICE,18/03/2011,Grants-in-Aid to NDPB's,OFFICE OF THE THIRD SECTOR NDPBS,COMMISSION FOR THE COMPACT,3000015464,"400,000.00",Commission for the Compact grant-in-aid ,,
Cabinet Office,Buying Solutions,18/03/2011,WSDS Maint & Rep,WSDS,COFELY,PINDOH 32422,"37,589.81",Whitehall heating systems management,,
Cabinet Office,Buying Solutions,18/03/2011,WDHS Maint & Rep,WDHS,COFELY,PINDOH 32423,"60,245.07",Whitehall heating systems management,,
Cabinet Office,Buying Solutions,18/03/2011,WDHS Cost of Heat,WDHS,COFELY,PINDOH 32424,"133,261.63",Whitehall heating systems management,,
Cabinet Office,Buying Solutions,18/03/2011,WDHS Cost Elec Gen,WDHS,COFELY,PINDOH 32424,"95,733.43",Whitehall heating systems management,,
Cabinet Office,CABINET OFFICE,21/03/2011,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITORS DEPT 3861,3000015525,"98,419.00",2010-2011 Capitation cost,,
Cabinet Office,CABINET OFFICE,21/03/2011,Land and Buildings,ESTATE MANAGEMENT,AIRSCAPE LTD,2000194,"290,845.50",Operating Leases Rent,,
Cabinet Office,CABINET OFFICE,21/03/2011,Other Staff Related Costs,HUMAN RESOURCES,NATIONAL SCHOOL OF GOVERNMENT,3000015517,"32,850.00",Training for staff,,
Cabinet Office,CABINET OFFICE,21/03/2011,IT Costs,IT AND TELECOMS BRANCH,CABLE & WIRELESS PLC,3000015506,"40,000.00",IT  Service costs,,
Cabinet Office,CABINET OFFICE,21/03/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY TRANSITION FUND,3000015505,"7,056,999.00",Payment of grant to the Transition Fund,,
Cabinet Office,CABINET OFFICE,21/03/2011,Capital grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000015510,"7,628,856.61",Grassroots Grants payment,,
Cabinet Office,CABINET OFFICE,21/03/2011,Capital Grants to NDPB's & Other Orgs within Central Govt,OFFICE FOR CIVIL SOCIETY,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,3000015511,"2,500,000.00",Contribution to the Communitybuilders investment programme run by CLG,,
Cabinet Office,CABINET OFFICE,22/03/2011,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000015545,"487,043.46",High Integrity Telecomms System project costs,,
Cabinet Office,CABINET OFFICE,22/03/2011,IT Costs,OFFICE OF GOVERNMENT COMMERCE,CORPORATE DOCUMENT SERVICES LTD,3000015537,"133,402.45","Monthly payment for contract for support, maintenance and development of e-PIMS, the government property database",,
Cabinet Office,Commission for the Compact,22/03/2011,Rates,Support,Birmingham City Council,002-02-0007266,"31,642.31",Operating leases rent,,
Cabinet Office,Buying Solutions,22/03/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19631,"25,500.00",Government Managed Telecoms Contract,,
Cabinet Office,CABINET OFFICE,23/03/2011,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITORS DEPT 3861,103164,"35,709.10",Charge for in house legal team - Fees and Disbursements,,
Cabinet Office,CABINET OFFICE,23/03/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,National Council for Voluntary Organisations,3000015594,"76,906.00", Final instalment - Grant to Compact Voice - to promote positive relations between civil society and Government,,
Cabinet Office,CABINET OFFICE,23/03/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SOCIAL ENTERPRISE LONDON,3000015600,"30,000.00", Final instalment 2010-11 Strategic grant,,
Cabinet Office,CABINET OFFICE,23/03/2011,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000015588,"94,656.00",Refurbishment of 10 Downing Street,,
Cabinet Office,CABINET OFFICE,24/03/2011,Consultancy,CIVIL SERVICE CAPABILITIES GROUP,ORC INTERNATIONAL LTD,3000015631,"219,685.00",Civil Service Staff survey,,
Cabinet Office,CABINET OFFICE,24/03/2011,Other Staff Related Costs,CIVIL SERVICE CAPABILITIES GROUP,PARITY SOLUTIONS LTD,3000015632,"159,123.54",Fast-stream recruitment,,
Cabinet Office,CABINET OFFICE,24/03/2011,Supplies and Services,CO SHARED SERVICES,DWP NORCROSS,3000015621,"133,333.33","Provision of Accountancy Services, Employee Services, Civil Service Pensions and Purchase to Pay",,
Cabinet Office,CABINET OFFICE,24/03/2011,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES.,3000015613,"49,997.00",High Integrity Telecomms System project costs,,
Cabinet Office,CABINET OFFICE,24/03/2011,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,COI CENTRAL OFFICE OF INFORMATION,3000015615,"70,481.68",Payment for the delivery of the Queens Award for Voluntary Service,,
Cabinet Office,Buying Solutions,24/03/2011,GSI COS,Network Services,CESG,PINDOH 32410,"37,959.00",Costs for government secure intranet,,
Cabinet Office,Buying Solutions,24/03/2011,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 19645,"36,662.09",Government Managed Telecoms Contract,,
Cabinet Office,CABINET OFFICE,25/03/2011,Accommodation and Utilities,ESTATE MANAGEMENT,ST ANDREWS PARK NORWICH LTD,1000374,"288,810.00",Operating Leases Rent,,
Cabinet Office,CABINET OFFICE,25/03/2011,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015656,"42,283.39",Refurbishment of 70 Whitehall,,
Cabinet Office,CABINET OFFICE,25/03/2011,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015656,"27,698.80",Facilities Management Services,,
Cabinet Office,CABINET OFFICE,25/03/2011,Consultancy,OFFICE FOR CIVIL SOCIETY,Social Return On Investment NETWORK,3000015666,"33,694.06", Social return on investment project,,
Cabinet Office,CABINET OFFICE,25/03/2011,Resource Grants to Central Government Bodies,OFFICE FOR CIVIL SOCIETY,TRIBUNALS SERVICES,3000015670,"232,223.00", Payment for the running of the Charity Tribunal,,
Cabinet Office,CABINET OFFICE,25/03/2011,Supplies and Services,OFFICE OF GOVERNMENT COMMERCE,THE TREASURY SOLICITOR,3000015669,"55,145.00",Cost of internal legal team staffed by Treasury Solicitor personnel.,,
Cabinet Office,CABINET OFFICE,28/03/2011,Consultancy,CIVIL SERVICE PENSIONS,PRICEWATERHOUSE COOPERS,3000015717,"116,860.83",Professional services,,
Cabinet Office,CABINET OFFICE,28/03/2011,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015699,"82,235.34",Facilities Management Services,,
Cabinet Office,CABINET OFFICE,28/03/2011,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015699,"40,410.24",Refurbishment of 70 Whitehall,,
Cabinet Office,CABINET OFFICE,28/03/2011,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015699,"32,851.00",Facilities Management Services,,
Cabinet Office,CABINET OFFICE,28/03/2011,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015699,"31,585.14",Facilities Management Services,,
Cabinet Office,CABINET OFFICE,28/03/2011,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015699,"28,131.58",Refurbishment of 70 Whitehall,,
Cabinet Office,CABINET OFFICE,28/03/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,V,3000015725,"200,000.00", v match funding to support youth volunteering,,
Cabinet Office,CABINET OFFICE,29/03/2011,Consultancy,FINANCIAL MANAGEMENT,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,3000015750,"30,000.00",Payment for professional services,,
Cabinet Office,CABINET OFFICE,29/03/2011,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES.,3000015743,"180,725.00",High Integrity Telecomms System project costs,,
Cabinet Office,CABINET OFFICE,30/03/2011,Accommodation and Utilities,IT AND TELECOMS BRANCH,BUYING SOLUTIONS 3986,103170,"226,404.64",FEES & HANDSETS charge,,
Cabinet Office,CABINET OFFICE,30/03/2011,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000015817,"32,760.00",Cabinet Office Data network supporting the London based estate,,
Cabinet Office,CABINET OFFICE,30/03/2011,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000015791,"75,000.00",Grassroots Grants programme,,
Cabinet Office,CABINET OFFICE,30/03/2011,IT Costs,OFFICE FOR CIVIL SOCIETY,National Council for Voluntary Organisations,3000015809,"94,876.75", Payment for the delivery of Funding Central website,,
Cabinet Office,Buying Solutions,30/03/2011,WDHS Cost of Heat,WDHS,COFELY,PINDOH 32475,"105,817.73",Whitehall heating systems management,,
Cabinet Office,Buying Solutions,30/03/2011,WDHS Cost Elec Gen,WDHS,COFELY,PINDOH 32475,"73,633.30",Whitehall heating systems management,,
Cabinet Office,CABINET OFFICE,31/03/2011,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015859,"54,218.40",Refurbishment of 70 Whitehall,,
Cabinet Office,CABINET OFFICE,31/03/2011,Supplies and Services,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015859,"30,740.00",Payment for carbon reduction projects,,
Cabinet Office,CABINET OFFICE,31/03/2011,Supplies and Services,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,1000376,"276,445.00",Replenishing Insignia,,
Cabinet Office,CABINET OFFICE,31/03/2011,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000015862,"223,597.62",Flex Service Costs ,,
Cabinet Office,CABINET OFFICE,31/03/2011,Resource Grants to Central Government Bodies,OFFICE FOR CIVIL SOCIETY,DEPARTMENT OF ENERGY & CLIMATE CHANGE,3000015857,"69,000.00", Social enterprise action research programme,,
Cabinet Office,CABINET OFFICE,31/03/2011,Resource Grants to Central Government Bodies,OFFICE FOR CIVIL SOCIETY,ECONOMIC & SOCIAL RESEARCH COUNCIL,3000015858,"260,000.00", Grants for the Third Sector Research Centre ,,
Cabinet Office,CABINET OFFICE,31/03/2011,Resource Grants to NDPB's,OFFICE FOR CIVIL SOCIETY,NESTA,3000015872,"250,000.00",Grant to support a Community Time Credits programme,,
Cabinet Office,CABINET OFFICE,31/03/2011,IT Costs,OFFICE OF GOVERNMENT COMMERCE,CORPORATE DOCUMENT SERVICES LTD,3000015855,"81,413.47","Monthly payment for contract for support, maintenance and development of e-PIMS, the government property database",,
Cabinet Office,CABINET OFFICE,31/03/2011,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000015859,"70,844.32",Refurbishment of 10 Downing Street,,
Cabinet Office,Buying Solutions,31/03/2011,Rent RLB 3rd Floor,Estates Management,ROYAL LIVER ASSURANC,PINDOH 32524,"90,052.81",Operating leases rent,,
Cabinet Office,Buying Solutions,31/03/2011,Service Charges RLB,Estates Management,ROYAL LIVER ASSURANC,PINDOH 32524,"27,616.19",Service charge for accommodation,,
Cabinet Office,Buying Solutions,31/03/2011,General Rates,Estates Management,LIVERPOOL CITY COUNC,PINDOH 32535,"174,282.50",Rates for accommodation,,
Cabinet Office,Buying Solutions,31/03/2011,Legal Fees,Legal Services,Denton Wilde Sapte L,PINDOH 32540,"61,995.17",Energy procurement legal contract,,
Cabinet Office,Buying Solutions,31/03/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19728,"81,066.56",Government Managed Telecoms Contract,,
