Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,
Cabinet Office,Cabinet Office,09/05/12,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000026454,"493,584.06",High Integrity Telecomms System project costs,L2 3YL,Government Department,Programme,
Cabinet Office,Cabinet Office,09/05/12,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,GFK NOP LTD,3000026356,"76,006.46",Qualitative study into Under-registered groups and ‘at risk’ groups under Individual Electoral Registration (IER).,SE19UL,non sme,Programme,
Cabinet Office,Cabinet Office,09/05/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NATIONAL YOUTH AGENCY,3000026584,"471,061.00",National Citizen Service project grant,LE5 3GL,sme,Grants,
Cabinet Office,Cabinet Office,10/05/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE FOOTBALL LEAGUE COMMUNITY LTD,3000026559,"445,421.00",National Citizen Service project grant,PR2 2YF,SME,Grants,
Cabinet Office,Cabinet Office,10/05/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,ADVALUS LTD,3000025940,"255,690.00","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SN13 0RP,SME,Programme,
Cabinet Office,Cabinet Office,10/05/12,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES,3000025943,"230,637.07",High Integrity Telecomms System project costs,NW9 6LB,Large,Programme,
Cabinet Office,Cabinet Office,10/05/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ACADEMY OF YOUTH LTD T/A UNIVERSITY OF FIRST AGE,3000026487,"224,431.00",National Citizen Service project grant,B3 1EP,sme,Grants,
Cabinet Office,Cabinet Office,10/05/12,Accommodation and Utilities,GDS BUSINESS AND OFFICE COSTS,FOOD STANDARDS AGENCY,3000026580,"198,868.76","Rent for GDS occupancy at Aviation House, for FY12/13",YO1 7PX,Government Department,Programme,
Cabinet Office,Cabinet Office,10/05/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,FIELD FISHER WATERHOUSE,3000026236,"191,606.85",Legal services fee,EC3N 2AA,Large,Admin,
Cabinet Office,Cabinet Office,10/05/12,IT Costs,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000025707,"190,709.14",Transformation Change requests costs. These costs relate to all the changes and improvements in  IT ,SW1A 2WH,Large,Admin,
Cabinet Office,Cabinet Office,10/05/12,Agency and Temporary Staff,ERG STRATEGY AND MANAGEMENT INFORMATION,OPEN KNOWLEDGE FOUNDATION,3000025887,"163,740.00",Technical development of data.gov.uk,CB2 1HL,sme,Admin,
Cabinet Office,Cabinet Office,10/05/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000026443,"158,563.86","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,10/05/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000026637,"153,912.46",Legal services fee,WC2B 4TS,Government Department,Admin,
Cabinet Office,Cabinet Office,10/05/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,COMMUNITIES AND LOCAL GOVERNMENT,3000026155,"145,656.25",Audit services,HP2 4XN,Government Department,Admin,
Cabinet Office,Cabinet Office,10/05/12,Land and Buildings,NATIONAL SCHOOL OF GOVERNMENT,HM REVENUE & CUSTOMS 8899,3000026168,"1,187,956.18",Rental payments for the space the National School of Government occupied in Belgrave Road during 2011-12,BN124XH,Government Department,Admin,
Cabinet Office,Cabinet Office,11/05/12,Supplies and Services,ERG STRATEGY AND MANAGEMENT INFORMATION,OXFORD SAID BUSINESS SCHOOL LTD,3000026628,"129,349.17",Payment for development of Phase 1 residential module of the Government’s Major Projects Leadership Academy’,OX1 5NY,sme,Admin,
Cabinet Office,Cabinet Office,14/05/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,3000026519,"125,000.00",Strategic partners transition grant ,N1 9RL,large,Grants,
Cabinet Office,Cabinet Office,14/05/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,VOLUNTEERING ENGLAND,3000026560,"125,000.00",Strategic partners transition grant ,N1 9RL,SME,Grants,
Cabinet Office,Cabinet Office,14/05/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,LOCALITY,3000026293,"124,142.00",Strategic partners transition grant ,N1 6DR,Large,Grants,
Cabinet Office,Cabinet Office,14/05/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000026160,"117,969.77",Facilities management services,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,15/05/12,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,HOME OFFICE,3000025957,"8,500,000.00",Redistribution of departmental contributions to the cost of Civil Service HR Expert Services,SW1P4DF,Government Department,Admin,
Cabinet Office,Cabinet Office,15/05/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000025846,"114,565.52",Facilities management services,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,17/05/12,Accommodation and Utilities,GOVERNMENT COMMUNICATIONS,LONDON BOROUGH OF LAMBETH,3000025802,"817,994.80",Business Rates,DA89DQ,Government Department,Admin,
Cabinet Office,Cabinet Office,17/05/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000026042," 113,137.07 ","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,17/05/12,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000025881,"111,600.00",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,17/05/12,IT Costs,IT AND TELECOMS BRANCH,CABLE & WIRELESS PLC,3000025790,"107,461.88",Legacy System Support costs -gsi/xgsi/message labs,RG12 1RW,Large,Admin,
Cabinet Office,Cabinet Office,17/05/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,PRICEWATERHOUSE COOPERS,3000026252,"101,331.51",Professional services,E14 9SQ,Large,Admin,
Cabinet Office,Cabinet Office,17/05/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000026534,"93,123.00",Legal services fee,WC2B 4TS,Government Department,Admin,
Cabinet Office,Cabinet Office,17/05/12,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000026498,"90,532.80",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,17/05/12,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,MCKINSEY & CO INC,3000026246,"90,000.00",Payments for Transparency Advisor in the Efficiency and Reform Group - May to October 2011,SW1Y4UH,SME,Admin,
Cabinet Office,Cabinet Office,17/05/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000026590,"87,609.21",Legal services fee,WC2B 4TS,Government Department,Admin,
Cabinet Office,Cabinet Office,18/05/12,IT Software,ERG STRATEGY AND MANAGEMENT INFORMATION,CORPORATE DOCUMENT SERVICES LTD,3000025948,"86,298.76",Payment for enhancements to XML Schema and Admin Phase 1,LS2 LY,Large,Admin,
Cabinet Office,Cabinet Office,18/05/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ENVISION,3000026579,"82,086.00","National Citizen Service project grant - aims to foster a more cohesive, responsible and engaged society by providing young people aged 16 and giving them an opportunity to spend the summer undertaking challenging team-based activities and worthwhile volunteering.",EC1V 3RS ,sme,Grants,
Cabinet Office,Cabinet Office,18/05/12,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,MCKINSEY & CO INC,3000026178,"57,600.00",Payments for Transparency Advisor in the Efficiency and Reform Group - November and December 2011,SW1Y4UH,SME,Admin,
Cabinet Office,Cabinet Office,18/05/12,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,METROPOLITAN POLICE AUTHORITY,3000026248,"1,010,000.00",Payment to the Metropolitan Police on behalf of Whitehall Departments for cost of the Whitehall Secure Zone,SW61TR,Government Department,Admin,
Cabinet Office,Cabinet Office,18/05/12,Investments,OFFICE FOR CIVIL SOCIETY,BRIDGES VENTURES LTD,3000025905,"74,867.51",Investment in the risk capital fund for social enterprise,W2 3EN,non-sme,Programme,
Cabinet Office,Cabinet Office,18/05/12,Supplies and Services,HONOURS AND APPOINTMENTS,THE TREASURER TO THE QUEEN,3000025764,"71,911.00",Central Chancery charges for administration of Honours,SW1A 1AA,Government Department,Programme,
Cabinet Office,Cabinet Office,21/05/12,Supplies and Services,HONOURS AND APPOINTMENTS,THE TREASURER TO THE QUEEN,3000026636,"71,911.00",Central Chancery charges for administration of Honours,SW1A 1AA,Government Department,Programme,
Cabinet Office,Cabinet Office,21/05/12,Supplies and Services,POLICY COMMUNICATIONS,MOTHER ADVERTISING LTD,3000026181," 68,804.00 ",GREAT Campaign,E2 7DD,large,Admin,
Cabinet Office,Cabinet Office,21/05/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,INSTITUTE OF FUNDRAISING,3000026331,"68,750.00",Strategic partners transition grant ,SW8 1UD,sme,Grants,
Cabinet Office,Cabinet Office,22/05/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITORS DEPT 3861,3000025863,"58,481.00",Legal services fee,WC2B 4TS,Government Department,Admin,
Cabinet Office,Cabinet Office,22/05/12,IT Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,CORPORATE DOCUMENT SERVICES LTD,3000025793,"58,150.11","Payments for the support, maintenance and minor development of e-PIMS, the government property database",LS2 LY,Large,Admin,
Cabinet Office,Cabinet Office,22/05/12,Accommodation and Utilities,ESTATE MANAGEMENT,MITIE BUSINESS SERVICES LTD,3000026048,"48,911.10",Facilities management services,SE12QG,large,Programme,
Cabinet Office,Cabinet Office,23/05/12,Other Staff Related Costs,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,3000026363,"2,773,377.27",Pensions administration for May 2012,LS27UA,large,Admin,
Cabinet Office,Cabinet Office,23/05/12,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,PINSENT MASONS LLP,3000026186,"45,759.32",Legal services fee,EC2A4ES,non sme,Admin,
Cabinet Office,Cabinet Office,23/05/12,IT Hardware,PRIME MINISTERS OFFICE,PROAV LTD,3000025963,"55,054.75",IT Hardware,TW208RD,sme,Admin,
Cabinet Office,Cabinet Office,23/05/12,Other Staff Related Costs,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES,3000025943,"45,248.00",High Integrity Telecomms System project costs,NW9 6LB,Large,Programme,
Cabinet Office,Cabinet Office,23/05/12,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000025926,"43,795.72",Fast-stream Recruitment,HP2 7DN,sme,Admin,
Cabinet Office,Cabinet Office,23/05/12,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000026075,"42,897.52",Reprographic Services,CR5 2HR,Large,Programme,
Cabinet Office,Cabinet Office,24/05/12,Resource Grants to Local Authorities,OFFICE FOR CIVIL SOCIETY,OXFORDSHIRE COUNTY COUNCIL,3000026585,"42,064.00",National Citizen Service project grant,OX1 1NA,Government Department,Grants,
Cabinet Office,Cabinet Office,24/05/12,Supplies and Services,POLICY COMMUNICATIONS,VISIT BRITAIN,1000565,"41,771.00",GREAT Campaign,SW1E 5HX,Government Department,Admin,
Cabinet Office,Cabinet Office,24/05/12,IT Costs,GOVERNMENT DIGITAL SERVICE,SYSTEM ASSOCIATES LTD,3000026022,"27,200.00","Hosting, managed service and support DirectGov, and Business Link service data support",SL68LT,non sme,Programme,
Cabinet Office,Cabinet Office,24/05/12,Supplies and Services,FINANCIAL MANAGEMENT,TREASURY SOLICITOR TSOL,3000026421,"40,972.34",Legal services fee,WC2B 4TS,Government Department,Admin,
Cabinet Office,Cabinet Office,25/05/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,RETHINK RECRUITMENT SOLUTIONS LTD,3000026630,"37,286.76",Payments of staff costs for a number of Interim Staff ,M2 1FB,SME,Programme,
Cabinet Office,Cabinet Office,25/05/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000025797,"35,765.09",Facilities management services,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,25/05/12,Supplies and Services,ERG STRATEGY AND MANAGEMENT INFORMATION,OXFORD SAID BUSINESS SCHOOL LTD,3000026296,"35,059.17",Payment for development of Phase 1 residential module of the Government’s Major Projects Leadership Academy’,OX1 5NY,sme,Admin,
Cabinet Office,Cabinet Office,25/05/12,Accommodation and Utilities,GDS BUSINESS AND OFFICE COSTS,FOOD STANDARDS AGENCY,3000026580,"34,938.95","Service Charge for GDS occupancy at Aviation House, for FY12/13",YO1 7PX,Government Department,Programme,
Cabinet Office,Cabinet Office,25/05/12,Agency and Temporary Staff,GDS PROJECT STAFF COSTS,CAPITA RESOURCING LTD,3000026443,"34,721.92",Payments of staff costs for a number of Interim Staff ,SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,25/05/12,IT Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,SERCO LTD,3000026369,"34,025.50",Payment to SERCO for work relating to Contract Finder via HMRC contract for services.  Period covers 20.2.2012 - 20.4.2012.,RG27 7FR,large,Admin,
Cabinet Office,Cabinet Office,28/05/12,Agency and Temporary Staff,ERG STRATEGY AND MANAGEMENT INFORMATION,CAPITA RESOURCING LTD,3000026443,"33,751.80",Technical development of data.gov.uk,SL6 1DP,Large,Admin,
Cabinet Office,Cabinet Office,28/05/12,Grants -in-Aid to Private Sector,PRIME MINISTERS OFFICE,THE CHEQUERS ESTATE,1000564,"674,565.00",Grant allocated to the Chequers Trust for the 2012/13 financial year.,CV324LJ,Government Department,Grants,
Cabinet Office,Cabinet Office,28/05/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE JOIN IN TRUST,3000025726,"482,464.00","A grant to the Join In Trust Limited, an Olympics inspired project, to promote a weekend of volunteering and social action.  In the first year the focus will be in generating support for local sports clubs.",EC4A3AE,sme,Grants,
Cabinet Office,Cabinet Office,28/05/12,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000026043,"31,428.00",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,29/05/12,Capital grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE JOIN IN TRUST,3000025726,"30,000.00","A capital grant to the Join In Trust Limited, an Olympics inspired project, to promote volunteering and social action.  In the first year the focus will be in generating support for local sports clubs.",EC4A3AE,sme,Grants,
Cabinet Office,Cabinet Office,29/05/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE SOCIAL INVESTMENT BUSINESS,3000026192,"1,622,384.00",Social Action Fund grants,WC1H8AG,SME,Grants,
Cabinet Office,Cabinet Office,29/05/12,Supplies and Services,HONOURS AND APPOINTMENTS,THOMAS FATTORINI LTD,3000026051,"71,064.00",Cost of replacing insignia,B13HQ,sme,Programme,
Cabinet Office,Cabinet Office,29/05/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,RETHINK RECRUITMENT SOLUTIONS LTD,3000026630,"30,429.56",Payments of staff costs for a number of Interim Staff ,M2 1FB,SME,Programme,
Cabinet Office,Cabinet Office,30/05/12,Accommodation and Utilities,PRIME MINISTERS OFFICE,BT,3000025702,"30,045.77",Telecomms Line Rentals,DH98 1BT,large,Admin,
Cabinet Office,Cabinet Office,30/05/12,Supplies and Services, WORKSPACE AND BETTER TOOLS PLAN,TNT UK LTD,3000026259,"31,443.60",Physical out sourcing of paper files preparation for move to 1 HGR,BL09AR,non sme,Admin,
Cabinet Office,Cabinet Office,30/05/12,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,IMPACT MARCOM,3000026359,"28,884.00",Cisco Edge 95 MXP switch to run Audio Visual equipment within Crisis Facility,TW16 7HB,sme,Admin,
Cabinet Office,Cabinet Office,30/05/12,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000026454,"28,819.00",High Integrity Telecomms System project costs,L2 3YL,Government Department,Programme,
Cabinet Office,Cabinet Office,30/05/12,Agency and Temporary Staff,CIVIL SERVICE PENSIONS,CAPITA RESOURCING LTD,3000026322,"28,511.46",Contractors,SL6 1DP,Large,Admin,
Cabinet Office,Cabinet Office,30/05/12,IT Costs,GOVERNMENT DIGITAL SERVICE,CIMEX MEDIA LTD,3000025840,"28,493.86",Support and maintenance of the Directgov Mobile site,EC2A 4PJ,SME,Programme,
Cabinet Office,Cabinet Office,31/05/12,Supplies and Services,HONOURS AND APPOINTMENTS,TOYE KENNING & SPENCER LTD,3000026397,"113,689.61",Cost of replacing insignia,CV128QY,sme,Programme,
Cabinet Office,Cabinet Office,31/05/12,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,ECOVERT FM LTD,3000025881,"27,502.44",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,31/05/12,Purchased Software Licences,IT AND TELECOMS BRANCH,TRUSTMARQUE SOLUTIONS LTD,3000026338,"572,469.69",Software licences,YO329GZ,sme,Admin,
Cabinet Office,Cabinet Office,31/05/12,Supplies and Services,HONOURS AND APPOINTMENTS,WORCESTERSHIRE MEDAL SERVICE LTD,3000026398,"141,264.00",Cost of replacing insignia,B618LL,sme,Programme,
Cabinet Office,Cabinet Office,31/05/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000025910,"26,996.00","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,31/05/12,Other Staff Related Costs,COI TRANSITION COSTS - ADMIN,XAFINITY PAYMASTER,3000026424,"33,604.10",Xafinity Paymaster - For the provision of the pension scheme administration service.,RH10 1UH,large,Admin,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,"39,457,031.96",,,,,
