Departmental Family,Entity,Date,Expense Type,Expense Area,GL Division Discription,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Project code,Expenditure Type,Supplier Type,Contract Number
,,01/12/2016,SpHAs Programme Revenue Parliamentary Funding,Central Technical,DD: NHS FC,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-22122," 7,000,000 ",,NE1 6SN,,,PUBLIC,
,,01/12/2016,SpHAs Programme Revenue Parliamentary Funding,Central Technical,DD: NHS FC,NHS LITIGATION AUTHORITY,HAFS-22125," 20,000,000 ",,LS1 4AD,,,PUBLIC,
,,01/12/2016,SpHAs Programme Revenue Parliamentary Funding,Central Technical,DD: NHS FC,PUBLIC HEALTH ENGLAND PHE033,HAFS-22126," 64,500,000 ",,SP4 0JG,,,PUBLIC,
,,01/12/2016,DH Support to Mergers,Central Technical,DD: Unassigned Cost Centres,FRIMLEY HEALTH NHS FOUNDATION TRUST,W0003996," 183,500 ",Advisory Costs,GU16 5UJ,,,PUBLIC,
,,01/12/2016,DH Support to Mergers,Central Technical,DD: Unassigned Cost Centres,FRIMLEY HEALTH NHS FOUNDATION TRUST,W0003996,"-432,000 ",Implementation of Heatherwood Operational Efficiency,GU16 5UJ,,,PUBLIC,
,,01/12/2016,DH Support to Mergers,Central Technical,DD: Unassigned Cost Centres,FRIMLEY HEALTH NHS FOUNDATION TRUST,W0003996," 248,500 ",PMO Costs,GU16 5UJ,,,PUBLIC,
,,01/12/2016,Expense clearing GPC (ST),Central Technical,DD: Unassigned Cost Centres,THE ROYAL BANK OF SCOTLAND PLC,6569001-02-DEC-16," 29,332 ",,SS1 9AJ,,,LARGE,
,,01/12/2016,Provisions cash payment,Global and Public Health,DD: EU & Global Affairs,PGO FOREIGN CURRENCY PAYMENTS,363115499," 366,317 ",,RH10 1UH,,,PUBLIC,
,,01/12/2016,Outsourcing Contract,"Science, Research & Evidence",DD: Research Finance & Programmes,PA CONSULTING SERVICES LTD,10115722," 24,400 ",Information Systems,SG8 6DP,,,LARGE,
,,01/12/2016,Outsourcing Contract,"Science, Research & Evidence",DD: Research Finance & Programmes,PA CONSULTING SERVICES LTD,10115722," 2,165 ",Information Systems,SG8 6DP,,,LARGE,
,,01/12/2016,Outsourcing Contract,"Science, Research & Evidence",DD: Research Finance & Programmes,PA CONSULTING SERVICES LTD,10115727," 33,044 ",Information Systems,SG8 6DP,,,LARGE,
,,01/12/2016,Outsourcing Contract,"Science, Research & Evidence",DD: Research Finance & Programmes,PA CONSULTING SERVICES LTD,10115727," 12,555 ",Information Systems,SG8 6DP,,,LARGE,
,,01/12/2016,Outsourcing Contract,"Science, Research & Evidence",DD: Research Finance & Programmes,LEEDS UNIVERSITY OF,90226969," 531,000 ",Information Systems,LS2 9JT,,,PUBLIC,
,,01/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,CAMBRIDGE UNIVERSITY OF,ERS-565052-130389," 35,087 ",Cancer - Prostate,CB2 1TN,,,PUBLIC,
,,01/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,BRISTOL UNIVERSITY OF,ERS-565053-130388," 55,495 ",Cancer - Prostate,BS8 1TH,,,PUBLIC,
,,01/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,OXFORD UNIVERSITY OF,ERS-565058-130395," 51,245 ",Cancer - Prostate,OX1 2XN,,,PUBLIC,
,,01/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,DUNDEE UNIVERSITY OF,ERS-565062-130392," 25,562 ",HTA Commissioned Research,DD1 4HN,,,PUBLIC,
,,01/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,SHEFFIELD UNIVERSITY OF,ERS-565063-130396," 26,910 ",NIHR Fellowships,S10 2UH,,,PUBLIC,
,,01/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,SHEFFIELD UNIVERSITY OF,ERS-565064-130397," 26,874 ",NIHR Fellowships,S10 2UH,,,PUBLIC,
,,01/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,YORK UNIVERSITY OF,ERS-565066-130398," 40,676 ",Targeted Capacity Building,YO10 5DD,,,PUBLIC,
,,01/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-565090-130443," 83,738 ",PROJECTS,WC1E 7HT,,,PUBLIC,
,,01/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,UNIVERSITY COLLEGE LONDON UCL,ERS-565093-130444," 46,360 ",Invention for Innovation,WC1E 6BT,,,PUBLIC,
,,01/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,UNIVERSITY COLLEGE LONDON UCL,ERS-565094-130445," 59,155 ",Invention for Innovation,WC1E 6BT,,,PUBLIC,
,,01/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-565095-130441," 26,224 ",Invention for Innovation,SE1 9RT,,,PUBLIC,
,,02/12/2016,Outsourcing Contract,Acute Care and Workforce,DD: WLF Cap & Inf,ACADEMY OF MEDICAL ROYAL COLLEGES AOMRC,16.793," 80,000 ",Medical Training Initiative 16-17,EC1V 0DB,,,PUBLIC,
,,02/12/2016,Building repairs & maintenance,Finance and Group Operations,DD: Holding Richmond House,EMCOR FACILITIES SERVICES LTD,00435558RI," 29,828 ","Richmond House - Emcor FM Variable Building Maintenance Works FY2016/2017 @ £50,000 mthly profile",SO53 3YE,,,LARGE,
,,02/12/2016,Building repairs & maintenance,Finance and Group Operations,DD: Holding Skipton House,EMCOR FACILITIES SERVICES LTD,00435556RI," 50,270 ","Skipton House - FM Variable Building Maintenance Works FY2016/2017 @ £41,666.66 mthly profile",SO53 3YE,,,LARGE,
,,02/12/2016,Building repairs & maintenance,Finance and Group Operations,DD: Holding Wellington House,EMCOR FACILITIES SERVICES LTD,00435557RI," 38,471 ","Wellington House - FM Variable Building Maintenance Works FY2016/2017 @ £25,000 mthly profile",SO53 3YE,,,LARGE,
,,02/12/2016,Contractor/Staff Substitution,Finance and Group Operations,DD: Procurement Transformation,CAPITA BUSINESS SERVICES LTD CL1 ONLY,LO10160686," 26,005 ",Days – Supplychain PTP,,,,LARGE,
,,02/12/2016,Other programme expenditure,Finance and Group Operations,DD: Procurement Transformation,CROWN COMMERCIAL SERVICE CCS,SINMIS6772," 225,072 ",Q1&Q2-CTT/EY-PTP Costs,L3 9PP,,,PUBLIC,
,,02/12/2016,Outsourcing Contract,Global and Public Health,DD: Phys Act & Hlth in WL & Educn,NHS SUPPLY CHAIN,9047000051," 793,455 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2016/17 - 1st June 2016 to 31st March 2017,DE55 4QJ,,,PUBLIC,
,,02/12/2016,Outsourcing Contract,Global and Public Health,DD: Phys Act & Hlth in WL & Educn,NHS SUPPLY CHAIN,9047000052," 67,367 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2016/17 - 1st June 2016 to 31st March 2017,DE55 4QJ,,,PUBLIC,
,,02/12/2016,Outsourcing Contract,"Science, Research & Evidence",DD: Research Finance & Programmes,LGC LTD,50539253," 909,295 ",Central Commissioning Function,TW11 0LY,,,LARGE,
,,05/12/2016,Publicity & advertising,Acute Care and Workforce,"DD: Children, Mat, Develop",IPSOS MORI UK LTD,16002102," 37,900 ",Phase Two of IPos MORI Motivations research,HA1 1PT,,,LARGE,
,,05/12/2016,Additions NHS FTs Capital Investment Loans,Central Technical,DD: NHS FC,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,HAFS-22131," 2,000,000 ",,TS24 9AH,,,PUBLIC,
,,05/12/2016,Additions NHS FTs Capital Investment Loans,Central Technical,DD: NHS FC,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,HAFS-22134," 10,000,000 ",,S10 2TH,,,PUBLIC,
,,05/12/2016,Additions NHS Trust Capital Investment Loans,Central Technical,DD: NHS FC,LONDON NORTH WEST HEALTHCARE NHS TRUST,HAFS-22129," 2,000,000 ",,M20 4BX,,,PUBLIC,
,,05/12/2016,Additions NHS Trust Capital Investment Loans,Central Technical,DD: NHS FC,LONDON NORTH WEST HEALTHCARE NHS TRUST,HAFS-22130," 1,637,000 ",,M20 4BX,,,PUBLIC,
,,05/12/2016,Additions PDC Capital Support NHS FT Permanent,Central Technical,DD: NHS FC,OXFORD HEALTH NHS FOUNDATION TRUST,HAFS-22132," 109,000 ",,OX4 4XN,,,PUBLIC,
,,05/12/2016,Additions PDC Capital Support NHS FT Permanent,Central Technical,DD: NHS FC,OXFORD HEALTH NHS FOUNDATION TRUST,HAFS-22133," 65,000 ",,OX4 4XN,,,PUBLIC,
,,05/12/2016,Additions PDC Capital Support NHS T Permanent,Central Technical,DD: NHS FC,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,HAFS-22127," 182,000 ",,BA1 3QE,,,PUBLIC,
,,05/12/2016,Additions PDC Capital Support NHS T Permanent,Central Technical,DD: NHS FC,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,HAFS-22128," 75,000 ",,BA1 3QE,,,PUBLIC,
,,05/12/2016,DH Support to Mergers,Central Technical,DD: Unassigned Cost Centres,THE ROYAL WOLVERHAMPTON NHS TRUST,0000198796," 475,000 ",Stafford Transition and integration costs,WV10 0QP,,,PUBLIC,
,,05/12/2016,DH Support to Mergers,Central Technical,DD: Unassigned Cost Centres,THE ROYAL WOLVERHAMPTON NHS TRUST,0000198796," 84,000 ",Transaction costs,WV10 0QP,,,PUBLIC,
,,05/12/2016,Professional fees,Community Care,DD: Forensic Mental Health,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,53460020," 51,968 ",Central and North West London NHS Foundation Trust to exercise the section 12(2)/Approved Clinician Approvals Function in accordance with statutory instructions issued by Secretary of State for NHS London. Panel 3 CPA no. 513747,NW1 2PL,,,PUBLIC,
,,05/12/2016,Outsourcing Contract,Community Care,DD: Older People & Dementia,ALZHEIMERS SOCIETY,GAA006," 30,803 ",Funding to Alzheimer's Society - Building Dementia Friends and Dementia Friendly Communities in a National and International context,E1W 1LB,,,VCS,
,,05/12/2016,Outsourcing Contract,Community Care,DD: Older People & Dementia,ALZHEIMERS SOCIETY,GAA006," 25,000 ",Funding to Alzheimer's Society - Building Dementia Friends and Dementia Friendly Communities in a National and International context,E1W 1LB,,,VCS,
,,05/12/2016,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,CORC LTD,ERS-565133-130461," 241,122 ",IESD Ref 54152572 - CORC 2016-17 - YEAR 3,NW3 5SD,,,VCS,
,,05/12/2016,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,ADFAM,ERS-565143-130481," 26,404 ",IESD 2015/16 2574599 Adfam The Recovery Partnership,N1 6DR,,,VCS,
,,05/12/2016,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,ARTHRITIS CARE,ERS-565165-130501," 50,135 ",HSCVF Arthritis Care 2013/National/003 2016-17,NW1 2HD,,,VCS,
,,05/12/2016,Storage costs,Community Care,"DD: Pricing, Prescription and Supply",ECOLAB LTD,1260233," 23,121 ",,,,,SME,
,,05/12/2016,Contractor/Staff Substitution,Finance and Group Operations,DD: Procurement Transformation,CAPITA BUSINESS SERVICES LTD CL1 ONLY,LO10160666," 25,811 ",Steve Terzeon - Days for Exit Manager,,,,LARGE,
,,05/12/2016,Provisions cash payment,Global and Public Health,DD: Infectious Diseases & Blood,MFET LTD,MFET-11/2016-17," 50,061 ",MFET Ltd funding 2016/17.,SW1H 0QS,,,VCS,
,,05/12/2016,Outsourcing Contract,Global and Public Health,DD: Tobacco & Responsibility Deal,Essentra Filters Products Ltd,0000040322," 22,220 ",Tobacco Surveillance Programme - Testing of cigarettes for TNCO - Extension to contract,NE32 3UP,,,LARGE,
,,05/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,SOUTHAMPTON UNIVERSITY OF,ERS-565183-130525," 167,149 ",Invention for Innovation,SO17 1BJ,,,PUBLIC,
,,05/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,UNIVERSITY COLLEGE LONDON UCL,ERS-565186-130524," 61,803 ",HTA Researcher Lead,WC1E 6BT,,,PUBLIC,
,,06/12/2016,DH Support to Mergers,Central Technical,DD: Unassigned Cost Centres,ROYAL FREE LONDON NHS FOUNDATION TRUST,I0133398," 1,680,000 ",Implementation of Barnet and Chase Farm Operational Efficiency,NW3 2QG,,,PUBLIC,
,,06/12/2016,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,Endometriosis UK,ERS-565221-130561," 32,702 ",2014-15 IESD award to Endometriosis UK ref 54156374,W1U 7LS,,,VCS,
,,06/12/2016,Outsourcing Contract,Finance and Group Operations,DD: Procurement Services,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6291870," 197,957 ",2016-17 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,,PUBLIC,
,,06/12/2016,Outsourcing Contract,Finance and Group Operations,DD: Procurement Services,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6291870," 282,062 ",2016-17 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,,PUBLIC,
,,06/12/2016,Outsourcing Contract,Global and Public Health,DD: Phys Act & Hlth in WL & Educn,SERCO LTD,91327220," 228,456 ",Serco Ltd - For services provided on the Healthy Start Issuing Unit (HSIU) - April 2014 to March 2017,RG27 9UY,,,LARGE,
,,06/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,LEEDS TEACHING HOSPITAL NHS TRUST,1410059026," 95,250 ",NIHR Leadership Programme,LS9 7TF,,,PUBLIC,
,,07/12/2016,Professional fees,Acute Care and Workforce,DD: Pay and Pensions,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000029999," 299,781 ",NHS BSA payments 2016-17,NE1 6SN,,,PUBLIC,
,,07/12/2016,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,The Care Leavers Association,ERS-565281-130621," 34,142 ",2014-15 IESD award to The Care Leavers Association ref 54136168,M2 2BE,,,PUBLIC,
,,07/12/2016,Outsourcing Contract,Community Care,"DD: Pricing, Prescription and Supply",IMSWorld Publications Limited,4043041008," 35,882 ",,N1 9JY,,,LARGE,
,,07/12/2016,Outsourcing Contract,Finance and Group Operations,DD: 39Victoria Street,ATOS IT SOLUTIONS AND SERVICES LTD,5584223121," 44,040 ",WR1043-02 - 39 Victoria Street Building - DH Accommodation Move - IT Project,WS11 0JA,,,LARGE,
,,07/12/2016,Rates,Finance and Group Operations,DD: Holding Quarry House,DEPARTMENT FOR WORK AND PENSIONS (DWP),5029383," 109,460 ","QH - Business Rates FY2016-17 @ £130,402 (10 monthly payments).",FY5 3TA,,,PUBLIC,
,,07/12/2016,Rent of Land & Buildings (non-PFI operating lease),Finance and Group Operations,DD: Holding Quarry House,DEPARTMENT FOR WORK AND PENSIONS (DWP),5029383," 595,398 ","QH - Rent FUP FY2016-17 @ £605,805.50 monthly",FY5 3TA,,,PUBLIC,
,,07/12/2016,Utilities,Finance and Group Operations,DD: Holding Quarry House,DEPARTMENT FOR WORK AND PENSIONS (DWP),2934767," 39,859 ","QH - Utility Charges FY2016-17 @ £42,144.33 mthly",FY5 3TA,,,PUBLIC,
,,07/12/2016,Utilities,Finance and Group Operations,DD: Holding Quarry House,DEPARTMENT FOR WORK AND PENSIONS (DWP),5029383," 2,946 ","QH - Utility Charges FY2016-17 @ £42,144.33 mthly",FY5 3TA,,,PUBLIC,
,,07/12/2016,Utilities,Finance and Group Operations,DD: Holding Wellington House,EDF ENERGY PLC,6777210000/000002344720," 26,104 ","Wellington House - Electricity Charges from April 2016 - March 2017 @ £30,548 monthly",PL3 5XQ,,,LARGE,
,,08/12/2016,Consultancy/Professional Advice,Acute Care and Workforce,DD: Property,DELOITTE,1111382954," 381,384 ",Estates analysis,MK9 1FD,,,LARGE,
,,08/12/2016,Revenue Grants to Other Bodies,Acute Care and Workforce,DD: WLF Dev Strategy,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),ERS-565292-130681," 12,000,000 ",NHS Business Services Authority,NE1 6SN,,,PUBLIC,
,,08/12/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,IAT TRANSFER," 10,000,000 ",,WF3 1WE,,,PUBLIC,
,,08/12/2016,Outsourcing Contract,Community Care,"DD: Children, Mat, Develop",WOMENS AID FEDERATION OF ENGLAND,2801," 25,900 ",[2] PSBC 6644 Woman's Aid - guidance for social work with coercive & controlling behaviour,BS2 2EH,,,VCS,
,,08/12/2016,Outsourcing Contract,Community Care,DD: DG and support,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12673822," 44,844 ",HSCIC [NHSD] - Direct Commissions - 26 Mental Health - Out of Area Placements,LS1 6AE,,,PUBLIC,
,,08/12/2016,Arm Length Bodies-Revenue Subsidy,Community Care,DD: Holding CC Closure (IGT),MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY MHP033,1620094," 810,000 ",MHRA Devices 2016-17 Programme Funding,SW1W 9SZ,,,PUBLIC,
,,08/12/2016,Arm Length Bodies-Revenue Subsidy,Community Care,DD: Holding CC Closure (IGT),MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY MHP033,1620095," 1,250,000 ",MHRA - NIBSC 2016-17 Programme Funding,SW1W 9SZ,,,PUBLIC,
,,08/12/2016,Revenue Grants to non-profit institutions,Community Care,DD: Mental Health Strategy,MIND,ERS-565287-130661," 1,494,889 ",2016/001 Mind - Time to Change Phase 3 Funding - Year 1 2016-17 Part 1,E15 4BQ,,,VCS,
,,08/12/2016,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,CENTRE FOR MENTAL HEALTH,ERS-565286-130641," 237,150 ",Centre for Mental Health: 54094399: Making Work Work Final Amount,SE1 1LB,,,VCS,
,,08/12/2016,Essential Meds SPG - Additions,Community Care,"DD: Pricing, Prescription and Supply",BRISTOL LABORATORIES LTD,9098158," 147,462 ",,,,,LARGE,
,,08/12/2016,Radio communications,Finance and Group Operations,DD: Procurement Services,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-514," 310,602 ",April 16 - March 17 CCN Charges,SL1 2EJ,,,LARGE,
,,08/12/2016,Service charge,Finance and Group Operations,DD: Procurement Services,BRAVOSOLUTION UK LTD,BUK16V0006657," 32,175 ",BravoSolution Spend Analysis tool - Extension to Feb-17,EC2M 7AD,,,LARGE,
,,08/12/2016,Policy Payments,Global and Public Health,DD: Health Science & Bioethics,HOMES AND COMMUNITIES AGENCY (HCA),S0012966," 60,000 ",Homelessness Change Funding for 2016/2017,NE11 0NA,,,PUBLIC,
,,08/12/2016,Provisions cash payment,Global and Public Health,DD: Infectious Diseases & Blood,SKIPTON FUND LTD,CHAPS," 3,550,791 ",Skipton Fund - funding for 2016-17 UK additional payments,SW1H 0QS,,,VCS,
,,08/12/2016,Provisions cash payment,Global and Public Health,DD: Infectious Diseases & Blood,SKIPTON FUND LTD,CHAPS," 18,000,000 ",Skipton Fund funding for 2016-17 - additional payments,SW1H 0QS,,,VCS,
,,08/12/2016,Provisions cash payment,Global and Public Health,DD: Infectious Diseases & Blood,SKIPTON FUND LTD,CHAPS," 1,164,236 ",Skipton Fund funding for 2016-17,SW1H 0QS,,,VCS,
,,08/12/2016,Provisions cash payment,Global and Public Health,DD: Infectious Diseases & Blood,MFET LTD,MFET-12/2016-17," 47,813 ",MFET Ltd funding 2016/17.,SW1H 0QS,,,VCS,
,,08/12/2016,Outsourcing Contract,Global and Public Health,DD: Phys Act & Hlth in WL & Educn,NHS SUPPLY CHAIN,9047000053," 215,381 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2016/17 - 1st June 2016 to 31st March 2017,DE55 4QJ,,,PUBLIC,
,,08/12/2016,Outsourcing Contract,Global and Public Health,DD: Phys Act & Hlth in WL & Educn,NHS SUPPLY CHAIN,9047000054," 74,564 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2016/17 - 1st June 2016 to 31st March 2017,DE55 4QJ,,,PUBLIC,
,,08/12/2016,Outsourcing Contract,Global and Public Health,DD: Phys Act & Hlth in WL & Educn,NHS SUPPLY CHAIN,9047000055," 136,571 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2016/17 - 1st June 2016 to 31st March 2017,DE55 4QJ,,,PUBLIC,
,,08/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,LIVERPOOL UNIVERSITY OF,ERS-565306-130701," 216,017 ",TARs,L69 3BX,,,PUBLIC,
,,08/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,IMPERIAL COLLEGE LONDON,ERS-565307-130721," 625,000 ",Unallocated,SW7 2AZ,,,PUBLIC,
,,08/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-565313-130761," 46,250 ",Invention for Innovation,NG7 2UK,,,PUBLIC,
,,08/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,OXFORD UNIVERSITY OF,ERS-565316-130764," 83,391 ",HS & DR,OX1 2XN,,,PUBLIC,
,,09/12/2016,Outsourcing Contract,Community Care,DD: Independent Living Programme,INCLUSION NORTH CIC,785," 37,763 ",Contract for support of National Forum of People with Learning Disability & National Valuing Families Forum Second year ( Replacing PO 521915),LS6 2NY,,,VCS,
,,09/12/2016,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,ACTION FOR BLIND PEOPLE,ERS-565339-130801," 43,053 ",IESD 54106729 2014/15 - Action Talking Therapy Network,SW12 8BA,,,VCS,
,,09/12/2016,Storage costs,Community Care,"DD: Pricing, Prescription and Supply",MARTINDALE PHARMACEUTICALS LTD,90212888," 215,428 ",,,,,LARGE,
,,09/12/2016,Revenue Grants to non-profit institutions,Community Care,DD: Strategic Analysis & Finance,SOCIAL CARE INSTITUTE FOR EXCELLENCE SCIE,ERS-565324-130781," 1,198,000 ",2016/016 SCIE - 4 Workstreams - Work Programme 2016/17,NW1 6AQ,,,VCS,
,,09/12/2016,Policy Payments,Finance and Group Operations,DD: Departmental Financial Management & Partnering,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT (DCLG),LA SOCIAL CARE PFI (3)," 6,168,870 ",DCLG payments in respect of LA social care PFI - 2016-17,SW1E 5DU,,,PUBLIC,
,,09/12/2016,Utilities,Finance and Group Operations,DD: Holding Richmond House,EDF ENERGY PLC,000002343697," 27,174 ","Richmond House - Electricity Charges from April 2016 - March 2017 @ £21,667 monthly",PL3 5XQ,,,LARGE,
,,09/12/2016,Utilities,Finance and Group Operations,DD: Holding Richmond House,EDF ENERGY PLC,000002343697,-0 ,,PL3 5XQ,,,LARGE,
,,09/12/2016,Utilities,Finance and Group Operations,DD: Holding Skipton House,EDF ENERGY PLC,000002336723," 44,394 ","Skipton House - Electricity Charges from April 2016 - March 2017 @ £48,167 monthly",PL3 5XQ,,,LARGE,
,,09/12/2016,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,Enigma Diagnostics Ltd,1000050," 238,506 ",Invention for Innovation,SP4 0JQ,,,SME,
,,12/12/2016,Capital Grants to non-profit institutions,Acute Care and Workforce,DD: WLF Cap & Inf,SKILLS FOR CARE LTD,ERS-565365-130841," 74,000 ",2016/010B Skills for Care Capital Funding,LS1 2RP,,,VCS,
,,12/12/2016,Revenue Grants to non-profit institutions,Acute Care and Workforce,DD: WLF Dev Strategy,SKILLS FOR CARE LTD,ERS-565356-130821," 1,596,000 ",2016/010a Skills for Care - 2016/17 Revenue Grant,LS1 2RP,,,VCS,
,,12/12/2016,Additions NHS FTs Capital Investment Loans,Central Technical,DD: NHS FC,BOLTON NHS FOUNDATION TRUST,HAFS-22136," 814,000 ",,BL4 0JR,,,PUBLIC,
,,12/12/2016,Additions NHS FTs Capital Investment Loans,Central Technical,DD: NHS FC,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,HAFS-22139," 52,000 ",,CO4 5JL,,,PUBLIC,
,,12/12/2016,Additions NHS FTs Capital Investment Loans,Central Technical,DD: NHS FC,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,HAFS-22148," 523,000 ",,NN16 8UZ,,,PUBLIC,
,,12/12/2016,Additions NHS FTs Capital Investment Loans,Central Technical,DD: NHS FC,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-22155," 3,000,000 ",,LU4 0D,,,PUBLIC,
,,12/12/2016,Additions NHS FTs Working Capital Loans,Central Technical,DD: NHS FC,CALDERDALE & HUDDERSFIELD NHS FOUNDATION TRUST,HAFS-22137," 1,367,000 ",,HD3 3EA,,,PUBLIC,
,,12/12/2016,Additions NHS FTs Working Capital Loans,Central Technical,DD: NHS FC,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-22138," 4,168,000 ",,CB2 2QQ,,,PUBLIC,
