Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,Cabinet Office,03/07/12,LORD LIEUTENANTS EXPENSES,POLITICAL AND CONSTITUTIONAL REFORM,GREATER LONDON LIEUTENANCY,3000027366,"51,578.50",Quarterly advance expense payments to Her Majesty's Lord Lieutenants,SW1E 6QP,Large,Program
Cabinet Office,Cabinet Office,03/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,NESTA,3000027375,"43,000.00",Innovation in Giving Fund Project Grant 2012/13,EC4A 1DE,SME,Grants
Cabinet Office,Cabinet Office,03/07/12,LORD LIEUTENANTS EXPENSES,POLITICAL AND CONSTITUTIONAL REFORM,WEST MIDLANDS LIEUTENANCY,3000027386,"36,910.00",Quarterly advance expense payments to Her Majesty's Lord Lieutenants,B92 0JL,Large,Program
Cabinet Office,Cabinet Office,03/07/12,OTHER IS IT COSTS VAT RECOV,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000027380,"33,568.91",Monthly managed service,HP2 7AH,Large,Program
Cabinet Office,Cabinet Office,03/07/12,LORD LIEUTENANTS EXPENSES,POLITICAL AND CONSTITUTIONAL REFORM,GREATER MANCHESTER LIEUTENANCY,3000027367,"30,658.50",Quarterly advance expense payments to Her Majesty's Lord Lieutenants,M15 4AX,Large,Program
Cabinet Office,Cabinet Office,03/07/12,LORD LIEUTENANTS EXPENSES,POLITICAL AND CONSTITUTIONAL REFORM,MERSEYSIDE LIEUTENANCY,3000027371,"30,106.25",Quarterly advance expense payments to Her Majesty's Lord Lieutenants,L69 3EN,Large,Program
Cabinet Office,Cabinet Office,03/07/12,LORD LIEUTENANTS EXPENSES,POLITICAL AND CONSTITUTIONAL REFORM,LORD LIEUTENANT OF WEST YORKSHIRE,3000027370,"29,104.25",Quarterly advance expense payments to Her Majesty's Lord Lieutenants,LS23 6LP,Large,Program
Cabinet Office,Cabinet Office,04/07/12,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000027400,"63,145.70","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Program
Cabinet Office,Cabinet Office,04/07/12,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,PARLIAMENTARY COUNSEL OFFICE,LEXIS NEXIS BUTTERWORTHS,3000027418,"40,639.66",Purchase of legal publications,CR9 5AF,Large,Administration
Cabinet Office,Government Procurement Service,04/07/12,Maintenance & Repairs - IT,Enablement Projects,European Dynamics,PINVP2P 930,"33,875.00","Helpdesk support, licences and hosting charges",SE19 3RW,SME,Administration
Cabinet Office,Government Procurement Service,04/07/12,Portal Costs,Audit,Fuse 8,PINVP2P 932,"31,500.00",Corporate portal maintenance and support,LS15 8ZB,SME,Administration
Cabinet Office,Cabinet Office,05/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,YOUNG DEVON,3000027468,"327,672.00",National Citizen Service project grant,PL21 0AB,Large,Grants
Cabinet Office,Cabinet Office,05/07/12,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT CIO SUMMARY,CESG,3000027450,"100,000.80","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",GL51 0EX,Government Department,Program
Cabinet Office,Cabinet Office,05/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,INSPIRA CUMBRIA LTD,3000027460,"258,020.00",National Citizen Service project grant,CA10 2HX,Large,Grants
Cabinet Office,Cabinet Office,05/07/12,FM CONTRACT VARIABLE,ESTATE MANAGEMENT,ETDE FM,3000027457,"75,565.00",Facilities Management Services,BN1  1HG,Large,Administration
Cabinet Office,Cabinet Office,05/07/12,LEGAL ADVICE FROM TSOL,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000027466,"61,948.58",Legal team costs,WC2B 4TS,Government Department,Administration
Cabinet Office,Cabinet Office,05/07/12,ADDITIONSAUC F/H NON RES BLDGS,ESTATE MANAGEMENT,ETDE FM,3000027454,"60,981.60",Refurbishment of 70 Whitehall,BN1  1HG,Large,Administration
Cabinet Office,Cabinet Office,05/07/12,TELECOM RENTALS,PRIME MINISTERS OFFICE,BT,3000027449,"49,876.42",Telecomms Line Rentals,DH98 1BT,Large,Administration
Cabinet Office,Cabinet Office,05/07/12,PUBLICITY ADVERTISING MEDIA,INTELLIGENCE SECURITY AND RESILIENCE,CYBER SECURITY CHALLENGE UK LTD,3000027452,"45,000.00",Get Safe On Line campaign,HP9 2YX,SME,Program
Cabinet Office,Government Procurement Service,05/07/12,Payroll Solutions COS,Payroll Solutions,Logica CMG UK Ltd,PINVP2P 863,"31,987.99",Payroll managed service costs,TW18 4LG,Large,Program
Cabinet Office,Cabinet Office,06/07/12,OTHER IS IT COSTS VAT RECOV,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000027500,"27,307.78",Monthly managed service,HP2 7AH,Large,Program
Cabinet Office,Cabinet Office,09/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,SAFE IN TEES VALLEY,3000027539,"385,979.00",National Citizen Service project grant,TS18 3TS,SME,Grants
Cabinet Office,Cabinet Office,09/07/12,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT CIO SUMMARY,ADVALUS LTD,3000027514,"179,760.00","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SN13 0RP,SME,Program
Cabinet Office,Cabinet Office,09/07/12,NON PRIME UTILITIES,FINANCIAL MANAGEMENT,EDF ENERGY LTD,3000027522,"33,884.54",Utilities charge,PL3 5XQ,Large,Administration
Cabinet Office,Cabinet Office,09/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,SEFTON COUNCIL FOR VOLUNTARY SERVICE,3000027540,"90,567.00",National Citizen Service project grant,L22 0NY,SME,Grants
Cabinet Office,Cabinet Office,09/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,YOUNG LIVES,3000027550,"33,500.00",National Citizen Service project grant,PE27 5EH,SME,Grants
Cabinet Office,Cabinet Office,09/07/12,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000027516,"29,654.03",Interim IT Specialists,SL6 1DP,Large,Program
Cabinet Office,Cabinet Office,10/07/12,OTHER TRAVEL COSTS,OFFICE OF THE DEPUTY PRIME MINISTER,HOGG ROBINSON TRAVEL LTD,3000027582,"25,027.77",Official travel,GU14 7NJ,Large,Administration
Cabinet Office,Cabinet Office,11/07/12,CONSULTANTS VAT RECOVERABLE,SCHEME MANAGEMENT EXECUTIVE,AON HEWITT,3000027611,"59,357.28",Professional services,KT18 5BS,Large,Administration
Cabinet Office,Cabinet Office,12/07/12,SERVICE PAYMENTS,IT AND TELECOMS BRANCH,DWP,3000027659,"462,506.00",Provision of shared services,FY5 3TA,Government Department,Administration
Cabinet Office,Cabinet Office,12/07/12,SOFTWARE LEASE/LICENSE,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES,3000027652,"52,810.80",High Integrity Telecomms System project costs,NW9 6LB,Large,Program
Cabinet Office,Cabinet Office,12/07/12,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000027654,"56,736.98","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Program
Cabinet Office,Cabinet Office,12/07/12,OTHER IS IT COSTS VAT RECOV,IT AND TELECOMS BRANCH,HM TREASURY,3000027667,"43,754.68",IT services costs,NR7 0HS,Government Department,Administration
Cabinet Office,Cabinet Office,12/07/12,ADDITIONS - FH NON RES BLDGS,PRIME MINISTERS OFFICE,ETDE FM,3000027661,"40,094.99",ICT Infrastructure Renewal,BN1  1HG,Large,Administration
Cabinet Office,Cabinet Office,12/07/12,OTHER IS IT COSTS VAT RECOV,IT AND TELECOMS BRANCH,VODAFONE LTD,3000027691,"30,888.34",Mobile phone costs,RG14 2FN,Large,Administration
Cabinet Office,Cabinet Office,13/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,PETROC,3000027745,"204,243.00",National Citizen Service project grant,EX31 2BQ,SME,Grants
Cabinet Office,Cabinet Office,13/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,REACHFOR,3000027749,"199,910.00",National Citizen Service project grant,CA11 9BP,SME,Grants
Cabinet Office,Cabinet Office,13/07/12,PUBLICITY ADVERTISING MEDIA,INTELLIGENCE SECURITY AND RESILIENCE,ENDURANCE LTD,3000027718,"232,000.00",Get Safe On Line campaign,SW1V 1BZ,SME,Program
Cabinet Office,Cabinet Office,13/07/12,LEGAL ADVICE FROM TSOL,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000027764,"91,830.31",Fees and disbursements and legal team costs,WC2B 4TS,Government Department,Administration
Cabinet Office,Cabinet Office,13/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,PARTNERSHIP NETWORK LTD,3000027744,"50,121.00",National Citizen Service project grant,PO17 5PQ,SME,Grants
Cabinet Office,Cabinet Office,13/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,NAVCA,3000027740,"86,267.00",Strategic partners transition grant ,S1 4QL,SME,Grants
Cabinet Office,Cabinet Office,13/07/12,CONSULTANTS VAT RECOVERABLE,GOVERNMENT PROPERTY UNIT,SAVILLS COMMERCIAL LTD,3000027752,"25,000.00",Production of a report exploring the potential options and associated costs for the future use of the Old War Office building,CB2 8PA,Large,Program
Cabinet Office,Cabinet Office,16/07/12,PENSIONER PAYROLL CONTRACTOR,SCHEME MANAGEMENT EXECUTIVE,DEPARTMENT FOR WORK & PENSIONS,3000027790,"7,464,110.17",11/12 MyCSP running costs,FY5 3TA ,Government Department,Administration
Cabinet Office,Cabinet Office,16/07/12,PENSIONER PAYROLL CONTRACTOR,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,3000027798,"2,773,377.27",Monthly Pension Administration charge,LS2 7UA,Large,Administration
Cabinet Office,Cabinet Office,16/07/12,INCOME FROM OUTSIDE BODIES,CIVIL SERVICE PENSIONS,DEPARTMENT FOR WORK & PENSIONS,3000027790,"54,189.60",Provision of Pensions Administration,FY5 3TA ,Government Department,Administration
Cabinet Office,Cabinet Office,16/07/12,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,ESTATE MANAGEMENT,RICOH UK LTD,3000027800,"36,488.16",Reprographic Services,CR5 2HR,Large,Administration
Cabinet Office,Cabinet Office,16/07/12,CONTRACTORS & STAFF SUBSTITUTIONS,ERG STRATEGY AND MANAGEMENT INFORMATION,CESG,3000027789,"30,000.00",Security specialist to review relevant IT Spend Controls business cases and to assist in the ICT elements of setting-up the Croydon Hub,GL51 0EX,Government Department,Administration
Cabinet Office,Cabinet Office,16/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,YOUTHNET UK,3000027810,"300,000.00",Transition funding for a youth volunteering web site.,EC1Y 8RT,Large,Grants
Cabinet Office,Cabinet Office,17/07/12,SERVICE PAYMENTS,SCHEME MANAGEMENT EXECUTIVE,DEPARTMENT FOR WORK & PENSIONS,3000027825,"7,356,217.77",MyCSP Programme costs,FY5 3TA,Government Department,Administration
Cabinet Office,Cabinet Office,17/07/12,ALL OTHER TRAINING AND DVEVELOPMENT NON VAT RECOVERABLE,OFFICE FOR CIVIL SOCIETY,LOCALITY,3000027830,"768,733.80",Strategic partners transition grant ,N1 6DR,Large,Program
Cabinet Office,Cabinet Office,17/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,CATCH22 CHARITY LTD,3000027822,"420,773.00",National Citizen Service project grant,EC1V 9BW,Large,Grants
Cabinet Office,Cabinet Office,17/07/12,Research and Development (VAT recoverable),ERG STRATEGY AND MANAGEMENT INFORMATION,OXFORD SAID BUSINESS SCHOOL LTD,3000027833,"37,875.83",Payment for development of Phase 1 residential module of the Government’s Major Projects Leadership Academy’,OX1 5NY,SME,Administration
Cabinet Office,Cabinet Office,17/07/12,OTHER IS IT COSTS VAT RECOV,GOVERNMENT DIGITAL SERVICE,CIMEX MEDIA LTD,3000027823,"37,343.86",Support and maintenance of the Directgov Mobile site,EC2A 4PJ,SME,Program
Cabinet Office,Cabinet Office,17/07/12,OTHER IS IT COSTS VAT RECOV,ERG STRATEGY AND MANAGEMENT INFORMATION,CORPORATE DOCUMENT SERVICES LTD,3000027824,"33,822.01","Monthly payment for the support, maintenance and minor development of e-PIMS, the government property database",LS2 LY,Large,Administration
Cabinet Office,Cabinet Office,18/07/12,OTHER IS IT COSTS VAT RECOV,GOVERNMENT DIGITAL SERVICE,AGILE DELIVERY NETWORK,3000027852,"39,200.00",Changes and improvements on e-petitions site,1E 6PL,SME,Program
Cabinet Office,Cabinet Office,19/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,THE SOCIAL INVESTMENT BUSINESS,3000027926,"7,837,402.00",Social Action Fund grants,WC1H 8AG,SME,Grants
Cabinet Office,Cabinet Office,19/07/12,OTHER IS IT COSTS VAT RECOV,IT AND TELECOMS BRANCH,DWP,3000027896,"60,231.02",Provision of IT and Network access,FY5 3TA ,Government Department,Administration
Cabinet Office,Cabinet Office,19/07/12,ALL OTHER TRAINING AND DVEVELOPMENT NON VAT RECOVERABLE,PARLIAMENTARY COUNSEL OFFICE,MEKON LTD,3000027913,"98,416.80",IT software support and maintenance ,SM1 1JN,SME,Administration
Cabinet Office,Cabinet Office,19/07/12,FM CONTRACT FIXED COSTS,PRIME MINISTERS OFFICE,ETDE FM,3000027898,"25,216.71",Facilities Management Services,BN1  1HG,Large,Administration
Cabinet Office,Cabinet Office,20/07/12,FM CONTRACT FIXED COSTS,ESTATE MANAGEMENT,ETDE FM,3000027952,"853,610.97",Facilities Management Services,BN1  1HG,Large,Administration
Cabinet Office,Cabinet Office,20/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,THE FOOTBALL LEAGUE COMMUNITY LTD,3000027971,"386,840.00",National Citizen Service project grant,PR2 2YF,SME,Grants
Cabinet Office,Cabinet Office,20/07/12,PUBLICITY ADVERTISING MEDIA,POLICY COMMUNICATIONS,MOTHER LONDON LTD,1000607,"92,000.00",Great Campaign,E2 7DD,Large,Administration
Cabinet Office,Cabinet Office,20/07/12,FM CONTRACT PROFITS,ESTATE MANAGEMENT,ETDE FM,3000027952,"68,410.32",Facilities Management Services,BN1  1HG,Large,Administration
Cabinet Office,Cabinet Office,20/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,CHANGEMAKERS,3000027948,"52,752.00",National Citizen Service project grant,N7 7QT,SME,Grants
Cabinet Office,Cabinet Office,20/07/12,FM CONTRACT FIXED COSTS,ESTATE MANAGEMENT,MITIE BUSINESS SERVICES LTD,3000027963,"48,911.10",Facilities Management Services,BS16 7FN,Large,Administration
Cabinet Office,Cabinet Office,20/07/12,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000027947,"42,907.72",Interim IT Specialists,SL6 1DP,Large,Program
Cabinet Office,Cabinet Office,20/07/12,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000027947,"35,179.68",Interim IT Specialists,SL6 1DP,Large,Program
Cabinet Office,Cabinet Office,23/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,THE SOCIAL INVESTMENT BUSINESS,3000028016,"255,507.00",Social Action Fund grants,WC1H 8AG,SME,Grants
Cabinet Office,Cabinet Office,23/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,NCVO,3000028006,"170,050.00",Grant to Compact Voice,N1 9RL,SME,Grants
Cabinet Office,Cabinet Office,23/07/12,CONSULTANTS VAT RECOVERABLE,ERG STRATEGY AND MANAGEMENT INFORMATION,HMRC,3000028009,"27,210.00",The costs associated with providing Technology in Business (TiB) fast streamers,E14 9SQ,Government Department,Administration
Cabinet Office,Cabinet Office,23/07/12,GRANT FUND MANAGEMENT,OFFICE FOR CIVIL SOCIETY,SOCIAL INVESTMENT BUSINESS,3000028013,"26,509.20",Grant Fund Management costs for the Social Action Fund grants,WC1H 8AG,SME,Grants
Cabinet Office,Cabinet Office,24/07/12,LEGAL ADVICE FROM TSOL,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000028070,"234,698.32",Telecomms Line Rentals,WC2B 4TS,Government Department,Administration
Cabinet Office,Cabinet Office,24/07/12,FM CONTRACT VARIABLE,ESTATE MANAGEMENT,ETDE FM,3000028044,"60,195.06",Facilities Management Services,BN1  1HG,Large,Administration
Cabinet Office,Cabinet Office,24/07/12,STAFF RELATED COSTS,POLICY COMMUNICATIONS,ISBA,3000028050,"36,000.00",Subscription to communications industry body ISBA,W1B 1PN,Large,Administration
Cabinet Office,Cabinet Office,25/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000028093,"2,190,938.00",National Citizen Service project grant,SE1 7HS,SME,Grants
Cabinet Office,Cabinet Office,25/07/12,OTHER IS IT COSTS VAT RECOV,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000028092,"188,177.50",Provision of Web Services for Transactional Services,B11 2LE,Large,Program
Cabinet Office,Cabinet Office,25/07/12,RESOURCE GRANTS PRIVATE SECTOR,GOVERNMENT DIGITAL SERVICE,GO ON UK,1000608,"150,000.00",Grant to Go On UK. To help get the public to use the web.,W1F 8HT,Large,Grants
Cabinet Office,Cabinet Office,25/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,GLOBAL ACTION PLAN,3000028088,"59,359.00",National Citizen Service project grant,WC2B 4AY,SME,Grants
Cabinet Office,Cabinet Office,25/07/12,OTHER IS IT COSTS VAT RECOV,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000028092,"34,746.61",Software development services to support the GDS Business Link/gov.uk replacement,B11 2LE,Large,Program
Cabinet Office,Cabinet Office,26/07/12,SERVICE PAYMENTS,IT AND TELECOMS BRANCH,DWP,3000028118,"154,166.00",Shared Services Charge,FY5 3TA,Government Department,Administration
Cabinet Office,Cabinet Office,26/07/12,OTHER IS IT COSTS VAT RECOV, WORKSPACE AND BETTER TOOLS PLAN,FUJITSU SERVICES,3000028123,"38,500.00",ICT services charge,SW1A 2WH,Large,Administration
Cabinet Office,Cabinet Office,26/07/12,OTHER IS IT COSTS VAT RECOV,ERG STRATEGY AND MANAGEMENT INFORMATION,CORPORATE DOCUMENT SERVICES LTD,3000028111,"38,334.96","Monthly payment for the support, maintenance and minor development of e-PIMS, the government property database",LS2 LY,Large,Administration
Cabinet Office,Cabinet Office,26/07/12,SERVICE CHARGES,GOVERNMENT DIGITAL SERVICE,FOOD STANDARDS AGENCY,3000028122,"33,397.88",Service Charge for accommodation for FY12/13,YO1 7PX,Government Department,Program
Cabinet Office,Cabinet Office,26/07/12,ALL OTHER TRAINING AND DVEVELOPMENT NON VAT RECOVERABLE,ERG CENTRAL TEAMS,PA CONSULTING SERVICES LTD,3000028143,"27,000.00",Provision of mutuals information service from 01/04/2012 to 7/11/2012,SW1W 9SR,SME,Program
Cabinet Office,Cabinet Office,27/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,YOUNG DEVON,3000028199,"127,890.00",National Citizen Service project grant,PL21 0AB,Large,Grants
Cabinet Office,Cabinet Office,27/07/12,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000028184,"43,127.76","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Program
Cabinet Office,Cabinet Office,27/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,CHANGEMAKERS,3000028185,"34,720.00",National Citizen Service project grant,N7 7QT,SME,Grants
Cabinet Office,Cabinet Office,30/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,NATIONAL YOUTH AGENCY,3000028219,"259,069.00",National Citizen Service project grant,LE5 3GL,SME,Grants
Cabinet Office,Cabinet Office,30/07/12,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000028214,"116,066.42","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Program
Cabinet Office,Cabinet Office,30/07/12,TELECOM RENTALS,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000028218,"72,790.64",High Integrity Telecomms System project costs,L2 3YL,Government Department,Program
Cabinet Office,Cabinet Office,30/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,NEW COLLEGE NOTTINGHAM,3000028220,"509,598.00",National Citizen Service project grant,NG1 1PR,Large,Grants
Cabinet Office,Cabinet Office,30/07/12,TELECOM SECURITY SERVICES,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000028218,"33,334.42",High Integrity Telecomms System project costs,L2 3YL,Government Department,Program
Cabinet Office,Cabinet Office,31/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,ACADEMY OF YOUTH LTD T/A UNIVERSITY OF FIRST AGE,3000028236,"220,896.00",National Citizen Service project grant,B3 1EP,SME,Grants
Cabinet Office,Cabinet Office,31/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,INSPIRA CUMBRIA LTD,3000028247,"118,120.00",National Citizen Service project grant,CA10 2HX,Large,Grants
Cabinet Office,Cabinet Office,31/07/12,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,INDEPENDENT OFFICES,DLA PIPER UK,3000028242,"35,000.00",Review of application of recruitment policy,EC2V 7EE,Large,Administration
Cabinet Office,Cabinet Office,31/07/12,GENERAL OFFICE EXPENSES VAT RECOVERABLE,POLITICAL AND CONSTITUTIONAL REFORM,LAW COMMISSION,3000028251,"31,250.00",12/13 Quarter 1 payment to Law Commission for review to overhaul and consolidate electoral law,SW1H 9LJ,Government Department,Administration
