Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,PO Number,PO line Description,Contract Number,Project Code
,,04/10/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-505047-80147,185924,412914,Programme Grants for NHS Trusts,,
,,04/10/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-505047-80147,185836,420321,Programme Grants for NHS Trusts,,
,,04/10/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-505047-80147,143304,474558,Programme Grants for NHS Trusts,,
,,04/10/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-505047-80147,194424,478322,Programme Grants for NHS Trusts,,
,,04/10/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-505047-80147,230044,496582,Programme Grants for NHS Trusts,,
,,04/10/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-505048-80148,27650,499315,Research for Patient Benefit,,
,,04/10/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-505051-80149,30960,402907,Programme Grants for NHS Trusts,,
,,04/10/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,ERS-505055-80141,41036,402411,Programme Grants for NHS Trusts,,
,,04/10/2013,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,NR4 7UY,ERS-505056-80145,191156,472357,Programme Grants for NHS Trusts,,
,,04/10/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,ERS-505059-80142,31966,458279,Research for Patient Benefit,,
,,04/10/2013,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,PUBLIC,WC1N 3JH,ERS-505061-80146,127632,416186,Programme Grants for NHS Trusts,,
,,04/10/2013,Research & development,DG: RDD,ROYAL CORNWALL HOSPITAL NHS TRUST,PUBLIC,TR1 2XN,ERS-505062-80143,115212,501457,Programme Grants for NHS Trusts,,
,,07/10/2013,Arm Length Bodies-Revenue Subsidy,DG: PHD,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHP033),PUBLIC,SW1W 9SZ,1459497,810000,505407,Medical and Healthcare Products Regulatory Agency (MHRA) 2013/14 Revenue allocation (Devices).  ,,
,,07/10/2013,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,BARNET & CHASE FARM HOSPITALS NHS TRUST,PUBLIC,EN5 3DJ,HAFS-16115,5000000,,,,
,,07/10/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,PUBLIC,DL3 6HX,HAFS-16116,200000,,,,
,,07/10/2013,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,EAST LANCASHIRE HOSPITALS NHS TRUST,PUBLIC,BB2 3HH,HAFS-16117,2000000,,,,
,,07/10/2013,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,EAST SUSSEX HEALTHCARE NHS TRUST,PUBLIC,TN37 7PT,HAFS-16118,9000000,,,,
,,07/10/2013,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,MID YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,WF1 4TU,HAFS-16119,2000000,,,,
,,07/10/2013,Additions PDC Revenue Support NHS FT Permenant,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PE3 6DA,HAFS-16120,5000000,,,,
,,07/10/2013,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,PLYMOUTH HOSPITALS NHS TRUST,PUBLIC,WF3 1WE,HAFS-16121,3000000,,,,
,,07/10/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,ROYAL FREE LONDON NHS FOUNDATION TRUST,PUBLIC,NW3 2QG,HAFS-16122,160000,,,,
,,07/10/2013,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,SURREY & SUSSEX HEALTHCARE NHS TRUST,PUBLIC,RH1 5RH,HAFS-16123,1000000,,,,
,,07/10/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,HAFS-16124,386000,,,,
,,08/10/2013,Arm Length Bodies-Revenue Subsidy,DG: PHD,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHP033),PUBLIC,SW1W 9SZ,1459724,1500000,507113,Medical and Healthcare Products Regulatory Agency (MHRA) 2013/14 Revenue allocation NIBSC.  ,,
,,09/10/2013,Arm Length Bodies-Revenue Subsidy,DG: PHD,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,949873,5100000,506261,NHSBT Drawdown 2013/14. ,,
,,09/10/2013,Arm Length Bodies-Capital Subsidy,DG: PHD,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,949874,2500000,507064,Capital payments to NHSBT 2013/14.  ,,
,,11/10/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,PUBLIC,CV2 2DX,ERS-505448-80422,52203.18,509496,HTA Commissioned Research,,
,,11/10/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-505453-80425,146850,373122,Other (CLOSED),,
,,11/10/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-505457-80421,1986109,493584,Bio-Medical Centres,,
,,11/10/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-505457-80421,83333,493584,Bio-Medical Centres,,
,,31/10/2013,Research & development,DG: RDD,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST RYW,PUBLIC,B13 8JL,ERS-506999-81741,33863,498961,Research Capability Funding,,
,,14/10/2013,Addition Clearing - SW LIC,DG: GOAD,DERBY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DE22 3NE,311860,83898.19,509344,Capital: LSP NME - F/Y 2013/14 STAF & LC costs for Lorenzo Deployment,,
,,14/10/2013,Service charge,DG: GOAD,DERBY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DE22 3NE,311860,403545.18,509344,Revenue: LSP NME - F/Y 2013/14 STAF & LC costs for Lorenzo Deployment,,
,,14/10/2013,Additions FT Financing Facility Loans,DG: Central Technical,HARROGATE & DISTRICT NHS FOUNDATION TRUST,PUBLIC,HG2 7UG,HAFS-16125,1500000,,,,
,,14/10/2013,Additions FT Financing Facility Loans,DG: Central Technical,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,PUBLIC,GU2 7XX,HAFS-16126,6000000,,,,
,,14/10/2013,Additions FT Financing Facility Loans,DG: Central Technical,WRIGHTINGTON WIGAN AND LEIGH NHS FOUNDATION TRUST,PUBLIC,WN1 1XX,HAFS-16127,924000,,,,
,,14/10/2013,Additions FT Financing Facility Loans,DG: Central Technical,WRIGHTINGTON WIGAN AND LEIGH NHS FOUNDATION TRUST,PUBLIC,WN1 1XX,HAFS-16128,827000,,,,
,,14/10/2013,Additions PDC Revenue Support NHS T Permenant,DG: Central Technical,THE LEWISHAM & GREEWICH NHS TRUST,PUBLIC,SE13 6LH,HAFS-16129,19000000,,,,
,,15/10/2013,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,PUBLIC,L12 2AP,ERS-505629-80684,20775,400022,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,PUBLIC,L12 2AP,ERS-505629-80684,75423,504599,PRIMARY CARE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,PUBLIC,L12 2AP,ERS-505629-80684,13774,504599,PRIMARY CARE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,PUBLIC,L12 2AP,ERS-505629-80684,154573,504710,MEDS FOR CH'REN N'WORKS,,
,,15/10/2013,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,PUBLIC,L12 2AP,ERS-505629-80684,16149,504710,MEDS FOR CH'REN N'WORKS,,
,,15/10/2013,Research & development,DG: RDD,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,PUBLIC,BA1 3QE,ERS-505630-80731,14535,504659,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,PUBLIC,BA1 3QE,ERS-505630-80731,96713,504659,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,PUBLIC,BA1 3QE,ERS-505630-80731,110247,504766,DeNDRON NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,PUBLIC,BA1 3QE,ERS-505630-80731,16677,504766,DeNDRON NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-505632-80751,50000,499602,Translational Research Partnerships,,
,,15/10/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-505632-80751,145927,499662,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-505632-80751,5147178,504584,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-505632-80751,98539,504584,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-505632-80751,2014423,504597,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-505632-80751,31336,504597,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-505632-80751,128235,504662,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-505632-80751,19112,504662,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-505632-80751,143119,504686,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-505632-80751,21298,504686,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-505632-80751,138746,504687,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-505632-80751,19897,504687,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-505632-80751,124303,504745,DIABETES NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-505632-80751,12504,504745,DIABETES NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,B15 2PZ,ERS-505633-80743,15607,504670,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,B15 2PZ,ERS-505633-80743,103846,504670,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,PUBLIC,B4 6NL,ERS-505634-80711,13972,343434,Experimental Cancer Medicine Centres,,
,,15/10/2013,Research & development,DG: RDD,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,PUBLIC,B4 6NL,ERS-505634-80711,16149,504702,MEDS FOR CH'REN N'WORKS,,
,,15/10/2013,Research & development,DG: RDD,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,PUBLIC,B4 6NL,ERS-505634-80711,148742,504702,MEDS FOR CH'REN N'WORKS,,
,,15/10/2013,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,WF3 1WE,ERS-505637-80683,40079,375259,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,WF3 1WE,ERS-505637-80683,13165,504582,STROKE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,WF3 1WE,ERS-505637-80683,117421,504582,STROKE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,BN2 3EW,ERS-505638-80741,14044,504733,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,BN2 3EW,ERS-505638-80741,92996,504733,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,BN2 3EW,ERS-505638-80741,38525,375267,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-505641-80690,19861,504752,DIABETES NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-505641-80690,117937,504752,DIABETES NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-505641-80690,18403,504743,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-505641-80690,122427,504743,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-505641-80690,44119,504624,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-505641-80690,2189255,504624,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-505641-80690,20024,504603,PRIMARY CARE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-505641-80690,75256,504603,PRIMARY CARE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-505641-80690,40000,490674,Translational Research Partnerships,,
,,15/10/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-505641-80690,464108,375275,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,PUBLIC,CB1 5EE,ERS-505643-80718,92170,504672,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,PUBLIC,CB1 5EE,ERS-505643-80718,13852,504672,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,PUBLIC,NW1 0PE,ERS-505644-80749,59767,375279,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,PUBLIC,NW1 0PE,ERS-505644-80749,127090,504762,DeNDRON NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,PUBLIC,NW1 0PE,ERS-505644-80749,18523,504762,DeNDRON NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,PUBLIC,NW1 7QY,ERS-505645-80726,131386,504666,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,PUBLIC,NW1 7QY,ERS-505645-80726,19746,504666,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-505647-80733,146013,504708,MEDS FOR CH'REN N'WORKS,,
,,15/10/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-505647-80733,20002,504708,MEDS FOR CH'REN N'WORKS,,
,,15/10/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-505647-80733,40000,490678,Translational Research Partnerships,,
,,15/10/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-505647-80733,97231,427865,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SW10 9NH,ERS-505648-80713,39089,375285,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SW10 9NH,ERS-505648-80713,563426,407547,CLARHCs,,
,,15/10/2013,Research & development,DG: RDD,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,PUBLIC,SR3 4AD,ERS-505650-80701,117880,504593,STROKE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,PUBLIC,SR3 4AD,ERS-505650-80701,13308,504593,STROKE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,PUBLIC,CH63 4JY,ERS-505652-80688,182207,504682,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,PUBLIC,CH63 4JY,ERS-505652-80688,27381,504682,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,DERBY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DE1 2QS,ERS-505653-80722,78146,504653,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,DERBY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DE1 2QS,ERS-505653-80722,11700,504653,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,GL1 2EL,ERS-505655-80721,101392,504737,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,GL1 2EL,ERS-505655-80721,12876,504737,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,PUBLIC,WC1N 3JH,ERS-505657-80708,164591,375319,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,PUBLIC,WC1N 3JH,ERS-505657-80708,153229,504706,MEDS FOR CH'REN N'WORKS,,
,,15/10/2013,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,PUBLIC,WC1N 3JH,ERS-505657-80708,25648,504706,MEDS FOR CH'REN N'WORKS,,
,,15/10/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-505660-80695,271724,375324,Research Capability Funding,,
