Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,03/11/2014,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,CROYDON HEALTH SERVICES NHS TRUST,HAFS-17578,"3,000,000.00",,CR7 7YE,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,EAST SUSSEX HEALTHCARE NHS TRUST,HAFS-17579,"200,000.00",,TN37 7PT,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,HAFS-17580,"3,000,000.00",,NN1 5BD,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,PORTSMOUTH HOSPITAL NHS TRUST,HAFS-17581,"1,500,000.00",,PO6 3LY,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17582,"180,000.00",,NG17 4JL,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17583,"310,000.00",,NG17 4JL,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Additions PDC Revenue Support NHS FT Permenant,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17584,"1,609,000.00",,NG17 4JL,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,THE WALTON CENTRE NHS FOUNDATION TRUST,HAFS-17585,"425,000.00",,L9 7LJ,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,ST GEORGE'S HEALTHCARE NHS TRUST,HAFS-17586,"405,000.00",,SW17 0QT,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,ST GEORGE'S HEALTHCARE NHS TRUST,HAFS-17587,"312,000.00",,SW17 0QT,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,ST GEORGE'S HEALTHCARE NHS TRUST,HAFS-17588,"120,000.00",,SW17 0QT,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Addition Clearing - IT,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011390,"69,191.46",CPA for ESR Contract - FY14/15 Capital drawdown & Pipeline development,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,03/11/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011390,"17,530.54",CPA for ESR Contract - FY14/15 Capital drawdown & Pipeline development,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,03/11/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011391,"33,388.45",CPA for ESR Contract - CCN 126 NHS Payslip Printing & Delivery Charges FY14/15,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,04/11/2014,Outsourcing Contract,DG: GOAD,IBM UK LTD,0910140110,"16,200.00",Kennexa Development and marking of written assessment exercises - internal,EC3R 7QQ,LARGE,,,Admin
Department of Health,Department of Health,04/11/2014,Outsourcing Contract,DG: GOAD,IBM UK LTD,0910140110,"21,816.00",Kennexa Development and marking of written assessment exercises - external,EC3R 7QQ,LARGE,,,Admin
Department of Health,Department of Health,04/11/2014,Facilities management: contract,DG: SFNHS,Sarrosons Ltd,311014,"28,000.00","RBA007 - Grd and 1st Floors, Mill St, Bedford - Payment for early termination of lease.",MK44 2PJ,LARGE,,,Programme
Department of Health,Department of Health,04/11/2014,Consultancy/Professional Advice,DG: PHD,SAPIENT LTD,33327,"36,303.00",SAPIENT CR14/CR15,E1 6DU,LARGE,,,Programme
Department of Health,Department of Health,04/11/2014,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,4752001-06-NOV-14,"2,490.12",,TS17 6YG,SME,,,Other
Department of Health,Department of Health,04/11/2014,Outsourcing Contract,DG: IGT,MULTIPLE SCLEROSIS TRUST,5420,"65,889.05",Management of Multiple Sclerosis Risk Sharing Scheme (from Apr 2014 to end of March 2015),SG6 4ET,VCS,,,Programme
Department of Health,Department of Health,04/11/2014,Outsourcing Contract,DG: IGT,MULTIPLE SCLEROSIS TRUST,5428,"63,370.00",Management of Multiple Sclerosis Risk Sharing Scheme (from Apr 2014 to end of March 2015),SG6 4ET,VCS,,,Programme
Department of Health,Department of Health,04/11/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584170312,"78,303.50",WRF484 Gosport Support Resources,WS11 0JA,LARGE,,,Admin
Department of Health,Department of Health,04/11/2014,Outsourcing Contract,DG: GOAD,RICOH UK LTD,56581700,"65,982.88",DH Leasing Charge ,NN4 7YB,SME,,,Admin
Department of Health,Department of Health,04/11/2014,Outsourcing Contract,DG: GOAD,RICOH UK LTD,56581700,"32,991.44",DH Leasing charge ,NN4 7YB,SME,,,Admin
Department of Health,Department of Health,04/11/2014,Other programme expenditure,DG: GOAD,NHS PROPERTY SERVICES LTD,AR/PENNINECARENHSFT/ALL-Y-000000204/LEGACYINVSX3,"321,886.50",,SE1 6LH,PUBLIC,,,Programme
Department of Health,Department of Health,04/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,PARENTS AGAINST CHILD SEXUAL EXPLOITATION (PACE),ERS-528984-95701,"36,137.50",IESD 2013-14 - AIMS 2544603 - Parents against child sexual exploitation (PACE) - Project: business development and promotion of multi agency responses to child sexual exploitation which include and recognise the value of affected parents,LS9 8TA,VCS,,,Other
Department of Health,Department of Health,04/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,AGAINST VIOLENCE AND ABUSE (AVA),ERS-528985-95721,"42,456.00",ref 2520675- Against violence and abuse (AVA) - project: Increasing the capacity of Mental Health Trusts to effectively respond to domestic and sexual violence experienced by service users,SE1 9BG,VCS,,,Other
Department of Health,Department of Health,04/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,IN CONTROL PARTNERSHIPS,ERS-528989-95741,"39,529.00",IESD Grant - In Control AIMS - 1761956,B47 6JX,VCS,,,Other
Department of Health,Department of Health,04/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE MOVEMENT FOR NON MOBILE CHILDREN WHIZZ KIDZ,ERS-528995-95761,"59,527.00","IESD award 2012/13 for Whizz-Kidz project ""Meeting the opportunities of AQP to transform young wheelchair users' lives""",SW1E 5EH,VCS,,,Other
Department of Health,Department of Health,04/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL SURVIVOR USER NETWORK,ERS-528997-95762,"99,187.00",IESD Grant National Survivor User Network AIMS REF 1777273,SW8 1SY,SME,,,Other
Department of Health,Department of Health,04/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,MOTOR NEURONE DISEASE ASSOCIATION,ERS-528998-95763,"58,540.00","IESD award 2012/13 for ""MND Association as an Any Qualified Provider in Wheelchair Services""",NN1 2BG,VCS,,,Other
Department of Health,Department of Health,04/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,SHARED LIVES PLUS,ERS-529007-95764,"42,813.00",2013-14 IESD - Shared Lives Plus - Project: Shared Lives for All AIMS: 2503018,L3 9JR,VCS,,,Other
Department of Health,Department of Health,04/11/2014,Outsourcing Contract,DG: GOAD,CAPITA RESOURCING LTD,RA00112562,"1,694.40",Capital Resourcing Basingstoke Recruitment campaign EXPENSES,RG21 7JB,LARGE,,,Admin
Department of Health,Department of Health,04/11/2014,Outsourcing Contract,DG: GOAD,CAPITA RESOURCING LTD,RA00112562,"56,355.60",Capital Resourcing Basingstoke Recruitment campaign managed service,RG21 7JB,LARGE,,,Admin
Department of Health,Department of Health,04/11/2014,Outsourcing Contract,DG: GOAD,CAPITA RESOURCING LTD,RA00112562,-0.56,,RG21 7JB,LARGE,,,Admin
Department of Health,Department of Health,04/11/2014,Outsourcing Contract,DG: ERD,METHODS CONSULTING,SIN010131,"156,795.30",NHS Jobs 1/2/12- 31/1/17,WC2H 8AD,SME,,,Programme
Department of Health,Department of Health,05/11/2014,Policy Payments,DG: SCLGCP,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT (DCLG),1800020690,"25,000,000.00",DCLG Troubled Families Funding for 2014 to 2015,HP2 4XN,PUBLIC,,,Programme
Department of Health,Department of Health,05/11/2014,Service charge,DG: IGT,BT GROUP PLC,368270,"7,572,777.66",N3: 14/15,NW9 6LB,LARGE,,,Programme
Department of Health,Department of Health,05/11/2014,Rates,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5027290,"104,312.61",Quarry House Leeds - Accomm. Business Rates ,FY5 3TA,PUBLIC,,,Admin
Department of Health,Department of Health,05/11/2014,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5027290,"579,482.49",Quarry House Leeds - Accomm. FUP Rent Charge ,FY5 3TA,PUBLIC,,,Admin
Department of Health,Department of Health,05/11/2014,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5027290,"3,371.51",Quarry House Leeds - Utilities (Gas/Electricity) ,FY5 3TA,PUBLIC,,,Admin
Department of Health,Department of Health,05/11/2014,Professional fees,DG: PHD,ITSA LTD,78708,"37,672.30",Tobacco control legislation -  Tender for national Support for Local Authority Enforcement,SS15 6TH,SME,13897,,Programme
Department of Health,Department of Health,05/11/2014,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90176481,"42,680.00",business support,GU21 6QX,LARGE,,,Programme
Department of Health,Department of Health,05/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,GIVING WORLD,ERS-529043-95781,"37,692.00","IESD 2012-13, AIMS 1775521, Giving World: Patient Care Packs",LE1 3BD,VCS,,,Other
Department of Health,Department of Health,05/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,ASSOCIATION FOR YOUNG PEOPLES HEALTH AYPH,ERS-529045-95782,"66,308.00","IESD 2012/13, AIMS 1774569 Association for young people's health: Improving young people's health",SE1 0EH,VCS,,,Other
Department of Health,Department of Health,05/11/2014,Addition Clearing - SW LIC,DG: IGT,THE PHOENIX PARTNERSHIP (LEEDS) LTD,GPSOC006,"791,143.67",GP Soc: TPP Capital costs May 2014 - March 2015,LS18 5TN,SME,,,Programme
Department of Health,Department of Health,05/11/2014,Service charge,DG: IGT,THE PHOENIX PARTNERSHIP (LEEDS) LTD,GPSOC006,"283,969.62",GP Soc: TPP Revenue costs May 2014 - March 2015,LS18 5TN,SME,,,Programme
Department of Health,Department of Health,05/11/2014,Addition Clearing - SW LIC,DG: IGT,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,I0010388,"12,653.95",Capital: LSP NME  - Norfolk & Suffolk Lorenzo Deployment F/Y 2014/15,BB3 0FG,PUBLIC,,,Programme
Department of Health,Department of Health,05/11/2014,Service charge,DG: IGT,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,I0010388,"124,025.09",Revenue: LSP NME  - Norfolk & Suffolk Lorenzo Deployment F/Y 2014/15,BB3 0FG,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Outsourcing Contract,DG: SFNHS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-396,"297,113.14",April 14 - March 15 CCN Charges,SL1 2EJ,LARGE,,,Programme
Department of Health,Department of Health,06/11/2014,Research & development,DG: RDD,ASHRIDGE CONSULTING LTD,16014,"60,983.11",NIHR Faculty Leadership,HP4 1NS,SME,,,Programme
Department of Health,Department of Health,06/11/2014,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6286046,"203,917.00",2014-15 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9045000020,"651,017.49",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2014/15.,DE55 4QJ,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9045000023,"117,326.97",NHS Supply Chain - SFVS Distributor funding 2014/15 - To cover 1st quarter invoices,DE55 4QJ,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9045000023,"7,035.95",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2014/15.,DE55 4QJ,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Policy Payments,DG: GOAD,DEPARTMENT OF ENERGY AND CLIMATE CHANGE (DECC),CRCFP6674230,"73,608.00",Memorandum of Account for payment for buy-to-comply sale allowances for the 2013-14 CRC Energy Efficiency Scheme (Phase 1),SW1A 2AW,PUBLIC,,,Admin
Department of Health,Department of Health,06/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,GUIDE DOGS FOR THE BLIND ASSOCIATION,ERS-529103-95801,"87,331.00",Blind Children UK - Guide Dogs' Children and Young People's Habilitation Services - AIMS 2542646,RG7 3YG,VCS,,,Other
Department of Health,Department of Health,06/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,CARERS TRUST,ERS-529116-95821,"28,015.00",2012-13 - IESD - Carers Trust - Project: The triangle of Care - a new approach to supporting carers of people with mental health problems - AIMS 1807299,IG8 8HD,VCS,,,Other
Department of Health,Department of Health,06/11/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-529117-95843,"114,988.00",Programme Grants for NHS Trusts,BR3 3BX,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ERS-529118-95841,"186,622.00",Programme Grants for NHS Trusts,M23 9LT,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-529120-95848,"106,448.00",HTA Commissioned Research,WC1E 6BT,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-529121-95849,"39,964.67",HS & DR,M13 9PL,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-529122-95850,"25,334.36",HS & DR,M13 9PL,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-529123-95851,"47,343.37",HS & DR,M13 9PL,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Research & development,DG: RDD,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-529125-95846,"73,354.89",NIHR Public Health Research ( NETSCC ),WC1E 7HT,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Research & development,DG: RDD,NORTH BRISTOL NHS TRUST,ERS-529126-95844,"77,461.75",EME - ( NETSCC ),BS1 2NP,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-529128-95847,"37,769.58",EME - ( NETSCC ),LS2 9JT,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-529130-95852,"29,052.96",EME - ( NETSCC ),M13 9PL,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Research & development,DG: RDD,COVENTRY UNIVERSITY,ERS-529132-95845,"60,010.00",Invention for Innovation,CV1 5FB,PUBLIC,,,Programme
Department of Health,Department of Health,06/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,MUSCULAR DYSTROPHY GROUP OF GREAT BRITAIN AND NORTHERN IRELAND,ERS-529159-95881,"66,369.00",IESD 2013/14 -Muscular Dystrophy Campaign - Bridging the Gap -  AIMS 249803,SE1 0HL,VCS,,,Other
Department of Health,Department of Health,07/11/2014,Outsourcing Contract,DG: PHD,MULTI RESOURCE MARKETING LTD,128228,"54,987.71",MRM Ltd - For the services provided on the Healthy Start Reimbursement Unit - extension period April 2013 to March 2015,LE16 9NR,SME,,,Programme
Department of Health,Department of Health,07/11/2014,Arm Length Bodies-Revenue Subsidy,DG: IGT,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY MHP033,1512782,0.00,Medicines and Healthcare Products Regulatory Agency (MHRA) 2014/15 Revenue allocation (NIBSC),SW1W 9SZ,PUBLIC,,,Other
Department of Health,Department of Health,07/11/2014,Arm Length Bodies-Revenue Subsidy,DG: IGT,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY MHP033,1512782,"810,000.00",Medicines and Healthcare Products Regulatory Agency (MHRA) 2014/15 Revenue allocation (Devices),SW1W 9SZ,PUBLIC,,,Other
Department of Health,Department of Health,07/11/2014,Arm Length Bodies-Revenue Subsidy,DG: IGT,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY MHP033,1512783,"1,250,000.00",Medicines and Healthcare Products Regulatory Agency (MHRA) 2014/15 Revenue allocation (NIBSC),SW1W 9SZ,PUBLIC,,,Other
Department of Health,Department of Health,07/11/2014,Policy Payments,DG: GOAD,HM REVENUE AND CUSTOMS HMRC,18000026622014,"259,049.69",Corporate Fast Stream Funding - 2014/15,BN12 4XH,PUBLIC,,,Admin
Department of Health,Department of Health,07/11/2014,Policy Payments,DG: PHD,RURAL PAYMENTS AGENCY (RPA),338906,"41,823.49",Rural Payments Agency (RPA) - National Top-UP of the EU School Milk Scheme Co-Funding 2014/15,RG13BV,PUBLIC,,,Programme
Department of Health,Department of Health,07/11/2014,Service charge,DG: IGT,CABLE AND WIRELESS COMMUNICATION (VODAFONE),448080,"22,090.43",NHS Mail 2: revenue core contract 1 July 2014 - 31 March 2015,RG12 1RW,LARGE,,,Programme
Department of Health,Department of Health,07/11/2014,Service charge,DG: IGT,CABLE AND WIRELESS COMMUNICATION (VODAFONE),448085,"588,769.06",NHS Mail 2: revenue core contract 1 July 2014 - 31 March 2015,RG12 1RW,LARGE,,,Programme
Department of Health,Department of Health,07/11/2014,Service charge,DG: IGT,ATOS IT SOLUTIONS AND SERVICES LTD,5584169299,"106,362.28",Revenue: Atos e-RS Termination and Exit CCN ACCN -0547 EX834  - Service Charges,WS11 0JA,LARGE,,,Programme
Department of Health,Department of Health,07/11/2014,Outsourcing Contract,DG: PHD,FAMILY PLANNING ASSOCIATION,593284,"111,519.00",Specialist sexual health services,EC1Y 8QU,VCS,,,Programme
Department of Health,Department of Health,07/11/2014,Publicity & advertising,DG: SCLGCP,PUBLIC HEALTH ENGLAND PHE033,6107033,"328,000.00",[21] Public Health England - Public Awareness Campaign phase 1 & 2,SW1W 9SZ,PUBLIC,,,Programme
Department of Health,Department of Health,07/11/2014,Service charge,DG: GOAD,SAVILLS COMMERCIAL LTD,DS1011-050787OCT-DEC2014VAT,"7,902.02",,M2 2FE,LARGE,,,Other
Department of Health,Department of Health,07/11/2014,VAT dr (ST),DG: Holding CT Core,SAVILLS COMMERCIAL LTD,DS1011-050787OCT-DEC2014VAT,"21,750.00",,M2 2FE,LARGE,,,Other
Department of Health,Department of Health,07/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,ERIC EDUCATION AND RESOURCES FOR IMPROVING CHILDHOOD CONTINENCE,ERS-529166-95901,"31,456.00",2012-13 IESD AIMS ref- 1768426 - ERIC - Project: ERIC Nurse - early intervention and management programme,BS15 8DB,VCS,,,Other
Department of Health,Department of Health,07/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,RACE EQUALITY FOUNDATION,ERS-529216-95941,"35,013.00",Race Equality Foundation - IESD 2014/15 - 54113891 -Effectively tackling violence & improving the health & care outcomes for the most vulnerable children & young people,NW5 1LB,VCS,,,Other
Department of Health,Department of Health,07/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,DEAFBLIND UK,ERS-529230-95961,"30,000.00","IESD award to Deafblind UK for its ""I Decide"" project - 1st half of 2012/13 allocation",PE7 8FD,VCS,,,Other
Department of Health,Department of Health,07/11/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,PATIENT INFORMATION FORUM LTD,ERS-529231-95962,"30,000.00","IESD 2012/13 award to Patient Information Forum for its project ""Raising the quality and increasing the impact of health information for patients and the public""",W4 5RG,SME,,,Other
