Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Project code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
,,03/07/2015,Service charge,DG: IGT,MASTEK UK LTD,90334304,"227,069.84",Revenue: F/Y 2015/16 Spine 2 Mastek - Additional story points for IAM Development,RG1 8BW,,,LARGE,,GB849750580
,,03/07/2015,Service charge,DG: IGT,MASTEK UK LTD,90334306,"28,830.00",Revenue: F/Y 2015/16 Spine 2 Mastek - Additional story points for IAM Development,RG1 8BW,,,LARGE,,GB849750580
,,03/07/2015,Service charge,DG: IGT,MASTEK UK LTD,90334307,"32,010.00",Revenue: F/Y 2015/16 Spine 2 Mastek - Additional story points for IAM Development,RG1 8BW,,,LARGE,,GB849750580
,,03/07/2015,Addition Clearing - SW LIC,DG: IGT,SOFTCAT LTD,INV01108478,"38,616.08",Capital : 2014/15 -  Softcat Choices - Wallix Licence 20 concurrent sessions  - Enterprise Licence,SL7 1TB,,,LARGE,,
,,03/07/2015,Service charge,DG: IGT,SOFTCAT LTD,INV01108478,"12,243.90",Revenue: F/Y 2014/15 Softcat Choices - Wallix Platinum support 1 year,SL7 1TB,,,LARGE,,
,,03/07/2015,Outsourcing Contract,DG: RDD,LGC LTD,50410931,"916,650.61",Central Commissioning Function,TW11 0LY,,,LARGE,,GB674056721
,,03/07/2015,Research & development,DG: RDD,TECHNOLOGY STRATEGY BOARD (TSB),ERS-540825-106642,"5,320.12",Innovate UK,SN2 1FF,,,PUBLIC,,
,,03/07/2015,Research & development,DG: RDD,TECHNOLOGY STRATEGY BOARD (TSB),ERS-540825-106642,"667,677.99",Innovate UK,SN2 1FF,,,PUBLIC,,
,,03/07/2015,Policy Payments,DG: IGT,EASTERN HEALTH AND SOCIAL SERVICES BOARD (EHSSB),Q1 2015 PPRS PAYMENTS,"9,248,258.21",Apportionment of Q1 2015 PPRS Payment,BT2 8BS,,,PUBLIC,,
,,03/07/2015,Policy Payments,DG: IGT,SCOTTISH GOVERNMENT,Q1 2015 PPRS PAYMENTS,"19,583,325.70",Apportionment of Q1 2015 PPRS Payments for Scotland,EH6 6QQ,,,PUBLIC,,888842551
,,03/07/2015,Policy Payments,DG: IGT,WELSH ASSEMBLY GOVERNMENT,Q1 2015 PPRS PAYMENTS,"11,879,870.70",Apportionment of Q1 2015 PPRS Payments for Wales,CF10 3NQ,,,PUBLIC,,
,,06/07/2015,Additions NHS FTs Capital Investment Loans,DG: Central Technical,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,HAFS-18572,"5,000,000.00",,CH2 1UL,,,PUBLIC,,
,,06/07/2015,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,WRIGHTINGTON WIGAN AND LEIGH NHS FOUNDATION TRUST,HAFS-18573,"718,000.00",,WN1 1XX,,,PUBLIC,,
,,06/07/2015,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6287400,"208,536.00",2015-16 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,,PUBLIC,,
,,06/07/2015,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6287106,"203,917.00",2015-16 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,,PUBLIC,,
,,06/07/2015,Research & development,DG: RDD,DORSET HEALTH CARE NHS FOUNDATION TRUST,ERS-540882-106701,"39,360.00",AD-HOC - ETC,BH1 4JQ,,,PUBLIC,,
,,06/07/2015,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90192333,"1,128.95",OC/2015/05 - OPC Adjustment Charge,GU21 6QX,,,LARGE,,GB900540375
,,06/07/2015,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90192333,"40,700.00",OC/2015/09- Business Support,GU21 6QX,,,LARGE,,GB900540375
,,06/07/2015,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90192333,"16,401.05",OC/2015/08 - Premises,GU21 6QX,,,LARGE,,GB900540375
,,06/07/2015,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90192333,"24,766.90",OC/2015/07 - Other overheads and profit,GU21 6QX,,,LARGE,,GB900540375
,,06/07/2015,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90192333,"5,825.75",OC/2015/04 - Transferring Staff,GU21 6QX,,,LARGE,,GB900540375
,,06/07/2015,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90192333,"10,897.40",OC/2015/06 - Expenses,GU21 6QX,,,LARGE,,GB900540375
,,06/07/2015,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90192333,"247,728.73",OC/2015/01 - Non Transferring staff,GU21 6QX,,,LARGE,,GB900540375
,,06/07/2015,Conferences & seminars,DG: Central Technical,M INTEGRATED SOLUTIONS PLC,23542,"46,523.00",,TW7 6DA,,,SME,,GB901473941
,,06/07/2015,Outsourcing Contract,DG: PHD,SAPIENT LTD,36534,"1,592.50",Sapient OHT IT System Phase 2. Payment contract period 08/12/14 to 07/12/15.  Application Developer 1,E1 6DU,,,LARGE,,GB718603436
,,06/07/2015,Outsourcing Contract,DG: PHD,SAPIENT LTD,36534,"12,060.00",Sapient OHT IT System Phase 2. Payment contract period 08/12/14 to 07/12/15.  Project Manager,E1 6DU,,,LARGE,,GB718603436
,,06/07/2015,Outsourcing Contract,DG: PHD,SAPIENT LTD,36534,"14,332.50",Sapient OHT IT System Phase 2. Payment contract period 08/12/14 to 07/12/15.  Quality Assurance 1,E1 6DU,,,LARGE,,GB718603436
,,06/07/2015,Outsourcing Contract,DG: PHD,SAPIENT LTD,36534,"7,500.00",Sapient OHT IT System Phase 2. Payment contract period 08/12/14 to 07/12/15.  Technical Architect,E1 6DU,,,LARGE,,GB718603436
,,06/07/2015,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,ERS-540863-106711,"171,897.60",PROJECTS,NE1 7RU,,,PUBLIC,,GB499672470
,,06/07/2015,Research & development,DG: RDD,ECONOMIC AND SOCIAL RESEARCH COUNCIL (ESRC),ERS-540864-106704,"160,000.00",PROJECTS,SN2 1UJ,,,PUBLIC,,
,,06/07/2015,Research & development,DG: RDD,EDINBURGH UNIVERSITY OF,ERS-540867-106707,"124,733.00",CJD ,EH1 1HT,,,PUBLIC,,
,,06/07/2015,Research & development,DG: RDD,EDINBURGH UNIVERSITY OF,ERS-540868-106708,"54,400.00",CJD ,EH1 1HT,,,PUBLIC,,
,,06/07/2015,Research & development,DG: RDD,EXETER UNIVERSITY OF,ERS-540871-106709,"32,146.39",NIHR Fellowships,EX4 4QJ,,,PUBLIC,,
,,06/07/2015,Research & development,DG: RDD,IMPERIAL COLLEGE LONDON,ERS-540879-106710,"118,434.54",EME - ( NETSCC ),SW7 2AZ,,,PUBLIC,,
,,06/07/2015,Research & development,DG: RDD,CARDIFF UNIVERSITY,ERS-540880-106706,"25,097.00",Invention for Innovation,CF24 0DE,,,PUBLIC,,
,,06/07/2015,Capital Grants to non-profit institutions,DG: IGT,NAViGO Health and Social Care CIC,ERS-540862-106681,"472,000.00",2014/020 NAVIGO - Nursing Technology Fund,DN32 0QE,,,PUBLIC,,106586804
,,06/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,HENRY,ERS-540888-106741,"74,468.00",2015-16 IESD 54107152 HENRY The HENRY Parent Programme - Enabling a Healthy Start in Life for Babies and Young Children,OX29 4BD,,,SME,,
,,06/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,TOGETHER FOR SHORT LIVES,ERS-540896-106781,"32,867.00",AIMS ref 2522983 r.e. Together for Short Lives and 2013-14 IESD Fund,BS1 1QB,,,VCS,,GB821957122
,,06/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,TOGETHER FOR SHORT LIVES,ERS-540898-106801,"31,802.00",IESD 2013-14 - AIMS 2537129- Together for Short Lives - project: Strategic development of children's palliative care networks for better health and care outcomes through improved commissioning,BS1 1QB,,,VCS,,GB821957122
,,07/07/2015,Outsourcing Contract,DG: SFNHS,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,E0039519,"47,261.00",3 year national clinical programme across 10 categories - March 15 to October 15 - (up to 8 month review gateway).,HA7 4LP,,,PUBLIC,,
,,07/07/2015,Outsourcing Contract,DG: SFNHS,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,E0039518,"66,178.00",3 year national clinical programme across 10 categories - March 15 to October 15 - (up to 8 month review gateway).,HA7 4LP,,,PUBLIC,,
,,07/07/2015,Outsourcing Contract,DG: SFNHS,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,E0039517,"37,745.00",3 year national clinical programme across 10 categories - March 15 to October 15 - (up to 8 month review gateway).,HA7 4LP,,,PUBLIC,,
,,07/07/2015,Professional fees,DG: SCLGCP,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,70037,"55,000.00",Regional Mental Health Act Approval Panels :Panel 2 period of 01-04-15 to 31-03-2016 CPA NO. 513790,DN4 8QN,,,PUBLIC,,
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,THE FIT FOR WORK TEAM,ERS-540939-106923,"45,250.00",SP Fit For Work Grants Payment Q1-Q4 15/16,LE1 5SN,,,SME,,GB119419313
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,NACRO,ERS-540942-106943,"45,250.00",Strategic Partner NACRO Grants Payment 2015/16,B6 4US,,,VCS,,GB237355653
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL HOUSING FEDERATION,ERS-540944-106945,"45,250.00",SP National Housing Federation SPP009 2015/16,WC1V 6NY,,,SME,,
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,THE NATIONAL CARE FORUM,ERS-540948-106949,"37,132.50",SP National Care Forum Grants Payment Q1-Q4 15/16,CV1 2DY,,,VCS,,GB833850521
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,THE FIT FOR WORK TEAM,ERS-540951-106962,"128,327.00",IESD 2015-16 (AIMS Ref 54164626) The Fit for Work Team Year 2 Award,LE1 5SN,,,SME,,GB119419313
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,Centre for Ageing Better Ltd,ERS-540961-106981,"200,000.00","2014/066 Centre for Ageing Better - Set up costs for the project which will identify, apply and promote evidence of what makes for a better quality of life in older age",,,,SME,,
,,07/07/2015,Research & development,DG: RDD,SHEFFIELD UNIVERSITY OF,ERS-540912-106867,"25,118.24",HS & DR,S10 2UH,,,PUBLIC,,
,,07/07/2015,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-540914-106865,"48,828.42",NIHR Fellowships,SE1 8WA,,,PUBLIC,,GB627403551
,,07/07/2015,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-540917-106861,"37,428.05",HTA Researcher Lead,B15 2TT,,,PUBLIC,,GB729856187
,,07/07/2015,Research & development,DG: RDD,YORK UNIVERSITY OF,ERS-540918-106868,"34,220.86",NIHR Fellowships,YO10 5DD,,,PUBLIC,,
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,AGE UK,ERS-540935-106901,"37,500.00",SP AGE UK Grants Payment Q1-Q4 15/16,SW16 4ER,,,VCS,,
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,VOLUNTEERING MATTERS,ERS-540936-106902,"47,500.00",SP Community Service Volunteers Q1-Q4 Payment,N1 9NJ,,,VCS,,GB450552432
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,ROYAL MENCAP SOCIETY,ERS-540937-106921,"45,245.50",SP Royal Mencap Society Grants Payment Q1-Q4 15/16,EC1Y 0RT,,,VCS,,
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,LIFELINE COMMUNITY PROJECTS,ERS-540938-106922,"43,574.50",SP Faith Action Lifeline CP Q1-Q4 Payment,RM8 3QS,,,VCS,,
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,THE MENS HEALTH FORUM,ERS-540940-106941,"46,250.00",SP Men's Health Forum Grants Payment Q1-Q4 15/16,SE1 0EH,,,VCS,,
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,MENTAL HEALTH PROVIDERS FORUM,ERS-540941-106942,"45,250.00",SP Mental Health Provider Forum Grants Payment Q1-Q4 15/16,EC1V 9BE,,,VCS,,GB876979924
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL CHILDRENS BUREAU LTD,ERS-540943-106944,"45,250.00",SP National Childrens Bureau Grants Payment Q1-Q4 15/16,EC1V 7QE,,,VCS,,GB645183336
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,LGBT Foundation,ERS-540945-106946,"46,500.00",SP LGBT Foundation Q1-Q4 Payment,M1 3HF,,,VCS,,GB792663881
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL VOICES,ERS-540946-106947,"50,000.00",SP National Voices SPP010 2015/16,EC4Y 8EE,,,VCS,,
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL ASSOCIATION OF VOLUNTARY AND COMMUNITY ACTION,ERS-540947-106948,"45,250.00",SP NAVCA SPP014 Payment 15/16,S1 4QL,,,VCS,,
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,THE NATIONAL COUNCIL FOR PALLIATIVE CARE,ERS-540949-106950,"45,250.00",SP National Council for Palliative Care NCPC SPP019 2015/16,N7 9AS,,,VCS,,
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,RACE EQUALITY FOUNDATION,ERS-540950-106961,"45,250.00",SP Race Equality Foundation SPP008 2015/16,NW5 1LB,,,VCS,,
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,INVOLVE YORKSHIRE & HUMBER,ERS-540952-106963,"49,797.50",SP Involve Yorkshire & Humber SPP011 2015/16,LS3 1AB,,,VCS,,
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,UK HEALTH FORUM,ERS-540953-106964,"55,000.00",SP UK Health Forum SPP015 2015/16,EC4Y 8JX,,,VCS,,GB869872057
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,WOMEN'S RESOURCE CENTRE,ERS-540954-106965,"45,250.00",SP Women's Health Equality Consortium WHEC Q1-Q4 Payment,N7 9DP,,,VCS,,
,,07/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,DISABILITY RIGHTS UK,ERS-540955-106966,"45,250.00",SP Disability Rights UK Q1-Q4 Payment,EC1V 8AF,,,VCS,,GB127880492
