Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Contract Number,Project Code,Expenditure Type
Defra,Environment Agency,05/07/2011,Main Contractors,North East Capital WiP,Interserve Project Services Ltd,976513,"306,985.70",930106 Ripon FAS Project Num IMNE000541,TQ14 0HP,30142730,IMNE000541,Project 
Defra,Environment Agency,19/07/2011,Main Contractors,South East Capital WiP,Birse Civils Ltd,980392,"300,024.00",933972 High Knock to Dymchurch Sea Defences,DN18 5BW,30142670,IMSO000825,Project 
Defra,Environment Agency,12/07/2011,Engineering Services,Head Office Fleet Operations,Fraikin Ltd,978154,"291,409.09",931739. Plant Maintenance costs for English areas - May 2011,CV4 8HX,30207502,,Administration
Defra,Environment Agency,26/07/2011,Main Contractors,South East Capital WiP,Jackson Civil Engineering Ltd,981028,"286,640.64",934607 Romney weir windsor ,IP1 5LT,30142731,IMSE500007,Project 
Defra,Environment Agency,26/07/2011,Main Contractors,North East Capital WiP,Galliford Try Infrastructure Ltd,981783,"262,639.09",935353. Ings Beck FAS,LE10 3JF,30142734,IMNE000646,Project 
Defra,Environment Agency,07/07/2011,Main Contractors,Midlands Capital WiP,Jackson Civil Engineering Ltd,971939,"256,336.52",925541 Req 10366568 aw 29.06 Contract No 3161 Notingham Leftbanks ,IP1 5LT,30142731,IMMI000642,Project 
Defra,Environment Agency,14/07/2011,Leasing,Head Office Fleet Operations,Hewden Stuart Plc,979793,"250,698.94",Plant Hire consolidation charges,M32 0HW,30184689,,Administration
Defra,Environment Agency,05/07/2011,Main Contractors,Anglian Capital WiP,Team Van Oord,976400,"247,778.05",929993 - Orton Piling NCF2/VOECC/ANG/018/N,RG14 5QS,30142735,IMAN001491,Project 
Defra,Environment Agency,05/07/2011,Fuels,Head Office Fleet Operations,Arval Phh,976657,"244,139.88",930250 Various Fuel ,SN5 6PQ,30015330,,Administration
Defra,Environment Agency,12/07/2011,Rail,Facilities National ,Redfern Travel Ltd,978437,"237,197.57",Rail Travel June 11,BD1 1PL,30127631,,Administration
Defra,Environment Agency,19/07/2011,Main Contractors,South East Capital WiP,Birse Civils Ltd,974479,"228,889.25",Newmans Sluice improvements ,DN18 5BW,30142670,IMTH000990,Project 
Defra,Environment Agency,14/07/2011,Main Contractors,South East Capital WiP,Jackson Civil Engineering Ltd,977701,"215,734.45",931294 PADDLE & RYMER WEIRS ,IP1 5LT,30142731,IMTH001503,Project 
Defra,Environment Agency,26/07/2011,Environmental Services,Head Office Flood Warning Systems,Met Office,983141,"211,326.00",Met Office-Radar Data provision for uses in flood forecasting 2011-12,EX1 3PB,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Peterborough City Council,949596,"200,262.50",Rates for King Fisher House,PE1 1AY,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,North West Regional Facilities,Warrington Borough Council,949513,"199,724.32",Rates for Richard Fairclough House,WA1 1BN,,,Administration
Defra,Environment Agency,05/07/2011,Main Contractors,South East Capital WiP,Birse Civils Ltd,976044,"199,361.16",Oxford STM Phase II,DN18 5BW,30142670,IMTH001624,Project 
Defra,Environment Agency,19/07/2011,Staff Childcare,Recharges to Staff,Edenred Childcare Vouchers Ltd,981097,"199,101.92",Childcare vouchers - recharged to staff,SW1V 2RS,,,Administration
Defra,Environment Agency,26/07/2011,Main Contractors,Midlands Capital WiP,G F Tomlinson Civil Engineering Ltd,982820,"197,396.62",Lydney FAS Minor works,WR3 8LX,30224315,IMMI000975,Project 
Defra,Environment Agency,14/07/2011,Vehicle Maintenance,Head Office Fleet Operations,Briggs Marine Contractors Ltd,978887,"196,987.31",SIMAR - Boat Maintenance June 11,KY3 9AX,30277423,HORES00015,Administration
Defra,Environment Agency,26/07/2011,Main Contractors,South East Capital WiP,Birse Civils Ltd,982065,"195,112.57",935635 Oxford STM Phase 2 -Civils Works,DN18 5BW,30142670,IMTH001624,Project 
Defra,Environment Agency,26/07/2011,Building Management,North West Regional Facilities,Warrington Borough Council,949521,"194,164.62",903230 Rates - Appleton Hse.,WA1 1BN,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,Exeter City Council,949485,"191,602.50",903194 Rates - Manley Hse,EX1 1JW,,,Administration
Defra,Environment Agency,26/07/2011,Main Contractors,North East Capital WiP,Galliford Try Infrastructure Ltd,980871,"188,395.07", INgs Beck Reach ,LE10 3JF,30142734,IMNE000646,Project 
Defra,Environment Agency,26/07/2011,Building Management,National Estates Manager,Leeds City Council,945474,"186,190.00",899204 Rates - Phoenix Hse,LS2 8JR,,,Administration
Defra,Environment Agency,21/07/2011,Main Contractors,North East Capital WiP,Birse Civils Ltd,981424,"181,977.38",935003 C2574 BROUGH FLOOD DEFENCE SCHEME APPLICATION 13,DN18 5BW,30142670,IMNE000735,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Welwyn Hatfield Council,946213,"181,835.28",899940 Rates - Hatfield,AL8 6AE,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,National Estates Manager,City Of Newcastle,949607,"180,777.50",903316 Rates - Tyneside hse,NE99 2PT,,,Administration
Defra,Environment Agency,21/07/2011,Environmental Services | Main Contractors,Anglian Capital WiP,Broadland Environmental Services Ltd,981211,"176,266.10",934790 Broadland Flood Alleviation Project PFI,GU15 3XW,30014973,IMAN000753,Project 
Defra,Environment Agency,26/07/2011,Building Management,National Estates Manager,Sheffield City Council,949612,"168,870.00",903321 Rates - Quadrant,S1 1UY,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,South Oxford District Council,956723,"162,631.30",910380 Rates Red Kite House,OX10 8NE,,,Administration
Defra,Environment Agency,07/07/2011,Main Contractors,Midlands Capital WiP,Interserve Project Services Ltd,976982,"161,025.77",930575 Ashbourne FAS PHase 1 &  2.  ,TQ14 0HP,30142730,IMMI000766,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Rushmoor Borough Council,945510,"159,386.48",899240 Rates - Frimley,GU14 7JU,,,Administration
Defra,Environment Agency,21/07/2011,Main Contractors,Midlands Capital WiP,G F Tomlinson Civil Engineering Ltd,980861,"156,289.24",934440 Horsbere Brook FAS,WR3 8LX,30224315,IMMI000934,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,Solihull Metropolitan Borough Council,945496,"153,774.28",899226 Rates - Sapphire East,B91 3RR,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,Bristol City Council,982272,"149,244.16",935842 Rates - Horizon Hse 20.12.2010 - 31.03.2011,BS1 5TR,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Worthing Borough Council,945538,"149,162.02",899268 Rates - Worthing,BN11 1HB,,,Administration
Defra,Environment Agency,19/07/2011,Vehicle Maintenance,Head Office Fleet Operations,Hitachi Capital Commercial Vehicle Services,979518,"148,839.55",SIMAR Commercial Vehicle Maintenance June 11,BA14 8QU,30182247,,Administration
Defra,Environment Agency,19/07/2011,Main Contractors,South East Capital WiP,Galliford Try Infrastructure Ltd,980427,"144,209.00",934007 Thames Tidal Upstream Gate 6661,LE10 3JF,30142734,IMTH001593,Project 
Defra,Environment Agency,26/07/2011,Main Contractors,Thames Capital WiP,Volkerstevin Ltd,982628,"139,385.80",936195 ASHLONE WHARF FLOOD SCHEME,EN11 9BX,30142737,IMTH001444,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Reading Borough Council,949460,"138,560.00",903169 Rates - Kings Meadow House,RG1 7TD,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Huntingdonshire District Council,954218,"133,657.13",907893 Rates Brampton,PE29 3TN,,,Administration
Defra,Environment Agency,26/07/2011,Main Contractors,North West Capital WiP,Volkerstevin Ltd,982622,"132,564.00",936189 keswick flood scheme,EN11 9BX,30142737,IMNW000686,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,Rushcliffe Borough Council,949636,"131,325.49",903345 Rates - Trentside,NG2 5FE,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,National Estates Manager,Leeds City Council,945479,"130,235.19",899209 Rates - Park Sq Leeds,LS2 8JR,,,Administration
Defra,Environment Agency,21/07/2011,Main Contractors,South East Capital WiP,Birse Civils Ltd,980402,"126,194.80",933982 Dartford Creek Barrier,DN18 5BW,30142670,IMSO000727,Project 
Defra,Environment Agency,19/07/2011,Main Contractors,Anglian Capital WiP,Team Van Oord,980695,"125,252.32",934275. Tail Sluice Refurb. Works,RG14 5QS,30142735,IMAN001718,Project 
Defra,Environment Agency,12/07/2011,Main Contractors,Midlands Capital WiP,Jackson Civil Engineering Ltd,978280,"125,010.78",931865 RIVER CHELT CWC  CERT 3,IP1 5LT,30142731,IMMI000541,Project 
Defra,Environment Agency,26/07/2011,Building Management,National Facilities Manager,Sedgemoor District Council,946176,"124,487.50",899903 Rivers Hse,TA6 3AR,,,Administration
Defra,Environment Agency,05/07/2011,Main Contractors,South East Capital WiP,Dean & Dyball Civil Engineering Ltd,975794,"122,830.00",929388 eldridges main lock,BH24 1PN,30203216,IMSO000713,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,Teignbridge District Council,946248,"119,435.53",899975 Rates Exminster,TQ12 4XX,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,Solihull Metropolitan Borough Council,945495,"119,075.00",899225 Rates - Olton Court,B91 3RR,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,NLS Support Leeds,Leeds City Council,945483,"117,992.50",899213 Rates - Olympia House,LS2 8JR,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,City Of Westminster,949496,"117,243.89",903208 Rates Millbank,SW1E 6QP,,,Administration
Defra,Environment Agency,07/07/2011,Construction Service Providers,Midlands Capital WiP,Black & Veatch Ltd,976753,"116,435.34",930346 Professional Fees for Nottingham Trent Site Supervisors for 7/5 - 3/6/11,RH1 1LQ,30072271,IMMI000642,Project 
Defra,Environment Agency,01/07/2011,Building Management,FM Operating Unit - Central and South East,CB Richard Ellis Ltd,977187,"112,690.43",930780 Rent/service agreement Millbank 24.06-28.09,G2 6UA,,,Administration
Defra,Environment Agency,07/07/2011,Main Contractors,Anglian Capital WiP,Team Van Oord,977138,"111,936.86",930731 TAIL SLUICE WORKS 2011,RG14 5QS,30142735,IMAN001718,Project 
Defra,Environment Agency,26/07/2011,Construction Service Providers | Main Contractors,North East Capital WiP,Volkerstevin Ltd,980125,"111,613.92",933705 Todmorden FAS ,EN11 9BX,30142737,IMNE000616,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,Lichfield District Council,950334,"110,415.00",904035 Rates - Fradley,WS13 6YX,,,Administration
Defra,Environment Agency,12/07/2011,Environmental Services,Anglian Capital WiP,EDI Surveys Ltd,978564,"109,594.80",932149 12479- 70% OF LINCOLNSHIRE Topographical surveys,IP2 0AH,30189693,IMAN002290,Project 
Defra,Environment Agency,14/07/2011,Leasing,EA Wales,Hitachi Capital Vehicle Solutions Ltd,980804,"107,466.13",934383 Period lease car rentals July 2011 ,RG14 2NU,40000314,,Administration
Defra,Environment Agency,12/07/2011,Main Contractors,South East Capital WiP,Team Van Oord,977883,"106,043.24",931476 SE THAMES WATERWAYS PACKAGE FOR STAINES & SHEPPERTON,RG14 5QS,30142735,IMTH001556,Project 
Defra,Environment Agency,19/07/2011,Main Contractors,Anglian Capital WiP,Team Van Oord,980697,"102,386.48",934277. Earth Sluice Refurb. Works,RG14 5QS,30142735,IMAN001978,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Northern,Lincoln City Council,945525,"94,305.96",899255 Waterside House,LN1 1DB,,,Administration
Defra,Environment Agency,21/07/2011,Main Contractors,North West Capital WiP,Galliford Try Infrastructure Ltd,981332,"93,377.94",934911. Didsbury - Project IMNW000175,LE10 3JF,30142734,IMNW000175,Project 
Defra,Environment Agency,26/07/2011,Building Management,National Estates Manager,City Of York Council,945520,"93,095.00",899250 Rates - Aviator court,YO1 7DU,,,Administration
Defra,Environment Agency,14/07/2011,Engineering Services,South East Capital WiP,MAN Diesel Ltd,979771,"92,561.27", services & parts for Overhaul of 3 x ESL 16 Twin Bank Stand-by Diesel Generators at Thames Barrier,SK7 5AQ,30280906,IMTH001345,Administration
Defra,Environment Agency,26/07/2011,Main Contractors,South East Capital WiP,Dean & Dyball Civil Engineering Ltd,983023,"91,497.69",936590 Eldridges Main Lock,BH24 1PN,30203216,IMSO000713,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Tonbridge & Malling Borough Council,948470,"91,472.10",902182 Rates Orchard hse,ME19 4LZ,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,North West Regional Facilities,Eden District Council,955364,"91,363.00",909028 Ghyll Mount Rates,CA11 7QF,,,Administration
Defra,Environment Agency,07/07/2011,Main Contractors,Anglian Capital WiP,Jackson Civil Engineering Ltd,977699,"88,290.30",931292 ST IVES & HEMINGFORD FAS,IP1 5LT,30000794 | 30142731,IMAN000639,Project 
Defra,Environment Agency,05/07/2011,Main Contractors,North West Capital WiP,Volkerstevin Ltd,976135,"84,511.80",Walverden FAS ,EN11 9BX,30142737,IMNW000672,Project 
Defra,Environment Agency,14/07/2011,Building Management,South East Kent & South London- Tidal Flood Risk Manager,Port Of London Authority,979209,"84,035.66",932793 Thames Barrier Running costs for 2011,DA12 2BG,,,Administration
Defra,Environment Agency,14/07/2011,Main Contractors,EA Wales Capital WiP,JU Bowen Construction Ltd,980288,"84,030.38",933868 - Lady Bagots Drive.  Application No 1 for work carried out to 3rd July 2011,SY16 2DR,40018012,IMWA000834,Project 
Defra,Environment Agency,26/07/2011,Main Contractors,North East Capital WiP,Lumsden & Carroll Construction Ltd,982210,"81,656.11",935780 EA HAYDON BRIDGE 1807,DH6 5PF,,IMNE000113,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Winchester City Council,949426,"80,815.68",903135 Rates - Colvedene Court,SO23 9LJ,,,Administration
Defra,Environment Agency,21/07/2011,Main Contractors,South East Capital WiP,J Breheny Contractors Ltd,981390,"79,673.57",934969 THAMES AREA SITE LIGHTING SRATEGY,IP6 8NH,30134424,IMTH001120,Project 
Defra,Environment Agency,26/07/2011,Main Contractors,Anglian Capital WiP,Jackson Civil Engineering Ltd,982525,"79,155.22",936092 Contract No 1097/2 cert No 7 River Nene Lock Inspection,IP1 5LT,30142731,IMAN001517,Project 
Defra,Environment Agency,12/07/2011,Environmental Services,National Monitoring,Environmental Scientifics Group,977978,"78,722.71",931571 - Independent monitoring of radioactivity,DE15 0YZ,30124860,HOOP000055,Project 
Defra,Environment Agency,05/07/2011,Construction Service Providers,South West Capital WiP,Halcrow Group Ltd,976300,"78,719.83",929893 - Steart Managed Realignment,SN4 0QD,30071913,IMSW001389,Project 
Defra,Environment Agency,26/07/2011,Building Management,NLS Support Starcross,Teignbridge District Council,946253,"78,302.12",899980 Rates - Starcross Labs,TQ12 4XX,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,North West Regional Facilities,South Ribble Borough Council,946301,"75,792.94",900028 REQ 10357513 Rates Bamber Bridge. PO 30301672 short,PR25 1DH,,,Administration
Defra,Environment Agency,21/07/2011,Main Contractors,North East Capital WiP,Lumsden & Carroll Construction Ltd,981101,"74,374.79",934680 Job No 1815 Ormesby Beck Realignment work up to end Jun'11,DH6 5PF,30204740,IMNE000113,Project 
Defra,Environment Agency,19/07/2011,Security,South East Kent & South London- Tidal Flood Risk Manager,MITIE Security London Ltd,975837,"73,062.50",929431 STATIC GUARDING 21/5/11-17/6/11 Thames Barrier,E1W 1XY,30239724,,Administration
Defra,Environment Agency,05/07/2011,"Marine, Coastal & Inland Waterways Services",North East Yorkshire Area North and East Yorks FRM,Yorkshire Water Services Ltd,970166,"72,606.43",923777 - East Hull PS power costs 12.12.10 - 12.01.11 ,BD3 7YD,,,Administration
Defra,Environment Agency,05/07/2011,Maintenance & Support | Systems Delivery,CIS Capital WiP,CDC Climat,976250,"72,000.00",929843 - ETSWAP Module 1 - Release 3 end of development stage,,,CIS3309115,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Peterborough City Council,949593,"71,479.26",903302 Rates - Aqua Hse,PE1 1AY,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Ipswich Borough Council,948479,"71,445.00",902191 Rates Cobham Road,IP1 2EE,,,Administration
Defra,Environment Agency,12/07/2011,Main Contractors,North East Capital WiP,Lumsden & Carroll Construction Ltd,977855,"69,760.46",931448 Kieknewton Flood EMB Application No. 2,DH6 5PF,30204740,IMNE000113,Project 
Defra,Environment Agency,12/07/2011,Main Contractors,South East Capital WiP,Jackson Civil Engineering Ltd,978281,"69,535.99",931866 THAMES WEIR PHASE 2/3 CERT 4,IP1 5LT,30142731,IMTH001505,Project 
Defra,Environment Agency,05/07/2011,Building Management,FM Operating Unit - Central and South East,Egan Lawson Llp,977727,"66,000.00","Quarterly Rent at Orchard House, Addington, West Malling, Kent",W1S 4EN,,,Administration
Defra,Environment Agency,21/07/2011,Main Contractors,North West Capital WiP,Amco Engineering,981083,"64,456.87",934662 ltmouth Pumping station App 4,S75 1HT,30293167,IMNW000671,Project 
Defra,Environment Agency,26/07/2011,Main Contractors,North East Capital WiP,Byzak Ltd,982045,"63,000.00",935615 BUTTERCRAMBE WEIR ULTRA SONIC,M41 7TG,30204802,IMNE430004,Project 
Defra,Environment Agency,19/07/2011,"Marine, Coastal & Inland Waterways Services",NLS Instrumentation,Meteor Communications Europe Ltd,980485,"62,400.00",934065 Meter Burst networks,AL1 5HT,30311256,NL00000059,Administration
Defra,Environment Agency,26/07/2011,Main Contractors,North East Capital WiP,Lumsden & Carroll Construction Ltd,981739,"61,045.02",935309 Small works at (East Mill Morpeth),DH6 5PF,30204740,IMNE000163,Project 
Defra,Environment Agency,12/07/2011,Leasing ,Head Office Geomatics,RVL Survey Ltd,978082,"60,499.81",931667. Remote sensing projects - Hire of Cessna aircraft,CV8 3AZ,30000394,SCLI0001,Project 
Defra,Environment Agency,21/07/2011,Main Contractors,South East Capital WiP,Galliford Try Infrastructure Ltd,981117,"59,879.54",934696 Tilgate Dam Raising contract No 6612 Project No IMTH000956,LE10 3JF,30142734,IMTH000956,Project 
Defra,Environment Agency,14/07/2011,Telecoms,Head Office Flood Warning Systems,MM Teleperformance Ltd,979265,"59,634.65",932849 - Project/call centre/system/training management etc - PO30298229,BS1 3LG,30146474,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,King Sturge,982392,"59,400.00",935959 Rent at Wessex Business Park for 24/6-28/9/11,W1B 5NH,,,Administration
Defra,Environment Agency,12/07/2011,Electricity,Anglian Eastern-AEM - Monitoring,EDF Energy Ltd,978573,"58,915.54",Supply of electricity to Kennett Pumping Station for 2011/12,PL3 5ZN,30286699,REAN000470,Administration
Defra,Environment Agency,05/07/2011,Main Contractors,EA Wales Capital WiP,Birse Civils Ltd,976234,"58,307.63",929827 - Afon Ganol East.  Payment for work carried out for period ending 31.05.11,LS24 9BX,40015267,IMWA000937,Project 
Defra,Environment Agency,14/07/2011,Construction Supplies,South East Capital WiP,ArcelorMittal Commercial RPS UK Ltd,979688,"57,582.47",933272 New Piles S355 GP,B91 3AL,30072323,IMSE500007,Project 
Defra,Environment Agency,12/07/2011,Construction Service Providers,South East Capital WiP,Atkins Ltd,978733,"57,137.46",932318 romney weir toe piles neeca2-1689-000403,KT18 5BW,30072266,IMSE500007,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,City Of Westminster,949493,"57,055.24",903202 Rates - Millbank,SW1E 6QP,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,North Dorset District Council,946150,"55,424.00",899877 Rates Rivers House,DT11 7LL,,,Administration
Defra,Environment Agency,26/07/2011,Environmental Services,Head Office Flood Warning Systems,Met Office,983149,"54,600.00",936716 UKCMF DIRECT SERVICES data for coastal services,EX1 3PB,,,Administration
Defra,Environment Agency,12/07/2011,Construction Service Providers,North West Capital WiP,Jacobs Engineering UK Ltd,978466,"53,897.62",Alt & Crossens strategy modelling,G2 7HX,30072261,IMNW000681,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,Tewkesbury Borough Council,949624,"53,692.00",903333 Rates - Riversmeet hse,GL20 5TT,,,Administration
Defra,Environment Agency,26/07/2011,Main Contractors,North East Capital WiP,Volkerstevin Ltd,982620,"52,516.22",936187 culvert works hirp eci survey cert no 9,EN11 9BX,30142737,IMNE790166,Project 
Defra,Environment Agency,05/07/2011,Main Contractors,North West Capital WiP,Volkerstevin Ltd,975414,"52,294.13",929008 Longtown Flood Storage Basin Project ,EN11 9BX,30142737,RENW001270,Project 
Defra,Environment Agency,14/07/2011,Main Contractors,North East Capital WiP,Interserve Project Services Ltd,979752,"51,948.20","933336 - Cell 4 Fishlake, Stainforth",TQ14 0HP,30142730,IMNE000773,Project 
Defra,Environment Agency,05/07/2011,Environmental Services,South East North East Thames - Ops Delivery,J Breheny Contractors Ltd,975239,"50,887.50",928833 LIGHT WATERCOURSE MAINENENCE & MINOR WORKS NORTH & EAST AREA,IP6 8NH,30134424,,Project 
Defra,Environment Agency,01/07/2011,Building Management,FM Operating Unit - Central and South East,CB Richard Ellis Ltd,977185,"50,078.53",Rent - Millbank,G2 6UA,,,Administration
Defra,Environment Agency,19/07/2011,Main Contractors,Midlands Capital WiP,G F Tomlinson Civil Engineering Ltd,979922,"49,487.82",933506 Burton Joyces FAS roadworks,WR3 8LX,30224315,IMMI000818,Project 
Defra,Environment Agency,07/07/2011,"Marine, Coastal & Inland Waterways Services",Midlands Capital WiP,ECS Engineering Services Ltd,977509,"49,470.60",931102 - Knowleston Place,NG16 6LE,30296930,IMMI001121,Project 
Defra,Environment Agency,21/07/2011,Engineering Services,Midlands East-Ops Delivery - 2,Allianz Cornhill Engineering,980754,"49,309.18",934334 Inspection Services end of year endorsement p/e 2010,GU1 1DB,,,Administration
Defra,Environment Agency,21/07/2011,Environmental Services,South East North East Thames - Ops Delivery,J Breheny Contractors Ltd,981284,"48,807.98",934863 Watercourse Maintenance Central & West works up to 24th June 2011,IP6 8NH,30134424,,Project 
Defra,Environment Agency,21/07/2011,Environmental Services,South East North East Thames - Ops Delivery,J Breheny Contractors Ltd,981285,"48,807.98",934864 Watercourse Maintenance Central & West works up to 27th May 2011.,IP6 8NH,30134424,,Project 
Defra,Environment Agency,26/07/2011,Environmental Services,South East North East Thames - Ops Delivery,JT Mackley & Co Ltd,981204,"46,730.04",934783 2011 Watercourse Maintenance & Minor work,BN5 9XQ,30134439,,Project 
Defra,Environment Agency,05/07/2011,Main Contractors,South East Capital WiP,Dyer & Butler Ltd,976441,"45,775.30",930034 - Bucklebury FAS,SO16 0AH,30134440,IMTH001504,Project 
Defra,Environment Agency,12/07/2011,Main Contractors,EA Wales Capital WiP,JU Bowen Construction Ltd,979828,"44,507.62",933412 - Project: Felindre Mill - second application for work completed to 30th June 2011,SY16 2DR,40018012,IMWA000843,Project 
Defra,Environment Agency,19/07/2011,Construction Service Providers,Thames Capital WiP | South East Capital WiP,Ove Arup & Partners Ltd,979670,"44,396.99",933254 Newman's Sluices improvements,W1T 4BQ,30072279,IMTH000990,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Sevenoaks District Council,946244,"44,168.45",899971 Rates Leigh,TN13 1HG,,,Administration
Defra,Environment Agency,26/07/2011,Main Contractors,EA Wales Capital WiP,Alun Griffiths Contractors Ltd,983519,"43,682.32",937086 St Fagons Gauging Station Certified Valuation No 2 ,NP7 5AA,40018007,IMWA000761,Project 
Defra,Environment Agency,07/07/2011,Construction Service Providers,North East Capital WiP,Halcrow Group Ltd,976647,"43,606.00",930240 - Lower Todmorden & Walsden Water FAS - May 11,SN4 0QD,30071913,IMNE000616,Project 
Defra,Environment Agency,07/07/2011,Main Contractors,Anglian Capital WiP,Jackson Civil Engineering Ltd,963511,"43,233.10",917141 - Anglian Lock Inspections - PO 30265526 ,IP1 5LT,30142731,IMAN001517,Project 
