Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,
Cabinet Office,Cabinet Office,09/01/12,Accommodation and Utilities,GOVERNMENT DIGITAL SERVICE,COI CENTRAL OFFICE OF INFORMATION,3000021832,"125,000.00",Payment of quarterly rent charge,SE1 7DU,Large,Programme,
Cabinet Office,Cabinet Office,09/01/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000021834,"57,317.68",Facilities Management Services,BN1 1HQ,Large,Administration,
Cabinet Office,Cabinet Office,09/01/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000021834,"916,349.76",Facilities Management Services,BN1 1HQ,Large,Administration,
Cabinet Office,Government Procurement Service,09/01/12,SAP Rental,Network Services,Global Crossing,PCROHD 975,"-162,106.49",Government managed telecoms contract,RG24 8NA,Large,Programme,
Cabinet Office,Government Procurement Service,09/01/12,Call Charges Std,Network Services,Global Crossing,PINMTS 21259,"40,662.36",Government managed telecoms contract,RG24 8NA,Large,Programme,
Cabinet Office,Government Procurement Service,09/01/12,SAP Rental,Network Services,Global Crossing,PINMTS 21332,"102,955.95",Government managed telecoms contract,RG24 8NA,Large,Programme,
Cabinet Office,Cabinet Office,10/01/12,Land and Buildings,ESTATE MANAGEMENT,AIRSCAPE LTD,2000219,"290,845.50",Rent for accommodation,IRELAND,Large,Administration,
Cabinet Office,Cabinet Office,10/01/12,Investments,OFFICE FOR CIVIL SOCIETY,BRIDGES VENTURES LTD,1000474,"166,725.51",Investment in the risk capital fund for social enterprise,W2 3EN,SME,Programme,
Cabinet Office,Cabinet Office,10/01/12,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,COI CENTRAL OFFICE OF INFORMATION,3000021858,"39,290.00",Support and maintenance of the Boundary Commission for England’s consultation website in relation to the statutory consultation stages of the 2013 Review of Parliamentary constituencies in England. ,SE1 7DU,Large,Programme,
Cabinet Office,Cabinet Office,10/01/12,IT Costs,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000021861,"529,327.00",Flex service charge,SW1A 2WH,Large,Administration,
Cabinet Office,Cabinet Office,10/01/12,Supplies and Services,PARLIAMENTARY COUNSEL OFFICE,LEXIS NEXIS BUTTERWORTHS,3000021866,"97,416.00",Purchase of legal publications ,CR9 5AF,Large,Administration,
Cabinet Office,National School of Government,10/01/12,Copy Charges and Hire,Corporate Services & Operation,ING Lease (UK) Limited,64INGL001136405519/12/2011," 33,800.22 ",Copy charges for printing machines in Reprographics Department,RH1 1NY,Large,Admin,
Cabinet Office,National School of Government,10/01/12,De Vere PFI contract fee,Corporate Services & Operation,De Vere Venues Ltd,64DEVE0091027262403/01/2012," 206,653.51 ",Private Finance Initiative payment for student & office accommodation,WD6 3FG,Large,Admin,
Cabinet Office,Cabinet Office,11/01/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000021883,"48,346.12","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,11/01/12,IT Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,CORPORATE DOCUMENT SERVICES LTD,3000021886,"31,402.57","Support, maintenance and development of e-PIMS, the government property database",LS2 LY,Large,Administration,
Cabinet Office,Cabinet Office,12/01/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,3000021911,"42,603.94",Interim IT specialists,ST1 5UB,SME,Programme,
Cabinet Office,Cabinet Office,12/01/12,Consultancy,CIVIL SERVICE PENSIONS,PRICEWATERHOUSE COOPERS LLP,3000021917,"198,352.00",Professional services,E14 9SQ,Large,Administration,
Cabinet Office,Cabinet Office,12/01/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITORS DEPT 3861,3000021921,"134,194.00",Legal costs,WC2B 4TS,Large,Administration,
Cabinet Office,Government Procurement Service,13/01/12,Consultancy Fees,Governance & Assurance,Unipart Expert Practices,PINVP2P 480,"40,000.00",Lean procurement process consultancy,OX2 4PG,Large,Administration,
Cabinet Office,Cabinet Office,16/01/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000021989,"26,547.43",Facilities Management Services,BN1 1HQ,Large,Administration,
Cabinet Office,Government Procurement Service,16/01/12,Bravo License Costs,IT,Bravosolution UK Ltd,PINVP2P 484,"33,420.00",Licences for procurement evaluation system,EC2M 7AD,Large,Administration,
Cabinet Office,Cabinet Office,17/01/12,IT Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,CABLE & WIRELESS PLC,3000022014,"41,084.50","Quarterly payments for hosting of e-PIMS, the government property database",RG12 1RW,Large,Administration,
Cabinet Office,Cabinet Office,17/01/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000022016,"29,415.24","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,17/01/12,Supplies and Services,ERG STRATEGY AND MANAGEMENT INFORMATION,KABLE GUARDIAN NEWS & MEDIA LTD,3000022024,"29,940.00",Annual subscription to research and analysis on ICT spend for central government’,M3 3GG,Large,Administration,
Cabinet Office,Cabinet Office,17/01/12,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000022027,"36,781.68",Reprographic services,CR5 2HR,Large,Administration,
Cabinet Office,Cabinet Office,17/01/12,IT Hardware,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000022028,"45,643.23",IT hardware and software,B11 2LE,Large,Programme,
Cabinet Office,Cabinet Office,18/01/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY MATTERS,3000022039,"25,000.00",Strategic partners transition grant ,N1 9LL,SME,Grants,
Cabinet Office,Cabinet Office,18/01/12,Research and Development (VAT Recoverable),POLITICAL AND CONSTITUTIONAL REFORM,ELECTORAL COMMISSION,3000022041,"34,800.00",National Study into Completeness and Accuracy of the Electoral Registers,EC1Y 8YZ,Large,Programme,
Cabinet Office,Cabinet Office,18/01/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SOCIAL INVESTMENT BUSINESS,1000478,"237,484.00",Social Action Fund grants,WC1H 8AG,SME,Grants,
Cabinet Office,Cabinet Office,19/01/12,IT Costs,PRIME MINISTERS OFFICE,ALTODIGITAL NETWORKS LTD,3000022061,"26,611.49",IT Equipment Leasing,DY6 7FZ,Large,Administration,
Cabinet Office,Cabinet Office,19/01/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,AON HEWITT,3000022062,"29,246.48",Professional services,KT8 5BS,Large,Administration,
Cabinet Office,Cabinet Office,19/01/12,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,BT,3000022063,"25,069.17",BT Telephone Line rental,DH98 1BT,Large,Administration,
Cabinet Office,Cabinet Office,19/01/12,Accommodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000022066,"35,774.72",Facilities Management Services,BN1 1HQ,Large,Administration,
Cabinet Office,Cabinet Office,19/01/12,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,MERRILL LEGAL SOLUTIONS,3000022070,"49,885.41","Part costs of the verbatim transcripts for each of the public hearings held across England, in relation to the review of Parliamentary constituency boundaries by the Boundary Commission for England",EC2A 1ER,Large,Programme,
Cabinet Office,Cabinet Office,19/01/12,IT Costs,OFFICE FOR CIVIL SOCIETY,NCVO,3000022073,"92,671.25",Supporting a web portal allowing easy access to funding opportunities for the voluntary and community sector. ,N1 9RL,Large,Programme,
Cabinet Office,Cabinet Office,19/01/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,PRICEWATERHOUSE COOPERS,3000022075,"91,406.35",Professional services,E14 9SQ,Large,Administration,
Cabinet Office,Cabinet Office,19/01/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000022080,"47,199.35",Fees and disbursements,WC2B 4TS,Large,Administration,
Cabinet Office,Government Procurement Service,19/01/12,GSI COS,Network Services,CESG,PINDOH 33908,"46,833.00",Security costs for government secure intranet,GL51 0EX,Gov Dept,Programme,
Cabinet Office,Cabinet Office,20/01/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM,3000022105,"26,547.43",Facilities Management Services,BN1 1HQ,Large,Administration,
Cabinet Office,Cabinet Office,20/01/12,Agency and Temporary Staff,ERG STRATEGY AND MANAGEMENT INFORMATION,ETON COLLEGE,3000022106,"32,976.00",Costs for the ICT Futures Director,SL4 6DW,Large,Administration,
Cabinet Office,Cabinet Office,20/01/12,Supplies and Services,PARLIAMENTARY COUNSEL OFFICE,LEXIS NEXIS BUTTERWORTHS,3000022118,"31,940.85",Purchase of legal publications ,CR9 5AF,Large,Administration,
Cabinet Office,Cabinet Office,20/01/12,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000022119,"1,200,000.00",Information Assurance Technical Programme,L2 3YL,Large,Programme,
Cabinet Office,Cabinet Office,20/01/12,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,NORMAN LEWIS OFFICE FURNITURE,3000022124,"29,973.60",Security furniture,CR0 2DP,SME,Administration,
Cabinet Office,Cabinet Office,20/01/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000022140,"91,286.00",Capitation costs,WC2B 4TS,Large,Administration,
Cabinet Office,Cabinet Office,23/01/12,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000022155,"1,808,333.33",Monitoring services provided by the BBC,M14 0EP,Large,Programme,
Cabinet Office,Cabinet Office,23/01/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000022161,"156,750.00",Facilities Management Services,BN1 1HQ,Large,Administration,
Cabinet Office,Cabinet Office,23/01/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,GIVING.COM LTD,1000479,"500,000.00",Grant to support a Christmas fundraising campaign,W2 6LA,SME,Grants,
Cabinet Office,Cabinet Office,23/01/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,URBAN FORUM,3000022178,"30,000.00",Strategic partners transition grant ,N1 6DR,SME,Grants,
Cabinet Office,Government Procurement Service,23/01/12,Call Charges Std,Network Services,Global Crossing,PINMTS 21385,"32,293.69",Government managed telecoms contract,RG24 8NA,Large,Programme,
Cabinet Office,Cabinet Office,24/01/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ACEVO,3000022189,"138,333.34",Strategic partners transition grant ,WC1A 1NU,SME,Grants,
Cabinet Office,Cabinet Office,24/01/12,Accommodation and Utilities,PRIME MINISTERS OFFICE,BT,3000022192,"34,174.78",Telecomms line rentals,DH98 1BT,Large,Administration,
Cabinet Office,Cabinet Office,24/01/12,Grant fund management services,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000022194,"88,500.00",Management Fee for delivery of Community First,EC1V 2PT,SME,Programme,
Cabinet Office,Cabinet Office,24/01/12,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM,3000022196,"90,721.66",Refurbishment works to 70 Whitehall,BN1 1HQ,Large,Administration,
Cabinet Office,Government Procurement Service,24/01/12,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 33126,"39,219.71",Legal services fee,WC2B 4TS,Large,Administration,
Cabinet Office,Government Procurement Service,24/01/12,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 33427,"54,155.09",Legal services fee,WC2B 4TS,Large,Administration,
Cabinet Office,Government Procurement Service,24/01/12,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 33550,"48,268.15",Legal services fee,WC2B 4TS,Large,Administration,
Cabinet Office,Government Procurement Service,24/01/12,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 33648,"53,399.10",Legal services fee,WC2B 4TS,Large,Administration,
Cabinet Office,Cabinet Office,25/01/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NAVCA,3000022219,"115,000.00",Strategic partners transition grant ,S1 4QL,SME,Grants,
Cabinet Office,Cabinet Office,25/01/12,Agency and Temporary Staff,ERG STRATEGY AND MANAGEMENT INFORMATION,THE NATIONAL ARCHIVES 9014,103395,"54,804.00",Re-imbursement of staff costs,TW9 4DU,Large,Administration,
Cabinet Office,Cabinet Office,26/01/12,IT Costs,PRIME MINISTERS OFFICE,DE LAGE LANDEN LEASING LTD,3000022236,"73,325.20",IT Equipment Leasing,WD18 8YN,Large,Administration,
Cabinet Office,Cabinet Office,26/01/12,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000022238,"28,685.57",Refurbishment works to 70 Whitehall,BN1 1HQ,Large,Administration,
Cabinet Office,Cabinet Office,26/01/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000022238,"58,213.09",Facilities Management Services,BN1 1HQ,Large,Administration,
Cabinet Office,Cabinet Office,26/01/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,INSTITUTE OF FUNDRAISING,3000022257,"91,665.66",Strategic partners transition grant ,SW8 1UD,SME,Grants,
Cabinet Office,Cabinet Office,26/01/12,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,MGA NETWORK SERVICES LTD,3000022245,"28,560.00",IT network cabling work,KT4 8BB,SME,Administration,
Cabinet Office,Government Procurement Service,26/01/12,Information Services,Hardware & Software,IDC UK,PINVP2P 509,"45,000.00",Price benchmarking of IT commodities,W4 4AE,Large,Administration,
Cabinet Office,Cabinet Office,27/01/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000022260,"27,423.36",Interim IT specialists,SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,27/01/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CATCH22 CHARITY LTD,3000022261,"564,006.00",National Citizen Service project grant,EC1V 9BW,Large,Grants,
Cabinet Office,Cabinet Office,27/01/12,IT Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,CORPORATE DOCUMENT SERVICES LTD,3000022263,"31,666.66","Support, maintenance and development of e-PIMS, the government property database",LS2 LY,Large,Administration,
Cabinet Office,Cabinet Office,27/01/12,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,CYBER SECURITY CHALLENGE UK LTD,1000483,"68,951.17",Get Safe Online Campaign,HP9 2YX,SME,Programme,
Cabinet Office,Cabinet Office,27/01/12,IT Costs, WORKSPACE AND BETTER TOOLS PLAN,ECOVERT FM LTD,3000022264,"73,255.38",Estates Rationalisation Programme,BN1 1HQ,Large,Administration,
Cabinet Office,Cabinet Office,27/01/12,Accommodation and Utilities,POLITICAL AND CONSTITUTIONAL REFORM,INSTITUTE FOR GOVERNMENT,3000022268,"37,546.75",Facilities Management Services,SW1Y 5AA,SME,Administration,
Cabinet Office,Cabinet Office,27/01/12,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,ORC INTERNATIONAL LIMITED,3000022275,"323,416.25",Civil Service Staff Survey,N1 9AH,SME,Administration,
Cabinet Office,Government Procurement Service,30/01/12,Peripherals,Network Services,Global Crossing,PCROHD 979,"-28,355.27",Government managed telecoms contract,RG24 8NA,Large,Programme,
Cabinet Office,Government Procurement Service,30/01/12,Moves & Changes,Network Services,Global Crossing,PINMTS 21458,"53,420.76",Government managed telecoms contract,RG24 8NA,Large,Programme,
Cabinet Office,Government Procurement Service,30/01/12,Moves & Changes,Network Services,Global Crossing,PINMTS 21459,"48,211.10",Government managed telecoms contract,RG24 8NA,Large,Programme,
Cabinet Office,Cabinet Office,31/01/12,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES.,3000022319,"90,000.00",High Integrity Telecomms System project costs,NW9 6LB,Large,Programme,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
