Department,Entity,Date,Expense type,Expense Area,Supplier Name,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Number,Expenditure type
DEFRA,RPA,25/04/2012,Defra Estates Recharge,Sustainable Workplace Management,DTZ,33333,"Ł28,365.56",Sustainable Workplace Management,B4 6AJ,,63802,N/A,Admin
DEFRA,RPA,25/04/2012,Maintenance & FM Service,Sustainable Workplace Management,DTZ,33900,"Ł40,056.49",Sustainable Workplace Management,B4 6AJ,,63802,N/A,Admin
DEFRA,RPA,25/04/2012,Rent,Sustainable Workplace Management,DTZ,34909,"Ł142,276.75",Sustainable Workplace Management,B4 6AJ,,63802,N/A,Admin
DEFRA,RPA,25/04/2012,Rent,Sustainable Workplace Management,DTZ,34852,"Ł139,643.16",Sustainable Workplace Management,B4 6AJ,,63804,N/A,Admin
DEFRA,RPA,25/04/2012,Rates,Sustainable Workplace Management,DTZ,34852,"Ł42,715.87",Sustainable Workplace Management,B4 6AJ,,63804,N/A,
DEFRA,RPA,26/04/2012,Maintenance & FM Service,Sustainable Workplace Management,DTZ,33921,"Ł30,947.01",Sustainable Workplace Management,B4 6AJ,,63800,N/A,
DEFRA,RPA,26/04/2012,Rent,Sustainable Workplace Management,DTZ,29598,"Ł251,394.66",Sustainable Workplace Management,B4 6AJ,,63800,N/A,Admin
DEFRA,RPA,26/04/2012,Rates,Sustainable Workplace Management,DTZ,29598,"Ł71,245.28",Sustainable Workplace Management,B4 6AJ,,63800,N/A,
DEFRA,RPA,26/04/2012,Fuel & Utilities,Sustainable Workplace Management,DTZ,29598,"Ł26,862.56",Sustainable Workplace Management,B4 6AJ,,63800,N/A,
DEFRA,RPA,26/04/2012,Maintenance & FM Service,Sustainable Workplace Management,DTZ,29598,"Ł29,305.48",Sustainable Workplace Management,B4 6AJ,,63800,N/A,
DEFRA,RPA,15/04/2012,IT Licences,Service Management,E-Spatial Solutions,200012,"Ł35,200.00",Desktop Licences,Dublin D3,,64102,OFFS0250,Admin
DEFRA,RPA,15/04/2012,IT Licences,Service Management,E-Spatial Solutions,200012,"Ł70,400.00",Desktop Licences,Dublin D3,,64102,OFFS0250,
DEFRA,RPA,03/04/2012,IT Licences,Service Management,Experian Q A S ,133954I,"Ł55,497.03",UNIX - SOLARIS Desktop Licences to 28/02/2013,SW4 0QL,,63990,OFFS0250,Admin
DEFRA,RPA,03/04/2012,Meat Hygiene Services,British Cattle Movement Services,Food Standards Agency,1701225,"Ł57,761.82",Cattle Passports,YO1 7PX,,63545,N/A,Admin
DEFRA,RPA,03/04/2012,Meat Hygiene Services,British Cattle Movement Services,Food Standards Agency,1701270,"Ł56,525.57",Cattle Passports,YO1 7PX,,63545,N/A,Admin
DEFRA,RPA,04/04/2012,IT Outsourced Services,Service Management,IBM,5803121250,"Ł63,162.98",SAN Microsoft Migration - IBM Provided Resource 30/12/11 to 27/01/12 ,B4 6AJ,,63959,PPT01100,Admin
DEFRA,RPA,04/04/2012,IT Outsourced Services,Programmes & Projects,IBM,5803121545,"Ł43,083.18",SAN Microsoft Migration - IBM Provided Resource 01/03/12 to 31/03/12  ICT Continuity,B4 6AJ,,63726,PPT02200,Admin
DEFRA,RPA,26/04/2012,IT Outsourced Services,Programmes & Projects,IBM,5804120854,"Ł49,741.51",SAN Microsoft Migration - IBM Provided Resource 01/04/12 to 30/4/12 Collaborative Environmental Transportation Agreement for Streamling (CETAS),B4 6AJ,,63655,PPX08600,Admin
DEFRA,RPA,05/04/2012,Supplier Contractors,Geographic Information Services,Infotech Enterprises,970001366,"Ł48,717.13",Geographical Information Services Rural Land Registry Digitization - Feb 12,WC1A 6RL,,63631,N/A,Admin
DEFRA,RPA,25/04/2012,Supplier Contractors,Geographic Information Services,Infotech Enterprises,970001465,"Ł61,448.24",Geographical information Services Rural Land Registry Digitization - Mar 11,WC1A 6RL,,63631,N/A,Admin
DEFRA,RPA,05/04/2012,Supplier Contractors,Programmes & Projects,Price Waterhouse Coopers,1353770086,"Ł113,024.00",Future Options Programme,E14 9SQ,,64074,FOP01000,Admin
DEFRA,RPA,05/04/2012,Supplier Contractors,Programmes & Projects,Price Waterhouse Coopers,1353770086,"Ł135,566.00",Future Options Programme,E14 9SQ,,63919,FOP01000,
DEFRA,RPA,13/04/2012,IT Outsourced Services,Programmes & Projects,Software AG,1109002255,"Ł44,620.00",Single Payment Scheme (SPS) Rollover and Enhancements,DE24 8HS,,63855,PPS08700,Admin
DEFRA,RPA,19/04/2012,IT Outsourced Services,Service Management,Software AG,1109002256,"Ł153,819.00",E-channel software,DE24 8HS,,64059,CORS0210,Admin
DEFRA,RPA,30/04/2012,Assets Clearing,Programmes & Projects,Software Box,INV56830,"Ł213,000.00",Identify and Improve Key Business Processes,YO6 1ET,,64053,PPN11000,Admin
DEFRA,RPA,30/04/2012,Assets Clearing,Programmes & Projects,Specialist Computer Centres,OP/L476540,"Ł78,762.93",Scheme Analysis,B11 2LE,,64073,PPN09500,Admin
DEFRA,RPA,18/04/2012,IT Outsourced Services,Service Management,Steria Limited,100031351,"Ł461,695.00",Strategic Management Information Finance Applications Maintenance and Support,M14 0WN,,64137,CORS0150,Admin
DEFRA,RPA,18/04/2012,IT Outsourced Services,Service Management,Steria Limited,100031352,"Ł28,852.00",Strategic Management Information Corporate Application Change Requests,M14 0WN,,64137,CORS0120,Admin
DEFRA,RPA,20/04/2012,IT Outsourced Services,Service Management,Steria Limited,100031353,"Ł160,507.00",Strategic Management Information Financial Applications Enhancements,M14 0WN,,64137,CORS0140,Admin
DEFRA,RPA,20/04/2012,IT Licences,Service Management,Tibco Software,6020547,"Ł157,983.00",Desktop Licences,Netherlands,,64076,OFFS0250,Admin
DEFRA,RPA,20/04/2012,IT Licences,Programmes & Projects,Trustmarque Solutions,2168846,"Ł111,182.06",Licences - Desktop Transaction Project,YO32 9WN,,64099,PPT02000,Admin
