EA >£25k Sept 11 Payments report FINAL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Department ,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type,,,,,
Defra,EA,08-Sep-11,Rail,Head Office,Redfern Travel Ltd,992995,"139,192.96",Rail tickets,BD1 1PL,,30127631,,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Reading Borough Council,949460,"138,560.00",903169 Rates - Kings Meadow House,RG1 7TD,,,,Administration,,,,,
Defra,EA,06-Sep-11,Main Contractors,SE Capital WiP,Pevensey Coastal Defence Ltd,992665,"136,543.72",946187 Pevensey bay sea defences,PO15 5SS,,,IMSO000584,Project,,,,,
Defra,EA,06-Sep-11,Main Contractors,MI Capital WiP,G F Tomlinson Civil Engineering Ltd,993199,"136,304.40",946721 Lydney FAS - value of agreed works to date.,WR3 8LX,,30224315,IMMI000975,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,Holding & Barnes Plc,999828,"135,750.00",953318 Rent for Trentside from 29/09/11 - 24/12/11,SS8 0PQ,,,,Administration,,,,,
Defra,EA,15-Sep-11,Main Contractors,SE Capital WiP,Galliford Try Infrastructure Ltd,996223,"134,708.75",949733. Tilgate Dam Rising valuation 16,LE10 3JF,,30142734,IMTH000956,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Huntingdonshire District Council,954218,"133,657.13",907893 Rates Brampton,PE29 3TN,,,,Administration,,,,,
Defra,EA,27-Sep-11,Main Contractors,TH Capital WiP,Volkerstevin Ltd,998406,"131,384.12",951899 Thames Barrier Crane Replacement.,EN11 9BX,,30142737,IMTH000925,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,Rushcliffe Borough Council,949636,"131,325.49",903345 Rates - Trentside,NG2 5FE,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,National Estates Manager,Leeds City Council,945479,"130,235.19",899209 Rates - Park Sq Leeds,LS2 8JR,,,,Administration,,,,,
Defra,EA,13-Sep-11,Building Management,National Facilities Manager,Property Income & Reversion Trust Ltd,995229,"129,714.30",948739. Rent Rivers Hse 29.09-24.12,LE10 1AW,,,,Administration,,,,,
Defra,EA,22-Sep-11,Environmental Services,SW Devon & Cornwall-Area Mgr,Veolia Water,998198,"129,546.01",Wheal Jane Minewater Treatment Plant Operations and Maintenance Contract,SL7 1YL,,,RESW000003,Administration,,,,,
Defra,EA,15-Sep-11,Building Management,FM Operating Unit - Northern,Jaymar Estates Ltd,997005,"129,121.80",950502. Rent  NCCC the Quadrant Sheffield-  29.09.11 to 24.12.11,M6 6AR,,,,Administration,,,,,
Defra,EA,22-Sep-11,Main Contractors,NE Capital WiP,Volkerstevin Ltd,998451,"125,852.52",951944 Lower Tormoden and Walsden Water Fas 111,EN11 9BX,,30142737,IMNE000616,Project,,,,,
Defra,EA,13-Sep-11,Environmental Services,E and B Land and Water,Wild Trout Trust,994981,"125,000.00",Collaborative agreement with WTT,PO8 0WZ,,,EBPLW11011,Project,,,,,
Defra,EA,13-Sep-11,Environmental Services,"Research, Monitoring and Innovation",EPSRC,995265,"125,000.00",948775. Contribution Flood risk management consortium phase 2,SN2 1ET,,,HOEV101103,Project,,,,,
Defra,EA,27-Sep-11,Building Management,National Facilities Manager,Sedgemoor District Council,946176,"124,487.50",899903 Rivers Hse Rents,TA6 3AR,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,Teignbridge District Council,946248,"119,435.53",899975 Rates Exminster,TQ12 4XX,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,Solihull Metropolitan Borough Council,945495,"119,075.00",899225 Rates - Olton Court,B91 3RR,,,,Administration,,,,,
Defra,EA,01-Sep-11,Main Contractors,SE Capital WiP,Birse Civils Ltd,992211,"118,650.13",Dartford Creek Barrier project,DN18 5BW,,30142670,IMSO000727,Project,,,,,
Defra,EA,27-Sep-11,Building Management,NLS Support Leeds,Leeds City Council,945483,"117,992.50",899213 Rates - Olympia House,LS2 8JR,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,City Of Westminster,949496,"117,243.89",903208 Rates Millbank,SW1E 6QP,,,,Administration,,,,,
Defra,EA,22-Sep-11,Main Contractors,AN Capital WiP,PGR Construction,998267,"115,134.46",951760 - Nothampton Marina Facilities Building,PE8 4HN,,,IMAN001753,Project,,,,,
Defra,EA,22-Sep-11,Main Contractors,AN Capital WiP,J Breheny Contractors Ltd,997943,"113,498.89",951436 - Tilbury FSA Reservoir Act Compliance works,IP6 8NH,,30184785,IMAN001946,Project,,,,,
Defra,EA,06-Sep-11,Main Contractors,WA Capital WiP,Dyer & Butler Ltd,992616,"112,470.84",946138: Coed Celynen - value of certification.,SA1 2NX,,40018495,IMWA000842,Project,,,,,
Defra,EA,15-Sep-11,Main Contractors,AN Capital WiP,Interserve Construction Ltd,997037,"112,031.72",950534 Minsmere Flood Risk Management,TQ14 0HP,,30142730,IMAN001506,Project,,,,,
Defra,EA,15-Sep-11,Main Contractors,NE Capital WiP,Lumsden & Carroll Construction Ltd,991919,"111,721.51",945441 Hessle dredging,DH6 5PF,,30204740,IMNE790331,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,Lichfield District Council,950334,"110,415.00",904035 Rates - Fradley,WS13 6YX,,,,Administration,,,,,
Defra,EA,15-Sep-11,Building Management,FM Operating Unit - Central and South East,Factory Outlets Ltd,995284,"106,725.00",948794 Rent in advance for Guildbourne House ,NW1 0ND,,,,Administration,,,,,
Defra,EA,08-Sep-11,Building Management,FM Operating Unit - Central and South East,Arlington Business Parks Partnerships,993880,"104,820.00",947397. Service charge - Apollo Court -  01.10.11 to 31.12.11,RG7 4SA,,,,Project,,,,,
Defra,EA,20-Sep-11,Construction Service Providers | Main Contractors,NE Capital WiP,Volkerstevin Ltd,997277,"104,020.69",950771 - Todmorden FAS,EN11 9BX,,30142737,IMNE000616,Project,,,,,
Defra,EA,01-Sep-11,Main Contractors,NE Capital WiP,Lumsden & Carroll Construction Ltd,991864,"103,217.35",945386 Tadcaster ings,DH6 5PF,,30204740,IMNE790321,Project,,,,,
Defra,EA,27-Sep-11,Main Contractors,SE Capital WiP,Galliford Try Infrastructure Ltd,997937,"102,819.46",951430 Thames Tidal Upstream gate 6661 project no IMTH001593,LE10 3JF,,30142734,IMTH001593,Project,,,,,
Defra,EA,01-Sep-11,Systems Delivery,CIS Capital WiP,Scisys UK Ltd,985762,"102,041.51",939322 Permitting Release 2,SN14 0GB,,30301794,CIS330865,Project,,,,,
Defra,EA,13-Sep-11,Business Process Outsourcing Services,E and B Land and Water,Salmon & Trout Association Trust,991158,"100,000.00",944685 Second and third year payment for Riverfly Partnership against MoA.,EC4R 9EL,,,EBPLW11011,Project,,,,,
Defra,EA,20-Sep-11,Main Contractors,NW Capital WiP,Galliford Try Infrastructure Ltd,990233,"99,015.94",943765 Didsbury Project ,LE10 3JF,,30142734,IMNW000175,Project,,,,,
Defra,EA,15-Sep-11,Construction Service Providers,SE Environment and Performance Manager,EC Harris Llp,995498,"97,473.40",949008 support env & WFD programme,M60 3NT,,30314195,RESE000028,Administration,,,,,
Defra,EA,20-Sep-11,Main Contractors,NW Capital WiP,Bedford Pumps Ltd,996986,"96,152.06",950483. 4 off Storm Water pumps,MK42 7UH,,30256932,IMNW000671,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Northern,Lincoln City Council,945525,"94,305.96",899255 Waterside House,LN1 1DB,,,,Administration,,,,,
Defra,EA,08-Sep-11,Building Management,FM Operating Unit - Central and South West,OF Ryan,994038,"93,867.30",947555 rental 1st & 2nd floors @ Olton Court 29/09 - 24/12/11,B26 3LS,,,,Administration,,,,,
Defra,EA,13-Sep-11,Building Management,FM Operating Unit - Northern,Northumberland Estates Ltd,994261,"93,193.80",947778. Rent - Office units & Car parking at Tyneside House -  29.09.11 to 24.12.11,NE66 1NQ,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,National Estates Manager,City Of York Council,945520,"93,095.00",899250 Rates - Aviator court,YO1 7DU,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Tonbridge & Malling Borough Council,948470,"91,472.10",902182 Rates Orchard hse,ME19 4LZ,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,NW Regional Facilities,Eden District Council,955364,"91,363.00",909028 Ghyll Mount Rates,CA11 7QF,,,,Administration,,,,,
Defra,EA,15-Sep-11,Main Contractors,NE Capital WiP,Galliford Try Infrastructure Ltd,996975,"91,175.74",Morrison -Ings Beck FAS - ,LE10 3JF,,30142734,IMNE000646,Project,,,,,
Defra,EA,01-Sep-11,Main Contractors,NE Capital WiP,Amco Engineering,992275,"87,428.81",945797 Spinkfield Road scheme,S75 1HT,,30204728,IMNE790320,Project,,,,,
Defra,EA,01-Sep-11,Construction Service Providers,SE Capital WiP,Halcrow Group Ltd,992513,"86,679.11",NHIRP Culvert Survey,SN4 0QD,,30071913,IMSE500047,Project,,,,,
Defra,EA,08-Sep-11,Environmental Services,SW Capital WiP,National Trust,992183,"85,000.00",945705 contribution to Hoilicote flood project 2nd payment,BA14 0ZT,,,IMSW001664,Project,,,,,
Defra,EA,06-Sep-11,Main Contractors,TH Capital WiP,Volkerstevin Ltd,991338,"84,421.61",944864 Ashlone Wharf Flood Alleviation Scheme. (IMTH 001444),EN11 9BX,,30142737,IMTH001444,Project,,,,,
Defra,EA,20-Sep-11,Building Management,SE Kent & South London- Tidal Flood Risk Manager,Port Of London Authority,997388,"84,035.66",950882. Thames Barrier Running Costs for 2011,DA12 2BG,,,,Administration,,,,,
Defra,EA,08-Sep-11,Waste Management Services | Environmental Services,MI Central-AEM - 2,Stibbs Haulage & Plant,994386,"83,999.04",947903 Non-Hazardous waste 15/8/11 - 23/8/11.,B46 2ET,,30171102,,Administration,,,,,
Defra,EA,06-Sep-11,Construction Service Providers | Main Contractors,NE Capital WiP,Interserve Project Services Ltd,993660,"83,368.76",947177.  Morpeth Flood Aleviation Scheme,TQ14 0HP,,30142730,IMNE000911,Project,,,,,
Defra,EA,27-Sep-11,Main Contractors,SE Capital WiP,Birse Civils Ltd,997847,"82,802.11",Oxford Short term measures project,DN18 5BW,,30142670,IMTH001624,Project,,,,,
Defra,EA,13-Sep-11,Building Management,National Estates Manager,Robson Associates,995665,"82,350.60",949175. Qtrlt rent Ghyll Mount,W1H 5WQ,,,,Administration,,,,,
Defra,EA,20-Sep-11,Environmental Services,Data and Information Management,DEFRA,996921,"81,682.99",950418 - ICF002 Miscellaneous Recharges for data,YO1 7PX,,,HOEV101104,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Winchester City Council,949426,"80,815.68",903135 Rates - Colvedene Court,SO23 9LJ,,,,Administration,,,,,
Defra,EA,15-Sep-11,Main Contractors,NE Capital WiP,Lumsden & Carroll Construction Ltd,995969,"78,617.84",949479 Job No 1815 Ormesby Beck Realignment,DH6 5PF,,30204740,IMNE000113,Project,,,,,
Defra,EA,27-Sep-11,Building Management,NLS Support Starcross,Teignbridge District Council,946253,"78,302.12",899980 Rates,TQ12 4XX,,,,Administration,,,,,
Defra,EA,08-Sep-11,Environmental Services,MI REP Manager,Wye & Usk Foundation,992873,"78,000.00",946395 Herefordshire Rivers,LD3 0YR,,,REMI001541,Project,,,,,
Defra,EA,20-Sep-11,Building Management,NLS Support Leeds,Colliers International Belfast Ltd,998438,"76,500.00",951931 Rent for Olympia House Leeds for 29/09/11 - 24/12/11,BT2 8BG,,,,Administration,,,,,
Defra,EA,22-Sep-11,Environmental Services,SW Capital WiP,Fugro Engineering Services Ltd,996365,"76,315.55",949875 Steart coastal management project,OX10 9RB,,30123021,IMSW001389,Project,,,,,
Defra,EA,27-Sep-11,Building Management,NW Regional Facilities,South Ribble Borough Council,946301,"75,792.94",900028 REQ 10357513 Rates Bamber Bridge.,PR25 1DH,,,,Administration,,,,,
Defra,EA,27-Sep-11,Security,SE Kent & South London- Tidal Flood Risk Manager,MITIE Security London Ltd,998944,"75,084.10",952436 Static Guarding - Permanent @ Thames Barrier.,E1W 1XY,,30239724,,Administration,,,,,
Defra,EA,13-Sep-11,Systems Delivery | Maintenance & Support,CIS Capital WiP,CDC Climat,995302,"72,000.00","948812 ETSWAP Module 1 release 3 deployement stage, overdue inv shcd payment for next run",,,,CIS3309115,Project,,,,,
Defra,EA,20-Sep-11,Main Contractors,WA Capital WiP,Dyer & Butler Ltd,998702,"71,530.78",952195.  Minor works - Salmon For Tomorrow - Kentchurch Weir.  Valuation nr 1 for works completed. SPC No : 1.,SA1 2NX,,40018495,IMWA000981,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Peterborough City Council,949593,"71,479.26",903302 Rates - Aqua Hse,PE1 1AY,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Ipswich Borough Council,948479,"71,445.00",902191 Rates Cobham Road,IP1 2EE,,,,Administration,,,,,
Defra,EA,08-Sep-11,"Marine, Coastal & Inland Waterways Services",MI Capital WiP,Integrated Water Services Ltd,994308,"71,233.67",947825 Alcester flood defence scheme - application 4 IWT987.,WS2 7PD,,30262260,IMMI000950,Project,,,,,
Defra,EA,13-Sep-11,Engineering Services,HO Fleet - EA Wales,Fraikin Ltd,996129,"68,881.07",949639: Plant Maintenance costs for Wales in July 2011.,CV4 8HX,,40021314,,Administration,,,,,
Defra,EA,20-Sep-11,Construction Service Providers | Main Contractors,SW Capital WiP,Team Van Oord,997608,"67,386.36",951102. Coombend Trash Screen Improvements,RG14 5QS,,30142735,IMSW001682,Project,,,,,
Defra,EA,27-Sep-11,Main Contractors,MI Capital WiP,G F Tomlinson Civil Engineering Ltd,997555,"66,997.79",951049. Horsbere Brook Flood Aleviation ,WR3 8LX,,30224315,IMMI000934,Project,,,,,
