Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Expenditure Description,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,25/01/2012,Current Grants,Families Group,NORTHAMPTONSHIRE COUNTY COUNCIL,Public Sector,"Current grant paid to local authorities within the aggregate external funding total.
In partnership with Department of Health and Youth Justice Board a range of pilots of intensive interventions for looked after children and children on the edge of care or custody with complex emotional and behavioural needs. Including Multi Systemic Therapy (MST). ",705178,55500
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Families Group,PROLOG,Commercial,Publications and related services,4000070083,122.37
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Families Group,PROLOG,Commercial,Publications and related services,4000070083,69.64
Department for Education,DEPARTMENT FOR EDUCATION,25/01/2012,Current Grants,Families Group,ADDACTION,VCS,Current grant to third sector organisation / not for profit organisation,4000070250,86331.71
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Families Group,INTERFACE ASSOCIATES UK LTD,VCS,Current grant to third sector organisation / not for profit organisation,4000068943,119178
Department for Education,DEPARTMENT FOR EDUCATION,09/01/2012,Current Grants,Families Group,THE PRINCESS ROYAL TRUST FOR CARERS,VCS,Current grant to third sector organisation / not for profit organisation,4000069111,28131.22
Department for Education,DEPARTMENT FOR EDUCATION,13/01/2012,Current Grants,Families Group,YMCA,VCS,Current grant to third sector organisation / not for profit organisation,4000069356,50510
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Families Group,PROLOG,Commercial,Publications and related services,4000070083,881.34
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Current Grants,Families Group,BARNARDOS,VCS,Current grant to third sector organisation / not for profit organisation,4000070063,100675
Department for Education,DEPARTMENT FOR EDUCATION,31/01/2012,Current Grants,Families Group,HOME START UK,VCS,Current grant to third sector organisation / not for profit organisation,4000070701,385472.27
Department for Education,DEPARTMENT FOR EDUCATION,19/01/2012,Current Grants,Families Group,ONE PLUS ONE,VCS,Current grant to third sector organisation / not for profit organisation,4000069906,37415.99
Department for Education,DEPARTMENT FOR EDUCATION,27/01/2012,Current Grants,Families Group,PARENTING UK,VCS,Current grant to third sector organisation / not for profit organisation,4000070461,37567.29
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,DfE Programme Costs,Families Group,CHILDRENS LEGAL CENTRE,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000069759,33873.95
Department for Education,DEPARTMENT FOR EDUCATION,26/01/2012,DfE Programme Costs,Families Group,CONTACT A FAMILY,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000070343,69998.48
Department for Education,DEPARTMENT FOR EDUCATION,27/01/2012,DfE Programme Costs,Families Group,FAMILY LIVES,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000070433,126397.35
Department for Education,DEPARTMENT FOR EDUCATION,17/01/2012,DfE Programme Costs,Families Group,FAMILY MATTERS INSTITUTE,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000069501,31560
Department for Education,DEPARTMENT FOR EDUCATION,06/01/2012,DfE Programme Costs,Families Group,FAMILY RIGHTS GROUP LTD,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000069023,43868
Department for Education,DEPARTMENT FOR EDUCATION,20/01/2012,DfE Programme Costs,Families Group,GINGERBREAD,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000069985,28224.66
Department for Education,DEPARTMENT FOR EDUCATION,10/01/2012,DfE Programme Costs,Families Group,NETMUMS LTD,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000069152,88643
Department for Education,DEPARTMENT FOR EDUCATION,17/01/2012,DfE Programme Costs,Families Group,NETMUMS LTD,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000069521,83318
Department for Education,DEPARTMENT FOR EDUCATION,19/01/2012,DfE Programme Costs,Families Group,RELATE,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000069915,25415.81
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Current Grants,Families Group,BOOK TRUST,VCS,Current grant to third sector organisation / not for profit organisation,4000070065,424529
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants to Arms Length Bodies,Families Group,CAFCASS,Public Sector,Funding to arms length bodies for DfE's contribution to fund activity,2000510,9111889
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Families Group,PROLOG,Commercial,Publications and related services,4000070083,265.36
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Families Group,CAFCASS,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000069753,235102.74
Department for Education,DEPARTMENT FOR EDUCATION,19/01/2012,Current Grants,Families Group,ASIAN FAMILY COUNSELLING SERVICE,VCS,Current grant to third sector organisation / not for profit organisation,4000069871,30379.47
Department for Education,DEPARTMENT FOR EDUCATION,31/01/2012,Current Grants,Families Group,CONTACT A FAMILY,VCS,Current grant to third sector organisation / not for profit organisation,4000070681,56541.6
Department for Education,DEPARTMENT FOR EDUCATION,13/01/2012,Current Grants,Families Group,FAMILIES NEED FATHERS,VCS,Current grant to third sector organisation / not for profit organisation,4000069319,40971.98
Department for Education,DEPARTMENT FOR EDUCATION,11/01/2012,Current Grants,Families Group,MARRIAGE CARE,VCS,Current grant to third sector organisation / not for profit organisation,4000069200,90426
Department for Education,DEPARTMENT FOR EDUCATION,20/01/2012,Current Grants,Families Group,MARRIAGE CARE,VCS,Current grant to third sector organisation / not for profit organisation,4000069993,67172
Department for Education,DEPARTMENT FOR EDUCATION,30/01/2012,Current Grants,Families Group,NATIONAL ASSOCIATION OF CHILD CONTACT CENTRES,VCS,Current grant to third sector organisation / not for profit organisation,4000070583,40133.31
Department for Education,DEPARTMENT FOR EDUCATION,13/01/2012,Current Grants,Families Group,ONE PLUS ONE,VCS,Current grant to third sector organisation / not for profit organisation,4000069335,99626.25
Department for Education,DEPARTMENT FOR EDUCATION,17/01/2012,Current Grants,Families Group,TAVISTOCK CENTRE FOR COUPLE RELATIONSHIPS,VCS,Current grant to third sector organisation / not for profit organisation,4000069530,76717
Department for Education,DEPARTMENT FOR EDUCATION,20/01/2012,Current Grants,Families Group,THE CENTRE FOR SEPARATED FAMILIES,VCS,Current grant to third sector organisation / not for profit organisation,4000070013,44619.45
Department for Education,DEPARTMENT FOR EDUCATION,11/01/2012,ICT,Children Young People and Families Improving Information Sharing and Management Group,LOGICA UK LTD,Commercial,Costs related to the provision of IT costs,4000069199,184704.6
Department for Education,DEPARTMENT FOR EDUCATION,20/01/2012,Current Grants,Children Young People and Families Safeguarding Group,NSPCC,VCS,Current grant to third sector organisation / not for profit organisation,4000069999,1000000
Department for Education,DEPARTMENT FOR EDUCATION,30/01/2012,ICT,Children Young People and Families Safeguarding Group,CAPGEMINI UK PLC,Commercial,Costs related to the provision of computer equipment and components (non capital),4000070539,102272.4
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Children Young People and Families Safeguarding Group,PROLOG,Commercial,Publications and related services,4000070083,5503.2
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Children Young People and Families Safeguarding Group,BARNARDOS,VCS,Current grant to third sector organisation / not for profit organisation,4000069745,148383.51
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Children Young People and Families Safeguarding Group,BROOK,VCS,Current grant to third sector organisation / not for profit organisation,4000069749,33073.89
Department for Education,DEPARTMENT FOR EDUCATION,20/01/2012,Current Grants,Children Young People and Families Safeguarding Group,CHILD & FAMILY TRAINING LTD,VCS,Current grant to third sector organisation / not for profit organisation,4000069973,78489.59
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Children Young People and Families Safeguarding Group,CHILDRENS LEGAL CENTRE,VCS,Current grant to third sector organisation / not for profit organisation,4000069759,11639.61
Department for Education,DEPARTMENT FOR EDUCATION,27/01/2012,Current Grants,Children Young People and Families Safeguarding Group,CSV,VCS,Current grant to third sector organisation / not for profit organisation,4000070425,36310.07
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Current Grants,Children Young People and Families Safeguarding Group,DIANA PRINCESS  MEMORIAL AWARD,VCS,Current grant to third sector organisation / not for profit organisation,4000070071,54712.72
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Children Young People and Families Safeguarding Group,FATHERHOOD INSTITUTE,VCS,Current grant to third sector organisation / not for profit organisation,4000069783,35830
Department for Education,DEPARTMENT FOR EDUCATION,27/01/2012,Current Grants,Children Young People and Families Safeguarding Group,LUCY FAITHFULL FOUNDATION,VCS,Current grant to third sector organisation / not for profit organisation,4000070447,49201
Department for Education,DEPARTMENT FOR EDUCATION,27/01/2012,Current Grants,Children Young People and Families Safeguarding Group,MISSING PEOPLE,VCS,Current grant to third sector organisation / not for profit organisation,4000070451,64469
Department for Education,DEPARTMENT FOR EDUCATION,17/01/2012,Current Grants,Children Young People and Families Safeguarding Group,NSPCC,VCS,Current grant to third sector organisation / not for profit organisation,4000069522,143075.06
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Children Young People and Families Safeguarding Group,THE ANNA FREUD CENTRE,VCS,Current grant to third sector organisation / not for profit organisation,4000069824,112234.02
Department for Education,DEPARTMENT FOR EDUCATION,30/01/2012,Current Grants,Children Young People and Families Safeguarding Group,THE PLACE2BE,VCS,Current grant to third sector organisation / not for profit organisation,4000070615,50136
Department for Education,DEPARTMENT FOR EDUCATION,13/01/2012,Professional Services Other,Children Young People and Families Safeguarding Group,TREASURY SOLICITOR TSOL,Public Sector,Costs related to legal Services provided by the Treasury Solicitor for litigation activity,4000069352,22030.57
Department for Education,DEPARTMENT FOR EDUCATION,27/01/2012,Current Grants,Safeguarding Group,THE COLLEGE OF SOCIAL WORK,VCS,Current grant to third sector organisation / not for profit organisation,4000070475,1182471
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Children Young People and Families Supporting Delivery Group,PROLOG,Commercial,Publications and related services,4000070083,2.08
Department for Education,DEPARTMENT FOR EDUCATION,16/01/2012,Current Grants,Children Young People and Families Supporting Delivery Group,VIRTUAL STAFF COLLEGE,Commercial,Current grant to third sector organisation / not for profit organisation,4000069447,258883
Department for Education,DEPARTMENT FOR EDUCATION,27/01/2012,Current Grants,Children Young People and Families Supporting Delivery Group,CHILDREN ENGLAND,VCS,Current grant to third sector organisation / not for profit organisation,4000070423,238107
Department for Education,DEPARTMENT FOR EDUCATION,13/01/2012,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,DAYCARE TRUST,VCS,Other relocation expenses for staff on permanent transfer ,4000069314,38416
Department for Education,DEPARTMENT FOR EDUCATION,27/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,4CHILDREN,VCS,Current grant to third sector organisation / not for profit organisation,4000070412,210916
Department for Education,DEPARTMENT FOR EDUCATION,20/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,CONTINYOU  VCS,VCS,Current grant to third sector organisation / not for profit organisation,4000069975,33349
Department for Education,DEPARTMENT FOR EDUCATION,16/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NATIONAL DAY NURSERIES ASSOCIATION,VCS,Current grant to third sector organisation / not for profit organisation,4000069424,47916.67
Department for Education,DEPARTMENT FOR EDUCATION,03/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE CHILDRENS UNIVERSITY,VCS,Current grant to third sector organisation / not for profit organisation,4000068766,96502
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Commercial,Publications and related services,4000070083,140.36
Department for Education,DEPARTMENT FOR EDUCATION,31/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,4CHILDREN,VCS,Current grant to third sector organisation / not for profit organisation,4000070665,114680
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Commercial,Publications and related services,4000070083,184.93
Department for Education,DEPARTMENT FOR EDUCATION,17/01/2012,Professional Services Other,Children Young People and Families Early Years Extended Schools and Special Needs Group,BIRKBECK COLLEGE,Public Sector,"Costs related to research, survey data analysis and/or evaluation activity that will inform policy decision making.",4000069484,119250
Department for Education,DEPARTMENT FOR EDUCATION,06/01/2012,Professional Services Other,Children Young People and Families Early Years Extended Schools and Special Needs Group,IPSOS MORI,Commercial,"Costs related to research, survey data analysis and/or evaluation activity that will inform policy decision making.",4000069027,365364
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Professional Services Other,Children Young People and Families Early Years Extended Schools and Special Needs Group,TNS UK LTD,Commercial,"Costs related to research, survey data analysis and/or evaluation activity that will inform policy decision making.",4000069832,300474
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Commercial,Publications and related services,4000070083,866.44
Department for Education,DEPARTMENT FOR EDUCATION,27/01/2012,Professional Services Temporary Staff,People and Change,CAPITA RESOURCING LTD,Commercial,Costs related to temporary workers,4000070421,6815.7
Department for Education,DEPARTMENT FOR EDUCATION,06/01/2012,Professional Services Other,People and Change,CABINET OFFICE,Public Sector,"Costs related to fees and expenses of professional from the private sector, for example implementing advice or changes",4000069012,40000
Department for Education,DEPARTMENT FOR EDUCATION,10/01/2012,Office Solutions,People and Change,CABINET OFFICE,Public Sector,"Costs related to general office expenses, e.g. newspapers, magazines, non-professional body subscriptions ",4000069137,57000
Department for Education,DEPARTMENT FOR EDUCATION,16/01/2012,ICT,People and Change,DWP,Public Sector,Costs related to the provision of IT costs,4000069398,215875.2
Department for Education,DEPARTMENT FOR EDUCATION,31/01/2012,ICT,People and Change,DWP,Public Sector,Costs related to the provision of IT costs,4000070686,72437.16
Department for Education,DEPARTMENT FOR EDUCATION,17/01/2012,Personnel Related,People and Change,EDENRED,Commercial,Costs related to childcare services provided for staff including the management fee and subsidy costs,4000069495,41683
Department for Education,DEPARTMENT FOR EDUCATION,25/01/2012,Personnel Related,People and Change,EDENRED,Commercial,Costs related to childcare services provided for staff including the management fee and subsidy costs,4000070266,55280.96
Department for Education,DEPARTMENT FOR EDUCATION,25/01/2012,Capital Grants,Children Young People and Families Directorate,BIG LOTTERY FUND,VCS,"Capital grant paid to third sector / not for profit organisation.
For the Myplace Capital programme",4000070254,28286819
Department for Education,DEPARTMENT FOR EDUCATION,27/01/2012,Current Grants,Children Young People and Families Directorate,N C V Y S,VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",4000070457,84814
Department for Education,DEPARTMENT FOR EDUCATION,27/01/2012,Current Grants,Children Young People and Families Directorate,ADDACTION,VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",4000070414,134174
Department for Education,DEPARTMENT FOR EDUCATION,30/01/2012,Current Grants,Children Young People and Families Directorate,BOLTON LADS & GIRLS CLUB,VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",4000070533,37805
Department for Education,DEPARTMENT FOR EDUCATION,24/01/2012,Current Grants,Children Young People and Families Directorate,CHILDREN OUR ULTIMATE INVESTMENT UK,VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",4000070148,63422.38
Department for Education,DEPARTMENT FOR EDUCATION,31/01/2012,Current Grants,Children Young People and Families Directorate,GROUNDWORK UK,VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",4000070695,172173.93
Department for Education,DEPARTMENT FOR EDUCATION,27/01/2012,Current Grants,Children Young People and Families Directorate,KIDSCAPE,VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",4000070443,26330
Department for Education,DEPARTMENT FOR EDUCATION,25/01/2012,Current Grants,Children Young People and Families Directorate,NATIONAL ASSOCIATION OF CLUBS FOR YOUNG PEOPLE,VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",4000070273,62259.4
Department for Education,DEPARTMENT FOR EDUCATION,25/01/2012,Current Grants,Children Young People and Families Directorate,QED,VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",4000070278,32832.43
Department for Education,DEPARTMENT FOR EDUCATION,19/01/2012,Current Grants,Children Young People and Families Directorate,ROYAL PHILANTHROPIC SOCIETY RAINER,VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",4000069917,205770.63
