Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/09/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,PARITY RESOURCES LTD,53084,12600.00,Central Functions-Hire of Agency Staff,EC2A 3DR,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2014,Research and Development Expenditure,Enterprise & Skills Group - Vocational Education Directorate,UNIVERSITY OF WARWICK,53224,14088.90,Careers Advice-Research and Development Expenditure,CV4 8UW,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2014,Research and Development Expenditure,Enterprise & Skills Group - Vocational Education Directorate,UNIVERSITY OF WARWICK,53224,23216.10,Careers Advice-Research and Development Expenditure,CV4 8UW,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2014,Mileage Allowance UK,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",53437,148.50,Default-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),53902,2511.63,U.S. - International Scholarships - Fulbright and Others-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),53903,2435.12,U.S. - International Scholarships - Fulbright and Others-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),53904,656.73,U.S. - International Scholarships - Fulbright and Others-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),53905,20.12,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),53907,34.97,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Other Travel,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),53908,11.22,Science and Innovation Network (GPF and Conference)-Other Travel,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Other Travel,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),53909,399.93,Science and Innovation Network (GPF and Conference)-Other Travel,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),53910,198.25,NEWTON FUND - Asiana-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),53911,139.41,NEWTON FUND - Asiana-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),53912,66.54,NEWTON FUND - Asiana-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),53913,1200.89,NEWTON FUND - Asiana-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,Publications,Legal Services - Legal Services,LEXISNEXIS (A DIVISION OF REED ELSEVIER (UK) LTD),53963,-251.10,Legal Services Admin-Publications,SM2 5AS,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,Publications,Legal Services - Legal Services,LEXISNEXIS (A DIVISION OF REED ELSEVIER (UK) LTD),53963,502.20,Legal Services Admin-Publications,SM2 5AS,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,54067,10809.00,F&C Devolved Admin-Other IT Consultancy,EC2A 3DR,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Project Management Costs,Enterprise & Skills Group - Enterprise Directorate,UK SHARED BUSINESS SERVICES LTD,54176,-3.00,NBLMP: Business Coaching For Growth-Project Management Costs,SN2 1FF,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2014,Hire of Agency Staff,Finance & Commercial Group - Finance Group,ALLEN LANE LTD,54331,3540.00,F&C Devolved Admin-Hire of Agency Staff,BN11 2BW,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,PARITY RESOURCES LTD,54445,15085.92,F&C Devolved Admin-Hire of Agency Staff,EC2A 3DR,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,54482,104.98,ShEx Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Hire of Agency Staff,Enterprise & Skills Group - Enterprise Directorate,BROOK STREET (UK) LTD,54482,156.70,E&S Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,54482,511.25,ShEx Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Hire of Agency Staff,Enterprise & Skills Group - Enterprise Directorate,BROOK STREET (UK) LTD,54485,723.73,E&S Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Hire of Agency Staff,Enterprise & Skills Group - Enterprise Directorate,BROOK STREET (UK) LTD,54488,664.76,E&S Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,Recruitment Advice and Services,Enterprise & Skills Group - Enterprise Directorate,CAPITA BUSINESS SERVICES LTD,54509,4609.43,Business Support Integration-Recruitment Advice and Services,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,54720,134.10,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,54720,146.90,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,54736,134.10,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,54736,146.90,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,54878,4316.40,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,54880,4564.39,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2014,Hotel & Accommodation Overseas,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),54948,130.10,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2014,Interpreters,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),54949,94.26,MPST Devolved Admin-Interpreters,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2014,Interpreters,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),54949,1200.00,MPST Devolved Admin-Interpreters,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/09/2014,Clearing Account   - Cost - Software Licences,Finance & Commercial Group - Finance Group,DELOITTE MCS LTD,55149,52800.00,BIS Infrastructure Maintenanc-Clearing Account   - Cost - Software Licences,MK9 1FD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2014,Grant-In-Aid to Arms Length Bodies,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,STUDENT LOANS CO LTD (INVEST TO SAVE),55270,96698.94,SLC Financing-Grant-In-Aid to Arms Length Bodies,G2 7JD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2014,Grant-In-Aid to Arms Length Bodies,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,STUDENT LOANS CO LTD (INVEST TO SAVE),55270,14737585.39,SLC Financing-Grant-In-Aid to Arms Length Bodies,G2 7JD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2014,Hire of Agency Staff,Shareholder Executive - ED SME Finance Policy,CAPITA BUSINESS SERVICES LTD,55276,6269.52,Central Functions-Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2014,Research and Development Expenditure,Government Office for Science -  Government Office for Science,ENID SLACK CONSULTING INC,55299,625.07,Foresight: Cities-Research and Development Expenditure,ON M5R 2Z5,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2014,Research and Development Expenditure,Government Office for Science -  Government Office for Science,ENID SLACK CONSULTING INC,55299,14247.56,Foresight: Computer Trading in Financial Markets-Research and Development Expenditure,ON M5R 2Z5,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,CAPITA BUSINESS SERVICES LTD,55307,5360.28,Central Functions-Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2014,Mileage Allowance UK,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",55417,64.80,Default-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2014,Learning and Dev - CS Skills,Enterprise & Skills Group - Enterprise & Skills,CAPITA BUSINESS SERVICES LTD,55495,662.00,E&S Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2014,Computer Equipment,Shareholder Executive - British Business Bank,XMA LTD,55594,5348.95,Central Functions-Computer Equipment,NG11 7EP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH TELECOMMUNICATIONS plc (BT),55667,18.76,F&C Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH TELECOMMUNICATIONS plc (BT),55677,18.76,F&C Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,Programme and Projects Service,Enterprise & Skills Group - Enterprise Directorate,CAPITA RESOURCING LTD,55823,7884.22,Enterprise Directorate Priority Projects-Programme and Projects Service,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2014,Hire of Agency Staff,Finance & Commercial Group - Finance Group,ALLEN LANE LTD,55972,3540.00,F&C Devolved Admin-Hire of Agency Staff,BN11 2BW,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Clearing Account - Cost - Leasehold Improvements,Finance & Commercial Group - Estates,ROLFE CONTRACTING LTD,56134,99216.82,BIS Infrastructure Maintenanc-Clearing Account - Cost - Leasehold Improvements,AL3 7RG,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Clearing Account - Cost - Leasehold Improvements,Finance & Commercial Group - Estates,ROLFE CONTRACTING LTD,56136,341392.85,BIS Infrastructure Maintenanc-Clearing Account - Cost - Leasehold Improvements,AL3 7RG,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56137,4700.00,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56138,5000.00,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56140,2625.00,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56142,7047.29,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56144,286.96,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56146,140.51,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56148,205.39,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56149,15620.80,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56151,6923.64,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56152,891.38,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56154,101.66,"India, South Africa, Gulf, Hespal and UKCDS-Current Grants To Private Sector - NPISH",MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56155,1861.78,"India, South Africa, Gulf, Hespal and UKCDS-Current Grants To Private Sector - NPISH",MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56156,3845.30,"India, South Africa, Gulf, Hespal and UKCDS-Current Grants To Private Sector - NPISH",MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56157,4000.00,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56158,1176.55,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56159,344.38,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56159,431.42,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56160,13.76,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56160,17.24,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56162,10236.36,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56163,24.05,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56164,23.96,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56165,24.21,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56166,179.33,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/09/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),56168,934.86,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
