Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,
Cabinet Office,Cabinet Office,04/04/12,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000024761,"109,584.00",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,04/04/12,IT Costs,GOVERNMENT DIGITAL SERVICE,CESG,3000024753,"52,450.45",Provision of Identity Assurance Support to GDS.,GL51 0EX,Government Department,Programme,
Cabinet Office,Cabinet Office,04/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000024761,"72,034.34",Facilities management services,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,04/04/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000024752,"56,337.12",Interim IT Specialist Staff ,SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,04/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000024761,"38,630.39",Facilities management services,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,04/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000024761,"172,308.08",Estate consolidation,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,04/04/12,Lord Lieutenants Expenses,POLITICAL AND CONSTITUTIONAL REFORM,GREATER LONDON LIEUTENANCY,3000024765,"51,578.50",Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,SW1E 6QP,non-sme,Programme,
Cabinet Office,Cabinet Office,04/04/12,Lord Lieutenants Expenses,POLITICAL AND CONSTITUTIONAL REFORM,WEST MIDLANDS LIEUTENANCY,3000024791,"36,910.00",Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,B92 0JL,non-sme,Programme,
Cabinet Office,Cabinet Office,04/04/12,Lord Lieutenants Expenses,POLITICAL AND CONSTITUTIONAL REFORM,GREATER MANCHESTER LIEUTENANCY,3000024766,"30,658.50",Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,M15 4AX,non-sme,Programme,
Cabinet Office,Cabinet Office,04/04/12,Lord Lieutenants Expenses,POLITICAL AND CONSTITUTIONAL REFORM,MERSEYSIDE LIEUTENANCY,3000024773,"30,106.25",Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,L69 3EN,non-sme,Programme,
Cabinet Office,Cabinet Office,04/04/12,Land and Buildings,COI TRANSITION COSTS - ADMIN,MAPELEY ACQUISITION CO HERCULES LTD,1000547,"500,000.00",Rent for accomodation,SE1 0TA,large,Admin,
Cabinet Office,Cabinet Office,04/04/12,Lord Lieutenants Expenses,POLITICAL AND CONSTITUTIONAL REFORM,LORD LIEUTENANT OF WEST YORKSHIRE,3000024772,"29,104.25",Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,LS23 6LP,non-sme,Programme,
Cabinet Office,Cabinet Office,04/04/12,Accomodation and Utilities,GOVERNMENT PROPERTY UNIT,MINISTRY OF DEFENCE,3000171,"61,089.00","Final contribution towards adoption of roads at Burtonwood by Warrington Borough Council, following the sale of the property",L2 3YL,Government Department,Programme,
Cabinet Office,Cabinet Office,04/04/12,IT Costs,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000024763,"333,166.00",Flex transformation,WA3 9BD,Large,Admin,
Cabinet Office,Cabinet Office,04/04/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000024752,"79,911.16","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,04/04/12,Consultancy,GOVERNMENT CIO SUMMARY,CESG,3000024753,"50,728.28","Information Assurance Support and Guidance for Public Services Network including development of architecture, security standards and guidance and support in delivery of key enabling services",GL51 0EX,Government Department,Programme,
Cabinet Office,Cabinet Office,04/04/12,Agency and Temporary Staff,ERG STRATEGY AND MANAGEMENT INFORMATION,OPEN KNOWLEDGE FOUNDATION,3000024778,"149,940.00",Technical development of data.gov.uk,CB2 1HL,sme,Admin,
Cabinet Office,Cabinet Office,04/04/12,Supplies and Services,ERG STRATEGY AND MANAGEMENT INFORMATION,CSC COMPUTER SCIENCES LTD,3000024756,"42,000.00",Annual membership subscription to The Leading Edge Forum.,GU11 1PZ,large,Admin,
Cabinet Office,Cabinet Office,04/04/12,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,SOCIAL INVESTMENT BUSINESS,3000024785,"126,945.00",Grant Fund Management costs for the Social Action Fund grants,WC1H 8AG,sme,Programme,
Cabinet Office,Cabinet Office,04/04/12,Supplies and Services, WORKSPACE AND BETTER TOOLS PLAN,FUJITSU SERVICES,3000024763,"506,800.00",Flex transformation project,WA3 9BD,Large,Admin,
Cabinet Office,Cabinet Office,04/04/12,IT Costs, WORKSPACE AND BETTER TOOLS PLAN,FUJITSU SERVICES,3000024763,"42,700.00",ICT Service charge,WA3 9BD,Large,Admin,
Cabinet Office,Cabinet Office,04/04/12,PFI Service Charges,NATIONAL SCHOOL OF GOVERNMENT,VERE VENUES,3000024789,"280,278.89",Private Finance Initiative contract payments,WD6 3FG,large,Admin,
Cabinet Office,Cabinet Office,05/04/12,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,ECOVERT FM LTD,3000024837,"65,964.95",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,05/04/12,Other Staff Related Costs,INTELLIGENCE AND SECURITY COMMITTEE,ECOVERT FM LTD,3000024837,"60,511.33",Accomodation works to 35 Great Smith Street,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,05/04/12,Termination benefits,ESTATE MANAGEMENT,AIRSCAPE LTD,2000232,"290,845.50",Business rates for accomodation,IRELAND,large,Admin,
Cabinet Office,Cabinet Office,05/04/12,Consultancy,ESTATE MANAGEMENT,ECOVERT FM LTD,3000024837,"759,789.60",Facilities management services,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,05/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000024837,"271,105.16",Facilities management services,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,05/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000024837,"103,753.58",Facilities management services,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,05/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000024837,"74,911.55",Facilities management services,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,05/04/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000024830," 34,884.23 ",Interim IT Specialist Staff ,SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,05/04/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000024829,"80,013.86","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,05/04/12,Consultancy,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,3000024824,"98,642.00",Payment for the delivery of the Community Assets Fund,EC4A 1DE,Non-SME,Programme,
Cabinet Office,Government Procurement Service,05/04/12,Moves & Changes,Network Services,Global Crossing,PINMTS 21476,"40,612.68",Government managed telecoms contract,RG24 8NA,Large,Programme - Cost of Sales,
Cabinet Office,Cabinet Office,10/04/12,Consultancy,INTELLIGENCE SECURITY AND RESILIENCE,IPSOS MORI LTD,3000024915,"25,010.00",Conduct public evaluation of the Floodline Warnings direct pilot and UK survey of emergency prepareness,SE1 1FY,large,Programme,
Cabinet Office,Cabinet Office,10/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000024900,"58,457.47",Facilities management services,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,10/04/12,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,CEDAR GROUP,3000024893,"36,874.00",Collation and typesetting for copying into volumes the representations received in relation to the review of Parliamentary constituency boundaries by the Boundary Commission for England,EC2A 2DX,sme,Programme,
Cabinet Office,Cabinet Office,10/04/12,IT Costs,IT AND TELECOMS BRANCH,HM TREASURY,3000024912,"2,104,054.64",Flex Service costs,SW1A 2HQ,Government Department,Admin,
Cabinet Office,Cabinet Office,10/04/12,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000024906,"791,061.23",Flex Service costs,WA3 9BD,Large,Admin,
Cabinet Office,Cabinet Office,10/04/12,Agency and Temporary Staff,ERG STRATEGY AND MANAGEMENT INFORMATION,OPEN KNOWLEDGE FOUNDATION,3000024930,"31,680.00",Technical development of data.gov.uk,CB2 1HL,sme,Admin,
Cabinet Office,Cabinet Office,10/04/12,Accomodation and Utilities,NATIONAL SCHOOL OF GOVERNMENT,NOTTINGHAM TRENT UNIVERSITY,3000024929,"57,895.00",Student fees for continuation of MSc HRM&D qualification,NG1 4BY,non-sme,Admin,
Cabinet Office,Government Procurement Service,10/04/12,SAP Rental,Network Services,Global Crossing,PINMTS 21479,"137,644.75",Government managed telecoms contract,RG24 8NA,Large,Programme - Cost of Sales,
Cabinet Office,Cabinet Office,11/04/12,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES.,3000024996,"110,887.59",High Integrity Telecomms System project costs,NW9 6LB,Large,Programme,
Cabinet Office,Cabinet Office,11/04/12,Resource Grants to NDPB's,INTELLIGENCE SECURITY AND RESILIENCE,CHESHIRE LOCAL RESILIENCE FORUM,3000025001,"30,000.00",Provision of Identity Assurance Support to GDS.,CW7 2UA,non-sme,Grants,
Cabinet Office,Cabinet Office,11/04/12,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,MARTIN DAWES SOLUTIONS LTD,3000025035,"30,000.00",Specialist audio visual equipment,WA5 7WH,sme,Admin,
Cabinet Office,Cabinet Office,11/04/12,Other Staff Related Costs,INTELLIGENCE SECURITY AND RESILIENCE,SERCO CONSULTING,3000025052,"101,423.78",Delivery of emergency planning exercises,RG27 7FR,large,Programme,
Cabinet Office,Cabinet Office,11/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000025065," 44,012.66 ",Business rates for accomodation,WA55 1GG,non-sme,Admin,
Cabinet Office,Cabinet Office,11/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000025065,"358,500.00",Business rates for accomodation,WA55 1GG,non-sme,Admin,
Cabinet Office,Cabinet Office,11/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000025065,"1,525,461.31",Business rates for accomodation,WA55 1GG,non-sme,Admin,
Cabinet Office,Cabinet Office,11/04/12,IT Costs,GOVERNMENT DIGITAL SERVICE,CIMEX MEDIA LTD,3000025002,"37,343.86",Support and maintenance of the Directgov Mobile site,EC2A 4PJ,SME,Programme,
Cabinet Office,Cabinet Office,11/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000025065,"607,060.00",Business rates for accomodation,WA55 1GG,non-sme,Admin,
Cabinet Office,Cabinet Office,11/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000025065,"423,030.00",Business rates for accomodation,WA55 1GG,non-sme,Admin,
Cabinet Office,Cabinet Office,11/04/12,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,COI CENTRAL OFFICE OF INFORMATION,3000025003,"102,463.71",The placement of advertisements in the media in relation to the statutory secondary consultation for the review of Parliamentary constituency boundaries by the Boundary Commission for England,SE1 7DU,Government Department,Programme,
Cabinet Office,Cabinet Office,11/04/12,Accomodation and Utilities,IT AND TELECOMS BRANCH,GOVERNMENT PROCUREMENT SERVICE,3000025017,"28,647.07",Telephony charges ,L3 1PE,Government Department,Admin,
Cabinet Office,Cabinet Office,11/04/12,Supplies and Services,ERG STRATEGY AND MANAGEMENT INFORMATION,OXFORD SAID BUSINESS SCHOOL LTD,3000025044,"105,176.67",Payment for development of Phase 1 residential module of the Government’s Major Projects Leadership Academy’,OX1 5NY,sme,Admin,
Cabinet Office,Cabinet Office,11/04/12,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,ORC INTERNATIONAL LIMITED,3000025042,"31,165.75",Cost of running the Civil Service Staff Survey.,N1 9AH,sme,Admin,
Cabinet Office,Cabinet Office,11/04/12,Supplies and Services,SCHEME MANAGEMENT EXECUTIVE,TREASURY SOLICITOR TSOL,3000025063,"133,148.71",Annual Legal Fees pension provision,WC2B 4TS,Government Department,Admin,
Cabinet Office,Cabinet Office,12/04/12,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,CYBER SECURITY CHALLENGE UK LTD,3000025094,"45,000.00",Get Safe Online Campaign,HP9 2YX,sme,Programme,
Cabinet Office,Cabinet Office,12/04/12,IT Costs, WORKSPACE AND BETTER TOOLS PLAN,HM TREASURY,3000025108,"131,873.16",Installation of physical security measure,SW1A 2HQ,Government Department,Admin,
Cabinet Office,Cabinet Office,13/04/12,Accomodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000025159,"59,510.29",Facilities management services.,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,13/04/12,Accomodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000025159,"35,774.72",Facilities management services.,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,13/04/12,Supplies and Services,PARLIAMENTARY COUNSEL OFFICE,LEXIS NEXIS BUTTERWORTHS,3000025168,"25,799.85",Purchase of legal publications ,CR9 5AF,large,Admin,
Cabinet Office,Cabinet Office,13/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,MITIE MANAGED SERVICES LTD,3000025173,"94,073.25",Lifecycle Costs for accomodation,PR7 6TE,Large,Admin,
Cabinet Office,Cabinet Office,13/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,MITIE MANAGED SERVICES LTD,3000025173,"48,911.10",Facilities management services,PR7 6TE,Large,Admin,
Cabinet Office,Cabinet Office,13/04/12,Other Staff Related Costs,CENTRAL BUDGETS,DWP,3000025158,"63,666.00",Procurement system Fixed Subscription Fee,FY5 3TA,Government Department,Admin,
Cabinet Office,Cabinet Office,13/04/12,Agency and Temporary Staff,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000025162,"205,783.20",Interim IT Specialist Staff ,WA3 9BD,Large,Admin,
Cabinet Office,Cabinet Office,13/04/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000025155,"63,787.24","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP ,Large,Programme,
Cabinet Office,Cabinet Office,13/04/12,IT Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,SERCO LTD,3000025178,"40,548.00",Work relating to Contract Finder via HMRC contract for services.  ,RG27 7FR,large,Admin,
Cabinet Office,Cabinet Office,16/04/12,Grant-in-Aid to Civil Service Welfare Bodies,GOVERNMENT HR AND CAPABILITY,CIVIL SERVICE SPORTS COUNCIL,1000551,"912,000.00",Grant to the Civil Service Sports Council,SW1P 3AS,non-sme,Programme,
Cabinet Office,Cabinet Office,16/04/12,Grant-in-Aid to Civil Service Welfare Bodies,GOVERNMENT HR AND CAPABILITY,CIVIL SERVICE RETIREMENT FELLOWSHIP,1000550,"158,703.00",Grant to the Civil Service Retirement ,SE10 8DA,non-sme,Programme,
Cabinet Office,Cabinet Office,16/04/12,IT Costs,NATIONAL SCHOOL OF GOVERNMENT,RICOH UK LTD,3000025253,"28,417.35",Photocopying charges,CR5 2HR,Large,Admin,
Cabinet Office,Cabinet Office,17/04/12,Consultancy,CIVIL SERVICE PENSIONS,PRICEWATERHOUSE COOPERS,3000025303,"236,512.97",Professional services,E14 9SQ,Large,Admin,
Cabinet Office,Cabinet Office,17/04/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,AON HEWITT,3000025265,"75,392.17",Professional services,KT18 5BS,large,Admin,
Cabinet Office,Cabinet Office,18/04/12,Consultancy,GOVERNMENT PROPERTY UNIT,SLAUGHTER & MAY,3000025370,"65,230.25",Initial assessment of Admiralty Arch bidders and drafting agreement for lease,EC1Y 8YY,large,Programme,
Cabinet Office,Cabinet Office,18/04/12,IT Costs, WORKSPACE AND BETTER TOOLS PLAN,FUJITSU SERVICES,3000025341,"49,060.00",ICT Service charge,WA3 9BD,Large,Admin,
Cabinet Office,Cabinet Office,18/04/12,PFI Service Charges,NATIONAL SCHOOL OF GOVERNMENT,DE VERE VENUES,3000025335,"1,043,738.95",Private Finance Initiative contract payments,KT24 6DU,Large,Admin,
Cabinet Office,Cabinet Office,18/04/12,IT Costs,NATIONAL SCHOOL OF GOVERNMENT,RICOH UK LTD,3000025368,"86,624.86",Photocopying charges,CR5 2HR,Large,Admin,
Cabinet Office,Government Procurement Service,18/04/12,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 33851,"127,122.17",Legal services fee,WC2B 4TS,Large,Admin - Legal Services Fees,
Cabinet Office,Government Procurement Service,18/04/12,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINDOH 34113,"62,983.99",Whitehall heating systems management,HP12 3TA,Large,Programme - Cost of Sales,
Cabinet Office,Government Procurement Service,18/04/12,WSDS Maintenance & Repairs,Whitehall Standby Distribution Systems,Cofely,PINDOH 34114,"39,298.75",Whitehall heating systems management,HP12 3TA,Large,Programme - Cost of Sales,
Cabinet Office,Cabinet Office,19/04/12,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000025420,"40,109.59",Reprographic services,CR5 2HR,Large,Admin,
Cabinet Office,Cabinet Office,19/04/12,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,LONDON BOROUGH OF TOWER HAMLETS,3000025413,"70,924.56",Local Authority costs for Data matching pilots allowing Electoral Registers Officers to compare their registers against other public databases to identify people missing from the register or entries that are inaccurate or fraudulent.,E14 2BG,non-sme,Programme,
Cabinet Office,Cabinet Office,19/04/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000025422,"92,734.22",Fees and Disbursements,WC2B 4TS,Government Department,Admin,
Cabinet Office,Cabinet Office,19/04/12,IT Costs,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000025408,"57,363.36",ICT Service charge,WA3 9BD,Large,Admin,
Cabinet Office,Cabinet Office,19/04/12,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000025425,"39,312.00",Provision of telecommunications services.,RG2 6DA,Large,Admin,
Cabinet Office,Cabinet Office,19/04/12,IT Costs,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000025408,"113,642.00",Flex transformation,WA3 9BD,Large,Admin,
Cabinet Office,Cabinet Office,19/04/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000025401,"37,014.30","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,19/04/12,Grant-in-Aid to Civil Service Welfare Bodies,GOVERNMENT HR AND CAPABILITY,CIVIL SERVICE BENEVOLENT FUND,1000554,"305,000.00",Grant to the Civil Service Benevolent Fund,SM3 8DY,non-sme,Programme,
Cabinet Office,Cabinet Office,20/04/12,Supplies and Services,HONOURS AND APPOINTMENTS,SPINK & SON LTD,1000557,"38,340.00",Cost of replacement insignia,WC1B 4ET,sme,Programme,
Cabinet Office,Cabinet Office,20/04/12,Supplies and Services, WORKSPACE AND BETTER TOOLS PLAN,ECOVERT FM LTD,3000025450,"100,000.00",Disconnection of the link bridge between Admirality Arch and 22/26 Whitehall,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,20/04/12,Investments,OFFICE FOR CIVIL SOCIETY,BRIDGES VENTURES LTD,3000025443,"35,072.94",Investment in the risk capital fund for social enterprise,W2 3EN,non-sme,Programme,
Cabinet Office,Cabinet Office,20/04/12,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,SOCIAL INVESTMENT BUSINESS,3000025470,"34,730.40",Grant Fund Management costs for the Social Action Fund grants,WC1H 8AG,sme,Programme,
Cabinet Office,Cabinet Office,23/04/12,Accomodation and Utilities,IT AND TELECOMS BRANCH,HM TREASURY,3000025490,"160,585.20",ICT Service charge,SW1A 2HQ,Government Department,Admin,
Cabinet Office,Cabinet Office,23/04/12,Resource Grants to NDPB's,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY INFRASTRUCTURE FUND,3000025483,"7,338,970.00",Funding to local infrastructure organisations,EC4A 1DE,non-sme,Grants,
Cabinet Office,Cabinet Office,24/04/12,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,RTS COMMUNICATIONS,3000025522,"57,104.55",Intergrated media feed,SW8 1RY,sme,Admin,
Cabinet Office,Cabinet Office,24/04/12,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000025514,"102,238.25",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,24/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000025514,"1,170,927.20",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,24/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000025514,"54,764.76",Facilities management services,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,24/04/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000025511,"47,058.58","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,26/04/12,IT Costs,PRIME MINISTERS OFFICE,ALTODIGITAL NETWORKS LTD,3000025570,"26,611.49",Multi function device contract costs,DY6 7FZ,large,Admin,
Cabinet Office,Cabinet Office,26/04/12,Supplies and Services,POLICY COMMUNICATIONS,WEBER SHANDWICK,3000025593,"166,426.55",GREAT Campaign,WC1X 8WS,large,Admin,
Cabinet Office,Cabinet Office,26/04/12,Supplies and Services,POLICY COMMUNICATIONS,MOTHER ADVERTISING LTD,3000025586,"135,497.03",GREAT Campaign,E2 7DD,large,Admin,
Cabinet Office,Cabinet Office,26/04/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SOCIAL INVESTMENT BUSINESS,3000025592,"658,983.00",Social Action Fund grants,WC1H 8AG,sme,Grants,
Cabinet Office,Government Procurement Service,26/04/12,GSI COS,Network Services,CESG,PINDOH 34125,"46,833.00",Security costs for government secure intranet,GL51 0EX,Gov Dept,Programme - Cost of Sales,
Cabinet Office,Cabinet Office,27/04/12,Other Staff Related Costs,INTELLIGENCE SECURITY AND RESILIENCE,SERCO CONSULTING,3000025632,"126,390.09",Delivery of emergency planning exercises in support of the Olympics,RG27 7FR,large,Admin,
Cabinet Office,Cabinet Office,27/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000025639,"1,629,980.00",Business rates for accomodation,WA55 1GG,non-sme,Admin,
Cabinet Office,Cabinet Office,27/04/12,Accomodation and Utilities,ESTATE MANAGEMENT,BROADLAND DISTRICT COUNCIL,3000025653,"387,010.00",Business rates for accomodation,NR7 0DU,non-sme,Admin,
Cabinet Office,Cabinet Office,27/04/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000025609,"25,917.82","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP -- SW1P 2AF --SE10 8FQ,Large,Programme,
Cabinet Office,Cabinet Office,27/04/12,Other Staff Related Costs,INTELLIGENCE SECURITY AND RESILIENCE,SERCO CONSULTING,3000025632,"46,007.16",Delivery of emergency planning exercises in support of the Olympics,RG27 7FR,large,Programme,
Cabinet Office,Cabinet Office,27/04/12,Supplies and Services,OFFICE FOR CIVIL SOCIETY,23RED,3000025608,"35,000.00",Provision for web and creative services for National Citizens Service,N1 9BG,sme,Programme,
Cabinet Office,Cabinet Office,30/04/12,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000025660,"56,078.40",70 Whitehall - Connection of the two boreholes,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,30/04/12,IT Costs,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000025697,"34,083.71",IT/telecommunication changes,WA3 9BD,Large,Admin,
