Departmental Family,Entity,Date,Expence Type,Expense Area,Suplier,Transaction Number, Amount ,PO Line Description,Post Code,Project Code,Expenditure Type,Supplier Type,Contract Number
,,01/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,5 BOROUGH PARTNERSHIP NHS FOUNDATION TRUST,HAFS-20533," £6,000,000.00 ",,WA2 8WA,,,PUBLIC,
,,01/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,PENNINE CARE NHS FOUNDATION TRUST,HAFS-20535," £53,000.00 ",,OL6 7SR,,,PUBLIC,
,,01/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,THE CHRISTIE NHS FOUNDATION TRUST,HAFS-20536," £22,036,000.00 ",,M20 4BX,,,PUBLIC,
,,01/02/2016,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,HAFS-20537," £540,000.00 ",,WR5 1DD,,,PUBLIC,
,,02/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,SURREY & SUSSEX HEALTHCARE NHS TRUST,11950632," £3,000,000.00 ",Support to Surrey & Sussex Healthcare NHS Trust for the Provision of Health Services,WF3 1WE,,,PUBLIC,
,,02/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,EAST CHESHIRE NHS TRUST,17486864," £200,000.00 ",Support to East Cheshire NHS Trust for the Provision of Health Services,SK10 3BL,,,PUBLIC,
,,02/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,THE WIRRAL COMMUNITY NHS TRUST RY7,18349059," £334,000.00 ",Support to The Wirral Community NHS Trust for the Provision of Health Services,WF3 1WE,,,PUBLIC,
,,02/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,BARTS HEALTH NHS TRUST RNJ,247159," £15,000,000.00 ",Support to Barts Health NHS Trust for the Provision of Health Services,E1 8PR,,,PUBLIC,
,,02/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,LEWISHAM AND GREENWICH NHS TRUST,8463976," £5,000,000.00 ",Support to Lewisham & Greenwich NHS Trust for the Provision of Health Services,SE13 6LH,,,PUBLIC,
,,02/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,PLYMOUTH HOSPITALS NHS TRUST,880404," £6,000,000.00 ",Support to Plymouth Hospitals NHS Trust for the Provision of Health Services,WF3 1WE,,,PUBLIC,
,,02/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,D062147," £600,000.00 ",Support to Dorset County Hospital NHS Foundation Trust for the Provision of Health Services,DT1 2JY,,,PUBLIC,
,,03/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,0000032371," £450,000.00 ",Support to Birmingham and Solihull Mental Health NHS Foundation Trust for the Provision of Health Services,B1 3RB,,,PUBLIC,
,,03/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,NORTHERN DEVON HEALTHCARE NHS TRUST,0000720743," £2,300,000.00 ",Support to Northern Devon Healthcare NHS Trust for the Provision of Health Services,EX31 4JB,,,PUBLIC,
,,03/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,MID YORKSHIRE HOSPITALS NHS TRUST,10047816," £3,000,000.00 ",Support to Mid Yorkshire Hospitals NHS Trust for the Provision of Health Services,WF1 4TU,,,PUBLIC,
,,03/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,101981," £3,000,000.00 ",Support to The Princess Alexandra Hospital NHS Trust for the Provision of Health Services,CM20 1QX,,,PUBLIC,
,,03/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,17423264," £800,000.00 ",Support to Peterborough and Stamford Hospitals NHS Foundation Trust for the Provision of Health Services,PE3 6NH,,,PUBLIC,
,,03/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,THE QUEEN ELIZABETH HOSPITAL KINGS LYNN NHS FOUNDATION TRUST,182097," £1,000,000.00 ",Support to Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust for the Provision of Health Services,PE30 4ET,,,PUBLIC,
,,03/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,GATESHEAD HEALTH NHS FOUNDATION TRUST,310557," £200,000.00 ",Support to Gateshead Health NHS Foundation Trust for the Provision of Health Services,NE8 4YL,,,PUBLIC,
,,03/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,4040456," £2,500,000.00 ",Support to South Devon Healthcare NHS Foundation Trust for the Provision of Health Services,TQ2 7AN,,,PUBLIC,
,,03/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6377511," £4,600,000.00 ",Support to St George's Healthcare NHS Foundation Trust for the Provision of Health Services,SW17 0QT,,,PUBLIC,
,,03/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,I0013941," £295,000.00 ",Support to Norfolk And Suffolk MH NHS  Foundation Trust for the Provision of Health Services,BB3 0FG,,,PUBLIC,
,,03/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST,M0015345," £500,000.00 ",Support to Calderstones NHS Foundation Trust for the Provision of Health Services,BB6 9PE,,,PUBLIC,
,,03/02/2016,DH Support to Mergers,DG: Central Technical,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0080082," £133,333.00 ",Advisory Costs,GU16 5UJ,,,PUBLIC,
,,03/02/2016,DH Support to Mergers,DG: Central Technical,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0080082," £1,520,000.00 ",Implementation of Heatherwood Operational Efficiency - Frimley,GU16 5UJ,,,PUBLIC,
,,03/02/2016,DH Support to Mergers,DG: Central Technical,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0080082," £164,167.00 ",PMO Costs,GU16 5UJ,,,PUBLIC,
,,04/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,0000045941," £350,000.00 ",Support to North Staffordshire Combined Healthcare NHS Trust for the Provision of Health Services,ST2 8LD,,,PUBLIC,
,,04/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,10333301," £1,000,000.00 ",Support to Royal United Hospital Bath NHS Foundation Trust for the Provision of Health Services,BA1 3NJ,,,PUBLIC,
,,04/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,15356428," £2,500,000.00 ",Support to Warrington and Halton Hospitals NHS Foundation Trust for the Provision of Health Services,WA7 2DA,,,PUBLIC,
,,04/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,ST HELENS & KNOWSLEY TEACHING HOSPITALS NHS TRUST,16759027," £100,000.00 ",Support to St Helens and Knowsley Hospitals NHS Trust for the Provision of Health Services,L35 5DR,,,PUBLIC,
,,04/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,EPSOM & ST HELIER UNIVERSITY HOSPITAL NHS TRUST,19724801," £1,600,000.00 ",Support to Epsom and St Helier University Hospitals NHS Trust for the Provision of Health Services,SM5 1AA,,,PUBLIC,
,,04/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,GUYS AND ST THOMAS NHS FOUNDATION TRUST,3184597," £8,000,000.00 ",Support to Guy's & St Thomas' Hospital NHS Foundation Trust for the Provision of Health Services,SE1 9RT,,,PUBLIC,
,,04/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,THE ROYAL MARSDEN NHS FOUNDATION TRUST,45724875," £3,400,000.00 ",Support to The Royal Marsden NHS Foundation Trust for the Provision of Health Services,SW3 6JJ,,,PUBLIC,
,,04/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,5910015957," £500,000.00 ",Support to Taunton And Somerset NHS Foundation Trust for the Provision of Health Services,TA1 5DA,,,PUBLIC,
,,04/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,861636," £700,000.00 ",Support to East Kent Hospitals NHS Foundation Trust for the Provision of Health Services,CT1 3NG,,,PUBLIC,
,,04/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,9010005059," £800,000.00 ",Support to The Clatterbridge Cancer Centre NHS Foundation Trust for the Provision of Health Service,CH63 4JY,,,PUBLIC,
,,04/02/2016,DH Support to Mergers,DG: Central Technical,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0080088," £133,333.00 ",Advisory Costs,GU16 5UJ,,,PUBLIC,
,,04/02/2016,DH Support to Mergers,DG: Central Technical,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0080088," £1,520,000.00 ",Implementation of Heatherwood Operational Efficiency - Frimley,GU16 5UJ,,,PUBLIC,
,,04/02/2016,DH Support to Mergers,DG: Central Technical,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0080088," £164,167.00 ",PMO Costs,GU16 5UJ,,,PUBLIC,
,,05/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0000077921," £2,800,000.00 ",Support to Basildon & Thurrock University Hospitals NHS Foundation Trust for the Provision of Health Services,SS16 5NL,,,PUBLIC,
,,05/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,BOLTON NHS FOUNDATION TRUST,0001032255," £4,100,000.00 ",Support to Bolton NHS  Foundation Trust for the Provision of Health Services,BL4 0JR,,,PUBLIC,
,,08/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-20538," £157,000.00 ",,M13 0JR,,,PUBLIC,
,,08/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-20539," £630,000.00 ",,SE1 9RT,,,PUBLIC,
,,08/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-20540," £606,000.00 ",,E9 6SR,,,PUBLIC,
,,08/02/2016,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,LEWISHAM AND GREENWICH NHS TRUST,HAFS-20541," £92,000.00 ",,SE13 6LH,,,PUBLIC,
,,08/02/2016,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,MERSEY CARE NHS TRUST,HAFS-20542," £1,800,000.00 ",,L31 1HW,,,PUBLIC,
,,09/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,DERBY HOSPITALS NHS FOUNDATION TRUST,342112," £3,700,000.00 ",Support to Derby Hospitals NHS Foundation Trust for the Provision of Health Services,DE22 3NE,,,PUBLIC,
,,09/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,5010081279," £25,300,000.00 ",Support to University College London Hospitals NHS Foundation Trust for the Provision of Health Services,W1T 7NF,,,PUBLIC,
,,10/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,4530048," £2,400,000.00 ",Support to Chesterfield Royal Hospital NHS Foundation Trust for the Provision of Health Services,S44 5BL,,,PUBLIC,
,,10/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,THE IPSWICH HOSPITAL NHS TRUST,IHT4000012614," £750,000.00 ",Support to Ipswich Hospital NHS Trust for the Provision of Health Services,IP4 5PD,,,PUBLIC,
,,10/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,IS0016564," £6,900,000.00 ",Support to Moorfields Eye Hospital NHS Foundation Trust for the Provision of Health Services,EC1V 2PD,,,PUBLIC,
,,11/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,KENT & MEDWAY NHS & SOCIAL CARE PARTNERSHIP TRUST,13597460.," £2,825,000.00 ",Support to Kent and Medway NHS and Social Care Partnership NHS Trust for the Provision of Health Services,WF3 1WE,,,PUBLIC,
,,11/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",9810008559," £700,000.00 ","Support to Northumberland, Tyne And Wear NHS Foundation Trust for the Provision of Health Services",NE3 3XT,,,PUBLIC,
,,12/02/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-20594," £6,186,000.00 ",,SW1E 6QT,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,HAFS-20543," £445,000.00 ",,S75 2PY,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-20544," £6,494,000.00 ",,SS16 5NL,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,BEDFORD HOSPITAL NHS TRUST,HAFS-20545," £1,227,000.00 ",,MK42 9DJ,,,PUBLIC,
,,15/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,BOLTON NHS FOUNDATION TRUST,HAFS-20546," £434,000.00 ",,BL4 0JR,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,BURTON HOSPITALS NHS FOUNDATION TRUST,HAFS-20547," £1,391,000.00 ",,DE13 0RB,,,PUBLIC,
,,15/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-20548," £121,000.00 ",,M13 0JR,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,HAFS-20549," £17,812,000.00 ",,CO4 5JL,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,DERBY HOSPITALS NHS FOUNDATION TRUST,HAFS-20550," £2,404,000.00 ",,DE1 2QY,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,HAFS-20551," £10,639,000.00 ",,DN2 5LT,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Capital Investment Loans,DG: Central Technical,GEORGE ELIOT HOSPITAL NHS TRUST,HAFS-20552," £1,000,000.00 ",,CV10 7DJ,,,PUBLIC,
,,15/02/2016,Additions FT Financing Facility Loans,DG: Central Technical,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-20553," £5,000,000.00 ",,SE1 9RT,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,HINCHINGBROOKE HEALTH CARE NHS TRUST,HAFS-20554," £807,000.00 ",,PE29 6NT,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,HAFS-20555," £15,677,000.00 ",,HU16 5JQ,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,HAFS-20556," £481,000.00 ",,NN16 8UZ,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,HAFS-20557," £84,344,000.00 ",,SE5 9RS,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,HAFS-20558," £9,098,000.00 ",,PR7 1GZ,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,LEWISHAM AND GREENWICH NHS TRUST,HAFS-20559," £35,500,000.00 ",,SE13 6LH,,,PUBLIC,
,,15/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,LIVERPOOL WOMENS HOSPITAL NHS FOUNDATION TRUST,HAFS-20560," £244,000.00 ",,L8 7SS,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-20561," £1,685,000.00 ",,LU4 0D,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,HAFS-20562," £4,000,000.00 ",,ME16 9QQ,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,MEDWAY NHS FOUNDATION TRUST,HAFS-20563," £9,384,000.00 ",,ME7 5NY,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-20564," £2,809,000.00 ",,MK6 5LD,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,HAFS-20565," £10,346,000.00 ",,CA2 7HX,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,HAFS-20566," £18,200,000.00 ",,NN1 5BD,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,HAFS-20567," £2,176,000.00 ",,DN15 7BH,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",HAFS-20568," £2,200,000.00 ",,,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,HAFS-20569," £1,886,000.00 ",,NG5 1PT,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-20570," £1,400,000.00 ",,PE3 6DA,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-20571," £4,100,000.00 ",,PE3 6DA,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,HAFS-20572," £4,500,000.00 ",,HA7 4LP,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,HAFS-20573," £3,200,000.00 ",,GU2 7XX,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,HAFS-20574," £12,700,000.00 ",,TF6 6TF,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-20575," £36,396,000.00 ",,SW17 0QT,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,THE QUEEN ELIZABETH HOSPITAL KINGS LYNN NHS FOUNDATION TRUST,HAFS-20576," £4,675,000.00 ",,PE30 4ET,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,HAFS-20577," £2,035,000.00 ",,TQ2 7AN,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,HAFS-20578," £167,000.00 ",,TQ2 7AN,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,HAFS-20579," £340,000.00 ",,TQ2 7AN,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,HAFS-20580," £170,000.00 ",,TQ2 7AN,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,HAFS-20581," £2,800,000.00 ",,WA7 2DA,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,HAFS-20582," £465,000.00 ",,WA7 2DA,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,WESTON AREA HEALTH NHS TRUST,HAFS-20583," £2,750,000.00 ",,BS23 4TQ,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,BARTS HEALTH NHS TRUST,HAFS-20584," £2,900,000.00 ",,E1 8PR,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Capital Investment Loans,DG: Central Technical,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HAFS-20585," £1,400,000.00 ",,HP7 0JD,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,CROYDON HEALTH SERVICES NHS TRUST,HAFS-20586," £26,400,000.00 ",,CR7 7YE,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,DARTFORD & GRAVESHAM NHS TRUST,HAFS-20587," £3,000,000.00 ",,DA2 8DA,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Capital Investment Loans,DG: Central Technical,DARTFORD & GRAVESHAM NHS TRUST,HAFS-20588," £1,937,000.00 ",,DA2 8DA,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,ISLE OF WIGHT NHS TRUST,HAFS-20589," £1,735,000.00 ",,PO30 5TG,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,LONDON NORTH WEST HEALTHCARE NHS TRUST,HAFS-20590," £76,900,000.00 ",,M20 4BX,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,HAFS-20591," £23,737,000.00 ",,CM20 1QX,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,HAFS-20592," £1,400,000.00 ",,SY10 7AG,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,WALSALL HEALTHCARE NATIONAL HEALTH SERVICE TRUST,HAFS-20593," £583,000.00 ",,WS2 9PS,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,HAFS-20595," £1,855,000.00 ",,S75 2PY,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,HAFS-20596," £5,000,000.00 ",,BN2 3EW,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HAFS-20597," £1,000,000.00 ",,HP7 0JD,,,PUBLIC,
