Feb 2011 Over œ25k Payments Summary,,,,,,,
,,,,,,,
,,,,,,,
Department family,Entity,Accounting Date,Level 2 Category,Manager Code Description,Vendor Name,Check Number,Amount
DEFRA,The Environment Agency,15-Feb-11,Vehicle Maintenance,Head Office - Fleet Ops,Hitachi Capital Commercial Vehicle Services,2249461,"238,221.55"
DEFRA,The Environment Agency,15-Feb-11,Electricity,Various Sites,EDF Energy Ltd,2249405,"237,110.97"
DEFRA,The Environment Agency,03-Feb-11,"Marine, Coastal & Inland Waterways Services","Various - Contruction, Ops Delivery, Environment & Business",Entec UK Ltd,2248312,"225,552.34"
DEFRA,The Environment Agency,03-Feb-11,Main Contractors,Southern - Construction Work in Progress,Pevensey Coastal Defence Ltd,2248435,"224,072.44"
DEFRA,The Environment Agency,24-Feb-11,Environmental Services,HO Flood Warning Systems,CEFAS,2250398,"221,969.40"
DEFRA,The Environment Agency,22-Feb-11,Main Contractors,Midlands - Construction Work in Progress,Jackson Civil Engineering Ltd,2250181,"218,976.41"
DEFRA,The Environment Agency,01-Feb-11,Rail,Rail Travel,Redfern Travel Ltd,2248121,"211,022.91"
DEFRA,The Environment Agency,15-Feb-11,"Marine, Coastal & Inland Waterways Services",Contruction Work in Progress ,Jeremy Benn Associates Ltd,2249485,"210,071.56"
DEFRA,The Environment Agency,17-Feb-11,Environmental Services,Incident Management Manager,Salford City Council,2249945,"205,000.00"
DEFRA,The Environment Agency,15-Feb-11,Staff Childcare,Recharge to Staff,Edenred Childcare Vouchers Ltd,2249404,"203,612.32"
DEFRA,The Environment Agency,03-Feb-11,Office Furniture,National Facilities Manager,Interface FLOR,2248354,"194,364.66"
DEFRA,The Environment Agency,22-Feb-11,Specialist Contractors,Corporate Information Systems,Rullion Computer Personnel Ltd,2250270,"194,178.08"
DEFRA,The Environment Agency,01-Feb-11,Main Contractors,Contruction Work in Progress ,Morrison Construction Ltd,2248080,"193,740.33"
DEFRA,The Environment Agency,24-Feb-11,Environmental Services,Anglian - Construction Work in Progress,Broadland Environmental Services Ltd,2250383,"186,172.13"
DEFRA,The Environment Agency,24-Feb-11,Electricity,Central & South West,Jones Lang Le Salle,2250509,"183,046.54"
DEFRA,The Environment Agency,24-Feb-11,Main Contractors,Contruction Work in Progress ,Team Van Oord,2250620,"182,450.30"
DEFRA,The Environment Agency,15-Feb-11,Main Contractors,Thames - Construction Work in Progress,Birse Civils Ltd,2249324,"182,314.89"
DEFRA,The Environment Agency,01-Feb-11,Main Contractors,Midlands - Construction Work in Progress,G F Tomlinson Civil Engineering Ltd,2248001,"182,304.18"
DEFRA,The Environment Agency,10-Feb-11,Construction Service Providers,Southern - Construction Work in Progress,Hampshire & Isle Of Wight Wildlife Trust,2249031,"180,000.00"
DEFRA,The Environment Agency,22-Feb-11,Main Contractors,Contruction Work in Progress ,Birse Civils Ltd,2250054,"169,038.85"
DEFRA,The Environment Agency,03-Feb-11,Main Contractors,Midlands - Construction Work in Progress,Birse Civils Ltd,2248239,"166,130.01"
DEFRA,The Environment Agency,10-Feb-11,Vehicle Maintenance,Head Office - Fleet Ops,Briggs Marine Contractors Ltd,2248921,"164,907.92"
DEFRA,The Environment Agency,10-Feb-11,Main Contractors,Southern - Capital WiP,Interserve Project Services Ltd,2249060,"156,765.41"
DEFRA,The Environment Agency,17-Feb-11,Main Contractors,Southern - Construction Work in Progress,Graham Attrill Civil Engineering Ltd,2249801,"149,444.02"
DEFRA,The Environment Agency,10-Feb-11,Leasing ,HO Geomatics,RVL Survey Ltd,2249191,"144,783.32"
DEFRA,The Environment Agency,08-Feb-11,Main Contractors,Thames - South East-Ops Delivery,Land & Water Services Ltd,2248716,"142,293.97"
DEFRA,The Environment Agency,22-Feb-11,Building Management,Northern - Facilities Management,Amas Ltd,2250032,"141,465.00"
DEFRA,The Environment Agency,03-Feb-11,Software,Corporate Information Systems,CEFAS Technology Ltd,2248264,"136,545.90"
DEFRA,The Environment Agency,22-Feb-11,Specialist Contractors,Corporate Information Systems,Elan Computing Ltd,2250117,"135,756.96"
DEFRA,The Environment Agency,01-Feb-11,Construction Service Providers,Contruction Work in Progress ,Haskoning UK Ltd,2248017,"129,703.36"
DEFRA,The Environment Agency,10-Feb-11,"Marine, Coastal & Inland Waterways Services",Anglian - Various,P & R Plant Lincolnshire Ltd,2249144,"128,716.20"
DEFRA,The Environment Agency,08-Feb-11,Purchase,Head Office - Fleet Ops 4X4 purchase,Mitsubishi Motors,2248744,"128,680.90"
DEFRA,The Environment Agency,24-Feb-11,Main Contractors,Contruction Work in Progress ,Interserve Project Services Ltd,2250493,"127,870.37"
DEFRA,The Environment Agency,15-Feb-11,Main Contractors,Contruction Work in Progress ,Amco Engineering,2249307,"125,122.72"
DEFRA,The Environment Agency,22-Feb-11,Main Contractors,South West - Construction Work in Progress,United Utilities Industrial Ltd,2250304,"124,948.30"
DEFRA,The Environment Agency,10-Feb-11,"Marine, Coastal & Inland Waterways Services","Environment & Business Water, Land & Air",Apem Ltd,2248897,"120,000.00"
DEFRA,The Environment Agency,10-Feb-11,Main Contractors,Contruction Work in Progress ,Jackson Civil Engineering Ltd,2249070,"119,918.35"
DEFRA,The Environment Agency,03-Feb-11,Construction Supplies,Southern - Construction Work in Progress,Brett Ltd,2248245,"117,117.32"
DEFRA,The Environment Agency,15-Feb-11,Construction Service Providers,Wales - Contruction Work in Progress,Caldicot & Wentlooge Levels Internal Drainage Board,2034648,"116,645.77"
DEFRA,The Environment Agency,03-Feb-11,Main Contractors,North West - Construction Work in Progress,AE Yates Ltd,2248207,"115,949.42"
DEFRA,The Environment Agency,10-Feb-11,Main Contractors,Thames - Construction Work in Progress,Land & Water Services Ltd,2249095,"115,699.12"
DEFRA,The Environment Agency,08-Feb-11,Construction Service Providers,Contruction Work in Progress ,Arcadis AYH,2248571,"114,562.33"
DEFRA,The Environment Agency,10-Feb-11,Construction Service Providers,Contruction Work in Progress ,EC Harris Llp,2248986,"110,261.56"
DEFRA,The Environment Agency,08-Feb-11,Main Contractors,Anglian - Construction Work in Progress,Jacobs LES Ltd,2248696,"108,422.41"
DEFRA,The Environment Agency,10-Feb-11,Main Contractors,Thames - Construction Work in Progress,Team Van Oord,2249231,"107,639.64"
DEFRA,The Environment Agency,08-Feb-11,Main Contractors,Wales - Contruction Work in Progress,Team Van Oord,2034587,"105,065.95"
DEFRA,The Environment Agency,10-Feb-11,Purchase,Head Office - Construction Work in Progress,Iveco Ford Truck Ltd,2249066,"104,801.79"
DEFRA,The Environment Agency,08-Feb-11,Purchase,Head Office - Construction Work in Progress,Iveco Ford Truck Ltd,115277,"104,801.79"
DEFRA,The Environment Agency,15-Feb-11,Waste Management Services,National Monitoring,AMEC Nuclear UK Ltd,2249308,"101,405.83"
DEFRA,The Environment Agency,10-Feb-11,"Marine, Coastal & Inland Waterways Services",Contruction Work in Progress ,Jeremy Benn Associates Ltd,2249076,"100,447.09"
DEFRA,The Environment Agency,24-Feb-11,Construction Supplies,Thames - Construction Work in Progress,UK Power Networks,2250630,"98,832.02"
DEFRA,The Environment Agency,10-Feb-11,Pathology,National Laboratory Service,Agilent Technologies UK Ltd,2248887,"98,430.07"
DEFRA,The Environment Agency,10-Feb-11,Construction Service Providers,Contruction Work in Progress ,Halcrow Group Ltd,2034611,"97,894.37"
DEFRA,The Environment Agency,17-Feb-11,Specialist Contractors,Corporate Information Systems,Rullion Computer Personnel Ltd,2249942,"95,860.61"
DEFRA,The Environment Agency,22-Feb-11,Main Contractors,North East - Construction Work in Progress,Lumsden & Carroll Construction Ltd,2250211,"95,453.12"
DEFRA,The Environment Agency,17-Feb-11,Building Repair & Maintenance,Head Office - Facilities Management,DTZ Debenham Tie Leung,2249764,"95,370.06"
DEFRA,The Environment Agency,15-Feb-11,Operational Services,Data and Information Management,Lexis Nexis UK,2249504,"95,019.38"
DEFRA,The Environment Agency,08-Feb-11,Environmental Services,Environmental Monitoring - Various,Wye & Usk Foundation,2034592,"93,600.00"
DEFRA,The Environment Agency,24-Feb-11,Building Repair & Maintenance,Various  - Facilities Management,Inviron Ltd,2250495,"93,342.84"
DEFRA,The Environment Agency,15-Feb-11,Main Contractors,Contruction Work in Progress ,J Breheny Contractors Ltd,2249478,"92,717.61"
DEFRA,The Environment Agency,17-Feb-11,Environmental Services,Contruction Work in Progress ,Fugro Engineering Services Ltd,2249792,"90,671.01"
DEFRA,The Environment Agency,10-Feb-11,Main Contractors,Contruction Work in Progress ,Morrison Construction Ltd,2249123,"89,984.04"
DEFRA,The Environment Agency,15-Feb-11,Telecoms,HO Flood Warning Systems,MM Teleperformance Ltd,2249529,"89,623.42"
DEFRA,The Environment Agency,22-Feb-11,Environmental Services,HO Flood Warning Systems,NERC,2250234,"88,599.60"
DEFRA,The Environment Agency,17-Feb-11,Main Contractors,Thames - Construction Work in Progress,Dyer & Butler Ltd,2249767,"88,309.35"
DEFRA,The Environment Agency,03-Feb-11,Construction Service Providers,Contruction Work in Progress ,Ove Arup & Partners Ltd,2248424,"87,629.62"
DEFRA,The Environment Agency,24-Feb-11,"Marine, Coastal & Inland Waterways Services",Anglian - Construction Work in Progress,GBM,2250455,"86,347.20"
DEFRA,The Environment Agency,17-Feb-11,Main Contractors,North East - Construction Work in Progress,Lumsden & Carroll Construction Ltd,2249864,"85,841.88"
DEFRA,The Environment Agency,01-Feb-11,Construction Supplies,Ops Delivery - Various,Hanson Aggregates,2248015,"84,924.21"
DEFRA,The Environment Agency,08-Feb-11,Main Contractors,Contruction Work in Progress ,Team Van Oord,2248841,"84,383.35"
DEFRA,The Environment Agency,15-Feb-11,Building Management,Thames - Tidal Defence Mgr,Port Of London Authority,2249564,"84,035.66"
DEFRA,The Environment Agency,17-Feb-11,Construction Service Providers,Contruction Work in Progress ,Halcrow Group Ltd,2249808,"82,153.57"
DEFRA,The Environment Agency,17-Feb-11,Main Contractors,North East - Construction Work in Progress,Northern Gas Networks Ltd,2249892,"81,586.84"
DEFRA,The Environment Agency,15-Feb-11,Leasing,Various - Ops Delivery,Hydrex Equipment UK Ltd,2249466,"79,617.42"
DEFRA,The Environment Agency,03-Feb-11,Environmental Services,Thames - Construction Work in Progress,Ian Farmer Associates,2248347,"79,148.76"
DEFRA,The Environment Agency,10-Feb-11,Vehicle Maintenance,Head Office - Fleet Ops,Babcock Critical Services Ltd,2248910,"77,822.58"
DEFRA,The Environment Agency,01-Feb-11,Building Repair & Maintenance,Environmental Monitoring - Various,Inviron Ltd,2248033,"77,698.07"
DEFRA,The Environment Agency,10-Feb-11,Operational Services,Data and Information Management,Environmental Data Services Ltd,2249000,"77,242.79"
DEFRA,The Environment Agency,08-Feb-11,"Marine, Coastal & Inland Waterways Services",South East - Environmental Monitoring,ITT Flygt Ltd,2248693,"76,817.16"
DEFRA,The Environment Agency,24-Feb-11,"Marine, Coastal & Inland Waterways Services",Anglian - Construction Work in Progress,Land & Water Services Ltd,2250525,"76,732.99"
DEFRA,The Environment Agency,15-Feb-11,Environmental Services,Various - Ops Delivery,Land & Water Services Ltd,2249498,"75,826.40"
DEFRA,The Environment Agency,08-Feb-11,Environmental Services,North East-Regional Flood Programme Manager,Hull City Council,2248678,"75,000.00"
DEFRA,The Environment Agency,22-Feb-11,"Marine, Coastal & Inland Waterways Services",Contruction Work in Progress ,Halcrow Group Ltd,2250151,"74,865.18"
DEFRA,The Environment Agency,24-Feb-11,Main Contractors,Contruction Work in Progress ,Jackson Civil Engineering Ltd,2250501,"74,388.28"
DEFRA,The Environment Agency,22-Feb-11,"Marine, Coastal & Inland Waterways Services",Contruction Work in Progress ,Ove Arup & Partners Ltd,2250244,"73,960.47"
DEFRA,The Environment Agency,03-Feb-11,"Marine, Coastal & Inland Waterways Services",Midlands - Various,ECS Engineering Services Ltd,2248307,"73,608.30"
DEFRA,The Environment Agency,17-Feb-11,Security,Thames - Tidal Defence Mgr,MITIE Security London Ltd,2249883,"73,062.50"
DEFRA,The Environment Agency,08-Feb-11,Main Contractors,Southern - Construction Work in Progress,Birse Civils Ltd,2248591,"72,080.24"
DEFRA,The Environment Agency,08-Feb-11,Main Contractors,Contruction Work in Progress ,Morrison Construction Ltd,2248748,"71,848.89"
DEFRA,The Environment Agency,15-Feb-11,Main Contractors,North West - Construction Work in Progress,Cheetham Hill Construction Ltd,2249356,"69,637.17"
DEFRA,The Environment Agency,10-Feb-11,"Marine, Coastal & Inland Waterways Services",Contruction Work in Progress ,TEMA Engineering Ltd,2249232,"68,756.28"
DEFRA,The Environment Agency,15-Feb-11,Building Management,South East - Facilities Management,DEFRA,2249387,"68,241.70"
DEFRA,The Environment Agency,08-Feb-11,Construction Service Providers,Contruction Work in Progress ,Haskoning UK Ltd,2248671,"67,987.99"
DEFRA,The Environment Agency,17-Feb-11,Specialist Contractors,Corporate Information Systems,Sopra Group Ltd,2249960,"67,717.89"
DEFRA,The Environment Agency,15-Feb-11,Leasing,EA Wales,Hitachi Capital Vehicle Solutions Ltd,2034677,"67,696.79"
DEFRA,The Environment Agency,10-Feb-11,Main Contractors,Thames - Construction Work in Progress,Nomenca Ltd,2249131,"67,008.98"
DEFRA,The Environment Agency,22-Feb-11,Legal Services,Thames - Water Resources,David Travers,115568,"66,932.16"
DEFRA,The Environment Agency,10-Feb-11,"Marine, Coastal & Inland Waterways Services",Various - Flood Risk Management,Halcrow Group Ltd,2249030,"66,734.09"
DEFRA,The Environment Agency,03-Feb-11,"Marine, Coastal & Inland Waterways Services",Incident Management Manager,Capita Symonds Ltd,2248258,"66,508.38"
DEFRA,The Environment Agency,10-Feb-11,"Marine, Coastal & Inland Waterways Services",Various - Flood Risk Management,Halcrow Group Ltd,2249029,"65,796.07"
DEFRA,The Environment Agency,08-Feb-11,Main Contractors,Wales - Contruction Work in Progress,JU Bowen Construction Ltd,2034565,"64,985.49"
DEFRA,The Environment Agency,22-Feb-11,Main Contractors,Contruction Work in Progress ,Interserve Project Services Ltd,2250176,"64,913.37"
DEFRA,The Environment Agency,17-Feb-11,Environmental Services,National Monitoring,Food Standards Agency,2249789,"62,704.95"
DEFRA,The Environment Agency,22-Feb-11,Environmental Services,North West - Ops Delivery,Aquajet GB Ltd,2250037,"62,317.53"
DEFRA,The Environment Agency,17-Feb-11,Electricity,Various - Facilities Management & Ops Delivery,EDF Energy Ltd,2249773,"61,708.23"
DEFRA,The Environment Agency,03-Feb-11,Construction Service Providers,Contruction Work in Progress ,Haskoning UK Ltd,2248337,"61,579.72"
DEFRA,The Environment Agency,03-Feb-11,Construction Service Providers,South West - Construction Work in Progress,Teignbridge District Council,2248515,"61,200.00"
DEFRA,The Environment Agency,08-Feb-11,"Marine, Coastal & Inland Waterways Services",North East - Various,Amco Engineering,2248568,"61,192.77"
DEFRA,The Environment Agency,03-Feb-11,Building Management,Anglian - Various,Jacobs LES Ltd,2248363,"61,085.23"
DEFRA,The Environment Agency,08-Feb-11,Environmental Services,"Environment & Business Water, Land & Air",Queen Mary University of London,2248791,"60,000.00"
DEFRA,The Environment Agency,10-Feb-11,Main Contractors,Wales - Contruction Work in Progress,William Hughes Civil Engineering Ltd,2034639,"60,000.00"
DEFRA,The Environment Agency,17-Feb-11,"Marine, Coastal & Inland Waterways Services",Contruction Work in Progress ,Jeremy Benn Associates Ltd,2249838,"59,805.67"
DEFRA,The Environment Agency,15-Feb-11,"Marine, Coastal & Inland Waterways Services",Anglian - Various,Jacobs LES Ltd,2249482,"59,640.00"
DEFRA,The Environment Agency,24-Feb-11,Main Contractors,Anglian - Construction Work in Progress,Rampling Plant Hire Ltd,2250585,"59,520.00"
DEFRA,The Environment Agency,22-Feb-11,Electricity,Various - Facilities Management & Ops Delivery,British Gas Business,2250060,"58,701.72"
DEFRA,The Environment Agency,08-Feb-11,Main Contractors,Anglian - Construction Work in Progress,CW Engineering Ltd,2248619,"58,580.85"
DEFRA,The Environment Agency,17-Feb-11,Main Contractors,Anglian - Construction Work in Progress,VSL Systems UK Ltd,2249992,"58,299.92"
DEFRA,The Environment Agency,17-Feb-11,"Marine, Coastal & Inland Waterways Services",Anglian - Construction Work in Progress,PG Wright,2249912,"57,480.00"
DEFRA,The Environment Agency,10-Feb-11,"Marine, Coastal & Inland Waterways Services",Midlands - Construction Work in Progress,Balfour Beatty Civil & Construction,2248911,"56,880.00"
DEFRA,The Environment Agency,24-Feb-11,Building Repair & Maintenance,North West - Various,Boulting Technology,2250379,"56,857.20"
DEFRA,The Environment Agency,22-Feb-11,Environmental Services,Recreation & Navigation,University Of Brighton Trading Co Ltd,2250306,"56,820.00"
DEFRA,The Environment Agency,03-Feb-11,Fleet Management,Vehicle Incidents,Nationwide Network Services,2248410,"56,303.89"
DEFRA,The Environment Agency,10-Feb-11,Environmental Services,Midlands - Ops Delivery,OnSite Central Ltd,2249138,"56,152.74"
DEFRA,The Environment Agency,15-Feb-11,Main Contractors,North East - Construction Work in Progress,Lumsden & Carroll Construction Ltd,2249510,"55,396.90"
DEFRA,The Environment Agency,15-Feb-11,Main Contractors,South West - Construction Work in Progress,Bridge Civil Engineering,2249334,"54,636.48"
DEFRA,The Environment Agency,10-Feb-11,Fleet Management,Vehicle Incidents,Royal & Sunalliance,2249187,"54,547.30"
DEFRA,The Environment Agency,15-Feb-11,Main Contractors,Anglian - Construction Work in Progress,PGR Construction,2249557,"54,106.87"
DEFRA,The Environment Agency,08-Feb-11,Systems Delivery,Corporate Information Systems,CDC Climat,115253,"53,699.34"
DEFRA,The Environment Agency,03-Feb-11,Building Repair & Maintenance,North West - Various,Boulting Technology,2248243,"53,393.72"
DEFRA,The Environment Agency,03-Feb-11,Fleet Management,Vehicle Incidents,Gallagher Bassett,2248326,"53,247.43"
DEFRA,The Environment Agency,01-Feb-11,Main Contractors,Anglian - Construction Work in Progress,VSL Systems UK Ltd,2248186,"53,117.06"
DEFRA,The Environment Agency,15-Feb-11,"Marine, Coastal & Inland Waterways Services",Contruction Work in Progress ,ECS Engineering Services Ltd,2249402,"51,876.00"
DEFRA,The Environment Agency,17-Feb-11,Main Contractors,Thames - Construction Work in Progress,Cain Bio Engineering Ltd,2249716,"51,753.41"
DEFRA,The Environment Agency,08-Feb-11,Main Contractors,Contruction Work in Progress ,Interserve Project Services Ltd,2248689,"51,034.66"
DEFRA,The Environment Agency,22-Feb-11,Construction Service Providers,Wales - Contruction Work in Progress,Caldicot & Wentlooge Levels Internal Drainage Board,2034776,"50,000.40"
DEFRA,The Environment Agency,08-Feb-11,Legal Services,Employers Liability,John Pickering & Partners LLP,932260,"50,000.00"
DEFRA,The Environment Agency,23-Feb-11,Construction Supplies,Wales - Contruction Work in Progress,Flood Ark Ltd,2034834,"49,308.84"
DEFRA,The Environment Agency,22-Feb-11,Environmental Services,North West - Construction Work in Progress,Millar Landscapes,2250222,"49,200.00"
DEFRA,The Environment Agency,17-Feb-11,Post & Courier,National Laboratory Service,City Sprint,2249730,"48,490.65"
DEFRA,The Environment Agency,01-Feb-11,Fuels,Ops Delivery - Various,Pace Fuelcare Ltd,2248099,"47,977.03"
DEFRA,The Environment Agency,10-Feb-11,Construction Service Providers,Wales - Contruction Work in Progress,Dyer & Butler Ltd,2034608,"47,782.82"
DEFRA,The Environment Agency,24-Feb-11,"Marine, Coastal & Inland Waterways Services",Midlands - Construction Work in Progress,ECS Engineering Services Ltd,2250436,"47,162.88"
DEFRA,The Environment Agency,03-Feb-11,Pathology,National Laboratory Service,Agilent Technologies UK Ltd,2248209,"46,952.41"
DEFRA,The Environment Agency,15-Feb-11,Environmental Services,North West - Ops Delivery,Aquajet GB Ltd,2249312,"46,503.80"
DEFRA,The Environment Agency,08-Feb-11,Engineering Services,Head Office - Fleet Ops,Fraikin Ltd,2034559,"45,820.67"
DEFRA,The Environment Agency,15-Feb-11,Building Management,Anglian - Construction Work in Progress,Dabbrook Services Ltd,2249380,"45,685.98"
DEFRA,The Environment Agency,10-Feb-11,Environmental Services,South West Wessex North- Flood Risk,365 Environmental Services Ltd,2248877,"45,186.58"
DEFRA,The Environment Agency,10-Feb-11,Main Contractors,Anglian - Construction Work in Progress,BAM Nuttall Ltd,2248912,"45,077.48"
DEFRA,The Environment Agency,22-Feb-11,Building Repair & Maintenance,Various  - Facilities Management,Cofely Ltd,2250085,"45,036.87"
DEFRA,The Environment Agency,01-Feb-11,Main Contractors,North East - Construction Work in Progress,Birse Civils Ltd,2247927,"44,906.00"
DEFRA,The Environment Agency,10-Feb-11,Construction Service Providers,Contruction Work in Progress ,Arcadis AYH,2248900,"44,859.20"
DEFRA,The Environment Agency,08-Feb-11,Environmental Services,National Monitoring,CEFAS,2248606,"44,737.20"
DEFRA,The Environment Agency,03-Feb-11,Main Contractors,Anglian - Various,Rampling Plant Hire Ltd,2248453,"44,541.00"
DEFRA,The Environment Agency,03-Feb-11,Main Contractors,Anglian - Construction Work in Progress,Jackson Civil Engineering Ltd,2248361,"44,055.98"
DEFRA,The Environment Agency,08-Feb-11,"Marine, Coastal & Inland Waterways Services",Thames - Construction Work in Progress,Hunton Engineering Design,2248679,"43,575.60"
DEFRA,The Environment Agency,22-Feb-11,"Marine, Coastal & Inland Waterways Services",Contruction Work in Progress ,Hyder Consulting UK Ltd,2250168,"43,567.01"
DEFRA,The Environment Agency,15-Feb-11,Construction Supplies,Southern - Construction Work in Progress,Brett Ltd,2249333,"43,492.55"
DEFRA,The Environment Agency,15-Feb-11,Construction Service Providers,Contruction Work in Progress ,Black & Veatch Ltd,2249325,"42,882.57"
DEFRA,The Environment Agency,01-Feb-11,Environmental Services,Contruction Work in Progress ,Nick Edwards Contracts Ltd,2248091,"42,594.20"
DEFRA,The Environment Agency,08-Feb-11,Construction Service Providers,Thames - Construction Work in Progress,Ove Arup & Partners Ltd,2248773,"41,135.89"
DEFRA,The Environment Agency,01-Feb-11,"Marine, Coastal & Inland Waterways Services",Environmental Monitoring - Various,University of Hull,2248180,"40,552.33"
DEFRA,The Environment Agency,03-Feb-11,Property & Construction Consultancy,National Facilities Manager,Williams Gunter Hardwick Ltd,2248546,"40,500.00"
DEFRA,The Environment Agency,17-Feb-11,Leasing,"Various - Construction, Ops Delivery",Hydrex Equipment UK Ltd,2249822,"40,388.95"
DEFRA,The Environment Agency,24-Feb-11,Environmental Services,Various  - Construction & Environment & Business,Jacobs Engineering UK Ltd,2250502,"40,145.59"
DEFRA,The Environment Agency,08-Feb-11,Environmental Services,Anglian - Various,Wild Trout Trust,2248861,"40,000.00"
DEFRA,The Environment Agency,08-Feb-11,Construction Service Providers,North East - Construction Work in Progress,Barnsley Metropolitan Borough Council,2248582,"40,000.00"
