Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,CREATIVE CHOICE CIC,3000032936,"94,659.55",GOV.UK website cost,SW1H 0DJ,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SOCIAL INVESTMENT BUSINESS,3000032943,"1,036,827.00",Investment and Contract Readiness Fund administration costs,WC1H 8AG,SME,Grants,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,06/02/13,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES.,3000032985,"28,087.64",High Integrity Telecomms System Project costs,NW9 6LB,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,06/02/13,Accomodation and Utilities,GOVERNMENT DIGITAL SERVICE,FOOD STANDARDS AGENCY,3000032981,"225,298.52",Accommodation service charges ,YO1 7PX,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,06/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,PETROC,3000032990,"232,492.00",National Citizen Service project grant,EX31 2BQ,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,06/02/13,Resource Grants to Private Sector,GOVERNMENT DIGITAL SERVICE,NATIONAL FRAUD INTELLIGENCE BUREAU,3000032988,"400,000.00",Grant payment to support project to protect against identity fraud,EC1A 2DP,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,IFF RESEARCH LTD,3000033005,"26,863.60",Identity Assurance Research testing costs,N16 DD,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/02/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000033011,"36,547.44","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,BIG BLUE DOOR LTD,3000033020,"59,685.00",National Citizens Service website development cost,LA1 4TG,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/02/13,Supplies and Services,POLICY COMMUNICATIONS,EBIQUITY ASSOCIATES LTD,3000033037,"62,345.00",Shared Communication Services,EC3N 4QN,SME,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/02/13,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000033008,"87,740.78",Facilities Management Services,BN1  1HG,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/02/13,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000033015,"162,346.00",Capitation and legal costs,WC2B 4TS,Government Department,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/02/13,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000033008,"172,742.57",Facilities Management Services,BN1  1HG,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/02/13,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000033008,"345,700.73",Facilities Management Services,BN1  1HG,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/02/13,Other Staff Related Costs,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,3000033028,"2,803,126.16",MyCSP administration costs,LS2 7UA,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/02/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000033068,"29,296.44","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ENVISION,3000033069,"45,221.00",National Citizen Service project grant,EC1V 3RS ,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/02/13,Supplies and Services,POLICY COMMUNICATIONS,RADLEY YELDAR LTD,3000033074,49323.34,GREAT Campaign,EC2A 2PB,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/02/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,HOME OFFICE 12511,3000033080,"90,298.80",Project support services for the Government Cloud programme,DH1 5ZL ,Government Department,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ACEVO,3000033098,"103,750.00",Strategic partners transition grant ,WC1A 1NU,SME,Grants,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE FOOTBALL LEAGUE COMMUNITY LTD,3000033073,"179,603.00",National Citizen Service project grant,PR2 2YF,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE ALZHEIMERS SOCIETY,3000033078,"299,656.50",Grant to ensure that by 2015 1million people have received basic dementia awareness training to support action on dementia in communities.,E1W 1LB,Large,Grants,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/02/13,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000033064,"647,765.42",Facilities Management Services,BN1  1HG,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,11/02/13,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINVP2P 1507,"26,490.51",Whitehall heating systems management,HP12 3TA,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,11/02/13,WSDS Maintenance & Repairs,Whitehall Standby Distribution Systems,Cofely,PINVP2P 1510,"39,298.75",Whitehall heating systems management,HP12 3TA,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/02/13,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000033141,"39,593.34",Facilities Management Services,BN1 1HQ ,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,11/02/13,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINVP2P 1509,"62,983.99",Whitehall heating systems management,HP12 3TA,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/02/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,REED IN PARTNERSHIP LTD,3000033121,"170,707.20",National Citizen Service contract,SE17 3PY,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/02/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000033124,"564,011.00",National Citizen Service contract,SE1 7HS,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/02/13,Accomodation and Utilities,IT AND TELECOMS BRANCH,VODAFONE LTD,3000033181,"64,788.47",Service charge ,RG14 2FN,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/02/13,"Travel, Subsistence and Hospitality",PRIME MINISTERS OFFICE,HOGG ROBINSON TRAVEL LTD,3000033184,"68,347.11",Official Travel,GU14 7NJ,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,REACHFOR,3000033168,"190,077.00",National Citizen Service project grant,CA11 9BP,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/02/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000033155,"257,673.00",National Citizen Service contract,SE1 7HS,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/02/13,Accomodation and Utilities,PRIME MINISTERS OFFICE,ETDE FM,3000033210,"25,216.71",Facilities Management Services,BN1  1HG,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SCHOOL FOR SOCIAL ENTREPRENEURS,3000033220,"78,750.00",Strategic partners transition grant ,E2 9PF,SME,Grants,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000033213,"81,435.48",Software development services ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/02/13,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ETDE FM,3000033210,"137,853.16",Facilities Management Services,BN1  1HG,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/02/13,Land and Buildings,ESTATE MANAGEMENT,HM TREASURY,3000033216,"6,795,751.58",Rent for Accommodation,NR7 0HS ,Government Department,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/02/13,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000033264,"36,367.15",Reprographic Services,CR5 2HR,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/02/13,Accomodation and Utilities,ESTATE MANAGEMENT,MITIE BUSINESS SERVICES LTD,3000033253,"49,267.62",Facilities Management Services ,BS16 7FN,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,14/02/13,WDHS Cost of Electricity Generated,Whitehall District Heating Systems,Cofely,PINVP2P 1532,"66,163.43",Whitehall heating systems management,HP12 3TA,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,14/02/13,WDHS Cost of Heat Supplied,Whitehall District Heating Systems,Cofely,PINVP2P 1533,"97,560.57",Whitehall heating systems management,HP12 3TA,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,14/02/13,WDHS Cost of Heat Supplied,Whitehall District Heating Systems,Cofely,PINVP2P 1532,"161,713.38",Whitehall heating systems management,HP12 3TA,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/02/13,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000033245,"169,183.42",Facilities Management Services,BN1  1HG,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/02/13,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000033245,"342,980.32",Facilities Management Services,BN1  1HG,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/02/13,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000033277,"26,811.84",Interim IT specialists,SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/02/13,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000033277,"37,506.46",Interim IT specialists,SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SKYSCAPE CLOUD LTD,3000033289,"57,484.26",Cost of hosting GOV.UK,GU14 0LX,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,15/02/13,MOTO Charges RC,Estates Management,Cabinet Office Votes,PINDOH 35638,"65,438.49",Rent for accommodation ,CF14 3UW,Gov Dept,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,15/02/13,MOTO Charges RC,Estates Management,Cabinet Office Votes,PINDOH 35639,"65,438.49",Rent for accommodation ,CF14 3UW,Gov Dept,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/02/13,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000033277,"77,406.83",Interim IT specialists,SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,15/02/13,MOTO Charges RC,Estates Management,Cabinet Office Votes,PINDOH 35636,"80,596.57",Rent for accommodation ,CF14 3UW,Gov Dept,Admin, ,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,15/02/13,Computer Software,IT,Bytes Technology Group Ltd,PINVP2P 1315,"84,787.42",Microsoft enterprise agreement,KT17 1TS,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/02/13,Resource Grants to Central Government Bodies,GOVERNMENT DIGITAL SERVICE,BARNSLEY METROPOLITAN BOROUGH COUNCIL,3000033273,"100,000.00",Grant payment for identity assurance pilot in South Yorkshire. ,S70 2AQ,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,15/02/13,"Furniture, Fittings and Equipment",Audit & Assurance Unit,Cabinet Office Votes,PINDOH 35637,"200,016.83",Accommodation refurbishment,CF14 3UW,Gov Dept,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/02/13,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000033359,"26,309.03",Facilities Management Services,BN1  1HG,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/02/13,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000033359,"31,440.33",Facilities Management Services,BN1  1HG,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/02/13,Other Staff Related Costs,CENTRAL BUDGETS,FCO SERVICES,3000033305,"35,968.80",Vetting service fees,MK19 7BH,Government Department,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/02/13,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000033313,"57,424.93",Facilities Management Services,BN1 1HQ -- SE1 7NQ,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000033361,"57,994.75",Software development services to support  GOV.UK ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BOLTON LADS & GIRLS CLUB,3000033360,"137,736.00",National Citizen Service project grant,BL1 4AG,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/02/13,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000033323,"235,500.00",Community First Grants programme fee,EC1V 2PT,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000033301,"715,018.74",GOV.UK infrastructure cost,HP2 7AH -- M14 0WN,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/02/13,Resource Grants to NDPB's,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND SOCIAL INCUBATOR FUND,3000033358,1521119,Grant for Social Incubator Fund project,NE1 4BE,Large,Grants,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,LUTON CULTURE,3000033371,33766,National Citizen Service project grant,LU1 2EY,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/02/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000033367,"94,568.04","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP -- SW1P 2AF --SE10 8FQ,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE LINCOLNSHIRE & RUTLAND EBP,3000033379,"123,794.00",National Citizen Service project grant,LN2 4WH,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/02/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,THE LINCOLNSHIRE & RUTLAND EBP,3000033378,"186,014.00",National Citizen Service contract,LN2 4WH,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000033366,"220,738.74",Software development services to support GOV.uk ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000033366,"231,943.66",Software development services ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE JOIN IN TRUST,3000033381,"585,000.00",Join In Trust Limited running costs,EC4A 3AE,SME,Grants,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000033383,"2,588,000.00",Grant for Neighbourhood Match Fund programme,EC1V 2PT,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/02/13,Capital grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000033383,2803171,Grant for Endowment Match Challenge programme,EC1V 2PT,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE SOCIAL INVESTMENT BUSINESS,3000033376,"3,126,406.00",Social Action Fund grants,WC1H 8AG,SME,Grants,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/02/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000033409,"27,919.02","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP -- SW1P 2AF --SE10 8FQ,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/02/13,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000033432,"30,400.78",Facilities Management Services,BN1 1HQ -- SE1 7NQ,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/02/13,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000033400,"36,367.15",Reprographic Services,CR5 2HR,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,20/02/13,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINDOH 35659,"42,568.00",Whitehall heating systems management,HP12 3TA,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,20/02/13,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINDOH 35661,"45,771.63",Whitehall heating systems management,HP12 3TA,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000033408,"53,380.95",Software development services,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/02/13,IT Costs,IT AND TELECOMS BRANCH,CABLE & WIRELESS PLC,3000033417,"62,260.43",IT Services,RG12 1RW,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,VINSPIRED,3000033392,"128,204.00",National Citizen Service project grant,SW1P 2ASF,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/02/13,PFI Charge,CENTRAL BUDGETS,DE VERE VENUES LTD,3000033437,"221,813.32",Private Finance Initiative service charges,KT24 6DU,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000033450,"31,664.45",Software development services,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/02/13,Agency and Temporary Staff,ERG STRATEGY AND MANAGEMENT INFORMATION,CAPITA RESOURCING LTD,3000033451,35012.18,IT development costs,SL6 1DP -- SW1P 2AF --SE10 8FQ,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/02/13,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,ETDE FM,3000033447,"46,105.36",Facilities Management Services ,BN1  1HG,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/02/13,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000033467,"85,419.39",Facilities Management Services ,BN1 1HQ -- SE1 7NQ,Large,Admin,, ,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000033450,"86,616.88",Software development services to support GOV.uk ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/02/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,PETROC,3000033469,"92,225.00",National Citizen Service contract,EX31 2BQ,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/02/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,SERCO LTD,3000033456,"749,006.40",National Citizens Service contract,RG27 7FR,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/02/13,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000033495,"29,646.58",Interim IT specialists,SL6 1DP -- SW1P 2AF --SE10 8FQ,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/02/13,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000033495,"44,152.17",Interim IT specialists,SL6 1DP -- SW1P 2AF --SE10 8FQ,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/02/13,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,MOKUM CHANGE MANAGEMENT LTD,3000033492,"115,200.00",Feasibility study to determine whether major departments can share a single Oracle Enterprise Resource Planning (ERP) platform and a single set of processes to lower ERP operating costs,E14 9XQ,SME,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/02/13,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000033494,"241,378.49",Facilities Management Services,BN1  1HG,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,25/02/13,Maintenance & Repairs - IT,IT,Integralis Ltd,PINVP2P 1545,"26,365.15",IT maintenance and support ,RG7 4AQ,Large,Admin,,,,,,,,,,,,,,,,,,
