Department family,Entity,Date,Expense Type,Expense area,Supplier,Transation number,Amount,Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Horniman Museum,50001136,294500,HM GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,06/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Gallery,50001137,1717574,NG GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Portrait Gallery,50001138,573667,NPG GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Victoria & Albert Museum,50001139,3589250,VA GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Wallace Collection,50001140,238500,TWC GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50001141,678898,OFCOM SCAP GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50001142,4021762,OFCOM SPECTRUM MANAGEMENT APRIL 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Sir John Soane's Museum,50001143,93000,SJSM GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,06/05/2014,Grant-in-Aid (DCMS NDPBs),GIA to Equalities Bodies,GIA - EHRC,50001144,1976730,EHRC GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50001145,208365,OFCOM ORPHAN COSTS MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50001146,361992,OFCOM PSSR GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,06/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Olympic Delivery Authority,Olympic Delivery Authority (GIA),50001147,27000000,ODA GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Tourism bodies,VisitBritain,50001148,4687000,VB GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50001149,35595000,BBC GIA MAY 2014 PT1
Department for Culture Media and Sport,Department for Culture Media and Sport,07/05/2014,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50001150,35595000,BBC GIA MAY 2014 PT2
Department for Culture Media and Sport,Department for Culture Media and Sport,13/05/2014,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50001151,142380000,BBC GIA MAY 2014 PT3
Department for Culture Media and Sport,Department for Culture Media and Sport,15/05/2014,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50001152,35595000,BBC GIA MAY 2014 PT4
Department for Culture Media and Sport,Department for Culture Media and Sport,22/05/2014,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50001153,35595000,BBC GIA MAY 2014 PT5
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,50001154,15000000,ACE GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,06/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Libraries bodies,British Library,50001155,5358559,BL GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,06/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Tate Gallery,50001156,2679084,TATE GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),The Royal Parks - funding,The Royal Parks,50001157,5000000,TRP GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Science Museum Group (ex-NMSI),50001158,3000000,SMG GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,06/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,British Museum,50001159,2362974,BM GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Imperial War Museum,50001160,1516467,IWM GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Natural History Museum,50001161,3615000,NHM GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,The Royal Armouries,50001162,632673,RA GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Museums & Galleries Merseyside,50001163,1677424,NML GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,50001164,1946024,BFI GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,06/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,English Heritage,50001165,8000000,EH GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,06/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,United Kingdom Sports Council,50001166,5777910,UKS GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2014,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,United Kingdom Anti Doping Ltd,50001167,441000,UKAD GIA MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,21/05/2014,Capital Grant Private Sector,Grant support to NFTS,National Film & Television School,50001171,225500,NFTS GIA MAY 2014
