Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,MoJ HQ,23-Oct-12,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,2160,"£108,506.49",NSI Service Improvement Costs
Ministry of Justice,MoJ HQ,18-Oct-12,263000-Other Contracted Out Services,LZ600-Transforming Justice,STAFFORDSHIRE COUNTY COUNCIL,1085279,"£173,780.83",Staffordshire Council County provides the Claims Management Regulation Monitoring and Compliance Unit under contract to the MOJ.
Ministry of Justice,MoJ HQ,23-Oct-12,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,2161,"£184,323.76",NSI Service Improvement Costs
Ministry of Justice,MoJ HQ,04-Oct-12,266000-Judicial Costs,LZ600-Transforming Justice,THOMSON REUTERS T/A SWEET & MAXWELL LTD,1084160,"£252,840.00",Legal publications for the judiciary and courts
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083801,"£25,595.44",HP ICT Network Services (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083736,"£26,319.58",Atos ICT Other (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,18-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1085031,"£26,867.00","LSC Secure Enclave CCN2943-03 Accreditation - Mst 11 Secure Enclave Accreditation					"
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083736,"£26,889.54",Atos ICT Other (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083801,"£26,975.71",HP ICT Other (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,18-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1085031,"£27,559.30",A-R-02943-13 v.02 -HMCTS 033 LSC Secure Enclave Milestones 1 & 2 (one off cost)
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1084007,"£27,665.40",FJS Programme & Project Mgmt   Managed Service (Schedule)
Ministry of Justice,MoJ HQ,01-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083736,"£27,954.00","					 LSC Secure Enclave CCN2943-02 Build - Mst 5 Prod Enclave Bastion Tools Completion-PQ105					"
Ministry of Justice,MoJ HQ,01-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1083881,"£28,250.10",VTL Capacity Upgrade Implement (RFS 106857) (Schedule)
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083801,"£28,493.36",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083801,"£28,899.79",Java JRE Uplift - Quantum Estate - MCO vl.0
Ministry of Justice,MoJ HQ,18-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1085130,"£29,075.67",EIP3SPF (E138) Fujitsu CCNF412 RSA Appliance Upgrade 
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083801,"£30,595.12",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1084043,"£31,655.93",HP ICT Other (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,08-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1084349,"£32,037.11",ICT Printing - Liberata Print Charges
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083801,"£32,969.61",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083736,"£33,470.37",ICT Network Services (Schedule)
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083736,"£33,470.37",ICT Network Services (Schedule)
Ministry of Justice,MoJ HQ,04-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1083955,"£34,061.20",Video Equipment for Virtual Court/Live Link installation at Hatfield and Bromley Magistrates Courts
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1084007,"£34,464.98",FJS Governance   Managed Service (Schedule)
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083801,"£34,467.00",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,15-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1084872,"£35,143.58",HP ICT Printing (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,11-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1084526,"£36,215.00","LSC Secure Enclave CCN2943-03 Accreditation - Mst 12 On Project Signoff & Closure					"
Ministry of Justice,MoJ HQ,18-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1085074,"£38,459.68",Video Equipment for Virtual Court/Live Link installation at three police custody suites
Ministry of Justice,MoJ HQ,18-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1085074,"£39,327.19",Video Equipment for Virtual Court/Live Link installation at three Magistrates Courts in Cheshire
Ministry of Justice,MoJ HQ,18-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1085074,"£40,553.53",Video Equipment for Virtual Court/Live Link installation at three Magistrates Courts in Cheshire
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1083881,"£42,341.88",Steria ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,22-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CAPITA BUSINESS SERVICES LTD,1085351,"£42,375.00",Consultancy services provided by I2N during April 2012 - March 2013  IAPS Helpdesk & Maintenance (I2N Support & Maintenance)
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1084007,"£42,408.42",FJS Service Desk   Managed Service (Schedule)
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083801,"£42,771.40",HP ICT Printing (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,18-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1085074,"£43,484.68",Video Equipment for Virtual Court/Live Link installation at three police custody suites
Ministry of Justice,MoJ HQ,11-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1084526,"£44,000.00",CCN A-R-2943-06 - LSC Secure Enclave CCN2943-06 Migration
Ministry of Justice,MoJ HQ,11-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1084526,"£44,125.00",CCN A-R-2943-06 - LSC Secure Enclave CCN2943-06 Migration
Ministry of Justice,MoJ HQ,22-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1085329,"£44,244.00",CCN A-R-0313-01-C03 - EPE refresh
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1084007,"£44,917.69",FJS Licensing  Managed Service (Schedule)
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1084007,"£46,332.54",FJS Operations - Other + Discount & Gain Share   Managed Service (Schedule)
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1084007,"£49,975.20","CCN No: F441 YJB Connectivity Relocation and Additional Support 01/08/12 - 31/07/13 ONGOING CHARGES				 					"
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083736,"£50,077.65",ICT Telephony (Schedule)
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083930,"£51,414.75","A-R-03199-02 - CCMS-EDRMS Connectivity & rich client access.					"
Ministry of Justice,MoJ HQ,15-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1084854,"£52,772.58","LSC IDS CCNF439 Milestone 1 - Approval of IDD & agreement of CCN, LSC IDS CCNF439 Milestone 2 - Completion of LLD & Test Plans, LSC IDS CCNF439 Milestone 3 - Installation at BBP & LSC IDS CCNF439 Milestone 4 - Installation at ACP.						"
Ministry of Justice,MoJ HQ,02-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE,1083909,"£53,058.66",
Ministry of Justice,MoJ HQ,15-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1084785,"£53,384.00",CCN-3715-V04 - MERIS Server and Operating System Upgrade - One Off Costs
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083801,"£54,529.86",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083801,"£55,899.40",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,24-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),2168,"£58,475.56",Styal refurbishment costs
Ministry of Justice,MoJ HQ,25-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,DETICA LTD,1085611,"£58,635.00",This PO is for the services of the IA Managed Service. For the period April-October 2012.   It relates to non-rechargeable costs (Schedule)
Ministry of Justice,MoJ HQ,25-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1085552,"£63,001.00",CCN2277-01 - NOP Main CCN
Ministry of Justice,MoJ HQ,22-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1085426,"£66,026.00","CCN 3030-03 - NOP, NLE, Early Adopters and NRO (one off cost)"
Ministry of Justice,MoJ HQ,31-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE IT,2195,"£66,644.19",Monthly telephony charges for MOJ staff working on Home Office premises during the 2011/12 financial year
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1084043,"£66,722.60","HQ188 HP Offer for Parole Board Migration from POISE to Quantum						 							"
Ministry of Justice,MoJ HQ,11-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1084526,"£67,257.00",CCN A-R-2943-06 - LSC Secure Enclave CCN2943-06 Migration
Ministry of Justice,MoJ HQ,29-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1085990,"£68,728.29",Steria ICT Other (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,18-Oct-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1085282,"£71,554.58",EIP2NetSec (E134) Steria CCNS194-03 AV Host Implementation 
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1084043,"£71,661.00",HP ICT Hosting (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,22-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1085426,"£75,999.00","CCN 3030-03 - NOP, NLE, Early Adopters and NRO (one off cost)"
Ministry of Justice,MoJ HQ,11-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1084526,"£80,000.00","LSC Secure Enclave CCN2943-03 Accreditation - Mst 10 Secure Enclave Authority to Operate					"
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1084043,"£81,282.29",HP ICT Other (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,08-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1084349,"£81,840.71",ICT Printing - Liberata Print Charges
Ministry of Justice,MoJ HQ,08-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,IBM (UNITED KINGDOM) LTD,1084323,"£87,627.97",Service Extension for Lotus Notes from 01/10/2012 to 30/09/2013
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1083881,"£88,010.67",Steria ICT Network Services (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HFX LTD,1083799,"£88,353.68",HFX Support Renewal
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1084007,"£88,892.32",FJS Solution Assurance   Managed Service (Schedule)
Ministry of Justice,MoJ HQ,03-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,HOME OFFICE IT,2064,"£90,033.36",Consultancy services delivered to the LSC IDP Programme running from 1st April to 12th October 2012
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1084007,"£97,871.48",CCN No: 368 - YJB core managed service  01/04/12 - 31/07/12
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1084043,"£99,189.31",HP ICT Other (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1084007,"£101,827.94",FJS Security Management  Managed Service (Schedule)
Ministry of Justice,MoJ HQ,04-Oct-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1084071,"£103,586.00",L-S-2061-03 - Libra Oracle Upgrade
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083801,"£110,059.26",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,29-Oct-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1085813,"£110,858.00","CCN A-R-03478-03	CREST EL Full Project Delivery - Atos Direct Costs						 						"
Ministry of Justice,MoJ HQ,01-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083801,"£112,052.16",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1084071,"£114,836.00",ICT Printing (Schedule)
Ministry of Justice,MoJ HQ,04-Oct-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1084043,"£116,911.71",PB508 - HP Project Implementation Costs - Replaces PO 10000024857
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1084007,"£127,602.34","CCN No: 432 - YJB Connectivity Hosting 01/04/12 - 31/07/13					 					 							"
Ministry of Justice,MoJ HQ,04-Oct-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1084043,"£128,741.21",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule)
