,,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,
DEFRA,DEFRA,28/09/2012,Estates IFM Core Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00019049A," Ł105,023.81 ",Adjustment/supplement payment to satisfy Invoice and rectify the incorrect vat to HM Revenue,BS32 4NH,,,00000000,Expense,,
DEFRA,DEFRA,14/09/2012,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00019662," Ł41,502.50 ",Facilities Management charges - Completed Business Case Proforma works on the Defra Estate,BS32 4NH,,14677,B0870000,Asset,,
DEFRA,DEFRA,20/09/2012,Estates Reactive Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00018792," Ł122,488.05 ",Facilities Management charges - Completed Business Case Proforma works on the Defra Estate,BS32 4NH,,14191,B0790000,Asset,,
DEFRA,DEFRA,20/09/2012,Estates Reactive Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00019425," Ł63,603.93 ",Facilities Management charges - Completed Business Case Proforma works on the Defra Estate,BS32 4NH,,14738,00000000,Asset,,
DEFRA,DEFRA,14/09/2012,Estates IFM Core Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00019235," Ł2,051,217.55 ",Core contract costs - fixed and reactive elements.,BS32 4NH,,10321X,00000000,Expense,,
DEFRA,DEFRA,26/09/2012,Estate Maintenance Admin,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00018791," Ł208,974.79 ","Chapel Bank Works, Workington - contractor's costs.",BS32 4NH,,14194,00000000,Asset,,
DEFRA,DEFRA,14/09/2012,Reactive Element of Core IFM fee,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00019236," Ł576,352.07 ",Reactive Maintenance costs for the period August 2012.,BS32 4NH,,16408,00000000,Expense,,
DEFRA,DEFRA,14/09/2012,Estates Reactive Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00019426," Ł121,749.58 ",Facilities Management charges - Completed Business Case Proforma works on the Defra Estate,BS32 4NH,,15607,00000000,Asset,,
DEFRA,DEFRA,28/09/2012,Redfern Suspense,Chief Operating Officer DG,Redfern Travel Ltd,039579," Ł102,771.34 ",Travel costs and Recovery of Disbursement for August  2012,BD1 3AZ,SME,,00000000,Asset,,
DEFRA,DEFRA,14/09/2012,Grant-in Aid Payments,Chief Operating Officer DG,Royal Botanic Gardens,KEWGIA061213," Ł2,500,000.00 ",Grant in Aid for the period of November 2012,TW9 3AB,,exempt,00000000,Expense,,
DEFRA,DEFRA,10/09/2012,Inwards Secondments,Chief Operating Officer DG,Environment Agency,1146319," Ł30,000.00 ",Secondment fees,PE2 8YD,,exempt,00000000,Expense,,
DEFRA,DEFRA,18/09/2012,Other Current Payments (GB),Chief Operating Officer DG,Animal Health and Veterinary Laboratories Agency,5000011077," Ł233,120.48 ",Border Controls charges for February 2012,KT15 3NB,,exempt,00000000,Expense,,
DEFRA,DEFRA,24/09/2012,Inwards Secondments,Chief Operating Officer DG,Home Office,1109419," Ł52,477.25 ",Secondment fees,NP20 9BB,,exempt,00000000,Expense,,
DEFRA,DEFRA,28/09/2012,Computer & IT Services,Chief Operating Officer DG,Gartner UK Limited,20071705," Ł39,880.00 ",Application support benchmark,TW20 9AW,,16106,P0900000,Expense,,
DEFRA,DEFRA,14/09/2012,Application Services/Applications Delivery,Chief Operating Officer DG,IBM United Kingdom Ltd,5808120773," Ł55,522.82 ",Anti Virus Technology Refresh,GU1 2LD,,FRW10040-00,P12TR020,Expense,,
DEFRA,DEFRA,28/09/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5809120631," Ł45,866.52 ",Eden 7 Acceleration - Technology Refresh,GU1 2LD,,FRW10040-00,P12TR060,Expense,,
DEFRA,DEFRA,14/09/2012,Application Services/Applications Delivery,Chief Operating Officer DG,IBM United Kingdom Ltd,5805121063," Ł57,161.00 ",Upgrade of the Microsoft .NET Software: Del 8 Software Development Wave 1B complete,GU1 2LD,,FRW10040-00,P0300050,Expense,,
DEFRA,DEFRA,14/09/2012,Application Services/Applications Delivery,Chief Operating Officer DG,IBM United Kingdom Ltd,5808120686," Ł38,072.74 ",Resource Seeding Request: Working together Defining Opportunities.,GU1 2LD,,FRW10040-00,P12TR150,Expense,,
DEFRA,DEFRA,28/09/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5809120827," Ł29,399.79 ",Resource Seeding Request: Support for Common Desktop paper and Financial Model,GU1 2LD,,FRW10040-00,P12TR150,Expense,,
DEFRA,DEFRA,14/09/2012,Application Services/Applications Delivery,Chief Operating Officer DG,IBM United Kingdom Ltd,5808120772," Ł33,635.95 ",Upgrade of the Microsoft .NET Software: Del 7 Software Development Wave 1A complete,GU1 2LD,,FRW10040-00,P0300050,Expense,,
DEFRA,DEFRA,28/09/2012,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5808121578," Ł5,955,173.93 ",IT Base Services for the period 1-30 September 2012,GU1 2LD,,FRW10040-00,00000000,Expense,,
DEFRA,DEFRA,14/09/2012,Other Current Payments E,"Strategy, Evidence and Customers DG",Mouchel Ltd,90114324," Ł49,198.64 ",CAP Beneficiary Database 2012/13,GU21 6QX,SME,12123,FCAG0002,Expense,,
DEFRA,DEFRA,20/09/2012,Programme Consultancy Costs,"Strategy, Evidence and Customers DG",W S P Environmental Ltd,0012240," Ł54,576.00 ",Smarter Environmental Regulation Review Fee,WC2A 1AF,,,00000000,Expense,,
DEFRA,DEFRA,24/09/2012,Publicity Campaigns,"Strategy, Evidence and Customers DG",Cabinet Office,250004850," Ł54,720.00 ",Media Monitoring Services for the year 2012/2013,SW1A 2HQ,,exempt,00000000,Expense,,
DEFRA,DEFRA,04/09/2012,Travel - Foreign,"Strategy, Evidence and Customers DG",Foreign & Commonwealth Office,1058480," Ł53,272.55 ",RIO +20 Accommodation Cost,MK19 7BH,,Exempt,00000000,Expense,,
DEFRA,DEFRA,06/09/2012,Current Grants UK,"Strategy, Evidence and Customers DG",U N Economic Commission For Europe,280612," Ł30,000.00 ",UK Contribution - Payment for 2012 Aarhus Convention.,,,Exempt,00000000,Expense,,
DEFRA,DEFRA,26/09/2012,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",University Of Gloucestershire,4083487," Ł60,390.00 ",Campaign for the Farmed Environment Evaluation  - assessing the outcomes,GL50 2RH,,Exempt,RDEVFUND,Expense,,
DEFRA,DEFRA,12/09/2012,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",URS Scott Wilson,5157372," Ł45,033.00 ",Provision of economic evidence analysis and appraisal for the Independent Panel on Forestry,RG21 7PP,,Exempt,RDEVFUND,Expense,,
DEFRA,DEFRA,18/09/2012,Evidence Non R&D,"Strategy, Evidence and Customers DG",B E T A Technology Ltd,5154," Ł31,056.77 ",Provision of UK National Contact Points services,DN4 5HZ,SME,exempt,EUIPARTN,Expense,,
DEFRA,DEFRA,20/09/2012,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",Cranfield University,1352732," Ł50,000.00 ",Collaborative Centre of Excellence for Understanding and Managing Natural and Environmental Risks and Futures,MK43 0AL,,exempt,HSFUTURE,Expense,,
DEFRA,DEFRA,10/09/2012,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",E P S R C,7040001056," Ł39,405.05 ",Co-Funded Research Grant for the Engineering and Physical Sciences Research Council Quarter 1 2012,SN2 1ET,,,00000000,Expense,,
DEFRA,DEFRA,24/09/2012,Other Current Payments E,Policy Delivery DG,Acre.,5578," Ł700,000.00 ",ACRE Investment Plan 2012,GL7 1TW,,16365,00000000,Expense,,
DEFRA,DEFRA,04/09/2012,Current Grants E,Policy Delivery DG,Natural England,8000009255," Ł50,000.00 ",Milestone payment to Natural England in respect of biological recording in the volunteer sector 2012-13,YO1 7PX,,WC1041,00000000,Expense,,
DEFRA,DEFRA,28/09/2012,Other Current Payments E,Policy Delivery DG,North Wales Police,F0003220," Ł136,000.00 ",Core funding to the National Wildlife Unit for 2012-13,LL29 8AW,,Exempt,00000000,Expense,,
DEFRA,DEFRA,04/09/2012,Current Grants E,Policy Delivery DG,Natural England,8000009034," Ł188,000.00 ",Full payment to Natural England in respect of biological recording in the volunteer sector 2012-13 (to note:  Invoice sent to us in error/received credit note at later date),YO1 7PX,,WC1041,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments E,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000017555," Ł61,584.37 ",Animal Health and Veterinary Laboratories Agency payment for August 2012 for wildlife charges,KT15 3NB,,Exempt,00000000,Expense,,
DEFRA,DEFRA,20/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Scott Wilson Ltd,5181740," Ł42,396.70 ",Best Practice Guidance for Payments for Ecosystem Services project,RG21 7PP,SME,Exempt,00000000,Expense,,
DEFRA,DEFRA,14/09/2012,Current Grants - Local Authorities,Policy Delivery DG,Hyndburn Borough Council,70037302," Ł29,000.00 ",Reward and Recognition Fund (1st Round) 2012/13 ,BB5 0RT,,Exempt,00000000,Expense,,
DEFRA,DEFRA,14/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A E A Technology - SPM Lead Contract,6149363," Ł32,768.17 ",Establish a baseline on reuse and repair (How much reuse is going on),OX11 0QJ,,exempt,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Bristol,ERS-11-SEP-12-40816," Ł35,463.41 ",Evaluation of Meat Chicken Regulations Sept 2012,BS40 5DU,,Exempt,00000000,Expense,,
DEFRA,DEFRA,04/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8002066," Ł26,045.00 ",Research on Endocrine Disrupters in the aquatic environment ,NR33 0HT,,exempt,00000000,Expense,,
DEFRA,DEFRA,24/09/2012,Other Current Payments E,Policy Delivery DG,Health & Safety Commission & Executive,0000084395," Ł1,290,000.00 ","Enforcement relating to the Registration, Evaluation and Authorisation of Chemicals (REACH)
",L20 3LZ,,Exempt,00000000,Expense,,
DEFRA,DEFRA,26/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Risk Solutions,WT0964," Ł40,658.66 ",Apr 2013 Evidence on Impacts of Abstraction Reform Options On the Environment and Abstractors.,WA2 7LT,SME,exempt,00000000,Expense,,
DEFRA,DEFRA,18/09/2012,Carriage of goods,Policy Delivery DG,Promotional Logistics Ltd,OPI127695," Ł43,858.41 ",Postage costs associated with the Nitrates Action Programme i.e. Legal documentation and Maps,CO10 2XG,SME,,00000000,Expense,,
DEFRA,DEFRA,10/09/2012,Current Grants E,Policy Delivery DG,Environment Agency,040912," Ł3,660,000.00 ",A grant payment under Section 70(1) of the Charities Act 2006 to Environment Agency from the Catchment Restoration Fund.   ,PE2 8YD,,16537,00000000,Expense,,
DEFRA,DEFRA,28/09/2012,Other Current Payments E,Policy Delivery DG,A H D B,180012842," Ł55,000.00 ",Provision of data to meet EU statutory requirement for recording of pig movements,CV8 2TL,,exempt,00000000,Expense,,
DEFRA,DEFRA,04/09/2012,Other Current Payments E,Policy Delivery DG,Food Standards Agency,1701646," Ł74,978.00 ",Supervision of vehicle cleansing and disinfection of livestock vehicles at slaughterhouses ,YO1 2YX,,Exempt,MHS00946,Expense,,
DEFRA,DEFRA,18/09/2012,Other Current Payments E,Policy Delivery DG,Food Standards Agency,1701701," Ł57,321.40 ",Supervision of vehicle cleansing and disinfection of livestock vehicles at slaughterhouses ,YO1 2YX,,Exempt,MHS00946,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments E,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000017545," Ł208,539.65 ",Approvals/licensing etc,KT15 3NB,,Exempt,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments E,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000017549," Ł434,646.62 ",Approvals/licensing etc,KT15 3NB,,Exempt,00000000,Expense,,
DEFRA,DEFRA,25/09/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-504826-40988," Ł31,053.50 ",Pathology and Pathogenesis of prion diseases - Sep 12 ,KT15 3NB,,Exempt,00000000,Expense,,
DEFRA,DEFRA,25/09/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-504914-40979," Ł28,241.00 ",Optimisation of sampling strategies for improving sensitivity of M. bovis detection by Polymerise Chain Reaction 2011/12 ,KT15 3NB,,,00000000,Expense,,
DEFRA,DEFRA,25/09/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Food & Environment Research Agency,ERS-504876-40913," Ł37,093.33 ",Badger Survey of England and Wales Sept 2012,YO41 1LZ,,Exempt,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,The Pirbright Institute,ERS-504863-40791," Ł27,662.33 ",Development of methods to enhance implementation of foot-and-mouth disease virus control measures Sept 2012 ,GU24 0NF,,Exempt,00000000,Expense,,
DEFRA,DEFRA,18/09/2012,Payments to Agencies GB,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000014729," Ł444,461.48 ",Border control approval/licensing charges ,KT15 3NB,,exempt,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,The Pirbright Institute,ERS-504862-40790," Ł57,810.83 ",Genetic Resources for Agriculture and Food (GRFA) development of novel Foot and mouth disease  vaccines,GU24 0NF,,exempt,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Edinburgh,ERS-504812-40826," Ł27,119.75 ",September 2012/2013 Trade and Aquatic Health -Transmissible Spongiform Encephalopathies and animal by product - Other Current Payments ,EH1 1HT,,,00000000,Expense,,
DEFRA,DEFRA,25/09/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-504844-40990," Ł28,280.33 ",Assessment of the risk of selection of Extended Spectrum Beta Lactamase resistance in calves by feeding waste milk containing Sept 2012,KT15 3NB,,Exempt,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,The Pirbright Institute,ERS-504859-40788," Ł27,600.58 ",September 2012/2013 Trade and Aquatic Health - Exotic Diseases Evidence - Other Current Payments ,GU24 0NF,,Exempt,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,The Pirbright Institute,ERS-504870-40793," Ł31,616.00 ",Understanding and predicting the spread of vector - and aerosol-borne livestock pathogens in the UK ,GU24 0NF,,Exempt,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Imperial College London,ERS-505020-40875," Ł33,529.50 ",Transmission modelling and cost - effectiveness analysis of cattle vaccination at a herd level - 2011/12,SW7 2AZ,,,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Payments to Agencies GB,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000017546," Ł459,324.36 ",Funding for Border control,KT15 3NB,,exempt,00000000,Expense,,
DEFRA,DEFRA,25/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,B B S R C,ERS-504896-40771," Ł37,600.00 ",Integrated systems approach for preventing uterine disease in dairy cattle - Sept 2012,SN2 1UH,,exempt,00000000,Expense,,
DEFRA,DEFRA,25/09/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-504880-40970," Ł61,065.75 ","Antigen mining, Differentiation of infected and vaccinated animals (DIVA) assays and other diagnostic approaches Sept 2012",KT15 3NB,,Exempt,00000000,Expense,,
DEFRA,DEFRA,25/09/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-504823-40957," Ł49,578.50 ",Maintenance of a Transmissible Spongiform Encephalopathies - free sheep flock after importation from New Zealand - Sept 2012,KT15 3NB,,exempt,00000000,Expense,,
DEFRA,DEFRA,18/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,B B S R C,14005," Ł26,494.74 ",12th claim - Trade and Aquatic Health - bTB Evidence Plan - Other Current Payments,SN2 1UH,,Exempt,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Warwick,ERS-504915-40852," Ł132,625.00 ",Optimisation of sampling strategies for improving sensitivity of M. bovis detection  - 2011/12,CV4 7AL,,Exempt,00000000,Expense,,
DEFRA,DEFRA,25/09/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-504879-40969," Ł134,403.08 ",Continued vaccine development: Improving BCG and developing non-sensitising vaccines for cattle - Sept 2012,KT15 3NB,,Exempt,00000000,Expense,,
DEFRA,DEFRA,25/09/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-504827-40958," Ł51,067.16 ",Studies of natural and experimental Transmissible Spongiform Encephalopathies - Sept 2012,KT15 3NB,,exempt,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Imperial College London,ERS-504913-40874," Ł33,529.50 ",Transmission modelling and cost-effectiveness analysis of cattle vaccination at a herd level - 2011/12,SW7 2AZ,,exempt,00000000,Expense,,
DEFRA,DEFRA,25/09/2012,Current Subsidies To Public Corporations,Policy Delivery DG,Canal & River Trust,140912," Ł7,700,000.00 ",Internal Rate of Return on British Waterways Assets for April - June 2012,MK9 1BB,,17164,00000000,Expense,,
DEFRA,DEFRA,25/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Centre For Ecology & Hydrology,ERS-504773-40854," Ł29,005.00 ",2012/13- Operation of the UK Eutrophying and Acidifying Atmospheric Pollutants (UKEAP),SN2 1EU,,Exempt,AQRDXXXX,Expense,,
DEFRA,DEFRA,20/09/2012,Evidence Non R&D,Policy Delivery DG,Extrium Ltd,0204DEFRA," Ł100,954.75 ",Accoustic Modelling/Geography Information system (GIS) Advisory Contract,TN1 2TU,SME,10965/4,00000000,Expense,,
DEFRA,DEFRA,14/09/2012,Evidence Non R&D,Policy Delivery DG,Bureau Veritas UK Ltd,12016671," Ł175,558.00 ",Central Management Coordination unit of the Automatic Urban and Rural Network,SE1 2TX,,10892,AQNONRDX,Expense,,
DEFRA,DEFRA,26/09/2012,Evidence Non R&D,Policy Delivery DG,Extrium Ltd,0206DEFRA," Ł122,130.96 ",Accoustic Modelling/Geography Information system (GIS) Advisory Contract,TN1 2TU,SME,10965/4,00000000,Expense,,
DEFRA,DEFRA,14/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A E A Technology plc,6149210," Ł29,510.00 ",Eutrophying and Acidfying Atmospheric Pollutants ,OX11 0QR,SME,exempt,AQRDXXXX,Expense,,
DEFRA,DEFRA,14/09/2012,Evidence Non R&D,Policy Delivery DG,A E A Technology plc,6149261," Ł77,848.00 ",Variation  Quality assurance/Quality Control services for the Automatic Urban and Rural monitoring Network,OX11 0QJ,SME,10897,AQNONRDX,Expense,,
DEFRA,DEFRA,24/09/2012,Payments to Agencies UK,Policy Delivery DG,Natural England,8000009054," Ł55,500.00 ",Grants: Defra programme income:- Adapting to Climate Change programme ,YO1 7PX,,exempt,RESCOORD,Expense,,
DEFRA,DEFRA,14/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,H R Wallingford Ltd,CN002444A," Ł73,906.80 ",Credit note regarding Contract for HR Wallingford to deliver UK Climate Change Risk Assessment (FY 2011/12),OX10 8BA,SME,,CCRASSMT,Expense,,
DEFRA,DEFRA,10/09/2012,Evidence Non R&D,Policy Delivery DG,SKM Enviros,JW02540," Ł28,915.36 ",WasteDataFlow administration and management,CB3 6DP,,13908,00000000,Expense,,
DEFRA,DEFRA,24/09/2012,Overhead Incidental Expenses,Policy Delivery DG,Vehicle Certification Agency,SIAR168690," Ł60,427.00 ",Enforcement of Batteries Regulations,BS5 6XX,SME,exempt,00000000,Expense,,
DEFRA,DEFRA,12/09/2012,Current Grants - Local Authorities,Policy Delivery DG,Isles of Scilly AONB,0000031410," Ł528,000.00 ",Grant Payment to Isles of Scilly (Second instalment),TR21 0LW,,16250,00000000,Expense,,
DEFRA,DEFRA,14/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,UK Water Industry Research Ltd,S463," Ł32,890.00 ",Access to UK Water Industry Research's Toxicity Datasheets and Microsheets Project,SW1H 9BT,SME,Exempt,00000000,Expense,,
DEFRA,DEFRA,24/09/2012,Other Current Payments E,Policy Delivery DG,The Planning Inspectorate,1800000091," Ł96,096.99 ",Planning Inspectorate Casework Rights of Way (ROW) 2 and Schedule 14 for 2012-13,BS1 6PN,,16627,00000000,Expense,,
DEFRA,DEFRA,06/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Ministry Of Justice,10RL110137," Ł25,000.00 ",Memorandum of Understanding (MOU) with Lawe Commission for Conservation Covenants Project - Quarter One 2012/13,NP20 9FN,,Exempt,00000000,Expense,,
DEFRA,DEFRA,24/09/2012,Other Current Payments E,Policy Delivery DG,The Planning Inspectorate,1800000090," Ł233,928.00 ",Commons Land Staff Costs 2012/13,HP2 4XN,,Exempt,00000000,Expense,,
