"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",48,20.00,Legal Services Admin - Subsistence Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence UK,Business & Skills Group - Skills Directorate,"Personal Expense, Name Witheld",49,3.67,B&S Devolved Admin - Subsistence UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Business & Skills Group - Skills Directorate,"Personal Expense, Name Witheld",49,8.29,B&S Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",50,8.40,K&I Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",51,9.55,K&I Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Rail Travel UK,Finance & Commercial Group - F&C - Internal Audit,"Personal Expense, Name Witheld",52,26.85,F&C Devolved Admin - Rail Travel UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Finance & Commercial Group - F&C - Internal Audit,"Personal Expense, Name Witheld",52,8.80,F&C Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Mileage Allowance Overseas,Knowledge & Innovation Group - KIG - DG/Finance & Corporate Planning,"Personal Expense, Name Witheld",53,2.50,K&I Devolved Admin - Mileage Allowance Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Knowledge & Innovation Group - KIG - DG/Finance & Corporate Planning,"Personal Expense, Name Witheld",53,5.00,K&I Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",54,74.25,Legal Services Admin - Mileage Allowance UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",54,2.50,Legal Services Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Knowledge & Innovation Group - KIG - Higher Education,"Personal Expense, Name Witheld",55,13.70,K&I Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Hotel & Accommodation UK,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",56,63.94,ECO - Non Proliferation Awareness Seminars - Hotel & Accommodation UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence UK,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",56,51.25,ECO - Non Proliferation Awareness Seminars - Subsistence UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence UK,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",56,20.00,ECO - Non Proliferation Awareness Seminars - Subsistence UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Mileage Allowance UK,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",56,57.15,ECO - Non Proliferation Awareness Seminars - Mileage Allowance UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",56,14.82,ECO - Non Proliferation Awareness Seminars - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",56,97.80,ECO - Non Proliferation Awareness Seminars - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Rail Travel UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",57,12.80,Legal Services Admin - Rail Travel UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",57,38.60,Legal Services Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/22/2013,Mileage Allowance UK,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",58,13.50,ECO - Non Proliferation Awareness Seminars - Mileage Allowance UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Taxi Services UK,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",59,44.00,K&I Devolved Admin - Taxi Services UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",59,8.00,K&I Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Taxi Services UK,"Strategy, Analysis and Better Regulation - SABR - Better Regulation Executive (BRE)","Personal Expense, Name Witheld",60,45.60,SABR Devolved Admin - Taxi Services UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",61,227.25,Legal Services Admin - Mileage Allowance UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",61,9.48,Legal Services Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",61,2.20,Legal Services Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Hotel & Accommodation Overseas,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",62,133.12,K&I Devolved Admin - Hotel & Accommodation Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence Overseas,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",62,44.01,K&I Devolved Admin - Subsistence Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Taxi Services Overseas,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",63,14.02,K&I Devolved Admin - Taxi Services Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Hotel & Accommodation Overseas,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",63,81.32,K&I Devolved Admin - Hotel & Accommodation Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/29/2013,Taxi Services UK,Knowledge & Innovation Group - KIG - Higher Education,"Personal Expense, Name Witheld",64,26.90,K&I Devolved Admin - Taxi Services UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/29/2013,Other Travel,Knowledge & Innovation Group - KIG - Higher Education,"Personal Expense, Name Witheld",64,4.85,K&I Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",65,251.55,Legal Services Admin - Mileage Allowance UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",65,11.28,Legal Services Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",65,1.00,Legal Services Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Postage,Markets and Local Growth - MLG - BIS Local,"Personal Expense, Name Witheld",66,32.44,MLG Devolved Admin - Postage,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Mileage Allowance UK,Markets and Local Growth - MLG - BIS Local,"Personal Expense, Name Witheld",66,533.08,MLG Devolved Admin - Mileage Allowance UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Mileage Allowance Overseas,Markets and Local Growth - MLG - BIS Local,"Personal Expense, Name Witheld",66,66.80,MLG Devolved Admin - Mileage Allowance Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Markets and Local Growth - MLG - BIS Local,"Personal Expense, Name Witheld",66,4.79,MLG Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Hospitality - UK,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",67,519.47,K&I Devolved Admin - Hospitality - UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/22/2013,Mileage Allowance UK,Finance & Commercial Group - F&C - Commercial Directorate,"Personal Expense, Name Witheld",69,52.20,F&C Devolved Admin - Mileage Allowance UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Postage,Legal Services - Legal Services,"Personal Expense, Name Witheld",70,15.60,Legal Services Admin - Postage,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",70,355.50,Legal Services Admin - Mileage Allowance UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Mileage Allowance Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",70,7.90,Legal Services Admin - Mileage Allowance Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",70,12.56,Legal Services Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",70,9.20,Legal Services Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/22/2013,Mileage Allowance UK,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",72,148.50,ECO - Non Proliferation Awareness Seminars - Mileage Allowance UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence UK,Markets and Local Growth - MLG - Regional Growth Fund & Legacy,"Personal Expense, Name Witheld",73,3.30,MLG Devolved Admin - Subsistence UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Mileage Allowance UK,Markets and Local Growth - MLG - Regional Growth Fund & Legacy,"Personal Expense, Name Witheld",73,309.60,MLG Devolved Admin - Mileage Allowance UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Markets and Local Growth - MLG - Regional Growth Fund & Legacy,"Personal Expense, Name Witheld",73,11.79,MLG Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Markets and Local Growth - MLG - Regional Growth Fund & Legacy,"Personal Expense, Name Witheld",73,11.00,MLG Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Rail Travel Overseas,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",74,15.76,K&I Devolved Admin - Rail Travel Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence Overseas,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",74,23.15,K&I Devolved Admin - Subsistence Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence Overseas,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",74,11.58,K&I Devolved Admin - Subsistence Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",74,2.40,K&I Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Mileage Allowance Overseas,"People, Comminications and Effectiveness Group - PCE - Human Resources","Personal Expense, Name Witheld",75,13.70,PCCE Devolved Admin - Mileage Allowance Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Other Travel,"People, Comminications and Effectiveness Group - PCE - Human Resources","Personal Expense, Name Witheld",75,4.05,PCCE Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Mileage Allowance Overseas,"People, Comminications and Effectiveness Group - PCE - Human Resources","Personal Expense, Name Witheld",76,13.70,PCCE Devolved Admin - Mileage Allowance Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Other Travel,"People, Comminications and Effectiveness Group - PCE - Human Resources","Personal Expense, Name Witheld",76,4.85,PCCE Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Taxi Services UK,Markets and Local Growth - MLG - Local Growth Directorate,"Personal Expense, Name Witheld",78,9.00,MLG Devolved Admin - Taxi Services UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Hotel & Accommodation UK,Markets and Local Growth - MLG - Local Growth Directorate,"Personal Expense, Name Witheld",78,5.00,MLG Devolved Admin - Hotel & Accommodation UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Markets and Local Growth - MLG - Local Growth Directorate,"Personal Expense, Name Witheld",78,12.00,MLG Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/28/2013,Other Travel,Markets and Local Growth - MLG - Labour Market,"Personal Expense, Name Witheld",79,9.24,MLG Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/22/2013,Rail Travel UK,Markets and Local Growth - MLG - BIS Local,"Personal Expense, Name Witheld",80,75.00,MLG Devolved Admin - Rail Travel UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/22/2013,Mileage Allowance UK,Markets and Local Growth - MLG - BIS Local,"Personal Expense, Name Witheld",80,180.90,MLG Devolved Admin - Mileage Allowance UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/22/2013,Mileage Allowance Overseas,Markets and Local Growth - MLG - BIS Local,"Personal Expense, Name Witheld",80,2.50,MLG Devolved Admin - Mileage Allowance Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/22/2013,Other Travel,Markets and Local Growth - MLG - BIS Local,"Personal Expense, Name Witheld",80,13.25,MLG Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Rail Travel UK,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",81,13.00,ECO - Non Proliferation Awareness Seminars - Rail Travel UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Hotel & Accommodation UK,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",81,93.95,ECO - Non Proliferation Awareness Seminars - Hotel & Accommodation UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence UK,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",81,13.50,ECO - Non Proliferation Awareness Seminars - Subsistence UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence UK,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",81,5.00,ECO - Non Proliferation Awareness Seminars - Subsistence UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Mileage Allowance UK,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",81,85.50,ECO - Non Proliferation Awareness Seminars - Mileage Allowance UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",81,23.76,ECO - Non Proliferation Awareness Seminars - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",81,147.10,ECO - Non Proliferation Awareness Seminars - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Taxi Services UK,Government Office for Science - GOS - Government Office for Science,"Personal Expense, Name Witheld",82,13.00,Default - Taxi Services UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Other Travel,Government Office for Science - GOS - Government Office for Science,"Personal Expense, Name Witheld",82,4.20,Default - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Taxi Services UK,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",83,29.00,ECO - Non Proliferation Awareness Seminars - Taxi Services UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence UK,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",83,7.68,ECO - Non Proliferation Awareness Seminars - Subsistence UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Markets and Local Growth - MLG - Europe Trade & International Directorate,"Personal Expense, Name Witheld",83,74.90,ECO - Non Proliferation Awareness Seminars - Other Travel,SW1H 0ET,EMPLOYEE
