Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,  Amount  ,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,REDCAR AND CLEVELAND PCT,PUBLIC,TS14 7AA,HAFS-15076,"24,400,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,RICHMOND AND TWICKENHAM PCT,PUBLIC,KT5 9AL,HAFS-15077,"24,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,ROTHERHAM PCT,PUBLIC,S66 1YY,HAFS-15078,"36,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SALFORD PCT,PUBLIC,M6 5FW,HAFS-15079,"37,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SANDWELL PCT,PUBLIC,B70 9LD,HAFS-15080,"45,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SEFTON PCT,PUBLIC,L13 1HN,HAFS-15081,"48,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SHEFFIELD PCT,PUBLIC,S9 4EU,HAFS-15082,"84,200,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SHROPSHIRE COUNTY PCT,PUBLIC,SY3 8XL,HAFS-15083,"38,958,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOLIHULL PCT,PUBLIC,B91 3EF,HAFS-15084,"25,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOMERSET PCT,PUBLIC,WF3 1WE,HAFS-15085,"75,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH BIRMINGHAM PCT,PUBLIC,B7 4WS,HAFS-15086,"49,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH CENTRAL SHA,PUBLIC,WF3 1WE,HAFS-15087,"26,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH EAST COAST SHA,PUBLIC,RH6 7DE,HAFS-15088,"15,900,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH EAST ESSEX PCT,PUBLIC,SS2 6HE,HAFS-15089,"56,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH GLOUCESTERSHIRE PCT,PUBLIC,BS1 2NP,HAFS-15090,"27,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH STAFFORDSHIRE PCT,PUBLIC,WS15 1UL,HAFS-15091,"69,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH TYNESIDE PCT,PUBLIC,NE33 3DP,HAFS-15092,"22,800,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH WEST ESSEX PCT,PUBLIC,SS14 3HG,HAFS-15093,"56,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH WEST SHA,PUBLIC,WF3 1WE,HAFS-15094,"35,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTHAMPTON CITY PCT,PUBLIC,SO30 3JB,HAFS-15095,"30,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTHWARK PCT,PUBLIC,SE1 7NT,HAFS-15096,"45,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOCKPORT PCT,PUBLIC,SK7 5BY,HAFS-15097,"34,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOCKTON-ON-TEES TEACHING PCT,PUBLIC,TS17 6SF,HAFS-15098,"24,100,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOKE ON TRENT PCT,PUBLIC,ST4 4LX,HAFS-15099,"39,741,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SUFFOLK PCT,PUBLIC,IP3 8LS,HAFS-15100,"70,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SUNDERLAND TEACHING PCT,PUBLIC,NE37 1PR,HAFS-15101,"44,100,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SURREY PCT,PUBLIC,KT16 0QA,HAFS-15102,"133,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SUTTON AND MERTON PCT,PUBLIC,WF3 1WE,HAFS-15103,"49,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SWINDON PCT,PUBLIC,SN10 5EQ,HAFS-15104,"27,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TAMESIDE AND GLOSSOP PCT,PUBLIC,M34 2GP,HAFS-15105,"34,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TELFORD & WREKIN PCT,PUBLIC,SY3 8XL,HAFS-15106,"18,587,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TORBAY PCT,PUBLIC,TQ9 6JE,HAFS-15107,"18,750,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TOWER HAMLETS PCT,PUBLIC,E1 1RD,HAFS-15108,"69,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TRAFFORD PCT,PUBLIC,M16 0PQ,HAFS-15109,"33,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WAKEFIELD DISTRICT PCT,PUBLIC,WF3 1WE,HAFS-15110,"48,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WALSALL TEACHING PCT,PUBLIC,WS4 2BX,HAFS-15111,"32,400,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WALTHAM FOREST PCT,PUBLIC,WF3 1WE,HAFS-15112,"35,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WANDSWORTH TEACHING PCT,PUBLIC,WF3 1WE,HAFS-15113,"40,700,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WARRINGTON PCT,PUBLIC,WF3 1WE,HAFS-15114,"24,200,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WARWICKSHIRE PCT,PUBLIC,CV34 4DE,HAFS-15115,"65,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST ESSEX PCT,PUBLIC,CM16 6TN,HAFS-15116,"30,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST KENT PCT,PUBLIC,ME20 7NJ,HAFS-15117,"80,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST MIDLANDS SHA,PUBLIC,B16 9RG,HAFS-15118,"28,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST SUSSEX PCT,PUBLIC,WF3 1WE,HAFS-15119,"115,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WESTERN CHESHIRE PCT,PUBLIC,CH2 1HU,HAFS-15120,"37,400,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WESTMINSTER PCT,PUBLIC,BS1 2NP,HAFS-15121,"42,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WILTSHIRE PCT,PUBLIC,SN10 5EQ,HAFS-15122,"52,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WIRRAL PCT,PUBLIC,CH42 0LQ,HAFS-15123,"50,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WOLVERHAMPTON CITY PCT,PUBLIC,WV3 0UD,HAFS-15124,"39,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WORCESTERSHIRE PCT,PUBLIC,WR4 9RW,HAFS-15125,"53,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,YORKSHIRE & THE HUMBER SHA,PUBLIC,LS1 4PL,HAFS-15126,"75,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,"ASHTON, LEIGH & WIGAN PCT",PUBLIC,WN1 1AH,HAFS-15127,"62,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARKING AND DAGENHAM PCT,PUBLIC,IG11 8EY,HAFS-15128,"30,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARNET PCT,PUBLIC,NW9 6QQ,HAFS-15129,"61,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARNSLEY PCT,PUBLIC,S70 3RD,HAFS-15130,"37,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BASSETLAW PCT,PUBLIC,NG21 0ER,HAFS-15131,"15,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BATH & NORTH EAST SOMERSET PCT,PUBLIC,BA2 5RP,HAFS-15132,"22,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BEDFORDSHIRE PCT,PUBLIC,MK40 2AW,HAFS-15133,"36,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BERKSHIRE EAST PCT,PUBLIC,RG30 2BA,HAFS-15134,"47,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BERKSHIRE WEST PCT,PUBLIC,RG30 2BA,HAFS-15135,"59,300,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BEXLEY CARE TRUST,PUBLIC,DA5 2BW,HAFS-15136,"28,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BIRMINGHAM EAST AND NORTH PCT,PUBLIC,B7 4WE,HAFS-15137,"61,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,PUBLIC,BB1 2EE,HAFS-15138,"21,967,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BLACKPOOL PCT,PUBLIC,PR4 3AL,HAFS-15139,"24,853,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BOLTON PCT,PUBLIC,B11 1PP,HAFS-15140,"39,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BOURNEMOUTH & POOLE PCT,PUBLIC,BH12 5AG,HAFS-15141,"47,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRADFORD AND AIREDALE PCT,PUBLIC,WF3 1WE,HAFS-15142,"59,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRENT TEACHING PCT,PUBLIC,HA0 4UZ,HAFS-15143,"45,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRIGHTON & HOVE CITY TEACHING PCT,PUBLIC,WF3 1WE,HAFS-15144,"51,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRISTOL PCT,PUBLIC,BS2 8EE,HAFS-15145,"55,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BROMLEY PCT,PUBLIC,WF3 1WE,HAFS-15146,"40,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BUCKINGHAMSHIRE PCT,PUBLIC,HP19 8ET,HAFS-15147,"52,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BURY PCT,PUBLIC,BL9 0EN,HAFS-15148,"24,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CALDERDALE PCT,PUBLIC,WF3 1WE,HAFS-15149,"30,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CAMBRIDGESHIRE PCT,PUBLIC,PE27 5BB,HAFS-15150,"70,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CAMDEN PCT,PUBLIC,NW1 0PE,HAFS-15151,"69,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CENTRAL & EASTERN CHESHIRE PCT,PUBLIC,CW5 5QU,HAFS-15152,"55,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CENTRAL LANCASHIRE PCT,PUBLIC,PR26 6TR,HAFS-15153,"66,250,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CITY AND HACKNEY TEACHING PCT,PUBLIC,E1 1RD,HAFS-15154,"34,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CORNWALL & ISLES OF SCILLY PCT,PUBLIC,PL25 5AS,HAFS-15155,"76,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,COUNTY DURHAM PCT,PUBLIC,DL14 6WA,HAFS-15156,"68,483,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,COVENTRY TEACHING PCT,PUBLIC,CV1 2GQ,HAFS-15157,"28,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CROYDON PCT,PUBLIC,CR0 6SR,HAFS-15158,"52,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CUMBRIA PCT,PUBLIC,CA2 7HX,HAFS-15159,"62,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,DARLINGTON PCT,PUBLIC,DL14 6WA,HAFS-15160,"11,189,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,DERBY CITY PCT,PUBLIC,WF3 1WE,HAFS-15161,"35,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,DERBYSHIRE COUNTY PCT,PUBLIC,S41 7PF,HAFS-15162,"103,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,DEVON PCT,PUBLIC,TQ12 4PH,HAFS-15163,"104,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,DONCASTER PCT,PUBLIC,DN4 5DJ,HAFS-15164,"42,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,DORSET PCT,PUBLIC,DT2 9TB,HAFS-15165,"55,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,DUDLEY PCT,PUBLIC,DY2 8PP,HAFS-15166,"38,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,EALING PCT,PUBLIC,UB2 4SA,HAFS-15167,"55,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,EAST LANCASHIRE PCT,PUBLIC,BB9 5SZ,HAFS-15168,"51,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,EAST MIDLANDS SHA,PUBLIC,WF3 1WE,HAFS-15169,"40,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,EAST OF ENGLAND SHA,PUBLIC,CB1 5XB,HAFS-15170,"50,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,EAST RIDING OF YORKSHIRE PCT,PUBLIC,HU10 6DT,HAFS-15171,"39,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,EAST SUSSEX DOWNS & WEALD PCT,PUBLIC,BN21 3UN,HAFS-15172,"55,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,EASTERN & COASTAL KENT PCT,PUBLIC,CT1 3NG,HAFS-15173,"100,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,ENFIELD PCT,PUBLIC,EN1 1NJ,HAFS-15174,"47,300,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,GATESHEAD PCT,PUBLIC,NE11 0NB,HAFS-15175,"29,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,GLOUCESTERSHIRE PCT,PUBLIC,GL2 8DN,HAFS-15176,"80,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,GREAT YARMOUTH AND WAVENY PCT,PUBLIC,NR31 0LT,HAFS-15177,"32,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,GREENWICH TEACHING PCT,PUBLIC,SE10 8EX,HAFS-15178,"44,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HALTON & ST HELENS PCT,PUBLIC,WA10 2AP,HAFS-15179,"50,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HAMMERSMITH AND FULHAM PCT,PUBLIC,WF3 1WE,HAFS-15180,"27,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HAMPSHIRE PCT,PUBLIC,WF3 1WE,HAFS-15181,"123,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HARINGEY TEACHING PCT,PUBLIC,N15 3TH,HAFS-15182,"35,400,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HARROW PCT,PUBLIC,HA1 3EX,HAFS-15183,"30,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HARTLEPOOL PCT,PUBLIC,TS7 0NJ,HAFS-15184,"13,290,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HASTINGS & ROTHER PCT,PUBLIC,TN40 2DZ,HAFS-15185,"25,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HAVERING PCT COMMISSIONING,PUBLIC,RM12 6RS,HAFS-15186,"18,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,HAFS-15187,"5,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEALTH RESEARCH AUTHORITY,PUBLIC,SE1 6LH,HAFS-15188,"3,060,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEART OF BIRMINGHAM TEACHING PCT,PUBLIC,B7 4WH,HAFS-15189,"42,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEREFORDSHIRE PCT,PUBLIC,HR2 9RP,HAFS-15190,"20,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HERTFORDSHIRE PCT,PUBLIC,AL8 6JL,HAFS-15191,"145,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEYWOOD MIDDLETON & ROCHDALE PCT,PUBLIC,M24 1AY,HAFS-15192,"34,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HILLINGDON PCT,PUBLIC,TW3 3HR,HAFS-15193,"53,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HOUNSLOW PCT,PUBLIC,UB2 4SA,HAFS-15194,"32,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HULL PCT,PUBLIC,HU1 3HA,HAFS-15195,"42,300,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,ISLE OF WIGHT NHS PCT,PUBLIC,PO30 5TG,HAFS-15196,"23,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,ISLINGTON PCT,PUBLIC,NW1 2LT,HAFS-15197,"31,400,000.00",,Other,
