Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Latest Contract Number
,,05/10/2016,Rates,DG: GROUP OPERATIONS,READING BOROUGH COUNCIL,51134617.22.02.2016,27211,"Premier House - Business Rates FY2016-2017 - Qtr1 £27,210, Qtr2 £27,211, Qtr3 £27,211 & Qtr4 £27,211.",RG1 7TD,,,PUBLIC,
,,05/10/2016,Rates,DG: GROUP OPERATIONS,LEEDS CITY COUNCIL,901349235-OCT-DEC 2016,47115,"Blenheim House - Pt Grd, 1st, 2nd & 3rd Floors Business Rates FY2016-2017 - Qtr1£60,756.50, Qtr2 £60,759, Qtr3 £60,759 & Qtr4 £20,253.",LS1 1UR,,,PUBLIC,
,,05/10/2016,Rates,DG: GROUP OPERATIONS,LEEDS CITY COUNCIL,901349235-OCT-DEC 2016,13644,"Blenheim House - Pt Ground Floor - Business Rates FY2016-2017 - Qtr1 £13,639.50, Qtr2 £13,644, Qtr3 £13,644 & Qtr4 £4,548.",LS1 1UR,,,PUBLIC,
,,05/10/2016,Rates,DG: GROUP OPERATIONS,WESTMINSTER CITY COUNCIL,400871826-OCT-DEC2016,511830,"Richmond House -  Business Rates FY2016 -2017 @ £511,830 Qtr ly - Property Ref: 400871826",WC2N 6NU,,,PUBLIC,
,,05/10/2016,Rates,DG: GROUP OPERATIONS,LAMBETH LONDON BOROUGH COUNCIL,325683913-OCT- DEC 2016,333465,"Wellington House -  Business rates FY2016-2017 @ £333,465 Qtrly - Property Ref 325683913",SW2 1RW,,,PUBLIC,
,,05/10/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,038005,8450000,Support to North Middlesex University Hospital NHS Trust for the Provision of Health Services,N18 1QX,,,PUBLIC,
,,05/10/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",GENESIS PHARMACEUTICALS LTD,57594,317218.66,,,,,SME,
,,05/10/2016,Policy Payments,"DG: INNOVATION, GROWTH & TECHNOLOGY",EASTERN HEALTH AND SOCIAL SERVICES BOARD (EHSSB),Q2 2016 HISTORIC CASH PAYMENTS,409939.35,Northern Ireland Apportionment of Q2 2016 HCP & Income under the 2009 PPRS,BT2 8BS,,,PUBLIC,
,,05/10/2016,Policy Payments,"DG: INNOVATION, GROWTH & TECHNOLOGY",EASTERN HEALTH AND SOCIAL SERVICES BOARD (EHSSB),Q2 2016 PPRS PAYMENTS,6432705.82,Apportionment of Q2 2016 PPRS Payments for Northern Ireland,BT2 8BS,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE CHRISTIE NHS FOUNDATION TRUST,ERS-562868-127982,70704,HTA - Support for Clinical Trials,M20 4BX,,,PUBLIC,
,,05/10/2016,Outsourcing Contract,DG: RESEARCH & DEVELOPMENT,Research Fish Ltd,INV-20160623,6000,NHS CfH - Research Capability Programme ( E-health ),CB4 0WS,,,SME,
,,05/10/2016,Outsourcing Contract,DG: RESEARCH & DEVELOPMENT,Research Fish Ltd,INV-20160623,54000,NHS CfH - Research Capability Programme ( E-health ),CB4 0WS,,,SME,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CAMBRIDGE UNIVERSITY OF,ERS-562849-127990,35087,Cancer - Prostate,CB2 1TN,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,BRISTOL UNIVERSITY OF,ERS-562850-127989,55495,Cancer - Prostate,BS8 1TH,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,YORK UNIVERSITY OF,ERS-562852-128012,61250,HTA - Support for Clinical Trials,YO10 5DD,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,QUEEN MARY UNIVERSITY OF LONDON,ERS-562853-128008,70000,HTA - Support for Clinical Trials,E1 2AX,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,PLYMOUTH UNIVERSITY OF,ERS-562854-128007,26250,HTA - Support for Clinical Trials,PL4 8AA,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,SOUTHAMPTON UNIVERSITY OF,ERS-562855-128010,35000,HTA - Support for Clinical Trials,SO17 1BJ,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,OXFORD UNIVERSITY OF,ERS-562861-128005,51245,Cancer - Prostate,OX1 2XN,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,LEICESTER UNIVERSITY OF,ERS-562865-128001,42500,HTA - Support for Clinical Trials,LE1 7RH,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,DUNDEE UNIVERSITY OF,ERS-562866-127993,25562.42,HTA Commissioned Research,DD1 4HN,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,KINGS COLLEGE LONDON,ERS-562867-127999,76250,HTA - Support for Clinical Trials,SE1 8WA,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,KEELE UNIVERSITY OF,ERS-562869-127998,28574,HTA - Support for Clinical Trials,ST5 5BG,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-562870-127995,43750,HTA - Support for Clinical Trials,WC1E 7HT,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY COLLEGE LONDON UCL,ERS-562872-128002,87500,HTA - Support for Clinical Trials,WC1E 6BT,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,OXFORD UNIVERSITY OF,ERS-562873-128006,103750,HTA - Support for Clinical Trials,OX1 2XN,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NEWCASTLE UNIVERSITY,ERS-562874-128004,78750,HTA - Support for Clinical Trials,NE1 7RU,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CAMBRIDGE UNIVERSITY OF,ERS-562875-127991,44831.85,HTA - Support for Clinical Trials,CB2 1TN,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,BIRMINGHAM UNIVERSITY OF,ERS-562876-127988,112500,HTA - Support for Clinical Trials,B15 2TT,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,MANCHESTER UNIVERSITY OF,ERS-562880-128003,30091.27,Cochrane Review Groupss(CRG),M13 9PL,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,EAST ANGLIA UNIVERSITY OF,ERS-562882-127994,51250,HTA - Support for Clinical Trials,NR4 7TJ,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CITY UNIVERSITY LONDON,ERS-562883-127992,48279,NIHR Fellowships,EC1V 0HB,,,PUBLIC,
,,05/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CANCER RESEARCH UK,ERS-562860-128013,57090.5,Cancer Programme,EC1V 4AD,,,VCS,
,,05/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",SEEABILITY,ERS-562848-127961,32767,IESD 2016-17 SeeAbility AIMS Ref 54164858,KT17 1BL,,,LARGE,
,,06/10/2016,Estate management: contract,DG: GROUP OPERATIONS,WEL Medical LTD,I212501,29415,Defibrillators - AEDs for the DH HQ buildings.   (NHS Supply Chain's National Framework Agreement for defibrillators Unigue Reference Number - MDC 1701 DEF 16) ,GU11 1SG,,,SME,
,,06/10/2016,Rates,DG: GROUP OPERATIONS,SOUTHWARK LONDON BOROUGH COUNCIL,6323717SKIPTON,563530,"Skipton House - Business Rates FY2016-2017 - @ £563,530 Qtrly - Property Ref: 400871826",SE17 1RX,,,PUBLIC,
,,06/10/2016,DH Support to Mergers,DG: Holding CT Core,ROYAL FREE LONDON NHS FOUNDATION TRUST,I0129964,1680000,Implementation of Barnet and Chase Farm Operational Efficiency,NW3 2QG,,,PUBLIC,
,,06/10/2016,Additions-other equity,"DG: INNOVATION, GROWTH & TECHNOLOGY",GENOMICS ENGLAND LTD,GEL EQUITY,40000000,,EC1M,,,PUBLIC,
,,06/10/2016,Policy Payments,"DG: INNOVATION, GROWTH & TECHNOLOGY",SCOTTISH GOVERNMENT,PPRSQ2,959522.78,Scotland Apportionment of Q2 2016 HCP and Income under the 2009 PPRS,EH6 6QQ,,,PUBLIC,
,,06/10/2016,Policy Payments,"DG: INNOVATION, GROWTH & TECHNOLOGY",WELSH ASSEMBLY GOVERNMENT,PPRSQ2,555978.87,Wales Apportionment of Q2 2016 HCP & Income under the 2009 PPRS,CF10 3NQ,,,PUBLIC,
,,06/10/2016,Policy Payments,"DG: INNOVATION, GROWTH & TECHNOLOGY",SCOTTISH GOVERNMENT,PPRSQ22016,15056685.07,Apportionment of Q2 2016 PPRS Payments for Scotland,EH6 6QQ,,,PUBLIC,
,,06/10/2016,Policy Payments,"DG: INNOVATION, GROWTH & TECHNOLOGY",WELSH ASSEMBLY GOVERNMENT,PPRSQ22016,8724335.66,Apportionment of Q2 PPRS Payments for Wales,CF10 3NQ,,,PUBLIC,
,,06/10/2016,IT minor costs non capital,DG: PUBLIC & INTERNATIONAL HEALTH,SAPIENT LTD,42486,22915.32,"ANS 2 Project costs including: System testing – to ensure that the new system works as intended and any defects are identified and rectified. •	Penetration Testing – testing to ensure that the system is secure, data is stored in line with",E1 6DU,,,LARGE,
,,06/10/2016,Provisions cash payment,DG: PUBLIC & INTERNATIONAL HEALTH,THE EILEEN TRUST,ET-2/2016-17,48173.75,Eileen Trust funding 2016-17,SW1H 0QS,,,VCS,
,,06/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-562959-128501,26453,Research for Patient Benefit,SE5 9RS,,,PUBLIC,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",THE NATIONAL CARE FORUM,ERS-562935-128301,37132,2016/011 SPP015 The National Care Forum Strategic Partner 16/17,CV1 2DY,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",NATIONAL HOUSING FEDERATION,ERS-562926-128221,45000,2016/011 SPP011 National Housing Federation Strategic Partner 16/17,WC1V 6NY,,,SME,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",NACRO,ERS-562922-128181,45250,2016/011 SPP009 Nacro - 2016/17 Strategic Partner,B6 4US,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",THE FIT FOR WORK TEAM,ERS-562919-128121,45250,2016/011 SPP006 Voluntary Action Leicestershire Strategic Partner 2016/17,LE1 5SN,,,SME,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",ASSOCIATION FOR YOUNG PEOPLES HEALTH AYPH,ERS-562943-128461,45250,2016/011 SPP022 Association for Young Peoples Health - Strategic Partner 2016/17,SE1 0EH,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",DISABILITY RIGHTS UK,ERS-562942-128441,45250,2016/011 SPP021 Disability Rights - Strategic Partner 16/17,N1 6AH,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",WOMEN'S RESOURCE CENTRE,ERS-562941-128421,45250,2016/011 SPP020 Women's Resource Centre - Strategic Partner 2016/17,N7 9DP,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",VOLUNTEERING MATTERS,ERS-562940-128401,47500,2016/011 SPP003 Volunteering Matters - Strategic Partner 16/17,N1 9NJ,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",UK HEALTH FORUM,ERS-562939-128381,50000,2016/011 SPP019 UK Health Forum - Strategic Partner 16/17,EC4Y 8JX,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",VOLUNTARY ORGANISATION NETWORK NORTH EAST (VONNE),ERS-562938-128361,49797,2016/011 SPP018 Voluntary Organisations Network North East - Strategic Partner 16/17,NE1 6SU,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",RACE EQUALITY FOUNDATION,ERS-562937-128341,45250,2016/011 SPP017 Race Equality Foundation - Strategic Partner 16/17,NW5 1LB,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",THE NATIONAL COUNCIL FOR PALLIATIVE CARE,ERS-562936-128321,45135,2016/011 SPP016 The National Council for Palliative Care - Strategic Partner 2016/17,N7 9AS,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",NATIONAL ASSOCIATION OF VOLUNTARY AND COMMUNITY ACTION,ERS-562930-128281,45250,2016/011 SPP014 National Association for Voluntary and Community Action Strategic Partner 16/17,S1 4QL,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",NATIONAL VOICES,ERS-562929-128261,50000,2016/011 SPP013 National Voices - Strategic Partner 16/17,EC4Y 8EE,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",LGBT Foundation,ERS-562928-128241,46500,2016/011 SPP012 LGBT Foundation - Strategic Partner 2016/17,M1 3HF,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",NATIONAL CHILDRENS BUREAU LTD,ERS-562923-128201,45187,2016/011 SPP010 National Children's Bureau - Strategic Partner 16/17,EC1V 7QE,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",MENTAL HEALTH PROVIDERS FORUM,ERS-562921-128161,45250,2016/011 SPP008 Mental Health Providers Forum - Strategic Partner 16/17,EC1V 9BE,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",THE MENS HEALTH FORUM,ERS-562920-128141,46250,2016/011 SPP007 Men's Health Forum - Strategic Partner 16/17,SE1 0EH,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",LIFELINE COMMUNITY PROJECTS,ERS-562918-128101,45432,2016/011 SPP005 Lifeline Community Projects - Strategic Partner 16/17,RM8 3QS,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",ROYAL MENCAP SOCIETY,ERS-562916-128081,43333,2016/011 SPP004 Mencap - Strategic Partner 2016/17,EC1Y 0RT,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",CARERS UK,ERS-562915-128061,48750,2016/011 SPP002 Carers UK - Strategic Partner 16/17,SE1 4LX,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",AGE UK,ERS-562914-128041,37123,2016/011 SPP001 Age UK Strategic Partner 16/17,SW16 4ER,,,VCS,
,,06/10/2016,Revenue Grants to non-profit institutions,DG: STRATEGY & EXTERNAL RELATIONS,Care England,ERS-562944-128481,50000,2016/014 Care England - Teaching Care Homes Delivering Innovation in Care,E1 7LS,,,VCS,
,,07/10/2016,Consultancy/Professional Advice,"DG: FINANCE, COMMERCIAL & NHS",DELOITTE,1111366919,85000,Professional financial advice on Project Florence,MK9 1FD,,,LARGE,
,,07/10/2016,Professional fees,"DG: FINANCE, COMMERCIAL & NHS",PINSENT MASONS LLP,6276845,61536,Professional financial advice,LS1 5AB,,,LARGE,
,,07/10/2016,Outsourcing Contract,DG: GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584218867,20973.56,PPR0182               - Managed Agency Service  From 1 Apr 2016 - 31 Mar 2017,WS11 0JA,,,LARGE,
,,07/10/2016,DH Support to Mergers,DG: Holding CT Core,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0085119,91667,Advisory Costs,GU16 5UJ,,,PUBLIC,
,,07/10/2016,DH Support to Mergers,DG: Holding CT Core,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0085119,2083334,Implementation of Heatherwood Operational Efficiency,GU16 5UJ,,,PUBLIC,
,,07/10/2016,DH Support to Mergers,DG: Holding CT Core,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0085119,124167,PMO Costs,GU16 5UJ,,,PUBLIC,
,,07/10/2016,Addition Clearing - SW LIC,"DG: INNOVATION, GROWTH & TECHNOLOGY",THE IPSWICH HOSPITAL NHS TRUST,IHT4000017099,3940.36,Capital 16/17 LSP NME Ipswich Hospitals NHS Trust -  STAF & LC costs for Lorenzo Deployment,IP4 5PD,,,PUBLIC,
,,07/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",THE IPSWICH HOSPITAL NHS TRUST,IHT4000017099,77597.96,Revenue 16/17 LSP NME Ipswich Hospitals NHS Trust -  STAF & LC costs for Lorenzo Deployment,IP4 5PD,,,PUBLIC,
,,07/10/2016,Addition Clearing - SW LIC,"DG: INNOVATION, GROWTH & TECHNOLOGY",Woodward Associates UK Ltd,2791,25200,Capital 2016/17 Woodward Associates SUS Spine - WOO1-3-004 Milestones 3 & 4 Autogrouper 16/17 R16.1,SL4 5DT,,,SME,
,,07/10/2016,Addition Clearing - SW LIC,"DG: INNOVATION, GROWTH & TECHNOLOGY",MASTEK UK LTD,90336721,22563,Capital 2016/17 SUS Spine -  MAS1-3-032 Development & Delivery Support SUS+,RG1 8BW,,,LARGE,
,,07/10/2016,Addition Clearing - SW LIC,"DG: INNOVATION, GROWTH & TECHNOLOGY",MASTEK UK LTD,90336722,29187,Capital 2016/17 SUS Spine -  MAS1-3-032 Development & Delivery Support SUS+,RG1 8BW,,,LARGE,
,,07/10/2016,Outsourcing Contract,DG: PUBLIC & INTERNATIONAL HEALTH,Essentra Filters Products Ltd,ESS705,22219.66,Tobacco Surveillance Programme - Testing of cigarettes for TNCO - Extension to contract,NE32 3UP,,,LARGE,
,,07/10/2016,Outsourcing Contract,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",SOCIAL FINANCE LTD,747,25000,Transforming care for people with Learning Disabilities - Next Steps,W1W 5BB,,,VCS,
,,07/10/2016,Professional fees,DG: STRATEGY & EXTERNAL RELATIONS,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000028093,330284.08,NHS BSA payments 2016-17,NE1 6SN,,,PUBLIC,
,,07/10/2016,Policy Payments,DG: STRATEGY & EXTERNAL RELATIONS,ACADEMY OF MEDICAL ROYAL COLLEGES AOMRC,16.684,66653.5,"Work conducted in relation to ""The independent Review of junior doctors' morale, training and support.",EC1V 0DB,,,PUBLIC,
,,10/10/2016,Rates,DG: GROUP OPERATIONS,DEPARTMENT FOR WORK AND PENSIONS (DWP),5029262,109459.53,"QH - Business Rates FY2016-17 @ £130,402 (10 monthly payments).",FY5 3TA,,,PUBLIC,
,,10/10/2016,Rent of Land & Buildings (non-PFI operating lease),DG: GROUP OPERATIONS,DEPARTMENT FOR WORK AND PENSIONS (DWP),5029262,592458.74,"QH - Rent FUP FY2016-17 @ £605,805.50 monthly",FY5 3TA,,,PUBLIC,
