Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,,
Cabinet Office,Cabinet Office,10/10/11,Resource Grants to Private Sector,GOVERNMENT DIGITAL SERVICE,RACE ONLINE 2012,1000442,"248,072.00",Grant to Race Online,W1F 0LB,Large,Programme,,
Cabinet Office,Cabinet Office,10/10/11,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000019764,"78,751.62",2011/12 Treasury Solicitor Capitation costs.,WC2B 4TS,Large,Administration,,
Cabinet Office,Cabinet Office,10/10/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019749,"58,514.54",Facilities Management Services,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,11/10/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,LOCALITY,3000019790,"235,000.00",Community Organisers programme,N1 6DR,SME,Programme,,
Cabinet Office,Cabinet Office,11/10/11,Land and Buildings,ESTATE MANAGEMENT,HMCTS,3000019789,"53,951.00",Rent for accommodation,NP20 9FN,Large,Administration,,
Cabinet Office,Cabinet Office,11/10/11,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,COI CENTRAL OFFICE OF INFORMATION,3000019783,"43,457.14",Publicity in relation to the review of Parliamentary constituency boundaries by the Boundary Commission for England ,SE1 7DU,Large,Programme,,
Cabinet Office,Cabinet Office,12/10/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SAFE IN TEES VALLEY,3000019836,"356,903.36",National Citizen Service project grant,TS18 3TS,Large,Programme,,
Cabinet Office,Cabinet Office,12/10/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019823,"156,750.00",Facilities Management Services,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,12/10/11,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000019835,"37,966.03",Reprographic services,CR5 2HR,Large,Administration,,
Cabinet Office,Cabinet Office,12/10/11,Accommodation and Utilities, WORKSPACE AND BETTER TOOLS PLAN,EXCHEQUER PARTNERSHIP PLC,3000019824,"31,394.38",Optimisation and refurbishment of accommodation,M41 7HG,Large,Administration,,
Cabinet Office,Cabinet Office,13/10/11,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITORS DEPT 3861,3000019872,"704,834.65",Legal Costs,WC2B 4TS,Large,Administration,,
Cabinet Office,Cabinet Office,13/10/11,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,COI CENTRAL OFFICE OF INFORMATION,3000019855,"149,055.20",Publicity in relation to the review of Parliamentary constituency boundaries by the Boundary Commission for England ,SE1 7DU,Large,Programme,,
Cabinet Office,Cabinet Office,13/10/11,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000019866,"60,239.43",Fast Stream Recruitment,HP2 7DN,SME,Administration,,
Cabinet Office,Cabinet Office,13/10/11,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000019871,"53,511.68",Legal Cost.,WC2B 4TS,Large,Administration,,
Cabinet Office,Cabinet Office,13/10/11,Accommodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000019858,"35,774.72",Facilities Management Services,BN1 1HQ,Large,Administration,,
National School of Government,National School of Government,13/10/11,De Vere PFI contract fee,Corporate Services & Operation,De Vere Venues Ltd,64DEVE009102719160311/10/2011,"219,685.36",Private Finance Initiative payment for accommodation,SL5 0QE,Large,Admin,,
Cabinet Office,Cabinet Office,14/10/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SOCIAL ENTERPRISE COALITION,3000019906,"166,666.66",2011-12 strategic partners transition grant,SE1 7SJ,Large,Programme,,
Cabinet Office,Cabinet Office,14/10/11,Consultancy,GOVERNMENT CIO,CESG,3000019889,"110,550.99","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",GL51 0EX,Large,Programme,,
Cabinet Office,Cabinet Office,14/10/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CITIZENSHIP FOUNDATION,3000019890,"75,000.00",Promoting giving project grant - supporting giving in schools,EC1V 3RS ,Large,Programme,,
Cabinet Office,Cabinet Office,14/10/11,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,COI CENTRAL OFFICE OF INFORMATION,3000019891,"48,613.60",Publicity in relation to the review of Parliamentary constituency boundaries by the Boundary Commission for England ,SE1 7DU,Large,Programme,,
Cabinet Office,Cabinet Office,14/10/11,Accommodation and Utilities,ESTATE MANAGEMENT,MITIE MANAGED SERVICES LTD,3000019899,"38,574.80",Facilities Management Services,PR7 6TE,Large,Administration,,
Cabinet Office,Cabinet Office,14/10/11,IT Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,CORPORATE DOCUMENT SERVICES LTD,3000019892,"31,563.06","Support, maintenance and development of e-PIMS, the government property database",LS2 LY,Large,Administration,,
Cabinet Office,Cabinet Office,14/10/11,Agency and Temporary Staff,GOVERNMENT CIO,CAPITA RESOURCING LTD,3000019888,"31,050.00","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,,
Cabinet Office,Cabinet Office,14/10/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,URBAN FORUM,3000019909,"30,000.00",2011-12 strategic partners transition grant,N1 6DR,Large,Programme,,
Cabinet Office,Cabinet Office,17/10/11,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000019921,"33,033.85",Implementation services to further develop the Directgov site,HP2 7AH,Large,Programme,,
Cabinet Office,Cabinet Office,18/10/11,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,LOCALITY,3000019947,"386,840.40",Management fees for the provision of a National Partner for Community Organisers Programme,N1 6DR,SME,Programme,,
Cabinet Office,Cabinet Office,18/10/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019940,"249,400.00",Facilities Management Services,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,18/10/11,Accommodation and Utilities,IT AND TELECOMS BRANCH,VODAFONE LTD,3000019954,"34,697.02",Mobile phone costs,RG14 2FN,Large,Administration,,
Cabinet Office,Cabinet Office,18/10/11,Consultancy,OFFICE FOR CIVIL SOCIETY,A4E LTD,3000019934,"25,000.00",Development of social impact bonds to provide up front funding for prevention and early intervention services and remove the risk that interventions do not deliver outcomes from the public sector.’,S9 3XN,Large,Programme,,
Cabinet Office,Government Procurement Service,18/10/11,Data Services,Network Services,Global Crossing,PINMTS 20750,"113,422.50",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,18/10/11,Data Services,Network Services,Global Crossing,PINMTS 20798,"49,168.19",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,18/10/11,Data Services,Network Services,Global Crossing,PINMTS 20809,"43,081.92",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,18/10/11,Data Services,Network Services,Global Crossing,PINMTS 20820,"57,714.11",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Cabinet Office,19/10/11,IT Costs,OFFICE FOR CIVIL SOCIETY,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,3000019976,"94,876.75",Supporting a web portal allowing easy access to funding opportunities for the voluntary and community sector. ,N1 9RL,Large,Programme,,
Cabinet Office,Cabinet Office,19/10/11,Agency and Temporary Staff,ERG STRATEGY AND MANAGEMENT INFORMATION,THE NATIONAL ARCHIVES 9014,103323,"74,400.00",Re-imbursement of staff costs,TW9 4DU,Large,Administration,,
Cabinet Office,Cabinet Office,19/10/11,Consultancy,INDEPENDENT OFFICES,DLA PIPER UK,3000019970,"45,000.00",Delivery of the Civil Service Commission’s review of department’s and agency’s recruitment policies and procedures,EC2V 7EE,Large,Administration,,
Cabinet Office,Cabinet Office,19/10/11,IT Costs,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000019974,"33,183.39",IT Services,SW1A 2WH,Large,Administration,,
Cabinet Office,Government Procurement Service,19/10/11,Peripherals,Network Services,Global Crossing,PINMTS 20889,"246,003.76",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,19/10/11,Call Charges Std,Network Services,Global Crossing,PINMTS 20898,"40,001.93",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Cabinet Office,20/10/11,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000020001,"1,808,333.33",Monitoring services provided by the BBC,M14 0EP,Large,Programme,,
Cabinet Office,Cabinet Office,20/10/11,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES.,3000020002,"308,090.40",High Integrity Telecoms System project costs,NW9 6LB,Large,Programme,,
Cabinet Office,Cabinet Office,20/10/11,Consultancy,GOVERNMENT CIO,CESG,3000020007,"92,459.26","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",GL51 0EX,Large,Programme,,
Cabinet Office,Cabinet Office,20/10/11,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000020028,"57,831.77",2011/12 Treasury Solicitor Capitation costs.,WC2B 4TS,Large,Administration,,
Cabinet Office,Cabinet Office,20/10/11,IT Costs,PRIME MINISTERS OFFICE,CABLE & WIRELESS,3000020005,"26,587.35",Quarterly rental charge for Government Secure Intranet link and services,RG12 1RW,Large,Administration,,
National School of Government,National School of Government,20/10/11,Copy Charges and Hire,Corporate Services & Operation,ING Lease (UK) Limited,64INGL001111099731314/09/2011,"33,800.22",Copy charges for printing machines in Reprographics Department,RH1 1NY,Large,Admin,,
Cabinet Office,Cabinet Office,21/10/11,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,COI CENTRAL OFFICE OF INFORMATION,3000020059,"211,963.31",Publicity in relation to the review of Parliamentary constituency boundaries by the Boundary Commission for England ,SE1 7DU,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20944,"58,897.24",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20947,"59,560.74",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20951,"53,886.86",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20952,"30,704.30",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20953,"151,076.39",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,Handsets,Network Services,Global Crossing,PINMTS 20953,"43,732.50",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20954,"177,062.79",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20955,"68,523.47",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20957,"337,342.78",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,Handsets,Network Services,Global Crossing,PINMTS 20957,"45,918.75",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20962,"77,392.70",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,Handsets,Network Services,Global Crossing,PINMTS 20962,"39,015.00",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20963,"30,308.95",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20965,"124,233.67",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,Handsets,Network Services,Global Crossing,PINMTS 20965,"35,260.00",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20967,"38,739.47",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20968,"95,794.43",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20972,"174,668.97",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,Handsets,Network Services,Global Crossing,PINMTS 20972,"25,223.25",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20973,"116,228.75",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20974,"40,876.49",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20975,"38,785.62",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20978,"808,671.51",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,Handsets,Network Services,Global Crossing,PINMTS 20978,"41,250.00",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20979,"135,505.98",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20980,"28,216.91",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20987,"58,532.94",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20989,"32,130.81",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,21/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20990,"41,614.08",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Cabinet Office,24/10/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,V,3000020118,"416,000.00",2011-12 strategic partners transition grant,SW1P 2AH,Large,Programme,,
Cabinet Office,Cabinet Office,24/10/11,IT Costs,OFFICE FOR CIVIL SOCIETY,NCVO,3000020113,"92,671.25",Supporting a web portal allowing easy access to funding opportunities for the voluntary and community sector. ,N1 9RL,Large,Programme,,
Cabinet Office,Cabinet Office,24/10/11,Agency and Temporary Staff,GOVERNMENT CIO,CAPITA RESOURCING LTD,3000020100,"45,273.05","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,,
Cabinet Office,Cabinet Office,24/10/11,IT Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,CORPORATE DOCUMENT SERVICES LTD,3000020106,"31,565.50","Support, maintenance and development of e-PIMS, the government property database",LS2 LY,Large,Administration,,
Cabinet Office,Cabinet Office,25/10/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000020151,"3,704,181.00",National Citizen Service project grant,SE1 7HS,Large,Programme,,
Cabinet Office,Cabinet Office,25/10/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,V,3000020153,"256,420.00",National Citizen Service project grant,SW1P 2AH,Large,Programme,,
Cabinet Office,Cabinet Office,25/10/11,IT Costs,GOVERNMENT DIGITAL SERVICE,CENTRAL OFFICE OF INFORMATION,3000020131,"60,000.00",Project Work to shorten Website URL convention,SE1 7DU,Large,Programme,,
Cabinet Office,Cabinet Office,25/10/11,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000020152,"52,117.40",2011/12 Fees and Disbursements.,WC2B 4TS,Large,Administration,,
Cabinet Office,Government Procurement Service,25/10/11,Government eMarketplace,Planning & Finance,Procserve Shared Services,PINVP2P 318,"55,368.00",Government eMarketplace test system,SW1W 9SR,Large,Programme,,
Cabinet Office,Cabinet Office,27/10/11,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000020197,"79,518.07",Fast Stream Recruitment,HP2 7DN,SME,Administration,,
Cabinet Office,Cabinet Office,27/10/11,Agency and Temporary Staff,GOVERNMENT CIO,CAPITA RESOURCING LTD,3000020185,"36,229.14","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,,
Cabinet Office,Government Procurement Service,27/10/11,SAP Rental,Network Services,Global Crossing,PINMTS 20994,"420,698.03",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Cabinet Office,31/10/11,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000020253,"66,321.00",Legal Cost.,WC2B 4TS,Large,Administration,,
Cabinet Office,Government Procurement Service,31/10/11,WDHS Maint & Rep,WDHS,Cofely,PINDOH 33535,"62,514.50",Whitehall heating systems management,HP12 3TA,Large,Programme,,
Cabinet Office,Government Procurement Service,31/10/11,WSDS Maint & Rep,WSDS,Cofely,PINDOH 33536,"39,005.82",Whitehall heating systems management,HP12 3TA,Large,Programme,,
