Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,11/03/2013,223000-Other Expenditure,LZ600-Transforming Justice,TNT UK LTD,1095850,"277,579.04",Special Projects undertaken by TNT at MoJ's request to securely destroy records,BL8 9AR,0,Admin
Ministry of Justice,MoJ HQ,28/03/2013,263000-Other Contracted Out Services,LZ600-Transforming Justice,STAFFORDSHIRE COUNTY COUNCIL,1097907,"300,943.02",Staffordshire Council County provides the Claims Management Regulation Monitoring and Compliance Unit under contract to the MOJ.,ST16 2LG,0,Admin
Ministry of Justice,MoJ HQ,12/03/2013,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,2802,"531,732.40",Provision of Court Funds Office service for the 2012/13 Financial Year,SW1V 2QX,0,Admin
Ministry of Justice,MoJ HQ,21/03/2013,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,THE PAROLE BOARD#KY14820004,2854,"985,000.00",Grant-in-aid requirement for Arm's Length Body,SW1P 2DX,0,Grant
Ministry of Justice,MoJ HQ,13/03/2013,263000-Other Contracted Out Services,OZ501-HRD Feeder,CABINET OFFICE,2807,"4,135,037.00",Ministry of Justice share of CSHR Expert services cost,CF14 3UW,0,Admin
Ministry of Justice,MoJ HQ,01/03/2013,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,CICA (CRIMINAL INJURIES COMPENSATION AUTHORITY),2730,"50,111,000.00",Grant-in-aid requirement for Arm's Length Body,G2 4LN,0,Grant
Ministry of Justice,MoJ HQ,21/03/2013,222002-Other Property Costs,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1096748,"26,489.00","Rent & Services charges - Axis, Birmingham",BS8 9AQ,0,Admin
Ministry of Justice,MoJ HQ,21/03/2013,222002-Other Property Costs,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1096748,"27,623.75","Rent & Services charges - Axis, Birmingham",BS8 9AQ,0,Admin
Ministry of Justice,MoJ HQ,07/03/2013,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,1095503,"31,463.62",Ashley House Facilities Management costs for 2012-13,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,28/03/2013,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1097391,"36,477.66",A-R-03733-01-Initial infrastructure work to provide additional work area for LSC in Petty France,WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,21/03/2013,222002-Other Property Costs,NZ406-Strategic Estates Feeder,CBRE LTD,1096606,"40,071.00",Rent & Services charges - 30 Millbank,G2 6UA-COLUMBIN,0,Admin
Ministry of Justice,MoJ HQ,06/03/2013,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,2761,"41,260.11",Ashley House Facilities Management costs for 2012-13,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,21/03/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1096748,"45,431.34","Rent & Services charges - Axis, Birmingham",BS8 9AQ,0,Admin
Ministry of Justice,MoJ HQ,08/03/2013,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),2785,"46,179.50",IT and Telephony Services in respect of Cheshire Probation relocation to Jupiter House,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,21/03/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1096748,"49,326.06","Rent & Services charges - Axis, Birmingham",BS8 9AQ,0,Admin
Ministry of Justice,MoJ HQ,14/03/2013,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1095981,"55,398.51","Electricity supply in 2012-13 to: 102 Petty France, Steel House and Clive House.",PL3 5XQ,0,Admin
Ministry of Justice,MoJ HQ,13/03/2013,222001-Maintenance,NZ406-Strategic Estates Feeder,HOME OFFICE,2811,"58,908.92","Building works to re-model the 2nd floor Chaucer House, Maidstone",NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,14/03/2013,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1095981,"61,760.79","Electricity supply in 2012-13 to: 102 Petty France, Steel House and Clive House.",PL3 5XQ,0,Admin
Ministry of Justice,MoJ HQ,21/03/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,BNP PARIBAS REAL ESTATE,1096575,"62,500.00",Rent - 2 Carlton Gardens,B3 2BJ,0,Admin
Ministry of Justice,MoJ HQ,21/03/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,CBRE LTD,1096606,"89,501.25",Rent & Services charges - 30 Millbank,G2 6UA-COLUMBIN,0,Admin
Ministry of Justice,MoJ HQ,28/03/2013,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1097715,"90,579.90","Annual cost of cleaning services across the MoJ HQ Estate, 2012-13",DY1 4TA,0,Admin
Ministry of Justice,MoJ HQ,14/03/2013,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1096095,"242,782.56","PPM monthly costs, June 2012-March 2013, across the MoJ HQ Estate. MTC monthly costs, June 2012-March 2013, across the MoJ HQ Estate.",CIS-CM12 0BT,0,Admin
Ministry of Justice,MoJ HQ,21/03/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,DTZ DEBENHAM TIE LEUNG,1096659,"455,689.25",Rent - Grenadier House,B4 6AJ-VINCENT,0,Admin
Ministry of Justice,MoJ HQ,21/03/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,YORKE PROPERTY MANAGEMENT LTD,1096998,"506,000.00",Rent & Services charges - 81 Chancery Lane,W1K 6WE,0,Admin
Ministry of Justice,MoJ HQ,21/03/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,DTZ DEBENHAM TIE LEUNG,1096658,"980,665.75",Rent - Clive House,B4 6AJ-APIA,0,Admin
Ministry of Justice,MoJ HQ,21/03/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,LAND SECURITIES PROPERTIES LTD,1096764,"3,417,471.50",Rent - 102 Petty France,WC2N 5AF-RENT,0,Admin
Ministry of Justice,MoJ HQ,21/03/2013,222003-CIS Labour TFM Estates,PZ501-MoJ ICT Feeder,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1096819,"25,542.00",Network Optimisation Programme,PO2 8AD,E149,Programme
Ministry of Justice,MoJ HQ,18/03/2013,222003-CIS Labour TFM Estates,PZ501-MoJ ICT Feeder,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1096424,"25,542.00",Network Optimisation Programme,CIS-PO2 8AD,E149,Programme
Ministry of Justice,MoJ HQ,21/03/2013,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1096546,"26,219.31",HMCTS 247 SPS - CCNA-S-03481-01 Remaining MFD deployment M25&26. Replaces PO 10000033842,WV10 6UH,E154,Programme
Ministry of Justice,MoJ HQ,28/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1097587,"26,332.72",FJS Operations - Production Environment   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,28/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1097391,"26,497.00",ICT Laptops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,28/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1097391,"27,110.72",ICT Laptops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,14/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1096004,"27,665.40",FJS Programme & Project Mgmt   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,14/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1096033,"28,213.93",HP NICTS EUC (VAT Rec) FY12/13,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,25/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1097023,"28,424.00",HQ287-DSE-AS3673 - Resource NOK - 01/02/13 - 31/03/13- One Off Charge,WV10 6UH,E196,Programme
Ministry of Justice,MoJ HQ,21/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1096786,"28,861.74",IA: L-R-2043-05-v0.2 - Renewal of winscribe licences.,CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,04/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1095227,"29,067.44",HP ICT Other (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,28/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1097391,"29,249.12",Atos ICT Other (VAT Rec) FY12/13 (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,07/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CACI LTD,1095396,"29,282.40",CCN 3226-01-v002 - Changes to Community Safeguarding Public Protection Information,W14 8TS,0,Programme
Ministry of Justice,MoJ HQ,25/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1097023,"29,536.00",A-S-03360-9-v01- Set up and configuration of testing sandpit environment one off charge,WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,25/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1097023,"30,004.00",CCN2277-01 Resource NOP October 2012 - March 2013,WV10 6UH,E149,Programme
Ministry of Justice,MoJ HQ,21/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1096546,"30,575.00",CCN A-R-03731-01-V04 - LSC Disaster Recovery Design - Milestones 1-3 (one off cost),WV10 6UH,E215,Admin
Ministry of Justice,MoJ HQ,18/03/2013,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1096407,"30,727.53",CCN A-R-01986-19-V02 - LSC IDP Programme Manager to end Mar 2013 - Replaces PO 10000034043,CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,18/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CACI LTD,1096320,"32,010.57",3224-01-v003 Minor changes and defects -eAsset minor changes and defects.,W14 8TS,0,Programme
Ministry of Justice,MoJ HQ,07/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1095354,"32,662.45",ICT Hosting (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,07/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1095354,"33,000.00",CCN3353  Resource,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,08/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE,2784,"33,619.30",Input from HOIT / Fujitsu for PPO and AS POISE Exits,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,28/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1097391,"33,723.97",ICT Network Services (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,14/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1096004,"34,464.98",FJS Governance   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,28/03/2013,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1097728,"34,862.39","HMCTS 192 ET Fees - Commercial cover whilst the fixed price is being developed. This charge will be deducted from the fixed price as per FSMO 249 C						",NP10 8BA,E181,Programme
Ministry of Justice,MoJ HQ,18/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1096319,"35,450.00",This is a service provided by CWW in scoping out the video work required on NOP.,MK3 5JP,E149,Programme
Ministry of Justice,MoJ HQ,28/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1097391,"35,818.00",ICT Telephony (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,11/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE,2790,"36,360.00","CCN 3211 - Additonal RAM  (GWS CAN 133)	 CCN 3212 - New Instance for Placements Reporting (GWS CAN 133)	 Ongoing charges							 						",NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,08/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE,2782,"36,671.25",Monthly desktop charges for MOJ staff working on Home Office premises during the 2012/13 financial year,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,28/03/2013,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1097391,"36,930.00","A-S-02225-02 - NISE Project G Stack modify HLD, asses HLD and develop latency assessment approach - Replaces PO 10000034842",WV10 6UH,E003,Programme
Ministry of Justice,MoJ HQ,28/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1097735,"37,844.19","HQ 293 - LSC ICT Transition - PD L-R-3705-01 - LSC Transition Interim Cover (Project Initiation Document & Transition Plan)- One off cost for E205						",CF31 9AP,E205,Programme
Ministry of Justice,MoJ HQ,25/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1097023,"38,588.00",CCN 2277-01 - CIR_037 Resources Nov 12 to March 13,WV10 6UH,E149,Programme
Ministry of Justice,MoJ HQ,04/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1095227,"38,787.33",HP ICT Laptops (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,21/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1096546,"39,268.22",CCN A-R-3463-01-v07- Atos Labour- One Off Charge,WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,15/03/2013,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,HOME OFFICE IT,2827,"39,388.91",HOIT - SPS Programme - Testing Services,NP20 9BB,E154,Programme
Ministry of Justice,MoJ HQ,25/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1097023,"39,428.00",CCN2277-01A- Resource NOP October 2012 - March 2013,WV10 6UH,E149,Programme
Ministry of Justice,MoJ HQ,28/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1097462,"40,022.00",SM-DISC Prison to Courts Video Links  and HMCS Court Connectivity (Schedule),MK3 5JP,0,Programme
Ministry of Justice,MoJ HQ,28/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1097657,"41,384.66",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,14/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1096004,"42,408.42",FJS Service Desk   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,18/03/2013,222003-CIS Labour TFM Estates,PZ501-MoJ ICT Feeder,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1096425,"42,784.41",NOP Programme draw down,PO2 8AD,E149,Programme
Ministry of Justice,MoJ HQ,28/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1097391,"42,885.44",ICT Telephony (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,28/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,V P TREEN LTD,1097958,"43,700.00",Manchester Admin Court Office SEAP approved server and Ultra-AEP ED20 ACOCAO Office Ultra-AEP Net CA and Ultra-AEP ED100,TW2 7PJ,0,Programme
Ministry of Justice,MoJ HQ,28/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1097391,"44,369.00",ICT Network Services (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,14/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1096090,"46,499.00",CCN L-R-3119-04 - (LSC) Existing Applications Investigation -  Deliverables Complete- One Off Charge,CF31 9AP,0,Admin
Ministry of Justice,MoJ HQ,18/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ORACLE CORPORATION UK LTD,1096437,"46,602.63","""Internet Application Server Enterprise Edition - Processor Perpetual, Internet Application Server Enterprise Edition - Software Update License & Support , Internet Developer Suite - Named User Plus Perpetual, Internet Developer Suite - Sof",RG6 1RA,0,Admin
Ministry of Justice,MoJ HQ,18/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1096404,"47,615.33",ICT Printing - Liberata Print Charges,NP10 9XA,0,Programme
Ministry of Justice,MoJ HQ,25/03/2013,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1097023,"48,078.00",CCN 2277-01 (CIR - NOP- 0750) - Resources July 12 to March 13  - One Off Charge,WV10 6UH,E149,Programme
