Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",CORNWALL & ISLES OF SCILLY PCT,HAFS-10910,68700000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",COUNTY DURHAM PCT,HAFS-10911,70702000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",COVENTRY TEACHING PCT,HAFS-10912,57000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",CROYDON PCT,HAFS-10913,40000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",CUMBRIA PCT,HAFS-10914,77000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",DARLINGTON PCT,HAFS-10915,4732000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",DERBY CITY PCT,HAFS-10916,35000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",DERBYSHIRE COUNTY PCT,HAFS-10917,82000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",DEVON PCT,HAFS-10918,85000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",DONCASTER PCT,HAFS-10919,38000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",DORSET PCT,HAFS-10920,44000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",DUDLEY PCT,HAFS-10921,32000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",EALING PCT,HAFS-10922,45000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",EAST LANCASHIRE PCT,HAFS-10923,44000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",EAST MIDLANDS SHA,HAFS-10924,30000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",EAST OF ENGLAND SHA,HAFS-10925,42000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",EAST RIDING OF YORKSHIRE PCT,HAFS-10926,41000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",EAST SUSSEX DOWNS & WEALD PCT,HAFS-10927,50000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",EASTERN & COASTAL KENT PCT,HAFS-10928,93000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",ENFIELD PCT,HAFS-10929,35000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",GATESHEAD PCT,HAFS-10930,32000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",GLOUCESTERSHIRE PCT,HAFS-10931,66000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",GREAT YARMOUTH AND WAVENY PCT,HAFS-10932,29700000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",GREENWICH TEACHING PCT,HAFS-10933,26000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HALTON & ST HELENS PCT,HAFS-10934,50000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HAMMERSMITH AND FULHAM PCT,HAFS-10935,26500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HAMPSHIRE PCT,HAFS-10936,142000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HARINGEY TEACHING PCT,HAFS-10937,27000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HARROW PCT,HAFS-10938,28000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HARTLEPOOL PCT,HAFS-10939,13900000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HASTINGS & ROTHER PCT,HAFS-10940,24000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HAVERING PCT COMMISSIONING,HAFS-10941,26000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HEALTH AND SOCIAL CARE INFORMATION CENTRE,HAFS-10942,3000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HEART OF BIRMINGHAM TEACHING PCT,HAFS-10943,40000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HEREFORDSHIRE PCT,HAFS-10944,25000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HERTFORDSHIRE PCT,HAFS-10945,122000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HEYWOOD MIDDLETON & ROCHDALE PCT,HAFS-10946,28500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HILLINGDON PCT,HAFS-10947,29000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HOUNSLOW PCT,HAFS-10948,30000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",HULL PCT,HAFS-10949,35000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",ISLE OF WIGHT NHS PCT,HAFS-10950,18000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",ISLINGTON PCT,HAFS-10951,37000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",KENSINGTON AND CHELSEA PCT,HAFS-10952,28000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",KINGSTON PCT,HAFS-10953,14000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",KIRKLEES PCT,HAFS-10954,54000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",KNOWSLEY PCT,HAFS-10955,23330000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",LAMBETH PCT,HAFS-10956,38000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",LEEDS PCT,HAFS-10957,91000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",LEICESTER CITY PCT,HAFS-10958,39000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",LEICESTERSHIRE COUNTY & RUTLAND PCT,HAFS-10959,70000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",LEWISHAM PCT,HAFS-10960,37000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",LINCOLNSHIRE PCT,HAFS-10961,79000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",LIVERPOOL PCT,HAFS-10962,76975000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",LONDON SHA,HAFS-10963,90000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",LUTON TEACHING PCT,HAFS-10964,23200000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",MANCHESTER PCT,HAFS-10965,77500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",MEDWAY TEACHING PCT,HAFS-10966,33000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",MID ESSEX PCT,HAFS-10967,30500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",MIDDLESBOROUGH PCT,HAFS-10968,20200000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",MILTON KEYNES PCT,HAFS-10969,34000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-10970,5000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NATIONAL PATIENT SAFETY AGENCY (NPSA),HAFS-10971,4500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),HAFS-10972,250000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NEWCASTLE PCT,HAFS-10973,37900000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NEWHAM PCT,HAFS-10974,47000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-10975,17245000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev ND In RAB,"POLICY, STRATEGY & FINANCE",NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-10976,850000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,HAFS-10977,4000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NORFOLK PCT,HAFS-10978,73000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NORTH EAST ESSEX PCT,HAFS-10979,41000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NORTH EAST LINCOLNSHIRE CARE TRUST PLUS,HAFS-10980,28300000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NORTH EAST SHA,HAFS-10981,22300000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NORTH LANCASHIRE PCT,HAFS-10982,45152000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NORTH LINCOLNSHIRE PCT,HAFS-10983,17500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NORTH SOMERSET PCT,HAFS-10984,23700000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NORTH STAFFORDSHIRE PCT,HAFS-10985,23750000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NORTH TYNESIDE PCT,HAFS-10986,28000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NORTH WEST SHA,HAFS-10987,53200000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NORTH YORKSHIRE & YORK PCT,HAFS-10988,100000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NORTHAMPTONSHIRE PCT,HAFS-10989,82000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NORTHUMBERLAND CARE TRUST,HAFS-10990,46700000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NOTTINGHAM CITY PCT,HAFS-10991,36000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",NOTTINGHAMSHIRE COUNTY TEACHING PCT,HAFS-10992,82000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",OLDHAM PCT,HAFS-10993,30000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",OXFORDSHIRE PCT,HAFS-10994,89000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",PETERBOROUGH PCT,HAFS-10995,28500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",PLYMOUTH TEACHING PCT,HAFS-10996,36000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",PORTSMOUTH CITY TEACHING PCT,HAFS-10997,18000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",REDBRIDGE PCT,HAFS-10998,30000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",REDCAR AND CLEVELAND PCT,HAFS-10999,19900000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",RICHMOND AND TWICKENHAM PCT,HAFS-11000,20000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",ROTHERHAM PCT,HAFS-11001,31500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SALFORD PCT,HAFS-11002,41000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SANDWELL PCT,HAFS-11003,44000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SEFTON PCT,HAFS-11004,37000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SHEFFIELD PCT,HAFS-11005,70500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SHROPSHIRE COUNTY PCT,HAFS-11006,31949000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SOLIHULL PCT,HAFS-11007,24000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SOMERSET PCT,HAFS-11008,61000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SOUTH BIRMINGHAM PCT,HAFS-11009,47000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SOUTH CENTRAL SHA,HAFS-11010,23000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SOUTH EAST COAST SHA,HAFS-11011,38700000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SOUTH EAST ESSEX PCT,HAFS-11012,31500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SOUTH GLOUCESTERSHIRE PCT,HAFS-11013,26500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SOUTH STAFFORDSHIRE PCT,HAFS-11014,83250000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SOUTH TYNESIDE PCT,HAFS-11015,24200000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SOUTH WEST ESSEX PCT,HAFS-11016,50500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SOUTH WEST SHA,HAFS-11017,30000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SOUTHAMPTON CITY PCT,HAFS-11018,28000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SOUTHWARK PCT,HAFS-11019,40000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",STOCKPORT PCT,HAFS-11020,32000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",STOCKTON-ON-TEES TEACHING PCT,HAFS-11021,26100000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",STOKE ON TRENT PCT,HAFS-11022,36939000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SUFFOLK PCT,HAFS-11023,71000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SUNDERLAND TEACHING PCT,HAFS-11024,40000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SURREY PCT,HAFS-11025,124000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SUTTON AND MERTON PCT,HAFS-11026,42300000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",SWINDON PCT,HAFS-11027,19000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",TAMESIDE AND GLOSSOP PCT,HAFS-11028,28000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",TELFORD & WREKIN PCT,HAFS-11029,17895000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",TORBAY CARE TRUST,HAFS-11030,9000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",TOWER HAMLETS PCT,HAFS-11031,35000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",TRAFFORD PCT,HAFS-11032,26500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",WAKEFIELD DISTRICT PCT,HAFS-11033,54000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",WALSALL TEACHING PCT,HAFS-11034,30500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",WALTHAM FOREST PCT,HAFS-11035,32000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",WANDSWORTH TEACHING PCT,HAFS-11036,49000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",WARRINGTON PCT,HAFS-11037,20400000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",WARWICKSHIRE PCT,HAFS-11038,63000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",WEST ESSEX PCT,HAFS-11039,31000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",WEST KENT PCT,HAFS-11040,78000000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",WEST MIDLANDS SHA,HAFS-11041,43500000,
Department of Health,Department of Health,01/07/2011,CASH FUNDING Rev Inside RAB,"POLICY, STRATEGY & FINANCE",WEST SUSSEX PCT,HAFS-11042,90500000,
