Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number, Amount ,Invoice Description,"Description ( Please populate using the Invoice Description: Please rememebr no acroynms, abbreviations or PO numbers)",Supplier Postcode ,Supplier Type,Contract Number,Project code,Expenditure Type,VAT Registration Number
DEFRA,DEFRA,11/08/2011,Current Grants E,Environment and Rural Group,Birdlife International,2.01E+12,"25,181.50",PO 319652 17-026 RESTORE PACIFIC ISLAND ECOSYSTEMS JUL-SEP 2011,NATIONAL ATMOSPHERIC EMISSION INVENTORY AND GREENHOUSE GAS INVENTORY-NEW CONTRACT,CB3 ONA,SME,,DARWINXX,CURRENT GRANTS,
DEFRA,DEFRA,03/08/2011,Current Grants E,Environment and Rural Group,Birdlife International,3.11E+12,"25,638.00",PO 319652 DARWIN GRANT APR 2010-MAR 2011 REF 17-026,SCIENTIFIC SUPPORT FOR NIP,CB3 ONA,SME,,DARWINXX,CURRENT GRANTS,
DEFRA,DEFRA,01/08/2011,Current Subsidies To Public Corporations,Environment and Rural Group,British Waterways,250711,"1,572,000.00",PO 346004- BW GRANT CLAIM AUGUST 2011,GRANT-IN-AID PAYMENT FOR JNCC -AUGUST 2011,LS9 8PB,,,,PROGRAMME EXPENDITURE,817231546
DEFRA,DEFRA,15/08/2011,Other Current Payments UK,Environment and Rural Group,Bureau Veritas UK Ltd,11013193,"173,770.80",PO 303625 ROUTINE STAFF TIME,METALS EXTENSION INV FOR JULY 2011,SE1 2TX,,10892,AQNONRDX,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,25/08/2011,Evidence Non R&D,Environment and Rural Group,Bureau Veritas UK Ltd,11013562,"47,520.49",PO 343860 FEES FOR LAQM SERVICES,PARTICULATE COUNTING NETWORK JULY 2011,SE1 2TX,,13573,AQNONRDX,PROGRAMME EXPENDITURE EVIDENCE NON R&D,
DEFRA,DEFRA,23/08/2011,Other Current Payments UK,Environment and Rural Group,Bureau Veritas UK Ltd,11014653,"174,534.00",PO 303625 MAINTENANCE CONTRACT 4352883,BIODIVERSITY IN ST HELENA 1/7-30/9/11,SE1 2TX,,10892,AQNONRDX,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,01/08/2011,Other Current Payments (GB),Environment and Rural Group,C E F A S,8000815,"56,475.00",PO 344884 ADDITIONAL FUNDING 10/11 PROJ M1204,External Evidence gathering and policy support services,NR33 0HT,,,MARPIFCA,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,09/08/2011,Evidence Non R&D,Environment and Rural Group,C E F A S,8001257,"226,333.00",PO 346276 JNCC APR-JUL 11,FLOOD RESCUE GRANT PAYMENT PHASE 2,NR33 0HT,,,,PROGRAMME EXPENDITURE EVIDENCE NON R&D,888800181
DEFRA,DEFRA,15/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8001279,"29,288.00",PO 337020 FUNDS FOR AUG 2011 - PROJECT E5304,DARWIN GRANT PERIOD: JULY 2011 TO SEPT 2011,NR33 0HT,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,888800181
DEFRA,DEFRA,30/08/2011,Evidence Non R&D,Environment and Rural Group,C E F A S,8001305,"56,583.33",PO 346276 JNCC FUNDING FOR AUG 2011,GRANT IN AID FOR NATURAL ENGLAND - AUG 11,NR33 0HT,,,,PROGRAMME EXPENDITURE EVIDENCE NON R&D,888800181
DEFRA,DEFRA,30/08/2011,Grant-in Aid Payments,Environment and Rural Group,Commission For Rural Communities,230811,"80,304.00",PO 346134 GRANT AID FOR SEPT 2011,GRANT AID FOR SEPT 2011,GL50 3RA,,,,NON BUDGET NON ESTIMATE,
DEFRA,DEFRA,03/08/2011,Grant-in Aid Payments,Environment and Rural Group,Commission For Rural Communities,270711,"25,614.00",PO 346134- CRC GRANT-IN-AID PAYMENT AUGUST 2011, British Waterway GRANT CLAIM AUGUST 2011,GL50 3RA,,,,NON BUDGET NON ESTIMATE,
DEFRA,DEFRA,19/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,Cranfield University,150811,"72,637.44",PO 347260 SP1609,GRANT IN AID AUGUST 2011,MK43 0AL,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,491358622
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,Cranfield University,ERS-484369-35122,"48,327.00",SP1608 11/12 LANDIS Reference Site Support - Varied Feb11 (1/10/10 to 30/9/13),DARWIN GRANT REF 18-007 PERIOD JULY - SEPT 11,MK43 0AL,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,491358622
DEFRA,DEFRA,05/08/2011,Other Current Payments (GB),Environment and Rural Group,Dept For Communities & Local Gov,10811,"250,000.00",PO 346070 LSSG DEFRA MARINE & NATURAL ENVIRONMENT AUG 2011,CRC GRANT-IN-AID PAYMENT AUGUST 2011,HP2 4XN,,,,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,09/08/2011,Other Current Payments E,Environment and Rural Group,Dept For Communities & Local Gov,30811,"1,752,777.78",Po 346082 LSSG GRANT PAYMENT AUG 2011,DARWIN GRANT,HP2 4XN,,,,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,23/08/2011,Current Grants E,Environment and Rural Group,Durrell Wildlife Conservation Trust,80811,"29,115.25",PO 336963 - DARWIN GRANT - REF 18-009 - 01-JUL-11 - 31-SEPT-11,GRANT QUART 2 2011 APR TO JUN 2011,JE3 5BP,SME,,DARWINXX,CURRENT GRANTS,
DEFRA,DEFRA,01/08/2011,IT Maintenance,Environment and Rural Group,Environment Agency,1134250,"199,000.00",PO 347186 FLY CAPTURE FUNDING CONTRIBUTION FOR 2011/12,FLY CAPTURE FUNDING CONTRIBUTION FOR 2011/12,BS32 4UD,,,,ADMIN - IT,662490134
DEFRA,DEFRA,03/08/2011,Grant-in Aid Payments,Environment and Rural Group,Environment Agency,EAGIAAUG11,"29,000,000.00",PO 345560 AND PO 345562 EA GRANT IN AID,AD HOC WORK 2.5 DAYS REPORTS APPRAISAL,BS32 4UD,,,,NON BUDGET NON ESTIMATE,662490134
DEFRA,DEFRA,19/08/2011,Current Grants E,Environment and Rural Group,Fauna & Flora International,260711,"25,723.75",PO 336950 DARWIN GRANT REF 18-007 PERIOD JULY - SEPT 11,FEES IN RESPECT OF DRAFT FINAL REPORT MILESTONE 2,CB1 2JD,SME,,DARWINXX,CURRENT GRANTS,
DEFRA,DEFRA,01/08/2011,Evidence Non R&D,Environment and Rural Group,Food & Environment Research Agency,F0016691,"81,802.50",PO 346799 BIODIVERSITY PROGRAMME QTR 1 APR-JUN 2011 PROJECT C  N1KN6080 & PROJECT D N1KN6090,AIR QUALITY TECHNICAL  SUPPORT,YO41 1LZ,,,,PROGRAMME EXPENDITURE EVIDENCE NON R&D,888800181
DEFRA,DEFRA,01/08/2011,Other Current Payments E,Environment and Rural Group,Food & Environment Research Agency,F0016693,"50,000.00",PO 346799 BIODIVERSITY PROGRAMME /WILDLIFE PROTECTION & MANAGEMENT,UK AMBITION,YO41 1LZ,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,23/08/2011,Other Current Payments UK,Environment and Rural Group,Food & Environment Research Agency,F0017122,"162,144.00",PO 347813 GDS PAY - JUNE & JULY 2011,MODELLING OF TROPOSHERIC OZONE 1.4.11-30.6.11,YO41 1LZ,,,GDSFERA2,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,23/08/2011,Other Current Payments UK,Environment and Rural Group,Food & Environment Research Agency,F0017123,"83,179.00",PO 347813 GDS NON PAY JUN-JUL 11,JULY 2011 CHARGES FOR OZONE MEASUREMENT,YO41 1LZ,,,GDSFERA2,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,19/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,Hyder Consulting Ltd,IUG00006094,"32,009.00",PO 328284 UA001104 (NE03083) VIRUSES IN WATER,Contract for the provision of Technical Support for the Water Technology List 2011\12,CF3 0EY,SME,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,17/08/2011,Other Current Payments E,Environment and Rural Group,IBM United Kingdom Ltd,5807111657,"73,891.20",PO 348039 APR10D068 01/07/11 - 31/07/11,ASELINE MEASUREMENT OF OZONE,GU1 2LD,SME,FRW10040-00,,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,17/08/2011,Other Current Payments E,Environment and Rural Group,IBM United Kingdom Ltd,5808110332,"30,786.13",PO 348039 PERIOD 01/08/11 - 31/08/11,Improved understanding and management of shellfish fisheries,GU1 2LD,SME,FRW10040-00,,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,17/08/2011,Other Current Payments E,Environment and Rural Group,IBM United Kingdom Ltd,5808110333,"29,789.44",PO 346826 APR10D069 15/04/11 - 27/05/11,Cefas High Level Agreement Partnership - - Joint Nature Conservation Committee,GU1 2LD,SME,FRW10040-00,,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,15/08/2011,Current Transfers Abroad UK,Environment and Rural Group,International Union for Conservation of Nature,582,"35,000.00",FOREIGN PAYMENT,Research supporting the extended Smartbouy network,,,,,CURRENT GRANTS,
DEFRA,DEFRA,19/08/2011,Grant-in Aid Payments,Environment and Rural Group,Joint Nature Conservation Committee,80811,"564,000.00",PO 345762- GRANT-IN-AID PAYMENT FOR JNCC -AUGUST 2011,Jonit Nature Conservation Committee FUNDING FOR AUG 2011,PE1 1JY,,,,NON BUDGET NON ESTIMATE,
DEFRA,DEFRA,23/08/2011,Other Current Payments E,Environment and Rural Group,JSS Pensions Administration,2490,"110,380.28",PO 345753 NCC GROSS MONTHLY ACP COSTS JULY 2011,AIR QUALITY TECHNICAL SUPPORT,SN2 1UY,,,,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,30/08/2011,Other Current Payments E,Environment and Rural Group,Lincolnshire Fire & Rescue,90659632,"30,000.00",PO 347988- FY11/12 LONCS WATERMARK FLOOD EXERCISE,FEES FOR Local Air Quality Management  SERVICES,LN5 8EL,,,,PROGRAMME EXPENDITURE,129392355
DEFRA,DEFRA,11/08/2011,Other Current Payments E,Environment and Rural Group,Local Partnerships LLP,41100761,"250,089.35",PO 346996 WIDP TRANSACTOR SUPPORT ETC JULY 2011,MAINTENANCE CONTRACT 4352883,EC1M 5LG,SME,14265,WLASUCON,PROGRAMME EXPENDITURE,945707987
DEFRA,DEFRA,12/08/2011,Grant-in Aid Payments,Environment and Rural Group,Marine Management Organisation,80811,"400,000.00",PO 336004- GRANT-IN-AID TO MMO -AUGUST 2011,WIDP TRANSACTOR SUPPORT ETC JULY 2011,NE4 7YH,,,,NON BUDGET NON ESTIMATE,
DEFRA,DEFRA,01/08/2011,Grant-in Aid Payments,Environment and Rural Group,Marine Management Organisation,260711,"2,400,000.00",PO 336004 GRANT IN AID AUGUST 2011,PROVISION OF RURAL DEVELOPMENT PROGRAMME ENGLAND (RDPE) DATABASE TRANSITION( DEFRA CONTRACT - RDPE database).,NE4 7YH,,,,NON BUDGET NON ESTIMATE,
DEFRA,DEFRA,11/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,Meteorological Office,80811,"39,105.48",PO 344853- FY 11/12 - ITEM -AQ902-SCIENTIFIC SUPPORT FOR NIP,FY11/12 Lincolnshire  WATERMARK FLOOD EXERCISE,EX1 3PB,,,AQRDXXXX,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,19/08/2011,Other Current Payments E,Environment and Rural Group,Meteorological Office,I0076960,"575,000.00",PO 316266 01/07/2011 - 30/09/2011 FY 11/12 Q2 FLOOD FORECASTING,10D-068 WPO-Phase 1 – Desktop/Infrastructure Transition: Del 1 Project Plan: Fixed Price basis: RFS 104122,EX1 3PB,,,,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,19/08/2011,Consultancy Non-Scheme,Environment and Rural Group,Ministry Of Justice,10ME11099,"25,000.00",PO 348456 LAW COMMISSION WILDLIFE PROJECT WORK APR-JUN 2011,10D-068 WPO-Phase 1 – Desktop/Infrastructure Transition: Del 1 Project Plan: Fixed Price basis: RFS 104122,NP20 9FN,,,,ADMIN - CONSULTANCY,
DEFRA,DEFRA,17/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,Nanotechnology Industries Association Ltd,290711,"89,492.64",PO 323618 GRANT QUART 2 2011 APR TO JUN 2011,Rural Environment Programme England - IT transition doc: Time and Material,SW1X 8PS,SME,,,PROGRAMME EXPENDITURE EVIDENCE R&D,935972481
DEFRA,DEFRA,03/08/2011,Evidence Non R&D,Environment and Rural Group,National Physical Laboratory,108956,"28,772.40",PO 303626 METALS EXTENSION INV FOR JULY 2011,Development of an integrated pest management strategy for control of pollen beetles in winter oilseed rape,TW11 0LW,SME,10904/9&10,AQNONRDX,PROGRAMME EXPENDITURE EVIDENCE NON R&D,
DEFRA,DEFRA,05/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,National Physical Laboratory,108957,"29,828.40",PO 344126 PARTICULATE COUNTING NETWORK JULY 2011,REIMBURSEMENT OF LEGAL CHARGES EXPENDITURE PERIOD APR 2011,TW11 0LW,SME,,AQRDXXXX,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,02/08/2011,Grant-in Aid Payments,Environment and Rural Group,Natural England,210711,"12,000,000.00",PO 345967 GRANT IN AID FOR NE - AUG 11,RESTORE PACIFIC ISLAND ECOSYSTEMS JUL-SEP 2011,YO1 7PX,,,,NON BUDGET NON ESTIMATE,551065074
DEFRA,DEFRA,01/08/2011,Other Current Payments E,Environment and Rural Group,Natural England,8000005293,"109,115.11",PO 348217 REIMBURSEMENT OF LEGAL CHARGES EXPENDITURE PERIOD APR 2011,DARWIN GRANT APR 2010-MAR 2011 REF 17-026,YO1 7PX,,,BOLTFELL,PROGRAMME EXPENDITURE,551065074
DEFRA,DEFRA,23/08/2011,Other Current Payments E,Environment and Rural Group,North Yorkshire Fire & Rescue Authority,170811,"76,861.00",PO 348634 FY10/11 FLOOD RESCUE GRANT PAYMENT PHASE 2,LAW COMMISSION WILDLIFE PROJECT WORK APR-JUN 2011,DL6 2ND,,,,PROGRAMME EXPENDITURE,660035665
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,Rothamsted Research.,7130000951,"91,483.50",PO 332508 - REF LK09108 YEAR 3,OPERATION OF WHEAL JANE AND THE CA'S MANAGEMENT FEE-CHARGES FOR QTR JULY-SEPT 2011,AL5 2JQ,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,197420151
DEFRA,DEFRA,23/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,Scott Wilson Ltd,4733216,"25,833.90",PO 344537 FEES IN RESPECT OF DRAFT FINAL REPORT MILESTONE 2,Rights of Way 1st Quarterly charges 2011/12,RG21 7PP,SME,,,PROGRAMME EXPENDITURE EVIDENCE R&D,818301939
DEFRA,DEFRA,05/08/2011,Current Grants E,Environment and Rural Group,St Helena National Trust,150611,"28,025.50",PO 337648 18-020 BIODIVERSITY IN ST HELENA 1/7-30/9/11,Enivironment Agency GRANT IN AID,STHL 1ZZ,SME,,DARWINXX,CURRENT GRANTS,
DEFRA,DEFRA,23/08/2011,Other Current Payments E,Environment and Rural Group,The Coal Authority,CA085737,"414,426.00",PO 346884- OPERATION OF WHEAL JANE AND THE CA'S MANAGEMENT FEE-CHARGES FOR QTR JULY-SEPT 2011, 'Investigation of Peatland Restoration (Grip Blocking): Techniques to Achieve Best Outcomes for Methane & Greenhouse Gas Emissions/ Balance',NG18 4RG,SME,,,PROGRAMME EXPENDITURE,598585068
DEFRA,DEFRA,12/08/2011,Other Current Payments E,Environment and Rural Group,The Planning Inspectorate,CP005209,"97,350.41",PO 348290 ROW2 1ST QTR 11/12,Soils Research & Development project - Landis Reference Support,BS1 6PN,,,,PROGRAMME EXPENDITURE,888848043
DEFRA,DEFRA,03/08/2011,Evidence Non R&D,Environment and Rural Group,Transport & Travel Research Ltd,2011041,"26,053.18",PO 344525 AD HOC WORK 2.5 DAYS REPORTS APPRAISAL,BIODIVERSITY PROGRAMME QTR 1 APR-JUN 2011 PROJECT C,BS2 8RR,SME,13574,AQNONRDX,PROGRAMME EXPENDITURE EVIDENCE NON R&D,596222973
DEFRA,DEFRA,17/08/2011,Other Current Payments E,Environment and Rural Group,U N Economic Commission For Europe,40511,"195,582.47",2011 CONTRIBUTION,BIODIVERSITY PROGRAMME /WILDLIFE PROTECTION & MANAGEMENT,,,,,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,15/08/2011,Other Current Payments E,Environment and Rural Group,U N Economic Commission For Europe,80411,"215,477.04",FOREIGN EMEP TRUST FUND,Government Decontamination Service  PAY - JUNE & JULY 2011,,,,,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,University Of Leeds,ERS-484359-35182,"29,271.00",SP1202 Jul11 'Investigation of Peatland Restoration (Grip Blocking): Techniques to Achieve Best Outcomes for Methane & Greenhouse Gas Emissions/ Balance' (8/3/10 to 7/1/15),Government Decontanination Service NON PAY JUN-JUL 11,LS2 9JT,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,19/08/2011,Current Grants E,Environment and Rural Group,University Of Leicester,290711,"32,671.00",PO 321963 DARWIN GRANT 16-006 1/4-31/10/10,FY 11/12 Q2 FLOOD FORECASTING,LE1 7RH,,,DARWINXX,CURRENT GRANTS,916583894
DEFRA,DEFRA,23/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,University of Oxford,RIRF120077225,"309,532.24",PO 346655 GRANT REF CPEG23 1/4/11 - 30/6/11,VIRUSES IN WATER,OX1 2XN,,,UKCIPCON,PROGRAMME EXPENDITURE EVIDENCE R&D,195275334
DEFRA,DEFRA,05/08/2011,Other Current Payments E,Environment and Rural Group,University Of Southampton,44088482,"60,442.92",PO 347694 RDPE TRANSITION DATABASE,UK Climate Impact Programme ,SO17 1BJ,,14451,,PROGRAMME EXPENDITURE,568630414
DEFRA,DEFRA,15/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,9.08E+11,"30,593.20",PO 344545 AC0116,Research project - GHG Platform - Nitrous Oxide Emissions Factors,WV6 8TQ,,,SFFS0005,PROGRAMME EXPENDITURE EVIDENCE R&D,685426895
DEFRA,DEFRA,15/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,9.08E+11,"33,846.00",PO 335106 AC0213,Research Project AC0213 - Potential for nitrification inhibitors and fertiliser nitrogen application timing strategies to reduce direct and indirect nitrous oxide emissions from UK agriculture,WV6 8TQ,,,SFFS0005,PROGRAMME EXPENDITURE EVIDENCE R&D,685426895
DEFRA,DEFRA,15/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,9.08E+11,"34,923.19",PO 308248 AC0111 (VARIATION),Research Project AC0111 - Air quality measurements on cracking clay soils,WV6 8TQ,,,SFFS0005,PROGRAMME EXPENDITURE EVIDENCE R&D,685426895
DEFRA,DEFRA,15/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,9.08E+11,"78,094.20",PO 287023 WQ0118,Research project AC0116 - Understanding the behaviour of livestock manure multiple pollutants through contrasting cracking clay soils ,WV6 8TQ,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,685426895
DEFRA,DEFRA,25/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,RIRP054634,"124,067.62",PO 348331- ADAS JOB CODE:XBM6573-8(HORTLINK-SECPTRE) HL01109 PERIOD: OCTOBER 2010 -JUNE 2011,HL01109 - Sustainable Crop and Environment Protection – Targeted Research for Edibles: SCEPTRE - ADAS,WV6 8TQ,,,SFFS0006,PROGRAMME EXPENDITURE EVIDENCE R&D,685426895
DEFRA,DEFRA,01/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,RIRP054653,"29,654.87",PO 339949- ADAS JOB CODE: XAC1618-1REF:LK09130-COSTS FOR APRIL-JUNE 2011 QUARTER,"LK09130 - Reducing the impact of Sclerotinia disease on arable rotations, land use and vegetable crops - ADAS UK Ltd",WV6 8TQ,,,SFFS0006,PROGRAMME EXPENDITURE EVIDENCE R&D,685426895
DEFRA,DEFRA,25/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,RIRP055132,"31,385.96",PO 321741 XDW8001-1 APRIL - JUNE 2011,LK09109 - Practical cost-effective techniques to reduce pollution from tramlines in combinable crops: a field and catchment scale evaluation,WV6 8TQ,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,685426895
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,RIRP055188,"108,151.15",PO 347935 LK09128 XAA1521-4 1/4/11 - 30/06/11,Research project - Minimising nitrous oxide intensities of arable crop products,WV6 8TQ,,,SFFS0005,PROGRAMME EXPENDITURE EVIDENCE R&D,685426895
DEFRA,DEFRA,09/08/2011,Evidence Non R&D,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,3000006672,"184,998.17",PO 346752 XA0015 FALLEN STOCK  MISINC,"AHVLA Fallen Stock Sampling Fee (Fallen cattle, sheep and goats)",KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE NON R&D,888800181
DEFRA,DEFRA,30/08/2011,Evidence Non R&D,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,3000006698,"45,434.11",PO 346752 FALLEN STOCK JULY 2011,"AHVLA Fallen Stock Sampling Fee (Fallen cattle, sheep and goats)",KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE NON R&D,888800181
DEFRA,DEFRA,01/08/2011,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000002843,"57,802.36",PO 346823 PFC EMI APRIL,Six Months' Funding of Food Chain (1st April 2011 to 30th September 2011),YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,01/08/2011,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000002844,"166,673.55",PO 346823 PFC TSE APRIL 2011,Six Months' Funding of Food Chain (1st April 2011 to 30th September 2011),YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,01/08/2011,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000002845,"176,684.26",PO 346825 DRR REG & MOVE (ID & GATHERINGS),Six Months' Funding of Disease Risk (1st April 2011 to 30th September 2011),YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,01/08/2011,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000002846,"166,663.41",PO 346825 DRR ABP APRIL,Six Months' Funding of Disease Risk (1st April 2011 to 30th September 2011),YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,01/08/2011,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000002847,"81,864.09",PO 346900 WILDLIFE LICENSING,Payment to AHVLA,YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,01/08/2011,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000002906,"6,151,224.36",PO 347146 TB APRIL CHARGES,"Three Months' Funding of TB, 1st April 2011 to 30th June 2011",YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,30/08/2011,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003082,"95,332.35",Po 346823 PROTECTING THE FOOD CHAIN,Six Months' Funding of Food Chain (1st April 2011 to 30th September 2011),YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,30/08/2011,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003083,"53,703.10",PO 346823 TSE CHARGES MAY 11,Six Months' Funding of Food Chain (1st April 2011 to 30th September 2011),YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,30/08/2011,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003084,"216,439.70",PO 346825 DRR ABP CHARGES MAY 2011,Six Months' Funding of Disease Risk (1st April 2011 to 30th September 2011,YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
