Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,,
Cabinet Office,Cabinet Office,08/11/11,Agency and Temporary Staff,GOVERNMENT CIO,CAPITA RESOURCING LTD,3000020448,"47,906.46",Commercial leadership resources in support of the Public Sector Network (PSN) programme,SL6 1DP,Large,Programme,,
Cabinet Office,Cabinet Office,08/11/11,Accommodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000020455,"35,774.72",Facilities Management Services,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,08/11/11,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,COI CENTRAL OFFICE OF INFORMATION,3000020452,"26,266.96","Media advertising, publication, typesetting and editing, in relation to the Boundary Commission for England: The 2013 Review",SE1 7DU,Large,Programme,,
Cabinet Office,Cabinet Office,08/11/11,Accommodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000020455,"25,909.45",Facilities Management Services,BN1 1HQ,Large,Administration,,
Cabinet Office,Government Procurement Service,08/11/11,GSI COS,Network Services,CESG,PINDOH 33570,"46,833.00",Security costs for government secure intranet,GL51 0EX,Gov Dept,Programme,,
National School of Government,National School of Government,08/11/11,De Vere PFI contract fee,Corporate Services & Operation,De Vere Venues Ltd,64DEVE009102719542603/11/2011," 123,084.35 ",Private Finance Initiative payment for student & office accommodation,WD6 3FG,Large,Admin,,
Cabinet Office,Cabinet Office,09/11/11,Accommodation and Utilities,PRIME MINISTERS OFFICE,BT,3000020497,"62,350.72",Telecoms line rentals,DH98 1BT,Large,Administration,,
Cabinet Office,Cabinet Office,10/11/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000020528,"916,349.76",Facilities Management Services,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,10/11/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000020528,"81,164.76",Facilities Management Services,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,10/11/11,Agency and Temporary Staff,GOVERNMENT CIO,ADVALUS LTD,3000020522,"76,500.00","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SN13 0RP,SME,Programme,,
Cabinet Office,Cabinet Office,10/11/11,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000020529,"66,348.61",High Integrity Telecoms System project costs,L2 3YL,Large,Programme,,
Cabinet Office,Cabinet Office,10/11/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000020528,"57,716.64",Facilities Management Services,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,10/11/11,Supplies and Services,OFFICE OF THE THIRD SECTOR NDPBS,NATIONAL AUDIT OFFICE,3000020530,"29,000.00",Audit fees for the production of the 2010-11 Annual Accounts for Capacitybuilders,SW1W 9SP,Large,Programme,,
Cabinet Office,Cabinet Office,11/11/11,Resource Grants to Central Government Bodies,GOVERNMENT DIGITAL SERVICE,DEPARTMENT OF HEALTH,3000020548,"173,728.80",Payment to Department of Health for Web Club Services,LS2 7UE,Large,Programme,,
Cabinet Office,Cabinet Office,11/11/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000020549,"165,076.14",Facilities Management Services,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,11/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,FUTURE FOUNDATIONS,3000020551,"147,964.00",National Citizen Service project grant,SW11 1TT,SME,Programme,,
Cabinet Office,Cabinet Office,11/11/11,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000020554,"99,124.10",High Integrity Telecoms System project costs,L2 3YL,Large,Programme,,
Cabinet Office,Cabinet Office,11/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SEFTON COUNCIL FOR VOLUNTARY SERVICE,3000020558,"58,285.00",National Citizen Service project grant,L22 0NY,SME,Programme,,
Cabinet Office,Cabinet Office,11/11/11,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000020556,"38,211.64",Reprographic services,CR5 2HR,Large,Administration,,
Cabinet Office,Government Procurement Service,11/11/11,IT Software <£5000,IT,Bytes Technology Group Ltd,PINDOH 33682,"77,633.64",Microsoft enterprise agreement,KT17 1TS,Large,Administration,,
Cabinet Office,Government Procurement Service,11/11/11,Bravo License Costs,IT,Bravosolution UK Ltd,PINVP2P 303,"33,420.00",Licences for procurement evaluation system,EC2M 7AD,Large,Administration,,
Cabinet Office,Cabinet Office,14/11/11,Accommodation and Utilities,ESTATE MANAGEMENT,MITIE MANAGED SERVICES LTD,3000020583,"48,911.10",Facilities Management Services,PR7 6TE,Non-SME,Administration,,
Cabinet Office,Cabinet Office,14/11/11,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000020587,"28,108.10",2011/12 Fees and Disbursements.,WC2B 4TS,Large,Administration,,
Cabinet Office,Cabinet Office,15/11/11,Accommodation and Utilities,GOVERNMENT DIGITAL SERVICE,COI CENTRAL OFFICE OF INFORMATION,3000020614,"125,000.00",Rent for accommodation,SE1 7DU,Large,Programme,,
Cabinet Office,Cabinet Office,15/11/11,Research and Development,OFFICE FOR CIVIL SOCIETY,NATIONAL CENTRE FOR SOCIAL RESEARCH,3000020633,"108,420.00",Research into youth participation,EC1V 0AX,SME,Programme,,
Cabinet Office,Cabinet Office,15/11/11,Accommodation and Utilities,GOVERNMENT DIGITAL SERVICE,COI CENTRAL OFFICE OF INFORMATION,3000020614,"80,896.80",Quarterly service charge on accommodation,SE1 7DU,Large,Programme,,
Cabinet Office,Cabinet Office,15/11/11,Accommodation and Utilities,GOVERNMENT DIGITAL SERVICE,COI CENTRAL OFFICE OF INFORMATION,3000020614,"48,387.00",Quarterly rate charge on accommodation,SE1 7DU,Large,Programme,,
Cabinet Office,Cabinet Office,17/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BSB 42 LTD,3000020669,"870,144.00",An advance towards set up costs of the Big Society Bank,W1B 1NB,SME,Programme,,
Cabinet Office,Cabinet Office,17/11/11,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,RICOH UK LTD,3000020684,"58,380.73",Printing of documents for Boundary Commission for England: The 2013 Review,CR5 2HR,Large,Programme,,
Cabinet Office,Cabinet Office,17/11/11,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000020684,"40,676.84",Reprographic services,CR5 2HR,Large,Administration,,
Cabinet Office,Cabinet Office,17/11/11,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,BT,3000020670,"30,351.28",BT Telephone Line rental,DH98 1BT,Large,Administration,,
Cabinet Office,Government Procurement Service,17/11/11,GSI COS,Network Services,CESG,PINDOH 33689,"46,833.00",Security costs for government secure intranet,GL51 0EX,Gov Dept,Programme,,
Cabinet Office,Cabinet Office,18/11/11,Consultancy,CIVIL SERVICE PENSIONS,PRICEWATERHOUSE COOPERS,3000020715,"813,574.88",Professional Services,E14 9SQ,Large,Administration,,
Cabinet Office,Cabinet Office,18/11/11,IT Costs,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000020705,"74,347.04",Fujitsu: Change Projects,SW1A 2WH,Large,Administration,,
Cabinet Office,Cabinet Office,18/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,PETROC,3000020714,"33,998.00",National Citizen Service project grant,EX31 2BQ,Large,Programme,,
Cabinet Office,Cabinet Office,18/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,FYLDE COAST YMCA,3000020706,"29,956.00",National Citizen Service project grant,FY6 7PU,Large,Programme,,
Cabinet Office,Cabinet Office,18/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,VOICE4CHANGE ENGLAND LTD,3000020721,"26,667.00",Strategic partners project grant ,N1 9LH,SME,Programme,,
Cabinet Office,Cabinet Office,22/11/11,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000020778,"1,808,333.33",Monitoring services provided by the BBC,M14 0EP,Large,Programme,,
Cabinet Office,Cabinet Office,22/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE FOOTBALL LEAGUE COMMUNITY LTD,3000020801,"401,501.00",National Citizen Service project grant ,PR2 2FY,SME,Programme,,
Cabinet Office,Cabinet Office,22/11/11,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,ORC INTERNATIONAL LIMITED,3000020795,"315,418.00",Civil Service Staff Survey,N1 9AH,Large,Administration,,
Cabinet Office,Cabinet Office,22/11/11,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000020804,"207,852.39","TSOL Capitation Costs, Fees and Disbursements",WC2B 4TS,Large,Administration,,
Cabinet Office,Cabinet Office,22/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ACADEMY OF YOUTH LTD T/A UNIVERSITY OF FIRST AGE,3000020776,"28,640.00",National Citizen Service project grant,B3 1EP,SME,Programme,,
Cabinet Office,Cabinet Office,23/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY FOUNDATION NETWORK,3000020819,"200,000.00",Dispossessed Fund grant ,N1 9HS,Large,Programme,,
Cabinet Office,Cabinet Office,23/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,V,3000020834,"41,000.00",National Citizen Service project grant,SW1P 2AH,Large,Programme,,
Cabinet Office,Cabinet Office,24/11/11,Accommodation and Utilities,ESTATE MANAGEMENT,ST ANDREWS PARK NORWICH LTD,3000020871,"240,675.00",Rent for accommodation,NR10 3JU,Large,Administration,,
Cabinet Office,Cabinet Office,24/11/11,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000020860,"79,518.07",Fast Stream Recruitment,HP2 7DN,SME,Administration,,
Cabinet Office,Cabinet Office,24/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,GLOBAL ACTION PLAN,3000020849,"54,940.00",National Citizen Service project grant,WC2B 4AY,SME,Programme,,
Cabinet Office,Cabinet Office,28/11/11,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,3000020939,"197,674.80",A £100m fund to support organisations to transition to a new funding environment,EC4A 1DE,Large,Programme,,
Cabinet Office,Cabinet Office,28/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,PARTNERSHIP NETWORK LTD,3000020947,"62,202.00",National Citizen Service project grant,PO17 5PQ,SME,Programme,,
Cabinet Office,Cabinet Office,28/11/11,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000020946,"44,189.13",High Integrity Telecoms System project costs,L2 3YL,Large,Programme,,
Cabinet Office,Cabinet Office,28/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BUSINESS IN THE COMMUNITY,3000020940,"41,635.00",Project grant to deliver and evaluate a pilot of 20 Business Connectors in communities across England.,N1 7RQ,Large,Programme,,
Cabinet Office,Cabinet Office,29/11/11,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000020971,"126,939.00",November payment for Web site monitoring and usage analysis,HP2 7AH,Large,Programme,,
Cabinet Office,Cabinet Office,29/11/11,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,MAXXIM CONSULTING LLP,3000020967,"80,640.00",Assist in the development of a business case for the future back office shared services model for Central Government,W1F 7JW,SME,Administration,,
Cabinet Office,Cabinet Office,29/11/11,Accommodation and Utilities,PRIME MINISTERS OFFICE,BT,3000020961,"49,226.19",Telecoms line rentals,DH98 1BT,Large,Administration,,
Cabinet Office,Cabinet Office,29/11/11,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000020971,"41,317.75",November payment for Implementation services to further develop the Directgov site and Managed Service to host and maintain the Directgov site.,HP2 7AH,Large,Programme,,
Cabinet Office,Cabinet Office,30/11/11,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,HM REVENUE & CUSTOMS,3000020991,"2,537,000.00",Redistribution of departmental contributions to the cost of Civil Service HR Expert Services,WC2B 4RD,Large,Administration,,
Cabinet Office,Cabinet Office,30/11/11,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000020998,"488,994.48",High Integrity Telecoms System project costs,L2 3YL,Large,Programme,,
Cabinet Office,Cabinet Office,30/11/11,Hire of Plant and Machines,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000020998,"457,499.41",MOD Accommodation charge,L2 3YL,Large,Administration,,
Cabinet Office,Cabinet Office,30/11/11,IT Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,CORPORATE DOCUMENT SERVICES LTD,3000020986,"31,168.78","Monthly payment for support, maintenance and development of e-PIMS, the government property database",LS2 LY,Large,Administration,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
