Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Latest Contract Number,Project Code,Expenditure Type
,,01/03/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,PUBLIC HEALTH ENGLAND PHE033,HAFS-20692,"£5,085,000.00",,SP4 0JG,PUBLIC,,,
,,01/03/2016,Publicity & advertising,"DG: Social Care, Local Growth & Care Partnerships",PUBLIC HEALTH ENGLAND PHE033,6133673,"£65,600.00",,SW1W 9SZ,PUBLIC,,,
,,01/03/2016,Publicity & advertising,"DG: Social Care, Local Growth & Care Partnerships",PUBLIC HEALTH ENGLAND PHE033,6133673,"-£65,600.00",[21] Public Health England - Public Awareness Campaign phase 1 & 2,SW1W 9SZ,PUBLIC,,,
,,01/03/2016,Outsourcing Contract,DG: Public & International Health,NHS SUPPLY CHAIN,9046000089,"£41,661.11",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,PUBLIC,,,
,,01/03/2016,Outsourcing Contract,DG: Public & International Health,NHS BLOOD AND TRANSPLANT (NHSBT),953040,"£296,343.00",Improving stem cell services UK 2015/16,LS15 7TW,PUBLIC,,,
,,01/03/2016,Rent of Land & Buildings (non-PFI operating lease),"DG: Finance, Commercial & NHS",ABPGP S1 LTD & ABPGP S2 LTD,10100/2150,"£49,747.36","ABPGP Ltd. for rent of 4630 Kingsgate, Oxford Business Park - SO5400",SN1 1DA,LARGE,,,
,,01/03/2016,Addition Clearing - P&M,DG: Group Operations,EMCOR FACILITIES SERVICES LTD,00409445RI,"£81,406.82","Skipton House – Lift No.8 - controller, safety gear, gear, motor, ropes and car interior ",SO53 3YE,LARGE,,,
,,01/03/2016,Addition Clearing - OLB,DG: Group Operations,EMCOR FACILITIES SERVICES LTD,00409446RI,"£1,035,478.19",Wellington - Façade - Full Renewal Works,SO53 3YE,LARGE,,,
,,01/03/2016,Addition Clearing - F&F,DG: Group Operations,EMCOR FACILITIES SERVICES LTD,00409448RI,"£40,218.01",Richmond – 2nd Floor-Cathedral Room Staircase Lighting,SO53 3YE,LARGE,,,
,,01/03/2016,Addition Clearing - P&M,DG: Group Operations,EMCOR FACILITIES SERVICES LTD,00409452RI,"£37,192.12",Richmond House - 4th floor  - Media TV installation,SO53 3YE,LARGE,,,
,,01/03/2016,Building repairs & maintenance,DG: Group Operations,EMCOR FACILITIES SERVICES LTD,00409453RI,"£85,178.06",Richmond House - Terrace English Heritage External Masonry stonework repairs,SO53 3YE,LARGE,,,
,,01/03/2016,Building repairs & maintenance,DG: Group Operations,EMCOR FACILITIES SERVICES LTD,00409459RI,"£39,432.00",Skipton House – Lifts –New Access Hatches,SO53 3YE,LARGE,,,
,,01/03/2016,Addition Clearing - IT,DG: Group Operations,ATOS IT SOLUTIONS AND SERVICES LTD,5584206330,"£9,100.75",Add to PO 520369. WR0303-03-CR01: WAN LAN improvement project,WS11 0JA,LARGE,,,
,,01/03/2016,Addition Clearing - IT,DG: Group Operations,ATOS IT SOLUTIONS AND SERVICES LTD,5584206330,"£20,842.25",Add to PO 520369. WR0303-03-CR01: WAN LAN improvement project,WS11 0JA,LARGE,,,
,,01/03/2016,Expense clearing GPC (ST),DG: Holding CT Core,THE ROYAL BANK OF SCOTLAND PLC,6018001-29-MAR-16,"£24,163.08",,SS1 9AJ,LARGE,,,
,,01/03/2016,Service charge,"DG: Innovation, Growth & Technology",CABLE AND WIRELESS COMMUNICATION (VODAFONE),458831,"£1,138,014.44",Revenue charges for the Period commencing FY15/16: Vodafone NHS Mail Extension - Fixed Price Core Services: April - December 15 charges and Transitional Assistance: April - September 15 charges.,RG12 1RW,LARGE,,,
,,01/03/2016,Outsourcing Contract,"DG: Innovation, Growth & Technology",CABLE AND WIRELESS COMMUNICATION (VODAFONE),459098,"£1,133,944.33",Revenue charges for the  Period commencing FY15/16 NHS Mail Extension: Core Services:Q4,RG12 1RW,LARGE,,,
,,01/03/2016,Outsourcing Contract,"DG: Social Care, Local Growth & Care Partnerships",SKILLS FOR HEALTH LTD,3511,"£90,000.00",Development of mental health and learning disabilities core skills frameworks,BS2 0BY,PUBLIC,,,
,,01/03/2016,Essential Meds SPG - Additions,"DG: Innovation, Growth & Technology",Crescent Pharma Ltd,0000017796,"£723,181.37",,,LARGE,,,
,,01/03/2016,Essential Meds SPG - Additions,"DG: Innovation, Growth & Technology",Crescent Pharma Ltd,0000017796,£5.53,,,LARGE,,,
,,01/03/2016,Essential Meds SPG - Additions,"DG: Innovation, Growth & Technology",BRISTOL LABORATORIES LTD,9070689,"£402,896.64",,,LARGE,,,
,,01/03/2016,Essential Meds SPG - Additions,"DG: Innovation, Growth & Technology",SIGMA PHARMACEUTICALS PLC,I655107,"£241,149.09",,,SME,,,
,,01/03/2016,Essential Meds SPG - Additions,"DG: Innovation, Growth & Technology",SIGMA PHARMACEUTICALS PLC,I655107,£0.91,,,SME,,,
,,01/03/2016,Policy Payments,"DG: Finance, Commercial & NHS",DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT (DCLG),LA/SOCIALCARE/PFI - 4TH PAYMENT 15/16,"£6,168,870.00",DCLG payments in respect of LA social care PFI - 2015-16,SW1E 5DU,PUBLIC,,,
,,01/03/2016,Policy Payments,"DG: Innovation, Growth & Technology",HM REVENUE AND CUSTOMS HMRC,18000040932015,£0.73,,BN12 4XH,PUBLIC,,,
,,01/03/2016,Research & development,DG: Research & Development,WARWICK UNIVERSITY OF,ERS-551557-117064,"£25,000.00",TARs,CV4 7AL,PUBLIC,,,
,,01/03/2016,Research & development,DG: Research & Development,LIVERPOOL UNIVERSITY OF,ERS-551558-117062,"£25,000.00",TARs,L69 3BX,PUBLIC,,,
,,01/03/2016,Research & development,DG: Research & Development,CARDIFF UNIVERSITY,ERS-551560-117061,"£30,735.05",NIHR Public Health Research ( NETSCC ),CF24 0DE,PUBLIC,,,
,,01/03/2016,Revenue Grants to non-profit institutions,"DG: Social Care, Local Growth & Care Partnerships",THE LIFE STORY NETWORK CIC,ERS-551565-117081,"£67,698.00",2015/024C The Life Story Network - Beyond the Front Door,Y07 3RL,VCS,,,
,,01/03/2016,Research & development,DG: Research & Development,NATCEN SOCIAL RESEARCH,ERS-551556-117065,"£29,959.00",PROJECTS,EC1V 0AX,PUBLIC,,,
,,02/03/2016,Service charge,DG: Group Operations,MEMERY CRYSTAL LLP,FASTER PAYT,"£67,674.14",,WC2A 1AP,LARGE,,,
,,02/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,SANDWELL & WEST BIRMINGHAM HOSPTIALS NHS TRUST,1166921,"£500,000.00",Support to Sandwell and West Birmingham Hospitals NHS Trust for the Provision of Health Services,B18 7QH,PUBLIC,,,
,,02/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,50510121,"£1,500,000.00",Support to Gloucestershire Care Services NHS Trust for the Provision of Health Services,GL3 4AW,PUBLIC,,,
,,02/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,8610046668,"£10,000,000.00",Support to Royal Liverpool and Broadgreen University Hospitals NHS Trust for the Provision of Health Services,L7 8XP,PUBLIC,,,
,,02/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,I0078867,"£200,000.00",Support to Countess of Chester Hospital NHS Foundation Trust for the Provision of Health Services,CH2 1UL,PUBLIC,,,
,,02/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,LONDON AMBULANCE SERVICE NHS TRUST,L0010932,"£2,000,000.00",Support to London Ambulance Service NHS Trust for the Provision of Health Services,SE1 8SD,PUBLIC,,,
,,02/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0080450,"£3,000,000.00",Support to Frimley Park Hospital NHS Foundation Trust for the Provision of Health Services,GU16 5UJ,PUBLIC,,,
,,02/03/2016,Policy Payments,DG: Public & International Health,LONDON AMBULANCE SERVICE NHS TRUST,L0010907,"£162,414.39",Reimbursement of military manpower costs for OpPRISMED 1 & 2.,SE1 8SD,PUBLIC,,,
,,02/03/2016,Professional fees,"DG: Finance, Commercial & NHS",PRICEWATERHOUSECOOPERS LLP,1354503651,"£22,117.41",DH internal Audit Review Work,E14 9SQ,LARGE,,,
,,02/03/2016,Secondees in invoiced costs,"DG: Finance, Commercial & NHS",ACCENTURE UK LTD,3003311777,"£27,600.00",Salary reimbursement costs (initial 6 months of the secondment),EC3M 3BD,LARGE,,,
,,02/03/2016,Training (Learning and Development),"DG: Finance, Commercial & NHS",CAPITA BUSINESS SERVICES LTD,X96702,"£43,750.00",e-learning courses and conference material and additional video elements,SW1H 0XA,LARGE,,,
,,02/03/2016,Outsourcing Contract,DG: Group Operations,ATOS IT SOLUTIONS AND SERVICES LTD,5584206902,"£38,300.51",Estimated Click Charge,WS11 0JA,LARGE,,,
,,02/03/2016,Outsourcing Contract,DG: Group Operations,ATOS IT SOLUTIONS AND SERVICES LTD,5584206969,"£73,769.45",IMS3 - Telephony - Managed Agency Service (MAS) - payment to 3rd party telephony suppliers,WS11 0JA,LARGE,,,
,,02/03/2016,Addition Clearing - IT,DG: Group Operations,Optevia Ltd,DFH023,"£87,720.00",Optevia Resource for Contact Replacement (SCRIBE) Exception Report,ME18 5JH,SME,,,
,,02/03/2016,Expense clearing GPC (ST),DG: Holding CT Core,THE ROYAL BANK OF SCOTLAND PLC,6018001-29-MAR-16,"£1,337.58",,SS1 9AJ,LARGE,,,
,,02/03/2016,Consultancy/Professional Advice,"DG: Innovation, Growth & Technology",PRICEWATERHOUSECOOPERS LLP,1354509621,"£49,458.00",Accelerated Access Review (AAR) - a review of adaptive pathways (work stream 2) ITT 59941,E14 9SQ,LARGE,,,
,,02/03/2016,Consultancy/Professional Advice,"DG: Innovation, Growth & Technology",PRICEWATERHOUSECOOPERS LLP,1354509621,"£15,000.00",Review of the Early Access to Medicines Scheme (EAMS) ITT 59959,E14 9SQ,LARGE,,,
,,02/03/2016,Essential Meds SPG - Additions,"DG: Innovation, Growth & Technology",WOCKHARDT UK LTD,90285347,"£33,039.50",,,LARGE,,,
,,02/03/2016,Essential Meds SPG - Additions,"DG: Innovation, Growth & Technology",WOCKHARDT UK LTD,90285348,"£216,725.53",,,LARGE,,,
,,02/03/2016,Essential Meds SPG - Additions,"DG: Innovation, Growth & Technology",WOCKHARDT UK LTD,98015606,"£460,434.58",,,LARGE,,,
,,02/03/2016,Essential Meds SPG - Additions,"DG: Innovation, Growth & Technology",KENT PHARMACEUTICALS LTD,EMBS-002,"£1,329,559.91",,,SME,,,
,,02/03/2016,Outsourcing Contract,"DG: Social Care, Local Growth & Care Partnerships",THE NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,INV0101614,"£30,257.40",VCSE Investment Review - Independent Prog Management,N1 9RL,VCS,,,
,,02/03/2016,Revenue Grants to non-profit institutions,"DG: Social Care, Local Growth & Care Partnerships",FAMILY ACTION LTD,ERS-551581-117101,"£29,801.00",2015/16 HSCVF National Aims Ref:54401184 - Social Prescibing Health Champions,EC1V 2PT,VCS,,,
,,02/03/2016,Provisions cash payment,DG: Public & International Health,CAXTON FOUNDATION,CF-18/2015-16,"£127,553.25",Caxton Foundation funding for beneficiary support,EN4 9NX,VCS,,,
,,03/03/2016,Outsourcing Contract,"DG: Finance, Commercial & NHS",SALISBURY NHS FOUNDATION TRUST,H033963,"£257,380.00",Mobilisation activities - Phase 1 adoption of GS1 and PEPPOL standards,SP2 8BJ,PUBLIC,,,
,,03/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,SUSSEX COMMUNITY NHS FOUNDATION TRUST,03/03/2016,"£1,000,000.00",Support to Sussex Community NHS Trust for the Provision of Health Services,BN2 3EW,PUBLIC,,,
,,03/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,MID YORKSHIRE HOSPITALS NHS TRUST,10049968,"£2,000,000.00",Support to Mid Yorkshire Hospitals NHS Trust for the Provision of Health Services,WF1 4TU,PUBLIC,,,
,,03/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210022329,"£2,000,000.00",Support to Hull and East Yorkshire Hospitals NHS Trust for the Provision of Health Services,HU16 5JQ,PUBLIC,,,
,,03/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,LEEDS TEACHING HOSPITAL NHS TRUST,1410039258,"£1,000,000.00",Support to Leeds Teaching Hospitals NHS Trust for the Provision of Health Services,LS9 7TF,PUBLIC,,,
,,03/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810013416,"£700,000.00",Support to Yorkshire Ambulance Service NHS Trust for the Provision of Health Services,WF2 0XQ,PUBLIC,,,
,,03/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,SHROPSHIRE COMMUNITY HEALTH NHS TRUST R1D,50014104,"£900,000.00",Support to Shropshire Community Health NHS Trust for the Provision of Health Services,,PUBLIC,,,
,,03/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,LIVERPOOL COMMUNITY HEALTH NHS TRUST RY1,9610004458,"£400,000.00",Support to Liverpool Community Health NHS Trust for the Provision of Health Services,L7 9NJ,PUBLIC,,,
,,03/03/2016,Professional fees,"DG: Finance, Commercial & NHS",PRICEWATERHOUSECOOPERS LLP,1354516521,"£14,100.61",DH internal Audit Review Work,E14 9SQ,LARGE,,,
,,03/03/2016,Professional fees,"DG: Finance, Commercial & NHS",PRICEWATERHOUSECOOPERS LLP,1354516521,"£8,408.08",DH internal Audit Review Work,E14 9SQ,LARGE,,,
,,03/03/2016,Outsourcing Contract,"DG: Finance, Commercial & NHS",DELOITTE,2410099662,"£160,932.32",Additional services to support various work streams relating to the Model Hospital Delivery.,EC4A 4TR,LARGE,,,
,,03/03/2016,Building repairs & maintenance,DG: Group Operations,EMCOR FACILITIES SERVICES LTD,00409939ARI,"£26,889.65",Skipton House - FM Variable Works FY2015/2016,SO53 3YE,LARGE,,,
,,03/03/2016,Building repairs & maintenance,DG: Group Operations,EMCOR FACILITIES SERVICES LTD,00409941ARI,"£26,981.94",Wellington House - FM Variable Works FY2015/2016 - Order 2,SO53 3YE,LARGE,,,
,,03/03/2016,Building repairs & maintenance,DG: Group Operations,EMCOR FACILITIES SERVICES LTD,00409943ARI,"£60,369.98",Richmond House - FM Variable Works FY2015/2016 - Order 2,SO53 3YE,LARGE,,,
,,03/03/2016,Expense clearing GPC (ST),DG: Holding CT Core,THE ROYAL BANK OF SCOTLAND PLC,6018001-29-MAR-16,"£1,835.74",,SS1 9AJ,LARGE,,,
,,03/03/2016,Service charge,"DG: Innovation, Growth & Technology",CABLE AND WIRELESS COMMUNICATION (VODAFONE),459051,"£80,000.00","Revenue 2015/16 - NHS Mail 2 Vodafone - Revenue charges for the  Period commencing FY15/16: CCNE117 Network Point to point Connection  - One Off Charges 	 ",RG12 1RW,LARGE,,,
,,03/03/2016,Service charge,"DG: Innovation, Growth & Technology",CABLE AND WIRELESS COMMUNICATION (VODAFONE),459051,"£18,888.48",Revenue 2015/16 - NHS Mail 2 Vodafone - Revenue charges for the Period commencing FY15/16: CCNE117 Network Point to point Connection - One Off Charges,RG12 1RW,LARGE,,,
,,03/03/2016,Service charge,"DG: Innovation, Growth & Technology",CSC COMPUTER SCIENCES LTD,5201441823,"£6,685,443.79",Revenue: 2015/16 LSP NME CSC - Non Lorenzo,PR1 8UQ,LARGE,,,
,,03/03/2016,Service charge,"DG: Innovation, Growth & Technology",THE PHOENIX PARTNERSHIP (LEEDS) LTD,GPSOC021A(2),"£144,159.92",Revenue 2015/16 GPSoC Replacement TPP - Patient Facing Services April 15 - March 16,LS18 5TN,SME,,,
,,03/03/2016,Service charge,"DG: Innovation, Growth & Technology",THE PHOENIX PARTNERSHIP (LEEDS) LTD,GPSOCSPFS,"£252,279.86",Revenue 2015/16 GPSoC Replacement TPP - Patient Facing Services April 15 - March 16,LS18 5TN,SME,,,
,,03/03/2016,Essential Meds SPG - Additions,"DG: Innovation, Growth & Technology",WOCKHARDT UK LTD,98015607,"£326,575.67",,,LARGE,,,
,,03/03/2016,Essential Meds SPG - Additions,"DG: Innovation, Growth & Technology",WOCKHARDT UK LTD,98015608,"£653,151.34",,,LARGE,,,
,,03/03/2016,Research & development,DG: Research & Development,KLEIJNEN SYSTEMATIC REVIEWS LTD,A00800,"£146,957.00",TARs,YO19 6FD,SME,,,
,,03/03/2016,Research & development,DG: Research & Development,KLEIJNEN SYSTEMATIC REVIEWS LTD,A00800,"£14,612.00",TARs,YO19 6FD,SME,,,
,,03/03/2016,Research & development,DG: Research & Development,KLEIJNEN SYSTEMATIC REVIEWS LTD,A00801,"£25,000.00",TARs,YO19 6FD,SME,,,
,,03/03/2016,Professional fees,DG: Public & International Health,ROYAL COLLEGE OF SURGEONS OF ENGLAND,9PSR0896,"£80,712.60",RCS Cosmetic Surgery Interspeciality Committee (3 year contract) 2013-2015,WC2A 3PE,PUBLIC,,,
,,03/03/2016,Revenue Grants to non-profit institutions,"DG: Social Care, Local Growth & Care Partnerships",ROYAL SOCIETY FOR THE PREVENTION OF ACCIDENTS (ROSPA),ERS-551693-117121,"£40,154.00","IESD  (RoSPA) Stand Up, Stay up Taking the rise out of falls. 54313288. Financial Year 15/16",B15 1RP,PUBLIC,,,
,,04/03/2016,Outsourcing Contract,"DG: Finance, Commercial & NHS",SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6289609,"£208,850.00",2015-16 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,PUBLIC,,,
,,04/03/2016,Outsourcing Contract,DG: Group Operations,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672394,"£156,000.00",Cyber Incident Response Project Highline,WF3 1WE,PUBLIC,,,
,,04/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,0000176639,"£1,000,000.00",Support to United Lincolnshire Hospitals NHS Trust for the Provision of Health Services,LN2 5QY,PUBLIC,,,
,,04/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST,0030001500,"£785,000.00",Support to Dudley and Walsall Mental Health Partnership NHS Trust for the Provision of Health Services,DY2 8PS,PUBLIC,,,
,,04/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,10107036,"£500,000.00",Support to Shrewsbury and Telford Hospital NHS Trust for the Provision of Health Services,TF6 6TF,PUBLIC,,,
,,04/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,ROYAL CORNWALL HOSPITAL NHS TRUST,2426964,"£5,700,000.00",Support to Royal Cornwall Hospitals NHS Trust for the Provision of Health Services,TR1 2XN,PUBLIC,,,
,,04/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,THE LEEDS COMMUNITY HEALTHCARE NHS TRUST RY6,24877170,"£285,000.00",Support to Leeds Community Healthcare NHS Trust for the Provision of Health Services,WF3 1WE,PUBLIC,,,
,,04/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,ISLE OF WIGHT NHS TRUST,44314920,"£607,000.00",Support to Isle of Wight NHS Trust for the Provision of Health Services,PO30 5TG,PUBLIC,,,
,,04/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,LEWISHAM AND GREENWICH NHS TRUST,8464843,"£7,500,000.00",Support to Lewisham and Greenwich NHS Trust for the Provision of Health Services,SE13 6LH,PUBLIC,,,
,,04/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,LEWISHAM AND GREENWICH NHS TRUST,8464844,"£3,024,000.00",Support to Lewisham and Greenwich NHS Trust for the Provision of Health Services,SE13 6LH,PUBLIC,,,
,,04/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,PORTSMOUTH HOSPITAL NHS TRUST,9305664,"£597,000.00",Support to Portsmouth Hospitals NHS Trust for the Provision of Health Services,PO6 3LY,PUBLIC,,,
,,04/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,PORTSMOUTH HOSPITAL NHS TRUST,9305666,"£750,000.00",Support to Portsmouth Hospitals NHS Trust for the Provision of Health Services,PO6 3LY,PUBLIC,,,
,,04/03/2016,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,WALSALL HEALTHCARE NATIONAL HEALTH SERVICE TRUST,C039946,"£5,600,000.00",Support to Walsall Healthcare NHS Trust for the Provision of Health Services,WS2 9PS,PUBLIC,,,
,,04/03/2016,Professional fees,DG: Strategy & External Relations,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000023675,"£263,253.23",NHS Pensions BSA 2015 - 16,NE1 6SN,PUBLIC,,,
,,04/03/2016,Professional fees,DG: Strategy & External Relations,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000023674,"£353,721.59",NHS Pensions BSA 2015 - 16,NE1 6SN,PUBLIC,,,
,,04/03/2016,Professional fees,DG: Strategy & External Relations,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000023673,"£32,786.44",NHS Pensions BSA 2015 - 16,NE1 6SN,PUBLIC,,,
,,04/03/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,15356994,"£83,264.72",Capital 2015/16 NME LSP Lorenzo Warrington & Halton NHSFT reimbursement of internal Trust costs Oct'15,WA7 2DA,PUBLIC,,,
,,04/03/2016,Service charge,"DG: Innovation, Growth & Technology",WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,15356994,"£255,834.93",Revenue 2015/16 NME LSP Lorenzo Warrington & Halton NHSFT reimbursement of internal Trust costs Oct'15,WA7 2DA,PUBLIC,,,
,,04/03/2016,Rent of Land & Buildings (non-PFI operating lease),DG: Group Operations,LONDON AND REGIONAL PROPERTIES LTD,194646-25/3/2016,"£1,511,906.00",Skipton House - Accommodation Rent for FY2015/16 - Property Ref:194646,W1U 7DA,LARGE,,,
,,04/03/2016,Rent of Land & Buildings (non-PFI operating lease),DG: Group Operations,MAPELEY BETA ACQ LTD C/O FI REAL ESTATE MANAGEMENT LTD,90/001/001/25/03/2016,"£84,625.00",Premier House - Accommodation Rent for FY2015/16 - Property Ref:786338,SE1 0TA,LARGE,,,
,,04/03/2016,Addition Clearing - IT,DG: Group Operations,Optevia Ltd,DFH024,"£44,574.00",Optevia Resource for Contact Replacement (SCRIBE),ME18 5JH,SME,,,
,,04/03/2016,Printing,"DG: Social Care, Local Growth & Care Partnerships",WILLIAMS LEA LTD,DH16020006,"£46,167.43","FGM MR Pack - design, print and mailout",W1F 8PR,LARGE,,,
,,04/03/2016,Outsourcing Contract,"DG: Social Care, Local Growth & Care Partnerships",ASSOCIATION OF DIRECTORS OF ADULT SOCIAL SERVICES,5414,"£199,999.20",ADASS to provide leadership and expert advice for adults social care,CH7 1XP,PUBLIC,,,
,,04/03/2016,Essential Meds SPG - Additions,"DG: Innovation, Growth & Technology",BRISTOL LABORATORIES LTD,9075675,"£91,055.80",,,LARGE,,,
,,04/03/2016,Training (Learning and Development),DG: Group Operations,HM REVENUE AND CUSTOMS HMRC,18000042742015,"£56,969.61",HMRC Corporate Fast Stream Programme Costs for financial year 2015 - 16,WC2B 4RD,PUBLIC,,,
