Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CALDERDALE PCT,HAFS-9647,25000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HASTINGS & ROTHER PCT,HAFS-9683,25000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LUTON TEACHING PCT,HAFS-9707,25200000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH TYNESIDE PCT,HAFS-9729,25500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH EAST SHA,HAFS-9724,25600000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),KNOWSLEY PCT,HAFS-9698,26100000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH GLOUCESTERSHIRE PCT,HAFS-9756,27000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),GATESHEAD PCT,HAFS-9673,27400000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HARROW PCT,HAFS-9681,27500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MILTON KEYNES PCT,HAFS-9712,27500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),REDBRIDGE PCT,HAFS-9741,28500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BURY PCT,HAFS-9646,28900000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH CENTRAL SHA,HAFS-9753,29000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),TAMESIDE AND GLOSSOP PCT,HAFS-9771,29000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),TRAFFORD PCT,HAFS-9775,29000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WESTERN CHESHIRE PCT,HAFS-9786,29500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),GREAT YARMOUTH AND WAVENY PCT,HAFS-9675,29962000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HOUNSLOW PCT,HAFS-9691,30000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MEDWAY TEACHING PCT,HAFS-9709,30500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HAVERING PCT COMMISSIONING,HAFS-9684,31000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),KENSINGTON AND CHELSEA PCT,HAFS-9695,31000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTHAMPTON CITY PCT,HAFS-9761,31000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HEYWOOD MIDDLETON & ROCHDALE PCT,HAFS-9689,31500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BRIGHTON & HOVE CITY TEACHING PCT,HAFS-9642,32000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),OLDHAM PCT,HAFS-9736,32000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WALTHAM FOREST PCT,HAFS-9778,32000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WEST ESSEX PCT,HAFS-9782,32000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),ISLINGTON PCT,HAFS-9694,32344000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),PORTSMOUTH CITY TEACHING PCT,HAFS-9740,32500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HILLINGDON PCT,HAFS-9690,32600000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DERBY CITY PCT,HAFS-9659,33000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),ROTHERHAM PCT,HAFS-9744,33000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),TOWER HAMLETS PCT,HAFS-9774,33000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WOLVERHAMPTON CITY PCT,HAFS-9790,33000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),PLYMOUTH TEACHING PCT,HAFS-9739,33500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CAMDEN PCT,HAFS-9649,34000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WALSALL TEACHING PCT,HAFS-9777,34500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SHROPSHIRE COUNTY PCT,HAFS-9749,34983000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BRENT TEACHING PCT,HAFS-9641,35000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MID ESSEX PCT,HAFS-9710,35000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTHUMBERLAND CARE TRUST,HAFS-9733,35500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BOLTON PCT,HAFS-9638,36000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DUDLEY PCT,HAFS-9664,36000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SALFORD PCT,HAFS-9745,36000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH EAST ESSEX PCT,HAFS-9755,36000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),STOKE ON TRENT PCT,HAFS-9765,36000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),ENFIELD PCT,HAFS-9672,36457000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WESTMINSTER PCT,HAFS-9787,36530000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST RIDING OF YORKSHIRE PCT,HAFS-9669,37000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HULL PCT,HAFS-9692,37000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NEWCASTLE PCT,HAFS-9716,37000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH EAST COAST SHA,HAFS-9754,37000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NOTTINGHAM CITY PCT,HAFS-9734,37500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),STOCKPORT PCT,HAFS-9763,37500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BROMLEY PCT,HAFS-9644,38000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CROYDON PCT,HAFS-9656,38000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HARINGEY TEACHING PCT,HAFS-9680,38000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SEFTON PCT,HAFS-9747,39000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH LANCASHIRE PCT,HAFS-9725,39386000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LEICESTER CITY PCT,HAFS-9701,39795000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BOURNEMOUTH & POOLE PCT,HAFS-9639,40000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DONCASTER PCT,HAFS-9662,40000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST MIDLANDS SHA,HAFS-9667,40000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),GREENWICH TEACHING PCT,HAFS-9676,40000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NEWHAM PCT,HAFS-9717,40000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTHWARK PCT,HAFS-9762,40000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SUNDERLAND TEACHING PCT,HAFS-9767,40200000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CITY AND HACKNEY TEACHING PCT,HAFS-9652,40700000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SANDWELL PCT,HAFS-9746,40700000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),"ASHTON, LEIGH & WIGAN PCT",HAFS-9625,41000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST SUSSEX DOWNS & WEALD PCT,HAFS-9670,41000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LEWISHAM PCT,HAFS-9703,41000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WEST MIDLANDS SHA,HAFS-9784,41000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH WEST SHA,HAFS-9760,42000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DORSET PCT,HAFS-9663,43000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EALING PCT,HAFS-9665,43000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH EAST ESSEX PCT,HAFS-9722,43000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BERKSHIRE EAST PCT,HAFS-9632,43600000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SUTTON AND MERTON PCT,HAFS-9769,44000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BEDFORDSHIRE PCT,HAFS-9631,45000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HEART OF BIRMINGHAM TEACHING PCT,HAFS-9686,45000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WAKEFIELD DISTRICT PCT,HAFS-9776,45000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),YORKSHIRE & THE HUMBER SHA,HAFS-9792,45000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH WEST ESSEX PCT,HAFS-9759,45500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),KIRKLEES PCT,HAFS-9697,46000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH BIRMINGHAM PCT,HAFS-9752,46500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CENTRAL & EASTERN CHESHIRE PCT,HAFS-9650,47000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST OF ENGLAND SHA,HAFS-9668,47000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HALTON & ST HELENS PCT,HAFS-9677,47000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WIRRAL PCT,HAFS-9789,47900000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WILTSHIRE PCT,HAFS-9788,48000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BUCKINGHAMSHIRE PCT,HAFS-9645,49000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST LANCASHIRE PCT,HAFS-9666,49500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LAMBETH PCT,HAFS-9699,50000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BIRMINGHAM EAST AND NORTH PCT,HAFS-9635,51000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WANDSWORTH TEACHING PCT,HAFS-9779,51000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BERKSHIRE WEST PCT,HAFS-9633,53000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),COVENTRY TEACHING PCT,HAFS-9655,53000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH WEST SHA,HAFS-9730,53700000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CENTRAL LANCASHIRE PCT,HAFS-9651,54500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BRISTOL PCT,HAFS-9643,57000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WARWICKSHIRE PCT,HAFS-9781,60000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOMERSET PCT,HAFS-9751,61500000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CUMBRIA PCT,HAFS-9657,62000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),GLOUCESTERSHIRE PCT,HAFS-9674,62000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CAMBRIDGESHIRE PCT,HAFS-9648,63000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH STAFFORDSHIRE PCT,HAFS-9757,64400000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CORNWALL & ISLES OF SCILLY PCT,HAFS-9653,64700000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BARNET PCT,HAFS-9627,65000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MANCHESTER PCT,HAFS-9708,65000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),OXFORDSHIRE PCT,HAFS-9737,65000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SUFFOLK PCT,HAFS-9766,66000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LEICESTERSHIRE COUNTY & RUTLAND PCT,HAFS-9702,68000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WEST KENT PCT,HAFS-9783,69000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BRADFORD AND AIREDALE PCT,HAFS-9640,72000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SHEFFIELD PCT,HAFS-9748,73000000,,,
Department of Health,Department of Health,04-Jan-11,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),COUNTY DURHAM PCT,HAFS-9654,75377000,,,
