Ministry of Justice,HMCTS,13-Jan-12,222002-Other Property Costs,BZ999-London Region,SANDERSON WEATHERALL,1883216,"£26,763.30",,LS1 4WG-CHARGE,0,Programme,,
Ministry of Justice,HMCTS,20-Jan-12,222001-Maintenance,GZ999-North West Region,TASS EUROPE LTD,1893300,"£26,768.31",Tass Statutory Testing Costs for North West Region April 2011 to end January 2012 as authorised by WYG. This includes NW Judges Lodgings and NW Tribunal (Alexandra House),B70 6RP,0,Programme,,
Ministry of Justice,HMCTS,06-Jan-12,532000-Tangible GBV - Additions,AT899-HQ - ICT,LOGICA UK LTD,1875725,"£26,847.00",L-R-2176-05 Libra SAT Service Transition to Logica - Environment,CF31 9AP,0,Programme,,
Ministry of Justice,HMCTS,06-Jan-12,532000-Tangible GBV - Additions,AT899-HQ - ICT,LOGICA UK LTD,1875725,"£26,847.00",L-R-2176-05 Libra SAT Service Transition to Logica - Environment,CF31 9AP,0,Programme,,
Ministry of Justice,HMCTS,18-Jan-12,222001-Maintenance,BZ999-London Region,EC HARRIS LLP,1888993,"£27,000.00",EC Harris - Monthly Fee - RCJ 2011/12,M60 3NT,0,Programme,,
Ministry of Justice,HMCTS,10-Jan-12,610400-Debtors <1 year - Prepayments & Accrued Income,EZ999-Wales Region,NEWPORT CITY COUNCIL,1877889,"£27,016.37",,NP20 4UR,0,Programme,,
Ministry of Justice,MoJ HQ,16-Jan-12,262000-SCA Costs,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1065942,"£27,220.53",FSMO 209 - AC Fees Initiation Specification and design for Appeal Fees processing,NP10 9XA,E125,Programme,,
Ministry of Justice,MoJ HQ,26-Jan-12,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1066586,"£27,260.65",Lease Car Fuel Costs FY11-12,SN5 6PS,0,Admin,,
Ministry of Justice,MoJ HQ,09-Jan-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1065426,"£27,334.67",QBD Samaritan Phones & Repeaters,RG12 1HN,0,Programme,,
Ministry of Justice,HMCTS,04-Jan-12,222002-Other Property Costs,AQ999-HQ - Finance & Governance,MITIE SECURITY LTD,1873870,"£27,339.38",Additional Guarding for various tribunals sites until March 2012,MK6 2WX,0,Admin,,
Ministry of Justice,HMCTS,24-Jan-12,226000-Court Costs,FZ999-Midlands Region,EUREST SERVICES,1895360,"£27,346.09",Midlands Region Catering Jurors Subsidy 11/12 - Eurest Services,B45 9PZ,0,Programme,,
Ministry of Justice,MoJ HQ,09-Jan-12,246000-Current Grants,RB999-JPG - CJRD,DOMESTIC VIOLENCE AND ABUSE SERVICE (SOUTH AND WEST DEVON),1065384,"£27,450.01",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime from the 2011/12 Victim & Witness General Fund - 4th qtr payment ,TQ12 1LZ,0,Grant
Ministry of Justice,MoJ HQ,09-Jan-12,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1065308,"£27,504.11",MoJ Lease Car Service and Fuel Costs FY 11-11,SN5 6PS,0,Admin
Ministry of Justice,HMCTS,03-Jan-12,221000-Property Rent and Rates,BZ999-London Region,FERNEX LTD,1872356,"£27,525.00",,N6 4NH-RENT,0,Programme
Ministry of Justice,HMCTS,10-Jan-12,226000-Court Costs,FZ999-Midlands Region,EUREST SERVICES,1877647,"£27,649.40",Midlands Region Catering Jurors Subsidy 11/12 - Eurest Services,B45 9PZ,0,Programme
Ministry of Justice,MoJ HQ,09-Jan-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1065404,"£27,665.40",Managed Service - Programme & Project Management Apr-11 to Mar-12,WA3 9BD,0,Programme
Ministry of Justice,HMCTS,20-Jan-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,GVA GRIMLEY LTD T/A GVA,1892189,"£27,794.25",,W1J 8JR,0,Programme
Ministry of Justice,MoJ HQ,16-Jan-12,264000-Consultancy,RC999-Criminal Justice Group - OMS,NOMS,1065956,"£27,795.00",Recovery of contractor costs of Staff Seconded in from NOMS,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,26-Jan-12,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1066623,"£27,860.22",Venue Hire relating to training events for Judiciary,LS16 6RF,0,Programme
Ministry of Justice,MoJ HQ,16-Jan-12,266000-Judicial Costs,LZ600-Transforming Justice,HAMMICKS LEGAL INFORMATION SERVICES,1065917,"£27,867.84",Cook on Cost 2012,EC4A 2NJ,0,Admin
Ministry of Justice,MoJ HQ,12-Jan-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,QINETIQ LTD,1065782,"£27,901.00",,PO12 2AG,E003,Programme
Ministry of Justice,HMCTS,31-Jan-12,222001-Maintenance,DZ999-South West Region,NORLAND MANAGED SERVICES LTD,1903770,"£27,945.36","CIS labour - carpet replacement at Bristol Crown Court, BCP 11/12 (51)",CIS-BS4 4EE,0,Programme
Ministry of Justice,HMCTS,31-Jan-12,222001-Maintenance,CZ999-South East Region,NORLAND MANAGED SERVICES LTD,1903771,"£28,187.34",CIS Labour - SE Estates - Norland (Kent) - PPM Monthly Contract 2011/2012,CIS-SE1 1RU,0,Programme
Ministry of Justice,HMCTS,19-Jan-12,226000-Court Costs,SL999-Centralised Frontline,MESSRS BARLOW LYDE & GILBERT#DX 14448,560613,"£28,252.47",,DX 14448,0,Programme
Ministry of Justice,HMCTS,17-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,MITIE SECURITY LTD,1886285,"£28,367.11",Security Services,MK6 2WX,0,Balance Sheet
Ministry of Justice,HMCTS,17-Jan-12,222001-Maintenance,HZ999-North East Region,HONEYWELL CONTROL SYSTEMS LTD,1885993,"£28,431.33",HA102-Honeywell Contractual Fees for CDN M & E April to October 2011 (not inc Lodgings),S98 1DL,0,Programme
Ministry of Justice,HMCTS,24-Jan-12,223001-Printing Postage and Office expenditure,AQ999-HQ - Finance & Governance,DX NETWORK SERVICES LTD,1895330,"£28,525.08",Consolidated PO for financial year 11/12 for Tribunals Service,NN3 6YG,0,Admin
Ministry of Justice,HMCTS,20-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,ELITE CLEANING & ENV SERVICES LTD,1892128,"£28,745.45","Maintenance, non-structural repair and cleaning of buildings",M21 7GJ,0,Balance Sheet,,
Ministry of Justice,MoJ HQ,09-Jan-12,246000-Current Grants,RB999-JPG - CJRD,REFUGE,1065510,"£28,864.75",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime from the 2011/12 Victim & Witness General Fund - 4th qtr payment ,E1W 1UN,0,Grant,,
Ministry of Justice,HMCTS,06-Jan-12,262000-SCA Costs,GZ999-North West Region,UK COURT SERVICES LTD,1876758,"£28,908.66",Manchester PFI - UK Court Services LTD - Unitary charges for Manchester PFI - Monthly -11/12,WR12 7LJ,0,Programme,,
Ministry of Justice,HMCTS,19-Jan-12,710800-Creditor <1 yr - Third Party Monies,SL999-Centralised Frontline,ONE TIME CAPS,556578,"£28,960.86",,OX16 9RU,0,Programme,,
Ministry of Justice,MoJ HQ,30-Jan-12,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1066904,"£29,110.45",Venue Hire relating to training events for Judiciary,LS16 6RF,0,Programme,,
Ministry of Justice,MoJ HQ,05-Jan-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1065209,"£29,116.67",EIP3SPF (E138) Fujitsu CCNF412 RSA Appliance Upgrade,WA3 9BD,E138,Programme,,
Ministry of Justice,MoJ HQ,30-Jan-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1066967,"£29,140.44",FSMO 202 - Data migration for the new ERP,NP10 9XA,0,Admin,,
Ministry of Justice,MoJ HQ,09-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,FUJITSU SERVICES LTD,1065404,"£29,306.97",Computer services supplied to the specification of the recipient,WA3 9BD,0,Balance Sheet,,
Ministry of Justice,HMCTS,20-Jan-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,HERTFORDSHIRE CONSTABULARY,1892204,"£29,321.00",,AL8 6XF,0,Programme,,
Ministry of Justice,MoJ HQ,23-Jan-12,212001-Agency staff,PZ501-MoJ ICT Feeder,CAPITA RESOURCING LTD,1066349,"£29,381.60",Services of Demand HQ IT Lead Account Manager MoJ HQ - contract extension,SL6 1DP,0,Admin,,
Ministry of Justice,HMCTS,23-Jan-12,610400-Debtors <1 year - Prepayments & Accrued Income,EZ999-Wales Region,CARDIFF COUNTY COUNCIL,1893391,"£29,447.00",,RATES,0,Programme,,
Ministry of Justice,HMCTS,20-Jan-12,532000-Tangible GBV - Additions,GZ999-North West Region,VINCI CONSTRUCTION UK LIMITED,1893340,"£29,484.33",Preston Combined Court - Internal alterations at second floor level to court No:8 to form a secure dock including speech enhancement system,CIS-RM13 8RH,0,Programme,,SME
Ministry of Justice,MoJ HQ,16-Jan-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1065942,"£29,553.99",FSMO 202 - Data migration for the new ERP,NP10 9XA,0,Admin,,
Ministry of Justice,HMCTS,04-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,LOGICA UK LTD,1873836,"£29,753.60",Computer services supplied to the specification of the recipient,CF31 9AP,0,Balance Sheet,,
Ministry of Justice,HMCTS,13-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,MITIE SECURITY LTD,1882586,"£29,766.31",Security Services,MK6 2WX,0,Balance Sheet,,
Ministry of Justice,HMCTS,13-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,MITIE SECURITY LTD,1882586,"£29,766.31",Security Services,MK6 2WX,0,Balance Sheet,,
Ministry of Justice,HMCTS,05-Jan-12,226000-Court Costs,SL999-Centralised Frontline,RUSSELL JONES & WALKER#DX202,1874562,"£29,770.70",,DX 202,0,Programme
Ministry of Justice,MoJ HQ,09-Jan-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1065426,"£29,819.01",,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,09-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,HP ENTERPRISE SERVICES UK LTD,1065426,"£29,940.20",Computer services supplied to the specification of the recipient,RG12 1HN,0,Balance Sheet
Ministry of Justice,HMCTS,04-Jan-12,532000-Tangible GBV - Additions,BZ999-London Region,BASTION SECURITY INSTALLATIONS,1873624,"£29,955.00","CIS Labour-Westminster Magistrates'-Bastion-Quote E0491-To manufacture, supply & install new secure public gallery using 21mm laminated Luxar non reflective glass & access door as part of the fit out works to the new Westminster Court",CIS-NE10 8YF,F078,Programme
Ministry of Justice,HMCTS,04-Jan-12,223001-Printing Postage and Office expenditure,CZ999-South East Region,ROYAL MAIL GROUP PLC,547139,"£29,989.62",SE Regional Royal Mail Variable Charges- 11/12 - Account number 166289000,PE4 5BR,0,Programme
Ministry of Justice,HMCTS,03-Jan-12,261000-Fuel and Utilities,FZ999-Midlands Region,CORONA ENERGY,1872320,"£29,996.61",,NW4 3RJ-RET 4,0,Programme
Ministry of Justice,MoJ HQ,16-Jan-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1065863,"£30,156.60",,WV10 6UH,0,Admin
Ministry of Justice,HMCTS,12-Jan-12,710800-Creditor <1 yr - Third Party Monies,SL999-Centralised Frontline,ONE TIME CAPS,550573,"£30,185.50",,OX16 9RU,0,Programme
Ministry of Justice,HMCTS,25-Jan-12,261000-Fuel and Utilities,EZ999-Wales Region,CORONA ENERGY,1899062,"£30,290.48",HMCS Wales Region:Consolidated Gas:Account Code: 55026239:Wef February 2011:CORONA:,NW4 3RJ-RET 4,0,Programme
Ministry of Justice,MoJ HQ,23-Jan-12,264000-Consultancy,LZ600-Transforming Justice,ODGERS RAY & BERNDTSON,1066473,"£30,310.00",Odgers Berndtson will provide assitance in the recruitment of 11 Commissioners of the Judicial Appointments Commission.,W1S 1JJ,0,Programme
Ministry of Justice,HMCTS,04-Jan-12,532000-Tangible GBV - Additions,BZ999-London Region,BASTION SECURITY INSTALLATIONS,1873624,"£30,435.00","CIS Labour-Westminster Magistrates'-Bastion-Quote E0491-To manufacture, supply & install new secure public gallery using 21mm laminated Luxar non reflective glass & access door as part of the fit out works to the new Westminster Court",CIS-NE10 8YF,F078,Programme
Ministry of Justice,MoJ HQ,05-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1065271,"£30,479.20",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet
Ministry of Justice,HMCTS,06-Jan-12,222001-Maintenance,EZ999-Wales Region,KIER FACILITIES SERVICES LTD,1875694,"£30,608.00",MWW area wide - Kier fixed maintenance costs 2011/12.,CIS-RG21 4HG,0,Programme
Ministry of Justice,HMCTS,03-Jan-12,261000-Fuel and Utilities,FZ999-Midlands Region,CORONA ENERGY,1872320,"£30,695.16",,NW4 3RJ-RET 4,0,Programme
Ministry of Justice,MoJ HQ,26-Jan-12,223000-Other Expenditure,RE999-CJG - Research & Analysis,NATIONAL CENTRE FOR SOCIAL RESEARCH (NATCEN),1066767,"£30,703.40","Evidence and Practice Review: Milestone 1, Evidence and Practice Review: Milestone 2, Evidence and Practice Review: Milestone 3,Evidence and Practice Review: Milestone 4.",EC1V 0AX,0,Admin
Ministry of Justice,HMCTS,06-Jan-12,222001-Maintenance,GZ999-North West Region,WHITTLE JONES GROUP LTD,1876793,"£30,750.00",,PR7 1JG,B716,Programme
Ministry of Justice,HMCTS,12-Jan-12,710800-Creditor <1 yr - Third Party Monies,SL999-Centralised Frontline,ONE TIME CAPS,555187,"£30,814.53",,BD3 7YD,0,Programme
Ministry of Justice,HMCTS,20-Jan-12,222001-Maintenance,GZ999-North West Region,DTZ DEBENHAM TIE LEUNG,1892111,"£31,032.07","IAA, Piccadilly Exchange - Negotiate with landlord to remove break clause and agree financial incentive.  Fees agreed @ 7.5% of total saving £41,3761",EH3 9QG,0,Programme
Ministry of Justice,MoJ HQ,09-Jan-12,246000-Current Grants,RB999-JPG - CJRD,IPSWICH AND SUFFOLK COUNCIL FOR RACIAL EQUALITY,1065432,"£31,275.00",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime from the 2011/12 Victim & Witness General Fund - 4th qtr payment ,IP1 3EP,0,Grant
Ministry of Justice,HMCTS,24-Jan-12,261000-Fuel and Utilities,GZ999-North West Region,CORONA ENERGY,1895261,"£31,288.76",,NW4 3RJ-RET 4,0,Programme
Ministry of Justice,HMCTS,26-Jan-12,710800-Creditor <1 yr - Third Party Monies,SL999-Centralised Frontline,ONE TIME CAPS,566319,"£31,312.11",,BD3 7YD,0,Programme
Ministry of Justice,HMCTS,18-Jan-12,222001-Maintenance,BZ999-London Region,SYKES & SON LTD,1890176,"£31,313.36",SYKES & SON LTD: CIS Labour B&CE  RCJ Monthly Fixed costs- 2011/12,CIS-WC2R 3JY,0,Programme
Ministry of Justice,HMCTS,10-Jan-12,223001-Printing Postage and Office expenditure,AQ999-HQ - Finance & Governance,ROYAL MAIL GROUP PLC,1878297,"£31,346.92",,BL4 9XX,0,Admin
Ministry of Justice,MoJ HQ,16-Jan-12,266000-Judicial Costs,LZ600-Transforming Justice,COUNCIL OF LAW REPORTING,1065891,"£31,482.00",,WC2A 1PP,0,Admin
Ministry of Justice,HMCTS,05-Jan-12,226000-Court Costs,SL999-Centralised Frontline,MESSRS BELMORES SOLICITORS#DX 5232,1874499,"£31,483.56",,DX 5232,0,Programme
Ministry of Justice,MoJ HQ,26-Jan-12,264000-Consultancy,LZ600-Transforming Justice,PRICEWATERHOUSECOOPERS SERVICES,1066793,"£31,500.00",Consultancy services to build a proof of concept model under the terms and conditions of contract reference,SE1 9SY,0,Admin
Ministry of Justice,HMCTS,19-Jan-12,710800-Creditor <1 yr - Third Party Monies,SL999-Centralised Frontline,ONE TIME CAPS,559642,"£31,517.11",,WA1 1GG,0,Programme
Ministry of Justice,MoJ HQ,09-Jan-12,246000-Current Grants,RB999-JPG - CJRD,LIGHTHOUSE WOMEN'S AID LTD TRADING AS IPSWICH WOMEN'S AID,1065451,"£31,704.75",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime from the 2011/12 Victim & Witness General Fund - 4th qtr payment ,IP1 1HE,0,Grant
Ministry of Justice,HMCTS,10-Jan-12,223001-Printing Postage and Office expenditure,AQ999-HQ - Finance & Governance,XEROX (UK) LTD,1878457,"£31,756.57",Xerox consolidated PO for financial year 11/12 - SSCSA rental charges,BN13 1QG,0,Admin
Ministry of Justice,MoJ HQ,30-Jan-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1067012,"£32,028.39",OMNI Blackberry Support,M14 0WN,0,Programme
Ministry of Justice,HMCTS,06-Jan-12,222001-Maintenance,DZ999-South West Region,KIER FACILITIES SERVICES LTD,1875694,"£32,092.15","Mechanical & electrical maintenance 2011, HMCS SW Region Area 1",CIS-RG21 4HG,0,Programme
Ministry of Justice,HMCTS,17-Jan-12,223001-Printing Postage and Office expenditure,CZ999-South East Region,XEROX (UK) LTD,1886859,"£32,159.58",HMCS SOUTH EAST REGION - Xerox (UK) Ltd - Rental costs 2011/12,BN13 1QG,0,Programme
Ministry of Justice,MoJ HQ,26-Jan-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1066678,"£32,178.26",PO301 - CCN F378 Security Service,WA3 9BD,0,Programme,,
Ministry of Justice,HMCTS,19-Jan-12,226000-Court Costs,SL999-Centralised Frontline,GLAISYERS#DX 24933,1890255,"£32,183.35",,DX 24933,0,Programme,,
Ministry of Justice,HMCTS,26-Jan-12,710800-Creditor <1 yr - Third Party Monies,SL999-Centralised Frontline,ONE TIME CAPS,563804,"£32,184.55",,BD1 4XZ,0,Programme,,
Ministry of Justice,HMCTS,06-Jan-12,265000-IT & Telecommunications,AT899-HQ - ICT,LOGICA UK LTD,1875725,"£32,398.50",CCN L-S-2777-01 Extend the Logica team to support this CCN 1. MCOL DD Switch-on 2.Progress the detailed requirements and test stratwgy for the strategic CCBC Solution 3. Progress the detailed requirements and test strategy for HMCTS/Custome,CF31 9AP,0,Programme,,
Ministry of Justice,HMCTS,27-Jan-12,222001-Maintenance,BZ999-London Region,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1900785,"£32,410.19",London Estates - Mitie Engineering - CIS LABOUR -  Monthly M&E Contract 11/12,CIS-PO1 9DB,0,Programme,,
Ministry of Justice,HMCTS,31-Jan-12,222001-Maintenance,CZ999-South East Region,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1903728,"£32,517.92",CIS Labour - SE Estates - Mitie Eng (Surrey & Sussex) - Monthly PPM Contract 2011/2012,CIS-PO1 9DB,0,Programme,,
Ministry of Justice,HMCTS,19-Jan-12,710800-Creditor <1 yr - Third Party Monies,SL999-Centralised Frontline,ONE TIME CAPS,560547,"£32,543.09",,BD3 7YD,0,Programme,,
Ministry of Justice,MoJ HQ,05-Jan-12,264000-Consultancy,PZ501-MoJ ICT Feeder,ERNST & YOUNG LLP,1065200,"£32,581.86",,SE1 2AF,0,Programme,,
Ministry of Justice,HMCTS,04-Jan-12,710200-Creditors < 1 year - Trade & Other Creditors,BZ999-London Region,THE INSOLVENCY SERVICE#RF100000017,547092,"£32,745.00",,DX 15421,0,Programme,,
