Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
Department of Health,Department of Health,03/08/2015,Service charge,DG: IGT,BT GROUP PLC,391155,"1,971,808.81",Revenue: F/Y 2015/16 PACS London BT - April - July 2015,NW9 6LB,,,LARGE,,GB245719348
Department of Health,Department of Health,03/08/2015,Outsourcing Contract,DG: PHD,MULTI RESOURCE MARKETING LTD,129824,"49,840.76",Healthy Start Reimbursement Unit (HSRU) - 2015-16 to 2017-18,LE16 9NR,,,SME,,GB817665306
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,Redbridge Produce & Flowers (Bodmin),B15060130878,"58,361.08",,,,,,,896 5678 42
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,Redbridge Produce & Flowers (Bodmin),B15060130908,"41,361.72",,,,,,,896 5678 42
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,Redbridge Produce & Flowers (Bristol),B15060130835,"30,258.14",,,,,,,896 5678 42
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,Redbridge Produce & Flowers (Bristol),B15060130933,"43,616.51",,,,,,,896 5678 42
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,Redbridge Produce & Flowers (Bristol),B15060130801,"40,377.74",,,,,,,896 5678 42
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,Redbridge Produce & Flowers (Bristol),B15060130865,"39,053.70",,,,,,,896 5678 42
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during May 2015",DG: PHD,Fresh Direct (UK) Ltd,28566782,"64,757.88",,,,,,,916 2336 36
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during May 2015",DG: PHD,Fresh Direct (UK) Ltd,28566783,"27,870.16",,,,,,,916 2336 36
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,"Minor, Weir & Willis Ltd",SIN0032114,"50,443.36",,,,,,,110 2232 51
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,"Minor, Weir & Willis Ltd",SIN0032123,"56,754.36",,,,,,,110 2232 51
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,"Minor, Weir & Willis Ltd",SIN0032143,"69,345.45",,,,,,,110 2232 51
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,"Minor, Weir & Willis Ltd",SIN0032144,"37,679.47",,,,,,,110 2232 51
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,"Minor, Weir & Willis Ltd",SIN0032116,"30,985.64",,,,,,,110 2232 51
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,"Minor, Weir & Willis Ltd",SIN0032153,"35,934.02",,,,,,,110 2232 51
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,"Minor, Weir & Willis Ltd",SIN0032156,"118,634.26",,,,,,,110 2232 51
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,"Minor, Weir & Willis Ltd",SIN0032158,"90,704.30",,,,,,,110 2232 51
Department of Health,Department of Health,03/08/2015,"SFVS - product & distribution cost, during June 2015",DG: PHD,"Minor, Weir & Willis Ltd",SIN0032159,"61,223.71",,,,,,,110 2232 51
Department of Health,Department of Health,03/08/2015,Professional fees,DG: ERD,GOVERNMENT ACTUARYS DEPARTMENT GAD,SINV/00022850,"29,912.74",GAD Payments 2015-16,EC4A 1AB,,,LARGE,,
Department of Health,Department of Health,04/08/2015,Policy Payments,DG: ERD,NHS PENSIONS AGENCY,14508,"998,304.77",Injury Benefits Liabilities (SHA & PCT Legacy) 2015-16,FY7 8LG,,,PUBLIC,,
Department of Health,Department of Health,04/08/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000033,"632,562.26",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
Department of Health,Department of Health,04/08/2015,Outsourcing Contract,DG: ERD,NHS CONFEDERATION,14277,"2,007,597.16",NHSE contract for the period of April 2015 - March 2016,LS10 1JR,,,PUBLIC,,
Department of Health,Department of Health,04/08/2015,Contractor/Staff Substitution,DG: ERD,Perspective Business Solutions Ltd,PBSL/DOH0001,"34,800.00",PSBC5439 : ESR Solution Architect,NG13 9PA,,,SME,,GB990108128
Department of Health,Department of Health,04/08/2015,Addition Clearing - IT,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584191793,"39,171.60",Telephony - WR 403 VOIP - Contact Centre Discovery work ,WS11 0JA,,,LARGE,,GB232327983
Department of Health,Department of Health,04/08/2015,Addition Clearing - IT,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584191894,"70,007.00",IWS2 Programme - IWS Service Improvement,WS11 0JA,,,LARGE,,GB232327983
Department of Health,Department of Health,04/08/2015,Service charge,DG: IGT,WIGGLY AMPS LTD,14975,"57,912.00",Revenue: F/Y 2015/16 GPSoC Wiggly -  Phase 1 PFS Minimum Viable Specification and Assurance Service GPSoC -CCNa-014,NR28 9BT,,,SME,,GB759671281
Department of Health,Department of Health,04/08/2015,Addition Clearing - SW LIC,DG: IGT,EGTON MEDICAL INFORMATION SYSTEMS LTD,IN91719-1,"198,200.00","Capital: 2015/16 GPSoC EMIS charges for the Period Commencing  01.04.2015 to 31.03.2016: Subsidiary Module Software and Support Charges	 ",LS19 7BY,,,LARGE,,GB927149214
Department of Health,Department of Health,04/08/2015,Service charge,DG: IGT,EGTON MEDICAL INFORMATION SYSTEMS LTD,IN91719-1,"87,203.96",Revenue: 2015/16 GPSoC Revenue charges  01.04.2015 to 31.03.2016: System support charges Training Charges Utilisation charges Interface Mechanism charges Pairing Assurance service charges Development charges Hosting service char,LS19 7BY,,,LARGE,,GB927149214
Department of Health,Department of Health,04/08/2015,Service charge,DG: IGT,EGTON MEDICAL INFORMATION SYSTEMS LTD,IN91746-1,"1,805,398.75",Revenue: 2015/16 GPSoC Revenue charges  01.04.2015 to 31.03.2016: System support charges Training Charges Utilisation charges Interface Mechanism charges Pairing Assurance service charges Development charges Hosting service char,LS19 7BY,,,LARGE,,GB927149214
Department of Health,Department of Health,04/08/2015,Research & development,DG: RDD,NPL MANAGEMENT LTD,125348,"60,819.78",Invention for Innovation,TW11 0LW,,,LARGE,,
Department of Health,Department of Health,04/08/2015,Research & development,DG: RDD,NPL MANAGEMENT LTD,125349,"47,427.70",Invention for Innovation,TW11 0LW,,,LARGE,,
Department of Health,Department of Health,04/08/2015,Research & development,DG: RDD,NPL MANAGEMENT LTD,125350,"38,020.22",Invention for Innovation,TW11 0LW,,,LARGE,,
Department of Health,Department of Health,04/08/2015,Research & development,DG: RDD,NPL MANAGEMENT LTD,125724,"114,025.25",Invention for Innovation,TW11 0LW,,,LARGE,,
Department of Health,Department of Health,04/08/2015,Outsourcing Contract,DG: RDD,LGC LTD,50417274,"856,459.92",Central Commissioning Function,TW11 0LY,,,LARGE,,GB674056721
Department of Health,Department of Health,04/08/2015,Research & development,DG: RDD,LIVERPOOL UNIVERSITY OF,21534406,"34,591.21",RDD Programme Support - Miscellaneous,L69 3GG,,,PUBLIC,,
Department of Health,Department of Health,04/08/2015,Research & development,DG: RDD,KINGS COLLEGE LONDON,SINV1829215,"28,234.00",RDD Programme Support - Miscellaneous,SE1 8WA,,,PUBLIC,,GB627403551
Department of Health,Department of Health,04/08/2015,Outsourcing Contract,DG: IGT,MULTIPLE SCLEROSIS TRUST,5480,"56,420.00",Management of Multiple Sclerosis Risk Sharing Scheme Apr 15 till March 16,SG6 4ET,,,VCS,,
Department of Health,Department of Health,04/08/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,AMBITIOUS ABOUT AUTISM,ERS-542370-108541,"40,352.00",HSCVF Grant - Ambitious about autism (Woodside Avenue) - 2013/National/008,N10 3JA,,,VCS,,
Department of Health,Department of Health,05/08/2015,Addition Clearing - OLB,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00383865RI,"57,744.67",Blenheim House - Refurb the Front Reception and Install new Reception Pod and Security Pass Gates.,SO53 3YE,,,LARGE,,GB188414046
Department of Health,Department of Health,05/08/2015,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00383868RI,"63,126.84",Blenheim House - Chiller System - Full overhaul,SO53 3YE,,,LARGE,,GB188414046
Department of Health,Department of Health,05/08/2015,Addition Clearing - OLB,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00383870RI,"30,316.24",Wellington House - Roof - Installation of new roof layer,SO53 3YE,,,LARGE,,GB188414046
Department of Health,Department of Health,05/08/2015,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00383873RI,"31,920.55",Richmond House - Social Care,SO53 3YE,,,LARGE,,GB188414046
Department of Health,Department of Health,05/08/2015,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00383875RI,"26,423.05",Richmond House -  3rd Floor Social Care Moves and Alterations,SO53 3YE,,,LARGE,,GB188414046
Department of Health,Department of Health,05/08/2015,Other creditors (ST),DG: Central Technical,ALLIANCE PHARMACEUTICALS LTD,PPRS PAYT SENT IN ERROR FOR Q2015/02/PPRS155,"28,300.00",,SN15 2BB,,,LARGE,,GB826641717
Department of Health,Department of Health,05/08/2015,Service charge,DG: IGT,IMS Health Technology Services Limited,4122001002,"85,667.00",Revenue: 2015/16 SUS Spine IMS Health  CCN 001 SUS Live Service Agreement ,ST8 0LQ, ,,LARGE,,GB678124612
Department of Health,Department of Health,05/08/2015,Service charge,DG: IGT,MASTEK UK LTD,90334716,"209,831.79",Revenue: 2015/16 SUS Spine Mastek WP8 - Amendment to the Mastek Agreement ,RG1 8BW, ,,LARGE,,GB849750580
Department of Health,Department of Health,05/08/2015,Service charge,DG: IGT,MASTEK UK LTD,90334746,"91,341.00",Revenue: 2015/16 SUS Spine Mastek - R15 - BAU Test Resource  WP 21,RG1 8BW,,,LARGE,,GB849750580
Department of Health,Department of Health,05/08/2015,Research & development,DG: RDD,WELLCOME TRUST TRADING LTD,ERS-542388-108561,"5,573,498.58",Health Innovation Challlenge Fund,NW1 2BE,,,VCS,,
Department of Health,Department of Health,05/08/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,CONNECT (THE COMMUNICATION DISABILTY NETWORK),ERS-542442-108581,"31,587.75",HSCVF CONNECT 2015/16 Grants Payment,SE1 1HL,,,VCS,,
Department of Health,Department of Health,06/08/2015,Addition Clearing - SW LIC,DG: IGT,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,15354019,"67,676.53",Capital: 2015/16 NME LSP Lorenzo Warrington & Halton FT- STAFA and local change costs -- outstanding costs to be reimbursed,WA7 2DA,,,PUBLIC,,
Department of Health,Department of Health,06/08/2015,Service charge,DG: IGT,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,15354019,"93,000.00",Revenue: F/Y 2014/15 - Warrington & Halton FT STAF and LC costs for Lorenzo Deployment.,WA7 2DA,,,PUBLIC,,
Department of Health,Department of Health,06/08/2015,Service charge,DG: IGT,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,15354019,"47,535.47",Revenue: 2015/16 NME LSP Lorenzo Warrington & Halton FT- STAFA and local change costs -- outstanding costs to be reimbursed,WA7 2DA,,,PUBLIC,,
Department of Health,Department of Health,06/08/2015,Service charge,DG: IGT,THE IPSWICH HOSPITAL NHS TRUST,IHT4000008249,"598,024.44",Revenue; LSP NME  Ipswich Trust- F/Y 2014/15 STAF & LC Costs for Lorenzo Deployment,IP4 5PD,,,PUBLIC,,
Department of Health,Department of Health,06/08/2015,Addition Clearing - SW LIC,DG: IGT,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,W0087967,"24,416.01",Capital : 2015/16 LSP NME Lorenzo - South Warks FT - STAFA costs associated with SW FT Lorenzo Deployment of the Lorenzo Project - June2015 claim,CV34 5BW,,,PUBLIC,,
Department of Health,Department of Health,06/08/2015,Service charge,DG: IGT,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,W0087967,"110,496.43",Revenue : 2015/16 LSP NME Lorenzo - South Warks FT - STAFA costs associated with SW FT Lorenzo Deployment of the Lorenzo Project - June2015 claim,CV34 5BW,,,PUBLIC,,
Department of Health,Department of Health,06/08/2015,Outsourcing Contract,DG: PHD,TONIC CONSULTANTS LTD,6141892,"35,737.99",PSBC 4828 - Tobacco Products Directive (Directive 2014/40/EU) - consultation support,CT6 8TG,,,SME,14022,Cleansed Aug-12
Department of Health,Department of Health,06/08/2015,Outsourcing Contract,DG: PHD,TONIC CONSULTANTS LTD,6141892, -   ,PSBC 4828 - Tobacco Products Directive -  consultation support - Variation to Contract,CT6 8TG,,,SME,,Cleansed Aug-12
Department of Health,Department of Health,06/08/2015,Outsourcing Contract,DG: PHD,TONIC CONSULTANTS LTD,6141892,0.01,,CT6 8TG,,,SME,,Cleansed Aug-12
Department of Health,Department of Health,06/08/2015,Rates,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5028118,"126,369.75",QH - Business Rates FY2015-2016,FY5 3TA,,,PUBLIC,,
Department of Health,Department of Health,06/08/2015,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5028118,"587,345.00",QH - Rent FUP Charge FY2015-2016,FY5 3TA,,,PUBLIC,,
Department of Health,Department of Health,06/08/2015,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5028118,"3,871.49",QH - Utilities (Gas/Electricity) Charges FY2015-2016 ,FY5 3TA,,,PUBLIC,,
Department of Health,Department of Health,06/08/2015,Research & development,DG: RDD,EDINBURGH UNIVERSITY OF,ERS-542493-108643,"30,957.12",EME - ( NETSCC ),EH1 1HT,,,PUBLIC,,
Department of Health,Department of Health,06/08/2015,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-542496-108646,"71,777.00",Invention for Innovation,M13 9PL,,,PUBLIC,,
Department of Health,Department of Health,06/08/2015,Research & development,DG: RDD,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-542497-108644,"59,249.89",NIHR Public Health Research ( NETSCC ),WC1E 7HT,,,PUBLIC,,GB233756066
Department of Health,Department of Health,06/08/2015,Revenue Grants to non-profit institutions,DG: ERD,THE COLLEGE OF SOCIAL WORK,ERS-542489-108621,"48,000.00",2015/015 The College of Social Work - Grant to TCSW for financial year 2015-16 to support social work reform and the closure costs of the college,NW2 2FB,,,SME,,
Department of Health,Department of Health,06/08/2015,Research & development,DG: RDD,CANCER RESEARCH UK,ERS-542500-108647,"50,000.00",Cancer Programme,WC2A 3PX,,,VCS,,
Department of Health,Department of Health,07/08/2015,Outsourcing Contract,DG: SFNHS,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12671335,"114,054.55",Investigative works undertaken relating to eProcurement Project,WF3 1WE,,,PUBLIC,,
Department of Health,Department of Health,07/08/2015,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10109352,"133,022.32",Information Systems,SG8 6DP,,,LARGE,,GB238535057
Department of Health,Department of Health,07/08/2015,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10109352,"31,617.68",Information Systems,SG8 6DP,,,LARGE,,GB238535057
Department of Health,Department of Health,07/08/2015,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10109353,"30,842.40",Information Systems,SG8 6DP,,,LARGE,,GB238535057
Department of Health,Department of Health,07/08/2015,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10109354,"155,450.48",Information Systems,SG8 6DP,,,LARGE,,GB238535057
Department of Health,Department of Health,07/08/2015,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10109690,"161,042.48",Information Systems,SG8 6DP,,,LARGE,,GB238535057
Department of Health,Department of Health,07/08/2015,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10109690,"3,597.52",Information Systems,SG8 6DP,,,LARGE,,GB238535057
Department of Health,Department of Health,07/08/2015,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10109691,"30,842.40",Information Systems,SG8 6DP,,,LARGE,,GB238535057
Department of Health,Department of Health,07/08/2015,Consultancy/Professional Advice,DG: SCLGCP,PA CONSULTING SERVICES LTD,HLTH1613S,"45,003.00",[3/P/1] BCF Plan Improvement Support Business Case - Phase 2  Lot A(PCOE 4679) FAP Approval email - 4679  ,SW1W 9SR,,,LARGE,,GB238535057
Department of Health,Department of Health,07/08/2015,Research & development,DG: RDD,ECONOMIC AND SOCIAL RESEARCH COUNCIL (ESRC),ESRC10556,"635,657.00",Dementia - ESRC/NIHR Initiative,SN2 1UJ,,,PUBLIC,,
Department of Health,Department of Health,07/08/2015,Research & development,DG: RDD,ECONOMIC AND SOCIAL RESEARCH COUNCIL (ESRC),ESRC10556,"19,070.00",Dementia - ESRC/NIHR Initiative,SN2 1UJ,,,PUBLIC,,
Department of Health,Department of Health,07/08/2015,Outsourcing Contract,DG: SCLGCP,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40215166,"1,000,000.00",Care and health improvement programme,EC1M 5LG,,,VCS,,
Department of Health,Department of Health,07/08/2015,Publicity & advertising,DG: ERD,SKILLS FOR CARE LTD,SINV6471,"71,886.50",Targeted activity to raise awareness of the introduction of the new Care Certificate amongst harder to reach care providers.,LS1 2RP,,,VCS,,GB853047922
Department of Health,Department of Health,07/08/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,MOTOR NEURONE DISEASE ASSOCIATION,ERS-542519-108661,"43,794.00","IESD award 2012/13 for ""MND Association as an Any Qualified Provider in Wheelchair Services""",NN1 2BG,,,VCS,,
Department of Health,Department of Health,07/08/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,TOGETHER FOR SHORT LIVES,ERS-542536-108681,"37,703.00",AIMS ref 2522983 r.e. Together for Short Lives and 2013-14 IESD Fund,BS1 1QB,,,VCS,,GB821957122
Department of Health,Department of Health,10/08/2015,Additions NHS Trust Capital Investment Loans,DG: Central Technical,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,HAFS-18651,"6,000,000.00",,BN2 3EW,,,PUBLIC,,
Department of Health,Department of Health,10/08/2015,Additions NHS FTs Capital Investment Loans,DG: Central Technical,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,HAFS-18652,"13,300,000.00",,DN2 5LT,,,PUBLIC,,
Department of Health,Department of Health,10/08/2015,Additions NHS Trust Capital Investment Loans,DG: Central Technical,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,HAFS-18653,"660,000.00",,NN1 5BD,,,PUBLIC,,
Department of Health,Department of Health,10/08/2015,Additions NHS FTs Capital Investment Loans,DG: Central Technical,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,HAFS-18654,"2,500,000.00",,UB9 6JH,,,PUBLIC,,
Department of Health,Department of Health,10/08/2015,Additions NHS FTs Capital Investment Loans,DG: Central Technical,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,HAFS-18655,"2,500,000.00",,UB9 6JH,,,PUBLIC,,
Department of Health,Department of Health,10/08/2015,Additions NHS Trust Capital Investment Loans,DG: Central Technical,YORKSHIRE AMBULANCE SERVICE NHS TRUST,HAFS-18656,"800,000.00",,WF2 0XG,,,PUBLIC,,
Department of Health,Department of Health,10/08/2015,Outsourcing Contract,DG: SFNHS,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,E0039871,"51,945.00",3 year national clinical programme across 10 categories - March 15 to October 15 - (up to 8 month review gateway).,HA7 4LP,,,PUBLIC,,
Department of Health,Department of Health,10/08/2015,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,11178,"27,787.50",Capital: 2015/16 - ERS BJSS - e -referral Service settlement - CCN BJS1-2-002,LS1 2TW,,,SME,,GB613295452
Department of Health,Department of Health,10/08/2015,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,13552,"858,571.00",Capital: 2015/16 - ERS BJSS - e -referral Service settlement - CCN BJS1-2-002,LS1 2TW,,,SME,,GB613295452
Department of Health,Department of Health,10/08/2015,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,13560,"68,400.00","Capital 2015/16 ERS BJSS - e-Referral Service Settlement CCN BJS1-2-002	 ",LS1 2TW,,,SME,,GB613295452
Department of Health,Department of Health,10/08/2015,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,13564,"1,203,275.52","Capital 2015/16 ERS BJSS - e-Referral Service Settlement CCN BJS1-2-002	 ",LS1 2TW,,,SME,,GB613295452
Department of Health,Department of Health,10/08/2015,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,13565,"839,084.48","Capital 2015/16 ERS BJSS - e-Referral Service Settlement CCN BJS1-2-002	 ",LS1 2TW,,,SME,,GB613295452
Department of Health,Department of Health,10/08/2015,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,13566,"168,111.00","Capital 2015/16 ERS BJSS - e-Referral Service Settlement CCN BJS1-2-002	 ",LS1 2TW,,,SME,,GB613295452
Department of Health,Department of Health,10/08/2015,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,13568,"438,476.25",Capital: 2015/16 - ERS BJSS - e -referral Service settlement - CCN BJS1-2-002,LS1 2TW,,,SME,,GB613295452
Department of Health,Department of Health,10/08/2015,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,13569,"85,340.08",Capital: 2015/16 - ERS BJSS - e -referral Service settlement - CCN BJS1-2-002,LS1 2TW,,,SME,,GB613295452
Department of Health,Department of Health,10/08/2015,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,13571,"176,650.20","Capital 2015/16 ERS BJSS - e-Referral Service Settlement CCN BJS1-2-002	 ",LS1 2TW,,,SME,,GB613295452
Department of Health,Department of Health,10/08/2015,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,13632,"164,781.19",Capital: 2015/16 Spine 2 BJSS - Collaborative Development Call-Off Contract April - June 2015,LS1 2TW,,,SME,,GB613295452
