Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Home Office,Home Office,19/08/2011,Rent & Rates,Performance & Finance Directorate,DTZ DEBENHAM TIE LEUNG LTD,1001147471,"39,834.60"
Home Office,Home Office,19/08/2011,Rent & Rates,Performance & Finance Directorate,DTZ DEBENHAM TIE LEUNG LTD,1001147470,"1,028,404.48"
Home Office,Home Office,25/08/2011,Rent & Rates,Performance & Finance Directorate,DTZ DEBENHAM TIE LEUNG LTD,1001149517,"95,558.90"
Home Office,Home Office,05/08/2011,Rent & Rates,Performance & Finance Directorate,DTZ DEBENHAM TIE LEUNG LTD,1001142462,"108,666.92"
Home Office,Home Office,19/08/2011,Rent & Rates,Performance & Finance Directorate,DTZ DEBENHAM TIE LEUNG LTD,1001147469,"2,362,392.72"
Home Office,Home Office,25/08/2011,Rent & Rates,Performance & Finance Directorate,DTZ DEBENHAM TIE LEUNG LTD,1001149516,"29,394.79"
Home Office,Home Office,08/08/2011,Utilities.Electric utilities - ADMN,Performance & Finance Directorate,EDF ENERGY,1001142924,"104,565.19"
Home Office,Home Office,22/08/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - ADMN",Performance & Finance Directorate,FUJITSU SERVICES (ALCEDO) LTD,1001147963,"2,846,102.76"
Home Office,Home Office,22/08/2011,"IT, TelecommsHardware.Desktop - ADMN",Performance & Finance Directorate,FUJITSU SERVICES (ALCEDO) LTD,1001147963,"309,098.81"
Home Office,Home Office,22/08/2011,"IT, Broadcasting & Telecomms.Sirius - Telephony",Performance & Finance Directorate,FUJITSU SERVICES (ALCEDO) LTD,1001147963,"311,086.04"
Home Office,Home Office,22/08/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - ADMN",Performance & Finance Directorate,FUJITSU SERVICES (ALCEDO) LTD,1001147963,"-111,655.16"
Home Office,Home Office,22/08/2011,"IT, TelecommsHardware.Desktop - ADMN",Performance & Finance Directorate,FUJITSU SERVICES (ALCEDO) LTD,1001147963,"-71,297.67"
Home Office,Home Office,22/08/2011,"IT, Broadcasting & Telecomms.Sirius - Other Services - ADMN",Performance & Finance Directorate,FUJITSU SERVICES (ALCEDO) LTD,1001147964,"650,000.00"
Home Office,Home Office,31/08/2011,"IT, Broadcasting & Telecomms.Sirius - Other Services - ADMN",Performance & Finance Directorate,FUJITSU SERVICES (ALCEDO) LTD,6200017418,"-4,074.00"
Home Office,Home Office,22/08/2011,"IT, TelecommsManaged Service.Support (General) - ADMN",Performance & Finance Directorate,FUJITSU SERVICES LIMITED,1001147965,"581,251.10"
Home Office,Home Office,16/08/2011,Utilities.Pay Phone Provider Serv - PROG,Performance & Finance Directorate,GLOBAL CROSSING,1001145872,"56,928.15"
Home Office,Home Office,16/08/2011,Telecoms,Performance & Finance Directorate,GLOBAL CROSSING,1001145872,0.31
Home Office,Home Office,16/08/2011,Utilities.Telephone Comms - PROG,Performance & Finance Directorate,GLOBAL CROSSING,1001145872,"41,115.00"
Home Office,Home Office,10/08/2011,"IT,TelecomTelephNtworkTelephon.Voice lines and Calls - PROG",Performance & Finance Directorate,GOVERNMENT PROCUREMENT SERVICE,3000043251,"96,151.69"
Home Office,Home Office,01/08/2011,"IT,TelecomTelephNtworkTelephon.Voice lines and Calls - PROG",Performance & Finance Directorate,GOVERNMENT PROCUREMENT SERVICE,3000043202,"302,413.03"
Home Office,Home Office,26/08/2011,"IT,TelecomTelephNtworkTelephon.Voice lines and Calls - PROG",Performance & Finance Directorate,GOVERNMENT PROCUREMENT SERVICE,3000043363,"1,456,897.91"
Home Office,Home Office,11/08/2011,"Building, Construction Service.General building construction.",Performance & Finance Directorate,HERMAN MILLER LTD,1001144401,"99,016.34"
Home Office,Home Office,16/08/2011,"IT, Broadcasting & Telecomms.IT Maintenance - ADMN",Performance & Finance Directorate,HEWLETT PACKARD,1001145878,"52,225.27"
Home Office,Home Office,16/08/2011,"IT, Broadcasting & Telecomms.IT Maintenance - ADMN",Performance & Finance Directorate,HEWLETT PACKARD,1001145878,"43,194.10"
Home Office,Home Office,16/08/2011,"IT, Broadcasting & Telecomms.IT Maintenance - ADMN",Performance & Finance Directorate,HEWLETT PACKARD,1001145878,"28,741.78"
Home Office,Home Office,16/08/2011,"IT, Broadcasting & Telecomms.IT Maintenance - ADMN",Performance & Finance Directorate,HEWLETT PACKARD,1001145878,"11,948.91"
Home Office,Home Office,16/08/2011,"IT, Broadcasting & Telecomms.IT Maintenance - ADMN",Performance & Finance Directorate,HEWLETT PACKARD,1001145878,"25,366.18"
Home Office,Home Office,01/08/2011,"IT, TelecommsManaged Service.Support (General) - ADMN",Performance & Finance Directorate,HM PRISON SERVICE,3000043200,"521,076.00"
Home Office,Home Office,15/08/2011,"IT, TelecommsManaged Service.Support (General) - ADMN",Performance & Finance Directorate,HM PRISON SERVICE,3000043270,"242,907.00"
Home Office,Home Office,15/08/2011,"IT, TelecommsManaged Service.Support (General) - ADMN",Performance & Finance Directorate,HM PRISON SERVICE,3000043270,"158,716.00"
Home Office,Home Office,15/08/2011,"IT, TelecommsManaged Service.Support (General) - ADMN",Performance & Finance Directorate,HM PRISON SERVICE,3000043270,"247,819.00"
Home Office,Home Office,25/08/2011,"IT, TelecommsManaged Service.Support (General) - ADMN",Performance & Finance Directorate,HM PRISON SERVICE,3000043356,"629,764.00"
Home Office,Home Office,30/08/2011,"IT, TelecommsManaged Service.Support (General) - ADMN",Performance & Finance Directorate,HM PRISON SERVICE,3000043374,"-629,764.00"
Home Office,Home Office,30/08/2011,"IT, TelecommsManaged Service.Support (General) - ADMN",Performance & Finance Directorate,HM PRISON SERVICE,3000043374,"629,764.00"
Home Office,Home Office,30/08/2011,"IT, TelecommsManaged Service.Support (General) - ADMN",Performance & Finance Directorate,HM PRISON SERVICE,3000043374,"199,580.00"
Home Office,Home Office,31/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,6200017419,"-32,174.87"
Home Office,Home Office,10/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001144008,"-107,093.61"
Home Office,Home Office,12/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001144930,"50,013.97"
Home Office,Home Office,02/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001140626,"70,602.63"
Home Office,Home Office,03/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001141618,"173,948.46"
Home Office,Home Office,03/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001141618,"135,978.03"
Home Office,Home Office,03/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001141618,"15,010.44"
Home Office,Home Office,24/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001149091,"56,194.75"
Home Office,Home Office,22/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001147974,"51,026.11"
Home Office,Home Office,12/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001144930,"403,757.41"
Home Office,Home Office,31/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,6200017419,"37,805.47"
Home Office,Home Office,04/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001142096,"226,556.52"
Home Office,Home Office,04/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001142096,"92,561.44"
Home Office,Home Office,04/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001142096,"82,143.89"
Home Office,Home Office,04/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001142096,"647,666.45"
Home Office,Home Office,04/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001142096,"493,819.12"
Home Office,Home Office,04/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001142096,"606,307.02"
Home Office,Home Office,12/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001144930,"40,696.03"
Home Office,Home Office,03/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001141618,"53,224.56"
Home Office,Home Office,03/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001141618,"28,377.57"
Home Office,Home Office,03/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001141618,"62,341.24"
Home Office,Home Office,10/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001144008,"621,138.11"
Home Office,Home Office,10/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001144008,"77,821.86"
Home Office,Home Office,15/08/2011,"Building, Construction Service.Building ConstructionServ-ADMN",Performance & Finance Directorate,INTERSERVE FACILITIES MANAGEMENT,1001145321,"47,557.86"
Home Office,Home Office,09/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,MIDDLETON MAINTENANCE SERVICES LTD,1001143448,"29,642.70"
Home Office,Home Office,18/08/2011,"Building, Construction Service.General building construction.",Performance & Finance Directorate,NEW HALL PLACE UNIT TRUST,1001147102,"343,072.45"
Home Office,Home Office,24/08/2011,"Building, Construction Service.General building construction.",Performance & Finance Directorate,OFFICE PROJECTS LIMITED,1001149112,"358,180.96"
Home Office,Home Office,30/08/2011,"IT, Broadcasting & Telecomms.IT Run Cost ? Info Support",Performance & Finance Directorate,SAVVIS UK LTD,1001150478,"43,828.75"
Home Office,Home Office,02/08/2011,"IT, Broadcasting & Telecomms.IT Run Cost ? Info Support",Performance & Finance Directorate,SAVVIS UK LTD,1001140689,"145,489.52"
Home Office,Home Office,02/08/2011,"IT, Broadcasting & Telecomms.IT Run Cost ? Info Support",Performance & Finance Directorate,SAVVIS UK LTD,1001140689,495.00
Home Office,Home Office,22/08/2011,"IT, Broadcasting & Telecomms.IT Run Cost ? Info Support",Performance & Finance Directorate,SAVVIS UK LTD,1001148002,"39,182.23"
Home Office,Home Office,05/08/2011,"IT, Broadcasting & Telecomms.IT Run Cost ? Info Support",Performance & Finance Directorate,SAVVIS UK LTD,1001142511,"145,489.52"
Home Office,Home Office,05/08/2011,"IT, Broadcasting & Telecomms.IT Run Cost ? Info Support",Performance & Finance Directorate,SAVVIS UK LTD,1001142511,"56,662.56"
Home Office,Home Office,04/08/2011,"Science, Technical & Research.Testing",Home Office Science,REACT ENGINEERING LTD,1001142119,"30,000.00"
Home Office,Home Office,17/08/2011,"Science, Technical & Research.Testing",Home Office Science,SMITHS DETECTION INTERNATIONAL UK,1001146688,"43,326.23"
Home Office,Home Office,31/08/2011,"Science, Technical & Research.Testing",Home Office Science,IMPERIAL COLLEGE LONDON,1001150882,"55,500.00"
Home Office,Home Office,05/08/2011,Published Products.Printed publications - PROG,Home Office Science,HM PRISON SERVICE,3000043228,"37,621.15"
Home Office,Home Office,12/08/2011,"Science, Technical & Research.Testing",Home Office Science,CT CENTRE (MOD) T/A DSTL,1001144910,"31,828.50"
Home Office,Home Office,04/08/2011,"IT,Tele Applic Consult&Develop.Plan & Design Consult - ADMN",Home Office Science,ALTIUS CONSULTING LTD,1001142059,"37,437.94"
Home Office,Home Office,02/08/2011,Social Research,Home Office Science,GVA GRIMLEY,1001140609,"29,556.00"
Home Office,Home Office,04/08/2011,Management & Admin Serv.Marketing Services - ADMN,Home Office Science,TNS-BMRB,1001142143,"370,590.00"
Home Office,Home Office,24/08/2011,Education & Training Services.Training Dev External - ADMN,Group HR,DEPARTMENT FOR WORK & PENSIONS (DWP),3000043349,"25,315.00"
Home Office,Home Office,01/08/2011,Other Government Departments,Group HR,CABINET OFFICE,3000043192,"33,225.00"
Home Office,Home Office,01/08/2011,Other Government Departments,Group HR,CABINET OFFICE,3000043192,"2,768.07"
Home Office,Home Office,01/08/2011,Other Government Departments,Group HR,CABINET OFFICE,3000043192,"7,243.02"
Home Office,Home Office,15/08/2011,Professional & Admin Services.Personnel Recruit Serv - ADMN,Group HR,FCO SERVICES,3000043267,"29,106.00"
Home Office,Home Office,08/08/2011,Education & Training Services.Training Dev External - ADMN,Group HR,CABINET OFFICE,3000043234,"371,786.00"
Home Office,Home Office,08/08/2011,Education & Training Services.Training Dev External - ADMN,Group HR,CABINET OFFICE,3000043234,"164,375.00"
Home Office,Home Office,08/08/2011,Education & Training Services.Training Dev External - ADMN,Group HR,CABINET OFFICE,3000043234,"356,379.00"
Home Office,Home Office,08/08/2011,Other Government Departments,Group HR,CABINET OFFICE,3000043234,1.00
Home Office,Home Office,25/08/2011,Professional & Admin Services.DWP MyCSP Pension admin fee,Group HR,DEPARTMENT FOR WORK & PENSIONS (DWP),3000043354,"129,441.00"
Home Office,UKBA - UK Border Agency,10/08/2011,"Messenger, Portering and Reception Services",UKBA - UK Border Agency,METROPOLITAN POLICE AUTHORITY,1001144015,"37,500.00"
Home Office,UKBA - UK Border Agency,02/08/2011,Publishing & Media Design Serv.Print Engrave & Photocopy-PROG,UKBA - UK Border Agency,3M SECURITY PRINTING & SYSTEMS LTD,1001140530,"29,120.00"
Home Office,UKBA - UK Border Agency,03/08/2011,Publishing & Media Design Serv.Print Engrave & Photocopy-PROG,UKBA - UK Border Agency,3M SECURITY PRINTING & SYSTEMS LTD,1001141588,"214,500.00"
Home Office,UKBA - UK Border Agency,02/08/2011,Politics & Civic Affairs.REFUGEE PROG. SECT 95,UKBA - UK Border Agency,ANGEL GROUP,1001140545,"115,181.16"
Home Office,UKBA - UK Border Agency,02/08/2011,Politics & Civic Affairs.Human aid & relief Sect 4,UKBA - UK Border Agency,ANGEL GROUP,1001140545,"36,127.34"
Home Office,UKBA - UK Border Agency,30/08/2011,Politics & Civic Affairs.REFUGEE PROG. SECT 95,UKBA - UK Border Agency,ANGEL GROUP,1001150413,"111,517.52"
Home Office,UKBA - UK Border Agency,30/08/2011,Politics & Civic Affairs.Human aid & relief Sect 4,UKBA - UK Border Agency,ANGEL GROUP,1001150413,"35,809.03"
Home Office,UKBA - UK Border Agency,03/08/2011,IT & Telecoms Components.Computer Equip (FA),UKBA - UK Border Agency,ATOS ORIGIN IT SERVICES UK LIMITED,1001141595,"231,510.00"
Home Office,UKBA - UK Border Agency,03/08/2011,IT & Telecoms Components.Computer Equip (FA),UKBA - UK Border Agency,ATOS ORIGIN IT SERVICES UK LIMITED,1001141595,"110,722.00"
Home Office,UKBA - UK Border Agency,22/08/2011,IT & Telecoms Components.Computer Equip (FA),UKBA - UK Border Agency,ATOS ORIGIN IT SERVICES UK LIMITED,1001147943,"175,766.00"
Home Office,UKBA - UK Border Agency,25/08/2011,"Science, Technical & Research.Computer services - PROG",UKBA - UK Border Agency,ATOS ORIGIN IT SERVICES UK LIMITED,1001149488,"200,000.00"
Home Office,UKBA - UK Border Agency,25/08/2011,"Science, Technical & Research.Computer services - PROG",UKBA - UK Border Agency,ATOS ORIGIN IT SERVICES UK LIMITED,1001149488,"181,059.00"
Home Office,UKBA - UK Border Agency,25/08/2011,"Science, Technical & Research.Computer services - PROG",UKBA - UK Border Agency,ATOS ORIGIN IT SERVICES UK LIMITED,1001149488,"125,221.00"
Home Office,UKBA - UK Border Agency,24/08/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS ORIGIN IT SERVICES UK LIMITED,1001149050,"203,557.00"
Home Office,UKBA - UK Border Agency,24/08/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS ORIGIN IT SERVICES UK LIMITED,1001149050,"81,038.00"
Home Office,UKBA - UK Border Agency,24/08/2011,Grants,UKBA - UK Border Agency,BARNSLEY MBC 1 (G),1001149316,"39,622.00"
Home Office,UKBA - UK Border Agency,17/08/2011,Other Government Departments,UKBA - UK Border Agency,BIRMINGHAM CITY COUNCIL,1001146499,"46,868.00"
Home Office,UKBA - UK Border Agency,18/08/2011,Grants,UKBA - UK Border Agency,BIRMINGHAM CITY COUNCIL (G),1001147326,"40,500.00"
Home Office,UKBA - UK Border Agency,03/08/2011,Politics & Civic Affairs.REFUGEE PROG. SECT 95,UKBA - UK Border Agency,CARDIFF COUNTY COUNCIL,1001141604,"247,962.73"
Home Office,UKBA - UK Border Agency,03/08/2011,Politics & Civic Affairs.Human aid & relief Sect 4,UKBA - UK Border Agency,CARDIFF COUNTY COUNCIL,1001141604,"17,285.50"
Home Office,UKBA - UK Border Agency,26/08/2011,Politics & Civic Affairs.REFUGEE PROG. SECT 95,UKBA - UK Border Agency,CARDIFF COUNTY COUNCIL,1001149979,"255,628.22"
Home Office,UKBA - UK Border Agency,26/08/2011,Politics & Civic Affairs.Human aid & relief Sect 4,UKBA - UK Border Agency,CARDIFF COUNTY COUNCIL,1001149979,"18,138.00"
Home Office,UKBA - UK Border Agency,26/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001149980,"78,430.10"
Home Office,UKBA - UK Border Agency,02/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001140568,"214,950.00"
Home Office,UKBA - UK Border Agency,17/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001146523,"214,950.00"
Home Office,UKBA - UK Border Agency,02/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001140568,"174,051.85"
Home Office,UKBA - UK Border Agency,02/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001140568,"33,901.09"
Home Office,UKBA - UK Border Agency,02/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001140568,"68,306.81"
Home Office,UKBA - UK Border Agency,04/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001142068,"269,243.50"
Home Office,UKBA - UK Border Agency,05/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001142450,"93,408.65"
Home Office,UKBA - UK Border Agency,05/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001142450,"37,460.80"
Home Office,UKBA - UK Border Agency,10/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001143984,"26,754.16"
Home Office,UKBA - UK Border Agency,10/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001143984,"97,832.64"
Home Office,UKBA - UK Border Agency,12/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001144896,"155,759.58"
Home Office,UKBA - UK Border Agency,12/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001144896,"177,752.81"
Home Office,UKBA - UK Border Agency,16/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001145848,"49,065.54"
Home Office,UKBA - UK Border Agency,18/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001147069,"56,334.17"
Home Office,UKBA - UK Border Agency,18/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001147069,"161,188.75"
Home Office,UKBA - UK Border Agency,25/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001149499,"85,207.92"
Home Office,UKBA - UK Border Agency,26/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001149980,"-62,120.59"
Home Office,UKBA - UK Border Agency,26/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001149980,"150,127.89"
Home Office,UKBA - UK Border Agency,31/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001150862,"-69,052.45"
Home Office,UKBA - UK Border Agency,31/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001150862,"37,286.95"
Home Office,UKBA - UK Border Agency,31/08/2011,Asylum Services.Public Expense Removals,UKBA - UK Border Agency,CARLSON WAGONLIT TRAVEL,1001150862,"90,695.26"
Home Office,UKBA - UK Border Agency,23/08/2011,Grants,UKBA - UK Border Agency,CENTRAL BEDFORDSHIRE COUNCIL (G),1001148834,"63,116.00"
Home Office,UKBA - UK Border Agency,05/08/2011,Politics & Civic Affairs.REFUGEE PROG. SECT 95,UKBA - UK Border Agency,CITY AND COUNTY OF SWANSEA,1001142451,"76,681.44"
Home Office,UKBA - UK Border Agency,04/08/2011,Politics & Civic Affairs.REFUGEE PROG. SECT 95,UKBA - UK Border Agency,CLEARSPRINGS MANAGEMENT LTD,1001142072,"109,398.96"
Home Office,UKBA - UK Border Agency,04/08/2011,Politics & Civic Affairs.Human aid & relief Sect 4,UKBA - UK Border Agency,CLEARSPRINGS MANAGEMENT LTD,1001142072,"32,652.46"
Home Office,UKBA - UK Border Agency,30/08/2011,Politics & Civic Affairs.REFUGEE PROG. SECT 95,UKBA - UK Border Agency,CLEARSPRINGS MANAGEMENT LTD,1001150430,"111,510.67"
Home Office,UKBA - UK Border Agency,30/08/2011,Politics & Civic Affairs.Human aid & relief Sect 4,UKBA - UK Border Agency,CLEARSPRINGS MANAGEMENT LTD,1001150430,"30,674.37"
