Ministry of Justice,MoJ HQ,03-Jun-13,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,CICA (CRIMINAL INJURIES COMPENSATION AUTHORITY),3203,"28,000,000.00",Grant-in-aid requirement for Arm's Length Body,G2 4LN
Ministry of Justice,MoJ HQ,03-Jun-13,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,THE PAROLE BOARD#KY14820007,3207,"1,650,000.00",Grant-in-aid requirement for Arm's Length Body,SW1P 2DX
Ministry of Justice,MoJ HQ,13-Jun-13,223000-Other Expenditure,RB999-JPG - CJRD,THE SALVATION ARMY,1103956,"273,903.55",Adult human trafficking victim care contract.,SE1 6BN
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,NORTHUMBERLAND COUNTY COUNCIL,1102895,"32,155.03",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,NE61 2EF
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,NORTH SOMERSET COUNCIL,22547,"36,068.21",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,BS23 1LL
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,LONDON BOROUGH OF SUTTON,1102867,"39,355.93",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,SM1 1EA
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,STOCKPORT METROPOLITAN BOROUGH COUNCIL,1102940,"43,788.41",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,SK1 3XE
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,GATESHEAD M.B.C.,1102826,"43,805.08",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,NE8 1HH
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,EAST RIDING OF YORKSHIRE COUNCIL,1102816,"44,864.91",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,HU17 9BA
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,SOUTH TYNESIDE COUNCIL,22551,"45,941.12",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,NE33 4JP
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,BLAENAU GWENT BOROUGH COUNCIL,1102776,"49,199.59",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,NP23 6XB
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,CARMARTHENSHIRE COUNTY COUNCIL,1102792,"50,538.88",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,SA31 1LE
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,CORNWALL COUNTY COUNCIL,1102804,"52,258.27",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,TR1 3AY
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,GLOUCESTERSHIRE COUNTY COUNCIL,1102828,"66,019.81",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,GL1 2TJ
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,LONDON BOROUGH OF HOUNSLOW,1102866,"66,050.15",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,TW3 4DN
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,BLACKBURN WITH DARWEN BOROUGH COUNCIL,1102775,"69,018.79",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,BB1 7DY
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,MERTHYR TYDFIL COUNTY BOROUGH COUNCIL,1102883,"69,491.31",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,CF47 8AN
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,METROPOLITAN BOROUGH OF WIRRAL,1102884,"71,502.05",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,CH41 6BU
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,LONDON BOROUGH OF HAVERING,1102864,"74,225.23",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,RM1 3BB
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,NEWPORT CITY COUNCIL,1102891,"77,004.91",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,NP20 4UR
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,DERBYSHIRE COUNTY COUNCIL,1102811,"77,993.55",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,DE4 3AH
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,CITY OF STOKE ON TRENT,1102802,"79,454.77",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,ST4 4TS
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,PLYMOUTH CITY COUNCIL,1102917,"88,424.23",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,PL1 2AA
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,NOTTINGHAMSHIRE COUNTY COUNCIL,1102896,"92,532.45",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,NG2 7QP
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,WEST SUSSEX COUNTY COUNCIL,1102964,"102,956.45",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,PO19 1RG
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,TAMESIDE METROPOLITAN BOROUGH,1102942,"103,090.02",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,OL6 6DL
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,ROCHDALE METROPOLITAN BOROUGH COUNCIL,1102927,"105,449.04",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,OL16 1XL
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,CAMBRIDGESHIRE COUNTY COUNCIL,1102786,"107,136.00",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,CB3 0AP
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,NORFOLK COUNTY COUNCIL,1102892,"121,273.28",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,NR1 2JF
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,ESSEX COUNTY COUNCIL,1102818,"122,791.78",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,CM1 1JZ
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,NORTH YORKSHIRE COUNTY COUNCIL,1102894,"132,286.08",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,DL7 8AL
Ministry of Justice,MoJ HQ,11-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,LONDON BOROUGH OF HILLINGDON,22627,"148,667.93",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,UB8 1UW
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,CITY OF COVENTRY,1102801,"150,251.52",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,CV1 5RQ
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,CARDIFF COUNTY COUNCIL,1102791,"176,486.63",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,CF10 4UW
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,HULL CITY COUNCIL,1102843,"183,469.93",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,HU1 2AB
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,LONDON BOROUGH OF HAMMERSMITH & FULHAM,1102863,"207,253.13",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,W6 9JU
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,KENT COUNTY COUNCIL,1102849,"240,463.53",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,ME14 1XQ
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,LONDON BOROUGH OF TOWER HAMLETS,1102868,"287,154.57",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,E14 2BG
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,LEEDS CITY COUNCIL,1102857,"369,158.68",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,LS2 8JR
Ministry of Justice,MoJ HQ,03-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,MANCHESTER CITY COUNCIL,1102875,"596,282.12",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,M60 2LA
Ministry of Justice,MoJ HQ,24-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,EDUCATIONAL FUNDING AGENCY,1104611,"3,185,727.00",To provide education to young people in custody,CV1 3BH
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,BRISTOL CITY COUNCIL#RC31620075,1103549,"185,385.91",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,BS99 7BL
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,BRIGHTON & HOVE#RC31620074,1103548,"59,987.31",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,BN3 2SR
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,LONDON BOROUGH OF BRENT#RC31620072,1103546,"395,894.37",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,HA9 8AD
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,BRADFORD METROPOLITAN DISTRICT COUNCIL#RC31620071,1103545,"207,378.43",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,BD1 1HX
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,BRACKNELL FOREST BOROUGH COUNCIL#RC31620070,1103544,"25,459.12",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,RG12 1AQ
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,SOUTHAMPTON CITY COUNCIL#RC31620151,1103622,"137,795.22",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,SO14 7NR
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,WOLVERHAMPTON MET BOROUGH COUNCIL#RC31620173,1103644,"108,113.91",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,WV1 1RL
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,WORCESTERSHIRE COUNTY COUNCIL#RC31620174,1103645,"91,791.44",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,WR5 2NP
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,HEREFORDSHIRE COUNTY COUNCIL#RC31620175,1103646,"28,986.77",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,HR1 1SH
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,WREXHAM CBC#RC31620176,1103647,"39,549.73",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,LL11 1FU
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,CITY OF YORK COUNCIL#RC31620177,1103648,"45,102.95",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,YO1 6GA
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,WIGAN MET BOROUGH COUNCIL#RC31620171,1103642,"51,138.74",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,WN2 5DN
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,CITY OF WESTMINSTER#RC31620170,1103641,"174,846.91",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,WA5 7ZD
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,WARWICKSHIRE COUNTY COUNCIL#RC31620169,1103640,"48,054.99",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,CU32 4LY
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,LONDON BOROUGH OF WANDSWORTH#RC31620168,1103639,"312,476.18",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,SW18 2PU
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,WALSALL COUNCIL#RC31620166,1103637,"76,182.14",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,WS1 1TW
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,WAKEFIELD MET BOROUGH COUNCIL#RC31620165,1103636,"91,694.84",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,WF1 1ZS
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,TRAFFORD MET BOROUGH COUNCIL#RC31620164,1103635,"97,652.42",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,M32 0YY
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,THURROCK COUNCIL#RC31620162,1103633,"53,146.12",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,RM17 6LT
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,SWINDON BOROUGH COUNCIL#RC31620161,1103632,"48,977.43",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,SN2 7JA
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,CITY & COUNTY OF SWANSEA#RC31620160,1103631,"41,210.00",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,SA1 4NR
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,SURREY COUNTY COUNCIL#RC31620159,1103630,"103,552.61",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,KT1 2DN
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,SUNDERLAND CITY COUNCIL#RC31620158,1103629,"32,698.80",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,SR2 7DN
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,SUFFOLK COUNTY COUNCIL#RC31620157,1103628,"94,441.39",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,IP4 2JP
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,STOCKTON-ON-TEES BOROUGH COUNCIL#RC31620156,1103627,"49,383.21",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,TS23 2YS
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,STAFFORDSHIRE COUNTY COUNCIL#RC31620155,1103626,"88,052.55",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,ST16 2NF
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,ST HELENS MET BOROUGH COUNCIL#RC31620154,1103625,"44,584.42",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,WA10 1UQ
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,LONDON BOROUGH OF SOUTHWARK#RC31620153,1103624,"545,549.78",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,SE16 3ZF
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,SOUTHEND-ON-SEA BOROUGH COUNCIL#RC31620152,1103623,"48,646.34",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,SS2 6EP
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,NORTH EAST LINCOLNSHIRE COUNCIL#RC31620126,1103599,"105,060.78",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,DN35 8LN
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,NORTH LINCOLNSHIRE COUNCIL#RC31620127,1103600,"102,211.34",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,DN16 1AB
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,NORTH TYNESIDE COUNCIL#RC31620128,1103601,"26,383.88",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,NE30 1BB
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,MILTON KEYNES COUNCIL#RC31620121,1103594,"73,874.05",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,MK9 3HS
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,MONMOUTHSHIRE COUNTY COUNCIL#RC31620122,1103595,"38,637.64",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,NP44 2XH
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,NEATH PORT TALBOT CBC#RC31620123,1103596,"31,499.93",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,SA11 3QZ
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,NEWCASTLE-UPON-TYNE CITY COUNCIL#RC31620124,1103597,"97,956.55",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,NE99 1FR
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,LONDON BOROUGH OF NEWHAM#RC31620125,1103598,"442,705.71",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,E15 1AJ
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,LONDON BOROUGH OF BARKING & DAGENHAM#RC31620061,1103535,"244,545.96",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,RM10 7BY
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,LONDON BOROUGH OF WALTHAM FOREST#RC31620167,1103638,"215,595.41",2013-14-Payment for remands to youth detention accomodation and children who are looked after as a result of such remands.,E17 4JA
