Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BRISTOL PCT,HAFS-8155,60000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BROMLEY PCT,HAFS-8156,35500000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BUCKINGHAMSHIRE PCT,HAFS-8157,51000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BURY PCT,HAFS-8158,22000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CALDERDALE PCT,HAFS-8159,23500000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CAMBRIDGESHIRE PCT,HAFS-8160,60000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CAMDEN PCT,HAFS-8161,38000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CENTRAL & EASTERN CHESHIRE PCT,HAFS-8162,47000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CENTRAL LANCASHIRE PCT,HAFS-8163,54250000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CITY AND HACKNEY TEACHING PCT,HAFS-8164,35000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CORNWALL & ISLES OF SCILLY PCT,HAFS-8165,68500000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),COUNTY DURHAM PCT,HAFS-8166,59109000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),COVENTRY TEACHING PCT,HAFS-8167,35000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CROYDON PCT,HAFS-8168,44000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CUMBRIA PCT,HAFS-8169,67000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DARLINGTON PCT,HAFS-8170,9175000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DERBY CITY PCT,HAFS-8171,45000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DERBYSHIRE COUNTY PCT,HAFS-8172,105000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DEVON PCT,HAFS-8173,85000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DONCASTER PCT,HAFS-8174,40000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DORSET PCT,HAFS-8175,45000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DUDLEY PCT,HAFS-8176,36000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EALING PCT,HAFS-8177,41000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HERTFORDSHIRE PCT,HAFS-8178,125000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST LANCASHIRE PCT,HAFS-8179,46000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST MIDLANDS SHA,HAFS-8180,40000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST OF ENGLAND SHA,HAFS-8181,56000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST RIDING OF YORKSHIRE PCT,HAFS-8182,33000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST SUSSEX DOWNS & WEALD PCT,HAFS-8183,40000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EASTERN & COASTAL KENT PCT,HAFS-8184,95000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),ENFIELD PCT,HAFS-8185,39000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),GATESHEAD PCT,HAFS-8186,29900000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),GLOUCESTERSHIRE PCT,HAFS-8187,64000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),GREAT YARMOUTH AND WAVENY PCT,HAFS-8188,26335000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),GREENWICH TEACHING PCT,HAFS-8189,28000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HALTON & ST HELENS PCT,HAFS-8190,43500000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HAMMERSMITH AND FULHAM PCT,HAFS-8191,23000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HAMPSHIRE PCT,HAFS-8192,149000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HARINGEY TEACHING PCT,HAFS-8193,40260000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HARROW PCT,HAFS-8194,29000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HARTLEPOOL PCT,HAFS-8195,11650000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HASTINGS & ROTHER PCT,HAFS-8196,25000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HAVERING PCT COMMISSIONING,HAFS-8197,34000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HEART OF BIRMINGHAM TEACHING PCT,HAFS-8198,43000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HEREFORDSHIRE PCT,HAFS-8199,23000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HEYWOOD MIDDLETON & ROCHDALE PCT,HAFS-8200,28000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HILLINGDON PCT,HAFS-8201,31000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HOUNSLOW PCT,HAFS-8202,30000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HULL PCT,HAFS-8203,35500000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),ISLE OF WIGHT NHS PCT,HAFS-8204,19000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),ISLINGTON PCT,HAFS-8205,33556000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),KENSINGTON AND CHELSEA PCT,HAFS-8206,27000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),KINGSTON PCT,HAFS-8207,19000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),KIRKLEES PCT,HAFS-8208,45500000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),KNOWSLEY PCT,HAFS-8209,18100000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LAMBETH PCT,HAFS-8210,47000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LEEDS PCT,HAFS-8211,87800000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LEICESTER CITY PCT,HAFS-8212,38600000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LEICESTERSHIRE COUNTY & RUTLAND PCT,HAFS-8213,63000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LEWISHAM PCT,HAFS-8214,37000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LINCOLNSHIRE PCT,HAFS-8215,90000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LIVERPOOL PCT,HAFS-8216,63575000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LONDON SHA,HAFS-8217,150000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LUTON TEACHING PCT,HAFS-8218,22200000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MANCHESTER PCT,HAFS-8219,79000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MEDWAY TEACHING PCT,HAFS-8220,33000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MID ESSEX PCT,HAFS-8221,35000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MIDDLESBOROUGH PCT,HAFS-8222,22500000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MILTON KEYNES PCT,HAFS-8223,26000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-8224,5000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NATIONAL PATIENT SAFETY AGENCY (NPSA),HAFS-8225,1000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NEWCASTLE PCT,HAFS-8226,31000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NEWHAM PCT,HAFS-8227,52000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-8228,24850000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,HAFS-8230,4000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NHS LITIGATION AUTHORITY,HAFS-8231,20000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORFOLK PCT,HAFS-8232,85000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH EAST ESSEX PCT,HAFS-8233,32000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH EAST LINCOLNSHIRE CARE TRUST PLUS,HAFS-8234,19230000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH EAST SHA,HAFS-8235,22000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH LANCASHIRE PCT,HAFS-8236,46777000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH LINCOLNSHIRE PCT,HAFS-8237,18800000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH SOMERSET PCT,HAFS-8238,29000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH STAFFORDSHIRE PCT,HAFS-8239,25500000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH TYNESIDE PCT,HAFS-8240,22000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH WEST SHA,HAFS-8241,64000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH YORKSHIRE & YORK PCT,HAFS-8242,95300000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTHAMPTONSHIRE PCT,HAFS-8243,70000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTHUMBERLAND CARE TRUST,HAFS-8244,32000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NOTTINGHAM CITY PCT,HAFS-8245,38000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NOTTINGHAMSHIRE COUNTY TEACHING PCT,HAFS-8246,85000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),OLDHAM PCT,HAFS-8247,29000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),OXFORDSHIRE PCT,HAFS-8248,66000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),PETERBOROUGH PCT,HAFS-8249,19000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),PLYMOUTH TEACHING PCT,HAFS-8250,35000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),PORTSMOUTH CITY TEACHING PCT,HAFS-8251,30000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),REDBRIDGE PCT,HAFS-8252,34000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),REDCAR AND CLEVELAND PCT,HAFS-8253,21000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),RICHMOND AND TWICKENHAM PCT,HAFS-8254,22500000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),ROTHERHAM PCT,HAFS-8255,29000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SALFORD PCT,HAFS-8256,33000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SANDWELL PCT,HAFS-8257,44700000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SEFTON PCT,HAFS-8258,38000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SHEFFIELD PCT,HAFS-8259,70700000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SHROPSHIRE COUNTY PCT,HAFS-8260,32678000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOLIHULL PCT,HAFS-8261,26900000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOMERSET PCT,HAFS-8262,68000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH BIRMINGHAM PCT,HAFS-8263,48500000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH CENTRAL SHA,HAFS-8264,28000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH EAST COAST SHA,HAFS-8265,24000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH EAST ESSEX PCT,HAFS-8266,35000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH GLOUCESTERSHIRE PCT,HAFS-8267,25000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH STAFFORDSHIRE PCT,HAFS-8268,65000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH TYNESIDE PCT,HAFS-8269,21800000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH WEST ESSEX PCT,HAFS-8270,47000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH WEST SHA,HAFS-8271,31000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTHAMPTON CITY PCT,HAFS-8272,29000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTHWARK PCT,HAFS-8273,38000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),STOCKPORT PCT,HAFS-8274,32500000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),STOCKTON-ON-TEES TEACHING PCT,HAFS-8275,21200000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),STOKE ON TRENT PCT,HAFS-8276,33500000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SUFFOLK PCT,HAFS-8277,73000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SUNDERLAND TEACHING PCT,HAFS-8278,41900000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SURREY PCT,HAFS-8279,124000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SUTTON AND MERTON PCT,HAFS-8280,45000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SWINDON PCT,HAFS-8281,16000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),TAMESIDE AND GLOSSOP PCT,HAFS-8282,29000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),TELFORD & WREKIN PCT,HAFS-8283,18445000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),TORBAY CARE TRUST,HAFS-8284,18750000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),TOWER HAMLETS PCT,HAFS-8285,38000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),TRAFFORD PCT,HAFS-8286,25500000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WAKEFIELD DISTRICT PCT,HAFS-8287,42000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WALSALL TEACHING PCT,HAFS-8288,37000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),WALTHAM FOREST PCT,HAFS-8289,32000000,,,
