2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: July 2010,,,,,,,

Department Family,Entity,Date,OGC Master Category,Project Code,Supplier,Transaction Number,Amount
Dept. for Education,QCDA,19/07/2010,Facilities,Corporate Support,DCSF,PBAC/00129456,"£1,581,278.58"
Dept. for Education,QCDA,06/07/2010,Professional Services Learning & Development,Test Delivery Operations Programme,Edexcel Ltd,PBAC/00129171,"£2,302,526.00"
Dept. for Education,QCDA,07/07/2010,Travel & Events,Corporate Support,Expotel Hotel Reservations Ltd,PBAC/00129329,"£28,911.54"
Dept. for Education,QCDA,06/07/2010,Travel & Events,Corporate Support,Expotel Hotel Reservations Ltd,PBAC/00129219,"£28,852.37"
Dept. for Education,QCDA,07/07/2010,N/A,Corporate Support,Inland Revenue Only,PRFT/00001463,"£551,256.51"
Dept. for Education,QCDA,30/07/2010,N/A,Corporate Support,Inland Revenue Only,PRFT/00001472,"£391,442.93"
Dept. for Education,QCDA,26/07/2010,Office Solutions,Corporate Support,Mouchel Management Consulting Ltd (Hedra,POCRDT/00000519,"-£70,000.00"
Dept. for Education,QCDA,06/07/2010,Professional Services Learning & Development,General Qualifications Programme,NFER,PBAC/00129181,"£38,247.00"
Dept. for Education,QCDA,26/07/2010,Facilities,Corporate Support,Office World (UK) Ltd,PBAC/00129580,"£165,749.03"
Dept. for Education,QCDA,19/07/2010,Logistics,General Qualifications Programme,Parcelforce Worldwide,PBAC/00129452,"£1,024,422.73"
Dept. for Education,QCDA,07/07/2010,Logistics,General Qualifications Programme,Parcelforce Worldwide,PBAC/00129298,"£846,880.20"
Dept. for Education,QCDA,30/07/2010,Logistics,General Qualifications Programme,Parcelforce Worldwide,PBAC/00129833,"£221,321.40"
Dept. for Education,QCDA,07/07/2010,Personnel Related,Corporate Support,PENNA PLC,PBAC/00129307,"£644,977.17"
Dept. for Education,QCDA,06/07/2010,Personnel Related,Corporate Support,PENNA PLC,PBAC/00129163,"£249,972.82"
Dept. for Education,QCDA,29/07/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,Pindar,PBAC/00129736,"£30,011.32"
Dept. for Education,QCDA,06/07/2010,Professional Services Consultancy,Test Delivery Operations Programme,PriceWaterhouseCoopers,PBAC/00129248,"£566,749.50"
Dept. for Education,QCDA,07/07/2010,Professional Services Consultancy,Test Delivery Operations Programme,PriceWaterhouseCoopers,PBAC/00129299,"£528,096.04"
Dept. for Education,QCDA,09/07/2010,Professional Services Consultancy,Test Delivery Operations Programme,PriceWaterhouseCoopers,PBAC/00129406,"£25,952.14"
Dept. for Education,QCDA,06/07/2010,Professional Services Learning & Development,Test Delivery Operations Programme,RM Education Plc,PBAC/00129162,"£91,233.99"
Dept. for Education,QCDA,06/07/2010,Professional Services Learning & Development,Test Delivery Operations Programme,RM Education Plc,POCRDT/00000511,"-£51,251.00"
Dept. for Education,QCDA,09/07/2010,Professional Services Learning & Development,Test Delivery Operations Programme,RM Education Plc,PBAC/00129412,"£46,125.89"
Dept. for Education,QCDA,26/07/2010,Professional Services Learning & Development,Test Delivery Operations Programme,RM Education Plc,PBAC/00129573,"£31,515.80"
Dept. for Education,QCDA,05/07/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,Royal National Institute for the Blind,PBAC/00128947,"£81,266.00"
Dept. for Education,QCDA,09/07/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,Royal National Institute for the Blind,PBAC/00129417,"£25,582.12"
Dept. for Education,QCDA,29/07/2010,Facilities,Corporate Support,SGP Property & Facilities Management Ltd,PBAC/00129780,"£72,045.65"
Dept. for Education,QCDA,06/07/2010,ICT,Corporate Support,Steria Ltd,PBAC/00129193,"£192,287.28"
Dept. for Education,QCDA,07/07/2010,ICT,Corporate Support,Steria Services Ltd,PBAC/00129312,"£272,336.15"
Dept. for Education,QCDA,26/07/2010,ICT,Corporate Support,Steria Services Ltd,PBAC/00129581,"£101,272.13"
Dept. for Education,QCDA,29/07/2010,ICT,Corporate Support,Steria Services Ltd,PBAC/00129757,"£62,412.87"
Dept. for Education,QCDA,06/07/2010,Professional Services Learning & Development,General Qualifications Programme,Television Junction Ltd,PBAC/00129166,"£34,243.63"
Dept. for Education,QCDA,29/07/2010,Professional Services Learning & Development,General Qualifications Programme,Tribal Education Ltd,PBAC/00129803,"£28,418.00"
Dept. for Education,QCDA,06/07/2010,Travel & Events,Test Delivery Operations Programme,Warwick University Training Ltd,PBAC/00129146,"£37,940.80"
Dept. for Education,QCDA,26/07/2010,Travel & Events,Test Delivery Operations Programme,Warwick University Training Ltd,PBAC/00129564,"£32,850.64"
