Ministry of Justice,HMCTS,09-Dec-11,221000-Property Rent and Rates,DZ999-South West Region,GVA GRIMLEY LTD T/A GVA,1847192,"£25,250.00",,B1 2JJ-VALAD,0,Programme
Ministry of Justice,MoJ HQ,05-Dec-11,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1062759,"£25,294.00",EIPNetSec (E134) CCNF337 Firewalls & Switches Completion,WA3 9BD,E134,Programme
Ministry of Justice,HMCTS,21-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,GZ999-North West Region,CARLISLE CITY COUNCIL,1859999,"£25,305.17",,RATES,0,Programme
Ministry of Justice,MoJ HQ,01-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1062531,"£25,368.00",PO301 - CCN F378 Security Service,WA3 9BD,0,Programme
Ministry of Justice,HMCTS,06-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,EZ999-Wales Region,LAMBERT SMITH HAMPTON,1841155,"£25,400.00",,W1D 1NN-S/CHGE,0,Programme
Ministry of Justice,MoJ HQ,05-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1062799,"£25,500.00",Bulk Printing,CF31 9AP,0,Programme
Ministry of Justice,HMCTS,07-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,EC HARRIS LLP,1844965,"£25,500.00",Estate Management Services,M60 3NT,0,Balance Sheet
Ministry of Justice,MoJ HQ,19-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1064144,"£25,500.00",Bulk Printing,CF31 9AP,0,Programme
Ministry of Justice,HMCTS,06-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,DZ999-South West Region,LAMBERT SMITH HAMPTON,1841155,"£25,524.25",,W1D 1NN-S/CHGE,0,Programme
Ministry of Justice,HMCTS,29-Dec-11,261000-Fuel and Utilities,EZ999-Wales Region,BRITISH GAS BUSINESS,1870624,"£25,532.91",HMCS Wales Region: Consolidated Electric:Reference:A3053497:Electricity Charges:WEF February 2011: British Gas Electric:,OX4 2JY,0,Programme
Ministry of Justice,MoJ HQ,22-Dec-11,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,1064421,"£25,558.20",,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,19-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1064144,"£25,577.00",L-S-3047-01 Libra DRD Project - Test Approach,CF31 9AP,E144,Programme
Ministry of Justice,HMCTS,13-Dec-11,221000-Property Rent and Rates,SL999-Centralised Frontline,BRUNTWOOD ESTATES,1849398,"£25,610.75",,M1 4BT-RENTALPH,0,Programme
Ministry of Justice,MoJ HQ,01-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,ATOS IT SERVICES UK LTD,1062459,"£25,830.75",Computer services supplied to the specification of the recipient,WV10 6UH,0,Balance Sheet
Ministry of Justice,MoJ HQ,01-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,ATOS IT SERVICES UK LTD,1062459,"£25,830.75",Computer services supplied to the specification of the recipient,WV10 6UH,0,Balance Sheet
Ministry of Justice,MoJ HQ,19-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,ATOS IT SERVICES UK LTD,1064001,"£25,830.75",Computer services supplied to the specification of the recipient,WV10 6UH,0,Balance Sheet
Ministry of Justice,HMCTS,29-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,NORLAND MANAGED SERVICES LTD,1870847,"£25,866.72","Maintenance, non-structural repair and cleaning of buildings",CIS-SE1 1RU,0,Balance Sheet
Ministry of Justice,HMCTS,08-Dec-11,710800-Creditor <1 yr - Third Party Monies,SL999-Centralised Frontline,ONE TIME CAPS,530112,"£25,891.20",,BD19 4XT,0,Programme
Ministry of Justice,HMCTS,06-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,GZ999-North West Region,LONDON & CAPITAL PROPERTIES LTD,1841190,"£25,949.20",,NW1 3HG,0,Programme
Ministry of Justice,HMCTS,20-Dec-11,222001-Maintenance,EZ999-Wales Region,WYG MANAGEMENT SERVICES LTD,1859955,"£25,957.31",South East Wales: Area Management Fees: January 2011 - March 2012 - White Young Green:,L2 6RE,0,Programme
Ministry of Justice,HMCTS,19-Dec-11,710100-Creditors < 1 year - Other Taxation & Social Security,WW000-Balance Sheet,HMRC,1177,"£25,979.00",,BD98 8AA-PAYE,0,Balance Sheet
Ministry of Justice,HMCTS,06-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,GZ999-North West Region,CBRE CB RICHARD ELLIS,1840787,"£25,981.00",,L2 9SH,0,Programme
Ministry of Justice,HMCTS,06-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,GZ999-North West Region,LONDON & CAPITAL PROPERTIES LTD,1841190,"£26,052.80",,NW1 3HG,0,Programme
Ministry of Justice,MoJ HQ,19-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1064144,"£26,156.50",CCN L-S-2405-03 - MI & Business Planning Services (One Off Costs),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,01-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1062459,"£26,160.20",CCN1486-03 - Renewal of the onsite RCJ presence (Ongoing Charges FY 11-12),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,19-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1064001,"£26,160.20",CCN1486-03 - Renewal of the onsite RCJ presence (Ongoing Charges FY 11-12),WV10 6UH,0,Programme
Ministry of Justice,HMCTS,13-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,GZ999-North West Region,HURSTWOOD PROPERTIES (R) LTD,1849753,"£26,203.44",,M2 1HW,0,Programme
Ministry of Justice,MoJ HQ,19-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1064144,"£26,237.34",CCN L-S-2405-03 - MI & Business Planning Services (One Off Costs),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,23-Dec-11,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,HEWLETT PACKARD LTD,1064690,"£26,253.43",,RG12 1HN,0,Admin
Ministry of Justice,MoJ HQ,23-Dec-11,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,HEWLETT PACKARD LTD,1064690,"£26,254.43",,RG12 1HN,0,Admin
Ministry of Justice,MoJ HQ,19-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1064112,"£26,276.81",PB629 (CP6.2) EUC Laptop,RG12 1HN,0,Programme
Ministry of Justice,HMCTS,06-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,GZ999-North West Region,CBRE CB RICHARD ELLIS,1840787,"£26,364.25",,L2 9SH,0,Programme
Ministry of Justice,HMCTS,23-Dec-11,221000-Property Rent and Rates,SL999-Centralised Frontline,OFSTED,1867152,"£26,377.95",,M2 7LA,0,Programme
Ministry of Justice,HMCTS,06-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,GZ999-North West Region,CBRE CB RICHARD ELLIS,1840787,"£26,405.25",,L2 9SH,0,Programme
Ministry of Justice,HMCTS,13-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,PRICEWATERHOUSECOOPERS LLP,1850207,"£26,432.00",,E14 9SQ,0,Programme
Ministry of Justice,HMCTS,21-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,COVENTRY CITY COUNCIL,1860026,"£26,473.62",,RATES,0,Programme,,
Ministry of Justice,HMCTS,13-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,DZ999-South West Region,SWANSTON HOLDINGS,1850348,"£26,500.00",,HR9 7TE,0,Programme,,
Ministry of Justice,HMCTS,15-Dec-11,710800-Creditor <1 yr - Third Party Monies,SL999-Centralised Frontline,ONE TIME CAPS,536677,"£26,504.17",,BD3 7YD,0,Programme,,
Ministry of Justice,HMCTS,23-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,HZ999-North East Region,M J MAPP LTD,1867036,"£26,521.84",,W1W 5QZ,0,Programme,,
Ministry of Justice,HMCTS,15-Dec-11,710800-Creditor <1 yr - Third Party Monies,SL999-Centralised Frontline,ONE TIME CAPS,536690,"£26,570.91",,NG1 5ZZ,0,Programme,,
Ministry of Justice,HMCTS,21-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,CHELMSFORD BOROUGH COUNCIL,1860003,"£26,602.87",,RATES,0,Programme,,
Ministry of Justice,HMCTS,13-Dec-11,265000-IT & Telecommunications,SK999-Enforcement,LOGICA UK LTD,1849840,"£26,741.00",LCCC - Logica UK Ltd - Essential upgrade to WATS Mobile R3.6 Warrant Tracker System (CCN L-S-2781-01),CF31 9AP,0,Programme,,
Ministry of Justice,HMCTS,21-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,I ELLINSON & CO,538425,"£26,765.00",,NE9 6BQ,0,Programme,,
Ministry of Justice,HMCTS,21-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,OXFORD CITY COUNCIL,1860150,"£26,819.15",,RATES,0,Programme,,
Ministry of Justice,MoJ HQ,08-Dec-11,222001-Maintenance,NZ406-Strategic Estates Feeder,SURREY & SUSSEX PROBATION TRUST,1063185,"£26,852.98","Relocation & Installation costs incurred by S&SPT (Telephony, access control, etc.)",GU7 1JB,0,Admin,,SME
Ministry of Justice,HMCTS,09-Dec-11,222001-Maintenance,BZ999-London Region,EC HARRIS LLP,1847108,"£27,000.00",EC Harris - Monthly Fee - RCJ 2011/12,M60 3NT,0,Programme,,
Ministry of Justice,HMCTS,09-Dec-11,222001-Maintenance,BZ999-London Region,EC HARRIS LLP,1847108,"£27,000.00",EC Harris - Monthly Fee - RCJ 2011/12,M60 3NT,0,Programme,,
Ministry of Justice,MoJ HQ,19-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1064144,"£27,109.83",CCN L-S-2405-03 - MI & Business Planning Services (One Off Costs),CF31 9AP,0,Programme,,
Ministry of Justice,MoJ HQ,01-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1062459,"£27,180.00",Variable Laptop Encryption Charge,WV10 6UH,0,Programme,,
Ministry of Justice,MoJ HQ,19-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1064001,"£27,180.00",Variable Laptop Encryption Charge,WV10 6UH,0,Programme,,
Ministry of Justice,MoJ HQ,19-Dec-11,222002-Other Property Costs,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1064126,"£27,242.50","Rent/Service Charges - Part 5th Floor, Axis Building",BS8 9AQ,0,Admin,,
Ministry of Justice,HMCTS,21-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,DERBY CITY COUNCIL,1860035,"£27,251.72",,RATES,0,Programme,,
Ministry of Justice,MoJ HQ,23-Dec-11,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1064747,"£27,280.13",PQ108 - OMNI-T Capital Expenditure FY1112,M14 0WN,E012,Programme,,
Ministry of Justice,MoJ HQ,01-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1062562,"£27,433.67",QBD Samaritan Phones & Repeaters,RG12 1HN,0,Programme,,
Ministry of Justice,MoJ HQ,22-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,GLOBAL CROSSING (UK) TELECOMMUNICATIONS LTD,1064392,"£27,500.00",DISC to MINT - Global Crossing - one-off Charge (Security Accreditation CCN 007),RG24 8NA,E023,Programme,,
Ministry of Justice,HMCTS,16-Dec-11,226000-Court Costs,BZ999-London Region,MERRILL LEGAL SOLUTIONS,1856038,"£27,660.57",Central Criminal Court - Court Reporting - CATS - Merrill Legal Solutions - 2011/12,EC4A 2DY,0,Programme,,
Ministry of Justice,HMCTS,01-Dec-11,710800-Creditor <1 yr - Third Party Monies,SL999-Centralised Frontline,ONE TIME CAPS,525237,"£27,662.26",,BD1 4XZ,0,Programme,,
Ministry of Justice,MoJ HQ,19-Dec-11,223001-Printing Postage and Office expenditure,NZ406-Strategic Estates Feeder,GOVERNMENT CAR & DESPATCH AGENCY,1064088,"£27,689.60",,SW8 5AX,0,Admin,,
Ministry of Justice,MoJ HQ,19-Dec-11,223000-Other Expenditure,MF400-DJO - TRIBS,CALDER CONFERENCES LTD,1064027,"£27,752.42","Cost for Conference venue, accommodation, catering and other costs relating to Judicial Training Conferences",LS16 6RF,0,Programme,,
Ministry of Justice,HMCTS,13-Dec-11,222001-Maintenance,GZ999-North West Region,HURD ROLLAND PARTNERSHIP,1849751,"£27,770.00",Bolton,M2 5GP,F072,Programme,,SME
Ministry of Justice,HMCTS,21-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,CITY OF WESTMINSTER,1860014,"£27,870.35",,RATES,0,Programme,,
Ministry of Justice,HMCTS,06-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,CBRE CB RICHARD ELLIS,1840786,"£27,875.00",,G2 6UA-CLICOMRE,0,Programme,,
Ministry of Justice,HMCTS,16-Dec-11,222001-Maintenance,AG999-HQ - Estates,WHEELERS,1856642,"£27,886.50",TFM,SO15 2AB,0,Programme,,
Ministry of Justice,HMCTS,21-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,BIRMINGHAM CITY COUNCIL,1859972,"£27,900.57",,RATES,0,Programme,,
Ministry of Justice,HMCTS,09-Dec-11,223001-Printing Postage and Office expenditure,CZ999-South East Region,ROYAL MAIL GROUP PLC,1847591,"£28,144.75",SE Regional Royal Mail Variable Charges- 11/12 - Account number 166289000,PE4 5BR,0,Programme,,
Ministry of Justice,HMCTS,20-Dec-11,222001-Maintenance,CZ999-South East Region,NORLAND MANAGED SERVICES LTD,1859411,"£28,187.34",CIS Labour - SE Estates - Norland (Kent) - PPM Monthly Contract 2011/2012,CIS-SE1 1RU,0,Programme,,
Ministry of Justice,MoJ HQ,15-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1063754,"£28,258.70",Managed Service - Programme & Project Management Apr-11 to Mar-12,WA3 9BD,0,Programme,,
Ministry of Justice,HMCTS,02-Dec-11,261000-Fuel and Utilities,CZ999-South East Region,BRITISH GAS BUSINESS,1837671,"£28,316.03",SE Region Consolidated Invoice - British Gas - Electricity supply - 11/12,OX4 2JY,0,Programme
Ministry of Justice,HMCTS,13-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,PRICEWATERHOUSECOOPERS LLP,1850207,"£28,364.50",,E14 9SQ,0,Programme
Ministry of Justice,HMCTS,13-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,PRICEWATERHOUSECOOPERS LLP,1850207,"£28,364.50",,E14 9SQ,0,Programme
Ministry of Justice,HMCTS,09-Dec-11,222001-Maintenance,HZ999-North East Region,HONEYWELL CONTROL SYSTEMS LTD,1847220,"£28,431.33",HA102-Honeywell Contractual Fees for CDN M & E April to October 2011 (not inc Lodgings),S98 1DL,0,Programme
Ministry of Justice,MoJ HQ,01-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1062562,"£28,538.64",PB626 (CP3.1) Storage Virtualisation,RG12 1HN,0,Programme
Ministry of Justice,HMCTS,21-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,NORWICH CITY COUNCIL,1860147,"£28,549.42",,RATES,0,Programme
Ministry of Justice,HMCTS,21-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,DZ999-South West Region,PORTSMOUTH CITY COUNCIL,1860154,"£28,564.00",,RATES,0,Programme
Ministry of Justice,HMCTS,13-Dec-11,226000-Court Costs,GZ999-North West Region,CATER WALSH REPORTING LTD,532224,"£28,594.97",NW Region - Loggers - Apr 11 - Mar 12,DY10 1AL,0,Programme
Ministry of Justice,MoJ HQ,01-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1062562,"£28,609.13",,RG12 1HN,0,Programme
Ministry of Justice,HMCTS,23-Dec-11,221000-Property Rent and Rates,FZ999-Midlands Region,COLLIER & MADGE PLC,1866677,"£28,725.00",,W1H 7AL,0,Programme
Ministry of Justice,HMCTS,29-Dec-11,223001-Printing Postage and Office expenditure,FZ999-Midlands Region,ROYAL MAIL GROUP PLC,543399,"£28,783.33",HMCTS: Multiple Sites - Annual Fixed Consolidated One-Bill:1st December 2011 - 30 November 2012 - Royal Mail,PE4 5BR,0,Programme
Ministry of Justice,HMCTS,06-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,EDDISONS,1840897,"£28,992.32",,WC2H 0AU-RENT,0,Programme
Ministry of Justice,HMCTS,21-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,LONDON BOROUGH OF HARINGEY,1860102,"£29,187.00",,RATES,0,Programme
Ministry of Justice,MoJ HQ,19-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1064001,"£29,192.00","A-R-01650-01.V01 - LSC Variable Charges for Desktops, laptops, RAS :  2011/12",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,19-Dec-11,222002-Other Property Costs,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1064126,"£29,214.50","Rent/Service Charges - 4th Floor, Axis Building",BS8 9AQ,0,Admin
Ministry of Justice,MoJ HQ,01-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1062459,"£29,227.00",CCN0072 - BPO Ongoing,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,01-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1062459,"£29,227.00",CCN0072 - BPO Ongoing,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,LOGICA UK LTD,1062799,"£29,381.00",Computer services supplied to the specification of the recipient,CF31 9AP,0,Balance Sheet
Ministry of Justice,MoJ HQ,19-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,LOGICA UK LTD,1064144,"£29,381.00",Computer services supplied to the specification of the recipient,CF31 9AP,0,Balance Sheet
Ministry of Justice,HMCTS,21-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,EZ999-Wales Region,CARDIFF COUNTY COUNCIL,1859998,"£29,447.00",,RATES,0,Programme
Ministry of Justice,HMCTS,09-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,DELANCEY ARNOLD UK & DELANCEY ROLLS LTD,1847086,"£29,452.39",,NW1 3BG,0,Programme
Ministry of Justice,HMCTS,13-Dec-11,226000-Court Costs,CZ999-South East Region,EUREST SERVICES,1849591,"£29,457.35",South East Region - Eurst Smart Cards - Consolidated Juror Smartcards for 3 months,B45 9PZ,0,Programme
Ministry of Justice,HMCTS,02-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,MITIE SECURITY LTD,1838110,"£29,530.18",Security Services,MK6 2WX,0,Balance Sheet
Ministry of Justice,HMCTS,02-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,MITIE SECURITY LTD,1838110,"£29,530.18",Security Services,MK6 2WX,0,Balance Sheet
Ministry of Justice,MoJ HQ,01-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1062590,"£29,559.00","EDS Hosted Sunset Apps full term ARAMIS MIS FA15
",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,19-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1064144,"£29,559.00",EDS Hosted Sunset Apps full term ARAMIS MIS FA15,CF31 9AP,0,Programme
Ministry of Justice,HMCTS,02-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,MITIE SECURITY LTD,1838110,"£29,628.79",Security Services,MK6 2WX,0,Balance Sheet
Ministry of Justice,HMCTS,02-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,MITIE SECURITY LTD,1838110,"£29,628.79",Security Services,MK6 2WX,0,Balance Sheet
Ministry of Justice,HMCTS,21-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,LONDON BOROUGH OF CAMDEN,1860096,"£29,641.83",,RATES,0,Programme
Ministry of Justice,HMCTS,09-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,ELITE CLEANING & ENV SERVICES LTD,1847120,"£29,678.65","Maintenance, non-structural repair and cleaning of buildings",M21 7GJ,0,Balance Sheet
