Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,12/10/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,62598,Cost of clothing and textile services received,Ł53.26
Ministry of Defence,Ministry of Defence,21/10/2015,Food and clothing,Land Forces,COONEEN DEFENCE LIMITED,BT75 0NE,11065,Cost of purchasing and repairing clothing,Ł52.40
Ministry of Defence,Ministry of Defence,26/10/2015,IT and communication services,Land Forces,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,66934,Computer equipment costing below the capitalisation threshold,Ł52.24
Ministry of Defence,Ministry of Defence,02/10/2015,"Transportation of personnel, freight and travel expenses",DEFENCE INFRASTRUCTURE ORGANISATION,TAL INTERNATIONAL CONTAINER CORPORATION,RM13 8EU,59999,Freight movement costs,Ł52.08
Ministry of Defence,Ministry of Defence,13/10/2015,General services and support,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,62745,Purchase of defence support equipment below capitalisation threshold of Ł25k.,Ł52.04
Ministry of Defence,Defence Science and Technology Laboratory,09/10/2015,Vehicle Charges,Divisions,BARCLAYCARD,TS17 6YG,G - 9000167423 - 00214032,Vehicle Charges,Ł51.08
Ministry of Defence,Ministry of Defence,28/10/2015,IT and communication services,Navy Command,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,DL1 9HN,67861,Line + telephone rental including commercial charge for use of radio frequencies,Ł50.74
Ministry of Defence,Ministry of Defence,14/10/2015,IT and communication services,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000710,Line + telephone rental including commercial charge for use of radio frequencies,Ł49.93
Ministry of Defence,Ministry of Defence,26/10/2015,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,66851,Consumption of medical dental and veterinary inventory,Ł49.93
Ministry of Defence,Ministry of Defence,21/10/2015,Food and clothing,Navy Command,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,65357,Cost of food purchases,Ł49.88
Ministry of Defence,Ministry of Defence,15/10/2015,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,63937,Other materal consumed on exercises,Ł49.34
Ministry of Defence,Ministry of Defence,06/10/2015,Purchase of inventory and services ,DEFENCE INFRASTRUCTURE ORGANISATION,XMA LTD,NG11 7EP,60877,Cost of other material consumed,Ł49.31
Ministry of Defence,Ministry of Defence,08/10/2015,Estate management,Air Command,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,61381,Estate + facilities management services - accommodation inventory + service,Ł48.23
Ministry of Defence,Ministry of Defence,09/10/2015,IT and communication services,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000693,Computer equipment costing below the capitalisation threshold,Ł48.08
Ministry of Defence,Ministry of Defence,02/10/2015,Estate management,Navy Command,CARILLIONAMEY LIMITED,WV1 4HY,59687,Estate core services charge,Ł48.00
Ministry of Defence,Ministry of Defence,16/10/2015,Purchase of inventory and services ,DEFENCE INFRASTRUCTURE ORGANISATION,XMA LTD,NG11 7EP,64461,Cost of other material consumed,Ł47.65
Ministry of Defence,Ministry of Defence,09/10/2015,"Transportation of personnel, freight and travel expenses",HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000694,Civilian short term detached duty,Ł47.23
Ministry of Defence,Ministry of Defence,29/10/2015,Purchase of inventory and services ,HO+CS,SERCO LIMITED,RG27 9UY,68490,Cost of other material consumed,Ł47.20
Ministry of Defence,Ministry of Defence,29/10/2015,Design services and minor equipment purchases,Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,68270,Equipment support non-project costs,Ł47.06
Ministry of Defence,Ministry of Defence,27/10/2015,Spend on Inventory - General,Air Command,RIGHTON LIMITED,BS37 5FF,67687,Spend on Inventory - General,Ł44.75
Ministry of Defence,Ministry of Defence,19/10/2015,Payment of utilities,Land Forces,FLOGAS BRITAIN LIMITED,LE7 1PF,64625,Utilities consumed - liquid petroleum gas,Ł44.08
Ministry of Defence,Ministry of Defence,07/10/2015,"Transportation of personnel, freight and travel expenses",Land Forces,ARAMARK LTD,LS16 6QY,60910,Military short term detached duty,Ł44.00
Ministry of Defence,Ministry of Defence,05/10/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,THE DISCLOSURE AND BARRING SERVICE,L69 3JA,60533,Fees for professional services excluding legal fees,Ł44.00
Ministry of Defence,Ministry of Defence,05/10/2015,Fees for professional services,DES Bespoke Trading Entity,THE DISCLOSURE AND BARRING SERVICE,L69 3JA,60533,Fees for professional services excluding legal fees,Ł44.00
Ministry of Defence,Ministry of Defence,19/10/2015,Food and clothing,Land Forces,ARAMARK LTD,LS16 6QY,64489,Cost of food purchases,Ł43.80
Ministry of Defence,Ministry of Defence,26/10/2015,"Transportation of personnel, freight and travel expenses",HO+CS,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,66974,Freight movement costs,Ł42.05
Ministry of Defence,Ministry of Defence,29/10/2015,Design services and minor equipment purchases,Defence Equipment + Support,ASPIRE DEFENCE LIMITED,SP9 7QD,68270,Equipment support non-project costs,Ł41.64
Ministry of Defence,Ministry of Defence,13/10/2015,Purchase of inventory and services ,Defence Equipment + Support,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,62745,Cost of other material consumed,Ł41.54
Ministry of Defence,Ministry of Defence,08/10/2015,Design services and minor equipment purchases,Defence Equipment + Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,61398,Safety regulators and assuror costs in support of concept procurement operation and disposal of defence equipment and services,Ł41.30
Ministry of Defence,Ministry of Defence,02/10/2015,Design services and minor equipment purchases,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,59659,Equipment support non-project costs,Ł40.39
Ministry of Defence,Ministry of Defence,27/10/2015,IT and communication services,Navy Command,SOFTWARE BOX LIMITED,YO61 1ET,67719,Computer equipment costing below the capitalisation threshold,Ł39.48
Ministry of Defence,Ministry of Defence,26/10/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,66972,Cost of food services,Ł39.20
Ministry of Defence,Ministry of Defence,20/10/2015,Fuel for military use,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000734,Oil and lubricants consumed excluding those from the inventory system,Ł38.34
Ministry of Defence,Ministry of Defence,20/10/2015,Purchase of inventory and services ,Defence Equipment + Support,XMA LTD,NG11 7EP,65244,Cost of other material consumed,Ł38.16
Ministry of Defence,Ministry of Defence,29/10/2015,Purchase of inventory and services ,Land Forces,SOFTCAT LIMITED,SL7 1TB,68499,Cost of other material consumed,Ł37.92
Ministry of Defence,Ministry of Defence,13/10/2015,Purchase of inventory and services ,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,62782,Cost of other material consumed,Ł36.62
Ministry of Defence,Ministry of Defence,06/10/2015,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,60628,Consumption of medical dental and veterinary inventory,Ł36.34
Ministry of Defence,Ministry of Defence,09/10/2015,Fuel for military use,Defence Equipment + Support,BOC LIMITED,GU2 7XY,61809,Cost of industrial gas fuel consumed,Ł35.52
Ministry of Defence,Defence Science and Technology Laboratory,09/10/2015,Travel & Subsistence,Corporate,BARCLAYCARD,TS17 6YG,G - 9000167423 - 00214032,Travel & Subsistence,Ł35.20
Ministry of Defence,Ministry of Defence,29/10/2015,"Transportation of personnel, freight and travel expenses",Land Forces,SERCO LIMITED,RG27 9UY,68490,Movement of service personnel,Ł34.00
Ministry of Defence,Ministry of Defence,08/10/2015,Purchase of inventory and services ,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000685,Cost of other material consumed,Ł33.80
Ministry of Defence,Ministry of Defence,12/10/2015,General services and support,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,62199,Purchase of defence support equipment below capitalisation threshold of Ł25k.,Ł33.40
Ministry of Defence,Ministry of Defence,30/10/2015,Purchase of inventory and services ,HO+CS,THE ROYAL BANK OF SCOTLAND PLC,EC2M 4RB,10026,Cost of other material consumed,Ł32.97
Ministry of Defence,Ministry of Defence,06/10/2015,Purchase of inventory and services ,Defence Equipment + Support,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,60628,Cost of other material consumed,Ł32.74
Ministry of Defence,Ministry of Defence,02/10/2015,Building maintenance and accommodation stores,DEFENCE INFRASTRUCTURE ORGANISATION,JOSEPH GLEAVE & SON LTD,M32 0NB,59819,Building maintenance accommodation inventory,Ł32.60
Ministry of Defence,Ministry of Defence,26/10/2015,"Transportation of personnel, freight and travel expenses",DES Bespoke Trading Entity,PENTALVER TRANSPORT LTD,SO15 1AW,67209,Freight movement costs,Ł32.40
Ministry of Defence,Ministry of Defence,26/10/2015,"Transportation of personnel, freight and travel expenses",HO+CS,PENTALVER TRANSPORT LTD,SO15 1AW,67209,Freight movement costs,Ł32.40
Ministry of Defence,Ministry of Defence,28/10/2015,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,67784,Consumption of medical dental and veterinary inventory,Ł30.26
Ministry of Defence,Ministry of Defence,14/10/2015,Purchase of inventory and services ,Air Command,SOFTWARE BOX LIMITED,YO61 1ET,63407,Cost of other material consumed,Ł30.13
Ministry of Defence,Ministry of Defence,14/10/2015,"Transportation of personnel, freight and travel expenses",JFC,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,63149,Military air travel costs for short term detached duty,Ł30.00
Ministry of Defence,Ministry of Defence,13/10/2015,"Adminstration, claims, compensation and awards",Land Forces,CANON (UK) LIMITED,RH2 8BF,62773,Cost of claims/compensation and related expenses against MOD,Ł29.99
Ministry of Defence,Ministry of Defence,14/10/2015,"Transportation of personnel, freight and travel expenses",JFC,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,63149,Military short term detached duty,Ł29.64
Ministry of Defence,Ministry of Defence,02/10/2015,"Transportation of personnel, freight and travel expenses",Land Forces,SERCO LIMITED,RG27 9UY,59963,Movement of service personnel,Ł28.56
Ministry of Defence,Ministry of Defence,23/10/2015,Purchase of inventory and services ,Land Forces,SODEXO LTD,M50 0AL,66770,Cost of other material consumed,Ł27.70
Ministry of Defence,Ministry of Defence,22/10/2015,"Transportation of personnel, freight and travel expenses",DEFENCE INFRASTRUCTURE ORGANISATION,BRIDGEHEAD CONTAINER SERVICES LTD,L3 1DS,65890,Freight movement costs,Ł27.30
Ministry of Defence,Ministry of Defence,05/10/2015,IT and communication services,Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,60132,Information technology services,Ł26.92
Ministry of Defence,Ministry of Defence,23/10/2015,General services and support,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,66390,Purchase of defence support equipment below capitalisation threshold of Ł25k.,Ł26.63
Ministry of Defence,Ministry of Defence,20/10/2015,Administration,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000734,General administration,Ł25.48
Ministry of Defence,Ministry of Defence,06/10/2015,IT and communication services,JFC,SOFTWARE BOX LIMITED,YO61 1ET,60832,Computer equipment costing below the capitalisation threshold,Ł25.27
Ministry of Defence,Ministry of Defence,14/10/2015,Purchase of inventory and services ,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000710,Cost of other material consumed,Ł25.23
Ministry of Defence,Ministry of Defence,20/10/2015,Medical treatment & stores and welfare services,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000734,Medical-non hospital treatment,Ł25.17
Ministry of Defence,Ministry of Defence,13/10/2015,Official entertainment and hospitality,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000704,Entertainment + hospitality,Ł25.09
Ministry of Defence,Ministry of Defence,22/10/2015,IT and communication services,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,65868,Computer equipment costing below the capitalisation threshold,Ł24.67
Ministry of Defence,Ministry of Defence,30/10/2015,IT and communication services,DES Bespoke Trading Entity,THE ROYAL BANK OF SCOTLAND PLC,EC2M 4RB,10026,Telephone minor equipment below capitalisation threshold,Ł24.00
Ministry of Defence,Ministry of Defence,22/10/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,ELIOR UK PLC,SK11 6ET,66002,Cost of clothing and textile services received,Ł23.81
Ministry of Defence,Ministry of Defence,30/10/2015,Fuel for military use,HO+CS,THE ROYAL BANK OF SCOTLAND PLC,EC2M 4RB,10026,Oil and lubricants consumed excluding those from the inventory system,Ł23.41
Ministry of Defence,Ministry of Defence,09/10/2015,Payment of utilities,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000693,Utilities consumed - water + sewage,Ł22.94
Ministry of Defence,Ministry of Defence,30/10/2015,Design services and minor equipment purchases,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,68602,Equipment support non-project costs,Ł22.80
Ministry of Defence,Ministry of Defence,13/10/2015,IT and communication services,JFC,CANON (UK) LIMITED,RH2 8BF,62773,Computer equipment costing below the capitalisation threshold,Ł21.53
Ministry of Defence,Ministry of Defence,21/10/2015,IT and communication services,DES Bespoke Trading Entity,AKHTER COMPUTERS PUBLIC LIMITED COMPANY,CM18 7PN,65262,Computer equipment costing below the capitalisation threshold,Ł21.50
Ministry of Defence,Ministry of Defence,16/10/2015,Design services and minor equipment purchases,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,63996,Equipment support non-project costs,Ł20.75
Ministry of Defence,Ministry of Defence,13/10/2015,IT and communication services,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000704,Line + telephone rental including commercial charge for use of radio frequencies,Ł20.57
Ministry of Defence,Ministry of Defence,30/10/2015,"Transportation of personnel, freight and travel expenses",DES Bespoke Trading Entity,THE ROYAL BANK OF SCOTLAND PLC,EC2M 4RB,10026,Freight movement costs,Ł19.49
Ministry of Defence,Ministry of Defence,19/10/2015,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,64472,Consumption of medical dental and veterinary inventory,Ł17.49
Ministry of Defence,Ministry of Defence,09/10/2015,IT and communication services,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000693,Line + telephone rental including commercial charge for use of radio frequencies,Ł16.99
Ministry of Defence,Ministry of Defence,13/10/2015,Estate management,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000704,Estate core services charge,Ł16.73
Ministry of Defence,Ministry of Defence,13/10/2015,"Transportation of personnel, freight and travel expenses",HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000704,Military short term detached duty,Ł16.48
Ministry of Defence,Ministry of Defence,09/10/2015,Purchase of inventory and services ,HO+CS,SERCO LIMITED,RG27 9UY,62069,Cost of other material consumed,Ł15.65
Ministry of Defence,Ministry of Defence,28/10/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,ISS MEDICLEAN LIMITED,GU21 5RW,67959,Cost of clothing and textile services received,Ł15.40
Ministry of Defence,Ministry of Defence,30/10/2015,Fuel for military use,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000782,Cost of non utilities fuel consumed by United States visiting forces,Ł15.16
Ministry of Defence,Ministry of Defence,07/10/2015,Fuel for military use,HO+CS,BOC LIMITED,GU2 7XY,60948,Cost of industrial gas fuel consumed,Ł15.02
Ministry of Defence,Ministry of Defence,22/10/2015,Fuel for military use,HO+CS,BOC LIMITED,GU2 7XY,65882,Cost of industrial gas fuel consumed,Ł15.02
Ministry of Defence,Ministry of Defence,08/10/2015,Payment of utilities,Air Command,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000685,Utilities consumed - water + sewage,Ł14.75
Ministry of Defence,Ministry of Defence,07/10/2015,IT and communication services,Navy Command,SPECIALIST COMPUTER CENTRES PLC,B11 2LE,61198,Computer equipment costing below the capitalisation threshold,Ł14.57
Ministry of Defence,Ministry of Defence,20/10/2015,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,64909,Consumption of medical dental and veterinary inventory,Ł13.73
Ministry of Defence,Ministry of Defence,30/10/2015,Food and clothing,Land Forces,THE ROYAL BANK OF SCOTLAND PLC,EC2M 4RB,10026,Cost of food services,Ł12.91
