Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Expenditure Description,Supplier Type
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,HEATHERMOUNT THE LEARNING CENTRE,4000063247,5316.25,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",VCS
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,HIGHCLOSE SCHOOL,4000063602,6295,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,HOLLY BANK TRUST,4000063603,20147.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",VCS
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,INGFIELD MANOR SCHOOL,4000063604,5350,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LANGSIDE SCHOOL,4000063250,19877.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LINK PRIMARY SCHOOL,4000063251,5248.75,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LINK SECONDARY SCHOOL,4000063252,5620,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,06/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF BROMLEY COUNCIL,4000062830,4066019,Capital grants paid to Local Authorities for SureStart,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,06/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF ENFIELD COUNCIL,4000062831,1468270,Capital grants paid to Local Authorities for SureStart,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MARY HARE SCHOOL,4000063253,26728.75,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MEADOWS SCHOOL,4000063616,5620,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MEATH SCHOOL,4000063254,5687.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MOOR HOUSE SCHOOL,4000063256,6666.25,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MULBERRY BUSH DAY NURSERY,4000064096,5080,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MUNTHAM HOUSE SCHOOL,4000063258,20822.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NCYPE ST PIERS,4000064098,6700,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",VCS
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NEW COLLEGE WORCESTER,4000063260,21632.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTHERN COUNTIES SCHOOL,4000063262,5687.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NUNNYKIRK,4000063618,5282.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,PACES HIGH GREEN SCHOOL,4000063623,4742.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,PARAY HOUSE SCHOOL,4000063263,5552.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,PENN SCHOOL,4000063624,6632.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,PERCY HEDLEY SCHOOL,4000063264,24231.25,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,PIELD HEATH HOUSE RC SCHOOL,4000063265,6362.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,PORTFIELD SCHOOL,4000064101,5923.75,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,RNIB ROYAL NATIONAL INSTITUTE FOR THE BLIND,4000064105,4675,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",VCS
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,RNIB SUNSHINE NORTHWOOD,4000063267,4675,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",VCS
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ROSEWOOD SCHOOL,4000063627,19877.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ROYAL SCH DEAF DERBY,4000063268,8522.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",VCS
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ROYAL SCHOOL FOR THE BLIND LIVERPOOL,4000063628,5586.25,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ROYAL SCHOOLS FOR THE DEAF MANCHESTER,4000063269,6936.25,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ST CATHERINES SCHOOL,4000064106,5923.75,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ST DOMINICS SCHOOL,4000063270,6835,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ST ELIZABETH SCHOOL,4000063271,6058.75,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ST JOHN VIANNEY SCHOOL,4000063635,7206.25,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ST JOHNS CATHOLIC SCHOOL FOR THE DEAF,4000063636,21666.25,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ST JOHNS RC ESSEX,4000063272,7341.25,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ST JOHNS RES BRGHTN,4000063273,8657.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ST JOSEPHS SCHOOL,4000063274,21632.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ST ROSES SCHOOL,4000063275,20957.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ST VINCENTS SCHOOL,4000063637,20350,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SUTHERLAND HOUSE SCHOOL,4000063276,21801.25,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SWALCLIFFE PARK SCHOOL TRUST,4000063277,5755,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,TALBOT HOUSE SCHOOL,4000063278,4810,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE SCHOOL FOR PROFOUND EDUCATION,4000063282,5248.75,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,TOWNSEND TRUST ROYAL SCHOOL FOR DEAF CHILDREN & WESTGATE,4000063644,8590,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,TREEHOUSE SCHOOL,4000064114,6565,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,TRELOAR TRUST,4000063645,22105,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",VCS
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,VICTORIA SCHOOL,4000063286,22020,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WARGRAVE HOUSE SCHOOL,4000063288,6295,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WEST KIRBY RESIDENTIAL SCHOOL,4000063289,22307.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WEST OF ENGLAND EXTR,4000063290,22611.25,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WHITSTONE HEAD SCHOOL,4000063647,4573.75,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WILLIAM HENRY SMITH SCHOOL,4000063291,21092.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,4CHILDREN,4000064055,113750,"Current Grants to third sector organisation / not for profit organisation. 
Part of the grant award to 118 VCS organisations for the next 2 years. Part of theme 2 and Strategic Partner Early Years and Childcare",VCS
Department for Education,DEPARTMENT FOR EDUCATION,31/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,4CHILDREN,4000064394,97500,"Current Grants to third sector organisation / not for profit organisation. 
Part of the grant award to 118 VCS organisations for the next 2 years. Part of theme 2 and Strategic Partner Early Years and Childcare",VCS
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ACTION FOR CHILDREN,4000064057,46832,"Current Grants to third sector organisation / not for profit organisation. 
Part of the grant award to 118 VCS organisations for the next 2 years. Part of theme 1: Families and Relationships",VCS
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ACTION FOR CHILDREN,4000064057,92434.3,"Current Grants to third sector organisation / not for profit organisation. 
Payments from the Standards Fund relating to Teachers Salary Thresholds ",VCS
Department for Education,DEPARTMENT FOR EDUCATION,11/10/2011,Current Grants,Families Group,ASIAN FAMILY COUNSELLING SERVICE,4000063007,38805,"Current Grants to third sector organisation / not for profit organisation.
Part of the grant award to 118 VCS organisations for the next 2 years. This one is part of theme 1: Families and Relationships ",VCS
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,AUTISM INITIATIVES,4000063228,63568.23,"Current Grants to third sector organisation / not for profit organisation. 
Payments from the Standards Fund relating to Teachers Salary Thresholds ",VCS
Department for Education,DEPARTMENT FOR EDUCATION,04/10/2011,Current Grants,Families Group,BARNARDOS,4000062714,149877,"Current Grants to third sector organisation / not for profit organisation.
Part of the grant award to 118 VCS organisations for the next 2 years.",VCS
Department for Education,DEPARTMENT FOR EDUCATION,21/10/2011,Current Grants,Children Young People and Families Safeguarding Group,BARNARDOS,4000063844,117416.22,"Current Grants to third sector organisation / not for profit organisation.
Part of the grant award to 118 VCS organisations for the next 2 years.",VCS
Department for Education,DEPARTMENT FOR EDUCATION,28/10/2011,Current Grants,Families Group,BARNARDOS,4000064327,58123.34,"Current Grants to third sector organisation / not for profit organisation.
Part of the grant award to 118 VCS organisations for the next 2 years.",VCS
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BIRTENSHAW HALL SCHOOL,4000063230,53450.93,"Current Grants payments to Local Authorities.
Payments from the Standards Fund relating to Teachers Salary Thresholds 
",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,24/10/2011,Current Grants,Families Group,BLACKBURN WITH DARWEN BOROUGH COUNCIL,4000063938,87500,Current Grants to third sector organisations through Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,28/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BLACKPOOL COUNCIL,4000064328,0,Current Grants to third sector organisation / not for profit organisation,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,21/10/2011,Current Grants,Supporting Children and Young People Group 2,BOLTON LADS & GIRLS CLUB,705137,31501.52,"Current Grants to third sector organisation / not for profit organisation.
Part of the grant award to 118 VCS organisations for the next 2 years. This one is part of theme 6: Young People",VCS
Department for Education,DEPARTMENT FOR EDUCATION,04/10/2011,Current Grants,Families Group,BOOK TRUST,4000062717,436482,"Current Grants to third sector organisation / not for profit organisation.
Specifically for the Book Gifting Programme",VCS
Department for Education,DEPARTMENT FOR EDUCATION,31/10/2011,Current Grants,Families Group,BOOK TRUST,4000064397,776647,"Current Grants to third sector organisation / not for profit organisation.
Specifically for the Book Gifting Programme",VCS
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BRANTRIDGE SCHOOL,4000063233,52469.19,"Current Grants payments to Local Authorities.
Payments from the Standards Fund relating to Teachers Salary Thresholds 
",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BRECKENBROUGH SCHOOL,4000063234,74561.25,"Current Grants payments to Local Authorities.
Payments from the Standards Fund relating to Teachers Salary Thresholds 
",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,24/10/2011,Current Grants,Families Group,BRITISH ASSOCIATION FOR ADOPTION & FOSTERING,4000063941,74750,"Current Grants to third sector organisation / not for profit organisation.
Part of the grant award to 118 VCS organisations for the next 2 years. This one is part of theme 4: Children in Care ",VCS
Department for Education,DEPARTMENT FOR EDUCATION,11/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BRITISH DYSLEXIA ASSOCIATION,4000063012,150777.29,Current Grants to third sector organisation / not for profit organisation. Part of the grant award to 118 VCS organisations for the next 2 years. This one is part of theme 3: Special Educational Needs and Disability,VCS
Department for Education,DEPARTMENT FOR EDUCATION,26/10/2011,Current Grants,Children Young People and Families Safeguarding Group,BROOK ADVISORY CENTRES LTD,1000442,43018.34,"Current Grants to third sector organisation / not for profit organisation.
Part of the grant award to 118 VCS organisations for the next 2 years. This one is part of theme 5: Child protection and safeguarding",VCS
Department for Education,DEPARTMENT FOR EDUCATION,12/10/2011,Current Grants,Families Group,CAFCASS,4000063124,879631.57,"Current Grants paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Current Grants,Families Group,CAFCASS,4000064065,199511.33,"Current Grants paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,CALDECOTT FOUNDATION,4000064066,23416,"Current Grants to third sector organisation / not for profit organisation.
Part of the grant award to 118 VCS organisations for the next 2 years. This one is part of theme 4: Children in Care ",VCS
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,CALDECOTT FOUNDATION,4000064066,45225,Current Grants payments to Local Authorities ,VCS
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,CHAIGLEY SCHOOL,4000063237,62574.11,"Current Grants payments to Local Authorities.
Payments from the Standards Fund relating to Teachers Salary Thresholds 
",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,CHAILEY HERITAGE SCHOOL,4000064072,30866,"Current Grants payments to Local Authorities.
Payments from the Standards Fund relating to Teachers Salary Thresholds 
",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,CHAILEY HERITAGE SCHOOL,4000064072,63656.33,"Current Grants payments to Local Authorities.
Payments from the Standards Fund relating to Teachers Salary Thresholds 
",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,28/10/2011,Current Grants,Children Young People and Families Safeguarding Group,CHILD & FAMILY TRAINING LTD,4000064332,29142.47,"Current Grants to third sector organisation / not for profit organisation.
Part of the grant award to 118 VCS organisations for the next 2 years. This one is part of theme 5: Child protection and safeguarding",VCS
