Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Category,Sub-Category,Micro-Category,SME?,Sector
Department for Work and Pensions,Employment Programmes,16-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023611578,"£14,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,16-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023611578,"£36,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,16-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023611578,"£1,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,16-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023611578,"£6,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,16-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023611578,"£6,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,02-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023442712,"£10,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,02-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023442712,"£3,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,02-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023442712,"£11,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,02-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023442712,"£6,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,02-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023442712,"£6,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,08-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023521581,"£17,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,08-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023521581,"£20,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,06-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023451887,"£8,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,06-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023451887,"£6,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,08-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023521581,"£16,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,06-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023451887,"£37,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,06-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023451887,"£20,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,06-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023451887,"£66,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,08-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023521581,"£3,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,07-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023462203,"£13,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,07-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023462203,"£3,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,22-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023695789,"£58,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,20-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023621691,"£3,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,22-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023695789,"£48,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,22-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023695789,"£18,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,21-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023632341,"£24,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,22-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023695789,"£20,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,20-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023621691,"£3,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,21-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023632341,"£5,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,22-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023695789,"£27,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,20-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023621691,"£11,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,21-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023632341,"£22,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,20-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023621691,"£2,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
