Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NEWCASTLE PCT,HAFS-11155,"30,200,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HILLINGDON PCT,HAFS-11129,"31,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WEST ESSEX PCT,HAFS-11220,"31,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTHUMBERLAND CARE TRUST,HAFS-11171,"31,300,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,DUDLEY PCT,HAFS-11103,"32,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,GATESHEAD PCT,HAFS-11112,"32,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HOUNSLOW PCT,HAFS-11130,"32,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,STOCKPORT PCT,HAFS-11201,"32,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,DERBY CITY PCT,HAFS-11098,"33,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,ROTHERHAM PCT,HAFS-11182,"33,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BROMLEY PCT,HAFS-11083,"33,750,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SHROPSHIRE COUNTY PCT,HAFS-11187,"33,946,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,ENFIELD PCT,HAFS-11111,"34,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,LEWISHAM PCT,HAFS-11142,"34,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,PLYMOUTH TEACHING PCT,HAFS-11177,"34,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SEFTON PCT,HAFS-11185,"34,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,TOWER HAMLETS PCT,HAFS-11212,"34,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HULL PCT,HAFS-11131,"34,400,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,COVENTRY TEACHING PCT,HAFS-11094,"35,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,CROYDON PCT,HAFS-11095,"35,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SALFORD PCT,HAFS-11183,"35,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WOLVERHAMPTON CITY PCT,HAFS-11228,"35,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SUNDERLAND TEACHING PCT,HAFS-11205,"35,800,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BOLTON PCT,HAFS-11077,"36,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BRIGHTON & HOVE CITY TEACHING PCT,HAFS-11081,"36,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,CAMDEN PCT,HAFS-11088,"36,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,DONCASTER PCT,HAFS-11101,"36,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,GREENWICH TEACHING PCT,HAFS-11115,"36,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,ISLINGTON PCT,HAFS-11133,"36,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,STOKE ON TRENT PCT,HAFS-11203,"36,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WALSALL TEACHING PCT,HAFS-11215,"36,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WESTERN CHESHIRE PCT,HAFS-11224,"36,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,EAST RIDING OF YORKSHIRE PCT,HAFS-11108,"37,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,"ASHTON, LEIGH & WIGAN PCT",HAFS-11064,"38,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HALTON & ST HELENS PCT,HAFS-11116,"38,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HEART OF BIRMINGHAM TEACHING PCT,HAFS-11125,"38,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,LEICESTER CITY PCT,HAFS-11140,"38,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH EAST ESSEX PCT,HAFS-11160,"38,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BRENT TEACHING PCT,HAFS-11080,"39,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH LANCASHIRE PCT,HAFS-11163,"39,301,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BOURNEMOUTH & POOLE PCT,HAFS-11078,"39,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BERKSHIRE EAST PCT,HAFS-11071,"39,644,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BARNSLEY PCT,HAFS-11067,"40,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SANDWELL PCT,HAFS-11184,"40,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTHWARK PCT,HAFS-11200,"40,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WESTMINSTER PCT,HAFS-11225,"40,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,CITY AND HACKNEY TEACHING PCT,HAFS-11091,"41,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HARINGEY TEACHING PCT,HAFS-11119,"42,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,MID ESSEX PCT,HAFS-11149,"42,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SUTTON AND MERTON PCT,HAFS-11207,"42,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WANDSWORTH TEACHING PCT,HAFS-11217,"42,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WEST MIDLANDS SHA,HAFS-11222,"42,100,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH EAST ESSEX PCT,HAFS-11193,"43,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BEDFORDSHIRE PCT,HAFS-11070,"44,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,EALING PCT,HAFS-11104,"44,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,EAST SUSSEX DOWNS & WEALD PCT,HAFS-11109,"45,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,YORKSHIRE & THE HUMBER SHA,HAFS-11230,"45,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH BIRMINGHAM PCT,HAFS-11190,"45,750,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,EAST OF ENGLAND SHA,HAFS-11107,"46,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NOTTINGHAM CITY PCT,HAFS-11172,"46,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WAKEFIELD DISTRICT PCT,HAFS-11214,"46,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WIRRAL PCT,HAFS-11227,"46,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BERKSHIRE WEST PCT,HAFS-11072,"46,800,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,EAST LANCASHIRE PCT,HAFS-11105,"47,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NEWHAM PCT,HAFS-11156,"47,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH WEST ESSEX PCT,HAFS-11197,"47,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BUCKINGHAMSHIRE PCT,HAFS-11084,"47,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,DORSET PCT,HAFS-11102,"48,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,CENTRAL & EASTERN CHESHIRE PCT,HAFS-11089,"49,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,KIRKLEES PCT,HAFS-11136,"50,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WARWICKSHIRE PCT,HAFS-11219,"51,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BIRMINGHAM EAST AND NORTH PCT,HAFS-11074,"52,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WILTSHIRE PCT,HAFS-11226,"52,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BARNET PCT,HAFS-11066,"52,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,LAMBETH PCT,HAFS-11138,"53,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WORCESTERSHIRE PCT,HAFS-11229,"54,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BRISTOL PCT,HAFS-11082,"55,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,CENTRAL LANCASHIRE PCT,HAFS-11090,"58,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,GLOUCESTERSHIRE PCT,HAFS-11113,"62,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BRADFORD AND AIREDALE PCT,HAFS-11079,"63,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,CUMBRIA PCT,HAFS-11096,"63,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,OXFORDSHIRE PCT,HAFS-11175,"65,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOMERSET PCT,HAFS-11189,"65,250,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH WEST SHA,HAFS-11168,"65,600,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,LIVERPOOL PCT,HAFS-11144,"69,385,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,CORNWALL & ISLES OF SCILLY PCT,HAFS-11092,"70,200,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,MANCHESTER PCT,HAFS-11147,"72,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,CAMBRIDGESHIRE PCT,HAFS-11087,"73,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,COUNTY DURHAM PCT,HAFS-11093,"74,032,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTHAMPTONSHIRE PCT,HAFS-11170,"75,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH STAFFORDSHIRE PCT,HAFS-11195,"75,300,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SHEFFIELD PCT,HAFS-11186,"76,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WEST KENT PCT,HAFS-11221,"76,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,LEICESTERSHIRE COUNTY & RUTLAND PCT,HAFS-11141,"80,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SUFFOLK PCT,HAFS-11204,"80,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NOTTINGHAMSHIRE COUNTY TEACHING PCT,HAFS-11173,"83,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,LINCOLNSHIRE PCT,HAFS-11143,"86,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORFOLK PCT,HAFS-11159,"86,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,DERBYSHIRE COUNTY PCT,HAFS-11099,"89,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WEST SUSSEX PCT,HAFS-11223,"93,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,LEEDS PCT,HAFS-11139,"93,451,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,DEVON PCT,HAFS-11100,"94,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH YORKSHIRE & YORK PCT,HAFS-11169,"94,700,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,EASTERN & COASTAL KENT PCT,HAFS-11110,"95,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HERTFORDSHIRE PCT,HAFS-11127,"113,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SURREY PCT,HAFS-11206,"122,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HAMPSHIRE PCT,HAFS-11118,"134,200,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,LONDON SHA,HAFS-11145,"161,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev ND In RAB,NHS FC,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-11158,"983,000,000",
Department of Health,Department of Health,02-Aug-11,SYS VAT Non recoverable,Informatics,CSA (WAVERLEY ) LTD,13353412,-0.01,
Department of Health,Department of Health,02/08/2011,Travel -Trains,CDD CORPORATE DEVELOPMENT,FCM TRAVEL SOLUTIONS,1049604648,215.75,
Department of Health,Department of Health,02/08/2011,Addition Clearing - SW LIC,INFORMATICS,I SOFT PLC,INV/006164,683.36,
Department of Health,Department of Health,02/08/2011,Service charge,INFORMATICS,MICROTEST LTD,74624,769.74,
Department of Health,Department of Health,02/08/2011,Addition Clearing - SW LIC,INFORMATICS,MICROTEST LTD,74624,1644.77,
Department of Health,Department of Health,02-Aug-11,Computer Software/License,Informatics,CSA (WAVERLEY ) LTD,13353412,6518.57,
Department of Health,Department of Health,02/08/2011,Printing,CDD CORPORATE DEVELOPMENT,XEROX BUSINESS SERVICES,900079550,16674.7,
Department of Health,Department of Health,02/08/2011,Printing,CDD CORPORATE DEVELOPMENT,XEROX BUSINESS SERVICES,900079550,20740.71,
Department of Health,Department of Health,02/08/2011,Other staff benefits,"PSF POLICY, STRATEGY & FINANCE",HM TREASURY (HMT),26473,"£27,138.00",
