Department family,Entity,Date,Expense Type,Expense area,Supplier,Transation number,Amount,Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,10/06/2011,Current Grants Private Sector,Own Art and Take It Away,ArtCo Trading Ltd,0030022619,"163,125.00",Grant re Own Art & Take It Away
Department for Culture Media and Sport,Department for Culture Media and Sport,04/08/2011,Current Grants Private Sector,Own Art and Take It Away,ArtCo Trading Ltd,0030023208,"145,677.99",Grant re Own Art 
Department for Culture Media and Sport,Department for Culture Media and Sport,09/11/2011,Current Grants Private Sector,Own Art and Take It Away,ArtCo Trading Ltd,0030024223,"174,466.42",Grant re Own Art 
Department for Culture Media and Sport,Department for Culture Media and Sport,23/02/2012,Current Grants Private Sector,Own Art and Take It Away,ArtCo Trading Ltd,0030025381,"241,730.59",Grant re Own Art 
Department for Culture Media and Sport,Department for Culture Media and Sport,19/09/2011,Reimbursement of Agreed Costs,Arts Support in Culture Team,Arts Council of England,0030023629,"523,000.00",Annual Contribution 2011-12 re Creative Programmers Project
Department for Culture Media and Sport,Department for Culture Media and Sport,01/04/2011,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0030021830,"58,000,000.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,03/05/2011,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0030022187,"20,414,306.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,01/06/2011,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0030022479,"18,951,306.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,01/07/2011,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0030022789,"54,166,883.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/2011,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0030023113,"18,950,306.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,01/09/2011,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0030023376,"18,951,306.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,03/10/2011,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0030023744,"60,822,883.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2011,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0030024092,"19,156,306.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,01/12/2011,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0030024411,"18,957,306.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,03/01/2012,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0030024771,"53,972,883.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,01/02/2012,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0030025072,"18,756,339.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,13/04/2011,IT Capital Additions,Information Services,Atos IT Services UK Limited,0030022026,"191,559.67",Database Redevelopement
Department for Culture Media and Sport,Department for Culture Media and Sport,27/06/2011,IT Capital Additions,Information Services,Atos IT Services UK Limited,0030022618,"36,603.76",Work on IT software
Department for Culture Media and Sport,Department for Culture Media and Sport,27/06/2011,IT Maintenance,Information Services,Atos IT Services UK Limited,0030022693,"153,143.77",Database developement
Department for Culture Media and Sport,Department for Culture Media and Sport,20/07/2011,IT Maintenance,Information Services,Atos IT Services UK Limited,0030023029,"174,403.81",Procurement & Sales Ledger Projects
Department for Culture Media and Sport,Department for Culture Media and Sport,13/09/2011,IT Maintenance,Information Services,Atos IT Services UK Limited,0030023566,"112,607.60",Procurement & Sales Ledger Projects & DCMS News Service
Department for Culture Media and Sport,Department for Culture Media and Sport,14/10/2011,IT Maintenance,Information Services,Atos IT Services UK Limited,0030023912,"180,392.20",Procurement & Sales Ledger Projects & DCMS News Service
Department for Culture Media and Sport,Department for Culture Media and Sport,14/12/2011,IT Maintenance,Information Services,Atos IT Services UK Limited,0030024589,"112,039.47",Procurement & Sales Ledger Projects
Department for Culture Media and Sport,Department for Culture Media and Sport,17/01/2012,IT Maintenance,Information Services,Atos IT Services UK Limited,0030024955,"60,023.60",Procurement & CABE Projects
Department for Culture Media and Sport,Department for Culture Media and Sport,03/05/2011,IT Support,Information Services,Atos IT Services UK Limited,0030022206,"110,198.20",Procurement 
Department for Culture Media and Sport,Department for Culture Media and Sport,17/05/2011,IT Support,Information Services,Atos IT Services UK Limited,0030022339,"718,727.32",Quarterly Charge for services
Department for Culture Media and Sport,Department for Culture Media and Sport,19/08/2011,IT Support,Information Services,Atos IT Services UK Limited,0030023374,"754,595.48",Quarterly Charge for services
Department for Culture Media and Sport,Department for Culture Media and Sport,15/11/2011,IT Support,Information Services,Atos IT Services UK Limited,0030024297,"619,966.44",Quarterly Charge for services
Department for Culture Media and Sport,Department for Culture Media and Sport,14/02/2012,IT Support,Information Services,Atos IT Services UK Limited,0030025278,"652,356.90",Quarterly Charge for services
Department for Culture Media and Sport,Department for Culture Media and Sport,19/03/2012,IT Support,Information Services,Atos IT Services UK Limited,0030025617,"171,678.09",Database development
Department for Culture Media and Sport,Department for Culture Media and Sport,04/05/2011,Government Procurement Card,Procurement,Barclays Bank plc,0030022222,"33,047.12",Government Procurement Card   March     2011
Department for Culture Media and Sport,Department for Culture Media and Sport,05/05/2011,Government Procurement Card,Procurement,Barclays Bank plc,0030022241,"25,759.63",Government Procurement Card   April     2011
Department for Culture Media and Sport,Department for Culture Media and Sport,06/07/2011,Government Procurement Card,Procurement,Barclays Bank plc,0030022885,"49,857.06",Government Procurement Card   June     2012
Department for Culture Media and Sport,Department for Culture Media and Sport,17/02/2012,Government Procurement Card,Procurement,Barclays Bank plc,0030025305,"30,374.18",Government Procurement Card   January 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,09/02/2012,External Legal Costs - Other,Legal Advisers to DCMS (TSOL),BIS,0030025165,"30,419.59", Fees
Department for Culture Media and Sport,Department for Culture Media and Sport,19/07/2011,Accommodation Management Fees,Estates & Property Services,BNP Paribas Real Estate,0030022898,"28,298.00",Rating Revaluation 
Department for Culture Media and Sport,Department for Culture Media and Sport,16/08/2011,Accommodation Management Fees,Estates & Property Services,BNP Paribas Real Estate,0030023291,"38,570.00",Rent Review 
Department for Culture Media and Sport,Department for Culture Media and Sport,03/01/2012,Accommodation Management Fees,Estates & Property Services,BNP Paribas Real Estate,0030024813,"92,099.24",Letting Fee Review
Department for Culture Media and Sport,Department for Culture Media and Sport,19/03/2012,Capital Grant Private Sector,Other Heritage Programme Costs,Bomber Command Association,0030025667,"796,000.00",Grant re Memorial in Green Park 
Department for Culture Media and Sport,Department for Culture Media and Sport,01/04/2011,Payments by Broadcasters,BIS programmes,British Broadcasting Corporation,0030021878,"2,900,000.00",BIS Refund 2010-11
Department for Culture Media and Sport,Department for Culture Media and Sport,01/04/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030021737,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,07/04/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030021738,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,13/04/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030021739,"140,292,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,19/04/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030021740,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,20/04/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030021741,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,03/05/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022125,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,05/05/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022126,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,11/05/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022127,"140,292,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,18/05/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022128,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,23/05/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022129,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022377,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,08/06/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022378,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,13/06/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022379,"140,292,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,17/06/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022380,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,23/06/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022381,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,01/07/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022767,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,07/07/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022768,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,13/07/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022769,"140,292,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,18/07/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022770,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,25/07/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022771,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,02/08/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022971,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,08/08/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022972,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,11/08/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022973,"140,292,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,18/08/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022974,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,24/08/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030022975,"35,073,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,01/09/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030023340,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,08/09/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030023341,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,13/09/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030023342,"139,557,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,19/09/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030023343,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,22/09/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030023344,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,03/10/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030023670,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,07/10/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030023671,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,12/10/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030023672,"139,557,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,18/10/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030023673,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,24/10/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030023674,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,02/11/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030023986,"32,000,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,07/11/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030023987,"8,000,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,01/12/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024285,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,08/12/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024286,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,13/12/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024287,"139,557,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,19/12/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024288,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,21/12/2011,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024289,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,03/01/2012,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024619,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,06/01/2012,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024620,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,11/01/2012,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024621,"139,557,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,18/01/2012,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024622,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,23/01/2012,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024623,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,02/02/2012,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024957,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,08/02/2012,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024958,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,13/02/2012,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024959,"139,557,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,22/02/2012,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024960,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,22/02/2012,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0030024961,"34,889,000.00",Grant payment to BBC - schedule reflects planned TV licence fee collection less concessionary licences funded by DWP
Department for Culture Media and Sport,Department for Culture Media and Sport,08/04/2011,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,0030021964,"4,737,987.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,03/05/2011,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,0030022204,"3,425,924.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,01/06/2011,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,0030022480,"3,462,696.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,26/09/2011,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,0030023741,"3,167,406.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,03/10/2011,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,0030023766,"6,499,419.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2011,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,0030024059,"3,249,570.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,01/12/2011,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,0030024389,"3,535,842.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,03/01/2012,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,0030024801,"2,907,843.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,01/02/2012,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,0030025027,"1,458,669.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,01/04/2011,Grant-in-Aid (DCMS NDPBs),GIA Libraries bodies,British Library,0030021815,"7,420,000.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,03/05/2011,Grant-in-Aid (DCMS NDPBs),GIA Libraries bodies,British Library,0030022149,"6,694,090.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
Department for Culture Media and Sport,Department for Culture Media and Sport,01/06/2011,Grant-in-Aid (DCMS NDPBs),GIA Libraries bodies,British Library,0030022452,"4,956,413.00",Grant in Aid payment to a DCMS sponsored Non Departmental Public Body
