October 2011 Spend over £25k (inc vat),,,,, ,, ,, ,,,,,
Department Family,Entity,Transaction Date,A/C - Type of Expenditure,C/C - Business Area,Supplier,Invoice No.,Spend Month, Inc VAT (where applicable) ,Description,Supplier Postcode,Supplier Type,Contract/PO #,Project Code,Expenditure Type
DEFRA,RPA,18-Oct-11,IT Outsourced Services,Programmes & Projects,IBM UK,5810110598,Oct,"£40,756.56",IT Service in respect of Collaborative Environmental Transportation Agreement for Streamlining (CETAS),PO6 3AE,Large,PO 63438,0-NA-PPX08600,Admin
DEFRA,RPA,27-Oct-11,IT Outsourced Services,Service Management,IBM UK,5810110684,Oct,"£33,024.72",Decommissioning of 25 RPA Applications. - Catch up charge May 2011 ,PO6 3AE,Large,PO 63499,IBMBS000,Admin
DEFRA,RPA,28-Oct-11,IT Outsourced Services,Programmes & Projects,IBM UK,5810111211,Oct,"£32,744.95",Storage Area Network (SAN) Microsoft Migration,PO6 3AE,Large,PO 63536,PPT01100,Admin
DEFRA,RPA,24-Oct-11,IT Licenses ,Service Management,Oracle Corporation,1324935,Oct,"£306,395.45",Desktop application software licences,RG6 1RA,Large,PO 63000,OFFS0210,Admin
DEFRA,RPA,13-Oct-11,,Customer Improvements,ORC International,0911/101,Oct,"£35,173.50",Customer Satisfaction Survey,N1 9AH,Large,PO 63080,none,Admin
DEFRA,RPA,24-Oct-11,Travel,Various,Redfern Travel,25108,Oct,"£25,980.34",August 2011 Travel Account - Air & Rail,BD1 3AZ,Large,,none,Admin
DEFRA,RPA,25-Oct-11,Travel,Various,Redfern Travel,26060,Oct,"£37,600.99",September 2011 Travel Account - Air & Rail,BD1 3AZ,Large,,none,Admin
DEFRA,RPA,13-Oct-11,IT Outsourced Services,Service Management,Steria Ltd,100024663,Oct,"£34,622.40",IT managed Service charges -  1st Oct - 31st Dec,M14 0WN,Large,PO 63445,CORS0120,Admin
DEFRA,RPA,17-Oct-11,IT Outsourced Services,Programmes & Projects,Steria Ltd,100024664,Oct,"£192,608.40",Finance application enhancements 1st Oct 11 - 31st Dec 11,M14 0WN,Large,PO 63445,CORS0140,Admin
DEFRA,RPA,17-Oct-11,IT Outsourced Services,Service Management,Steria Ltd,100024662,Oct,"£554,034.00",Fixed Price Core Support Services Period 1st Oct 11- 31st Dec 11,M14 0WN,Large,PO 63445,CORS0150,Admin
