Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Expenditure Description,Supplier Type
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,LONDON BOROUGH OF LAMBETH COUNCIL,4000060241,"4,935,714.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF LEWISHAM,4000060242,"61,213.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,LONDON BOROUGH OF LEWISHAM,4000060242,"4,502,931.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF MERTON COUNCIL,4000060243,"29,394.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,LONDON BOROUGH OF MERTON COUNCIL,4000060243,"1,908,198.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF NEWHAM,4000060244,"56,182.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,LONDON BOROUGH OF NEWHAM,4000060244,"5,625,848.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF REDBRIDGE,4000060245,"41,515.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,LONDON BOROUGH OF REDBRIDGE,4000060245,"2,507,429.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF RICHMOND UPON THAMES,4000060246,"26,788.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,LONDON BOROUGH OF RICHMOND UPON THAMES,4000060246,"1,492,361.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF SOUTHWARK COUNCIL,4000060247,"51,576.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,LONDON BOROUGH OF SOUTHWARK COUNCIL,4000060247,"4,908,784.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF SUTTON,4000060248,"80,152.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,LONDON BOROUGH OF SUTTON,4000060248,"2,113,038.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF TOWER HAMLETS COUNCIL,4000060249,"53,546.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,LONDON BOROUGH OF TOWER HAMLETS COUNCIL,4000060249,"5,512,193.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF WALTHAM FOREST COUNCIL,4000060250,"40,697.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,LONDON BOROUGH OF WALTHAM FOREST COUNCIL,4000060250,"3,623,029.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF WANDSWORTH COUNCIL,4000060251,"43,303.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,LONDON BOROUGH OF WANDSWORTH COUNCIL,4000060251,"3,236,278.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LUTON BOROUGH COUNCIL,4000060252,"35,364.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,LUTON BOROUGH COUNCIL,4000060252,"2,784,769.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MANCHESTER CITY COUNCIL,4000060253,"93,728.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,MANCHESTER CITY COUNCIL,4000060253,"7,733,224.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MEDWAY COUNCIL,4000060254,"50,909.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,MEDWAY COUNCIL,4000060254,"2,845,314.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,METROPOLITAN BOROUGH OF WIRRAL,4000060255,"76,425.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,METROPOLITAN BOROUGH OF WIRRAL,4000060255,"3,783,970.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MIDDLESBROUGH COUNCIL,4000060256,"33,212.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,MIDDLESBROUGH COUNCIL,4000060256,"2,585,573.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MILTON KEYNES COUNCIL,4000060257,"36,334.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,MILTON KEYNES COUNCIL,4000060257,"2,549,089.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NEWCASTLE CITY COUNCIL,4000060258,"50,000.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NEWCASTLE CITY COUNCIL,4000060258,"45,697.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,NEWCASTLE CITY COUNCIL,4000060258,"3,608,753.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORFOLK COUNTY COUNCIL,4000060259,"259,760.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,NORFOLK COUNTY COUNCIL,4000060259,"7,370,011.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTH EAST LINCOLNSHIRE COUNCIL,4000060260,"29,849.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,NORTH EAST LINCOLNSHIRE COUNCIL,4000060260,"2,365,268.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTH LINCOLNSHIRE COUNCIL,4000060261,"27,091.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,NORTH LINCOLNSHIRE COUNCIL,4000060261,"1,793,979.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTH SOMERSET COUNCIL,4000060262,"26,879.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,NORTH SOMERSET COUNCIL,4000060262,"1,697,880.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTH TYNESIDE,4000060263,"65,879.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,NORTH TYNESIDE,4000060263,"2,174,682.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTH YORKSHIRE COUNTY COUNCIL,4000060264,"169,001.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,NORTH YORKSHIRE COUNTY COUNCIL,4000060264,"4,773,351.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTHAMPTONSHIRE COUNTY COUNCIL,4000060265,"106,001.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,NORTHAMPTONSHIRE COUNTY COUNCIL,4000060265,"6,669,225.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTHUMBERLAND COUNTY COUNCIL,4000060266,"45,121.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,NORTHUMBERLAND COUNTY COUNCIL,4000060266,"3,105,133.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NOTTINGHAM CITY COUNCIL,4000060267,"51,243.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,NOTTINGHAM CITY COUNCIL,4000060267,"4,285,355.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NOTTINGHAMSHIRE COUNTY COUNCIL,4000060268,"272,578.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,NOTTINGHAMSHIRE COUNTY COUNCIL,4000060268,"7,285,051.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,OLDHAM MBC,4000060269,"36,940.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,OLDHAM MBC,4000060269,"3,628,009.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,OXFORDSHIRE COUNTY COUNCIL,4000060270,"90,607.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,OXFORDSHIRE COUNTY COUNCIL,4000060270,"5,355,682.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,PETERBOROUGH CITY COUNCIL,4000060271,"27,970.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,PETERBOROUGH CITY COUNCIL,4000060271,"2,474,926.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,PLYMOUTH CITY COUNCIL,4000060272,"35,061.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,PLYMOUTH CITY COUNCIL,4000060272,"2,888,203.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,POOLE BOROUGH COUNCIL,4000060273,"37,515.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,POOLE BOROUGH COUNCIL,4000060273,"1,169,487.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,PORTSMOUTH CITY COUNCIL,4000060274,"27,849.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,PORTSMOUTH CITY COUNCIL,4000060274,"2,375,025.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,READING BOROUGH COUNCIL,4000060275,"22,364.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,READING BOROUGH COUNCIL,4000060275,"1,752,801.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,REDCAR & CLEVELAND BOROUGH COUNCIL,4000060276,"26,788.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,REDCAR & CLEVELAND BOROUGH COUNCIL,4000060276,"2,152,865.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ROCHDALE MBC,4000060277,"38,849.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,ROCHDALE MBC,4000060277,"3,253,285.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ROTHERHAM MBC,4000060278,"52,000.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,ROTHERHAM MBC,4000060278,"3,491,845.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ROYAL BOROUGH OF KINGSTON UPON THAMES COUNCIL,4000060279,"22,546.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,ROYAL BOROUGH OF KINGSTON UPON THAMES COUNCIL,4000060279,"1,275,014.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,RUTLAND COUNTY COUNCIL,4000060280,"4,545.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,RUTLAND COUNTY COUNCIL,4000060280,"447,551.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SALFORD CITY COUNCIL,4000060281,"43,303.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SALFORD CITY COUNCIL,4000060281,"3,288,510.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SANDWELL MBC,4000060282,"41,364.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SANDWELL MBC,4000060282,"4,541,239.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SEFTON COUNCIL,4000060283,"50,788.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SEFTON COUNCIL,4000060283,"2,842,647.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SHEFFIELD CITY COUNCIL,4000060284,"95,728.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SHEFFIELD CITY COUNCIL,4000060284,"6,053,149.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SHROPSHIRE COUNCIL,4000060285,"36,212.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SHROPSHIRE COUNCIL,4000060285,"2,476,082.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SLOUGH BOROUGH COUNCIL,4000060286,"18,788.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SLOUGH BOROUGH COUNCIL,4000060286,"1,792,744.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SOLIHULL MBC,4000060287,"30,637.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SOLIHULL MBC,4000060287,"2,198,658.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SOMERSET COUNTY COUNCIL,4000060288,"60,091.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SOMERSET COUNTY COUNCIL,4000060288,"4,468,131.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SOUTH GLOUCEST,4000060289,"38,364.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SOUTH GLOUCEST,4000060289,"2,017,924.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SOUTH TYNESIDE,4000060290,"25,515.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SOUTH TYNESIDE,4000060290,"2,390,270.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SOUTHAMPTON CITY COUNCIL,4000060291,"33,515.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SOUTHAMPTON CITY COUNCIL,4000060291,"2,677,088.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SOUTHEND ON SEA BOROUGH COUNCIL,4000060292,"26,970.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SOUTHEND ON SEA BOROUGH COUNCIL,4000060292,"1,936,228.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ST HELENS MBC,4000060293,"32,364.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,ST HELENS MBC,4000060293,"2,503,479.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,STAFFORDSHIRE COUNCIL,4000060294,"116,425.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,STAFFORDSHIRE COUNCIL,4000060294,"6,873,439.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,STOCKPORT MBC,4000060295,"47,425.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,STOCKPORT MBC,4000060295,"2,687,051.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,STOCKTON ON TEES,4000060296,"38,061.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,STOCKTON ON TEES,4000060296,"2,346,499.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,STOKE ON TRENT CITY COUNCIL,4000060297,"35,667.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,STOKE ON TRENT CITY COUNCIL,4000060297,"3,845,779.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SUFFOLK COUNTY COUNCIL,4000060298,"253,366.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SUFFOLK COUNTY COUNCIL,4000060298,"5,962,662.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SUNDERLAND CITY COUNCIL,4000060299,"104,152.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SUNDERLAND CITY COUNCIL,4000060299,"4,296,545.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SURREY COUNTY COUNCIL,4000060300,"184,759.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SURREY COUNTY COUNCIL,4000060300,"7,597,959.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SWINDON BOROUGH COUNCIL,4000060301,"27,697.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,SWINDON BOROUGH COUNCIL,4000060301,"2,010,934.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,TAMESIDE MBC,4000060302,"35,879.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,TAMESIDE MBC,4000060302,"2,936,911.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,TELFORD & WREKIN COUNCIL,4000060303,"74,243.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,TELFORD & WREKIN COUNCIL,4000060303,"1,992,720.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE LONDON BOROUGH OF HACKNEY,4000060304,"56,455.00",Capital grants paid to Local Authorities,Public Sector
