Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
Ministry of Justice,MoJ HQ,05/09/2013,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1109609,"130,299.97",JOB NO: 00813MOJMF CLIVE HOUSE EMERGENCY LIGHTING
Ministry of Justice,MoJ HQ,16/09/2013,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1110305,"30,447.30",ND175: Clive House: PPM costs for 2013-14.
Ministry of Justice,MoJ HQ,16/09/2013,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1110305,"182,631.87",NE130: 102 Petty France: PPM costs for 2013-14.
Ministry of Justice,MoJ HQ,19/09/2013,222001-Maintenance,NZ406-Strategic Estates Feeder,HOME OFFICE,1110557,"262,343.38",This is for the reimbursement costs incurred by HOPG for ET3 Project for Burlington Hse
Ministry of Justice,MoJ HQ,19/09/2013,222001-Maintenance,NZ406-Strategic Estates Feeder,HOME OFFICE,1110557,"52,468.68",This is for the reimbursement costs incurred by HOPG for ET3 Project for Burlington Hse
Ministry of Justice,MoJ HQ,26/09/2013,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1111145,"47,077.73",03857MOJMF-provision of dedicated power supply to patch rooms in preparation for shut down of Petty France
Ministry of Justice,MoJ HQ,26/09/2013,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1111146,"120,000.00",03894MOJMF-shut down over the weekend of 24th-25th August to conduct the 5 year electrical testing 
Ministry of Justice,MoJ HQ,16/09/2013,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1110297,"90,579.90",NE130: 102 Petty France: cleaning services 2013.
Ministry of Justice,MoJ HQ,19/09/2013,222002-Other Property Costs,NZ406-Strategic Estates Feeder,CBRE LTD,1110473,"39,500.31",5th Floor Millbank Tower Service Charges
Ministry of Justice,MoJ HQ,19/09/2013,222002-Other Property Costs,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1110568,"25,558.50",4th Floor The Axis Building (Birmingham) Service Charges
Ministry of Justice,MoJ HQ,12/09/2013,222003-CIS Labour TFM Estates,QY200-OU10 Billback,MITIE JUSTICE LTD,1110073,"146,063.47",TFM Soft Services FIXED Costs April 2013 to March 2014 MOJ HQ MITIE SECURITY
Ministry of Justice,MoJ HQ,19/09/2013,222003-CIS Labour TFM Estates,NZ900-Finance & Corporate Services,G4S INTEGRATED SERVICES (UK) LTD,1110530,"133,574.38",NOP Programme draw down (SIU Structured Cabling Works)
Ministry of Justice,MoJ HQ,19/09/2013,222003-CIS Labour TFM Estates,NZ900-Finance & Corporate Services,G4S INTEGRATED SERVICES (UK) LTD,1110530,"26,714.88",NOP Programme draw down (SIU Structured Cabling Works)
Ministry of Justice,MoJ HQ,05/09/2013,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1109484,"26,671.15",MoJ Lease Car Fuel Costs FY 13-14
Ministry of Justice,MoJ HQ,12/09/2013,223000-Other Expenditure,QZ600-CPG Other,ALLEN LANE LTD,1109927,"769,638.00",Allen Lane Managed Accounting Service (FY13-14) - Fixed Monthly Fee - May-13-Dec-13 & Variable- Time & Materials
Ministry of Justice,MoJ HQ,12/09/2013,223000-Other Expenditure,RG999-CFLAP Accumulator,LONDON BOROUGH OF CAMDEN,1110051,"1,478,181.59",Central Government funded inquest into the death of Alexander Litvinenko: inquest running costs from November 2011 to June 2013.  MoJ paid on behalf of HMG.
Ministry of Justice,MoJ HQ,12/09/2013,223000-Other Expenditure,RB999-JPG - CJRD,THE SALVATION ARMY,1110142,"244,037.30",Adult human trafficking victim care contract. Support days 4393 @ ?62.35 per day.
Ministry of Justice,MoJ HQ,19/09/2013,223000-Other Expenditure,NZ900-Finance & Corporate Services,NATIONAL CENTRE FOR SOCIAL RESEARCH (NATCEN),1110607,"28,763.80","Milestone 30: Regular Payment 4: RP4 - deliverables to be agreed in discussion between MoJ project team and contractors (25 April 2013), Milestone 31: Final universal data, Milestone 32: Technical report for project close & Milestone 33: Re"
Ministry of Justice,MoJ HQ,23/09/2013,223000-Other Expenditure,QZ600-CPG Other,ALLEN LANE LTD,1110719,"27,860.00",Allen Lane Managed Accounting Service (FY13-14) - Fixed Monthly Fee - May-13-Dec-13 & Variable- Time & Materials
Ministry of Justice,MoJ HQ,26/09/2013,223000-Other Expenditure,LZ600-Transforming Justice,TNT UK LTD,1111259,"57,779.72",Monthly 'storage' and 'activity' costs for paper records stored by TNT on MoJ's behalf at its secure repositories.
Ministry of Justice,MoJ HQ,02/09/2013,224000-Staff travel and other,OZ501-HRD Feeder,XEXEC LTD,1109477,"28,556.17",Vouhcers to be provided
Ministry of Justice,MoJ HQ,30/09/2013,224000-Staff travel and other,OZ501-HRD Feeder,XEXEC LTD,1111511,"37,092.23",Vouhcers to be provided
Ministry of Justice,MoJ HQ,02/09/2013,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,CICA (CRIMINAL INJURIES COMPENSATION AUTHORITY),3528,"15,000,000.00",MoJ Corporate-CICA-Other Grant\-in\-aid to NDP
Ministry of Justice,MoJ HQ,02/09/2013,245000-Grants in Aid to NDPBs,RC999-Criminal Justice Group - OMS,YOUTH JUSTICE BOARD FOR ENGLAND & WALES,3531,"22,000,000.00","MoJ Corporate-CJG \- YJB (632000, 632001-YJB Grants for YOTS"
Ministry of Justice,MoJ HQ,05/09/2013,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,CCRC (CRIMINAL CASES REVIEW COMMISSION),3539,"450,000.00",MoJ Corporate-CCRC-Other Grant\-in\-aid to NDPB
Ministry of Justice,MoJ HQ,26/09/2013,246000-Current Grants,RC999-Criminal Justice Group - OMS,EDUCATIONAL FUNDING AGENCY,1111059,"3,180,268.75",To provide education to young people in custody
Ministry of Justice,MoJ HQ,13/09/2013,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,DEPARTMENT OF ENERGY & CLIMATE CHANGE (DECC),3573,"5,863,860.00",To purchase CRC allowances for the Ministry of Justice.
Ministry of Justice,MoJ HQ,26/09/2013,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1111058,"74,378.48",Electricity supply in 2013-14 to 102 Petty France (15257958).
Ministry of Justice,MoJ HQ,13/09/2013,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,3579,"548,674.75",Provision of Court Funds Office service for the 2012/13 Financial Year
Ministry of Justice,MoJ HQ,13/09/2013,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,3580,"97,252.00",NSI Financing Charge for Development costs
Ministry of Justice,MoJ HQ,12/09/2013,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1110044,"250,098.69",Monthly provision of payroll services FY13-14
Ministry of Justice,MoJ HQ,12/09/2013,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1110045,"43,718.98",Charges under rfc FSMO 175 Contractor services
Ministry of Justice,MoJ HQ,16/09/2013,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1110303,"1,161,960.86",Aramis Charges for 2013-14: to be reconciled and agreed Monthley
Ministry of Justice,MoJ HQ,19/09/2013,262000-SCA Costs,RG999-CFLAP Accumulator,LEGASTAT LTD,1110584,"33,824.50",MoJ and Wales Office sponsored Review of the Waterhouse Inquiry by Lady Justice Macur:  cost of document scanning and management system.
Ministry of Justice,MoJ HQ,26/09/2013,263000-Other Contracted Out Services,QZ600-CPG Other,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),3609,"188,918.00",Commercial Development Group - PBR Outcomes ref Hackney Council. Financial Management - Operation of Prisons
Ministry of Justice,MoJ HQ,05/09/2013,263000-Other Contracted Out Services,LZ600-Transforming Justice,STAFFORDSHIRE COUNTY COUNCIL,1109674,"36,143.84",Staffordshire Council County to continue to provide the Claims Management Regulation Compliance Office under contract to the MOJ.
Ministry of Justice,MoJ HQ,05/09/2013,263000-Other Contracted Out Services,LZ600-Transforming Justice,STAFFORDSHIRE COUNTY COUNCIL,1109674,"180,719.22",Staffordshire Council County to  continue to provide the Claims Management Regulation Compliance Office under contract to the MOJ.
Ministry of Justice,MoJ HQ,12/09/2013,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,MEDOMSLEY TRAINING SERVICES LTD,1110068,"680,305.54",Supplier is contracted to run a secure training centre which forms part of the juvenile secure estate. VAT should not be paid on this contract.
Ministry of Justice,MoJ HQ,19/09/2013,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (COOKHAM WOOD) LTD,1110510,"998,603.02",Supplier is contracted to run a secure training centre which forms part of the juvenile secure estate. for Medway - VAT should not be paid on this contract.
Ministry of Justice,MoJ HQ,23/09/2013,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (ONLEY) LTD,1110778,"1,324,531.63",Supplier is contracted to run a secure training centre which forms part of the juvenile secure estate. VAT should not be paid on this contract.
Ministry of Justice,MoJ HQ,26/09/2013,263000-Other Contracted Out Services,LZ600-Transforming Justice,STAFFORDSHIRE COUNTY COUNCIL,1111233,"34,756.17",Staffordshire Council County to continue to provide the Claims Management Regulation Compliance Office under contract to the MOJ.
Ministry of Justice,MoJ HQ,26/09/2013,263000-Other Contracted Out Services,LZ600-Transforming Justice,STAFFORDSHIRE COUNTY COUNCIL,1111233,"173,780.83",Staffordshire Council County to  continue to provide the Claims Management Regulation Compliance Office under contract to the MOJ.
Ministry of Justice,MoJ HQ,05/09/2013,264000-Consultancy,NZ900-Finance & Corporate Services,ERNST & YOUNG LLP,1109558,"572,503.33",A flexible Managed PMO Service for the Future IT Sourcing programme (FITS)
Ministry of Justice,MoJ HQ,05/09/2013,264000-Consultancy,NZ900-Finance & Corporate Services,ERNST & YOUNG LLP,1109558,"114,500.67",A flexible Managed PMO Service for the Future IT Sourcing programme (FITS)
Ministry of Justice,MoJ HQ,05/09/2013,264000-Consultancy,NZ900-Finance & Corporate Services,ERNST & YOUNG LLP,1109558,"114,500.67",A flexible Managed PMO Service for the Future IT Sourcing programme (FITS)
Ministry of Justice,MoJ HQ,19/09/2013,264000-Consultancy,RG999-CFLAP Accumulator,KEY FORENSIC SERVICES LTD,1110578,"33,752.79",Central Government funded inquest into the death of Mark Duggan:  fees of forensic experts (ballistics and modelling/reconstruction of firearms penetration)
Ministry of Justice,MoJ HQ,30/09/2013,264000-Consultancy,LZ600-Transforming Justice,PA CONSULTING GROUP,1111440,"296,249.33",To  Provide Rehabilitation Programme with HR People Transition Support
Ministry of Justice,MoJ HQ,16/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HOME OFFICE IT,3583,"56,425.00",Home Office IT Test Design & Consultancy Services and the Ministry of Justice Central Test Structure Memorandum of Understanding  2013-2014 - Ongoing Cost FY13/14
Ministry of Justice,MoJ HQ,23/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HOME OFFICE IT,3603,"33,470.00","HQ297 - PQ105 - E011  - HOIT - MoU,  Portofio & Prog Test Mgrs, Test etc (Apr- Jun 13)"
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1109292,"102,650.00", Transforming Rehabilitation Programme
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109299,"32,662.45",ICT Hosting (Schedule)
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109299,"32,662.45",ICT Hosting (Schedule)
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109299,"40,532.27",ICT Telephony (Schedule)
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109299,"199,976.05",ICT Other (Schedule)
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109299,"340,642.00",ICT Service Desk (Schedule)
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109299,"460,537.84",ICT Laptops (Schedule)
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109299,"1,276,626.97",ICT Network Services (Schedule)
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109299,"1,707,272.12",ICT Hosting (Schedule)
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109299,"1,718,661.87",ICT Hosting (Schedule)
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109299,"40,074.87","A-R-03494-01 LAA Recovery Island - installation, support & ongoing service - Ongoing IT Support Cost FY 13/14"
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109299,"156,491.19",Atos ICT Hosting (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109299,"174,000.44","A-R-03659-03 - LAA Recovery Island - installation, support & ongoing service - Ongoing IT Support Cost FY 13/14							"
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109299,"34,800.09","A-R-03659-03 - LAA Recovery Island - installation, support & ongoing service - Ongoing IT Support Cost FY 13/14 "
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1109299,"75,008.83",CCN A-S03481-01-V01 - Sustainable Print Service (SPS)
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CAPITA BUSINESS SERVICES LTD,1109322,"42,375.00",Consultancy services provided by i2N - IAPS Helpdesk & Maintenance
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CGI IT UK LTD,1109327,"119,347.00",ICT Printing (Schedule)
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CGI IT UK LTD,1109327,"402,178.00",ICT Hosting (Schedule)
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CGI IT UK LTD,1109327,"2,043,612.00",ICT App Maint & Supp (Schedule)
Ministry of Justice,MoJ HQ,02/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1109352,"116,653.42",Computer services supplied to the specification of the recipient
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109489,"53,682.00","CCN A-R-3463-01-v07-Third party services  - One Off Charge 							"
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109489,"29,517.44",CCN 2277-01 - Resources NOP
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109489,"45,338.79",CCN 2277-01 - Resources NOP
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109489,"45,750.86",CCN 2277-01 - Resources SPS
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109489,"47,074.96",CCN 2277-01 - Resources NOP
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109489,"48,350.57",CCN 2277-01 - Resources NOP
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109489,"62,118.56",CCN HQ279 - PQ105-E011- A-S-03786-18-v03 DSUP Continuation of Feasibility Study Resources work order
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109489,"67,075.34",CCN 2277-01 - Resources NOP
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1109590,"35,564.27",HP NICTS App Maint & Supp (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1109590,"75,855.94",HP NICTS Telephony (NON VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1109590,"202,999.72",HP NICTS Network Services (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1109590,"257,171.03",HP NICTS App Maint & Supp (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1109590,"640,922.46",HP NICTS App Maint & Supp (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,LIBERATA UK LTD,1109607,"28,271.83",ICT Printing - Liberata Print Charges
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,LIBERATA UK LTD,1109607,"74,195.34",ICT Printing - Liberata Print Charges
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1109676,"146,432.12",STERIA OMNI Network - Telephony (NON VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1109676,"151,994.83",STERIA OMNI General - Other (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1109676,"821,935.03",STERIA OMNI Network Services (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,05/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1109676,"29,286.42",STERIA OMNI Network - Telephony (NON VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,09/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,I2N LTD,1109797,"25,000.00",IAPS Contract with i2N - Support and Maintenance 1st June 2013 to 31st May 2015 - Replaces 10000037625
Ministry of Justice,MoJ HQ,09/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,I2N LTD,1109797,"25,000.00",IAPS Contract with i2N - Support and Maintenance 1st June 2013 to 31st May 2015 - Replaces 10000037625
Ministry of Justice,MoJ HQ,12/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109931,"145,279.94",CCN A-R-01986-22-V03 - Further IDP Implemenation Resources 2013 (one off cost)
Ministry of Justice,MoJ HQ,12/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109931,"29,055.99",CCN A-R-01986-22-V03 - Further IDP Implemenation Resources 2013 (one off cost)
Ministry of Justice,MoJ HQ,12/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1110019,"77,432.00",HP NICTS Exit (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,12/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1110019,"230,962.36",HP NICTS Security (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,12/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1110019,"391,473.38",HP NICTS SIAM (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,12/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1110019,"395,165.58",HP NICTS General (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,12/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1110019,"582,113.40",HP NICTS Network Services (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,12/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1110019,"682,259.56",HP NICTS Hosting (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,12/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1110019,"1,257,171.03",HP NICTS App Maint & Supp (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,12/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1110019,"1,687,521.29",HP NICTS EUC (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,16/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110199,"107,323.00","A-S-03673	- HQ287-DSE-AS3673-DSE-WR0012 Druva						"
Ministry of Justice,MoJ HQ,16/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CGI IT UK LTD,1110220,"117,253.42",ICT App Maint & Supp (Schedule)
Ministry of Justice,MoJ HQ,16/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1110269,"34,906.33",Fujitsu Security Services - This purchase order covers Security Services line items set within the budget  for Fujitsu Services CCN F429-02
Ministry of Justice,MoJ HQ,16/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1110269,"36,116.55","Fujitsu Application Services - Licensing, IBM 3rd line apps support for Bichard 7, ATOS apps support for Xhibit Portal & ATOS Qtrly patching of Xhibit Portal"
Ministry of Justice,MoJ HQ,16/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1110269,"46,935.57",Fujitsu SIAM Services - This purchase order covers SIAM line items set within the budget  for Fujitsu Services CCN F429-02
Ministry of Justice,MoJ HQ,16/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1110269,"180,729.93","Fujitsu Application Services - Licensing, IBM 3rd line apps support for Bichard 7, ATOS apps support for Xhibit Portal & ATOS Qtrly patching of Xhibit Portal"
Ministry of Justice,MoJ HQ,16/09/2013,265000-IT & Telecommunications,NX900-MOJ Shared Services,STERIA LTD,1110374,"43,615.00",Service Description Hyperion D0 extension plus HCP/Capex business case & G-Cloud Services
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110444,"43,500.11","A-R-03659-03 - LAA Recovery Island - installation, support & ongoing service - Ongoing IT Support Cost FY 13/14							"
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110444,"156,491.19",Atos ICT Hosting (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110444,"33,552.43",CCN 2277-01 - Resources NOP
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110444,"39,514.74",CCN 2277-01 - Resources NOP
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110444,"42,463.40",CCN 2277-01 - Resources NOP
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110444,"48,628.54",CCN 2277-01 - Resources NOP
