Departmental Family,Entity,Date,Expense Type,Expense Area,GL Division Discription,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Project code,Expenditure Type,Supplier Type,Contract Number
,,03/01/2017,SpHAs Programme Revenue Parliamentary Funding,Central Technical,DD: NHS FC,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-22225," 11,000,000 ",,NE1 6SN,,,PUBLIC,
,,03/01/2017,SpHAs Programme Revenue Parliamentary Funding,Central Technical,DD: NHS FC,NHS LITIGATION AUTHORITY,HAFS-22228," 19,000,000 ",,LS1 4AD,,,PUBLIC,
,,03/01/2017,SpHAs Programme Revenue Parliamentary Funding,Central Technical,DD: NHS FC,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-22229," 9,000,000 ",,SW1E 6QT,,,PUBLIC,
,,03/01/2017,SpHAs Programme Revenue Parliamentary Funding,Central Technical,DD: NHS FC,PUBLIC HEALTH ENGLAND PHE033,HAFS-22230," 898,865,000 ",,SP4 0JG,,,PUBLIC,
,,03/01/2017,Other creditors (ST),Central Technical,DD: Unassigned Cost Centres,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PAYT RETURNED," 67,000,000 ",,BS1 3NU,,,PUBLIC,
,,03/01/2017,Storage costs,Community Care,"DD: Pricing, Prescription and Supply",Synchrony Pharma Ltd,16113," 25,312 ",,,,,SME,
,,03/01/2017,Provisions cash payment,Global and Public Health,DD: EU & Global Affairs,PGO FOREIGN CURRENCY PAYMENTS,FT/16364/00245," 2,615,385 ",,RH10 1UH,,,PUBLIC,
,,03/01/2017,Other programme expenditure,Global and Public Health,DD: Infectious Diseases & Blood,CAXTON FOUNDATION,CF-08/2016-17," 180,692 ",Caxton Foundation service delivery payments 2016-17,EN4 9NX,,,VCS,
,,03/01/2017,Provisions cash payment,Global and Public Health,DD: Infectious Diseases & Blood,CAXTON FOUNDATION,CF-07/2016-17," 81,519 ",Caxton Foundation 2016-17 funding for beneficiary support,EN4 9NX,,,VCS,
,,03/01/2017,Provisions cash payment,Global and Public Health,DD: Infectious Diseases & Blood,MFET LTD,MFET-13/2016-17," 1,306,217 ",MFET funding for 2016-17 - additional payments,SW1H 0QS,,,VCS,
,,03/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,BARTS HEALTH NHS TRUST,ERS-567276-132804," 74,041 ",Health Technology Co-operatives,E1 8PR,,,PUBLIC,
,,03/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-567277-132801," 57,369 ",Health Technology Co-operatives,S5 7AU,,,PUBLIC,
,,03/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-567278-132803," 49,418 ",Health Technology Co-operatives,LS9 7TF,,,PUBLIC,
,,03/01/2017,Outsourcing Contract,Community Care,DD: PCLG,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40217136," 1,255,000 ",IDEA (LGA): Q2-4 of the Care and Health Integration Programme 2016/17,EC1M 5LG,,,VCS,
,,04/01/2017,Building repairs & maintenance,Finance and Group Operations,DD: Holding Accomodation Central,EMCOR FACILITIES SERVICES LTD,00438842RI," 16,088 ","Building Maint./Repairs Fixed Costs Apr 2016 - Mar 2017 - CQC @ £16,087.75 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Cleaning: contract,Finance and Group Operations,DD: Holding Accomodation Central,EMCOR FACILITIES SERVICES LTD,00438842RI," 3,962 ","Cleaning Fixed Costs Apr 2016 - Mar 2017 - CQC @ £3,961.69 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Facilities management: contract,Finance and Group Operations,DD: Holding Accomodation Central,EMCOR FACILITIES SERVICES LTD,00438842RI," 5,048 ","FM - Fixed Costs from Apr 2016 - Mar 2017 - CQC @ £5,048.16 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Policy Payments,Finance and Group Operations,DD: Holding Fast Stream,HM REVENUE AND CUSTOMS HMRC,18000040622016," 460,367 ",Corporate Fast Stream Programme Costs - 2016/17,WC2B 4RD,,,PUBLIC,
,,04/01/2017,Building repairs & maintenance,Finance and Group Operations,DD: Holding Richmond House,EMCOR FACILITIES SERVICES LTD,00438840RI," 53,766 ","Building Maint./Repairs Fixed Costs Apr 2016 - Mar 2017 - RH @ £53,765.57 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Cleaning: contract,Finance and Group Operations,DD: Holding Richmond House,EMCOR FACILITIES SERVICES LTD,00438840RI," 32,175 ","Cleaning Fixed Costs Apr 2016 - Mar 2017 - RH @ £32,174.81 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Facilities management: contract,Finance and Group Operations,DD: Holding Richmond House,EMCOR FACILITIES SERVICES LTD,00438840RI," 32,548 ","FM - Fixed Costs from Apr 2016 - Mar 2017 - RH  @ £32,547.81 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Security: contract,Finance and Group Operations,DD: Holding Richmond House,EMCOR FACILITIES SERVICES LTD,00438840RI," 53,351 ","Security Fixed Costs Apr 2016 - Mar 2017 - RH @ £53,350.50 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Building repairs & maintenance,Finance and Group Operations,DD: Holding Skipton House,EMCOR FACILITIES SERVICES LTD,00438835RI," 51,220 ","Building Maint./Repairs Fixed Costs Apr 2016 - Mar 2017 - SKH @ £51,220.18 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Cleaning: contract,Finance and Group Operations,DD: Holding Skipton House,EMCOR FACILITIES SERVICES LTD,00438835RI," 25,617 ","Cleaning Fixed Costs Apr 2016 - Mar 2017 - SKH @ £25,617.08 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Facilities management: contract,Finance and Group Operations,DD: Holding Skipton House,EMCOR FACILITIES SERVICES LTD,00438815RI," 26,926 ",Skipton - Central FM Costs Apr 2016 - Mar 2017 - re cc19182,SO53 3YE,,,LARGE,
,,04/01/2017,Facilities management: contract,Finance and Group Operations,DD: Holding Skipton House,EMCOR FACILITIES SERVICES LTD,00438835RI," 23,072 ","FM - Fixed Costs from Apr 2016 - Mar 2017 - SKH @ £23,071.60 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Security: contract,Finance and Group Operations,DD: Holding Skipton House,EMCOR FACILITIES SERVICES LTD,00438835RI," 30,571 ","Security Fixed Costs Apr 2016 - Mar 2017 - SKH @ £30,570.97 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Building repairs & maintenance,Finance and Group Operations,DD: Holding Wellington House,EMCOR FACILITIES SERVICES LTD,00438841RI," 45,926 ","Building Maint./Repairs Fixed Costs Apr 2016 - Mar 2017 - WEL @ £45,926.10 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Cleaning: contract,Finance and Group Operations,DD: Holding Wellington House,EMCOR FACILITIES SERVICES LTD,00438841RI," 22,580 ","Cleaning Fixed Costs Apr 2016 - Mar 2017 - WEL @ £22,580.37 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Facilities management: contract,Finance and Group Operations,DD: Holding Wellington House,EMCOR FACILITIES SERVICES LTD,00438841RI," 18,348 ","FM - Fixed Costs from Apr 2016 - Mar 2017 - WEL @ £18,347.66 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Security: contract,Finance and Group Operations,DD: Holding Wellington House,EMCOR FACILITIES SERVICES LTD,00438841RI," 32,427 ","Security Fixed Costs Apr 2016 - Mar 2017 - WEL @ £32,426.80 mthly",SO53 3YE,,,LARGE,
,,04/01/2017,Outsourcing Contract,Chief Scientific Advisor,DD: DH Life Sciences,TECHNOLOGY STRATEGY BOARD TSB TA INNOVATE UK,001515," 161,350 ",Test Bed  Programme - 2015-16 Quarter 3 & 4.  September 2015 – March 2016,SN2 1UE,,,PUBLIC,
,,04/01/2017,Policy Payments,Community Care,"DD: Pricing, Prescription and Supply",EASTERN HEALTH AND SOCIAL SERVICES BOARD (EHSSB),Q32016HISTORICCASH," 463,655 ",Northern Ireland Apportionment of Q£ 2016 HCP & Income under the 2009 PPRS,BT2 8BS,,,PUBLIC,
,,04/01/2017,Policy Payments,Community Care,"DD: Pricing, Prescription and Supply",SCOTTISH GOVERNMENT,Q32016HISTORICCASH," 1,050,245 ",Scotland Apportionment of Q3 2016 HCP & Income under the 2009 PPRS,EH6 6QQ,,,PUBLIC,
,,04/01/2017,Policy Payments,Community Care,"DD: Pricing, Prescription and Supply",WELSH ASSEMBLY GOVERNMENT,Q32016HISTORICCASH," 637,950 ",Welsh Apportionment of Q3 2016 HCP & Income under the 2009 PPRS,CF10 3NQ,,,PUBLIC,
,,04/01/2017,Policy Payments,Community Care,"DD: Pricing, Prescription and Supply",EASTERN HEALTH AND SOCIAL SERVICES BOARD (EHSSB),Q32016NORTHERNIRELAND," 6,471,654 ",Northern Ireland Apportionment of Q3 2016 PPRS Payments,BT2 8BS,,,PUBLIC,
,,04/01/2017,Policy Payments,Community Care,"DD: Pricing, Prescription and Supply",SCOTTISH GOVERNMENT,Q32016SCOTLAND," 14,659,225 ",Scottish Apportionment of Q3 2016 PPRS Payments,EH6 6QQ,,,PUBLIC,
,,04/01/2017,Policy Payments,Community Care,"DD: Pricing, Prescription and Supply",WELSH ASSEMBLY GOVERNMENT,Q32016WALES," 8,904,450 ",Welsh Apportionment of Q3 2016 PPRS Payments,CF10 3NQ,,,PUBLIC,
,,04/01/2017,Storage costs,Community Care,"DD: Pricing, Prescription and Supply",HAMELN PHARMACEUTICALS LTD,5302251," 26,720 ",,,,,SME,
,,04/01/2017,Outsourcing Contract,Global and Public Health,DD: Phys Act & Hlth in WL & Educn,NHS SUPPLY CHAIN,9047000060," 153,801 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2016/17 - 1st June 2016 to 31st March 2017,DE55 4QJ,,,PUBLIC,
,,04/01/2017,Outsourcing Contract,Global and Public Health,DD: Phys Act & Hlth in WL & Educn,NHS SUPPLY CHAIN,9047000061," 1,915,511 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2016/17 - 1st June 2016 to 31st March 2017,DE55 4QJ,,,PUBLIC,
,,04/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,THE FIT FOR WORK TEAM,ERS-567294-132821," 229,553 ",IESD Ref 54164626 - FFWT 2016-17 YEAR 3,LE1 5SN,,,SME,
,,05/01/2017,Outsourcing Contract,Acute Care and Workforce,DD: Property,ARCADIS LLP PREVIOUSLY KNOWN EC HARRIS LLP,75166461," 8,640 ",Independent Review additional services of healthcare planner2,N1 NAB,,,LARGE,
,,05/01/2017,Outsourcing Contract,Acute Care and Workforce,DD: Property,ARCADIS LLP PREVIOUSLY KNOWN EC HARRIS LLP,75166461," 12,672 ",Independent Review additional services of healthcare planner2,N1 NAB,,,LARGE,
,,05/01/2017,Outsourcing Contract,Acute Care and Workforce,DD: Property,ARCADIS LLP PREVIOUSLY KNOWN EC HARRIS LLP,75166461," 68,640 ",Property Development Lead,N1 NAB,,,LARGE,
,,05/01/2017,Outsourcing Contract,Acute Care and Workforce,DD: Property,ARCADIS LLP PREVIOUSLY KNOWN EC HARRIS LLP,75166461," 46,800 ",Health care planner 1,N1 NAB,,,LARGE,
,,05/01/2017,Outsourcing Contract,Acute Care and Workforce,DD: Property,ARCADIS LLP PREVIOUSLY KNOWN EC HARRIS LLP,75166461," 7,951 ",Expenses,N1 NAB,,,LARGE,
,,05/01/2017,Addition Clearing - SW LIC,Community Care,DD: Informatics,THE PHOENIX PARTNERSHIP (LEEDS) LTD,GPSOC032," 12,000 ","Capital 2016/17 TPP GPSoC Replacement: Migration Charges, National Functionality Deployment, Development Charges",LS18 5TN,,,SME,
,,05/01/2017,Service charge,Community Care,DD: Informatics,IN PRACTICE SYSTEMS LTD,431343," 75,000 ","Revenue 2016/17 INPS GPSoC R: System support charges, Training Charges, Utilisation charges, Interface Mechanism charges, Pairing Assurance service charges, Development charges, Hosting service charges",SW8 3QJ,,,LARGE,
,,05/01/2017,Service charge,Community Care,DD: Informatics,THE PHOENIX PARTNERSHIP (LEEDS) LTD,GPSOC032," 1,033,749 ","Revenue 2016/17 TPP GPSoC Replacement: System support charges,Training Charges, Utilisation charges, Interface Mechanism charges, Pairing Assurance service charges, Development charges, Hosting service charges",LS18 5TN,,,SME,
,,05/01/2017,Outsourcing Contract,Global and Public Health,DD: Phys Act & Hlth in WL & Educn,NHS SUPPLY CHAIN,9047000059," 68,430 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,,,PUBLIC,
,,05/01/2017,Outsourcing Contract,Global and Public Health,DD: Phys Act & Hlth in WL & Educn,NHS SUPPLY CHAIN,9047000059," 31,656 ",NHS Supply Chain - Pesticide testing costs 2016/17 - 1st April to 31st  May 2016,DE55 4QJ,,,PUBLIC,
,,05/01/2017,Outsourcing Contract,Global and Public Health,DD: Phys Act & Hlth in WL & Educn,NHS SUPPLY CHAIN,9047000059," 33,054 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2016/17 - 1st June 2016 to 31st March 2017,DE55 4QJ,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,CAMBRIDGE UNIVERSITY OF,ERS-567363-132869," 35,089 ",Cancer - Prostate,CB2 1TN,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,BRISTOL UNIVERSITY OF,ERS-567364-132868," 55,492 ",Cancer - Prostate,BS8 1TH,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,OXFORD UNIVERSITY OF,ERS-567369-132875," 51,243 ",Cancer - Prostate,OX1 2XN,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,DUNDEE UNIVERSITY OF,ERS-567376-132871," 25,562 ",HTA Commissioned Research,DD1 4HN,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-567380-132863," 35,591 ",HTA Researcher Lead,BS99 1YF,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,YORK UNIVERSITY OF,ERS-567406-132892," 34,132 ",HS & DR,YO10 5DD,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,KINGS COLLEGE LONDON,ERS-567407-132887," 38,103 ",EME - ( NETSCC ),SE1 8WA,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,OXFORD UNIVERSITY OF,ERS-567408-132890," 48,106 ",HTA Commissioned Research,OX1 2XN,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,EXETER UNIVERSITY OF,ERS-567409-132885," 71,368 ",NIHR Public Health Research ( NETSCC ),EX4 4QJ,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-567410-132883," 26,488 ",Research for Patient Benefit,NG7 2UK,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,PUBLIC HEALTH ENGLAND PHE033,ERS-567411-132893," 47,147 ",HTA Researcher Lead,NG5 1PB,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,ERS-567413-132881," 50,643 ",Invention for Innovation,S10 2TH,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,MANCHESTER UNIVERSITY OF,ERS-567414-132889," 79,777 ",Invention for Innovation,M13 9PL,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,UNIVERSITY COLLEGE LONDON UCL,ERS-567415-132888," 46,360 ",Invention for Innovation,WC1E 6BT,,,PUBLIC,
,,05/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,IMPERIAL COLLEGE LONDON,ERS-567416-132886," 95,005 ",Invention for Innovation,SW7 2AZ,,,PUBLIC,
,,06/01/2017,Outsourcing Contract,Finance and Group Operations,DD: Procurement Services,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6292230, -   ,2016-17 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,,PUBLIC,
,,06/01/2017,Outsourcing Contract,Finance and Group Operations,DD: Procurement Services,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6292230," 280,193 ",2016-17 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,,PUBLIC,
,,06/01/2017,Provisions cash payment,Finance and Group Operations,DD: Property,NHS PROPERTY SERVICES LTD,48502741," 128,608 ",Costs relating to Management of NHS direct properties 2015-16,WF3 1WE,,,PUBLIC,
,,06/01/2017,Outsourcing Contract,Finance and Group Operations,DD: Holding Managed Print Services,ATOS IT SOLUTIONS AND SERVICES LTD,5584225003," 38,708 ",Xerox Managed Print Service  from Apr 16 – Mar 17,WS11 0JA,,,LARGE,
,,06/01/2017,Service charge,Community Care,DD: Informatics,THE PHOENIX PARTNERSHIP (LEEDS) LTD,GPSOCCCN004SCR," 93,750 ",Revenue:TPP GPSoC charges for the P/C 01.04.2015 to 31.03.2016: System support charges Training Charges Utilisation charges Interface Mechanism charges Pairing Assurance service charges Development charges Hosting service charges,LS18 5TN,,,SME,
,,06/01/2017,Essential Meds SPG - Additions,Community Care,"DD: Pricing, Prescription and Supply",LEO LABORATORIES LTD,GB30100995," 421,002 ",,,,,LARGE,
,,06/01/2017,Storage costs,Community Care,"DD: Pricing, Prescription and Supply",LEO LABORATORIES LTD,GB30100994," 169,954 ",,,,,LARGE,
,,06/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,RAINBOW MEDICAL ENGINEERING LTD,215," 8,814 ",Invention for Innovation,SG6 1RR,,,SME,
,,06/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,RAINBOW MEDICAL ENGINEERING LTD,215," 32,814 ",Invention for Innovation,SG6 1RR,,,SME,
,,06/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,PUBLIC HEALTH ENGLAND PHE033,ERS-567458-133381," 51,349 ",PROJECTS,SP4 0JG,,,PUBLIC,
,,06/01/2017,Research & development,"Science, Research & Evidence",DD: Research Finance & Programmes,ST ANDREWS UNIVERSITY OF,FI055024," 30,119 ",RDD Programme Support - Miscellaneous,KY16 9RJ,,,PUBLIC,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,AGE UK,ERS-567417-132901," 37,122 ",2016/011 SPP001 Age UK Strategic Partner 16/17,SW16 4ER,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,CARERS UK,ERS-567418-132921," 48,750 ",2016/011 SPP002 Carers UK - Strategic Partner 16/17,SE1 4LX,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,ROYAL MENCAP SOCIETY,ERS-567419-132941," 43,332 ",2016/011 SPP004 Mencap - Strategic Partner 2016/17,EC1Y 0RT,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,LIFELINE COMMUNITY PROJECTS,ERS-567420-132961," 45,433 ",2016/011 SPP005 Lifeline Community Projects - Strategic Partner 16/17,RM8 3QS,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,THE FIT FOR WORK TEAM,ERS-567421-132981," 45,250 ",2016/011 SPP006 Voluntary Action Leicestershire Strategic Partner 2016/17,LE1 5SN,,,SME,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,THE MENS HEALTH FORUM,ERS-567423-133001," 46,250 ",2016/011 SPP007 Men's Health Forum - Strategic Partner 16/17,SE1 0EH,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,MENTAL HEALTH PROVIDERS FORUM,ERS-567424-133021," 45,250 ",2016/011 SPP008 Mental Health Providers Forum - Strategic Partner 16/17,EC1V 9BE,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,NACRO,ERS-567427-133041," 45,250 ",2016/011 SPP009 Nacro - 2016/17 Strategic Partner,B6 4US,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,NATIONAL CHILDRENS BUREAU LTD,ERS-567430-133061," 45,187 ",2016/011 SPP010 National Children's Bureau - Strategic Partner 16/17,EC1V 7QE,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,NATIONAL HOUSING FEDERATION,ERS-567433-133081," 45,000 ",2016/011 SPP011 National Housing Federation Strategic Partner 16/17,WC1V 6NY,,,SME,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,LGBT Foundation,ERS-567438-133101," 46,500 ",2016/011 SPP012 LGBT Foundation - Strategic Partner 2016/17,M1 3HF,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,NATIONAL VOICES,ERS-567439-133121," 50,000 ",2016/011 SPP013 National Voices - Strategic Partner 16/17,EC4Y 8EE,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,NATIONAL ASSOCIATION OF VOLUNTARY AND COMMUNITY ACTION,ERS-567441-133161," 45,250 ",2016/011 SPP014 National Association for Voluntary and Community Action Strategic Partner 16/17,S1 4QL,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,THE NATIONAL CARE FORUM,ERS-567442-133181," 37,133 ",2016/011 SPP015 The National Care Forum Strategic Partner 16/17,CV1 2DY,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,THE NATIONAL COUNCIL FOR PALLIATIVE CARE,ERS-567443-133201," 45,136 ",2016/011 SPP016 The National Council for Palliative Care - Strategic Partner 2016/17,N7 9AS,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,RACE EQUALITY FOUNDATION,ERS-567444-133221," 45,250 ",2016/011 SPP017 Race Equality Foundation - Strategic Partner 16/17,NW5 1LB,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,VOLUNTARY ORGANISATION NETWORK NORTH EAST (VONNE),ERS-567445-133241," 49,798 ",2016/011 SPP018 Voluntary Organisations Network North East - Strategic Partner 16/17,NE1 8XS,,,VCS,
,,06/01/2017,Revenue Grants to non-profit institutions,Community Care,DD: PCLG,UK HEALTH FORUM,ERS-567446-133261," 50,000 ",2016/011 SPP019 UK Health Forum - Strategic Partner 16/17,EC4Y 8JX,,,VCS,
