Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,
DEFRA,DEFRA,21/07/2015,Current Grants E,"Strategy, International and Biosecurity DG",UNITED NATIONS OFFICE ON DRUGS AND CRIME,160715,53600.00,FOREIGN PAYMENT INVOICE DEFRA CLASSIC GRANT 22071 REF: GLOBAL RESEARCH PROJECT ON WILDLIFE CRIME,A-1400,,,IWTXXXXX,Expense,,,,
DEFRA,DEFRA,23/07/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Exeter,GHB0124009,94760.00,PO 372993 SIP PROJECT 2 5TH QUARTERLY REPORT 2015,EX4 4QJ,,LM0302,00000000,Expense,,,,
DEFRA,DEFRA,21/07/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",University Of Glasgow,160715,45990.00,PO 374088 VAT ONLY INVOICE SE3290,G12 8QQ,,SE3290,00000000,Expense,,,,
DEFRA,DEFRA,21/07/2015,Other Current Payments E,Policy Delivery DG,University Of Reading,108536,31637.08,PO 371105 RESEARCH PROJECT H5186500,RG6 6AH,,GC0146,PGR00001,Expense,,,,
DEFRA,DEFRA,28/07/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Reading,ERS-560140-52639,49636.66,AC0122 - Optimising the efficiency of dietary nitrogen use to reduce emissions and waste in dairy systems -  University of Reading - Jul 15,RG6 6AH,,,SFFS0005,Expense,,,,
DEFRA,DEFRA,31/07/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Warwick,90866622,59694.00,PO 375590 RESEARCH PROJECT COSTS,CV4 8UW,,,SFFS0006,Expense,,,,
DEFRA,DEFRA,07/07/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Veterinary Medicines Directorate,FI00023493,770624.25,PO 378431 PP20 VMD FUNDING 2015- 2016 AC CODE 0475 AQ APRIL 2015 TO JUNE 15,KT15 3LS,SME,EXMPT,00000000,Expense,,,,
DEFRA,DEFRA,17/07/2015,Current grants to charitable bodies,Policy Delivery DG,Waste & Resources Action Programme,JULY1030715,1056879.00,PO 377174 CLAIM FOR GRANT FUNDING WRAP,OX16 0AH,,,00000000,Expense,,,,
DEFRA,DEFRA,15/07/2015,Current Grants E,"Strategy, International and Biosecurity DG",Wildfowl & Wetlands Trust,220615,27097.25,PO 377402 DARWIN REF NO 22007 CLAIM PERIOD JULY 2015 TO SEPT 2015,GL2 7BT,,21851,DARWDFID,Expense,,,,
DEFRA,DEFRA,09/07/2015,Current Grants E,"Strategy, International and Biosecurity DG",Wildlife Conservation Society,250615,31823.25,FOREIGN PAYMENT DEFRA PAYMENT PROJECT IWT02 Q4 GRANT CLAIM 2014-15,,,,IWTXXXXX,Expense,,,,
DEFRA,DEFRA,01/07/2015,Capital LA Grant E,Policy Delivery DG,Wiltshire Council,90216552,140705.27,PO 371728 CAPITAL CONTRIBUTIONS Q4 REPAIR AND RENEWAL GRANT,BA14 8JJ,,GRANT,00000000,Expense,,,,
DEFRA,DEFRA,31/07/2015,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,WSP CEL Ltd,223414,69600.00,PO 378644 PROJECT E5803 WSP FEES STAGE 2A,CV4 8HS,,ECM 18346,B087P001,Asset,,,,
DEFRA,DEFRA,01/07/2015,Current Grants E,Policy Delivery DG,Yorkshire Dales National Authority,030615,1017599.00,PO 377266 NATIONAL PARK GRANT CLAIM 2015/2016 QTR 2,DL8 3EL,SME,,YORKDALE,Expense,,,,
DEFRA,VMD,28/07/2015,IT EQUIPMENT MAINTENANCE,FINANCE,SAPPHIRE SYSTEMS PLC,70534,42215.73,IT equipment maintenance,EC3R 6AF,LGEN,,,ADMINISTRATION,,,,
DEFRA,VMD,28/07/2015,IT EQUIPMENT MAINTENANCE,FINANCE,SAPPHIRE SYSTEMS PLC,70533,-40903.75,IT equipment maintenance,EC3R 6AF,LGEN,,,ADMINISTRATION,,,,
DEFRA,VMD,30/07/2015,STATUTORY RESIDUES SURVEILLANCE - SAMPLE COLLECTION,RESIDUES SURVEILLANCE UNIT,APHA,70557,151933.50,Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme,YO1 7PX,GOVN,,,ADMINISTRATION,,,,
Defra,JNCC,18/06/2015,CONTRACTED OUT CONSERVATION SERVICES,Surveillance and monitoring,BRITISH TRUST FOR ORNITHOLOGY,11428,108162.75,Monitoring of birds and the environment,IP24 2PU,SME,A09-0056-0259,100,Administration,,,,
Defra,JNCC,23/06/2015,CONTRACTED OUT CONSERVATION SERVICES,Marine Species Advice                                                                               ,ABP MARINE ENVIRONMENTAL RESEARCH LTD,11458,36151.20,Developing the Evidence Base for Impact Assessments for recommended dSACs and dSPAs,SO14 2AQ,SME,C14-0241-0910,74,Administration,,,,
Defra,JNCC,30/06/2015,AIR TRAVEL - UK,All programmes,REDFERN TRAVEL LTD                                          ,Redfern statement June 2015 109527,34417.08,Various travel charges,BD1 3AZ,SME,,130,Administration,,,,
DEFRA ,CCW,10/07/2015,Internal Audit Services,Finance & Resources,NATIONAL AUDIT OFFICE,5247,25000.00,Audit Fees for 2014-15 accounts,SW1W 9SP,LARGE,N/A,N/A,Programme,417 6324 57,,,
DEFRA,MMO,23/07/2015,Other Current Payments E,,Newlyn Pier Harbour Commissioners,FEF1367160715,33283.84,European Fisheries Fund grant payment,EFF,TR18 5HW,,,00000000,Expense,,,
DEFRA,MMO,13/07/2015,Other Current Payments E,,J C S Fish Ltd,FEF1434060715,71376.00,European Fisheries Fund grant payment,EFF,DN31 3RD,SME,,00000000,Expense,,,
DEFRA,MMO,09/07/2015,Redfern Suspense,Central Finance Group,Redfern Travel Ltd,109541,47142.33,Marine Management Organisation Redfern travel bill for July 2015,MMO JULY 2015 BILL,BD1 3AZ,SME,,00000000,Asset,,,
DEFRA,MMO,15/07/2015,Contracted out services non IT,,Shared Services Connected Ltd,100001236,40779.13,Fixed monthly charge for shared services work - July 2015,PO 613315 FIXED MONTHLY CHARGES JULY 2015,HP2 7AH,,,00000000,Expense,,,
DEFRA,MMO,09/07/2015,Other Current Payments E,,Duchy of Cornwall Oyster Farm Ltd,FEF1310,35603.73,European Fisheries Fund grant payment,EFF GRANT FOR COMMON INTEREST,TR1 2NA,SME,,00000000,Expense,,,
DEFRA,MMO,29/07/2015,Notional NAO Audit Fees,,National Audit Office,5283,26250.00,Audit of the Marine Management Organisation 2014-15 accounts,AUDIT OF MMO 2014-15 ACCOUNTS,SW1W 9SP,,,00000000,Expense,,,
DEFRA,MMO,27/07/2015,Other Current Payments E,,C E F A S,8004963,104705.28,"Payment for work completed in 2014/15 under the higher level agreement with Centre for Environment, Fisheries and Aquaculture Science",C3008 REF 14/15 CEFAS HLA OUTSTANDING BALANCE,NR33 0HT,SME,,00000000,Expense,,,
DEFRA,AHDB,24/07/2015,Invoice,,University of Warwick,90861529,25000.00,R&D: Beef & Lamb: Intramammary Infections (mastitis) in Meat Ewes - Phase II - for period of April to June 2015 due June 2015,CV4 8UW,,,,,545270058,,,
DEFRA,AHDB,31/07/2015,Invoice,,Quality Milk Management Servs,11885,25472.70,R&D: Dairy - Supply chain market research: RMS study 3rd instalment,BA5 1DU,,,,,851056933,,,
DEFRA,AHDB,24/07/2015,Invoice,,University of Reading,107676,25500.00,"R&D: Dairy - Desktop study to evaluate the environmental, nutritional & value benefits of including dairy in the GB diet - Nutrition v Environment",RG6 6AH,,,,,,,Local Authority,896906
DEFRA,AHDB,24/07/2015,Invoice,,James Hutton Limited,SIJHL/00000144,25794.75,"R&D: Cereals: RD-2012-3786 Platforms to test and demonstrate sustainable soil management: integration of major UK field experiments, April to June 2015",AB15 8QH,,,,,,,Local Authority,896907
DEFRA,AHDB,14/07/2015,Invoice,,STC Research Foundation,1298,28421.00,R&D: Horticulture: CP 125 Understanding crop and pest responses to LED lighting to maximise horticultural crop quality and reduce the use of PGRs. 1 April 2015-30 June 2015,YO8 3TZ,,,,,856597270,,Local Authority,897754
DEFRA,AHDB,31/07/2015,Invoice,,ADAS UK Ltd,RIRP084475,29643.00,R&D: Horticulture CP 107c Soils Programme: Precision farming technologies to drive sustainable intensification in horticulture cropping systems. April - June 2015,WV9 5AP,,,,,685426895,,Local Authority,894394
DEFRA,AHDB,31/07/2015,Invoice,,ADAS UK Ltd,RIRP084530,33112.00,"R&D: Cereals - Fungicide Performance in wheat, barley and OSR. RD-2140006 April - June 2015",WV9 5AP,,,,,685426895,,Supplier,
DEFRA,AHDB,14/07/2015,Invoice,,Rothamsted Research,INV103881,34690.44,R&D: Cereals - Integrated Aphid advisory alerts,AL5 2LQ,,,,,197420151,,OGD,897050
DEFRA,AHDB,24/07/2015,Invoice,,Rothamsted Research,INV104056,38630.00,"R&D: Cereals - Wastes, Organic Matter, Soil and Structure (WOrMSS)",AL5 2LQ,,,,,197420151,,OGD,900668
DEFRA,AHDB,31/07/2015,Invoice,,Vivactis Public Relations,15FV122,39843.75,Export Development: Beef & Lamb - Top Pros event for St George June 2015,,,,,,,,Local Authority,884793
DEFRA,AHDB,31/07/2015,Invoice,,National Audit Office,5253,41500.00,Audit: Audit of the AHDB 2014-15 report & accounts - third schedule,SW1W,,,,,417632457,,Supplier,900992
DEFRA,AHDB,31/07/2015,Invoice,,The Dairy Council,11628,50000.00,R&D: Dairy - Research and engagement on diary in Human nutrition. Funds to support a programme of research & engagement on dairy in human nutrition 01/07/15 - 30/09/15,WC1V 7EP,,,,,232893550,,Supplier,899410
DEFRA,AHDB,17/07/2015,Invoice,,Venise,FA00709,55921.25,Export Market Development - AHDB St George Beef and Lamb in France - French Trade PR support,,,,,,,,Local Authority,893969
DEFRA,AHDB,14/07/2015,Invoice,,Assured Food Standards,10857,58750.00,Levy Payer Communications - Quarterly service level agreement charges - quarter ending June 2015,SE1 0NZ,,,,,,,Non Supplier,899710
DEFRA,AHDB,31/07/2015,Invoice,,ADAS UK Ltd,RIRP084485,62324.00,R&D: Horticulture - CP 138 - Transition to responsibly sourced growing media use within UK Horticulture. Jan to March and April to June 2015,WV9 5AP,,,,,685426895,,Supplier,899644
DEFRA,AHDB,14/07/2015,Invoice,,Symbiosis UK Ltd,000670,95653.20,Levy Payer Communications: Cereals 2015 event stand - 271015,W1B 5TG,,,,,810330782,,Supplier,897102
DEFRA,AHDB,31/07/2015,Invoice,,SRUC,20818903,97500.00,R&D: Dairy -  Genetics Evaluations Operational Services April 2015 to June 2015,,,,,,,,Supplier,897292
DEFRA,AHDB,17/07/2015,Invoice,,Venise,FA00710,104500.00,Export Market Development - AHDB St George Beef and Lamb in France - French Trade PR support,,,,,,,,Supplier,
DEFRA,AHDB,14/07/2015,Invoice,,Symbiosis UK Ltd,000632,105108.36,"Levy Payer Communications - Cereals Event 2015 - 271015, costs for Symbiosis time and materials",,,,,,,,OGD,899073
DEFRA,NE,02/07/2015,Grants & contributions,Strategy and Reform,Kent County Council,ERS-987415-52515,86970.00,"Grant for North Downs Way, Kent - 2014-15",ME14 1XX,,ECM6772,,,,,Supplier,901096
DEFRA,NE,02/07/2015,Grants & contributions,Strategy and Reform,Norfolk County Council,ERS-987441-52516,62438.00,Grant for Peddars Way and Norfolk Coast Path - 2014-15,NR1 2SG,,ECM_6773,,,,,Local Authority,893491
DEFRA,NE,02/07/2015,Grants & contributions,Strategy and Reform,Oxfordshire County Council,ERS-987438-52518,241649.00,"Grant for Thames Path and Ridgeway, Oxfordshire - 2014-15",OX29 4TL,,ECM_6774,,,,,Supplier,900894
DEFRA,NE,02/07/2015,Grants & contributions,Strategy and Reform,Powys County Council,ERS-987437-52517,25516.36,Grant for Offa's Dyke - 2014-15,LD1 5LG,,ECM_6512,,,,,Public Body,894519
DEFRA,NE,02/07/2015,Travel & subsistence costs,Finance and Governance,Redfern Travel Ltd,109293,192462.94,Monthly charge for rail travel costs - June 2015,BD1 3AZ,SME,,,,,,Local Authority,897631
DEFRA,NE,06/07/2015,Service charges,Finance and Governance,DEFRA,1000049210,-40369.20,Credit - Oracle licence - 2014-15,YO1 7PX,,ecm_6679,,,,,Supplier,898386
DEFRA,NE,06/07/2015,"Monitoring, Evaluation & Surveillance costs",Science and Evidence,DEFRA,1000053250,60995.46,Renewal of British Geological Survey Defra Network licence - 1 April 2015-31 March 2016,YO1 7PX,,,,,,,Supplier,899797
DEFRA,NE,06/07/2015,Grants & contributions,Strategy and Reform,Plymouth City Council,52605791615,30000.00,Grant for Plymouth Natural Networks - 2014-15,PL1 2AA,,24846,,,,,Supplier,899797
DEFRA,NE,08/07/2015,Service charges,Finance and Governance,Shared Services Connected Ltd,100001218,31762.80,Oracle licence and support fees - July 2015,HP2 7AH,,,,,,,Supplier,899759
DEFRA,NE,08/07/2015,Service charges,Finance and Governance,Shared Services Connected Ltd,100001233,223674.77,SSCL Shared Services provision for Natural England fixed monthly charge - July 2015,HP2 7AH,,,,,,,,
DEFRA,NE,08/07/2015,Grants & contributions,Strategy and Reform,Yorkshire Dales National Authority,ERS-987470-52556,144951.54,"Grant for Pennine Way and Pennine Bridleway, Yorkshire Dales National Park - 2014-15",BD23 5LB,SME,ECM 6476,,,,,,
DEFRA,NE,10/07/2015,"Monitoring, Evaluation & Surveillance costs",Strategy and Reform,Bat Conservation Trust,257,83183.10,Bat information and advisory service - April-June 2015,SE11 5RD,SME,,,,,,,
DEFRA,NE,10/07/2015,Telephony costs,Finance and Governance,Level 3 Communications UK Limited,80396559,32602.37,Charges for telephony services for home workers and National Nature Reserves - 1 April-30 June 2015,RG24 8NA,,,,,,,,
DEFRA,NE,10/07/2015,Telephony costs,Finance and Governance,Level 3 Communications UK Limited,80396558,32170.23,"Charges for telephony service management, technical support and service rental - 1 April-30 June 2015",RG24 8NA,,,,,,,,
DEFRA,NE,10/07/2015,Audit services,Finance and Governance,National Audit Office,5237,56000.00,Final 50% instalment of External audit fee - 2014-15 ,SW1W 9SP,,,,,,,,
DEFRA,NE,10/07/2015,RBS purchases,Finance and Governance,Royal Bank Of Scotland,5.5695E+23,655451.73,Monthly payment for Government Procurement Card expenditure - June 2015,EC2M 4BA,,,,,,,,
DEFRA,NE,14/07/2015,"Monitoring, Evaluation & Surveillance costs",Strategy and Reform,Maritime & Coastguard Agency,CHPNE002,37687.50,Multibeam survey of Severn Estuary SAC (Special Area of Conservation) Partnership with Maritime and Coastguard Agency,SO15 1EG,,,,,,,,
DEFRA,NE,16/07/2015,Land Management payments,Strategy and Reform,Charles Blois,ERS-987474-52578,109651.43,"Minsmere and Walberswick National Nature Reserve Heathland Land Lease, half yearly payment - 2015-16 ",IP17 3EQ,SME,,,,,,,
DEFRA,NE,16/07/2015,Grants & contributions,Strategy and Reform,Derbyshire County Council,ERS-987471-52575,27931.05,"Grant to support Pennine Bridleway Project Officer, Derbyshire - 2014-15",DE4 3AH,,ECM6450,,,,,,
DEFRA,NE,20/07/2015,Subscriptions,Finance and Governance,N L A Media Access Limited,Q361314,27179.90,Newspaper Licensing Agency licence renewal - 2015-16 ,TN1 1NL,,ECM 40817,,,,,,
DEFRA,NE,20/07/2015,Grants & contributions,Strategy and Reform,University Of Stirling,23004400,35000.00,Contribution to woodland creation and ecological network research project - 2015-16,FK9 4LA,,ECM6326,,,,,,
DEFRA,NE,22/07/2015,Grants & contributions,Strategy and Reform,Cornwall County Council,ERS-987593-52595,168284.63,Grant for South West Coast Path maintenance - 2014-15,TR1 3AY,,ECM_6694,,,,,,
DEFRA,NE,24/07/2015,"IT services, equipment & consumables",Finance and Governance,IBM United Kingdom Ltd,5806152294,29655.12,"Decommissioning of Natural England corporate website, TRIM v7 (Natural England's document management and storage IT system) and Geographical Information System IT application",GU1 2LD,SME,10040,,,,,,
DEFRA,NE,28/07/2015,"IT services, equipment & consumables",Finance and Governance,Atos IT Services UK Ltd,5584190266,512950.80,Charge for delivery and change management of the Genesis IT system - June 2015,WV10 6UH,,,,,,,,
DEFRA,NE,28/07/2015,"IT services, equipment & consumables",Finance and Governance,Atos IT Services UK Ltd,5584190265,144910.80,Charge for hosting of the Genesis IT system - June 2015,WV10 6UH,,,,,,,,
DEFRA,NE,28/07/2015,Telephony costs,Finance and Governance,Level 3 Communications UK Limited,IN007436,88760.10,Charges for telephony services - 1 April-30 June 2015,RG24 8NA,,,,,,,,
DEFRA,EA,07/07/2015,ICT Systems,Director of Finance | CI Solutions Delivery Management | HO Capital WiP | CI Head of CIS | FM Operating Unit - Central and South East | Asset Management Manager | CI SD Management MRA | Incident Management Manager | National Accomodation Change Fund | Deputy Director of Sustainable Places | Field Services | CI Infrastructure Change Programme MRA,Capgemini UK Plc,1366056,6610920.75,IT Service Procurement Outsource service charge and work order costs June 2015,GU21 6DB,,30259319 | 30259320,BBXXX200013L02,Project,,,,
DEFRA,EA,16/07/2015,Construction,SE Capital WiP,Team Van Oord,1368259,1609405.16,Broomhill Sands Coastal Defence Scheme,BN5 9XQ,,30384997,IMSO000577,Project,,,,
DEFRA,EA,16/07/2015,Fleet,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,1368767,1439430.10,Lease Car Rentals July 2015.,RG14 2NU,,30340333,,Administration,,,,
DEFRA,EA,16/07/2015,Professional Services Other,Director of Finance,Shared Services Connected Ltd,1368637,910164.22,Provision of Outsourced HR and Finance services July 2015,M14 0WN,,30401665,,Administration,,,,
DEFRA,EA,23/07/2015,Construction,SE Capital WiP,Jackson Civil Engineering Ltd,1369339,851044.51,Sandwich Town tidal defences,IP1 5LT,,30142731,IMSO001057,Project,,,,
DEFRA,EA,09/07/2015,Construction,NW Capital WiP,VBA Joint Venture Ltd,1364345,840306.36,Crossens Pumping Station Improvement Works,EN11 9BX,,30398134,IMNW000472,Project,,,,
DEFRA,EA,01/07/2015,Construction,NW Capital WiP,GBV JV Ltd,1364667,754335.63,Northwich Flood alleviation Scheme,RH1 1LQ,,30393506,IMNW000475,Project,,,,
DEFRA,EA,09/07/2015,Construction,NW Capital WiP,VBA Joint Venture Ltd,1358688,721702.48,Crossens Pumping station Refurbishment,EN11 9BX,,30398134,IMNW000472,Project,,,,
DEFRA,EA,28/07/2015,ICT Systems,HO Capital WiP,Information Processing Ltd,1369605,595621.20,Creating asset management capacity Project,BA1 5LR,,30418286,FCPAM00093L02,Project,,,,
DEFRA,EA,09/07/2015,Fleet,HO Fleet Operations,Ashtead Plant Hire Co Ltd,1366920,571772.30,Operated and Non Operated Plant hire May 2015,WA3 6YE,,30380628,,Administration,,,,
DEFRA,EA,21/07/2015,Construction,NW Capital WiP,VBA Joint Venture Ltd,1369156,566768.92,River Mersey Warrington Flood risk Scheme,EN11 9BX,,30398134,IMNW000699,Project,,,,
DEFRA,EA,21/07/2015,Construction,AN Capital WiP,Team Van Oord,1365730,543572.08,Whittlesea Washes south bank barrier works assessments 1 2 3 4 & 5,RG14 5QS,,30384997,IMAN001790,Project,,,,
DEFRA,EA,16/07/2015,Construction,SW Capital WiP,Team Van Oord,1367619,522986.38,Steart Coastal Management Project,BN5 9XQ,,30142735,IMSW001389,Project,,,,
DEFRA,EA,01/07/2015,Professional Services Other,SE Capital WiP,OPUS International Consultants,1364745,518781.49,River Thames Scheme site investigation,NG5 1AF,,30309577,IMSE500260,Project,,,,
DEFRA,EA,16/07/2015,Operational Goods,National Enforcement Service,Post Office Ltd,1368851,480502.28,Post Office commission for rod licence sales 2015/16 season,PE4 5PG,,30180918,,Administration,,,,
DEFRA,EA,01/07/2015,Construction,SW Capital WiP,Team Van Oord,1365562,476747.96,Exeter Flood defence scheme,BN5 9XQ,,30384997,IMSW001349,Project,,,,
DEFRA,EA,01/07/2015,Construction,NE Yorkshire - FCRM W&SY,JBA Bentley Ltd,1364796,471721.31,Hensall Barrier Bank Modifications,BD23 2QR,,30387943,EXNE000019,Project,,,,
DEFRA,EA,01/07/2015,Construction,MI Capital WiP,GBV JV Ltd,1354811,469822.60,Asset recovery programme - emergency requirement to bring all of the damaged assets (as a result of the storms and floods) back up to standard (Midlands),RH1 1LQ,,30393506,IMMI001495,Project,,,,
DEFRA,EA,14/07/2015,Travel,National Technical Team,Redfern Travel Ltd,1367737,442294.19,National Travel Management Service June 2015,BD1 1PL,,30342649,,Administration,,,,
DEFRA,EA,01/07/2015,Professional Services - CCL,Finance Service Centre,Hays,1365378,433497.05,Provision of temporary staff June 2015,KT3 4JQ,,30409579,,Administration,,,,
DEFRA,EA,01/07/2015,Construction,AN Capital WiP,VBA Joint Venture Ltd,1365502,431157.02,Louth flood alleviation scheme Improvements ,EN11 9BX,,30398134,IMAN002230,Project,,,,
DEFRA,EA,07/07/2015,Construction,AN Capital WiP,JacksonHyder Ltd,1364692,416919.70,Ouse Washes Habitat Creation Scheme,IP1 5LT,,30395082,IMAN001070,Project,,,,
DEFRA,EA,07/07/2015,Professional Services - CCL,National Technical Team,Interserve FM Ltd,1365687,399722.00,"Faculties Management -  Cleaning, Pest control, Security etc - June 15.",BS32 4NH,,30369797,,Administration,,,,
DEFRA,EA,07/07/2015,Construction,NE Capital WiP,JBA Bentley Ltd,1366413,399499.74,Calder Valley flood risk reduction scheme to May 2015,BD23 2QR,,30387943,IMNE790454,Project,,,,
DEFRA,EA,14/07/2015,Construction,NW Capital WiP,JBA Bentley Ltd,1367582,397580.34,Heycop Pump Replacement June 2015,BD23 2QR,,30387943,IMNW000499,Project,,,,
DEFRA,EA,23/07/2015,Construction,NE Capital WiP,BMM JV Ltd,1370263,362683.41,Port Clarence & Greatham South flood alleviation scheme,EC2M 3UR,,30395760,IMNE000909,Project,,,,
DEFRA,EA,07/07/2015,Construction,NW Capital WiP,GBV JV Ltd,1364663,345527.82,River Mersey Warrington Flood risk Scheme,RH1 1LQ,,30393506,IMNW000699,Project,,,,
DEFRA,EA,01/07/2015,Construction,NW Capital WiP,GBV JV Ltd,1365830,339311.26,Salford flood alleviation Improvement works,RH1 1LQ,,30393506,IMNW000471,Project,,,,
DEFRA,EA,09/07/2015,Professional Services Other,NE North East Area Reservoir Op Agreement,Northumbrian Water,1366944,332836.80,Cow Green Operating Agreement for period 15/16,DH1 9WF,,,,Administration,,,,
DEFRA,EA,28/07/2015,Construction,SW Devon & Cornwall - FCRM,BMM JV Ltd,1368549,332206.16,Asset recovery programme - emergency requirement to bring all of the damaged assets (as a result of the storms and floods) back up to standard (Wessex Devon Cornwall),GU15 3XW,,30395760,RESW001323,Project,,,,
DEFRA,EA,01/07/2015,Construction,HO Capital WiP,JacksonHyder Ltd,1365748,326744.29,Asset recovery programme - emergency requirement to bring all of the damaged assets (as a result of the storms and floods) back up to standard (Kings Lynn),IP1 5LT,,30395082,IMHO000035,Project,,,,
DEFRA,EA,21/07/2015,Construction,MI Capital WiP,JacksonHyder Ltd,1368071,322952.41,Asset recovery programme - emergency requirement to bring all of the damaged assets (as a result of the storms and floods) back up to standard (Trent),IP1 5LT,,30395082,IMMI001502,Project,,,,
DEFRA,EA,21/07/2015,Construction,AN Eastern- FCRM Op (Norfolk & Suffolk),Broadland Environmental Services Ltd,1368993,321242.02,Broadland flood alleviation project June 2015,GU15 3XW,,30014973,REAN002279,Project,,,,
DEFRA,EA,16/07/2015,Construction,SE Capital WiP,Team Van Oord,1368264,316843.38,Asset recovery programme - emergency requirement to bring all of the damaged assets (as a result of the storms and floods) back up to standard (Benson Weir),BN5 9XQ,,30384997,IMSE500210,Project,,,,
DEFRA,EA,28/07/2015,Construction,NE Capital WiP,Galliford Try Infrastructure Ltd,1370235,306504.39,Skipton flood alleviation scheme,LE10 3JF,,,IMNE000164,Project,,,,
DEFRA,EA,13/07/2015,Professional Services Other,MI Capital WiP,National Grid Plc,1369079,290506.00,Gas utility alteration - Leicester Flood risk scheme,n/a,,,,Administration,,,,
DEFRA,EA,21/07/2015,Construction,AN Capital WiP,Freedom Group Of Companies Ltd,1368970,290158.08,Kennett & Wixoe Pumping Stations Control Panels & Switchgear Replacement,WF13 1SD,,,IMAN002019,Project,,,,
DEFRA,EA,01/07/2015,Construction,NW Capital WiP,VBA Joint Venture Ltd,1363371,285341.98,"State of the Nation assessment of flood risk, for England, to provide a current picture of flood risk",EN11 9BX,,30398134,IMNW000980,Project,,,,
DEFRA,EA,09/07/2015,Construction,SE Capital WiP,CH2M Hill UK,1366915,277642.64,Thames Estuary 2100 Annual Plan 15/16 - Regional Flood and Coastal Committee Thames,SW1P 2AL,,,IMSE100382,Project,,,,
DEFRA,EA,16/07/2015,Fleet,HO Fleet Operations,Hitachi Capital Vehicle Solutions Ltd,1368761,275774.28,Incident Management Services - July 2015.,RG14 2NU,,30340333,,Administration,,,,
DEFRA,EA,07/07/2015,Professional Services - CCL,Finance Service Centre,Capita Business Services Ltd,1366207,268820.18,Provision of temporary staff June 2015,SW1P 2AF,,30410440,,Administration,,,,
DEFRA,EA,14/07/2015,Professional Services - CCL,Finance Service Centre,Brook Street,1367364,268336.81,Provision of temporary staff June 2015,AL1 4JB,,30409578,,Administration,,,,
DEFRA,EA,16/07/2015,Fleet,HO Fleet Operations,Hitachi Capital Vehicle Solutions Ltd,1368856,266606.71,Lease Car Rentals - Rural Payments Agency - July 2015.,RG14 2NU,,30340333,HORES00187,Project,,,,
DEFRA,EA,07/07/2015,Construction,NW Capital WiP,JBA Bentley Ltd,1366342,263281.57,Yellow Dam remedial works May 2015,BD23 2QR,,30387943,IMNW000910,Project,,,,
DEFRA,EA,07/07/2015,Construction,NE Capital WiP,JBA Bentley Ltd,1366414,259115.96,Snaith Ings reservoir repairs May 2015,BD23 2QR,,30387943,IMNE000247,Project,,,,
DEFRA,EA,01/07/2015,Construction,SE Capital WiP,Mott Macdonald Ltd,1364347,255244.14,Shoreham Adur tidal walls scheme,LS10 1JR,,30384996,IMSO000648,Project,,,,
DEFRA,EA,28/07/2015,Professional Services Other,E and B Regulated Industry | Deputy Director of Radioactive Substances Regulation,NERC,1369929,250000.00,Radioactivity and the Environment (RATE) research programme,SN2 1EU,,,EBPRI11125 ,Project,,,,
DEFRA,EA,23/07/2015,Professional Services Other,Incident Management Manager,CEFAS,1369310,243778.20,Wave network supply of real time wave measurements,NR33 0HT,,,,Administration,,,,
DEFRA,EA,16/07/2015,Professional Services Other,HO Fleet Operations,Hitachi Capital Commercial Vehicle Services,1368780,239144.97,"Service, Inspection, Maintenance and Repair of Agricultural & Construction Plant",BA14 8QU,,30318149,,Administration,,,,
DEFRA,EA,09/07/2015,Personnel Related,HR Strategy,Edenred Childcare Vouchers Ltd,1368262,236535.94,Childcare Assistance scheme. This money is reclaimed through Salary Sacrifice from the employee on a monthly basis so the scheme is cost neutral,SW1V 2RS,,,,Administration,,,,
DEFRA,EA,16/07/2015,Fleet,HO Fleet Operations,Hitachi Capital Vehicle Solutions Ltd,1368748,223063.14,Service Repair & Maintenance of commercial vehicles June 2015,RG14 2NU,,30340333,,Administration,,,,
DEFRA,EA,07/07/2015,Fleet,HO Fleet Operations,Briggs Marine Contractors Ltd,1366173,220520.57,National Marine Vessel Services,KY3 9AX,,30277423,,Administration,,,,
DEFRA,EA,07/07/2015,Construction,SE Capital WiP,Team Van Oord,1366240,216131.47,Clays Lake upper mole Flood alleviation scheme,BN5 9XQ,,30384997,IMTH000956,Project,,,,
DEFRA,EA,28/07/2015,Professional Services Other,SE Capital WiP,Fugro Seacore Ltd,1370282,210004.36,Windsor Flood Channel - site investigation,OX10 9RB,,30309576,IMSE500260,Project,,,,
DEFRA,EA,01/07/2015,Construction,SW Capital WiP,Team Van Oord,1365731,208200.91,Congresbury Yeo tidal banks works,BN5 9XQ,,30384997,IMSW000866,Project,,,,
DEFRA,EA,09/07/2015,Energy and Fuels,HO Fleet Operations,Allstar Business Solutions Ltd,1366741,208149.02,Fuel charges - June 2015,SN5 6PQ,,30341204,,Administration,,,,
