Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number
Department of Health,Department of Health,08/09/2014,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,CROYDON HEALTH SERVICES NHS TRUST,HAFS-17380,4864000,,CR7 7YE,,Other,PUBLIC,
Department of Health,Department of Health,08/09/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-17381,1568000,,MK6 5LD,,Other,PUBLIC,
Department of Health,Department of Health,08/09/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,HAFS-17382,1000000,,NE27 0QJ,,Other,PUBLIC,
Department of Health,Department of Health,08/09/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,HAFS-17383,200000,,NE27 0QJ,,Other,PUBLIC,
Department of Health,Department of Health,08/09/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,HAFS-17384,180000,,NE27 0QJ,,Other,PUBLIC,
Department of Health,Department of Health,08/09/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,HAFS-17385,82000,,NE27 0QJ,,Other,PUBLIC,
Department of Health,Department of Health,08/09/2014,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,WEST MIDDLESEX UNIVERSITY NHS TRUST,HAFS-17386,1250000,,TW7 6AF,,Other,PUBLIC,
Department of Health,Department of Health,30/09/2014,Research & development,DG: RDD,NORTH BRISTOL NHS TRUST,ERS-527452-94461,89187.66,A randomised controlled trial to determine the clinical and cost effectiveness of thulium laser transurethral vaporesection of the prostrate... Lead Author: Mr Hashim Hashim 12/35/15,BS1 2NP,,Programme,PUBLIC,
Department of Health,Department of Health,30/09/2014,Research & development,DG: RDD,WHITTINGTON HOSPITAL NHS TRUST,ERS-527421-94290,99017,RP-PG-0609-10135,N19 5NF,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Outsourcing Contract,DG: GOAD,NHS SHARED BUSINESS SERVICES SBS,100026513,92563.5,Annual Support Costs for BMS as per CCN Number: DHBMS.006.01/14 - From April 2014 - March 2015,WF3 1WE,,Admin,PUBLIC,
Department of Health,Department of Health,11/09/2014,IT minor costs non capital,DG: SFNHS,NHS SHARED BUSINESS SERVICES SBS,100026520,34231.17,SBS - Images,WF3 1WE,,Admin,PUBLIC,
Department of Health,Department of Health,11/09/2014,Other programme expenditure,DG: GOAD,NHS PROPERTY SERVICES LTD,3RD INSTALMENT,45605.03,,SE1 6LH,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-526448-93726,41922,Network Research Capability Funding,L12 2AP,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-526448-93726,40530,Network Research Capability Funding,L12 2AP,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-526449-93811,116645,Research Capability Funding (STANDARD),E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-526449-93811,2451950,NIHR Fellowships,E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-526449-93811,77484,Research Capability Funding (STANDARD),E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-526449-93811,83335,Biomedical Units,E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-526449-93811,52805,Biomedical Units,E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-526449-93811,109290,NIHR Biomedical Research Fellowship,E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-526451-93766,25402,Research Capability Funding (STANDARD),B15 2PZ,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-526457-93723,58750,NIHR Fellowships,WF3 1WE,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-526457-93723,17075,NIHR Fellowships,WF3 1WE,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-526457-93723,63247,NIHR Fellowships,WF3 1WE,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-526458-93765,54545,Research Capability Funding (STANDARD),BN2 3EW,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-526458-93765,39962,Health Technology Co-operatives,BN2 3EW,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-526463-93729,607692,CLAHRCs,CB2 2QQ,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-526463-93729,17735,NIHR Diagnostic Evidence Cooperatives,CB2 2QQ,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-526463-93729,50000,CLAHRCs,CB2 2QQ,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-526463-93729,197255,Research Capability Funding (STANDARD),CB2 2QQ,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-526463-93729,87652,Comprehensive Networks,CB2 2QQ,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-526463-93729,2010753,Comprehensive Networks,CB2 2QQ,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-526466-93752,166666,NIHR Fellowships,CB1 5EE,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-526466-93752,45110,Integrated Academic Training,CB1 5EE,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-526467-93808,68860,Professorship Awards,NW1 0PE,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,ERS-526468-93756,27549,School of Primary Care Research,NW1 7QY,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-526469-93759,122745,NIHR Fellowships,M13 0JR,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-526469-93759,91667,NIHR Fellowships,M13 0JR,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-526469-93759,100000,NIHR Fellowships,M13 0JR,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-526469-93759,26643,NIHR Fellowships,M13 0JR,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-526469-93759,65338,NIHR Fellowships,M13 0JR,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-526469-93759,1494340,NIHR Fellowships,M13 0JR,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-526470-93747,164557,NIHR Fellowships,SW10 9NH,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-526470-93747,42543,NIHR Fellowships,SW10 9NH,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-526475-93743,610960,Biomedical Units,WC1N 3JH,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-526475-93743,187482,Research Capability Funding (STANDARD),WC1N 3JH,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-526476-93767,14258,CRFs - CRII,M25 3BL,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-526476-93767,22956,CLAHRCs,M25 3BL,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-526477-93734,15112,Network Research Capability Funding,SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-526477-93734,1015028,Network Research Capability Funding,SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-526477-93734,102604,Research Capability Funding (STANDARD),SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-526477-93734,66097,Research Capability Funding (STANDARD),SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-526477-93734,67014,Research Capability Funding (STANDARD),SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-526477-93734,1796240,Biomedical Units,SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-526477-93734,321124,NIHR Biomedical Research Fellowship,SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-526480-93768,1068750,Network Research Capability Funding,W12 0HS,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-526480-93768,50937,Network Research Capability Funding,W12 0HS,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-526480-93768,61189,Comprehensive Networks,W12 0HS,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-526480-93768,134402,Comprehensive Networks,W12 0HS,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-526480-93768,1904656,NIHR Fellowships,W12 0HS,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-526480-93768,548360,Research Capability Funding (STANDARD),W12 0HS,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-526480-93768,197927,Quality and Safety Research Centres,W12 0HS,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-526485-93736,24927,Research Capability Funding (STANDARD),SE5 9RS,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-526485-93736,89225,NIHR Fellowships,SE5 9RS,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-526485-93736,54528,NIHR Fellowships,SE5 9RS,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-526489-93749,166057,NIHR Fellowships,LS9 7TF,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-526489-93749,67774,Network Research Capability Funding,LS9 7TF,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-526489-93749,48433,Network Research Capability Funding,LS9 7TF,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-526489-93749,13068,Research Capability Funding (STANDARD),LS9 7TF,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-526489-93749,11037,Bio-Medical Centres,LS9 7TF,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-526489-93749,112276,CRFs - CRII,LS9 7TF,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-526498-93807,58475,Comprehensive Networks,M21 9UN,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-526501-93744,130802,CLAHRCs,EC1V 2PD,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-526501-93744,100924,Network Research Capability Funding,EC1V 2PD,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-526501-93744,480195,Network Research Capability Funding,EC1V 2PD,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-526503-93806,114689,Biomedical Units,LS15 7TW,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,NHS BRISTOL CCG 11H,ERS-526505-93814,66576,Research Capability Funding (STANDARD),BS1 3NX,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,NHS Cambridgeshire and Peterborough CCG 06H,ERS-526506-93813,49859,NIHR Fellowships,CB2 8FH,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,NHS LIVERPOOL CCG,ERS-526507-93817,84000,NIHR Fellowships,L1 4AZ,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,NHS NORTH STAFFORDSHIRE CCG 05G,ERS-526508-93815,26906,NIHR Fellowships,ST5 1QG,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,NHS OXFORDSHIRE CCG 10Q,ERS-526509-93812,65283,NIHR Fellowships,OX4 2LH,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-526510-93739,67699,NIHR Fellowships,NR4 7UY,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-526510-93739,1672105,NIHR Fellowships,NR4 7UY,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-526510-93739,45494,NIHR Fellowships,NR4 7UY,,Programme,PUBLIC,
Department of Health,Department of Health,11/09/2014,Research & development,DG: RDD,NORTH BRISTOL NHS TRUST,ERS-526511-93758,11041,NIHR Fellowships,BS1 2NP,,Programme,PUBLIC,
