Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
DfE,PfS,11/02/2011,Capital Grant,Schools Capital and Revenue Grants,IQRA SCHOOL,310487,87750,
DfE,PfS,11/02/2011,Development of DQI Schools,Director Education & Planning,CONSTRUCTION INDUSTRY COUNCIL,310497,47574.58,
DfE,PfS,15/02/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,310676,82402.13,
DfE,PfS,15/02/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,310680,128375.44,
DfE,PfS,15/02/2011,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,310682,75858.17,
DfE,PfS,15/02/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,310686,564582.37,
DfE,PfS,15/02/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION INC NO 3 ACCOUNT,310694,89505,
DfE,PfS,15/02/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,310696,124483.21,
DfE,PfS,15/02/2011,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE DIOCESAN EDUCATION BOARD,310700,85706.15,
DfE,PfS,15/02/2011,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,310704,192144.61,
DfE,PfS,15/02/2011,Capital Grant,Schools Capital and Revenue Grants,HIGHAMS PARK SCHOOL CAPITAL ACCOUNT,310706,40576.49,
DfE,PfS,15/02/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,310708,50952.04,
DfE,PfS,15/02/2011,Capital Grant,Schools Capital and Revenue Grants,OUR LADY OF PERPETUAL HELP,310710,116493.2,
DfE,PfS,15/02/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON BOROUGH OF LEWISHAM - ORCHARD SCHOOL,310712,219538.98,
DfE,PfS,15/02/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,310714,51923.01,
DfE,PfS,15/02/2011,S4PL Projects,Design Management,DEGW UK LIMITED,310728,211354.8,
DfE,PfS,15/02/2011,Capital Grant,Schools Capital and Revenue Grants,DICKINSON DEES,315582,180000,
DfE,PfS,16/02/2011,VA Schools PFI Payments,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,310748,177597.43,
DfE,PfS,16/02/2011,VA Schools PFI Payments,Schools Capital and Revenue Grants,JEWISH FREE SCHOOL - UNITARY CHARGE ACCOUNT,310750,225617.44,
DfE,PfS,17/02/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,310916,234560.1,
DfE,PfS,17/02/2011,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,310918,46497.43,
DfE,PfS,17/02/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,310930,202141.67,
DfE,PfS,17/02/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,310938,37112.41,
DfE,PfS,17/02/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,310942,119561.17,
DfE,PfS,17/02/2011,Capital Grant,Schools Capital and Revenue Grants,ST EDWARDS PRIMARY SCHOOL BUILDING ACCOUNT,310950,29047.15,
DfE,PfS,17/02/2011,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL ARCHDIOCESIAN SCHOOL REPAIR ACCOUNT,310952,175182.65,
DfE,PfS,17/02/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION INC NO 3 ACCOUNT,310956,29221.91,
DfE,PfS,17/02/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION NO.4 ACCOUNT,310958,401771.91,
DfE,PfS,17/02/2011,Capital Grant,Schools Capital and Revenue Grants,OLD SWINFORD HOSPITAL EDUCATION,310970,39227.77,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,311130,138604.92,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,311132,60883.23,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,311134,25577.08,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,311136,96481.26,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,311140,88737.16,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,311144,61961.31,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,311146,156509.35,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,LEICESTERSHIRE CATHOLIC SCHOOLS COUNCIL,311148,151259.72,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,311152,95018.74,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,ROYAL ALEXANDRA AND ALBERT SCHOOL,311156,41958,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,OUR LADY OF RANSOM GOVERNMENT BUILDINGS + MAINTENANCE ACCOUNT,311160,97983,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,ST TERESAS ROMAN CATHOLIC PRIMARY SCHOOL GOVERNORS ACCO,311162,26929.65,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,311168,82501.53,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION INC NO 3 ACCOUNT,311170,101764.67,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION NO.4 ACCOUNT,311174,25789.58,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,311176,38956.61,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,311180,58531.56,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED SCHOOLS CONDITION SCHEME NO 2 ACCOUNT,311186,35256.63,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,DURHAM DIOCESAN BOARD OF FINANCE SCHOOLS BUILDINGS SERVICES,311190,34314.84,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,EDUCATIONAL DEVELOPMENT LTD - SCHOOLS ACCOUNT,311196,80100.14,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,311342,60472.56,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE,311344,34144.94,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,311354,105096.68,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,311356,120087.29,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,311358,351784.79,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,311360,75760.65,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,ST EDWARDS CHURCH OF ENGLAND PRIMARY SCHOOL,311362,35640.54,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,311364,40673.47,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,BRENTWOOD ROMAN CATHOLIC DIOCESAN TRUSTEES SCHOOL BUILDINGS ACCOUNT,311368,62335.95,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL ARCHDIOCESIAN SCHOOL REPAIR ACCOUNT,311372,116460.9,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED - ST WALBURGA'S SCHOOL,311378,190165.11,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,311382,81793.21,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION NO.4 ACCOUNT,311384,67469.21,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,311388,31239.68,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,ST BENEDICT'S SCHOOL GOVERNMENT CAPITAL ACCOUNT,311390,108000,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,311392,120379.79,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED SCHOOLS CONDITION SCHEME NO 2 ACCOUNT,311394,46200.23,
DfE,PfS,18/02/2011,Capital Grant,Schools Capital and Revenue Grants,COVENTRY DIOCESAN BOARD OF EDUCATION,311396,43180.45,
