Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONSULTANTS VAT RECOVERABLE,ERG PERFORMANCE AND PLANNING,PRICEWATERHOUSE COOPERS LLP,3000058497,39242.00,"Support developing, and assuring savings and benefit realisation evidence.",,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000058434,39348.16,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),CENTRE FOR SOCIAL ACTION,LANCASTER UNIVERSITY,3000058312,39946.80,Evaluation of the Social Action End of Life Fund,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,SOUTH LAKELAND DISTRICT COUNCIL,3000058608,40161.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election and Individual Electoral Registration costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,MANAGEMENT CONFERENCES,MANAGEMENT AND CENTRAL SUPPORT,CALDER WORLD OF TRAVEL,3000058247,40163.65,Civil Service Live costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CALL CHARGES,ICT SERVICES,BT GLOBAL SERVICES.,3000058637,40909.67,Telecomms charges,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,SERVICE CHARGES,DOVER HOUSE,SCOTLAND OFFICE,3000058379,40999.14,Facilities Management Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,WAKEFIELD DISTRICT COUNCIL,3000058357,41480.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONSULTANTS VAT RECOVERABLE, ERG CIVIL SERVICE PEOPLE SURVEY,SCRAPERWIKI LTD,3000058467,41800.00,People Survey digital reporting tool build and maintenance,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,NON PRIME UTILITIES,FEM MISC,BOUYGUES E&S FM UK LTD,3000058692,44728.14,Facilities Management Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,ISA 2 Prog,RISUAL LTD,3000058431,44887.50,IT Support for CERT UK,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,SOUTH NORFOLK DISTRICT COUNCIL,3000058462,45427.84,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election and Individual Electoral Registration costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,FM CONTRACT VARIABLE,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000058692,46516.52,Facilities Management Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,TELECOM RENTALS,TELEPHONE SERVICES,FOOD STANDARDS AGENCY,3000058576,46587.60,Telecomms charges,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),CENTRE FOR SOCIAL ACTION,THE NUFFIELD TRUST,3000058228,47320.88,Evaluation of grant projects under Reducing Pressures on Hospitals Fund,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA BUSINESS SERVICES LTD,3000058434,47529.56,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,THOUGHTWORKS LTD,3000058435,49462.50,Agile Coach services provided to the Exemplar Programme,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS PRIVATE SECTOR,CHARITABLE GIVING,ITV TEXT SANTA LTD,3000058255,50000.00,"Grant to support the ITV Text Santa Appeal 2014, encouraging more people to get involved in volunteering and incentivising financial donations",,,,,,,,,,
