Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT Registration Number
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,United Kingdom Anti Doping Ltd,50000077,"800,000.00",UKAD GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,United Kingdom Sports Council,50000075,"6,503,587.00",UKSC GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Victoria & Albert Museum,50000072,"4,893,000.00",V&A GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Tourism bodies,Visit Britain,50000046,"3,372,000.00",VB GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Wallace Collection,50000068,"245,500.00",WC GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,03/04/2012,International Subscriptions,Spectrum + Broadband prog cost,COMNET,30025840,"65,000.00",CYBERCRIME INITIATIVE FUND
Department for Culture Media and Sport,Department for Culture Media and Sport,03/04/2012,Basic Pay (Secondees),Broadband Delivery UK (Admin),HM Treasury ,30025881,"37,500.00",FEE RECOVERY
Department for Culture Media and Sport,Department for Culture Media and Sport,03/04/2012,Grant to OGD (Resource),Spectrum Clearance Programme,Home Office ,30025890,"430,517.02",MAJOR PROJECTS - RENOVE
Department for Culture Media and Sport,Department for Culture Media and Sport,03/04/2012,Grant-in-Aid (DCMS NDPBs),The Royal Parks - funding,The Royal Parks,50000088,"3,399,617.00",TRP GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,04/04/2012,Government Procurement Card,Procurement,Barclays Bank plc,30025783,"50,837.42",GPC_FEB_2012
Department for Culture Media and Sport,Department for Culture Media and Sport,04/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Libraries bodies,British Library,50000049,"7,280,054.00",BL GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,04/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,British Museum,50000050,"3,785,898.00",BM GIA APRIL 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,04/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,English Heritage,50000073,"10,000,000.00",EH GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,04/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,HM Treasury ,30025910,"33,333.33",FITTING OUT HORSEGUARDS PARADE
Department for Culture Media and Sport,Department for Culture Media and Sport,04/04/2012,IT Consumables,GOE Admin Costs,HM Treasury ,30025910,"166,666.67",FITTING OUT HORSEGUARDS PARADE
Department for Culture Media and Sport,Department for Culture Media and Sport,04/04/2012,Research,EAU Policy Research + Eval,National Centre for Social Research,30025911,"53,000.00",BSA MODULE
Department for Culture Media and Sport,Department for Culture Media and Sport,04/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Gallery,50000052,"1,818,221.00",NG GIA APRIL 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,04/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Maritime Museum,50000070,"1,404,000.00",NMM GIA APRIL 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,04/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Tate Gallery,50000057,"3,734,333.00",TATE GIA APR 12
Department for Culture Media and Sport,Department for Culture Media and Sport,04/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,TNS UK LTD,30025883,"23,038.69",TAKING PART Y7 FEB/MAR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,04/04/2012,Research,EAU Taking Part Survey,TNS UK LTD,30025883,"115,193.44",TAKING PART Y7 FEB/MAR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,05/04/2012,Grant to Public Broadcasting Corporation,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50000060,"35,674,750.00",BBC GIA APR 2012-PT2
Department for Culture Media and Sport,Department for Culture Media and Sport,10/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Technologia,30025971,"4,705.00",VALUE OF OPTIMAL MANAGEMENT OF CHANNEL
Department for Culture Media and Sport,Department for Culture Media and Sport,10/04/2012,Research,EAU Policy Research + Eval,Technologia,30025971,"23,525.00",VALUE OF OPTIMAL MANAGEMENT OF CHANNEL
Department for Culture Media and Sport,Department for Culture Media and Sport,10/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,TNS UK LTD,30025965,"8,263.50",TAKING PART EAST LONDON
Department for Culture Media and Sport,Department for Culture Media and Sport,10/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,TNS UK LTD,30025966,"8,263.50",TAKING PART EAST LONDON
Department for Culture Media and Sport,Department for Culture Media and Sport,10/04/2012,Research,EAU Taking Part Survey,TNS UK LTD,30025965,"41,317.50",TAKING PART EAST LONDON
Department for Culture Media and Sport,Department for Culture Media and Sport,10/04/2012,Research,EAU Taking Part Survey,TNS UK LTD,30025966,"41,317.50",TAKING PART EAST LONDON
Department for Culture Media and Sport,Department for Culture Media and Sport,11/04/2012,Grant to Public Broadcasting Corporation,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50000061,"140,000,000.00",BBC GIA APR 2012-PT3
Department for Culture Media and Sport,Department for Culture Media and Sport,12/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Plum Consulting,30025985,"4,800.00",PROFESSIONAL FEES
Department for Culture Media and Sport,Department for Culture Media and Sport,12/04/2012,Research,EAU Policy Research + Eval,Plum Consulting,30025985,"24,000.00",PROFESSIONAL FEES
Department for Culture Media and Sport,Department for Culture Media and Sport,12/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Treasury Solicitors,30025969,"28,609.75",CHARGES TO 31.3.12
Department for Culture Media and Sport,Department for Culture Media and Sport,12/04/2012,TSOL Advice Billed Hours,Legal Advisers to DCMS (TSOL),Treasury Solicitors,30025969,"143,048.75",CHARGES TO 31.3.12
Department for Culture Media and Sport,Department for Culture Media and Sport,13/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,BIS,30025974,"6,000.00",RECOVERY OF FEES - PROJECT ANALYSIS & MA
Department for Culture Media and Sport,Department for Culture Media and Sport,13/04/2012,Oth Professional Services Prog,Spectrum + Broadband prog cost,BIS,30025974,"30,000.00",RECOVERY OF FEES - PROJECT ANALYSIS & MA
Department for Culture Media and Sport,Department for Culture Media and Sport,13/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Carillion Services Ltd,30026003,"11,939.14",FACILITIES SERVICES
Department for Culture Media and Sport,Department for Culture Media and Sport,13/04/2012,Accommodation Management Fees,Estates & Property Services,Carillion Services Ltd,30026003,"59,695.68",FACILITIES SERVICES
Department for Culture Media and Sport,Department for Culture Media and Sport,18/04/2012,Subsidy to PC,OFCOM,BIS,30026023,"90,748.77",MOG TFR OF OFCOM
Department for Culture Media and Sport,Department for Culture Media and Sport,18/04/2012,Grant to Public Broadcasting Corporation,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50000062,"35,674,750.00",BBC GIA APR 2012-PT4
Department for Culture Media and Sport,Department for Culture Media and Sport,18/04/2012,Reimbursement of Agreed Costs,Nations and Regions,Ironbridge Gorge Museum Trust,30026044,"30,000.00",FUNDING RE FAMES AND ME
Department for Culture Media and Sport,Department for Culture Media and Sport,18/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Treasury Solicitors,30026060,"6,728.67",CHARGES TO 31.3.12
Department for Culture Media and Sport,Department for Culture Media and Sport,18/04/2012,TSOL Disbursement Costs,Legal Advisers to DCMS (TSOL),Treasury Solicitors,30026060,"49,413.33",CHARGES TO 31.3.12
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,AEGIS spectrum engineering,30026090,"4,600.00",DELIVERY OF REPORT
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,Research equipment testing,Spectrum + Broadband prog cost,AEGIS spectrum engineering,30026090,"23,000.00",DELIVERY OF REPORT
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,Grant to Public Broadcasting Corporation,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50000063,"35,674,750.00",BBC GIA APRIL 2012-PT5
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,KPMG LLP,30026097,"17,329.50",BDUK DELIVERY SUPPORT
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,KPMG LLP,30026096,"18,212.12","SUPPORT FOR RURAL, MIP & URBAN BROAD"
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,Management Consultants,Broadband Delivery UK (Admin),KPMG LLP,30026097,"339,736.72",BDUK DELIVERY SUPPORT
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,Management Consultants,Broadband Delivery UK (Admin),KPMG LLP,30026096,"366,677.52","SUPPORT FOR RURAL, MIP & URBAN BROAD"
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,Temp staff Interim managers,Broadband Delivery UK (Admin),Local Partnerships,30026024,"87,843.72",LOCAL PARTNERSHIP FEES
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,Capital Grant Private Sector,Grant support to NFTS,National Film & Television School,50000095,"238,083.00",NFTS GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Pinsent Masons,30026030,"7,971.25",PROFESSIONAL CHARGES 17.01-24.02.12
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Pinsent Masons,30026026,"11,299.63",PROFESSIONAL CHARGES 27.02-27.03.12
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Pinsent Masons,30026027,"15,200.81",PROFESSIONAL CHARGES 08.02-21.03.12
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Pinsent Masons,30026022,"18,276.82",PROFESSIONAL CHARGES
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,Legal Services - Programme,Broadband Delivery UK (Admin),Pinsent Masons,30026030,"39,856.26",PROFESSIONAL CHARGES 17.01-24.02.12
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,Legal Services - Programme,Broadband Delivery UK (Admin),Pinsent Masons,30026026,"56,498.15",PROFESSIONAL CHARGES 27.02-27.03.12
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,Legal Services - Programme,Broadband Delivery UK (Admin),Pinsent Masons,30026027,"76,004.03",PROFESSIONAL CHARGES 08.02-21.03.12
Department for Culture Media and Sport,Department for Culture Media and Sport,24/04/2012,Legal Services - Programme,Broadband Delivery UK (Admin),Pinsent Masons,30026022,"91,384.10",PROFESSIONAL CHARGES
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Liberata UK Ltd,30026052,"4,408.38",ACCOUNTING SERVICES
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,Finance & Accounting Services,Finance & Planning,Liberata UK Ltd,30026052,"22,041.87",ACCOUNTING SERVICES
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,Reimbursement of Agreed Costs,GOE managed programme costs,LOCOG ,30026149,"79,800.00","OLYMPIC BATON COST x 19,000"
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,M&C Saatchi,30026086,"4,666.76",VISIT ENGLAND RADIO
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,M&C Saatchi,30026085,"6,264.00",AGENCY FEES
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,M&C Saatchi,30026083,"6,397.80",GREAT AGENCY FEES
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,M&C Saatchi,30026087,"15,423.77",PRODUCE CINEMA MASTER
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,Publicity,GREAT Tourism Promotion Admin,M&C Saatchi,30026086,"23,333.80",VISIT ENGLAND RADIO
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,Publicity,GREAT Tourism Promotion Admin,M&C Saatchi,30026085,"31,320.00",AGENCY FEES
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,Publicity,GREAT Tourism Promotion Admin,M&C Saatchi,30026083,"31,989.00",GREAT AGENCY FEES
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,Publicity,GREAT Tourism Promotion Admin,M&C Saatchi,30026087,"77,118.87",PRODUCE CINEMA MASTER
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,M4C,30026071,"5,095.52",Client Ref E11VE.03.001.ADS
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,M4C,30026070,"6,845.70",E00486304 & E00486303
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,Publicity,GREAT Tourism Promotion Admin,M4C,30026071,"25,501.96",Client Ref E11VE.03.001.ADS
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,M4C,30026105,"30,895.24",
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,M4C,30026106,"31,471.18",E11VE.03.001.ADS
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,Publicity,GREAT Tourism Promotion Admin,M4C,30026070,"34,262.69",E00486304 & E00486303
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,M4C,30026074,"34,926.06",E11VE.03.001.ADS
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,M4C,30026072,"42,481.99",Taxonomy Code: E11VE.03.001.ADS
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,VAT-Recoverable Contracted-Out,Misc Balance Sheet,M4C,30026073,"71,146.99",Client Ref E11VE.03.001.ADS
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,Publicity,GREAT Tourism Promotion Admin,M4C,30026105,"154,630.67",
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,Publicity,GREAT Tourism Promotion Admin,M4C,30026106,"157,513.31",E11VE.03.001.ADS
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,Publicity,GREAT Tourism Promotion Admin,M4C,30026074,"174,804.98",E11VE.03.001.ADS
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,Publicity,GREAT Tourism Promotion Admin,M4C,30026072,"212,409.96",Taxonomy Code: E11VE.03.001.ADS
Department for Culture Media and Sport,Department for Culture Media and Sport,25/04/2012,Publicity,GREAT Tourism Promotion Admin,M4C,30026073,"356,081.37",Client Ref E11VE.03.001.ADS
Department for Culture Media and Sport,Department for Culture Media and Sport,26/04/2012,Current Grants to LAs,GOE managed programme costs,Weymouth & Portland Borough Council,30026164,"780,800.00",GRANT CLAIM
Department for Culture Media and Sport,Department for Culture Media and Sport,27/04/2012,DCMS Wolfson Round 1 2012/13,Gross payment of joint funded grant,Historic Royal Palaces,30026225,"49,886.96",WOLFSON/ROUND1
Department for Culture Media and Sport,Department for Culture Media and Sport,27/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Mus Libs Archives x-sector,Museums Libraries and Archives Council,30026169,"651,750.49",MLA_CAPITA_ERC_SETTLEMENt
Department for Culture Media and Sport,Department for Culture Media and Sport,27/04/2012,DCMS Wolfson Round 1 2012/13,Gross payment of joint funded grant,Southampton City Council,30026168,"200,000.00",DCMS/WOLFSON1
Department for Culture Media and Sport,Department for Culture Media and Sport,27/04/2012,Grant-in-Aid (DCMS NDPBs),The Royal Parks - funding,The Royal Parks,50000123,"2,712,353.00",TRP GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,27/04/2012,DCMS Wolfson Round 1 2012/13,Gross payment of joint funded grant,Weald & Downland Open Air Museum,30026165,"27,500.00",DCMS/WOLFSON1
Department for Culture Media and Sport,Department for Culture Media and Sport,27/04/2012,National Non-Domestic Rates,Estates & Property Services,Westminster City Council-Business Rates,30025861,"25,334.00",CS RATES 6TH FLOOR INSTALMENT
Department for Culture Media and Sport,Department for Culture Media and Sport,27/04/2012,National Non-Domestic Rates,Estates & Property Services,Westminster City Council-Business Rates,30025852,"164,432.00",CS RATES BASEMENT TO 4TH INSTALMENT
Department for Culture Media and Sport,Department for Culture Media and Sport,30/04/2012,Superannuation (payroll),Information Services,Atos IT Services UK Limited,30026147,"171,463.74",PROCUREMENT / DEVELOPEMENT / HOSTING
Department for Culture Media and Sport,Department for Culture Media and Sport,30/04/2012,Office Accomm Service Charges,Estates & Property Services,Carillion Services Limited,30026046,"193,050.30",SERVICE CHARGE 36.-24.06.12
Department for Culture Media and Sport,Department for Culture Media and Sport,30/04/2012,Grant-in-Aid (DCMS NDPBs),The Royal Parks - funding,The Royal Parks,50000129,"2,712,353.00",TRP GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,50000130,"22,877,727.00",ACE GAI MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,50000112,"2,487,359.00",BFI GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Temp staff Interim managers,Broadband Delivery UK (Admin),Capita Resourcing Ltd,30026224,"81,982.49",M KIELY P/E 5/11/11 - 24/3/12
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Current Grants Private Sector,GIA Architecture+Heritage,Chatham Historic Dockyard Trust,50000107,"44,666.00",CHDT GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Geffrye Museum,50000097,"143,584.00",GM GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Current Grants Private Sector,GIA Architecture+Heritage,Greenwich Foundation for the RN College,50000106,"223,666.00",GF ORNC GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Horniman Museum,50000098,"326,500.00",HM GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Imperial War Museum,50000118,"1,955,201.00",IWM GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Temp staff Interim managers,Broadband Delivery UK (Admin),Local Partnerships,30026243,"95,878.80",BDUK PROGRAMME MARCH 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Museums & Galleries Merseyside,50000128,"1,796,366.00",NML GIA MAY 12
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Portrait Gallery,50000101,"606,417.00",NPG GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Natural History Museum,50000121,"3,813,000.00",NHM GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Capital Grants to PCs,OFCOM,OFCOM,50000125,"4,856,828.00",OFCOM GIA MAY 12 - PT2
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Capital Grants to PCs,OFCOM,OFCOM,50000126,"4,863,000.00",OFCOM GIA MAY 12 - PT3
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Libraries bodies,Public Lending Right,50000099,"45,190.00",PLR GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA S4C Welsh Fourth Channel,S4C-Sianel Pedwar Cymru,50000116,"8,140,870.00",S4C GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Science Museum Group,50000127,"3,613,250.00",NMSI GIA MAY 12
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Sir John Soane's Museum,50000102,"91,859.00",SJSM GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport England,50000117,"10,000,000.00",SE GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport Ground Safety Authority,50000094,"98,000.00",SGSA GIA MAY 12
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,The Royal Armouries,50000119,"688,000.00",RA GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,United Kingdom Anti Doping Ltd,50000113,"469,800.00",UKAD GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,United Kingdom Sports Council,50000115,"7,003,974.00",UKS GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Victoria & Albert Museum,50000105,"3,392,000.00",V&A GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Tourism bodies,Visit Britain,50000096,"5,563,000.00",VB GIA MAY 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Wallace Collection,50000103,"245,500.00",TWC GIA MAY 2012
