Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Cabinet Office,CABINET OFFICE,10/01/2011,Grants-in-Aid to NDPB's,OFFICE OF THE THIRD SECTOR NDPBS,COMMISSION FOR THE COMPACT,3000014024,"150,000.00",Commission for the Compact grant-in-aid
Cabinet Office,CABINET OFFICE,10/01/2011,Other Staff Related Costs,CIVIL SERVICE CAPABILITIES GROUP,PARITY SOLUTIONS LTD,3000014039,"81,506.02",Fast Stream Recruitment
Cabinet Office,Buying Solutions,11/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19105,"103,181.50",Government Managed Telecoms Contract
Cabinet Office,CABINET OFFICE,11/01/2011,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000014059,"80,269.22",Monthly utilities cost
Cabinet Office,CABINET OFFICE,11/01/2011,IT Costs,DIRECTGOV,CIMEX MEDIA LTD,2018942657,"38,331.36","Maintenance and update of mobile site, including hosting, maintenance of service and handset recognition services"
Cabinet Office,Cabinet Office,11/01/2011,VAT Control Account,ERG - Office of Government Commerce,HM REVENUE AND CUSTOMS,89989,"141,896.70",Quarterly VAT return
Cabinet Office,CABINET OFFICE,12/01/2011,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000014071,"248,845.92",Building Renovation of 10 Downing Street
Cabinet Office,CABINET OFFICE,12/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BOLTON LADS & GIRLS CLUB,3000014068,"36,866.00",National Citizen Service project grant
Cabinet Office,CABINET OFFICE,12/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE PRINCES TRUST,3000014079,"50,138.00",National Citizen Service project grant 
Cabinet Office,CABINET OFFICE,12/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SOCIAL ENTERPRISE COALITION,3000014075,"178,000.00",Final instalment 2010-11 Strategic grant
Cabinet Office,CABINET OFFICE,13/01/2011,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000014086,"58,007.70",Facilities Management Services
Cabinet Office,CABINET OFFICE,13/01/2011,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,COI CENTRAL OFFICE OF INFORMATION,3000014084,"42,943.78",Payment for the delivery of the Queens Award for Voluntary Service
Cabinet Office,CABINET OFFICE,13/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE FOOTBALL LEAGUE COMMUNITY LTD,3000014095,"108,397.00",National Citizen Service project grant
Cabinet Office,CABINET OFFICE,13/01/2011,Grants -in-Aid to Private Sector,OFFICE FOR CIVIL SOCIETY,TIMEBANK,3000014097,"175,100.00",Final instalment 2010-11 Strategic grant
Cabinet Office,CABINET OFFICE,13/01/2011,Grants -in-Aid to Private Sector,OFFICE FOR CIVIL SOCIETY,VOLUNTEERING ENGLAND,3000014098,"551,900.00",Final instalment 2010-11 Strategic grant
Cabinet Office,CABINET OFFICE,13/01/2011,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000014088,"2,330,032.21",ICT Services charge for FLEX system
Cabinet Office,CABINET OFFICE,13/01/2011,IT Costs,GOVERNMENT CIO,NINIAN SOLUTIONS LTD,3000014094,"37,389.68",Licensing costs for Huddle collaboration software
Cabinet Office,Capacity Builders,13/01/2011,Grant,Programmes,Coast and Moors Voluntary Action,1920,"60,078.06",Capital Investment Programme Grant - Strand C
Cabinet Office,Capacity Builders,13/01/2011,Grant,Programmes,Gateshead Citizens Advice Bureau,1924,"42,706.00",Capital Investment Programme Grant - Strand C
Cabinet Office,Capacity Builders,13/01/2011,Grant,Programmes,"Cheshire, Halton and Warrington Race and Equality Centre",2182,"34,370.00",Improving Reach Programme Grant
Cabinet Office,Capacity Builders,13/01/2011,Grant,Programmes,Consortia of Ethnic Minority Organisations Limited,2214,"31,417.25",Improving Reach Programme Grant
Cabinet Office,Capacity Builders,13/01/2011,Grant,Programmes,Raising Educational Ethnic Minority Achievement Project - REEMAP,2188,"29,125.00",Improving Reach Programme Grant
Cabinet Office,Capacity Builders,13/01/2011,Grant,Programmes,Essex Disabled People's Association Limited,2164,"27,387.50",Improving Reach Programme Grant
Cabinet Office,CABINET OFFICE,14/01/2011,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES.,3000014112,"26,529.15",Telecomms line rentals
Cabinet Office,CABINET OFFICE,14/01/2011,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000014121,"175,589.47",70 Whitehall refurbishment project phase 3
Cabinet Office,CABINET OFFICE,14/01/2011,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000014121,"666,273.34",70 Whitehall refurbishment project phase 3 
Cabinet Office,CABINET OFFICE,14/01/2011,Supplies and Services,COMMUNICATION GROUP,COI CENTRAL OFFICE OF INFORMATION,3000014116,"29,000.00",COI Media Monitoring Unit Subscriptions to March 2011
Cabinet Office,CABINET OFFICE,14/01/2011,Supplies and Services,COMMUNICATION GROUP,DEPARTMENT OF COMMUNITIES & LOCAL GOVERNMENT,3000014118,"87,500.00",Payment to Government Offices of the Regions - 1st quarter 2010/11 for regional press secretary
Cabinet Office,CABINET OFFICE,14/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,DEVELOPMENT TRUSTS ASSOCIATION,3000014119,"48,542.00",Final instalment 2010-11 Strategic grant
Cabinet Office,CABINET OFFICE,14/01/2011,Consultancy,OFFICE FOR CIVIL SOCIETY,BMG RESEARCH,3000014111,"77,138.75",Payment for the delivery of the National Survey of Charities and Social Enterprises
Cabinet Office,CABINET OFFICE,17/01/2011,Accomodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000014151,"37,808.14",Facilities Management services
Cabinet Office,CABINET OFFICE,17/01/2011,Land and Buildings,ESTATE MANAGEMENT,LIBERATA UK LTD,103111,"74,223.00",Operating leases Rent
Cabinet Office,CABINET OFFICE,17/01/2011,Consultancy,CIVIL SERVICE PENSIONS,PRICEWATERHOUSE COOPERS LLP,3000014159,"500,113.20",Professional Services August and September 2010
Cabinet Office,Buying Solutions,17/01/2011,WSDS Maint & Rep,WSDS,COFELY,PINDOH 31878,"37,589.81",Whitehall heating systems management
Cabinet Office,Buying Solutions,17/01/2011,WDHS Maint & Rep,WDHS,COFELY,PINDOH 31879,"60,245.07",Whitehall heating systems management
Cabinet Office,Buying Solutions,17/01/2011,Peripherals,Network Services,GLOBAL CROSSING,PINMTS 19106,"249,207.76",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,17/01/2011,Data Services,Network Services,GLOBAL CROSSING,PINMTS 19107,"112,790.00",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,17/01/2011,Data Services,Network Services,GLOBAL CROSSING,PINMTS 19166,"53,685.00",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,17/01/2011,Data Services,Network Services,GLOBAL CROSSING,PINMTS 19177,"33,278.00",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,17/01/2011,Data Services,Network Services,GLOBAL CROSSING,PINMTS 19199,"92,579.00",Government Managed Telecoms Contract
Cabinet Office,CABINET OFFICE,18/01/2011,IT Costs,PRIME MINISTERS OFFICE,CABLE & WIRELESS PLC,3000014173,"27,164.85",Quarterly rental charge for Government Secure Intranet link and services
Cabinet Office,CABINET OFFICE,18/01/2011,Accomodation and Utilities,PRIME MINISTERS OFFICE,BT,3000014172,"67,097.56",Telecomms line rentals
Cabinet Office,CABINET OFFICE,18/01/2011,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000014178,"913,950.02",Facilities Management Services
Cabinet Office,CABINET OFFICE,18/01/2011,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000014175,"56,913.05",Grassroots Grants payment - a programme of small grants and endowment funding for local communities
Cabinet Office,CABINET OFFICE,18/01/2011,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000014191,"32,760.00",Payment for data links for IT services
Cabinet Office,CABINET OFFICE,18/01/2011,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000014181,"267,242.56",ICT Services charge for FLEX system
Cabinet Office,Buying Solutions,18/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PCROHD 854,"-641,438.37",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,18/01/2011,MOTO Charges RC,Estates Management,HM TREASURY,PINDOH 32002,"119,360.82",Rent for accommodation
Cabinet Office,Buying Solutions,18/01/2011,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 19131,"38,462.50",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,18/01/2011,Peripherals,Network Services,GLOBAL CROSSING,PINMTS 19184,"28,001.00",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,18/01/2011,System Manm't,Network Services,GLOBAL CROSSING,PINMTS 19205,"41,140.79",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,18/01/2011,Moves & Changes,Network Services,GLOBAL CROSSING,PINMTS 19219,"56,605.01",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,18/01/2011,Data Services,Network Services,GLOBAL CROSSING,PINMTS 19227,"278,325.43",Government Managed Telecoms Contract
Cabinet Office,CABINET OFFICE,19/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CHURCH URBAN FUND,3000014200,"30,180.00",Final instalment 2010-11 Strategic grant
Cabinet Office,CABINET OFFICE,19/01/2011,Resource Grants to Central Government Bodies,OFFICE FOR CIVIL SOCIETY,SOUTH EAST ENGLAND DEVELOPMENT,3000014212,"49,164.00",Grant to provide business support for social enterprises in the regions
Cabinet Office,CABINET OFFICE,19/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NCVO,3000014209,"363,420.00",Final instalment 2010-11 Strategic grant
Cabinet Office,Buying Solutions,19/01/2011,CODA Support & Train,Network Services,UNIT4,PINDOH 31880,"25,133.77",Government managed telecoms billing system
Cabinet Office,Buying Solutions,19/01/2011,Legal Fees,PSN Services,FIELD FISHER WATERHOUSE,PINDOH 32004,"28,772.82",Legal negotiations for public sector network procurement
Cabinet Office,Capacity Builders,20/01/2011,Grant,Programmes,Association of Chief Executives of Voluntary Organisations,2024,"150,000.00",National Support Services Grant
Cabinet Office,Capacity Builders,20/01/2011,Grant,Programmes,National Association for Voluntary and Community Action,2243,"100,000.00",National Priorities Programme Grant
Cabinet Office,Capacity Builders,20/01/2011,Grant,Programmes,National Association for Voluntary and Community Action,2242,"50,000.00",National Priorities Programme Grant
Cabinet Office,Capacity Builders,20/01/2011,Grant,Programmes,B:RAP Ltd,2227,"37,225.00",Improving Reach Programme Grant
Cabinet Office,Capacity Builders,20/01/2011,Grant,Programmes,Leeds Asylum Seekers Support Network,2195,"36,401.25",Improving Reach Programme Grant
Cabinet Office,Capacity Builders,20/01/2011,Grant,Programmes,Pendle Community Network Limited,2165,"35,745.00",Improving Reach Programme Grant
Cabinet Office,Capacity Builders,20/01/2011,Grant,Programmes,Social Enterprise North West Limited,2329,"32,820.00",Social Enterprise Programme Grant
Cabinet Office,Capacity Builders,20/01/2011,Grant,Programmes,Sport 4 Life Ltd,2220,"30,919.25",Improving Reach Programme Grant
Cabinet Office,Capacity Builders,20/01/2011,Grant,Programmes,Voluntary Organisations' Network North East,2233,"27,747.25",Improving Reach Programme Grant
Cabinet Office,Cabinet Office,20/01/2011,Consultancy - Legal -  Contracted out services,ERG - Office of Government Commerce,THE TREASURY SOLICITOR,90184,"53,427.00",Cost of internal legal team staffed by Treasury Solicitor personnel
Cabinet Office,Buying Solutions,21/01/2011,Compel,Human Resources,COMPUTERS IN PERSONN,PINDOH 31977,"60,750.00",HR system annual subscription and licenses
Cabinet Office,CABINET OFFICE,24/01/2011,Supplies and Services,COMMUNICATION GROUP,COI CENTRAL OFFICE OF INFORMATION,3000014273,"40,825.00",COI Media Monitoring Unit Subscriptions to September 2010
Cabinet Office,Cabinet Office,24/01/2011,Nat West Corporate Card,ERG - Office of Government Commerce,NATIONAL WESTMINSTER BANK PLC,90299,"33,026.84",Monthly settlement of Government Procurement Card transactions
Cabinet Office,CABINET OFFICE,25/01/2011,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000014301,"1,933,333.33",BBC Monitoring monthly payment
Cabinet Office,CABINET OFFICE,25/01/2011,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000014324,"38,630.43",Reprographic December 2010
Cabinet Office,CABINET OFFICE,25/01/2011,Consultancy,INDEPENDENT OFFICES,DLA PIPER UK,3000014304,"40,000.00",Civil Service Recruimnet compliance monitoring contract covering supply period 01/04/10 - 31/03/11.
Cabinet Office,CABINET OFFICE,25/01/2011,Grants -in-Aid to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY FOUNDATION NETWORK,3000014302,"70,034.00",Final instalment 2010-11 Strategic grant
Cabinet Office,CABINET OFFICE,25/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,INSTITUTE OF FUNDRAISING,3000014311,"77,500.00",Promoting tax effective giving grant
Cabinet Office,CABINET OFFICE,25/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,FIELD STUDIES COUNCIL,3000014309,"83,386.00",National Citizen Service project grant
Cabinet Office,Buying Solutions,25/01/2011,WDHS Cost of Heat,WDHS,COFELY,PINDOH 31895,"109,773.70",Whitehall heating systems management
Cabinet Office,Buying Solutions,25/01/2011,WDHS Cost Elec Gen,WDHS,COFELY,PINDOH 31895,"45,355.56",Whitehall heating systems management
Cabinet Office,CABINET OFFICE,26/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUNG DEVON,3000014364,"39,820.00",National Citizen Service project grant
Cabinet Office,CABINET OFFICE,26/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CONNEXIONS CUMBRIA,3000014350,"51,092.00",National Citizen Service project grant
Cabinet Office,CABINET OFFICE,26/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,DEVELOPMENT TRUSTS ASSOCIATION,3000014351,"75,000.00",Community Alliance project grant - to support community anchor organisations
Cabinet Office,Buying Solutions,26/01/2011,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 19294,"35,938.63",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19351,"58,916.44",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19354,"59,933.61",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19357,"69,326.90",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19359,"46,496.09",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19360,"31,577.65",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19361,"179,816.24",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,Handsets,Network Services,GLOBAL CROSSING,PINMTS 19361,"51,192.25",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19362,"268,124.17",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19363,"87,488.76",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19365,"334,589.71",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,Handsets,Network Services,GLOBAL CROSSING,PINMTS 19365,"45,467.50",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19370,"56,164.96",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19372,"30,344.47",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19373,"488,716.54",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19375,"130,375.14",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,Handsets,Network Services,GLOBAL CROSSING,PINMTS 19375,"37,153.25",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19377,"38,347.39",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19378,"99,489.17",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19383,"169,071.55",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,Handsets,Network Services,GLOBAL CROSSING,PINMTS 19383,"25,249.75",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19384,"41,214.70",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19385,"50,495.44",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19388,"771,656.56",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,Handsets,Network Services,GLOBAL CROSSING,PINMTS 19388,"41,250.00",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19389,"132,917.49",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19390,"108,806.04",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19391,"34,216.13",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19396,"98,664.14",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19400,"118,345.06",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19402,"33,104.53",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,26/01/2011,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 19403,"30,913.71",Government Managed Telecoms Contract
Cabinet Office,CABINET OFFICE,27/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SAFE IN TEES VALLEY,3000014375,"43,300.00",National Citizen Service project grant 
Cabinet Office,CABINET OFFICE,27/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,VOICE4CHANGE ENGLAND LTD,3000014376,"91,985.00",Final instalment 2010-11 Strategic grant
Cabinet Office,CABINET OFFICE,27/01/2011,Agency and Temporary Staff,DIRECTGOV,SERCO LTD,2019261526,"36,190.00",Interim IT specialists
Cabinet Office,CABINET OFFICE,28/01/2011,Assets Under Construction,INTELLIGENCE SECURITY AND RESILIENCE,ECOVERT FM LTD,3000014389,"51,739.54",Accomodation work to 70 Whitehall
Cabinet Office,CABINET OFFICE,28/01/2011,Consultancy,COMMUNICATION GROUP,COI CENTRAL OFFICE OF INFORMATION,3000014387,"50,642.50",Provision of Project Management Framework website and helpdesk service and data management service
Cabinet Office,CABINET OFFICE,28/01/2011,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,IMPROVEMENT & DEVELOPMENT AGENCY,3000014394,"130,200.00",National Programme for Third Sector Commissioning
Cabinet Office,Buying Solutions,28/01/2011,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 29857,"26,890.00",TSol legal advisory team monthly fees
Cabinet Office,Cabinet Office,28/01/2011,Accommodation Services & Maintenance,ERG - Office of Government Commerce,MINISTRY OF DEFENCE,90380,"80,000.00",Interim payment to MOD in respect of a statutory requirement to bring highways up to an adoptable standard at a sold property
Cabinet Office,CABINET OFFICE,31/01/2011,Consultancy,ESTATE MANAGEMENT,ECOVERT FM LTD,3000014417,"41,321.11",Legal fees for building costs
Cabinet Office,CABINET OFFICE,31/01/2011,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000014417,"96,725.67",70 Whitehall refurbishment project phase 3 
Cabinet Office,CABINET OFFICE,31/01/2011,Other Staff Related Costs,CIVIL SERVICE CAPABILITIES GROUP,PARITY SOLUTIONS LTD,3000014427,"82,500.00",Fast Stream Recruitment
Cabinet Office,CABINET OFFICE,31/01/2011,Supplies and Services,CO SHARED SERVICES,DWP NORCROSS,3000014416,"1,066,666.66","Provision of Accountancy Services, Employee Services, Civil Service Pensions and Purchase to Pay "
