Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,
Cabinet Office,CABINET OFFICE,5/8/2015,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,THE TREASURY SOLICITOR,3000063273,53316.45,Legal services,,,,,,,,
Cabinet Office,CABINET OFFICE,05/08/15,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,EXPERIAN LTD,3000063262,408000.00,Membership of OIX,,,,,,,,
Cabinet Office,CABINET OFFICE,06/08/15,FM CONTRACT LIFECYCLE,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000063308,127500.00,Facilities Management Services,,,,,,,,
Cabinet Office,CABINET OFFICE,6/8/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,WEALDON DISTRICT COUNCIL,3000063309,45810.00,Individual Electoral Registration Funding for 15/16,,,,,,,,
Cabinet Office,CABINET OFFICE,6/8/2015,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,THE TREASURY SOLICITOR,3000063303,56103.00,Legal services,,,,,,,,
Cabinet Office,CABINET OFFICE,06/08/15,SUNNINGDALE PARK PFI SERVICE CHARGES,NSG TRANSITION COSTS,DE VERE VENUES GROUP LTD,3000063323,157497.55,PFI Service Charge for Sunningdale Park,,,,,,,,
Cabinet Office,CABINET OFFICE,06/08/15,ADDITIONS IT HARDWARE,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,MISCO,3000063322,49283.42,Provision of Hardware,,,,,,,,
Cabinet Office,CABINET OFFICE,06/08/15,IS/IT COSTS - NON RECOVERABLE VAT,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,E SYNERGY SOLUTIONS LTD,3000063312,173561.36,IT Service Costs,,,,,,,,
Cabinet Office,CABINET OFFICE,6/8/2015,ADDITIONS IT SOFTWARE,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,CLEARVISION LTD,3000063316,36528.00,Software Licences,,,,,,,,
Cabinet Office,CABINET OFFICE,07/08/15,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000063362,3024438.49,Civil Service pension administration services,,,,,,,,
Cabinet Office,CABINET OFFICE,7/8/2015,STAFF TRAINING VAT RECOVERABLE,ERG MAJOR PROJECTS TEAM,SAID BUSINESS SCHOOL,3000063357,25000.00,Staff training to support business development,,,,,,,,
Cabinet Office,CABINET OFFICE,10/08/15,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,HOSPICE UK,1001330,121381.00,End of Life Social Action Fund,,,,,,,,
Cabinet Office,CABINET OFFICE,10/08/15,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000063397,27673.06,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,10/08/15,CONTRACTORS & STAFF SUBSTITUTIONS,G CLOUD,CAPITA BUSINESS SERVICES LTD,3000063397,27845.47,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,10/08/15,CONTRACTORS & STAFF SUBSTITUTIONS,COMMON TECHNOLOGY SERVICES,CAPITA BUSINESS SERVICES LTD,3000063397,29246.55,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,10/08/15,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000063397,30403.08,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,10/8/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000063397,48803.03,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,10/8/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000063397,57220.18,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,10/8/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,NORTH HIGHLAND LTD,3000063393,29997.50,Provision of Professional Services,,,,,,,,
Cabinet Office,CABINET OFFICE,10/8/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,THOUGHTWORKS LTD,3000063399,142661.37,Resource Services to assist GOV.UK Verify Delivery Team,,,,,,,,
Cabinet Office,CABINET OFFICE,10/8/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,E SYNERGY SOLUTIONS LTD,3000063394,130545.00,IT Service Costs,,,,,,,,
Cabinet Office,CABINET OFFICE,10/08/15,SERVICE PAYMENTS,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000063392,125484.69,Shared services charges,,,,,,,,
Cabinet Office,CABINET OFFICE,12/8/2015,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,NEXT GENERATION HR COSTS,HOME OFFICE,3000063452,3594600.00,Civil Service Learning & Civil Service Organisation Development and Design as per Next Generation HR Memorandum of Understanding,,,,,,,,
Cabinet Office,CABINET OFFICE,12/8/2015,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,NEXT GENERATION HR COSTS,HMRC,3000063451,3617027.39,Civil Service Resourcing as per Next Generation HR Memorandum of Understanding,,,,,,,,
Cabinet Office,CABINET OFFICE,12/8/2015,FM CONTRACT FIXED COSTS,ROSEBERY COURT FM CONTRACT,MITIE BUSINESS SERVICES LTD,3000063453,50121.71,Facilities Management Services,,,,,,,,
Cabinet Office,CABINET OFFICE,12/08/15,FM CONTRACT VARIABLE,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000063458,75461.94,Facilities Management Services,,,,,,,,
Cabinet Office,CABINET OFFICE,12/08/15,RESOURCE GRANTS PRIVATE SECTOR,COMPACT VOICE,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,1001332,62500.00,Grant to fund the costs of Compact Voice,,,,,,,,
Cabinet Office,CABINET OFFICE,12/08/15,CAPITAL GRANTS PRIV SEC - CDEL,PROGRAMME & STRATEGY OFFICE,LUCY AIR AMBULANCE FOR CHILDREN,1001331,110530.00,"Grant to help source charter services on a more permanent basis, secure the long term viability of the charity, and boost its fundraising capabilities",,,,,,,,
Cabinet Office,CABINET OFFICE,12/08/15,RESOURCE GRANTS PRIVATE SECTOR,PROGRAMME & STRATEGY OFFICE,LUCY AIR AMBULANCE FOR CHILDREN,1001331,423253.00,"Grant to help source charter services on a more permanent basis, secure the long term viability of the charity, and boost its fundraising capabilities",,,,,,,,
Cabinet Office,CABINET OFFICE,12/08/15,CONTRACTORS & STAFF SUBSTITUTIONS,CSHR STRATEGY AND COMMS,MERCER LTD,3000063474,54413.98,Interim IT Specialists,,,,,,,,
Cabinet Office,CABINET OFFICE,13/08/15,RESOURCE GRANTS PRIVATE SECTOR,YOUTH POLICY,BRITISH YOUTH COUNCIL,3000063545,25000.00,Grant to support youth participation in public decision making,,,,,,,,
Cabinet Office,CABINET OFFICE,13/08/15,ADDITIONS IT HARDWARE,ICT CAPITAL PROJECTS 201213,SOFTWARE BOX LTD,3000063520,41754.00,ICT Services,,,,,,,,
Cabinet Office,CABINET OFFICE,13/08/15,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000063532,2795010.00,MyCSP programme costs,,,,,,,,
Cabinet Office,CABINET OFFICE,14/08/15,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),GDS POLICY AND ENGAGEMENT,TNS UK LTD,3000063569,41000.00,Cross-government digital inclusion research,,,,,,,,
Cabinet Office,CABINET OFFICE,14/8/2015,OTHER IS IT COSTS VAT RECOV,GDS POLICY AND ENGAGEMENT,TNS UK LTD,3000063569,140310.00,Cross-government digital inclusion research,,,,,,,,
Cabinet Office,CABINET OFFICE,14/08/15,NON PRIME UTILITIES,FEM MISC,BOUYGUES E&S FM UK LTD,3000063571,125399.39,Facilities Management Services,,,,,,,,
Cabinet Office,CABINET OFFICE,14/08/15,CONSULTANTS VAT RECOVERABLE,SOLAR PV,KPMG,3000063573,198225.00,Financial consultancy support for Solar Power Generation on Government Estate,,,,,,,,
Cabinet Office,Crown Commercial Service,14/08/15,Consultancy Fees (Advice),Utilites Energy,Optima Energy Management,PINP2P 681,53963.96,Optima Software and cloud portal,,,,,,,,
Cabinet Office,CABINET OFFICE,14/08/15,CONTRACTORS & STAFF SUBSTITUTIONS,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,CROWN COMMERCIAL SERVICE,3000063584,115745.82,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,14/08/15,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000063578,197152.00,MyCSP programme costs,,,,,,,,
Cabinet Office,CABINET OFFICE,14/08/15,OTHER TRAVEL COSTS,OVERSEAS MISSIONS,FOREIGN & COMMONWEALTH OFFICE,3000063551,50204.90,Official travel,,,,,,,,
Cabinet Office,CABINET OFFICE,14/08/15,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,POST OFFICE LTD,3000063594,237634.05,Payment for identities under the identity provider contract,,,,,,,,
Cabinet Office,CABINET OFFICE,14/08/15,SUNNINGDALE PARK PFI SERVICE CHARGES,NSG TRANSITION COSTS,DE VERE VENUES GROUP LTD,3000063592,65841.13,PFI Service Charge for Sunningdale Park,,,,,,,,
Cabinet Office,CABINET OFFICE,14/8/2015,IS/IT COSTS - NON RECOVERABLE VAT,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,MERCATOR IT SOLUTIONS LTD,3000063583,29520.00,Professional services to support Digital and Technology Team,,,,,,,,
Cabinet Office,CABINET OFFICE,14/08/15,Leasehold Imp Additions Cost,CABINET OFFICE REGIONAL OFFICES,LEVEL 3,3000063591,33679.78,Project management services for telephony installation,,,,,,,,
Cabinet Office,CABINET OFFICE,14/8/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,SKYSCAPE CLOUD SERVICES LTD,3000063561,75914.84,Provision of Storage & Hosting Services for the Verify Identity Assurance Programme,,,,,,,,
Cabinet Office,CABINET OFFICE,14/08/15,CONSULTANTS VAT RECOVERABLE,GPU POLICY AND STRATEGY ADMIN,SAVILLS COMMERCIAL LTD,3000063564,39050.00,Specialist property services ,,,,,,,,
Cabinet Office,CABINET OFFICE,17/08/15,PROFESSIONAL SERVICES NON VAT RECOVERABLE,GDS DELIVERY OPERATIONS OTHER,BADENOCH&CLARK,3000063628,106560.00,Assurance Services to Government Digital Service ,,,,,,,,
Cabinet Office,CABINET OFFICE,17/08/15,AUDITOR REMUN-NON AUDIT COSTS,ERG NEXT GENERATION SHARED SERVICES,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,3000063602,74260.20,Audit work completed by Government Internal Audit Agency on Next Generation Shared Services Crown Oversight Function,,,,,,,,
Cabinet Office,CABINET OFFICE,17/08/15,CONSULTANTS VAT RECOVERABLE,CENTRAL OVERHEADS,THE BEHAVIOURAL INSIGHTS TEAM,3000063626,89950.00,Behavioural insights consulting services ,,,,,,,,
Cabinet Office,CABINET OFFICE,17/08/15,NON PRIME UTILITIES,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000063610,27314.39,Facilities Management Services,,,,,,,,
Cabinet Office,CABINET OFFICE,17/08/15,FM CONTRACT FIXED COSTS,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000063610,27458.97,Facilities Management Services,,,,,,,,
Cabinet Office,Crown Commercial Service,17/08/15,Maintenance & Repairs - IT,E Commerce,IBM UNITED KINGDOM LTD,PINORD 2103,43064.01,eSourcing system licences ,,,,,,,,
Cabinet Office,CABINET OFFICE,17/08/15,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000063618,26588.63,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,17/8/2015,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000063618,38533.48,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,17/8/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS DELIVERY OPERATIONS OTHER,CAPITA BUSINESS SERVICES LTD,3000063618,40606.14,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,17/8/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000063618,67502.43,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,17/08/15,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000063618,69939.96,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,17/08/15,OTHER IS IT COSTS VAT RECOV,CERT,MDS TECHNOLOGIES LTD,3000063613,42759.20,IT Development for CERT UK,,,,,,,,
Cabinet Office,CABINET OFFICE,17/08/15,OTHER IS IT COSTS VAT RECOV,CERT,SUREVINE LTD,3000063612,85825.94,IT Development for CERT UK,,,,,,,,
Cabinet Office,CABINET OFFICE,17/8/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GPU POLICY AND STRATEGY ADMIN,CLAYTON ADVISORY SERVICES LTD,3000063625,46080.00,Professional services to assist in business case development & property modelling,,,,,,,,
Cabinet Office,CABINET OFFICE,18/8/2015,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,NEXT GENERATION HR COSTS,DWP,3000063655,5230200.01,Civil Service Employee Policy as per Next Generation HR Memorandum of Understanding,,,,,,,,
Cabinet Office,CABINET OFFICE,18/08/15,RESOURCE GRANTS PRIVATE SECTOR,COMMUNITY ORGANISERS,LOCALITY,1001336,381000.00,Grant for the Community Organisers Programme,,,,,,,,
Cabinet Office,CABINET OFFICE,18/08/15,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,RKCR Y&R,3000063667,60900.00,GREAT Campaign,,,,,,,,
Cabinet Office,Crown Commercial Service,18/08/15,Recruitment Costs,Functional Strategy,Green Park,PINP2P 711,80000.00,Pay Band 1 Recruitment Campaign Retainer Fee,,,,,,,,
Cabinet Office,CABINET OFFICE,18/8/2015,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,THE TREASURY SOLICITOR,3000063656,39094.92,Legal services,,,,,,,,
Cabinet Office,CABINET OFFICE,18/08/15,CONTRACTORS & STAFF SUBSTITUTIONS,ERG DATA GOV UK,CAPITA BUSINESS SERVICES LTD,3000063664,77589.84,Maintenance of data.gov,,,,,,,,
Cabinet Office,CABINET OFFICE,18/08/15,ADDITIONS IT SOFTWARE,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,VODAFONE LTD,3000063641,64050.97,Network infrastructure for the Government Secure Infrastructure Convergence Framework ,,,,,,,,
Cabinet Office,CABINET OFFICE,18/08/15,IS/IT COSTS - NON RECOVERABLE VAT,GDS PUBLISHING PLATFORM TECHNOLOGY,SKYSCAPE CLOUD SERVICES LTD,3000063652,139461.44,Support and development of web publication ,,,,,,,,
Cabinet Office,CABINET OFFICE,19/08/15,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,ROYAL MAIL SERVICE PENSIONS,ROYAL MAIL GROUP LTD,3000063686,406688.75,Adminstration services for the Royal Mail Statutory Pension Scheme,,,,,,,,
Cabinet Office,CABINET OFFICE,19/08/15,STAFF RELATED COSTS,ERG MAJOR PROJECTS TEAM,LEK CONSULTING LLP,3000063698,48240.00,Commercial Interchange Consultancy Staff Coats,,,,,,,,
Cabinet Office,CABINET OFFICE,19/8/2015,OTHER IS IT COSTS VAT RECOV,ICT SERVICE DELIVERY,HM TREASURY,3000063682,150338.91,Cost of shared IT services,,,,,,,,
Cabinet Office,Crown Commercial Service,19/08/15,Information Services,Utilites Energy,INSIGHT DIRECT LTD,PINP2P 724,40336.00,Annual Software and Hosted Service Charge,,,,,,,,
Cabinet Office,CABINET OFFICE,19/08/15,CONSULTANTS VAT RECOVERABLE,"MEDIA PLANNING, BUYING AND EVALUATION",EBIQUITY ASSOCIATES LTD,3000063693,46500.00,Media Auditing of UK & International Marketplace ,,,,,,,,
Cabinet Office,CABINET OFFICE,19/8/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS ID ASSURANCE,POST OFFICE LTD,3000063699,74760.00,Payment for identities under the identity provider contract,,,,,,,,
Cabinet Office,CABINET OFFICE,20/08/15,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,BIT ZESTY LTD,3000063752,31160.00,Hosting services ,,,,,,,,
Cabinet Office,CABINET OFFICE,20/8/2015,OPERATING LEASES - RENT,NSG TRANSITION COSTS,DE VERE VENUES GROUP LTD,3000063766,49440.00,Rent for accommodation,,,,,,,,
Cabinet Office,CABINET OFFICE,20/8/2015,STAFF RELATED COSTS,CABINET OFFICE SECURITY TEAM,FCO SERVICES,3000063743,42643.20,Security Vetting fees,,,,,,,,
Cabinet Office,CABINET OFFICE,21/08/15,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,NEXT GENERATION HR COSTS,HOME OFFICE,3000063779,542400.00,Civil Service Learning & Civil Service Organisation Development and Design as per Next Generation HR Memorandum of Understanding,,,,,,,,
Cabinet Office,CABINET OFFICE,21/8/2015,OTHER IS IT COSTS VAT RECOV,DOVER HOUSE,HM TREASURY,3000063782,32721.24,Cost for shared IT services ,,,,,,,,
Cabinet Office,CABINET OFFICE,21/08/15,FM CONTRACT VARIABLE,NSS CRISIS MANAGEMENT,BOUYGUES E&S FM UK LTD,3000063785,60049.43,Estate Services,,,,,,,,
Cabinet Office,CABINET OFFICE,21/08/15,ADDITIONS - NON RES CONSULTANCY (FEES) VAT NON REC,70 WHITEHALL,BOUYGUES ENERGIES & SERVICES,3000063789,250000.00,Facilities Management Services,,,,,,,,
Cabinet Office,CABINET OFFICE,21/08/15,ADDITIONSAUC F/H NON RES BLDGS,70 WHITEHALL,BOUYGUES ENERGIES & SERVICES,3000063789,574999.93,Facilities Management Services,,,,,,,,
Cabinet Office,CABINET OFFICE,21/8/2015,OTHER IS IT COSTS VAT RECOV,ERTP IER LIVE SERVICE,FCO SERVICES,3000063781,173600.00,Individual Electoral Registration Live Service running costs,,,,,,,,
Cabinet Office,CABINET OFFICE,21/08/15,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000063790,30665.22,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,21/08/15,OTHER TRAVEL COSTS,OVERSEAS MISSIONS,HRG,3000063794,70373.50,Official travel,,,,,,,,
Cabinet Office,CABINET OFFICE,24/08/15,OTHER IS IT COSTS VAT RECOV,GDS Enabling Strategy,MCKINSEY & CO INC,3000063844,200550.00,Business Case Consultancy services provided to GaaP and CTS,,,,,,,,
Cabinet Office,CABINET OFFICE,24/8/2015,CHILDCARE VOUCHERS,HR REWARD AND EMPLOYEE RELATIONS TEAM,ACCOR TA EDENRED,1001338,30941.76,Childcare vouchers,,,,,,,,
Cabinet Office,CABINET OFFICE,24/08/15,RESOURCE GRANTS PRIVATE SECTOR,YOUTH CENTRE FOR SOCIAL ACTION,YOUTH UNITED,1001337,994000.00,Grant to Youth United to create more volunteering opportunities for young people,,,,,,,,
Cabinet Office,CABINET OFFICE,24/8/2015,CONTRACTORS & STAFF SUBSTITUTIONS,G CLOUD,CAPITA BUSINESS SERVICES LTD,3000063854,33763.20,Interim IT Specialists,,,,,,,,
Cabinet Office,CABINET OFFICE,24/08/15,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000063854,26065.84,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,24/8/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000063854,46821.06,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,24/08/15,OTHER LEGAL FEES,SOLAR PV,BROWNE JACOBSON LLP,3000063855,37609.00,Legal services ,,,,,,,,
Cabinet Office,CABINET OFFICE,24/08/15,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),ERG CONTESTABLE POLICY FUND,DFE RM SHARED SERVICES,3000063874,25000.00,Matched funding for the Contestable Policy Fund project on improving maths skills in the vocational sector,,,,,,,,
Cabinet Office,CABINET OFFICE,24/8/2015,OTHER IS IT COSTS VAT RECOV, CO IT SYSTEMS,NORTH HIGHLAND LTD,3000063851,31927.50,Provision of Professional Services,,,,,,,,
Cabinet Office,CABINET OFFICE,24/8/2015,OPERATING LEASES - RENT,CABINET OFFICE REGIONAL OFFICES,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,3000063852,45000.00,Rent for accommodation,,,,,,,,
Cabinet Office,CABINET OFFICE,24/8/2015,IS/IT COSTS - NON RECOVERABLE VAT,COTT Flex C,FUJITSU SERVICES,3000063869,951040.80,Service charge for flex contract support and services,,,,,,,,
Cabinet Office,CABINET OFFICE,25/08/15,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,RKCR Y&R,3000063888,101500.00,GREAT Campaign,,,,,,,,
Cabinet Office,Crown Commercial Service,25/08/15,WDHS Tunnel FM Recharge,Whitehall District Heating Systems,Cofely,PINP2P 750,27403.95,Whitehall heating systems management,,,,,,,,
Cabinet Office,Crown Commercial Service,25/08/15,WSDS Maintenance & Repairs,Whitehall Standby Dist Systems,Cofely,PINP2P 749,41838.19,Whitehall heating systems management,,,,,,,,
Cabinet Office,Crown Commercial Service,25/08/15,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINP2P 751,67053.94,Whitehall heating systems management,,,,,,,,
Cabinet Office,CABINET OFFICE,26/08/15,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),A & I PROGRAMME EXPENDITURE,TNS UK LTD,3000063921,38844.47,Community Life Survey costs,,,,,,,,
Cabinet Office,CABINET OFFICE,26/08/15,SUB-CONTRACTED TRAINING COURSE,ERG MAJOR PROJECTS LEADERSHIP ACADEMY,CRANFIELD UNIVERSITY,3000063939,69300.00,Delivery of the Project Leadership Programme,,,,,,,,
Cabinet Office,CABINET OFFICE,26/08/15,FM CONTRACT VARIABLE,REFURBISHMENT NO 10,BOUYGUES E&S FM UK LTD,3000063923,52774.40,Estate Services,,,,,,,,
Cabinet Office,CABINET OFFICE,26/8/2015,SERVICE CHARGES,10 GREAT GEORGE STREET,HOME OFFICE,3000063915,49860.12,Facilities Management Services,,,,,,,,
Cabinet Office,CABINET OFFICE,26/8/2015,BUSINESS RATES - DIRECT LOCAL AUTHORITIES,10 GREAT GEORGE STREET,HOME OFFICE,3000063915,61651.89,Facilities Management Services,,,,,,,,
Cabinet Office,CABINET OFFICE,26/08/15,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,RKCR Y&R,3000063936,34758.67,GREAT Campaign,,,,,,,,
Cabinet Office,CABINET OFFICE,26/08/15,ADDITIONS IT HARDWARE,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,MISCO COMPUTER SUPPLIES LTD,3000063906,152735.90,IT hardware,,,,,,,,
Cabinet Office,CABINET OFFICE,26/08/15,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME PENSIONS PROGRAMME,MYCSP LTD,3000063926,750000.00,MyCSP programme costs,,,,,,,,
Cabinet Office,CABINET OFFICE,26/08/15,IS/IT COSTS - NON RECOVERABLE VAT,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,E SYNERGY SOLUTIONS LTD,3000063932,158672.40,IT Service Costs,,,,,,,,
Cabinet Office,CABINET OFFICE,27/08/15,OTHER IS IT COSTS VAT RECOV,ICT SERVICE DELIVERY,HM TREASURY,3000063957,178981.35,Cost of shared IT services,,,,,,,,
Cabinet Office,CABINET OFFICE,27/08/15,FM CONTRACT VARIABLE,ESTATE CONSOLIDATION,BOUYGUES E&S FM UK LTD,3000063959,575000.00,Facilities Management Services,,,,,,,,
Cabinet Office,Crown Commercial Service,27/08/15,Systems Support & Training,E Commerce,BravoSolution UK Ltd,PINP2P 788,41650.00,Service Charges for Spend Analytics April 2015,,,,,,,,
