Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LEICESTER CITY PCT,PUBLIC,LE1 6NB,HAFS-14865,38000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LEICESTERSHIRE COUNTY & RUTLAND PCT,PUBLIC,CV13 0LJ,HAFS-14866,69000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LEWISHAM PCT,PUBLIC,SE12 8RN,HAFS-14867,42000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LINCOLNSHIRE PCT,PUBLIC,LN4 2HN,HAFS-14868,91000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LIVERPOOL PCT,PUBLIC,L13 1HN,HAFS-14869,83250000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LONDON SHA,PUBLIC,SW1E 6QT,HAFS-14870,226069000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LUTON TEACHING PCT,PUBLIC,LU1 2PJ,HAFS-14871,24000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MANCHESTER PCT,PUBLIC,M23 9LH,HAFS-14872,80000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MEDWAY TEACHING PCT,PUBLIC,ME19 4AX,HAFS-14873,36000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MID ESSEX PCT,PUBLIC,CM8 2TL,HAFS-14874,37000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MIDDLESBOROUGH PCT,PUBLIC,TS2 1RH,HAFS-14875,21315000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MILTON KEYNES PCT,PUBLIC,MK6 5NG,HAFS-14876,38000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),PUBLIC,SE1 7NT,HAFS-14877,6500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),PUBLIC,WF3 1WE,HAFS-14878,850000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NEWCASTLE PCT,PUBLIC,NE27 0QJ,HAFS-14879,37600000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NEWHAM PCT,PUBLIC,E1 1RD,HAFS-14880,43000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-14881,53150000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev ND In RAB,CENTRAL TECHNICAL,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-14882,217000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS COMMISSIONING BOARD,PUBLIC,LS2 7UE,HAFS-14883,8000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,PUBLIC,CV4 7AL,HAFS-14884,1500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORFOLK PCT,PUBLIC,NR1 3FR,HAFS-14885,91000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH EAST ESSEX PCT,PUBLIC,CO15 4AB,HAFS-14886,40000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS,PUBLIC,DN33 2BA,HAFS-14887,27300000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH EAST SHA,PUBLIC,NE15 8NY,HAFS-14888,22000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH LANCASHIRE PCT,PUBLIC,PR4 3AL,HAFS-14889,39197000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH LINCOLNSHIRE PCT,PUBLIC,DN20 8GS,HAFS-14890,19500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH SOMERSET PCT,PUBLIC,BS2 8EE,HAFS-14891,23400000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH STAFFORDSHIRE PCT,PUBLIC,ST4 4LX,HAFS-14892,26000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH TYNESIDE PCT,PUBLIC,NE27 0QJ,HAFS-14893,27100000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH WEST SHA,PUBLIC,M1 3BN,HAFS-14894,54000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH YORKSHIRE & YORK PCT,PUBLIC,YO17 6QR,HAFS-14895,89717000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTHAMPTONSHIRE PCT,PUBLIC,NN5 6UH,HAFS-14896,95000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTHUMBERLAND CARE TRUST,PUBLIC,NE27 0QJ,HAFS-14897,44400000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NOTTINGHAM CITY PCT,PUBLIC,WF3 1WE,HAFS-14898,45000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NOTTINGHAMSHIRE COUNTY TEACHING PCT,PUBLIC,NG5 7EU,HAFS-14899,83000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,OLDHAM PCT,PUBLIC,OL9 6EE,HAFS-14900,32000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,OXFORDSHIRE PCT,PUBLIC,OX4 4XN,HAFS-14901,72000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,PETERBOROUGH PCT,PUBLIC,PE1 1FA,HAFS-14902,20000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,PLYMOUTH TEACHING PCT,PUBLIC,PL6 5XZ,HAFS-14903,31000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,PORTSMOUTH CITY TEACHING PCT,PUBLIC,PO4 8LD,HAFS-14904,29000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,REDBRIDGE PCT,PUBLIC,WF3 1WE,HAFS-14905,29500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,REDCAR AND CLEVELAND PCT,PUBLIC,TS14 7AA,HAFS-14906,19700000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,RICHMOND AND TWICKENHAM PCT,PUBLIC,KT5 9AL,HAFS-14907,21000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,ROTHERHAM PCT,PUBLIC,S66 1YY,HAFS-14908,33500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SALFORD PCT,PUBLIC,M6 5FW,HAFS-14909,37000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SANDWELL PCT,PUBLIC,B70 9LD,HAFS-14910,41400000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SEFTON PCT,PUBLIC,L13 1HN,HAFS-14911,40000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SHEFFIELD PCT,PUBLIC,S9 4EU,HAFS-14912,76000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SHROPSHIRE COUNTY PCT,PUBLIC,SY3 8XL,HAFS-14913,34987000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOLIHULL PCT,PUBLIC,B91 3EF,HAFS-14914,25500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOMERSET PCT,PUBLIC,WF3 1WE,HAFS-14915,62500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH BIRMINGHAM PCT,PUBLIC,B7 4WS,HAFS-14916,50000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH CENTRAL SHA,PUBLIC,WF3 1WE,HAFS-14917,32500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH EAST COAST SHA,PUBLIC,RH6 7DE,HAFS-14918,28600000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH EAST ESSEX PCT,PUBLIC,SS2 6HE,HAFS-14919,49000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH GLOUCESTERSHIRE PCT,PUBLIC,BS1 2NP,HAFS-14920,25000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH STAFFORDSHIRE PCT,PUBLIC,WS15 1UL,HAFS-14921,69900000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH TYNESIDE PCT,PUBLIC,NE33 3DP,HAFS-14922,23700000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH WEST ESSEX PCT,PUBLIC,SS14 3HG,HAFS-14923,45000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH WEST SHA,PUBLIC,WF3 1WE,HAFS-14924,36000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTHAMPTON CITY PCT,PUBLIC,SO30 3JB,HAFS-14925,33000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTHWARK PCT,PUBLIC,SE1 7NT,HAFS-14926,41000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOCKPORT PCT,PUBLIC,SK7 5BY,HAFS-14927,35000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOCKTON-ON-TEES TEACHING PCT,PUBLIC,TS17 6SF,HAFS-14928,25900000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOKE ON TRENT PCT,PUBLIC,ST4 4LX,HAFS-14929,41521000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SUFFOLK PCT,PUBLIC,IP3 8LS,HAFS-14930,62000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SUNDERLAND TEACHING PCT,PUBLIC,NE37 1PR,HAFS-14931,42500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SURREY PCT,PUBLIC,KT16 0QA,HAFS-14932,135000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SUTTON AND MERTON PCT,PUBLIC,WF3 1WE,HAFS-14933,48000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SWINDON PCT,PUBLIC,SN10 5EQ,HAFS-14934,24000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TAMESIDE AND GLOSSOP PCT,PUBLIC,M34 2GP,HAFS-14935,33000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TELFORD & WREKIN PCT,PUBLIC,SY3 8XL,HAFS-14936,19596000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TORBAY PCT,PUBLIC,TQ9 6JE,HAFS-14937,19500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TOWER HAMLETS PCT,PUBLIC,E1 1RD,HAFS-14938,37000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TRAFFORD PCT,PUBLIC,M16 0PQ,HAFS-14939,30000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WAKEFIELD DISTRICT PCT,PUBLIC,WF3 1WE,HAFS-14940,46000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WALSALL TEACHING PCT,PUBLIC,WS4 2BX,HAFS-14941,35300000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WALTHAM FOREST PCT,PUBLIC,WF3 1WE,HAFS-14942,32000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WANDSWORTH TEACHING PCT,PUBLIC,WF3 1WE,HAFS-14943,45000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WARRINGTON PCT,PUBLIC,WF3 1WE,HAFS-14944,26500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WARWICKSHIRE PCT,PUBLIC,CV34 4DE,HAFS-14945,70000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST ESSEX PCT,PUBLIC,CM16 6TN,HAFS-14946,32000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST KENT PCT,PUBLIC,ME20 7NJ,HAFS-14947,90000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST MIDLANDS SHA,PUBLIC,B16 9RG,HAFS-14948,89000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST SUSSEX PCT,PUBLIC,WF3 1WE,HAFS-14949,94000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WESTERN CHESHIRE PCT,PUBLIC,CH2 1HU,HAFS-14950,36000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WESTMINSTER PCT,PUBLIC,BS1 2NP,HAFS-14951,44000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WILTSHIRE PCT,PUBLIC,SN10 5EQ,HAFS-14952,49000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WIRRAL PCT,PUBLIC,CH42 0LQ,HAFS-14953,55000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WOLVERHAMPTON CITY PCT,PUBLIC,WV3 0UD,HAFS-14954,30000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WORCESTERSHIRE PCT,PUBLIC,WR4 9RW,HAFS-14955,83000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,YORKSHIRE & THE HUMBER SHA,PUBLIC,LS1 4PL,HAFS-14956,52500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,"ASHTON, LEIGH & WIGAN PCT",PUBLIC,WN1 1AH,HAFS-14957,44500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARKING AND DAGENHAM PCT,PUBLIC,IG11 8EY,HAFS-14958,23500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARNET PCT,PUBLIC,NW9 6QQ,HAFS-14959,48000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARNSLEY PCT,PUBLIC,S70 3RD,HAFS-14960,38000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BASSETLAW PCT,PUBLIC,NG21 0ER,HAFS-14961,12000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BATH & NORTH EAST SOMERSET PCT,PUBLIC,BA2 5RP,HAFS-14962,20000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BEDFORDSHIRE PCT,PUBLIC,MK40 2AW,HAFS-14963,48000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BERKSHIRE EAST PCT,PUBLIC,RG30 2BA,HAFS-14964,48500000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BERKSHIRE WEST PCT,PUBLIC,RG30 2BA,HAFS-14965,50300000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BEXLEY CARE TRUST,PUBLIC,DA5 2BW,HAFS-14966,28000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BIRMINGHAM EAST AND NORTH PCT,PUBLIC,B7 4WE,HAFS-14967,56000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,PUBLIC,BB1 2EE,HAFS-14968,20002000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BLACKPOOL PCT,PUBLIC,PR4 3AL,HAFS-14969,24265000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BOLTON PCT,PUBLIC,B11 1PP,HAFS-14970,37000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BOURNEMOUTH & POOLE PCT,PUBLIC,BH12 5AG,HAFS-14971,36000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRADFORD AND AIREDALE PCT,PUBLIC,WF3 1WE,HAFS-14972,76000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRENT TEACHING PCT,PUBLIC,HA0 4UZ,HAFS-14973,42000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRIGHTON & HOVE CITY TEACHING PCT,PUBLIC,WF3 1WE,HAFS-14974,33000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRISTOL PCT,PUBLIC,BS2 8EE,HAFS-14975,53000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CALDERDALE PCT,PUBLIC,WF3 1WE,HAFS-14979,27000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CAMBRIDGESHIRE PCT,PUBLIC,PE27 5BB,HAFS-14980,62000000.00 ,,Other,
