Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Category,Sub-Category,Micro-Category
Department for Work and Pensions,Employment Programmes,16-Jan-12,STAFF COSTS,F&C,A4E LTD,2023937858,"Ł6,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,12-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023927092,"Ł6,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,19-Jan-12,STAFF COSTS,COO,A4E LTD,2024012327,"Ł8,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,18-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023953095,"Ł4,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,18-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023953095,"Ł8,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,19-Jan-12,STAFF COSTS,COO,A4E LTD,2024012327,"Ł3,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,18-Jan-12,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,COO,A4E LTD,2023953095,"Ł12,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,19-Jan-12,STAFF COSTS,COO,A4E LTD,2024012327,"Ł2,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,19-Jan-12,STAFF COSTS,COO,A4E LTD,2024012327,"Ł6,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,19-Jan-12,STAFF COSTS,COO,A4E LTD,2024012327,"Ł2,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,18-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023953095,"Ł10,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,18-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023953095,"Ł4,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,04-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023788279,"Ł4,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,04-Jan-12,COMPUTER SERVICES,Change PMU,A4E LTD,2023788279,"Ł4,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,03-Jan-12,COMPUTER SERVICES,CIT,A4E LTD,2023776998,"Ł6,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,04-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023788279,"Ł10,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,04-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023788279,"Ł10,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,03-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023776998,"Ł10,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,03-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023776998,"Ł6,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,03-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023776998,"Ł10,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,03-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023776998,"Ł6,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,09-Jan-12,TELEPHONE AND POSTAGE,COO,A4E LTD,2023855213,"Ł7,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,10-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023857971,"Ł8,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,09-Jan-12,TELEPHONE AND POSTAGE,COO,A4E LTD,2023855213,"Ł6,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,09-Jan-12,TELEPHONE AND POSTAGE,COO,A4E LTD,2023855213,"Ł4,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,09-Jan-12,TELEPHONE AND POSTAGE,COO,A4E LTD,2023855213,"Ł3,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,10-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023857971,"Ł4,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,09-Jan-12,TELEPHONE AND POSTAGE,COO,A4E LTD,2023855213,"Ł3,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,10-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023857971,"Ł2,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,20-Jan-12,OTHER GOODS AND SERVICES,PS,A4E LTD,2024016588,"Ł1,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,20-Jan-12,OTHER GOODS AND SERVICES,F&C,A4E LTD,2024016588,"Ł4,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,20-Jan-12,OTHER OPERATING LEASES,F&C,A4E LTD,2024016588,"Ł5,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,20-Jan-12,OTHER OPERATING LEASES,PS,A4E LTD,2024016588,"Ł2,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,20-Jan-12,OTHER GOODS AND SERVICES,PS,A4E LTD,2024016588,"Ł8,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,23-Jan-12,OTHER OPERATING LEASES,COO,A4E LTD,2024021208,"Ł3,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,23-Jan-12,OTHER GOODS AND SERVICES,COO,A4E LTD,2024021208,"Ł9,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,23-Jan-12,OTHER GOODS AND SERVICES,COO,A4E LTD,2024021208,"Ł4,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,25-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024036506,"Ł1,104.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,26-Jan-12,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,COO,A4E LTD,2024094485,"Ł24,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,26-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2024094485,"Ł34,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,26-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2024094485,"Ł21,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,26-Jan-12,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,COO,A4E LTD,2024094485,"Ł21,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,24-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024025800,"Ł17,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,24-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024025800,Ł800.00,Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,26-Jan-12,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,COO,A4E LTD,2024094485,"Ł59,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,25-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024036507,"Ł13,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,25-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024036507,"Ł33,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,25-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024036507,"Ł29,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,24-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024025800,"Ł18,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,27-Jan-12,POSTAGE,COO,A4E LTD,2024099053,"Ł16,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,27-Jan-12,PROFESSIONAL FEES,COO,A4E LTD,2024099053,"Ł12,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,27-Jan-12,PROFESSIONAL FEES,COO,A4E LTD,2024099053,"Ł10,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,27-Jan-12,MISCELLANEOUS EXPENDITURE,COO,A4E LTD,2024099053,"Ł22,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,27-Jan-12,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,COO,A4E LTD,2024099053,"Ł14,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,31-Jan-12,,,A4E LTD,2024108165,"Ł24,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,31-Jan-12,,,A4E LTD,2024108165,"Ł2,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,31-Jan-12,,,A4E LTD,2024108165,"Ł5,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,31-Jan-12,,,A4E LTD,2024108165,"Ł8,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,30-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024102920,"Ł18,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,31-Jan-12,,,A4E LTD,2024108165,"Ł40,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,30-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024102920,"Ł13,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,30-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024102920,"Ł8,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,30-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024102920,"Ł21,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,30-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024102920,"Ł15,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,17-Jan-12,AOS CONTRACTED OUT SERVICES,COO,A4E LTD,2023942466,"Ł32,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,17-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023942466,"Ł33,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,17-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023942466,"Ł20,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,17-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023942466,"Ł26,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,17-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023942466,"Ł28,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,11-Jan-12,STAFF COSTS,COO,A4E LTD,2023868390,"Ł11,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,11-Jan-12,STAFF COSTS,COO,A4E LTD,2023868390,"Ł9,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,11-Jan-12,STAFF COSTS,COO,A4E LTD,2023868390,"Ł49,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,11-Jan-12,STAFF COSTS,COO,A4E LTD,2023868390,"Ł21,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,16-Jan-12,STAFF COSTS,F&C,A4E LTD,2023937858,"Ł9,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,16-Jan-12,STAFF COSTS,Change PMU,A4E LTD,2023937858,"Ł9,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,12-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023927092,"Ł10,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,13-Jan-12,PROFESSIONAL FEES,COO,A4E LTD,2023932811,"Ł8,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,13-Jan-12,PROFESSIONAL FEES,COO,A4E LTD,2023932811,"Ł4,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,16-Jan-12,STAFF COSTS,F&C,A4E LTD,2023937858,"Ł10,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,13-Jan-12,PROFESSIONAL FEES,COO,A4E LTD,2023932811,"Ł21,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,13-Jan-12,PROFESSIONAL FEES,COO,A4E LTD,2023932811,"Ł7,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,16-Jan-12,STAFF COSTS,F&C,A4E LTD,2023937858,"Ł24,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,16-Jan-12,STAFF COSTS,F&C,A4E LTD,2023937858,"Ł31,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,12-Jan-12,APPS DEV,CIT,A4E LTD,2023927092,"Ł33,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,12-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023927092,"Ł12,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,13-Jan-12,PROFESSIONAL FEES,COO,A4E LTD,2023932811,"Ł22,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,18-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023953095,"Ł16,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,18-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023953095,"Ł8,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,19-Jan-12,STAFF COSTS,COO,A4E LTD,2024012327,"Ł3,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,19-Jan-12,STAFF COSTS,COO,A4E LTD,2024012327,"Ł3,600.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,18-Jan-12,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,COO,A4E LTD,2023953095,"Ł20,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,19-Jan-12,STAFF COSTS,COO,A4E LTD,2024012327,"Ł14,000.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,19-Jan-12,STAFF COSTS,COO,A4E LTD,2024012327,"Ł11,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,18-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023953095,"Ł27,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,19-Jan-12,STAFF COSTS,COO,A4E LTD,2024012327,"Ł12,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,18-Jan-12,PRINTING STATIONERY IT CONSUMABLES,COO,A4E LTD,2023953095,"Ł7,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,04-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023788279,"Ł26,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,03-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023776998,"Ł22,800.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,03-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023776998,"Ł15,200.00",Welfare to Work,Client Facing,Contracted Employment Provision
Department for Work and Pensions,Employment Programmes,03-Jan-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023776998,"Ł16,400.00",Welfare to Work,Client Facing,Contracted Employment Provision
