Department Family,Entity,Date,EXPENSE TYPE,Expense Area,Supplier,Transaction Number,Transation Description,Amount
HM Treasury,HM Treasury,14-Jan-2013,CORPORATE CENTRE,Hmt Suspense,ROYAL MINT,102823,UK CIRCULATING METAL AND MANUFACTURING COSTS - DECEMBER 2012,2292120.83
HM Treasury,HM Treasury,16-Jan-2013,CORPORATE CENTRE,Estates,DTZ,101606,QUARTERLY EXPENDITURE FOR THE RENT & SERVICE CHARGES FOR ROSEBERY COURT - 1 JULY 2012 TO 30 SEPTEMBER 2012,26806.92
HM Treasury,HM Treasury,16-Jan-2013,CORPORATE CENTRE,Estates,EXCHEQUER PARTNERSHIP PLC,102906,"POST, GOODS AND PORTERAGE SERVICES - JANUARY 2013",34940.95
HM Treasury,HM Treasury,16-Jan-2013,FINANCIAL MANAGMENT REPORTING,Financial Management,GRANT THORNTON UK LLP,102672,QUARTERLY AGREED FEE FOR SECONDEES WORKING ON THE INTERNAL AUDIT TRANSFORMATION PROGRAMME,51000
HM Treasury,HM Treasury,16-Jan-2013,STRATEGY PLANNING AND BUDGET,"Strategy, Planning & Budget",THE STATIONERY OFFICE -TSO,102682,CHARGES IN REGARDS TO THE AUTUMN STATEMENT 2012,33200.15
HM Treasury,DMO,18-Jan-2013,DEBT MANAGEMENT OFFICE,Business Delivery,ARMADILLO MANAGED SERVICES LTD,102730,UPGRADE OF IT APPLICATION,63600
HM Treasury,HM Treasury,18-Jan-2013,TREASURY LEGAL ADVISORS,Legal Team,THE TREASURY SOLICITOR,102939,CHARGES FOR ADVISORY LAWYERS,335799.2
HM Treasury,HM Treasury,21-Jan-2013,PUBLIC SPENDING,Public Spending,GOVERNMENT ACTUARY'S DEPT,102935,ACTUARIAL ADVICE - DECEMBER 2012,30756.25
HM Treasury,HM Treasury,21-Jan-2013,FINANCIAL MANAGMENT REPORTING,Project OSCAR (inc DPI),IBM UK,102891,PROJECT OSCAR - INFRASTRUCTURE SERVICES - DECEMBER 2012 ,41248.8
HM Treasury,HM Treasury,22-Jan-2013,BUSINESS AND INTERNATIONAL TAX,Business & International Tax,OECD,102949,VOLUNTARY CONTRIBUTION TO THE ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT (OECD) TO PROGRESS WORK ON BASE EROSION AND PROFIT SHIFTING,126075
HM Treasury,DMO,23-Jan-2013,DEBT MANAGEMENT OFFICE,Business Delivery,ALGORITHMICS (UK) LTD,101249,RISK MANAGEMENT SOFTWARE MAINTENANCE AND SUPPORT - 31 JANUARY 2013 TO 30 JANUARY 2014,97792
HM Treasury,HM Treasury,23-Jan-2013,FISCAL,Fiscal,ROYAL MINT,102967,RECURRING SERVICES 4TH QUARTER - 2012/13,96218.78
HM Treasury,HM Treasury,25-Jan-2013,CORPORATE CENTRE,Knowledge & Information Management,FACTIVA LIMITED,102880,QUARTERLY INFORMATION FEE - JULY 2012 TO SEPTEMBER 2012,47875.1
HM Treasury,HM Treasury,25-Jan-2013,BUSINESS AND INTERNATIONAL TAX,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,102767,OPERATIONAL COSTS IN RELATION TO THE EQUITABLE LIFE PAYMENT SCHEME,47936.74
HM Treasury,HM Treasury,25-Jan-2013,BUSINESS AND INTERNATIONAL TAX,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,102765,OPERATIONAL COSTS IN RELATION TO THE EQUITABLE LIFE PAYMENT SCHEME,69203.96
HM Treasury,HM Treasury,25-Jan-2013,FISCAL,Fiscal,ROYAL MINT,102969,DESIGN COSTS FOR NEW COINS AND RECOVERY OF FREIGHT ON RETURNED COINS,32665.75
HM Treasury,DMO,28-Jan-2013,DEBT MANAGEMENT OFFICE,Business Delivery,SS&C TECHNOLOGIES,103057,ANNUAL INVESTMENT MANAGEMENT SOFTWARE SUPPORT FEE - 16 FEBRUARY 2013 TO 15 FEBRUARY 2014,162479.91
HM Treasury,HM Treasury,29-Jan-2013,BUSINESS AND INTERNATIONAL TAX,Business & International Tax,DELOITTE LLP,103127,PROFESSIONAL SERVICES ,34658
HM Treasury,HM Treasury,29-Jan-2013,CORPORATE CENTRE,Estates,EXCHEQUER PARTNERSHIP PLC,102907,UNITARY PAYMENT - JANUARY 2013,1768897.25
HM Treasury,HM Treasury,29-Jan-2013,CORPORATE CENTRE,JWS PROJECTS – OGDs Only,EXCHEQUER PARTNERSHIP PLC,103053,WORKPLACE OPTIMISATION PROJECT,23973.18
HM Treasury,HM Treasury,29-Jan-2013,CORPORATE CENTRE,JWS PROJECTS – OGDs Only,EXCHEQUER PARTNERSHIP PLC,103055,WORKPLACE OPTIMISATION PROJECT,234144.18
HM Treasury,HM Treasury,29-Jan-2013,CORPORATE CENTRE,IS Retained Services,GLOBAL CROSSING UK TELECOMMUNICATIONS LTD,101937,TELEPHONE & SERVICE COSTS ,125149.98
HM Treasury,HM Treasury,29-Jan-2013,ECONOMICS,Government Economic Service,HM REVENUE & CUSTOMS (WORTHING),103090,RECRUITMENT COST OF FAST STREAM ECONOMISTS FOR GOVERNMENT ECONOMIC SERVICE (GES) DEPARTMENTS (PROPORTION OF THE COSTS ARE TO BE RECOVERED FROM OTHER GOVERNMENT DEPARTMENTS) ,665000
HM Treasury,HM Treasury,29-Jan-2013,INTERNATIONAL AND EU,International & EU,INNOVISION EVENTS LTD,103015,IEU G7 EVENT MANAGEMENT,24912.26
HM Treasury,HM Treasury,29-Jan-2013,ECONOMICS,Economics,REUTERS LIMITED,102747,THOMSON REUTERS DATA STREAM LICENCE SUBSCRIPTION,14540.4
HM Treasury,HM Treasury,29-Jan-2013,INTERNATIONAL AND EU,International & EU,REUTERS LIMITED,102747,THOMSON REUTERS DATA STREAM LICENCE SUBSCRIPTION,14540.4
HM Treasury,HM Treasury,29-Jan-2013,BUSINESS AND INTERNATIONAL TAX,Equitable Life,TOWERS WATSON,103048,ACTURIAL SUPPORT TO HM TREASURY IN RESPECT OF THE EQUITABLE LIFE PAYMENT SCHEME - DECEMBER 2012,123500.59
HM Treasury,HM Treasury,31-Jan-2013,CORPORATE CENTRE,Hmt Suspense,BARCLAYCARD COMMERCIAL,103050,PURCHASING CARD STATEMENT - JANUARY 2013,54390.82
HM Treasury,HM Treasury,31-Jan-2013,CORPORATE CENTRE,Hmt Suspense,BARCLAYCARD COMMERCIAL,103049,LODGE CARD STATEMENT - JANUARY 2013,54632.72
HM Treasury,HM Treasury,31-Jan-2013,MINISTERIAL AND COMMUNICATIONS,Chancellors Office,CABINET OFFICE RM SHARED SERVICES,103154,RENT FOR DOWNING STREET - 2011/2012,495799.24
HM Treasury,HM Treasury,31-Jan-2013,BUSINESS AND INTERNATIONAL TAX,Equitable Life,DELOITTE MCS LTD,103166,COST FOR PROFESSTIONAL SERVICES FOR THE EQUITABLE LIFE PAYMENTS SCHEME - DECEMBER 2012 ,22520.07
HM Treasury,HM Treasury,31-Jan-2013,FINANCIAL MANAGMENT REPORTING,Project OSCAR (inc DPI),IBM UK,103058,PROJECT OSCAR - INFRASTRUCTURE SERVICES - JANUARY 2013 ,37149.6
HM Treasury,HM Treasury,31-Jan-2013,INTERNATIONAL AND UK,IUK,SLAUGHTER AND MAY,103006,LEGAL COSTS - OCTOBER 2012,69666
HM Treasury,HM Treasury,31-Jan-2013,INTERNATIONAL AND UK,IUK,SLAUGHTER AND MAY,103005,LEGAL COSTS - NOVEMBER 2012,76872
HM Treasury,HM Treasury,31-Jan-2013,INTERNATIONAL AND UK,IUK,SLAUGHTER AND MAY,103008,LEGAL COSTS - DECEMBER 2012,93690
