Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,28/10/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,G.W.Price Ltd,,,752245," 35,241.00 ",,,,
Department of Health,Department of Health,28/10/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,G.W.Price Ltd,,,752253," 30,735.00 ",,,,
Department of Health,Department of Health,28/10/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,G.W.Price Ltd,,,752249," 30,136.00 ",,,,
Department of Health,Department of Health,31/10/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Total Produce Plc,,,DUR1011," 39,520.00 ",,,,
Department of Health,Department of Health,31/10/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Total Produce Plc,,,B11100131865," 27,448.00 ",,,,
Department of Health,Department of Health,31/10/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Total Produce Plc,,,B11100131933," 33,472.00 ",,,,
Department of Health,Department of Health,31/10/2011,"SFVS - product & distribution cost, during October 2011",Health Improvement and Protection,Total Produce Plc,,,H11100131885," 30,982.00 ",,,,
Department of Health,Department of Health,31/10/2011,"SFVS - product & distribution cost, during October 2011",Health Improvement and Protection,Total Produce Plc,,,H11100131916," 27,047.00 ",,,,
Department of Health,Department of Health,31/10/2011,"SFVS - product & distribution cost, during October 2011",Health Improvement and Protection,Total Produce Plc,,,H11100131937," 28,734.00 ",,,,
Department of Health,Department of Health,01/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Peacheys Catering services Ltd,,,NHS1011-886," 81,057.00 ",,,,
Department of Health,Department of Health,01/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Peacheys Catering services Ltd,,,NHS1011-935," 47,856.00 ",,,,
Department of Health,Department of Health,01/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Peacheys Catering services Ltd,,,NHS1011-936," 56,005.00 ",,,,
Department of Health,Department of Health,01/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Peacheys Catering services Ltd,,,NHS1011-938," 38,010.00 ",,,,
Department of Health,Department of Health,01/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Peacheys Catering services Ltd,,,NHS1011-881," 88,132.00 ",,,,
Department of Health,Department of Health,01/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Total Produce Plc,,,W11100131352," 37,766.00 ",,,,
Department of Health,Department of Health,09/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Minor Weir & Willis Ltd,,,SFVS001566," 73,386.00 ",,,,
Department of Health,Department of Health,09/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Minor Weir & Willis Ltd,,,SFVS001535," 69,109.00 ",,,,
Department of Health,Department of Health,09/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Minor Weir & Willis Ltd,,,SFVS001568," 52,744.00 ",,,,
Department of Health,Department of Health,09/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Minor Weir & Willis Ltd,,,SFVS001562," 49,976.00 ",,,,
Department of Health,Department of Health,09/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Minor Weir & Willis Ltd,,,SFVS001552," 46,910.00 ",,,,
Department of Health,Department of Health,09/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Minor Weir & Willis Ltd,,,SFVS001547," 41,222.00 ",,,,
Department of Health,Department of Health,09/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Minor Weir & Willis Ltd,,,SFVS001560," 37,020.00 ",,,,
Department of Health,Department of Health,09/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Minor Weir & Willis Ltd,,,SFVS001569," 36,946.00 ",,,,
Department of Health,Department of Health,09/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Minor Weir & Willis Ltd,,,SFVS001570," 35,145.00 ",,,,
Department of Health,Department of Health,09/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Minor Weir & Willis Ltd,,,SFVS001549," 32,010.00 ",,,,
Department of Health,Department of Health,09/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Minor Weir & Willis Ltd,,,SFVS001567," 31,002.00 ",,,,
Department of Health,Department of Health,09/11/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,Minor Weir & Willis Ltd,,,SFVS001545," 29,024.00 ",,,,
Department of Health,Department of Health,01/12/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737644," 53,730.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737984," 481,171.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737977," 142,843.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,Outsourcing Contract,Health Improvement and Protection,ARISTA LABORATORIES EUROPE,SME,KT2 6HL,2631,"-4,073.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,Outsourcing Contract,Health Improvement and Protection,ARISTA LABORATORIES EUROPE,SME,KT2 6HL,2631," 4,073.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,Outsourcing Contract,Health Improvement and Protection,HM REVENUE AND CUSTOMS (HMRC),PUBLIC,BN12 4XH,1.80E+13," 108,641.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,"SFVS - product & distribution cost, during November 2011",Health Improvement and Protection,Peacheys Catering services Ltd,,,NHS1111-886," 119,942.00 ",,,,
Department of Health,Department of Health,01/12/2011,"SFVS - product & distribution cost, during November 2011",Health Improvement and Protection,Peacheys Catering services Ltd,,,NHS1111-209," 27,282.00 ",,,,
Department of Health,Department of Health,01/12/2011,"SFVS - product & distribution cost, during November 2011",Health Improvement and Protection,Peacheys Catering services Ltd,,,NHS1111-316," 33,147.00 ",,,,
Department of Health,Department of Health,01/12/2011,"SFVS - product & distribution cost, during November 2011",Health Improvement and Protection,Peacheys Catering services Ltd,,,NHS1111-935," 68,736.00 ",,,,
Department of Health,Department of Health,01/12/2011,"SFVS - product & distribution cost, during November 2011",Health Improvement and Protection,Peacheys Catering services Ltd,,,NHS1111-936," 82,858.00 ",,,,
Department of Health,Department of Health,01/12/2011,"SFVS - product & distribution cost, during November 2011",Health Improvement and Protection,Peacheys Catering services Ltd,,,NHS1111-938," 53,982.00 ",,,,
Department of Health,Department of Health,01/12/2011,"SFVS - product & distribution cost, during November 2011",Health Improvement and Protection,Peacheys Catering services Ltd,,,NHS1111-306," 31,331.00 ",,,,
Department of Health,Department of Health,01/12/2011,"SFVS - product & distribution cost, during November 2011",Health Improvement and Protection,Peacheys Catering services Ltd,,,NHS1111-845," 34,163.00 ",,,,
Department of Health,Department of Health,01/12/2011,"SFVS - product & distribution cost, during November 2011",Health Improvement and Protection,Peacheys Catering services Ltd,,,NHS1111-881," 125,687.00 ",,,,
Department of Health,Department of Health,01/12/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2386001-20-DEC-11," 79,428.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,Service charge,NHS CHIEF INFORMATION OFFICER,BT GROUP PLC,LARGE,NW9 6LB,281401," 38,607.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,Service charge,NHS CHIEF INFORMATION OFFICER,BT GROUP PLC,LARGE,NW9 6LB,281364," 107,508.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,Service charge,NHS CHIEF INFORMATION OFFICER,ATOS ORIGIN IT SERVICES UK LTD,LARGE,WS11 0JA,5584094042," 71,457.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,Addition Clearing - SW LIC,NHS CHIEF INFORMATION OFFICER,ATOS ORIGIN IT SERVICES UK LTD,LARGE,WS11 0JA,5584094037," 105,170.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,External Data Contracts,NHS CHIEF INFORMATION OFFICER,CABLE & WIRELESS UK,,,14034863," 161,808.00 ",,,,
Department of Health,Department of Health,01/12/2011,External Data Contracts,NHS CHIEF INFORMATION OFFICER,CABLE & WIRELESS UK,,,14042937," 161,808.00 ",,,,
Department of Health,Department of Health,01/12/2011,Legal / Prof Fees,NHS CHIEF INFORMATION OFFICER,DLA PIPER UK LLP,,,14034574," 158,231.29 ",,,,
Department of Health,Department of Health,01/12/2011,Legal / Prof Fees,NHS CHIEF INFORMATION OFFICER,DLA PIPER UK LLP,,,14034576," 103,180.25 ",,,,
Department of Health,Department of Health,01/12/2011,Legal / Prof Fees,NHS CHIEF INFORMATION OFFICER,DLA PIPER UK LLP,,,14034580," 132,940.00 ",,,,
Department of Health,Department of Health,01/12/2011,Legal / Prof Fees,NHS CHIEF INFORMATION OFFICER,DLA PIPER UK LLP,,,14034581," 86,767.69 ",,,,
Department of Health,Department of Health,01/12/2011,Rent of Land & Buildings (non-PFI operating lease),NHS FINANCE PERFORMANCE & OPERATIONS,ABPGP LTD,LARGE,RG7 4SA,SIAS1Q1048," 49,747.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,Outsourcing Contract,NHS MEDICAL DIRECTOR,HEALTHCARE QUALITY IMPROVEMENT PARTNERSHIP (HQIP),SME,EC3V 5AW,S0910," 37,482.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,Outsourcing Contract,NHS MEDICAL DIRECTOR,HEALTHCARE QUALITY IMPROVEMENT PARTNERSHIP (HQIP),SME,EC3V 5AW,S0910," 379,000.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007492,"-97,668.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007492," 97,668.00 ",,,Programme,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,LIVERPOOL PCT,PUBLIC,L13 1HN,HAFS-11789," 81,835,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,LONDON SHA,PUBLIC,SW1E 6QT,HAFS-11790," 153,376,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,LUTON TEACHING PCT,PUBLIC,LU1 2PJ,HAFS-11791," 24,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,MANCHESTER PCT,PUBLIC,M23 9LH,HAFS-11792," 70,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,MEDWAY TEACHING PCT,PUBLIC,ME19 4AX,HAFS-11793," 33,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,MID ESSEX PCT,PUBLIC,CM8 2TL,HAFS-11794," 36,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,MIDDLESBOROUGH PCT,PUBLIC,TS2 1RH,HAFS-11795," 17,600,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,MILTON KEYNES PCT,PUBLIC,MK6 5NG,HAFS-11796," 24,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),PUBLIC,SE1 7NT,HAFS-11797," 3,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NATIONAL PATIENT SAFETY AGENCY (NPSA),PUBLIC,W1T 5HD,HAFS-11798," 3,333,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),PUBLIC,WF3 1WE,HAFS-11799," 1,200,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NEWCASTLE PCT,PUBLIC,NE27 0QJ,HAFS-11800," 36,800,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NEWHAM PCT,PUBLIC,E1 1RD,HAFS-11801," 34,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-11802," 19,874,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev ND In RAB,NHS FC,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-11803," 1,697,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,PUBLIC,CV4 7AL,HAFS-11804," 5,700,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NHS LITIGATION AUTHORITY,PUBLIC,LS1 4AD,HAFS-11805," 13,912,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORFOLK PCT,PUBLIC,NR1 3FR,HAFS-11806," 89,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH EAST ESSEX PCT,PUBLIC,CO15 4AB,HAFS-11807," 38,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS,PUBLIC,DN33 2BA,HAFS-11808," 17,300,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH EAST SHA,PUBLIC,NE15 8NY,HAFS-11809," 25,100,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH LANCASHIRE PCT,PUBLIC,PR4 3AL,HAFS-11810," 37,201,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH LINCOLNSHIRE PCT,PUBLIC,DN20 8GS,HAFS-11811," 19,400,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH SOMERSET PCT,PUBLIC,BS2 8EE,HAFS-11812," 22,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH STAFFORDSHIRE PCT,PUBLIC,ST4 4LX,HAFS-11813," 24,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH TYNESIDE PCT,PUBLIC,NE27 0QJ,HAFS-11814," 25,900,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH WEST SHA,PUBLIC,M1 3BN,HAFS-11815," 56,200,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH YORKSHIRE & YORK PCT,PUBLIC,YO17 6QR,HAFS-11816," 92,200,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTHAMPTONSHIRE PCT,PUBLIC,NN5 6UH,HAFS-11817," 76,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTHUMBERLAND CARE TRUST,PUBLIC,NE27 0QJ,HAFS-11818," 40,800,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NOTTINGHAM CITY PCT,PUBLIC,NG1 6GN,HAFS-11819," 38,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,NOTTINGHAMSHIRE COUNTY TEACHING PCT,PUBLIC,NG5 7EU,HAFS-11820," 79,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,OLDHAM PCT,PUBLIC,OL9 6EE,HAFS-11821," 28,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,OXFORDSHIRE PCT,PUBLIC,OX4 4XN,HAFS-11822," 91,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,PETERBOROUGH PCT,PUBLIC,PE1 1FA,HAFS-11823," 18,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,PLYMOUTH TEACHING PCT,PUBLIC,PL6 5XZ,HAFS-11824," 28,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,PORTSMOUTH CITY TEACHING PCT,PUBLIC,PO4 8LD,HAFS-11825," 25,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,REDBRIDGE PCT,PUBLIC,WF3 1WE,HAFS-11826," 24,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,REDCAR AND CLEVELAND PCT,PUBLIC,TS14 7AA,HAFS-11827," 15,100,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,RICHMOND AND TWICKENHAM PCT,PUBLIC,KT5 9AL,HAFS-11828," 18,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,ROTHERHAM PCT,PUBLIC,S66 1YY,HAFS-11829," 30,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SALFORD PCT,PUBLIC,M6 5FW,HAFS-11830," 37,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SANDWELL PCT,PUBLIC,B70 9LD,HAFS-11831," 39,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SEFTON PCT,PUBLIC,L13 1HN,HAFS-11832," 39,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SHEFFIELD PCT,PUBLIC,S10 3TG,HAFS-11833," 77,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SHROPSHIRE COUNTY PCT,PUBLIC,SY3 8XL,HAFS-11834," 30,892,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOLIHULL PCT,PUBLIC,B91 3EF,HAFS-11835," 25,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOMERSET PCT,PUBLIC,WF3 1WE,HAFS-11836," 57,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH BIRMINGHAM PCT,PUBLIC,B7 4WS,HAFS-11837," 53,550,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH CENTRAL SHA,PUBLIC,WF3 1WE,HAFS-11838," 27,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH EAST COAST SHA,PUBLIC,RH6 7DE,HAFS-11839," 22,700,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH EAST ESSEX PCT,PUBLIC,SS2 6HE,HAFS-11840," 42,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH GLOUCESTERSHIRE PCT,PUBLIC,BS1 2NP,HAFS-11841," 24,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH STAFFORDSHIRE PCT,PUBLIC,WS15 1UL,HAFS-11842," 65,700,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH TYNESIDE PCT,PUBLIC,NE33 3DP,HAFS-11843," 20,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH WEST ESSEX PCT,PUBLIC,SS14 3HG,HAFS-11844," 48,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH WEST SHA,PUBLIC,WF3 1WE,HAFS-11845," 29,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTHAMPTON CITY PCT,PUBLIC,SO30 3JB,HAFS-11846," 32,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTHWARK PCT,PUBLIC,SE1 7NT,HAFS-11847," 35,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,STOCKPORT PCT,PUBLIC,SK7 5BY,HAFS-11848," 31,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,STOCKTON-ON-TEES TEACHING PCT,PUBLIC,TS17 6SF,HAFS-11849," 20,850,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,STOKE ON TRENT PCT,PUBLIC,ST4 4LX,HAFS-11850," 37,950,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SUFFOLK PCT,PUBLIC,IP3 8LS,HAFS-11851," 74,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SUNDERLAND TEACHING PCT,PUBLIC,NE37 1PR,HAFS-11852," 35,300,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SURREY PCT,PUBLIC,KT16 0QA,HAFS-11853," 124,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SUTTON AND MERTON PCT,PUBLIC,WF3 1WE,HAFS-11854," 47,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,SWINDON PCT,PUBLIC,SN10 5EQ,HAFS-11855," 18,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,TAMESIDE AND GLOSSOP PCT,PUBLIC,M34 2GP,HAFS-11856," 35,500,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,TELFORD & WREKIN PCT,PUBLIC,SY3 8XL,HAFS-11857," 17,382,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,TORBAY CARE TRUST,PUBLIC,TQ9 6JE,HAFS-11858," 19,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,TOWER HAMLETS PCT,PUBLIC,E1 1RD,HAFS-11859," 44,700,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,TRAFFORD PCT,PUBLIC,M16 0PQ,HAFS-11860," 24,800,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,WAKEFIELD DISTRICT PCT,PUBLIC,WF3 1WE,HAFS-11861," 43,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,WALSALL TEACHING PCT,PUBLIC,WS4 2BX,HAFS-11862," 40,750,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,WALTHAM FOREST PCT,PUBLIC,WF3 1WE,HAFS-11863," 29,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,WANDSWORTH TEACHING PCT,PUBLIC,WF3 1WE,HAFS-11864," 33,000,000.00 ",,,Other,
Department of Health,Department of Health,01/12/2011,CASH FUNDING Rev Inside RAB,NHS FC,WARRINGTON PCT,PUBLIC,WF3 1WE,HAFS-11865," 21,700,000.00 ",,,Other,
