Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Cabinet Office,Cabinet Office,10/08/11,Consultancy,GOVERNMENT CIO,CAPITA RESOURCING LTD,3000018561,"30,304.80","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice."
Cabinet Office,Cabinet Office,10/08/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CONNEXIONS CUMBRIA,3000018563,"250,224.00",National Citizen Service project grant
Cabinet Office,Cabinet Office,10/08/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,VOLUNTEERING ENGLAND,3000018586,"25,941.00",Payment for the delivery of the Sharing Learning lead role under the national work programme for the European year of Volunteering.
Cabinet Office,Cabinet Office,10/08/11,IT Costs,IT AND TELECOMS BRANCH,DWP,3000018565,"25,265.32",IT costs
Cabinet Office,Cabinet Office,11/08/11,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000018617,"935,484.24",Facilities Management Services
Cabinet Office,Cabinet Office,11/08/11,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000018634,"729,840.84",IT Managed Services covering July-Sept & june 
Cabinet Office,Cabinet Office,11/08/11,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000018634,"135,474.03",Web metrics services for May and June
Cabinet Office,Cabinet Office,11/08/11,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000018636,"106,216.33",TSOL - 2011/12 Fees and Disbursements.
Cabinet Office,Cabinet Office,11/08/11,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000018617,"81,164.76",Facilities Management Services
Cabinet Office,Cabinet Office,11/08/11,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000018617,"58,514.54",Facilities Management Services
Cabinet Office,Cabinet Office,11/08/11,Accomodation and Utilities,PRIME MINISTERS OFFICE,FCO SERVICES,3000018618,"40,881.60",Telecomms line rentals
Cabinet Office,Cabinet Office,11/08/11,IT Costs,GOVERNMENT DIGITAL SERVICE,CIMEX MEDIA LTD,3000018614,"37,343.86",MMS Hosting/DNS/Load testing requirements & Directgov mobile maintenance and support
Cabinet Office,Cabinet Office,11/08/11,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000018633,"35,658.07",Reprographic services
Cabinet Office,Cabinet Office,11/08/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE LINCOLNSHIRE & RUTLAND EBP,3000018646,"61,650.00",National Citizen Service project grant
Cabinet Office,Cabinet Office,15/08/11,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000018690,"171,342.37",High Integrity Telecomms System project costs
Cabinet Office,Cabinet Office,15/08/11,Agency and Temporary Staff,GOVERNMENT CIO,CAPITA RESOURCING LTD,3000018674,"25,461.00","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice."
Cabinet Office,Cabinet Office,15/08/11,Consultancy,SCHEME MANAGEMENT EXECUTIVE,TREASURY SOLICITOR TSOL,3000111,"117,073.34",Judicial Review costs
Cabinet Office,Cabinet Office,15/08/11,Accomodation and Utilities,ESTATE MANAGEMENT,MITIE MANAGED SERVICES LTD,3000018692,"38,574.80",Facilities Management Services
Cabinet Office,Cabinet Office,15/08/11,Accomodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000018680,"35,774.72",Facilities Management Services
Cabinet Office,Cabinet Office,16/08/11,Supplies and Services,ERG STRATEGY AND MANAGEMENT INFORMATION,EUROPEAN INSTITUTE OF PUBLIC ADMINISTRATION,2000211,"48,493.50",UK contribution to the work undertaken by the European Institute of Public Administration
Cabinet Office,Cabinet Office,16/08/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY TRANSITION FUND,3000018712,"3,948,769.00",Grant payment for the Transition Fund
Cabinet Office,Cabinet Office,16/08/11,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000018718,"55,594.34",High Integrity Telecomms System project costs
Cabinet Office,Cabinet Office,16/08/11,IT Costs,GOVERNMENT DIGITAL SERVICE,CIMEX MEDIA LTD,3000018714,"29,481.36",Made up of the same MMS Hosting/DNS/Load testing requirements shown above and Maintenace for to search for and remove bots
Cabinet Office,Government Procurement Service,16/08/11,WSDS Maint & Rep,WSDS,Cofely,PINDOH 33223,"39,005.82",Whitehall heating systems management
Cabinet Office,Government Procurement Service,16/08/11,WDHS Maint & Rep,WDHS,Cofely,PINDOH 33224,"62,514.50",Whitehall heating systems management
Cabinet Office,Government Procurement Service,16/08/11,Statutory Audit,Planning & Finance,National Audit Office,PINDOH 33263,"59,500.00",Annual statutory audit fees
National School of Government,National School of Government,16/08/11,Property costs:  Rent,Corporate Services & Operation,HM Revenue & Customs,64HMRE00408081108/08/2011,"418,215.83",Rent for accomodation
Cabinet Office,Cabinet Office,17/08/11,IT Costs,IT AND TELECOMS BRANCH,CABLE & WIRELESS PLC,3000018730,"100,479.82",Legacy System Support costs -Government Secure Internet
Cabinet Office,Cabinet Office,17/08/11,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,DWP,3000018735,"73,915.20",Dedicated staffing resource to support the data matching pilots
Cabinet Office,Cabinet Office,18/08/11,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000018782,"325,345.98",High Integrity Telecomms System project costs
Cabinet Office,Cabinet Office,18/08/11,Consultancy,FINANCIAL MANAGEMENT,AON HEWITT LTD,3000018774,"34,636.00",Professional services
Cabinet Office,Cabinet Office,18/08/11,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,SCOTLAND OFFICE,3000018790,"30,800.00","Transfer of funds to be used by the Boundary Commission for Scotland to conduct public hearings in relation to the review of Parliamentary constituency boundaries, following amendments made during the passage of the Parliamentary Voting System and Constituencies Act 2011."
Cabinet Office,Cabinet Office,18/08/11,IT Costs,PRIME MINISTERS OFFICE,CABLE & WIRELESS,3000018776,"26,484.35",Telecomms line rentals
National School of Government,National School of Government,18/08/11,Copy Charges and Hire,Corporate Services & Operation,Ricoh UK Limited,64INFO0088644408108/08/2011,"30,371.05",Copy charges for printing machines in Reprographics Department
Cabinet Office,Cabinet Office,19/08/11,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000018831,"39,312.00",Provision of telecommunications service.
Cabinet Office,Cabinet Office,19/08/11,Accomodation and Utilities,PRIME MINISTERS OFFICE,SAFE SSG 6231,3000018824,"26,784.86",Maintenance of physical and electronic security equipment
Cabinet Office,Cabinet Office,22/08/11,Other Staff Related Costs,CIVIL SERVICE PENSIONS,DWP,3000018852,"1,440,040.02",MyCSP Programme costs
Cabinet Office,Cabinet Office,22/08/11,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,ADVALUS LTD,3000018841,"66,675.00","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice."
Cabinet Office,Cabinet Office,22/08/11,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000018856,"73,074.92",Building Restoration of 10 Downing Street
Cabinet Office,Cabinet Office,22/08/11,IT Fees,PRIME MINISTERS OFFICE,E VOLVE,3000018854,"70,150.40",IT Maintenance
Cabinet Office,Cabinet Office,22/08/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUTHNET UK,3000018875,"175,000.00",Transition funding for a youth volunteering web site.
Cabinet Office,Cabinet Office,22/08/11,Accomodation and Utilities,PRIME MINISTERS OFFICE,BT,3000018846,"56,139.54",Telecomms line rentals
Cabinet Office,Cabinet Office,22/08/11,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,BADENOCH&CLARK,3000018844,"42,627.60",Interim IT Specialist
Cabinet Office,Cabinet Office,22/08/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,VOICE4CHANGE ENGLAND LTD,3000018872,"26,666.00",Grant to support a two part report and related activities providing policy advice regarding tackling inequalities present in the Big Society.
Cabinet Office,Government Procurement Service,23/08/11,SAP Rental,Network Services,Global Crossing,PINMTS 20548,"51,293.26",Government managed telecoms contract
Cabinet Office,Cabinet Office,24/08/11,Accomodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000018904,"61,919.64",Business rates
Cabinet Office,Cabinet Office,25/08/11,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000018911,"1,808,333.33",Monitoring services provided by the BBC
Cabinet Office,Cabinet Office,25/08/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BUSINESS IN THE COMMUNITY,3000018914,"124,907.00",Project grant to deliver and evaluate a pilot of 20 Business Connectors in communities across England.
Cabinet Office,Government Procurement Service,25/08/11,Bravo License Costs,IT,Bravosolution UK Ltd,PINDOH 33245,"33,420.00",Licences for procurement evaluation system
Cabinet Office,Government Procurement Service,25/08/11,GSI COS,Network Services,CESG,PINDOH 33285,"46,833.00",Security costs for government secure intranet
Cabinet Office,Cabinet Office,26/08/11,IT Costs,POLITICAL AND CONSTITUTIONAL REFORM,ORDNANCE SURVEY,3000018954,"163,443.71",Creation and supply of constituency maps in relation to the review of Parliamentary constituency boundaries by the Boundary Commission for England 
Cabinet Office,Cabinet Office,26/08/11,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000018959,"82,024.00",2011/12 Treasury Solicitor Capitation costs.
Cabinet Office,Cabinet Office,26/08/11,"Travel, Subsistence and Hospitality",POLITICAL AND CONSTITUTIONAL REFORM,FOREIGN & COMMONWEALTH OFFICE,3000018941,"67,826.84",Event costs for the British Irish Council Summit 2011 hosted by the UK
Cabinet Office,Cabinet Office,26/08/11,IT Costs,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,3000018958,"66,000.00",Central Chancery charges for administration of Honours
Cabinet Office,Cabinet Office,26/08/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NCVO,3000018952,"175,000.00",Grant to Compact Voice - to promote positive relations between civil society and government
Cabinet Office,Cabinet Office,30/08/11,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000018970,"79,518.07",Fast stream recruitment
Cabinet Office,Cabinet Office,30/08/11,Agency and Temporary Staff,GOVERNMENT CIO,CAPITA RESOURCING LTD,3000018968,"51,272.95","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice."
Cabinet Office,Cabinet Office,30/08/11,Supplies and Services,SCHEME MANAGEMENT EXECUTIVE,TREASURY SOLICITOR TSOL,3000018973,"31,229.74",Legal advice from Tsol
Cabinet Office,Cabinet Office,30/08/11,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000018967,"31,080.00",Interim IT Specialist
Cabinet Office,Cabinet Office,31/08/11,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,RETHINK RECRUITMENT SOLUTIONS LTD,3000018986,"29,820.00",Interim IT Specialist
