Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Supplier Type,Contract Number,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,31-May-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6529,"£11,379,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,17-May-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6526,"£11,900,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,17-May-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6526,"£12,100,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,24-May-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6528,"£13,262,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,11-May-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6523,"£15,182,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,11-May-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6523,"£15,318,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,31-May-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6529,"£15,321,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,24-May-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6528,"£15,538,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,03-May-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6521,"£35,235,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,03-May-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6521,"£50,265,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,03-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074283,"£25,776.26","CCN1484-01 - Variable Laptop RAS Charge Ongoing
",WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,04-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074627,"£26,319.58",Atos ICT Other (VAT Rec) FY12/13 (Schedule),WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,03-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074283,"£27,180.00","Variable Laptop Encryption Charge
",WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1075469,"£27,665.40",FJS Programme & Project Mgmt   Managed Service (Schedule),WA3 9BD,,,0,Programme
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1075491,"£28,180.55",ICT Printing - Liberata Print Charges,NP10 9XA,,,0,Programme
Ministry of Justice,MoJ HQ,03-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CACI LTD,1074322,"£29,328.75",YJB CCN2723-01 - Costs for CACI development work for eAsset National Standards,W14 8TS,,,0,Programme
Ministry of Justice,MoJ HQ,03-May-12,212001-Agency staff,PZ501-MoJ ICT Feeder,CAPITA RESOURCING LTD,1074326,"£29,430.00",Provision of Senior IT Programme Director PCMS Programme (Programme Director),SL6 1DP,,,0,Programme
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1075436,"£30,327.00",CJSM Managed Service,MK3 5JP,,,0,Programme
Ministry of Justice,MoJ HQ,17-May-12,212001-Agency staff,PZ501-MoJ ICT Feeder,CAPITA RESOURCING LTD,1075184,"£30,428.55",Provision of Infrastructure Services Analyst,SL6 1DP,,,0,Programme
Ministry of Justice,MoJ HQ,08-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CACI LTD,1074660,"£31,900.50","CCN CA2949-02-v11 - E-Asset Work package 4								",W14 8TS,,,0,Programme
Ministry of Justice,MoJ HQ,17-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ACTICA CONSULTING LTD,1075144,"£33,575.00",This PO is for the services of the Architecture Managed Service. For the period April-October 2012.  It relates to non rechargeable costs (Schedule),GU2 7YF,SME,,0,Admin
Ministry of Justice,MoJ HQ,10-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1074864,"£34,464.98",Managed Service - Governance Apr-11 to Mar-12,WA3 9BD,,,0,Programme
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1075469,"£34,464.98",FJS Governance   Managed Service (Schedule),WA3 9BD,,,0,Programme
Ministry of Justice,MoJ HQ,08-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1074760,"£36,342.60",OMNI Blackberry Support,M14 0WN,,,0,Programme
Ministry of Justice,MoJ HQ,30-May-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1076132,"£36,672.61","CCN L-S-2757-07 - CREST (E001) CCN L-S-2757-07 CREST Re-Platforming T&M Apr-Jun 2012 (441 resource days) - Build Phase - Plans (Dry Run, Rollout, Gap Analysis, Risk mitigation), NLE Build/Deploy, Full CCN L-S-2757-04 response",CF31 9AP,,,E001,Programme
Ministry of Justice,MoJ HQ,03-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074283,"£36,869.00",Device Volumes  MOJ - Catalogue Items references - DRMVL010/DRMVL020/ DRMVL030/DRMVL040,WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1075469,"£38,202.00",CCN377 - OPG system Replacement Project: 8th July 2011 to 30th September 2011 - Prepration of FBC    Detailed Analysis Report - a detailed assessment of the customer issue or opportunity area,WA3 9BD,,,0,Admin
Ministry of Justice,MoJ HQ,03-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074283,"£38,724.50","A-R-01650-01.V01 - 	LSC Variable Charges for Desktops, laptops, RAS :  2011/12					  	 	",WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,24-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1075586,"£39,775.00",CCN2124-03 - X-Kryptor Key-Material refresh & KMS provision One Off Costs,WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,31-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1076230,"£40,000.02","A-S-01348-07-v03 - Decommissioning of automated Service and Product Catalogue-Ongoing charges  					 	 	 	",WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,17-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1075176,"£40,022.00",SM-DISC Prison to Courts Video Links  and HMCS Court Connectivity (Schedule),MK3 5JP,,,0,Programme
Ministry of Justice,MoJ HQ,31-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1076239,"£40,022.00",SM-DISC Prison to Courts Video Links  and HMCS Court Connectivity (Schedule),MK3 5JP,,,0,Programme
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1075469,"£41,573.03",Fujitsu Advisory Service CCN377 Innovation and Initial Analysis service for HMCTS - Exploration of Information sharing for CJ Efficiency 01/11/2011 to 31/01/2012 - Preparation of initial draft report & 31/01/2012 to 31/03/2012 -Final Report,WA3 9BD,,,0,Admin
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1075469,"£41,573.03",Fujitsu Advisory Service CCN377 Innovation and Initial Analysis service for Business Planning for Information sharing for CJ Efficiency 01/01/2012 to 15/02/2012 - Preparation of initial draft report & 16/02/2012 to 31/03/2012 - final report,WA3 9BD,,,0,Admin
Ministry of Justice,MoJ HQ,10-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CAPITA BUSINESS SERVICES LTD,1074824,"£42,375.00",IAPS Support and Maintenance from Capita from Apr11 to Mar13 - monthly support costs & IAPS Expenses (Replaces PO 10000025458 - Change in Supplier Name),DL1 9HN,,,0,Programme
Ministry of Justice,MoJ HQ,10-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CAPITA BUSINESS SERVICES LTD,1074824,"£42,375.00",IAPS Support and Maintenance from Capita from Apr11 to Mar13 - monthly support costs & IAPS Expenses (Replaces PO 10000025458 - Change in Supplier Name),DL1 9HN,,,0,Programme
Ministry of Justice,MoJ HQ,10-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CAPITA BUSINESS SERVICES LTD,1074824,"£42,375.00",IAPS Support and Maintenance from Capita from Apr11 to Mar13 - monthly support costs & IAPS Expenses (Replaces PO 10000025458 - Change in Supplier Name),DL1 9HN,,,0,Programme
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1075469,"£42,408.42",FJS Service Desk   Managed Service (Schedule),WA3 9BD,,,0,Programme
Ministry of Justice,MoJ HQ,10-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074798,"£44,749.81",ICT Telephony (Schedule),WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,24-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1075586,"£44,867.00",CCN2124-03 - X-Kryptor Key-Material refresh & KMS provision One Off Costs,WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,14-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,VP TREEN & ASSOCIATES,1075120,"£45,000.00","""WebCACTUS RFC Part 1 (Budget Item: ¿CACTUS RFC days 100 @ £600 per day (VP Treen Ltd)¿)""",TW2 7PJ,,,0,Programme
Ministry of Justice,MoJ HQ,17-May-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1075281,"£50,665.29"," CCN3306-03  - Network Information Security Enhancements (NISE) Project T&M extension .	 	 	",CF31 9AP,,,E003,Programme
Ministry of Justice,MoJ HQ,08-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,IBM (UNITED KINGDOM) LTD,1074701,"£53,684.79",Addition of Service Extension for Lotus Domino v7.0 on Windows for a period of 3 months starting 01/04/2012 to 30/06//2012.,PO6 3AE,,,0,Programme
Ministry of Justice,MoJ HQ,24-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1075586,"£56,100.00",CCN 3072-01 (01/07/11 - 02/09/11) - Resource,WV10 6UH,,,E149,Programme
Ministry of Justice,MoJ HQ,24-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,DETICA LTD,1075657,"£57,680.00",This PO is for the services of the IA Managed Service. For the period April-October 2012.   It relates to non-rechargeable costs (Schedule),GU2 7YP,,,0,Admin
Ministry of Justice,MoJ HQ,30-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,DETICA LTD,1076073,"£57,680.00",PL111-This relates to an IA managed Service (Core Services),GU2 7YP,,,0,Admin
Ministry of Justice,MoJ HQ,30-May-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1076092,"£58,763.03",EIP2NetSec (E134) Fujitsu CCNF391-02 AV Boundary (Ref Steve Nye) - One off charge,WA3 9BD,,,E134,Programme
Ministry of Justice,MoJ HQ,24-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1075586,"£58,788.00",CCN A-R-2277-01 - Resources - CP-MR  01/11/2011 - 31/03/2012 (One Off Costs),WV10 6UH,,,E149,Programme
Ministry of Justice,MoJ HQ,30-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1076092,"£58,836.81",FJS Licensing  Managed Service (Schedule),WA3 9BD,,,0,Programme
Ministry of Justice,MoJ HQ,14-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074988,"£63,001.00",CCN2277-01 - NOP Main CCN,WV10 6UH,,,E149,Programme
Ministry of Justice,MoJ HQ,10-May-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1074901,"£68,863.70"," CCN3306-03  - Network Information Security Enhancements (NISE) Project T&M extension .	 	 	",CF31 9AP,,,E003,Programme
Ministry of Justice,MoJ HQ,30-May-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1076021,"£70,333.00","CCN A-S-2558-02-v01 - DARTS NRO hardware					  	 	",WV10 6UH,,,E117,Programme
Ministry of Justice,MoJ HQ,24-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,PROBRAND LTD,1075796,"£71,900.00",Consultancy Services,B1 3BP,,,0,Programme
Ministry of Justice,MoJ HQ,10-May-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1074949,"£75,454.00","CCNS193 EIP2NetSec AV Boundary (ref Martyn Maltby) - Mst 2 System Test					",M14 0WN,,,E134,Programme
Ministry of Justice,MoJ HQ,30-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,DETICA LTD,1076073,"£76,143.60",PL111 - This relates to an IA managed Service (Catalogue),GU2 7YP,,,0,Admin
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1075469,"£76,404.49",Fujitsu Advisory Service CCN337 Detailed Analysis service for NOMS - information sharing.    01/11/11 to 29/2/12 - Preparation of report & Finalisation of the Detailed Analysis report,WA3 9BD,,,0,Admin
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1075469,"£76,404.49","Fujitsu Advisory Service CCN337 Detailed Analysis service for Y2A information sharing using the Exchange, DRs or other solution. 01/11/11 to 15/1/12 - Preparation of draft report. 15/1/12 to 15/3/12 -  Preparation of final report.",WA3 9BD,,,0,Admin
Ministry of Justice,MoJ HQ,24-May-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1075586,"£83,109.24",CCN 3197-02 - Replace Failed Obsolete AEL VIW equipment at 25 courts (One Off Cost),WV10 6UH,,,E004,Programme
Ministry of Justice,MoJ HQ,24-May-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1075586,"£83,109.24",CCN 3197-02 - Replace Failed Obsolete AEL VIW equipment at 25 courts (One Off Cost),WV10 6UH,,,E004,Programme
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1075491,"£87,114.39",ICT Printing - Liberata Print Charges,NP10 9XA,,,0,Programme
Ministry of Justice,MoJ HQ,08-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1074760,"£97,305.71",PO200- OMNI Contract - Agency Area RfS,M14 0WN,,,0,Programme
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1075469,"£101,827.94",FJS Security Management  Managed Service (Schedule),WA3 9BD,,,0,Programme
Ministry of Justice,MoJ HQ,03-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074283,"£104,931.00",A-R-02707-09.V02 - LSC New Dev - Test Backup Environment .,WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,11-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE,1446,"£106,117.28",YJB - Ongoing - eAsset & YJ MIS Hosting Charge from Home Office IT,NP20 9BB,,,0,Programme
Ministry of Justice,MoJ HQ,30-May-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,HOME OFFICE,1538,"£134,174.36",Consultancy services delivered to the LSC IDP Programme running from 1st November 2011 to 31st March 2012,NP20 9BB,,,0,Programme
Ministry of Justice,MoJ HQ,03-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074283,"£134,697.04","A-R-01650-01.V01 - 	LSC Variable Charges for Desktops, laptops, RAS :  2011/12					  	 	",WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1075469,"£146,534.86",FJS Service Management   Managed Service (Schedule),WA3 9BD,,,0,Programme
Ministry of Justice,MoJ HQ,03-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074283,"£154,161.00",CCN A-R-01986-15.V04 - IDP DR Hardware Infrastructure (One Off Costs),WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,03-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074283,"£157,500.00","Variable Laptop Charge
",WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,10-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1074901,"£164,307.29",ICT Other (Schedule),CF31 9AP,,,0,Programme
Ministry of Justice,MoJ HQ,31-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1076304,"£164,487.13",Steria ICT Telephony (NON VAT Rec) FY12/13 (Schedule),M14 0WN,,,0,Programme
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1075413,"£172,156.62",ICT Other (Schedule),WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,24-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,DETICA LTD,1075657,"£179,037.97",This PO is for the services of the IA Managed Service. For the period April-October 2012.   It relates to Re-chargeable costs (Schedule),GU2 7YP,,,0,Admin
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1075469,"£179,725.50",FJS Operations - Production Environment   Managed Service (Schedule),WA3 9BD,,,0,Programme
Ministry of Justice,MoJ HQ,04-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074627,"£179,955.00",ICT Laptops (Schedule),WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,17-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1075359,"£184,823.05",OMNI Project Services,M14 0WN,,,0,Programme
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1075534,"£190,093.00",CJSE - Base Support(Fixed) (Schedule),M14 0WN,,,0,Programme
Ministry of Justice,MoJ HQ,03-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074283,"£191,315.25","Variable Laptop Charge
",WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,10-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1074901,"£196,477.87",ICT Printing (Schedule),CF31 9AP,,,0,Programme
Ministry of Justice,MoJ HQ,24-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1075613,"£199,135.77",SM-SMXi CJS Secure E-mail Managed Service (Schedule),MK3 5JP,,,0,Programme
Ministry of Justice,MoJ HQ,31-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1076304,"£205,779.36",Steria ICT Other (VAT Rec) FY12/13 (Schedule),M14 0WN,,,0,Programme
Ministry of Justice,MoJ HQ,30-May-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1076021,"£206,193.00",CCN A-R-3436-01-v02 - Atos resources to rollout DARTS (One Off Cost),WV10 6UH,,,E117,Programme
Ministry of Justice,MoJ HQ,14-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074988,"£235,836.00",CCN2277-01 - NOP Main CCN,WV10 6UH,,,E149,Programme
Ministry of Justice,MoJ HQ,30-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1076092,"£240,383.75",FJS Operations - Other + Discount & Gain Share   Managed Service (Schedule),WA3 9BD,,,0,Programme
Ministry of Justice,MoJ HQ,31-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1076304,"£244,859.86",Steria ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),M14 0WN,,,0,Programme
Ministry of Justice,MoJ HQ,08-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,NINIAN SOLUTIONS LTD,1074727,"£251,000.00",Provision of a managed service (Huddle) Managed Service,SE1 3TQ,,,0,Admin
Ministry of Justice,MoJ HQ,21-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1075413,"£280,134.00",ICT Other (Schedule),WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,30-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,DETICA LTD,1076073,"£295,374.64",PL111- This relates to an IA managed Service (Work Packages),GU2 7YP,,,0,Admin
Ministry of Justice,MoJ HQ,03-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074283,"£301,862.70","A-R-01650-01.V01 - 	LSC Variable Charges for Desktops, laptops, RAS :  2011/12					  	 	",WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,08-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1074760,"£308,802.20",OMNI LLS,M14 0WN,,,0,Programme
Ministry of Justice,MoJ HQ,17-May-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1075150,"£320,360.00","CCN A-R-2557-02-v07	   Capital Expenditure 	 	",WV10 6UH,,,E117,Programme
Ministry of Justice,MoJ HQ,24-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1075586,"£344,000.00",CCN A-R-0313-01-C03 - EPE refresh,WV10 6UH,,,E159,Programme
Ministry of Justice,MoJ HQ,17-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ACTICA CONSULTING LTD,1075144,"£347,758.26",This PO is for the services of the Architecture Managed Service. For the period April-October 2012.  It relates to rechargeable costs (Schedule),GU2 7YF,SME,,0,Admin
Ministry of Justice,MoJ HQ,04-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074627,"£361,074.00",ICT Service Desk (Schedule),WV10 6UH,,,0,Programme
Ministry of Justice,MoJ HQ,31-May-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1076304,"£375,753.03",Steria ICT Hosting (VAT Rec) FY12/13 (Schedule),M14 0WN,,,0,Programme
