Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,PO Line Description,Contract Number,Project Code
,,03/02/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),PUBLIC,SE1 7NT,HAFS-16387," 5,000,000 ",,,
,,03/02/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-16388," 13,200,000 ",,,
,,03/02/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND CBA033,PUBLIC,LS2 7UE,HAFS-16389," 3,382,574,000 ",,,
,,03/02/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS TRUST DEVELOPMENT AUTHORITY,PUBLIC,SW1E 6QT,HAFS-16390," 4,500,000 ",,,
,,03/02/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,PUBLIC HEALTH ENGLAND PHE033,PUBLIC,SP4 0JG,HAFS-16391," 100,000,000 ",,,
,,03/02/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND CBA033,PUBLIC,LS2 7UE,HAFS-16392," 4,673,016,000 ",,,
,,03/02/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,BARTS HEALTH NHS TRUST,PUBLIC,E1 8PR,HAFS-16393," 268,000 ",,,
,,03/02/2014,Additions PDC Revenue Support NHS T Permenant,DG: Central Technical,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,PUBLIC,CM20 1QX,HAFS-16394," 9,391,000 ",,,
,,03/02/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,PUBLIC,DN4 8QN,HAFS-16395," 125,000 ",,,
,,03/02/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,ROYAL FREE LONDON NHS FOUNDATION TRUST,PUBLIC,NW3 2QG,HAFS-16396," 85,000 ",,,
,,03/02/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,PUBLIC,M23 9LT,HAFS-16397," 429,000 ",,,
,,03/02/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,WA7 2DA,HAFS-16398," 176,000 ",,,
,,03/02/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,AIREDALE NHS FOUNDATION TRUST,PUBLIC,BD20 6TD,HAFS-16405," 77,000 ",,,
,,03/02/2014,Additions PDC Revenue Support NHS FT Permenant,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PE3 6DA,HAFS-16406," 3,600,000 ",,,
,,03/02/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,PUBLIC,CM20 1QX,HAFS-16407," 1,792,000 ",,,
,,03/02/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,PUBLIC,M23 9LT,HAFS-16408," 1,000,000 ",,,
,,03/02/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,HAFS-16409," 2,147,000 ",,,
,,03/02/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,WA7 2DA,HAFS-16410," 350,000 ",,,
,,03/02/2014,Additions NHS Trust Working Capital Loans,DG: Central Technical,CALDERDALE & HUDDERSFIELD NHS FOUNDATION TRUST,PUBLIC,HD3 3EA,HAFS-16411," 1,050,000 ",,,
,,03/02/2014,Additions NHS Trust Working Capital Loans,DG: Central Technical,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DN15 7BH,HAFS-16412," 1,871,000 ",,,
,,03/02/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,SME,TS17 6YG,4106001-10-FEB-14," 1,721 ",,,
,,03/02/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,LARGE,WS11 0JA,5584150378," 1,354,393 ",December 2013 IMS3 Open Service charges,,
,,03/02/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,LARGE,WS11 0JA,5584150411," 32,404 ",PPR0092-01: DH Interim Managed Print Service,,
,,03/02/2014,Addition Clearing - IT,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,LARGE,WS11 0JA,5584150445," 25,940 ",Lync Specialist to support the UAT and deployment planning for VOIP,,
,,03/02/2014,Building repairs & maintenance,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,LARGE,WS11 0JA,5584150492," 26,912 ",IT/Telephony Activities in Skinpton House and Richmond House - Ref: PPR-0149,,
,,03/02/2014,Outsourcing Contract,DG: SFNHS,CAPITA BUSINESS SERVICES LTD,LARGE,SW1H 0XA,93414610," 262,826 ",Management & Delivery of Payment by Results Data Assurance Framework,,
,,03/02/2014,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,2920116," 36,013 ","Quarry House Leeds - Accomm. Costs April 2013 - March 2014 Utilities Charge@£44,615.20 mthly.",,
,,04/02/2014,Addition Clearing - SW LIC,DG: GOAD,BJSS LTD,SME,LS1 2TW,11158," 65,692 ",Capital: Spine 2 - CCN BJSS increase in contract value,,
,,04/02/2014,Service charge,DG: GOAD,THE ACCENTURE GROUP,LARGE,EC4N 4TW,3003233869," 1,161,122 ",PACS East: 13/14 costs (all revenue),,
,,04/02/2014,Service charge,DG: GOAD,THE ACCENTURE GROUP,LARGE,EC4N 4TW,3003233869," 1,201,688 ",Revenue: PACS NE F/Y 2013/14,,
,,04/02/2014,Service charge,DG: GOAD,THE ACCENTURE GROUP,LARGE,EC4N 4TW,3003233869," 785,778 ",Revenue: Accenture PACS  Service Charges for October 2013 to March 2014,,
,,04/02/2014,Service charge,DG: GOAD,BT GROUP PLC,LARGE,NW9 6LB,346047," 7,668,947 ",N3: 2013/14,,
,,04/02/2014,IT minor costs non capital,DG: GOAD,COMPUTACENTER UK LTD,LARGE,AL10 9TW,3880020090," 754,080 ","PHE mini competition against the Framework RM1692, ITH & S, Lot 11",,
,,04/02/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,SME,TS17 6YG,4106001-10-FEB-14," 2,541 ",,,
,,04/02/2014,Service charge,DG: GOAD,BULL INFORMATION SYSTEMS LTD,LARGE,"HP2 7DZ		",51301," 38,400 ",Revenue: Spine 2. Bull - Wallix Units,,
,,04/02/2014,Addition Clearing - SW LIC,DG: GOAD,BULL INFORMATION SYSTEMS LTD,LARGE,"HP2 7DZ		",64814," 96,000 ",Capital: Spine 2. Bull - Wallix Units,,
,,04/02/2014,Building repairs & maintenance,DG: GOAD,TELEREAL TRILLIUM,LARGE,LS11 9DX,653702," 140,024 ","Telereal Trillium Works, for 5th floor works SE and E01",,
,,04/02/2014,Building repairs & maintenance,DG: GOAD,TELEREAL TRILLIUM,LARGE,LS11 9DX,655298," 209,158 ","Quarry House Works, for 5th floor works SE and NE - Maintanance",,
,,04/02/2014,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,LARGE,GU21 6QX,90154282," 109,404 ",CS/2013/02- Horizon Scanning,,
,,04/02/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010436," 104,219 ",CPA for DH ESR Contract - NLMS Monthly Service Charges FY13-14 see DH/McKesson HR and Payroll Contract Ref 2222,,
,,04/02/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010436," 126,646 ",CPA for DH ESR Contract - RPP Monthly Service Charges FY13-14 see DH/McKesson HR and Payroll Contract Ref 2222,,
,,04/02/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010436," 2,789,126 ",CPA for DH ESR Contract - ESR Monthly Service Charges FY13-14 see DH/McKesson HR and Payroll Contract Ref 2222,,
,,04/02/2014,Addition Clearing - SW LIC,DG: GOAD,INTECHNOLOGY LTD,LARGE,HG3 1UG,MANI4496," 25,831 ",Spine 2 - In Technology Capital costs 13/14,,
,,04/02/2014,Addition Clearing - SW LIC,DG: GOAD,INTECHNOLOGY LTD,LARGE,HG3 1UG,MANI4523," 32,460 ",Spine 2 - In Technology Capital costs 13/14,,
,,05/02/2014,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,PUBLIC,EX2 7HY,6284096," 199,167 ",Monthly charge for hosting of the Ambulance Radio Programme,,
,,05/02/2014,Research & development,DG: RDD,NPL MANAGEMENT LTD,LARGE,TW11 0LW,118538," 188,484 ",Invention for Innovation,,
,,05/02/2014,Research & development,DG: RDD,LGC LTD,LARGE,TW11 0LY,50289361," 852,078 ",Central Commissioning Function,,
,,05/02/2014,Printing,DG: GOAD,XEROX BUSINESS SERVICES,LARGE,UB8 1HS,900116902," 29,390 ","Reprographics - Management Fees @ £24,491.38 mthly Dec-13 to Mar-14 (4mths)",,
,,05/02/2014,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,LARGE,GU21 6QX,90153648," 58,948 ",WO/2013/17 (ex WO/2013/05) - EU Joint Action element only,,
,,05/02/2014,Outsourcing Contract,DG: SCLGCP,WEST MIDLANDS POLICE AUTHORITY,PUBLIC,B4 6NQ,132750," 159,000 ",Street triage project funding - 2013-14 (West Midland Police),,
,,06/02/2014,Research & development,DG: RDD,HEALTH EDUCATION ENGLAND T1510,PUBLIC,LS1 4PL,49292499," 13,813,916 ",Integrated Academic Training,,
,,06/02/2014,Radio communications,DG: SFNHS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,LARGE,SL1 2EJ,0900000137-328," 267,594 ",Airwaves - Core Service Charges,,
,,06/02/2014,Outsourcing Contract,DG: SFNHS,SIX TO START LTD,SME,NW5 1LP,INV-0011," 24,278 ",SBRI Development  Funding - Behaviour Change,,
,,06/02/2014,Outsourcing Contract,DG: PHD,OFFICE FOR NATIONAL STATISTICS ONS,PUBLIC,NP10 8XG,1027913," 137,691 ",The provision of and analysis of national statistics on cancer registration in England,,
,,06/02/2014,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,DEPARTMENT FOR EDUCATION (DFE),PUBLIC,WA7 2GJ,350005427," 39,370 ","Castle Vew House - Accommodation Rental Charges April 2013 - March 2014 - Ref:84982 @ £15,470.70 per qtr.",,
,,06/02/2014,Outsourcing Contract,DG: SCLGCP,MAYOR'S OFFICE FOR POLICING & CRIME,PUBLIC,SW6 1TR,6800093987," 130,000 ",Street triage project funding - tranche 1(Mayor's Office for Policing and Crime),,
,,06/02/2014,Outsourcing Contract,DG: SCLGCP,BRITISH TRANSPORT POLICE,PUBLIC,NW1 9LN,I0008385," 120,000 ",Street triage project funding - tranche 1 2013-14 (British Transport Police),,
,,06/02/2014,Outsourcing Contract,DG: PHD,NESTA,SME,EC4A 1DE,1010," 26,567 ",Genomics England - Nesta consultancy ,,
,,06/02/2014,Outsourcing Contract,DG: PHD,THE TERRENCE HIGGINS TRUST,VCS,WC1X 8DP,29000982," 245,000 ",Targeted HIV prevention work 2013/14.  ,,
,,06/02/2014,Outsourcing Contract,DG: PHD,ANTHONY NOLAN TRUST,VCS,NW3 2NU,33947," 472,948 ",Improving Stem Cell Services in the UK by increasing the cord blood invenory and improving the registry of stem cell donors ,,
,,06/02/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,RETHINK SEVERE MENTAL ILLNESS LTD,VCS,DY4 7UF,ERS-513667-85701," 45,500 ",2013/081 National Psychosis Summit,,
,,06/02/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE PLACE2BE,VCS,E1 8LQ,ERS-513669-85721," 40,520 ",2012-13 - ref 1765122 The Place2BE- Project: Improving outcomes for families with multiple problems by building capacity and capability to deliver early intervention non-stigmatising mental health services for children and their parents,,
,,06/02/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,MIND,VCS,E15 4BQ,ERS-513689-85741," 1,000,000 ",2012/019 - MIND- Project: Time to change programme phase 2 - years 3- POLICY GRANT,,
,,07/02/2014,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,0000008504," 124,528 ",BSA recharge for December 2013 -Annual Allowance,,
,,07/02/2014,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,0000008506," 82,976 ",BSA recharge for December 2013 -TRS,,
,,07/02/2014,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,0000008507," 163,360 ",BSA recharge for December 2013 -Hutton,,
,,07/02/2014,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,0000008508," 29,040 ",BSA recharge for December 2013 -New fair deal,,
,,07/02/2014,Arm Length Bodies-Revenue Subsidy,DG: PHD,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,950436," 5,100,000 ",NHSBT Drawdown 2013/14. ,,
,,07/02/2014,Professional fees,DG: GOAD,PRICEWATERHOUSECOOPERS LLP,LARGE,E14 9SQ,1354087760," 45,160 ",DH ALB PHE Internal Audit review work,,
,,07/02/2014,Outsourcing Contract,DG: GOAD,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201358290," 279,288 ",Renewal of CSC Telecom Managed Service from 1 April  to 31 July 2013,,
,,07/02/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010442," 29,396 ",CPA for DH ESR Contract - ESR Smart Pass through Charges FY13-14 see DH/McKesson HR and Payroll Contract Ref 2222,,
,,07/02/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010443," 23,065 ",CPA for DH ESR Contract - ESR Smart Pass through Charges FY13-14 see DH/McKesson HR and Payroll Contract Ref 2222,,
,,07/02/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010444," 23,065 ",CPA for DH ESR Contract - ESR Smart Pass through Charges FY13-14 see DH/McKesson HR and Payroll Contract Ref 2222,,
,,07/02/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010447," 66,159 ",CPA for DH ESR Contract - NHS Payslip & delivery charges FY13-14 see DH/McKesson HR and Payroll Contract Ref 2222 (CCN 126),,
,,07/02/2014,Capital Grants to local authorities,DG: GOAD,WIRRAL METROPOLITAN BOROUGH COUNCIL,PUBLIC,CH41 5FN,ERS-513705-85761," 36,750 ",Section 31 Dementia Friendly environment Grant - Wirral Council- Summerfields,,
,,07/02/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,MENTAL HEALTH PROVIDERS FORUM,VCS,SE1 9PD,ERS-513773-85781," 33,001 ",2013/082 Identifying and Developing Better Practice in Mental Health for BME Communities,,
,,07/02/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE ROYAL COLLEGE OF PAEDIATRICS AND CHILD HEALTH,PUBLIC,WC1X 8SH,ERS-513789-85801," 517,728 ",2013/023b Continuation of developing e-portal,,
,,10/02/2014,Service charge,DG: GOAD,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,,12666486," 719,321 ",Revenue: HSCIC - Choices - Clinical indicator costs April 12 - March 13,,
,,10/02/2014,Addition Clearing - SW LIC,DG: GOAD,DERBY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DE22 3NE,315513," 34,777 ",Capital: LSP NME - Derby Hospital FT - F/Y 2013/14  STAF & LC costs for Lorenzo deployment,,
,,10/02/2014,Service charge,DG: GOAD,DERBY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DE22 3NE,315513," 121,480 ",Revenue: LSP NME - Derby Hospital FT - F/Y 2013/14  STAF & LC costs for Lorenzo,,
,,10/02/2014,Outsourcing Contract,DG: PHD,PUBLIC HEALTH ENGLAND PHE033,PUBLIC,SP4 0JG,6055564," 57,500 ",HIV-infected healthcare workers database - capital costs,,
,,10/02/2014,Outsourcing Contract,DG: PHD,PUBLIC HEALTH ENGLAND PHE033,PUBLIC,SP4 0JG,6055564," 23,500 ",HIV-infected healthcare workers database,,
,,10/02/2014,Outsourcing Contract,DG: PHD,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,950416," 459,142 ",mproving stem cell services in the UK 2012-15,,
,,10/02/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-513811-85824," 50,584 ",Research for Patient Benefit,,
,,10/02/2014,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,EC1V 2PD,ERS-513814-85822," 69,087 ",HTA Commissioned Research,,
,,10/02/2014,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SE5 9RS,ERS-513816-85821," 25,909 ",Programme Grants for NHS Trusts,,
,,10/02/2014,Research & development,DG: RDD,NHS LIVERPOOL CCG,PUBLIC,L1 4AZ,ERS-513874-85858," 83,451 ",Research Capability Funding,,
,,10/02/2014,Research & development,DG: RDD,PUBLIC HEALTH ENGLAND PHE033,PUBLIC,SP4 0JG,ERS-513888-85857," 36,750 ",PROJECTS,,
,,10/02/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-513889-85841," 35,000 ",PROJECTS,,
,,10/02/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,PUBLIC,DL3 6HX,HAFS-16413," 170,000 ",,,
,,10/02/2014,Additions PDC Revenue Support NHS T Permenant,DG: Central Technical,DARTFORD & GRAVESHAM NHS TRUST,PUBLIC,DA2 8DA,HAFS-16414," 2,500,000 ",,,
,,10/02/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,GL1 2EL,HAFS-16415," 960,000 ",,,
,,10/02/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NR31 6LA,HAFS-16416," 550,000 ",,,
,,10/02/2014,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,NORTH WEST LONDON HOSPITALS NHS TRUST,PUBLIC,HA1 3UJ,HAFS-16417," 1,618,000 ",,,
,,10/02/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,PUBLIC,DN4 8QN,HAFS-16418," 50,000 ",,,
,,10/02/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,THE IPSWICH HOSPITAL NHS TRUST,PUBLIC,IP4 5PD,HAFS-16419," 558,000 ",,,
,,10/02/2014,Additions FT Financing Facility Loans,DG: Central Technical,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,TQ2 7AN,HAFS-16420," 2,390,000 ",,,
,,10/02/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,"BARNET, ENFIELD & HARINGEY MENTAL HEALTH NHS TRUST",PUBLIC,N15 3TH,HAFS-16421," 34,000 ",,,
,,10/02/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,CROYDON HEALTH SERVICES NHS TRUST,PUBLIC,CR7 7YE,HAFS-16422," 2,000,000 ",,,
,,10/02/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,DARTFORD & GRAVESHAM NHS TRUST,PUBLIC,DA2 8DA,HAFS-16423," 100,000 ",,,
,,10/02/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,CROYDON HEALTH SERVICES NHS TRUST,PUBLIC,CR7 7YE,HAFS-16424," 400,000 ",,,
,,10/02/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,DARTFORD & GRAVESHAM NHS TRUST,PUBLIC,DA2 8DA,HAFS-16425," 3,357,000 ",,,
,,10/02/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PE3 6DA,HAFS-16426," 900,000 ",,,
,,10/02/2014,Additions FT Financing Facility Loans,DG: Central Technical,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,TQ2 7AN,HAFS-16427," 120,000 ",,,
,,10/02/2014,Utilities,DG: GOAD,EDF ENERGY PLC,LARGE,PL3 5XQ,0024-RH," 26,725 ",Richmond House - Electricity Charges from Aug 2013 - Mar 2014 (Replacing PO.504950) -,,
,,10/02/2014,Utilities,DG: GOAD,EDF ENERGY PLC,LARGE,PL3 5XQ,0024-SKH," 38,914 ",Skipton House - EDF Electricity Charges from Aug 2013 – Mar 2014 (Replacing PO.504927),,
,,10/02/2014,Addition Clearing - OLB,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00310220RI," 83,935 ",Wellington House - Repair and upgrade of the existing car park lift - Ref JDE 342895,,
,,10/02/2014,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,LARGE,SW1W 9SR,10102079," 33,372 ",Information Systems,,
,,10/02/2014,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,LARGE,SW1W 9SR,10102079, -   ,Information Systems,,
,,10/02/2014,Outsourcing Contract,DG: GOAD,CAPITA SYMONDS LTD,LARGE,LS1 5JD,93403065," 55,780 ",Provision of technical authoring services and provision services for evidence gathering and practical studies,13911,
,,10/02/2014,Printing,DG: PHD,WILLIAMS LEA LTD,LARGE,W1F 8PR,DH14010012," 21,525 ",Design and delivery of CMO Annual Report 2012 Vol.2 Child Health Report,,
,,10/02/2014,Utilisation-Early Departure,DG: GOAD,CABINET OFFICE,PUBLIC,CF14 3UW,060214," 7,130,000 ","Payment of pension costs - £7,130,000 - Cabinet Office",,
,,10/02/2014,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5026492," 535,083 ","Quarry House Leeds - Accomm. Costs April 2013 - March 2014 Facilty Price Rent & Prime Variable Charge Recovery @£540,857.90 mthly.",,
,,10/02/2014,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5026492," 2,775 ","Quarry House Leeds - Accomm. Costs April 2013 - March 2014 Utilities Charge@£44,615.20 mthly.",,
,,10/02/2014,Research & development,DG: RDD,WARWICK UNIVERSITY OF,PUBLIC,CV4 7AL,ERS-513807-85835," 34,874 ",PROJECTS,,
,,10/02/2014,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-513809-85832," 26,343 ",PROJECTS,,
,,10/02/2014,Research & development,DG: RDD,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,ERS-513817-85827," 72,924 ",NIHR Fellowships,,
,,10/02/2014,Research & development,DG: RDD,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,ERS-513818-85828," 48,023 ",NIHR Fellowships,,
,,10/02/2014,Research & development,DG: RDD,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-513820-85831," 115,096 ",Lifelong Health and Wellbeing,,
,,10/02/2014,Research & development,DG: RDD,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-513820-85831," 9,904 ",Lifelong Health and Wellbeing,,
,,10/02/2014,Research & development,DG: RDD,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-513820-85831," 100,000 ",Lifelong Health and Wellbeing,,
,,10/02/2014,Research & development,DG: RDD,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-513820-85831," 1,000,000 ",Lifelong Health and Wellbeing,,
,,10/02/2014,Research & development,DG: RDD,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-513820-85831," 90,783 ",UKCRC Translational Infection Research Initiative,,
,,10/02/2014,Research & development,DG: RDD,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-513820-85831," 100,595 ",UKCRC Translational Infection Research Initiative,,
,,10/02/2014,Research & development,DG: RDD,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-513820-85831," 56,482 ",UKCRC Translational Infection Research Initiative,,
,,10/02/2014,Research & development,DG: RDD,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-513820-85831," 69,214 ",UKCRC Translational Infection Research Initiative,,
