Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/08/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,50563,2997.50,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/08/2014,Learning and Dev - CS Skills,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50693,2896.00,P&S Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/08/2014,Leadership & People Management,Economics & Markets - Labour Market,CAPITA BUSINESS SERVICES LTD,50748,123.60,E&M Devolved Admin-Leadership & People Management,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2014,Learning and Dev - CS Skills,Enterprise & Skills Group - Vocational Education Directorate,CAPITA BUSINESS SERVICES LTD,50870,705.00,E&S Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Learning and Dev - CS Skills,Government Office for Science -  Government Office for Science,CAPITA BUSINESS SERVICES LTD,50871,45.60,Other Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Technical Advice / Services & Support,Government Office for Science -  Government Office for Science,QUALITAS PARTNERING LTD T/A CREATIVE CHOICE CIC,51199,-1770.00,Foresight:Disasters-Technical Advice / Services & Support,KT1 2SZ,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Technical Advice / Services & Support,Government Office for Science -  Government Office for Science,QUALITAS PARTNERING LTD T/A CREATIVE CHOICE CIC,51199,4106.50,Foresight:Disasters-Technical Advice / Services & Support,KT1 2SZ,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Technical Advice / Services & Support,Government Office for Science -  Government Office for Science,QUALITAS PARTNERING LTD T/A CREATIVE CHOICE CIC,51199,4106.50,Foresight:Disasters-Technical Advice / Services & Support,KT1 2SZ,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/08/2014,Grant-In-Aid to Arms Length Bodies,Economics & Markets - Labour Market,ACAS,51412,3500000.00,ACAS Non-Budget-Grant-In-Aid to Arms Length Bodies,NW1 3JJ,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/08/2014,Grant-In-Aid to Arms Length Bodies,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,STUDENT LOANS CO LTD (INVEST TO SAVE),51684,86325.16,SLC Financing-Grant-In-Aid to Arms Length Bodies,G2 7JD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/08/2014,Grant-In-Aid to Arms Length Bodies,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,STUDENT LOANS CO LTD (INVEST TO SAVE),51684,13635132.05,SLC Financing-Grant-In-Aid to Arms Length Bodies,G2 7JD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2014,Administration of Grants and Awards,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,DWP (DEPARTMENT FOR WORK AND PENSIONS),51813,-55224.00,Student Support: Payments to Inland Revenue-Administration of Grants and Awards,CF14 3UW,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2014,Administration of Grants and Awards,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,DWP (DEPARTMENT FOR WORK AND PENSIONS),51813,121492.80,Student Support: Payments to Inland Revenue-Administration of Grants and Awards,CF14 3UW,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2014,Rail Travel UK,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",51831,7.60,E&S Devolved Admin-Rail Travel UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2014,Subsistence UK,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",51831,3.99,E&S Devolved Admin-Subsistence UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2014,Subsistence UK,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",51831,20.88,E&S Devolved Admin-Subsistence UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2014,Taxi Services UK,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",51831,22.50,E&S Devolved Admin-Taxi Services UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2014,Hire of Conference Facilities,Enterprise & Skills Group - Enterprise Directorate,SCIENCE AND TECHNOLOGY FACILITIES COUNCIL,51865,96.00,E&S Devolved Admin-Hire of Conference Facilities,SN2 1FF,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2014,Hire of Agency Staff,Shareholder Executive - Business Portfolio,BROOK STREET (UK) LTD,51890,556.50,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Financial Advice and Services,Shareholder Executive - British Business Bank,KPMG LLP,51905,45000.00,Central Functions-Financial Advice and Services,WD17 1DE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/08/2014,Outsourced Programme Management,Business & Local Growth - Advanced Manufacturing Services,GRANT THORNTON UK LLP,52017,-11546.00,MSET: Manufacturing Advisory Service-Outsourced Programme Management,NN4 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/08/2014,Outsourced Programme Management,Business & Local Growth - Advanced Manufacturing Services,GRANT THORNTON UK LLP,52017,25401.20,MSET: Manufacturing Advisory Service-Outsourced Programme Management,NN4 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/08/2014,Outsourced Programme Management,Business & Local Growth - Advanced Manufacturing Services,GRANT THORNTON UK LLP,52017,889383.00,MSET: Manufacturing Advisory Service-Outsourced Programme Management,NN4 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/08/2014,Outsourced Programme Management,Business & Local Growth - Advanced Manufacturing Services,GRANT THORNTON UK LLP,52019,-384961.00,MSET: Manufacturing Advisory Service-Outsourced Programme Management,NN4 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/08/2014,Outsourced Programme Management,Business & Local Growth - Advanced Manufacturing Services,GRANT THORNTON UK LLP,52019,769922.00,MSET: Manufacturing Advisory Service-Outsourced Programme Management,NN4 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/08/2014,Legal Services and Advice Agency,Shareholder Executive - British Business Bank,DENTONS UKMEA LLP,52108,-10998.63,ECF Investment Programme-Legal Services and Advice Agency,EC4M 7WS,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/08/2014,Legal Services and Advice Agency,Shareholder Executive - British Business Bank,DENTONS UKMEA LLP,52108,26.00,ECF Investment Programme-Legal Services and Advice Agency,EC4M 7WS,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/08/2014,Legal Services and Advice Agency,Shareholder Executive - British Business Bank,DENTONS UKMEA LLP,52108,21971.26,ECF Investment Programme-Legal Services and Advice Agency,EC4M 7WS,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2014,Rail Travel UK,Knowledge & Innovation Group - Higher Education,"Personal Expense, Name Witheld",52157,97.00,K&I Devolved Admin-Rail Travel UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/08/2014,Purchase of Intangible Software,Finance & Commercial Group - Information and Technology Directorate,BLAZIE ENGINEERING LTD,52190,354.00,F&C Devolved Admin-Purchase of Intangible Software,MK9 2UB,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/08/2014,ICT Outsourcing & Maintenance/Support,Finance & Commercial Group - Information and Technology Directorate,FUJITSU SERVICES LTD,52200,-1114.72,F&C Devolved Admin-ICT Outsourcing & Maintenance/Support,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2014,Air Travel UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",52362,132.00,BLG Devolved Admin-Air Travel UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2014,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",52362,28.60,BLG Devolved Admin-Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2014,Taxi Services UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",52362,149.75,BLG Devolved Admin-Taxi Services UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/08/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,52508,130.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/08/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,52508,165.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2014,Learning and Dev - CS Skills,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,CAPITA BUSINESS SERVICES LTD,52560,1178.00,MPST Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2014,Other Travel,People & Strategy - Communications Directorate,"Personal Expense, Name Witheld",52600,12.60,P&S Devolved Admin-Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2014,Rail Travel UK,People & Strategy - Communications Directorate,"Personal Expense, Name Witheld",52600,30.70,P&S Devolved Admin-Rail Travel UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2014,Subsistence UK,People & Strategy - Communications Directorate,"Personal Expense, Name Witheld",52600,5.00,P&S Devolved Admin-Subsistence UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2014,Subsistence UK,People & Strategy - Communications Directorate,"Personal Expense, Name Witheld",52600,5.40,P&S Devolved Admin-Subsistence UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2014,Subsistence UK,People & Strategy - Communications Directorate,"Personal Expense, Name Witheld",52600,12.15,P&S Devolved Admin-Subsistence UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/08/2014,Grant-In-Aid to Arms Length Bodies,Enterprise & Skills Group - Vocational Education Directorate,SKILLS FUNDING AGENCY,52634,443707000.00,SFA NB-Grant-In-Aid to Arms Length Bodies,CV1 2WT,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,52708,3260.28,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,52722,9547.87,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,52722,14671.13,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Hotel & Accommodation Overseas,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),52748,148.96,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Hotel & Accommodation Overseas,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),52749,251.03,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Taxi Services Overseas,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),52750,411.71,MPST Devolved Admin-Taxi Services Overseas,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Hotel & Accommodation Overseas,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),52751,149.04,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),52822,5552.03,U.S. - International Scholarships - Fulbright and Others-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Other Travel,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),52830,15.20,Science and Innovation Network (GPF and Conference)-Other Travel,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Other Travel,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),52831,180.33,Science and Innovation Network (GPF and Conference)-Other Travel,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Other Travel,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),52832,25.86,Science and Innovation Network (GPF and Conference)-Other Travel,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Other Travel,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),52833,2908.40,Science and Innovation Network (GPF and Conference)-Other Travel,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Other Travel,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),52834,1195.83,Science and Innovation Network (GPF and Conference)-Other Travel,MK10 1PX,WGA ONLY
