EA FEB 2012 - >£25k Payments report ,,,,,,,,,,,
Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type
09-Feb-12,Professional Services Technical Services,AN Capital WiP,OPUS International Consultants,1038289,121227.34,Great Yarmouth Framework for Action Ground Investigation works.,NG2 4GT,,30309577,IMAN002228,Project
16-Feb-12,Vehicles,AN Capital WiP,Jackson Civil Engineering Ltd,1037269,83591.26,River Nene Lock Inspections 2009 - 2012 ,IP1 5LT,,30142731,IMAN001517,Project
23-Feb-12,Construction,AN Capital WiP,ArcelorMittal Commercial RPS UK Ltd,1041566,66420.17,Trench Sheeting - for South level patch piling before 19.01.12,B91 3AL,,,IMAN001621,Project
23-Feb-12,Vehicles,AN Capital WiP,Norfolk Wildlife Trust,1038183,60971.14,To create wetland grazing and reed bed to fulfill the requirement of the Habitat Directive,NR1 1RY,,30282131,IMAN001220,Project
07-Feb-12,Construction,AN Capital WiP,YSI Hydrodata Ltd,1035310,52464,Bluetooth power comms box for Anglian Region,SG6 1FJ,,30282796,IMAN002388,Administration
14-Feb-12,Travel & Events,AN Capital WiP,Atkins Ltd,1038591,51627.97,Atkins for detailed design and preparation of planning application for Godmanchester Flood Alleviation.,KT18 5BW,,30072266,IMAN000624,Project
14-Feb-12,Construction,AN Capital WiP,ArcelorMittal Commercial RPS UK Ltd,1041552,44530.79,Trench Sheeting - for South level patch piling before 19.01.12,B91 3AL,,,IMAN001621,Project
02-Feb-12,Construction,AN Capital WiP,Ove Arup & Partners Ltd,1034851,39408.7,Ove Arup - Grimsby Flood alleviation scheme (FAS) (River Freshney). ,NE1 3PL,,30072279,IMAN001995,Project
07-Feb-12,Environmental Services,AN Capital WiP,Haskoning UK Ltd,1039473,37654.73,Lincshore Environmental Monitoring.,PE3 8DW,,30071934,IMAN001844,Project
21-Feb-12,Construction,AN Capital WiP,Haskoning UK Ltd,1039470,37509.74,Steeple Bumpstead Flood Risk Management Scheme Dec 2011.,PE3 8DW,,30071934,IMAN001770,Project
07-Feb-12,Construction,AN Capital WiP,Halcrow Group Ltd,1037011,36558.78,Project Services Contract: Ipswich EDF Energy 132 kva Cable Diversion,SN4 0QD,,30071913,IMAN001827,Project
28-Feb-12,Professional Services Other,AN Capital WiP,ECS Engineering Services Ltd,1039275,36000,Refurbishment work at Black Sluice.,NG16 6LE,,30231596,IMAN002275,Administration
02-Feb-12,Construction,AN Capital WiP,Jacobs LES Ltd,1038422,33789.6,Building Support and Maintenance and Repair Services -  Anglian region,RG41 5TU,,30231597,IMAN002362,Project
23-Feb-12,Construction,AN Capital WiP,Haskoning UK Ltd,1039456,33027.98,Chelmsford Flood alleviation Scheme Planning and Detailed Design.,PE3 8DW,,30071934,IMAN001326,Project
07-Feb-12,Fuels Lubricants & Gases,AN Capital WiP,P & R Plant Lincolnshire Ltd,1039144,31440,Spalding Pile refurbishment,PE12 8NG,,30258388,IMAN002140,Administration
07-Feb-12,Construction,AN Capital WiP,PG Wright,1044203,30000,Anglian-Minor Watercourse Maintenance Works Welland & Nene (AN),PE12 9EA,,30258390,IMAN001295,Project
16-Feb-12,Construction,AN Capital WiP,YSI Hydrodata Ltd,1040148,27324,Riversurveyor M9 System,SG6 1FJ,,30282796,IMAN002406,Administration
21-Feb-12,Construction,AN Capital WiP,Jacobs LES Ltd,1038420,25926,Building Support and Maintenance and Repair Services - 5 of 10m sets of steps with earth fix ,RG41 5TU,,30231664,IMAN002299,Project
21-Feb-12,Construction,AN Central - Flood Risk,Halcrow Group Ltd,1036898,26589.98,Bridge Assessments Central Area,SN4 0QD,,30071913,REAN001075,Project
23-Feb-12,Travel & Events,AN Central-AEM - Ely,Energy Solutions EU Services Ltd,1039246,823578,"Planning, preparation, packaging, consigning, transport and disposal of 22 x Tritium Storage Beds in December for Brampton",SN5 6NX,,,,Project
09-Feb-12,Construction | Professional Services Other,AN Central-AEM - Ely,Energy Solutions EU Services Ltd,1043492,33498,"Planning, preparation, packaging, consigning, transport and disposal of 22 x Tritium Storage Beds in December for Brampton",SN5 6NX,,,,Project
21-Feb-12,Vehicles ,AN Central-Ops Delivery,BAM Nuttall Ltd,1036005,40891.19,Desilting works Debenham,GU15 3XW,,30184779,REAN001511,Project
07-Feb-12,Personnel Related,AN Central-Ops Delivery,Jackson Civil Engineering Ltd,1041810,26005.51,100ft Access Track Repairs,IP1 5LT,,30184783,REAN001655,Project
09-Feb-12,Vehicles,AN Central-Ops Delivery | AN Capital WiP,BAM Nuttall Ltd,1039500,66308.28,Manage and build new Operations Delivery Building at Ely Depot ,GU15 3XW,,, | IMAN002374 |  |  | ,Project
09-Feb-12,Construction,AN Eastern-AEM - Monitoring,EDF Energy Plc,1041351,84116.14,Supply of electricity to Kennett pumping station for the period 2011 - 2012,PL3 5ZN,,30286699 | 30319078,REAN000470,Administration
23-Feb-12,Operational Goods & Services,AN Eastern-AEM - Monitoring,EDF Energy Plc,1040692,25284.96,Supply of electricity to Wixoe Pumping station for the period September 2010 to September 2011,PL3 5ZN,,30319078 | 30286699,REAN000470,Administration
07-Feb-12,Construction,AN Eastern-Ops Del (Norfolk & Suffolk),BAM Nuttall Ltd,1039496,117580.27,Anglian Operation delivery - general maintenance works,GU15 3XW,,30184779,REAN001610,Project
23-Feb-12,Environmental Services,AN Eastern-Ops Del (Norfolk & Suffolk),BAM Nuttall Ltd,1035126,58904.47,General maintenance works - Debenham Village Desilt,GU15 3XW,,30184779,,Project
14-Feb-12,Construction,AN Eastern-Ops Del (Norfolk & Suffolk),Jacobs LES Ltd,1038412,56400,Building Support and Maintenance and Repair Services,RG41 5TU,,30231597,REAN001533,Administration
14-Feb-12,Construction,AN Eastern-Ops Delivery (Essex),Jacobs LES Ltd,1038411,48667.25,Building Support and Maintenance and Repair Services - modification to barrier,RG41 5TU,,30231597,REAN001614,Project
07-Feb-12,Clinical & Medical,AN Eastern-Ops Delivery (Essex),Jacobs LES Ltd,1043828,46387.98,Heybridge flood gates,RG41 5TU,,30231597,REAN001608,Project
21-Feb-12,Construction,AN Northern - Flood Risk,BAM Nuttall Ltd,1041197,60289.74,Anglian Operation delivery - general maintenance works,GU15 3XW,,30184779,REAN001666,Project
23-Feb-12,Operational Goods & Services,AN Northern - Flood Risk,ECS Engineering Services Ltd,1039276,30000,Refurbishment pointing doors at Woodhall Spa.,NG16 6LE,,30231661,REAN001558,Administration
09-Feb-12,Construction,AN Northern - Flood Risk,ECS Engineering Services Ltd,1023553,26043.6,Building Support and Maintenance and Repair Services - Billnghay Pointing Doors,NG16 6LE,,30231661,REAN001611,Administration
14-Feb-12,Operational Goods & Services,AN Northern - Flood Risk | AN Northern-Ops Delivery,P & R Plant Lincolnshire Ltd,1040653,38400,Minor maintenance works at Duckpool Catchwater Reinstatement 2012.,PE12 8NG,,30254546,REAN001466 | REAN001438 | REAN001470,Project
09-Feb-12,Construction,AN Northern-AEM - Kesteven/Spalding,Wild Trout Trust,1043730,165000,River Burn Fish and Eel Passage Improvements.,PO8 0WZ,,,REAN001622,Project
02-Feb-12,Construction,AN Northern-AEM - Northampton/Kettering,Welland Rivers Trust,1038403,80000,Project Payment to Welland Rivers Trust,LE1 7RH,,,REAN001644,Project
07-Feb-12,Construction,AN Northern-AEM - Northampton/Kettering,AMEC Environment & Infrastructure UK Ltd,1038497,58398.37,Hydrogeological Services,NE3 3PX,,30274977,GWCLN05,Administration
23-Feb-12,Facilities,AN Northern-AEM - Northampton/Kettering,Hydrock Consultants Ltd,1041723,30944.09,Helpston Remediation Project - Hydrogeology,BS32 4DF,,30177470,REAN001571,Project
21-Feb-12,Construction,AN Northern-Ops Delivery,Land & Water Services Ltd,1044768,99564.04,Maintenance of Navigation Strutures at Gretton Brook,GU5 9AF,,30185413,REAN001454,Project
14-Feb-12,Professional Services Other,AN Northern-Ops Delivery,P & R Plant Lincolnshire Ltd,1039141,30420,Channel conveyance and access improvements on the car dyke,PE12 8NG,,30258388,,Project
07-Feb-12,Professional Services Other,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,1042995,448796.55,Supply of Lease Cars - Service Inspection Maintenance and Repair Lease Car Maintenance 2011/2012,RG14 2NU,,30000281,,Administration
14-Feb-12,Vehicles,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,1043005,41654.41,Supply of Lease Cars - Service Inspection Maintenance and Repair Lease Car Maintenance 2011/2012,RG14 2NU,,30000281,,Administration
09-Feb-12,Construction,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,1039393,40131.15,Supply of Lease Cars - Service Inspection Maintenance and Repair Lease Car Maintenance 2011/2012,RG14 2NU,,30000281,,Administration
23-Feb-12,Construction,CI SD Management MRA,CEFAS,1038455,39900,Hosting and support of Live Fish Movements Database for a 12 month extension,NR33 0HT,,,,Administration
23-Feb-12,Construction,CI Solutions Delivery Management,Infoterra Ltd,1038503,70977.6,Milestones - Data Sharing Infrastructure for Spatial Information in Europe Obligation Enhancements ,GU14 0NL,,,BBPDM20000L39,Project
09-Feb-12,Construction,Data and Information Management,Gabriel Information Solutions Ltd,1038113,80620.68,Transition of key knowledge and skills into Data Sharing and Access - Extension up to March 2012,EX1 3SD,,,HOEV101110,Project
21-Feb-12,Operational Goods & Services,Data and Information Management,Environmental Data Services Ltd,1038430,77242.79,"Annual Subscription for The ENDS Report - a monthly publication highlighting environmental policy, news and issues in the United Kingdom electronic access",W6 7DY,,,HOEV101104,Project
09-Feb-12,Construction,E and B Climate Change and Communities,University Of Oxford,1044244,81092.7,UK Climate Impacts Programme collaborative agreement ,OX1 2XN,,,EBPCC11003,Project
02-Feb-12,Construction,E and B Climate Change and Communities,Climate Partnership UK CIC,1040956,61200,Collaborative agreement with Climate UK. Adapting to Climate Change Programme,GU1 1YA,,,EBPCC11003,Project
02-Feb-12,Construction,E and B Land and Water,Information Processing Ltd,1043587,25057.2,Restore knowledge management system - M2 Milestone.,BA1 5LR,,,HOEB910063,Project
09-Feb-12,Personnel Related,E and B Land and Water,Information Processing Ltd,1043588,25057.2,Restore knowledge management system - M1 Milestone.,BA1 5LR,,,HOEB910063,Project
16-Feb-12,Energy & Utilities,EA Wales,Hitachi Capital Vehicle Solutions Ltd,1042336,74598.26,Supply of Lease Vehicles - Service Inspection Maintenance and Repair Lease vehicle Maintenance - 1st April 2011 to 31st March 2012,RG14 2NU,,40000314,,Administration
23-Feb-12,Construction | Professional Services Technical Services,FM Operating Unit - Central and South East,CB Richard Ellis Ltd,1022994,52856.7,Rent including service charge at Millbank Tower,EC4M 7HP,,,,Administration
02-Feb-12,Professional Services Consultancy,FM Operating Unit - Central and South East,CB Richard Ellis Ltd,1026087,29538,Rent including service charge at Millbank Tower,EC4M 7HP,,,,Administration
07-Feb-12,Construction,FM Operating Unit - Central and South East,EDF Energy Plc,1040677,25767.73,EDF Electrical Supply for King fisher house period 1.4.11-31.3.12,PL3 5ZN,,30286699,,Administration
21-Feb-12,Facilities,FM Operating Unit - Central and South West,Bristol City Council,980928,558570,Rates for Horizon House 2011-12,BS1 5TR,,,,Administration
07-Feb-12,Environmental Services,FM Operating Unit - Central and South West,Jones Lang LaSalle,1040380,39929.67,Service Charge for Horizon House,BS8 1HU,,30199687,,Administration
09-Feb-12,Construction,FM Operating Unit - Central and South West,Roshal Space Consultants Ltd,1044332,29485.56,Supply and install new drying room at Uttoxeter Depot,LE67 8QT,,30144299,HOFAC00004,Project
02-Feb-12,Construction,FM Operating Unit - Central and South West,Roshal Space Consultants Ltd,1039163,26335.6,Supply and install UPVC Windows for Hafren House,LE67 8QT,,30144299,HOFAC00004,Project
16-Feb-12,Construction,FM Operating Unit - Central and South West,MacWhirter Ltd,1038702,25560,Installation of lighting in walkway and loft space at rivers House,CF3 2EX,,30052370,HOFAC00004,Project
14-Feb-12,Energy & Utilities,FM Operating Unit - Northern,Interface FLOR,1034768,49160.31,Supply and install new carpet tiles to office area at Ghyll Mount,HX3 7PA,,30135672,HOFAC00002,Administration
09-Feb-12,Construction,Head of Corporate Assets,Roshal Space Consultants Ltd,1038938,58628.4,Eign Depot - Remove Asbestos  replace roof and install new guttering plus scaffolding charges. Plus Asbestos Refurbishment Survey. ,LE67 8QT,,30144299,HOFAC000011,Project
07-Feb-12,Construction,Head of Corporate Assets,Gelder Ltd,1044814,32565.6,Lighting Installations for Kingfisher House,LN1 2DS,,30199819,HORES00124,Project
23-Feb-12,Environmental Services,Head Office,Redfern Travel Ltd,1040496,417158.39,Staff business travel - Redfern Rail tickets for EA England April 11 - March 12,BD1 1PL,,30127631,,Administration
21-Feb-12,Construction,Head Office,Redfern Travel Ltd,1044439,230354.93,Staff business travel - Rail tickets for EA England April 11 - March 12,BD1 1PL,,30127631,,Administration
07-Feb-12,Professional Services Consultancy,HO Business Finance,British Gas Business,1034684,100957.28,South East Region supply of electricity to sub 100 kw sites from 1 Oct 2011 to 31 Mar 2012 (only 6 months).  ,OX4 2JY,,30319878,EBILLP2P,Administration
09-Feb-12,Environmental Services,HO Capital WiP,Agilent Technologies UK Ltd,1036368,157273.04,Supply of Agilent 7000 Triple Quadrupole System ,E14 1HH,,30267647,NL00000048,Administration
21-Feb-12,Environmental Services,HO Capital WiP,Reactec Ltd,1043945,153025.8,"UNPROGRAMMED TOOL TAGS (part of Hand Arm Vibration Meters for all Operations Delivery teams, to allow monitoring of vibration in hand held tools.)",EH10 4JW,,,FROAM40018L01,Administration
23-Feb-12,Professional Services Other,HO Capital WiP,Aquatic Control Engineering Ltd,1036565,60000,Purchase of Berkenheger 6530 Weedboat (staged payment).,DN22 0HR,,30260216,HOFOFRM005,Administration
23-Feb-12,Environmental Services,HO Capital WiP,Scisys UK Ltd,1035868,47795.71,IT Transformation Project ,SN14 0GB,,30301794,CIS3302981,Project
09-Feb-12,Construction,HO Capital WiP,AEBI UK Ltd,1040300,272694,Supply and Delivery of Embankment Cutters,DN22 7HQ,,30261702,HOFOFRM005,Administration
23-Feb-12,Construction,HO Capital WiP,ABM UK Ltd,1042187,31500,Milestones Change Requests for Intellicase Regulatory Enforcement Sanctions Act and Legal Project  (Enforcement case management system),NG11 6JS,,,EBORI40002L02,Project
23-Feb-12,Professional Services Other,HO Capital WiP,Aquatic Control Engineering Ltd,1036569,30000,Engine with Hydraulic Components etc. (Staged Payment 2).,DN22 0HR,,30260216,HOFOFRM005,Administration
02-Feb-12,Environmental Services,HO Capital WiP,Scisys UK Ltd,1036854,29586,Carbon Reduction Commitment Project,SN14 0GB,,,EBOCC40003L01,Project
21-Feb-12,ICT,HO Capital WiP | AN Central-AEM - Brampton,URS Corporation Ltd,1038138,49779,Sawston Groundwater Pollution - Emergency Response Division pilot,G2 4QE,,30105862,HOOP000050 | REAN001598 | REAN001424,Project
14-Feb-12,Construction,HO Capital WiP | AN Northern-AEM - Northampton/Kettering,Hydrock Consultants Ltd,1041716,61709.06,Helpston Remediation Project - Remediation,BS32 4DF,,30177470,HOOP000050 | REAN001586,Project
14-Feb-12,Construction,HO Corp Comms and Media,Venturing Associates Ltd,1041868,47550,Digital Syndication delivery,W1K 6WF,,,,Administration
16-Feb-12,Construction,HO Corp Comms and Media,MM Teleperformance Ltd,1032664,33684.89,Provision of Mailing and Fulfilment Services,BS1 3LG,,30228657,HOCA000011,Administration
23-Feb-12,Construction,HO Financial Management Adjustment | HO Business Finance,British Gas Business,1034680,39188.1,Regional British Gas electricity bill for South West Region 2011/12,OX4 2JY,,30286711, | EBILLP2P | ,Administration
21-Feb-12,Construction,HO Fleet - EA Wales,Fraikin Ltd,1039321,64895.16,Service Inspection Maintenance and Repair - Plant Maintenance 01.04.11 - 31.3.12,CV4 8HX,,40021314,,Administration
16-Feb-12,Vehicles,HO Fleet - EA Wales,Allstar Business Solutions Ltd,1039323,37138.55,Monthly fuel bill for Wales December 2011,SN5 6PS,,40002026,,Administration
14-Feb-12,Construction,HO Fleet - EA Wales,Hitachi Capital Commercial Vehicle Services,1042316,28857.01,Service Inspection Maintenance and Repair - Commercial Vehicle Maintenance 01.04.11 to 31.3.12,BA14 8QU,,40018959,,Administration
14-Feb-12,Professional Services Technical Services,HO Fleet Operations,Fraikin Ltd,1039377,452992.36,"Service, Inspection & Maintenance of Mobile Plant 2011/2012",CV4 8HX,,30207502,,Administration
16-Feb-12,Construction,HO Fleet Operations,Hewden Stuart Plc,1045020,436037.8,Hewden National Plant Hire Contract 2011/2012,M32 0HW,,30184689,,Administration
16-Feb-12,ICT,HO Fleet Operations,Allstar Business Solutions Ltd,1038511,271281.99,Commercial Fleet - Fuel 2011/2012,SN5 6PQ,,30015330,,Administration
14-Feb-12,Professional Services Other,HO Fleet Operations,Hitachi Capital Commercial Vehicle Services,1042571,216792.81,Service Inspection Maintenance and Repair Commercial Vehicle Maintenance 2011/2012,BA14 8QU,,30182247,,Administration
02-Feb-12,Construction,HO Fleet Operations,Briggs Marine Contractors Ltd,1038952,203214.38,Service Inspection Maintenance and Repair - Boat Maintenance 2011/2012,KY3 9AX,,30277423,HORES00015,Administration
14-Feb-12,Environmental Services,HO Fleet Operations,Tony Hole Marine Ltd,1044883,48195.07,Service Inspection Maintenance and Repair Non coded vessel Oct - March 2012 Service Maintenance and Repairs,PL9 7HP,,30322647,,Administration
07-Feb-12,Construction,HO Fleet Operations,Post Office Ltd,1042007,30038,Road tax for fleet,PE4 5PG,,,,Adminstration
02-Feb-12,Construction,HO Flood Warning Systems,NERC,1040552,123390,National Oceanographic Centre (NOC) S and M of Tide Gauge Network services 2011-12,SN2 1EU,,,,Administration
16-Feb-12,Professional Services Learning & Development,HO Flood Warning Systems,NERC,1038227,91824,National Oceanographic Centre Astronomical Data for use in UK Coastal forecasting 2011-12,SN2 1EU,,,,Administration
14-Feb-12,Construction,HO Flood Warning Systems,MM Teleperformance Ltd,1042880,63345.19,Call centre and managment costs for Floodline live agent and Recorded Messaging Service,BS1 3LG,,30146474,,Administration
02-Feb-12,Construction,HO Geomatics,RVL Survey Ltd,1040942,118864.61,Extension to order for flying services for Geomatics for 2011_2012,CV8 3AZ,,30000394,SCLI0001,Administration
02-Feb-12,Construction,HO Head of Monitoring & Analytical Services,YSI Hydrodata Ltd,1043347,110340,Pro-plus Quatro handheld units with pre-amp pH sensor included in all units ,SG6 1FJ,,30240451,NL00000060,Administration
21-Feb-12,Construction,HO Head of Monitoring & Analytical Services,YSI Hydrodata Ltd,1040150,48417.16,Pro-O-Optical DO digital hand held with Pro-O-DO 4 M cable ,SG6 1FJ,,,NL00000060,Administration
02-Feb-12,Construction,HO Inc Man and Ops Manager,Arco Ltd,1038712,103680,Periodic upgrade and replacement of protective high visibility clothing for front line staff,HU1 2SJ,,30306389,HOOP000178,Administration
02-Feb-12,Vehicles,HO Inc Man and Ops Manager | HO Operations Delivery,Burlington Uniforms Ltd,1039776,140057.2,Periodic upgrade and replacement of protective high visibility clothing for front line staff,EN3 7PX,,30125847,HOOP000178 | ,Administration
23-Feb-12,Construction,HO NCPMS Manager,Atkins Ltd,1038694,29269.51,Consultancy services to National Capital Programme Management Service  South East Region until 31/3/2012  ,KT18 5BW,,30072266,NCPMSCDM,Project
16-Feb-12,Construction,HR Strategy,Edenred Childcare Vouchers Ltd,1039533,209936.18,Childcare Assistance scheme. This money is reclaimed through Salary Sacrifice from the employee on a monthly basis so the scheme is cost neutral.,SW1V 2RS,,,,Administration
02-Feb-12,Construction,Incident Management Manager,RAB Consultants Ltd,1042456,60517.51,Incident Management Training and Exercise project,WS13 6QG,,30200828,FCPIM00039B00,Administration
23-Feb-12,Environmental Services,Internal Transformation (HSW),Health Management Ltd,1035150,32624.87,Provision of Occupational Health services,BN8 5NN,,,HOHRITA001,Administration
14-Feb-12,Construction,Investment and Funding Manager,Halcrow Group Ltd,1041916,42903.6,Halcrow works to be completed in the area of Strategic Flood Risk Management Framework 2 01/11/11 - 29/03/12,SN4 0QD,,30219914,FCPIF00016B00,Project
07-Feb-12,Professional Services Technical Services,MI Capital WiP,Jackson Civil Engineering Ltd,1043372,1018432.24,Nottingham Flood alleviation scheme - Attenborough Fringes - Construction of Flood Defences at Attenborough Village,IP1 5LT,,30142731,IMMI000642,Project
02-Feb-12,Professional Services Other,MI Capital WiP,Jackson Civil Engineering Ltd,1043374,298647.31,Nottingham - Rylands - costs for the works at Meadows Lane Lock and Tinkers Leen,IP1 5LT,,30142731,IMMI000642,Project
16-Feb-12,Construction,MI Capital WiP,Galliford Try Infrastructure Ltd,1043589,243253.79,Upton upon severn-Flood alleviation Scheme,LE10 3JF,,30142734,IMMI000870,Project
23-Feb-12,Construction,MI Capital WiP,Black & Veatch Ltd,1041280,157281.04,Nottingham Left Bank - Sawley and Trent Meadows,RH1 1LQ,,30072271,IMMI000642,Project
23-Feb-12,Construction,MI Capital WiP,Galliford Try Infrastructure Ltd,1043586,156128.1,Construction of Embankment and Pumping Station,LE10 3JF,,30142734,IMMI001039,Project
07-Feb-12,Professional Services Technical Services,MI Capital WiP,Haskoning UK Ltd,1039484,84000,Midlands Regional Fish Pass Package 11-12.,PE3 8DW,,30071934,IMMI001259,Project
07-Feb-12,Professional Services Other,MI Capital WiP,G F Tomlinson Civil Engineering Ltd,1035196,60000,Works under Midlands Minor Works Framework ,WR3 8LX,,30224315,IMMI000935,Project
16-Feb-12,Construction,MI Capital WiP,Fugro Engineering Services Ltd,1037291,58264.88,Dowdeswell Reservoir Ground Investigation - Revision of price to accommodate clarification of laboratory testing requirements. Replacement of provisional sum with calculated estimate of cost.,OX10 9RB,,30309576,IMMI001258,Project
02-Feb-12,Construction,MI Capital WiP,Jackson Civil Engineering Ltd,1041997,55770.86,Attenborough Reed Beds - Engineering Construction Works  National Contractors Framework ,IP1 5LT,,30142731,IMMI000642,Project
23-Feb-12,Operational Goods & Services,MI Capital WiP,Stroud District Council,1046487,30000,Regional flood defence committee grant for property level protection,GL5 4UB,,,,Adminstration
21-Feb-12,Construction,MI Capital WiP,Amco Engineering,1039232,27809.29,Priory park - Works under Midlands Minor Works Framework ,S75 1HT,,30224312,IMMI001212,Project
21-Feb-12,Construction,MI Capital WiP,Halcrow Group Ltd,1036929,26690.04,Lower Dove Strategy - to extend the order for Environmental Assessment and Detail Design,SN4 0QD,,30071913,IMMI001015,Project
23-Feb-12,Construction,MI Central-AEM - 2,PR Hart Fencing & Landscapes,1040793,27332.4,Reactive Building Maintenance of Field-Based Infrastructure,B78 3PE,,30312232,REMI000047,Administration
21-Feb-12,Construction,MI East-Ops Delivery - 2,ECS Engineering Services Ltd,1039399,27012,Replace counter weights at Keadby Outfall.,NG16 6LE,,30312221,REMI000499,Project
09-Feb-12,Facilities,MI East-Ops Delivery - 2 | MI West - Ops Delivery,May Gurney Ltd,1044608,34948.86,6 monthly Provision and Use of Work Equipment Regulations inspections at 46 sites in Eastand 26 sites,NR14 8SZ,,30312229,REMI000499 | REMI000498,Administration
02-Feb-12,Operational Goods & Services,MI Planning and Performance,Severn Rivers Trust,1044879,34000,Funding to Collaborative Project with Severn Rivers Trust on water framework directive Habitat and Access Projects for 2011/12,OX7 5TL,,,REMI001521,Project
09-Feb-12,Construction,MI Regional Flood Programme Manager,Scunthorpe & Gainsborough Water Mgmt Board,1046507,40786,Foreign water contribution net of flood defence precept,LN11 8UU,,,,Adminstration
07-Feb-12,Construction,MI REP Manager,Worcestershire Wildlife Trust,1041009,33998.36,Contribution to Magnificent Severn (Water framework directive Tributaries Worcestershire) Project,WR3 8SZ,,,REMI001558,Project
21-Feb-12,Construction,MI West - Ops Delivery,OnSite Central Ltd,1037425,26614.45,CCTV Surveys at Various sites,WR3 8TJ,,30110595 | 30319000,REMI001484,Administration
16-Feb-12,Professional Services Technical Services,MI West-AEM - 1,Severn Trent Water,1037917,629942.4,Clywedog service charge and maintenance costs,B3 1SE,,,,Administration
23-Feb-12,Construction,National Accomodation Change Fund,Dawnus Construction Ltd,1036412,106727.09,"Additional works: internal decoration, recommission heaters, remove carpet. 05/12/11",SA7 0AP,,30192017,HORES00086,Project
16-Feb-12,Environmental Services,National Accomodation Change Fund,Gelder Ltd,1044818,57901.25,Refurbishment and Desk Wiring at Kingfisher House,LN1 2DS,,30199819,REAN001298,Project
09-Feb-12,Professional Services Other,National Accomodation Change Fund,SPIE Matthew Hall,1044990,53613.6,Appleton house relocation project - refurbish toilets and changing rooms in Annexe and extending and refurbish ground floor east wing toilets at Richard fairlough house,DL1 4WB,,30207167,HORES00023,Project
16-Feb-12,Professional Services Technical Services,National Accomodation Change Fund,Boulting Technology,1036371,45948,Regional Mechanical and Electrical Maintenance North West Region,WA1 1RG,,30270233,HORES00023,Project
16-Feb-12,Construction,National Accomodation Change Fund,Kinnarps UK Ltd,1043707,30812.98,Kinnarps - supply and fit new furniture for Peterborough Accommodation project,SL3 0DX,,30231889,REAN001298,Administration
02-Feb-12,Facilities,National Accomodation Change Fund,SPIE Matthew Hall,1038444,26660.1,Richard fairlough house Refurbishment - To carry out role as Principal contractor at Richard fairlough house - Works to start November 2011,DL1 4WB,,30270238,HORES00023,Project
07-Feb-12,Professional Services Technical Services,National Accomodation Change Fund,Boulting Technology,1036362,26240.4,Regional mechanical and electrical maintenance : North West Region.,WA1 1RG,,30270233,HORES00023,Project
09-Feb-12,Operational Goods & Services,National Accomodation Change Fund,Kinnarps UK Ltd,1043721,25500.41,Kinnarps - supply and fit new furniture for Peterborough Accommodation project,SL3 0DX,,30231889,REAN001298,Administration
14-Feb-12,Construction,National Enforcement Service,Post Office Ltd,1038570,55864.71,Rod Licences and Postage charges.,PE4 5PG,,,,Administration
